[00:00:00	]Ruslan Zhakov has gained a 'Deagle' #76348 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:06	]S10/OWS.GHOST-15 has critically hit Hudson Reach in the right leg dealing 10 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 10 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has critically hit Hudson Reach in the right leg dealing 10 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 10 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the stomach dealing 10 damage (CritChance was 0.58).
[00:00:06	]Hudson Reach has taken 10 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has critically hit Hudson Reach in the stomach dealing 13 damage (CritChance was 0.58).
[00:00:06	]Hudson Reach has taken 13 damage from S10/OWS.GHOST-15.
[00:00:07	]Ruslan Zhakov opened the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:00:07	]S10/OWS.GHOST-15 has gained a '20rnd Pulse Magazine' #136817.
[00:00:07	]S10/OWS.GHOST-15 has lost a '20rnd Pulse Magazine' #136814.
[00:00:09	]Ruslan Zhakov has gained a 'Onarım Kaplaması' #123179 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:10	]Necmi Altun claimed a report by C24:i4.UNION-83 (Keibs).
[00:00:10	]C24:i4.UNION-83 ran 'Equip' on item 'Combine PDA' (#124163)
[00:00:10	]Ruslan Zhakov closed the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:00:10	]Necmi Altun ran SAM command 'goto' with arguments: '#15'
[00:00:11	][IC] Michael Mansen: SİLah sesi.
[00:00:12	]Necmi Altun exited observer at their location.
[00:00:12	]Antony Yarta used command '/Radio Hızlı olun şehri tahliye edin'.
[00:00:14	]Hudson Reach ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#109721)
[00:00:14	]Hudson Reach has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
[00:00:14	]Hudson Reach was disinfected by Hudson Reach for 94 seconds.
[00:00:14	]Hudson Reach was bandaged by Hudson Reach for 17 HP.
[00:00:14	]Antony Yarta has gained a '20rnd Glock Magazine' #114509.
[00:00:14	]Antony Yarta has lost a '20rnd Glock Magazine' #114508.
[00:00:14	]Mersa loaded the character 'Chinatsu Uriyama'
[00:00:17	]Alfred Caston ran 'unload' on item '20rnd Mini-14 Magazine' (#127904)
[00:00:17	]Alfred Caston has gained a 'Assault Rifle Bullets' #136832.
[00:00:18	][IC] C24:i4.UNION-83: Kapıyı açabilecen mi.
[00:00:19	]Ruslan Zhakov opened the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:00:19	]Alfred Caston ran 'combine' on item '20rnd Mini-14 Magazine' (#127903)
[00:00:20	][Y] Lora Croft: BLBLBLLBBLBLBLBLBLB.
[00:00:22	]Ruslan Zhakov closed the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:00:23	][IC] C24:i4.UNION-83: Hee.
[00:00:24	][IC] C24:i4.UNION-83: Tamam.
[00:00:24	]Ruslan Zhakov ran 'Equip' on item 'Deagle' (#76348)
[00:00:25	]S10/OWS.GHOST-15 entered observer.
[00:00:25	]Ruslan Zhakov has lost a '7rnd Deagle Magazine' #128335.
[00:00:25	]S10/OWS.GHOST-15 exited observer at their location.
[00:00:25	]Necmi Altun entered observer.
[00:00:26	]Goblin [MG] (STEAM_0:0:601054844) has disconnected (timed out).
[00:00:31	]Thomas Edward Lawrence opened the 'Büyük Kutu' #9024 container.
[00:00:34	]Thomas Edward Lawrence has gained a 'Plastik Levhalar' #132477 from a container with the name 'Büyük Kutu' #9024.
[00:00:35	]Thomas Edward Lawrence closed the 'Büyük Kutu' #9024 container.
[00:00:35	]S10/OWS.GHOST-15 has hit Dustin Williams in the stomach dealing 10 damage (CritChance was 0.40).
[00:00:35	]Dustin Williams has taken 10 damage from S10/OWS.GHOST-15.
[00:00:35	]S10/OWS.GHOST-15 has hit Dustin Williams in the right leg dealing 6 damage (CritChance was 0.30).
[00:00:35	]Dustin Williams has taken 6 damage from S10/OWS.GHOST-15.
[00:00:37	]Antony Yarta used command '/ExitAct'.
[00:00:37	]S10/OWS.GHOST-15 has gained a '20rnd Pulse Magazine' #136814.
[00:00:37	]S10/OWS.GHOST-15 has lost a '20rnd Pulse Magazine' #136813.
[00:00:37	]Hudson Reach ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#109721)
[00:00:37	]Hudson Reach has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
[00:00:37	]Hudson Reach was disinfected by Hudson Reach for 94 seconds.
[00:00:37	]Hudson Reach was bandaged by Hudson Reach for 17 HP.
[00:00:38	]Dustin Williams is fully healed.
[00:00:39	][IC] Lora Croft: Canımız sıkıldı ya.
[00:00:41	]Necmi Altun has disabled persistence for 'models/props_combine/combine_barricade_short02a.mdl'.
[00:00:41	]Necmi Altun has used a context menu option with the name: persist_end
[00:00:43	]S10/OWS.GHOST-15 entered observer.
[00:00:44	]Antony Yarta used command '/ExitAct'.
[00:00:45	]Ruslan Zhakov opened the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:00:45	]Alfred Caston used command '/ToggleRaise'.
[00:00:46	]Timothy Hudson used command '/Radio OTA'ların geldiğine dair haber var'.
[00:00:48	]Alfred Caston used command '/ToggleRaise'.
[00:00:48	][IC] Chinatsu Uriyama: .
[00:00:48	]Igor Makarov opened the 'Büyük Metal Dolap' #8977 container.
[00:00:48	]Necmi Altun has used a context menu option with the name: ixpropviewowner
[00:00:49	]Ruslan Zhakov has transferred a 'Siyah tulum pantolonu' #100333 to a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:51	]Ruslan Zhakov has transferred a 'Siyah Fermuarlı' #94503 to a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:52	]Igor Makarov closed the 'Büyük Metal Dolap' #8977 container.
[00:00:52	]S10/OWS.GHOST-15 exited observer at their location.
[00:00:52	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:00:52	]S10/OWS.GHOST-15 has gained a '20rnd Pulse Magazine' #136813.
[00:00:52	]S10/OWS.GHOST-15 has lost a '20rnd Pulse Magazine' #136812.
[00:00:53	]Alfred Caston used command '/ToggleRaise'.
[00:00:54	]Ruslan Zhakov closed the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:00:55	]Antony Yarta used command '/CheckOverwatch'.
[00:00:56	]C24:i4.UNION-83 has gained 0 chips.
[00:00:56	]C24:i4.UNION-83 has gained a 'HK USP .45' #136833.
[00:00:57	]C24:i4.UNION-83 has gained 0 chips.
[00:00:57	]C24:i4.UNION-83 has gained a 'Combine Filter' #136834.
[00:00:57	]Igor Makarov opened the 'Ruslan'ın Seksi Sandığı' #8555 container.
[00:00:57	]C24:i4.UNION-83 has gained 0 chips.
[00:00:58	]C24:i4.UNION-83 has gained a 'Combine Filter' #136835.
[00:00:59	]Jhony Caston opened the 'Buzdolabı' #8342 container.
[00:00:59	]Jhony Caston closed the 'Buzdolabı' #8342 container.
[00:01:00	]Igor Makarov closed the 'Ruslan'ın Seksi Sandığı' #8555 container.
[00:01:00	]Igor Makarov opened the 'Büyük Kutu' #8832 container.
[00:01:00	]Jhony Caston opened the 'Buzdolabı' #8342 container.
[00:01:00	]Jhony Caston closed the 'Buzdolabı' #8342 container.
[00:01:01	]Thomas Edward Lawrence has gained a '30rnd AKM Magazine' #136836.
[00:01:01	]Henry Adams used command '/ExitAct'.
[00:01:02	]Jhony Caston opened the 'Buzdolabı' #8342 container.
[00:01:02	]Igor Makarov closed the 'Büyük Kutu' #8832 container.
[00:01:03	]S10/OWS.GHOST-15 entered observer.
[00:01:03	]Igor Makarov opened the 'Orta Dosya Dolabı' #9259 container.
[00:01:03	]Thomas Edward Lawrence has gained a '30rnd AKM Magazine' #136837.
[00:01:06	]Alfred Caston used command '/CheckOverwatch'.
[00:01:06	]Igor Makarov closed the 'Orta Dosya Dolabı' #9259 container.
[00:01:07	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:01:08	]Thomas Edward Lawrence ran 'drop' on item '30rnd AKM Magazine' (#136836)
[00:01:08	]Thomas Edward Lawrence has lost a '30rnd AKM Magazine' #136836.
[00:01:08	]'Durman' used command '/PlyUnwhitelist Chinatsu Transhuman'.
[00:01:08	]Thomas Edward Lawrence ran 'drop' on item '30rnd AKM Magazine' (#136837)
[00:01:08	]Thomas Edward Lawrence has lost a '30rnd AKM Magazine' #136837.
[00:01:10	]C24:i4.UNION-83 has gained 0 chips.
[00:01:10	]C24:i4.UNION-83 has gained a '17rnd USP Magazine' #136838.
[00:01:10	]Ruslan Zhakov ran 'take' on item '30rnd AKM Magazine' (#136836)
[00:01:10	]Ruslan Zhakov has gained a '30rnd AKM Magazine' #136836.
[00:01:11	]C24:i4.UNION-83 has gained 0 chips.
[00:01:11	]C24:i4.UNION-83 has gained a '17rnd USP Magazine' #136839.
[00:01:11	]Thomas Edward Lawrence opened the 'Büyük Kutu' #8832 container.
[00:01:11	]Ruslan Zhakov ran 'take' on item '30rnd AKM Magazine' (#136837)
[00:01:11	]Ruslan Zhakov has gained a '30rnd AKM Magazine' #136837.
[00:01:11	]C24:i4.UNION-83 has gained 0 chips.
[00:01:11	]C24:i4.UNION-83 has gained a '17rnd USP Magazine' #136840.
[00:01:12	]Antony Yarta used command '/Radio Mavi şahin Plaza'da ota görmüyor'.
[00:01:12	]Jhony Caston has gained a 'Bir Bardak Kırmızı Şarap' #131103 from a container with the name 'Buzdolabı' #8342.
[00:01:12	]C24:i4.UNION-83 has gained 0 chips.
[00:01:12	]C24:i4.UNION-83 has gained a '17rnd USP Magazine' #136841.
[00:01:12	]Timothy Hudson has gained a '30rnd AKM Magazine' #122219.
[00:01:12	]Timothy Hudson has lost a '30rnd AKM Magazine' #111932.
[00:01:13	]C24:i4.UNION-83 has gained 0 chips.
[00:01:13	]C24:i4.UNION-83 has gained a '17rnd USP Magazine' #136842.
[00:01:14	]Thomas Edward Lawrence closed the 'Büyük Kutu' #8832 container.
[00:01:15	]Jhony Caston closed the 'Buzdolabı' #8342 container.
[00:01:15	]Dustin Williams has gained a '12rnd 1911 Magazine' #134427.
[00:01:15	]Dustin Williams has lost a '12rnd 1911 Magazine' #134432.
[00:01:16	]Thomas Edward Lawrence opened the 'Dosya Dolabı' #9016 container.
[00:01:16	]Hudson Reach has gained a '17rnd USP Magazine' #93659.
[00:01:16	]Hudson Reach has lost a '17rnd USP Magazine' #129943.
[00:01:18	]Thomas Edward Lawrence closed the 'Dosya Dolabı' #9016 container.
[00:01:18	]Thomas Edward Lawrence opened the 'Dosya Dolabı' #9018 container.
[00:01:20	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:01:20	]Igor Makarov ran SAM command 'asay' with arguments: 'Yanıcı bomba'
[00:01:21	]Thomas Edward Lawrence closed the 'Dosya Dolabı' #9018 container.
[00:01:26	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:01:26	]Thomas Edward Lawrence ran 'unload' on item '20rnd Glock Magazine' (#129865)
[00:01:26	]Thomas Edward Lawrence has gained a '9mm Pistol Bullets' #136843.
[00:01:27	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:01:27	]Thomas Edward Lawrence ran 'unload' on item '20rnd Glock Magazine' (#129840)
[00:01:27	]Thomas Edward Lawrence has gained a '9mm Pistol Bullets' #136844.
[00:01:29	]Timothy Hudson has gained a '30rnd AKM Magazine' #111932.
[00:01:29	]Timothy Hudson has lost a '30rnd AKM Magazine' #122219.
[00:01:29	]Thomas Edward Lawrence ran 'combine' on item '20rnd Glock Magazine' (#129865)
[00:01:29	]Thomas Edward Lawrence ran 'combine' on item '20rnd Glock Magazine' (#129865)
[00:01:30	]Thomas Edward Lawrence ran 'combine' on item '20rnd Glock Magazine' (#103674)
[00:01:31	]C24:i4.UNION-83 ran 'combine' on item 'Şarjör Çantası' (#129909)
[00:01:32	]C24:i4.UNION-83 ran 'combine' on item 'Şarjör Çantası' (#129909)
[00:01:33	]C24:i4.UNION-83 ran 'combine' on item 'Şarjör Çantası' (#129909)
[00:01:33	]C24:i4.UNION-83 ran 'combine' on item 'Şarjör Çantası' (#129909)
[00:01:34	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:01:35	][Y] Ruslan Zhakov: Oturun ve beklemede kalın.
[00:01:36	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:01:40	]C24:i4.UNION-83 has gained 0 chips.
[00:01:40	]C24:i4.UNION-83 has gained a 'Dezenfekte Bandaj Rulosu' #136845.
[00:01:42	]C24:i4.UNION-83 has gained 0 chips.
[00:01:42	]C24:i4.UNION-83 has gained a 'El Feneri' #136846.
[00:01:44	]Timothy Hudson used command '/ExitAct'.
[00:01:45	]C24:i4.UNION-83 has gained 0 chips.
[00:01:45	]C24:i4.UNION-83 has gained a 'PMG-5 (AUG) Gaz Maskesi' #136847.
[00:01:45	]Dustin Williams used command '/ExitAct'.
[00:01:46	]Uzaylı Kurbağa ran SAM command 'goto' with arguments: 'igor'
[00:01:47	]Thomas Edward Lawrence has gained a '20rnd Glock Magazine' #79871.
[00:01:47	]Thomas Edward Lawrence has lost a '20rnd Glock Magazine' #129865.
[00:01:47	]Antony Yarta used command '/ExitAct'.
[00:01:47	]Timothy Hudson has gained a '30rnd AKM Magazine' #122219.
[00:01:47	]Timothy Hudson has lost a '30rnd AKM Magazine' #111932.
[00:01:48	]C24:i4.UNION-83 has gained 0 chips.
[00:01:48	]C24:i4.UNION-83 has gained a 'Onarım Kaplaması' #136848.
[00:01:48	]Dustin Williams has gained a '12rnd 1911 Magazine' #134432.
[00:01:48	]Dustin Williams has lost a '12rnd 1911 Magazine' #134427.
[00:01:48	]Lora Croft has gained a '30rnd Junk Magazine' #126039.
[00:01:48	]Lora Croft has lost a '30rnd Junk Magazine' #119126.
[00:01:50	]C24:i4.UNION-83 has gained 0 chips.
[00:01:50	]C24:i4.UNION-83 has gained a 'Hafif Görev Üniforması' #136849.
[00:01:50	]C24:i4.UNION-83 has gained 0 chips.
[00:01:51	]C24:i4.UNION-83 has gained a 'Çuval' #136850.
[00:01:51	]Lora Croft has gained a '30rnd Junk Magazine' #119126.
[00:01:51	]Lora Croft has lost a '30rnd Junk Magazine' #126039.
[00:01:52	][LOOC] Michael Mansen: sflngldfnkjd
[00:01:52	]C24:i4.UNION-83 has gained 0 chips.
[00:01:52	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136851.
[00:01:52	]C24:i4.UNION-83 has gained 0 chips.
[00:01:52	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136852.
[00:01:53	]C24:i4.UNION-83 has gained 0 chips.
[00:01:53	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136853.
[00:01:53	][Y] Ruslan Zhakov: AMINA KOYDUĞUMUN APTALI.
[00:01:53	]C24:i4.UNION-83 has gained 0 chips.
[00:01:53	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136854.
[00:01:53	]Hudson Reach has gained a '17rnd USP Magazine' #129943.
[00:01:53	]Hudson Reach has lost a '17rnd USP Magazine' #129906.
[00:01:54	]Antony Yarta has gained a '20rnd Glock Magazine' #114508.
[00:01:54	]Antony Yarta has lost a '20rnd Glock Magazine' #114509.
[00:01:54	]C24:i4.UNION-83 has gained 0 chips.
[00:01:54	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136855.
[00:01:54	]C24:i4.UNION-83 has gained 0 chips.
[00:01:54	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136856.
[00:01:55	]C24:i4.UNION-83 has gained 0 chips.
[00:01:55	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136857.
[00:01:55	]Necmi Altun has disabled persistence for 'models/props_equipment/surgicaltray_01.mdl'.
[00:01:55	]Necmi Altun has used a context menu option with the name: persist_end
[00:01:55	]C24:i4.UNION-83 has gained 0 chips.
[00:01:55	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136858.
[00:01:56	]C24:i4.UNION-83 has gained 0 chips.
[00:01:56	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136859.
[00:01:57	]Ruslan Zhakov opened the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:01:57	]Lora Croft has taken 5 damage from tfa_csgo_thrownflash.
[00:02:00	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:02:00	]Ruslan Zhakov ran 'EquipUn' on item 'Deagle' (#76348)
[00:02:00	]Ruslan Zhakov has gained a '7rnd Deagle Magazine' #128335.
[00:02:02	]Ruslan Zhakov has transferred a 'Deagle' #76348 to a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:02	]C24:i4.UNION-83 has gained 0 chips.
[00:02:02	]C24:i4.UNION-83 has gained a 'Lastik Kelepçe' #136860.
[00:02:03	]Ruslan Zhakov has transferred a '357 Rounds' #100356 to a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:04	]C24:i4.UNION-83 has gained 0 chips.
[00:02:04	]C24:i4.UNION-83 has gained a 'CV-2000 Şok Çubuğu' #136861.
[00:02:04	]Ruslan Zhakov has transferred a '357 Rounds' #135507 to a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:05	]Ruslan Zhakov has transferred a '7rnd Deagle Magazine' #112996 to a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:06	]C24:i4.UNION-83 ran 'Equip' on item 'CV-2000 Şok Çubuğu' (#136861)
[00:02:07	]Ruslan Zhakov has transferred a '7rnd Deagle Magazine' #128335 to a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:09	]Michael Mansen used command '/ExitAct'.
[00:02:10	]Ruslan Zhakov has gained a 'AKM' #128484 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:10	]Thomas Edward Lawrence ran 'Equip' on item 'High-Quality Filter' (#106313)
[00:02:10	][Y] Lora Croft: YA DÜMBÜK OROSPU EVLADI.
[00:02:12	][LOOC] Antony Yarta: BOMBALANIYOZ AMK
[00:02:14	]Ruslan Zhakov has gained a '30rnd AKM Magazine' #120521 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:18	]Ruslan Zhakov ran 'combine' on item '30rnd AKM Magazine' (#136836)
[00:02:19	]Ruslan Zhakov ran 'combine' on item '30rnd AKM Magazine' (#136837)
[00:02:20	]C24:i4.UNION-83 ran 'Equip' on item 'HK USP .45' (#136833)
[00:02:21	]монолит has connected.
[00:02:21	]Ruslan Zhakov has gained a 'Assault Rifle Bullets' #134269 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:23	]Ruslan Zhakov has gained a 'Assault Rifle Bullets' #134270 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:23	]Ruslan Zhakov closed the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:02:25	]Ruslan Zhakov ran 'Equip' on item 'AKM' (#128484)
[00:02:25	]Lora Croft ran 'take' on item 'Hurda Metal' (#135526)
[00:02:25	]Lora Croft has gained a 'Hurda Metal' #135526.
[00:02:26	]Ruslan Zhakov has lost a '30rnd AKM Magazine' #136837.
[00:02:26	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:02:28	]C24:i4.UNION-83 has gained 0 chips.
[00:02:28	]C24:i4.UNION-83 has gained a '9mm Pistol Bullets' #136862.
[00:02:30	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu vort'.
[00:02:31	]C24:i4.UNION-83 ran 'combine' on item '17rnd USP Magazine' (#136838)
[00:02:31	]Lora Croft ran 'take' on item 'Yapıştırıcı' (#135530)
[00:02:31	]Lora Croft has gained a 'Yapıştırıcı' #135530.
[00:02:31	]Alfred Caston used command '/ToggleRaise'.
[00:02:32	]Lora Croft ran 'drop' on item 'Hurda Metal' (#135526)
[00:02:32	]Lora Croft has lost a 'Hurda Metal' #135526.
[00:02:32	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu stalker'.
[00:02:33	]Lora Croft ran 'drop' on item 'Yapıştırıcı' (#135530)
[00:02:33	]Lora Croft has lost a 'Yapıştırıcı' #135530.
[00:02:33	]C24:i4.UNION-83 ran 'combine' on item '17rnd USP Magazine' (#136842)
[00:02:35	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu transhuman'.
[00:02:35	]C24:i4.UNION-83 has lost a '17rnd USP Magazine' #136838.
[00:02:36	]Timothy Hudson has gained a '30rnd AKM Magazine' #111932.
[00:02:36	]Timothy Hudson has lost a '30rnd AKM Magazine' #122219.
[00:02:37	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu event'.
[00:02:40	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu ministery'.
[00:02:42	]Lora Croft used command '/ExitAct'.
[00:02:42	]Ruslan Zhakov opened the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:02:43	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu minis'.
[00:02:46	]Antony Yarta has gained a '20rnd Glock Magazine' #114509.
[00:02:46	]Antony Yarta has lost a '20rnd Glock Magazine' #114508.
[00:02:46	]Ruslan Zhakov has gained a 'Kan Torbası' #111056 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:47	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu minister'.
[00:02:47	]Ruslan Zhakov has gained a 'Kan Stabilizatörü' #133915 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:49	]Ruslan Zhakov has gained a 'Morfin' #124848 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:53	]Ruslan Zhakov has gained a 'Dezenfekte Bandaj Rulosu' #122896 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:02:53	]Ruslan Zhakov closed the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:02:53	]Antony Yarta used command '/CheckOverwatch'.
[00:02:55	]Henry Adams has gained a '30rnd MP Magazine' #112011.
[00:02:55	]Henry Adams has lost a '30rnd MP Magazine' #112012.
[00:02:56	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu ministery'.
[00:02:58	]Necmi Altun exited observer at their location.
[00:02:58	]Hudson Reach has gained a '17rnd USP Magazine' #129906.
[00:02:58	]Hudson Reach has lost a '17rnd USP Magazine' #129943.
[00:02:59	]Necmi Altun entered observer.
[00:02:59	]C24:i4.UNION-83 used the 'Tedarikçi' vendor.
[00:03:00	]Antony Yarta has gained a '20rnd Glock Magazine' #114508.
[00:03:00	]Antony Yarta has lost a '20rnd Glock Magazine' #114509.
[00:03:00	]Jhony Caston has gained a '30rnd AKM Magazine' #130182.
[00:03:00	]Jhony Caston has lost a '30rnd AKM Magazine' #130149.
[00:03:01	]Mersa has unloaded their "Chinatsu Uriyama" character.
[00:03:02	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu minster'.
[00:03:02	]Necmi Altun exited observer at their location.
[00:03:02	]C24:i4.UNION-83 has gained 0 chips.
[00:03:02	]C24:i4.UNION-83 has gained a 'Ağrı Kesici' #136863.
[00:03:03	]'Durman' used command '/Staff transmın'.
[00:03:03	]C24:i4.UNION-83 has gained 0 chips.
[00:03:03	]C24:i4.UNION-83 has gained a 'Ağrı Kesici' #136864.
[00:03:04	]Uzaylı Kurbağa used command '/PlyUnwhitelist chinatsu min'.
[00:03:04	]C24:i4.UNION-83 has gained 0 chips.
[00:03:04	]C24:i4.UNION-83 has gained a 'Ağrı Kesici' #136865.
[00:03:04	]Necmi Altun entered observer.
[00:03:08	]'Durman' used command '/Staff havalandırmada transmın var'.
[00:03:08	]C24:i4.UNION-83 ran 'drop' on item 'Ağrı Kesici' (#133752)
[00:03:08	]C24:i4.UNION-83 has lost a 'Ağrı Kesici' #133752.
[00:03:10	]Ruslan Zhakov has gained a '30rnd AKM Magazine' #136837.
[00:03:10	]Ruslan Zhakov has lost a '30rnd AKM Magazine' #120521.
[00:03:11	]Necmi Altun used command '/Staff SFGYHUSJIG0KOLĞÜ,'.
[00:03:11	]C24:i4.UNION-83 ran 'drop' on item 'Ağrı Kesici' (#136864)
[00:03:11	]C24:i4.UNION-83 has lost a 'Ağrı Kesici' #136864.
[00:03:11	]C24:i4.UNION-83 ran 'drop' on item 'Ağrı Kesici' (#136865)
[00:03:11	]C24:i4.UNION-83 has lost a 'Ağrı Kesici' #136865.
[00:03:12	]Hudson Reach has gained a '17rnd USP Magazine' #129943.
