[00:00:08	]Lynx has gone afk.
[15:50:22	]Fikret Saric entered observer.
[15:51:16	]Fikret Saric exited observer at their location.
[15:51:23	]Fikret Saric entered observer.
[15:51:24	]Fikret Saric exited observer at their location.
[15:51:32	]Fikret Saric entered observer.
[15:51:41	]Fikret Saric exited observer at their location.
[15:51:41	]Fikret Saric entered observer.
[15:51:42	]Fikret Saric exited observer at their location.
[15:51:46	]Fikret Saric entered observer.
[15:51:55	]Fikret Saric exited observer at their location.
[15:52:30	]Fikret Saric entered observer.
[15:52:33	]Fikret Saric exited observer at their location.
[15:52:33	]Fikret Saric entered observer.
[15:52:36	]Fikret Saric exited observer at their location.
[15:52:37	]Fikret Saric entered observer.
[15:52:37	]Fikret Saric exited observer at their location.
[15:52:38	]Fikret Saric entered observer.
[15:52:42	]Fikret Saric exited observer at their location.
[15:52:47	]Console ran SAM command 'asay' with arguments: 'nabyon olm konsol ld'
[15:52:48	]Fikret Saric entered observer.
[15:52:59	]Console ran SAM command 'asay' with arguments: 'konsol doldu :D'
[15:53:11	]Fikret Saric exited observer at their location.
[15:53:18	]Fikret Saric entered observer.
[15:53:18	]Fikret Saric exited observer at their location.
[15:53:19	]Fikret Saric entered observer.
[15:53:19	]Fikret Saric exited observer at their location.
[15:53:20	]Fikret Saric entered observer.
[15:53:20	]Fikret Saric exited observer at their location.
[15:53:21	]Fikret Saric entered observer.
[15:53:52	]Fikret Saric exited observer at their location.
[15:53:52	]Fikret Saric entered observer.
[15:54:06	]Fikret Saric exited observer at their location.
[15:54:07	]Fikret Saric entered observer.
[15:54:07	]Fikret Saric exited observer at their location.
[15:54:09	]Fikret Saric has taken 19 damage from worldspawn.
[15:54:09	]Fikret Saric entered observer.
[15:54:10	]Fikret Saric exited observer at their location.
[15:54:11	]Fikret Saric entered observer.
[15:54:12	]Fikret Saric exited observer at their location.
[15:54:12	]Fikret Saric entered observer.
[15:54:13	]Fikret Saric exited observer at their location.
[15:54:17	]Fikret Saric entered observer.
[15:54:18	]Fikret Saric exited observer at their location.
[15:54:18	]Fikret Saric entered observer.
[15:54:27	]Fikret Saric exited observer at their location.
[15:54:28	]Fikret Saric entered observer.
[15:54:30	]Fikret Saric exited observer at their location.
[15:54:42	]Fikret Saric entered observer.
[15:54:45	]Fikret Saric exited observer at their location.
[15:54:47	]Fikret Saric entered observer.
[15:54:47	]Fikret Saric exited observer at their location.
[15:54:48	]Fikret Saric entered observer.
[15:54:48	]Fikret Saric exited observer at their location.
[15:54:51	]Fikret Saric entered observer.
[15:55:00	]Fikret Saric exited observer at their location.
[15:55:04	]Fikret Saric was knocked unconscious and is bleeding out.
[15:55:12	]Fikret Saric ran SAM command 'hp' with arguments: 'Fikret' '100'
[15:55:17	]Fikret Saric is no longer unconscious from critical wounds.
[15:55:17	]Fikret Saric is fully healed.
[15:55:24	]Fikret Saric used command '/CharStopBleedout Fikret'.
[15:55:26	]Fikret Saric entered observer.
[15:55:49	]Fikret Saric exited observer at their location.
[15:55:51	]Fikret Saric entered observer.
[15:55:54	]Fikret Saric exited observer at their location.
[15:55:55	]Fikret Saric entered observer.
[15:56:05	]Fikret Saric ran 'take' on item 'Evrensel Birlik Çikolatası' (#20863)
[15:56:05	]Fikret Saric has gained a 'Evrensel Birlik Çikolatası' #20863.
[15:56:19	]Fikret Saric exited observer at their location.
[15:56:20	]Fikret Saric entered observer.
[15:56:21	]Fikret Saric exited observer at their location.
[15:56:35	]Fikret Saric entered observer.
[15:56:45	]Fikret Saric exited observer at their location.
[15:56:45	]Fikret Saric entered observer.
[15:56:46	]Fikret Saric exited observer at their location.
[15:56:46	]Fikret Saric entered observer.
[15:56:46	]Fikret Saric exited observer at their location.
[15:56:46	]Fikret Saric entered observer.
[15:56:47	]Fikret Saric exited observer at their location.
[15:56:47	]Fikret Saric entered observer.
[15:56:48	]Fikret Saric exited observer at their location.
[15:56:48	]Fikret Saric entered observer.
[15:56:48	]Fikret Saric exited observer at their location.
[15:57:12	]Fikret Saric entered observer.
[15:57:18	]otistik has connected.
[15:57:26	]Fikret Saric exited observer at their location.
[15:57:45	]Fikret Saric entered observer.
[15:57:54	]Fikret Saric exited observer at their location.
[15:57:55	]Fikret Saric entered observer.
[15:57:55	]Fikret Saric exited observer at their location.
[15:57:56	]Fikret Saric entered observer.
[15:57:56	]Fikret Saric exited observer at their location.
[15:57:56	]Fikret Saric entered observer.
[15:57:57	]otistik loaded the character 'Igor Makarov'
[15:57:57	]Fikret Saric exited observer at their location.
[15:57:58	]Fikret Saric entered observer.
[15:58:02	]Fikret Saric exited observer at their location.
[15:58:02	]Fikret Saric entered observer.
[15:58:03	]Igor Makarov entered observer.
[15:58:04	]Igor Makarov exited observer at their location.
[15:58:21	]Igor Makarov entered observer.
[15:58:22	]Igor Makarov exited observer at their location.
[15:58:22	]Igor Makarov entered observer.
[15:58:22	]Igor Makarov exited observer at their location.
[15:58:22	]Igor Makarov entered observer.
[15:58:22	]Igor Makarov exited observer at their location.
[15:58:22	]Igor Makarov entered observer.
[15:58:22	]Igor Makarov exited observer at their location.
[15:58:23	]Igor Makarov entered observer.
[15:58:23	]Igor Makarov exited observer at their location.
[15:58:23	]Igor Makarov entered observer.
[15:58:23	]Igor Makarov exited observer at their location.
[15:58:23	]Igor Makarov entered observer.
[15:58:24	]Igor Makarov exited observer at their location.
[15:58:24	]Igor Makarov entered observer.
[15:58:24	]Igor Makarov exited observer at their location.
[15:58:24	]Igor Makarov entered observer.
[15:58:24	]Igor Makarov exited observer at their location.
[15:58:24	]Igor Makarov entered observer.
[15:58:25	]Igor Makarov exited observer at their location.
[15:58:25	]Igor Makarov entered observer.
[15:58:25	]Fikret Saric exited observer at their location.
[15:58:25	]Igor Makarov exited observer at their location.
[15:58:25	]Igor Makarov entered observer.
[15:58:25	]Igor Makarov exited observer at their location.
[15:58:25	]Igor Makarov entered observer.
[15:58:26	]Igor Makarov exited observer at their location.
[15:58:26	]Igor Makarov entered observer.
[15:58:26	]Igor Makarov exited observer at their location.
[15:58:26	]Igor Makarov entered observer.
[15:58:26	]Igor Makarov exited observer at their location.
[15:58:27	]Igor Makarov entered observer.
[15:58:27	]Igor Makarov exited observer at their location.
[15:58:27	]Igor Makarov is fully healed.
[15:58:27	]Igor Makarov entered observer.
[15:58:27	]Igor Makarov exited observer at their location.
[15:58:27	]Igor Makarov entered observer.
[15:58:27	]Igor Makarov exited observer at their location.
[15:58:35	]Revain has connected.
[15:58:48	]Fikret Saric has used a context menu option with the name: ixpropviewowner
[15:59:27	]Fikret Saric entered observer.
[15:59:32	]Fikret Saric exited observer at their location.
[15:59:33	]Fikret Saric entered observer.
[15:59:33	]Fikret Saric exited observer at their location.
[15:59:42	]Fikret Saric entered observer.
[15:59:44	]Fikret Saric exited observer at their location.
[15:59:49	]Fikret Saric entered observer.
[16:00:07	]Fikret Saric exited observer at their location.
[16:00:07	]Fikret Saric entered observer.
[16:00:24	]Fikret Saric exited observer at their location.
[16:00:32	]Revain loaded the character 'Daisy Hope'
[16:00:36	]Daisy Hope entered observer.
[16:00:39	]Fikret Saric entered observer.
[16:00:40	]Daisy Hope exited observer at their location.
[16:00:41	]Daisy Hope entered observer.
[16:00:43	]Igor Makarov has fired a toolgun with the name: ladder
[16:00:44	]Igor Makarov has fired a toolgun with the name: ladder
[16:00:46	]Igor Makarov entered observer.
[16:00:46	]Fikret Saric exited observer at their location.
[16:00:48	]Igor Makarov has fired a toolgun with the name: ladder
[16:00:49	]Igor Makarov has fired a toolgun with the name: ladder
[16:00:49	]Daisy Hope exited observer at their location.
[16:00:50	]Igor Makarov exited observer at their location.
[16:00:53	]Fikret Saric entered observer.
[16:01:09	]Igor Makarov entered observer.
[16:01:15	]otistik loaded the character 'S10/OWS.GHOST-66'
[16:01:23	]otistik (STEAM_0:0:142449284) deleted character 'S10/OWS.GHOST-66'
[16:01:46	]otistik created the character 'S10/OWS.GHOST-61'
[16:01:46	]otistik has gained level 40 in the Silahlar skill.
[16:01:46	]otistik has gained level 40 in the Hız skill.
[16:01:46	]otistik loaded the character 'S10/OWS.GHOST-61'
[16:01:46	]S10/OWS.GHOST-61 has gained a 'Küçük Çanta' #24385.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'Büyük Çanta' #24386.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'El Feneri' #24387.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'Combine PDA' #24388.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'OTA Üniforması' #24389.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'OTA Mask' #24390.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'Rappel Gear' #24391.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'Şarjör Çantası' #24392.
[16:01:46	]S10/OWS.GHOST-61 has gained a 'Ammunition Pouch' #24393.
[16:01:48	]Fikret Saric exited observer at their location.
[16:01:49	]Fikret Saric entered observer.
[16:01:50	]Fikret Saric exited observer at their location.
[16:01:51	]Fikret Saric entered observer.
[16:01:55	]Fikret Saric exited observer at their location.
[16:01:56	]S10/OWS.GHOST-61 entered observer.
[16:01:57	]Fikret Saric entered observer.
[16:02:02	]S10/OWS.GHOST-61 has used a context menu option with the name: rb655_door_lock
[16:02:03	]S10/OWS.GHOST-61 has used a context menu option with the name: rb655_door_unlock
[16:02:10	]Fikret Saric exited observer at their location.
[16:02:13	]Daisy Hope entered observer.
[16:02:15	]Daisy Hope exited observer at their location.
[16:02:17	]Fikret Saric entered observer.
[16:02:25	]S10/OWS.GHOST-61 has used a context menu option with the name: rb655_vehicle_enter
[16:02:33	]S10/OWS.GHOST-61 exited observer at their location.
[16:02:35	]S10/OWS.GHOST-61 entered observer.
[16:02:37	]S10/OWS.GHOST-61 exited observer at their location.
[16:02:39	]S10/OWS.GHOST-61 entered observer.
[16:02:42	]Fikret Saric exited observer at their location.
[16:02:51	]Fikret Saric entered observer.
[16:03:01	]Fikret Saric exited observer at their location.
[16:03:02	]Fikret Saric entered observer.
[16:03:05	]Fikret Saric exited observer at their location.
[16:03:09	]Fikret Saric entered observer.
[16:03:10	]Fikret Saric exited observer at their location.
[16:03:11	]Fikret Saric entered observer.
[16:03:12	]Fikret Saric exited observer at their location.
[16:03:16	]Fikret Saric entered observer.
[16:03:26	]Fikret Saric exited observer at their location.
[16:03:28	]Hoo Lee Fuk banditcamp.com has connected.
[16:03:43	]Fikret Saric was knocked unconscious and is bleeding out.
[16:03:43	]Daisy Hope has taken 8 damage from S10/OWS.GHOST-61.
[16:03:43	]S10/OWS.GHOST-61 destroyed a 'Buzdolabı Kapağı' #22960.
[16:03:48	]S10/OWS.GHOST-61 has used a context menu option with the name: remove
[16:04:05	]Fikret Saric used command '/CharStopBleedout Fikret'.
[16:04:12	]Fikret Saric ran SAM command 'hp' with arguments: 'Fikret' '100'
[16:04:17	]Fikret Saric entered observer.
[16:04:17	]Fikret Saric is no longer unconscious from critical wounds.
[16:04:17	]Fikret Saric is fully healed.
[16:04:17	]Fikret Saric entered observer.
[16:04:24	]Fikret Saric exited observer at their location.
[16:04:24	]Fikret Saric entered observer.
[16:04:28	]S10/OWS.GHOST-61 exited observer at their location.
[16:04:29	]Fikret Saric exited observer at their location.
[16:04:38	]S10/OWS.GHOST-61 entered observer.
[16:04:50	]S10/OWS.GHOST-61 exited observer at their location.
[16:04:55	]S10/OWS.GHOST-61 entered observer.
[16:04:57	]S10/OWS.GHOST-61 exited observer at their location.
[16:05:17	]Hoo Lee Fuk banditcamp.com loaded the character 'Zalo'Kar'
[16:05:28	]Zalo'Kar entered observer.
[16:05:28	]Zalo'Kar exited observer at their location.
[16:05:30	]Fikret Saric entered observer.
[16:05:40	]Fikret Saric exited observer at their location.
[16:05:40	]Fikret Saric entered observer.
[16:05:48	]S10/OWS.GHOST-61 entered observer.
[16:05:52	]Zalo'Kar has used a context menu option with the name: remove
[16:05:52	]Goblin has connected.
[16:05:53	]S10/OWS.GHOST-61 exited observer at their location.
[16:05:54	]S10/OWS.GHOST-61 entered observer.
[16:05:54	]S10/OWS.GHOST-61 exited observer at their location.
[16:05:56	]Fikret Saric exited observer at their location.
[16:05:58	]Zalo'Kar ran 'take' on item 'Boş Breen'in Suyu' (#24163)
[16:05:58	]Zalo'Kar has gained a 'Boş Breen'in Suyu' #24163.
[16:06:05	]Victorian loaded the character 'Chang Huo'
[16:06:06	]S10/OWS.GHOST-61 entered observer.
[16:06:08	]Zalo'Kar entered observer.
[16:06:08	]Zalo'Kar exited observer at their location.
[16:06:11	]Zalo'Kar entered observer.
[16:06:12	]Zalo'Kar exited observer at their location.
[16:06:12	]Chang Huo ran 'Equip' on item 'Bavul' (#22068)
[16:06:13	]S10/OWS.GHOST-61 exited observer at their location.
[16:06:20	]Zalo'Kar ran 'take' on item '#37655 Kimlik Kartı' (#23402)
[16:06:20	]Zalo'Kar has gained a '#37655 Kimlik Kartı' #23402.
[16:06:23	]S10/OWS.GHOST-61 entered observer.
[16:06:32	]otistik loaded the character 'C24:I5.UNION-65'
[16:06:34	][ME] Zalo'Kar: Pençeleri ile yerde bulunan kimlik kartını alır
[16:06:44	]C24:I5.UNION-65 entered observer.
[16:06:47	][IT] Chang Huo: Chang bunu görmüş müdür?
[16:06:51	][IT] Zalo'Kar: +
[16:06:59	][IC] Chang Huo: Sen!
[16:07:08	][IC] Chang Huo: Vort, bana bak.
[16:07:11	]Daisy Hope ran SAM command 'bring' with arguments: 'chang'
[16:07:12	]Daisy Hope entered observer.
[16:07:14	]Daisy Hope exited observer at their location.
[16:07:15	]Daisy Hope ran SAM command 'bring' with arguments: 'chang'
[16:07:20	]Daisy Hope used command '/PM chang bunlara erişimim yok'.
[16:07:24	][IC] Chang Huo: Neylere.
[16:07:29	][IC] Daisy Hope: Combine locklara.
[16:07:29	][IC] Chang Huo: Anahtarı eline al.
[16:07:37	][IC] Chang Huo: Çıkart bene.
[16:07:39	]Chang Huo entered observer.
[16:07:40	]Chang Huo exited observer at their location.
[16:07:41	]Chang Huo entered observer.
[16:07:44	]Daisy Hope has used a context menu option with the name: rb655_light_on
[16:07:45	]Goblin loaded the character 'Salih Babacan'
[16:07:46	][IC] Zalo'Kar: Ah...
[16:07:52	]Daisy Hope has used a context menu option with the name: remove
[16:07:52	]Daisy Hope entered observer.
[16:07:56	]Daisy Hope exited observer at their location.
[16:08:01	]Daisy Hope entered observer.
[16:08:07	]Daisy Hope has used a context menu option with the name: remove
[16:08:11	]Daisy Hope exited observer at their location.
[16:08:12	]Daisy Hope entered observer.
[16:08:13	]Daisy Hope exited observer at their location.
[16:08:15	]Chang Huo exited observer at their location.
[16:08:16	]Chang Huo entered observer.
[16:08:31	][IC] Salih Babacan: Selam abi.
[16:08:36	]Daisy Hope entered observer.
[16:08:37	]Zalo'Kar used command '/PlyUnwhitelist Salih transhuman'.
[16:08:41	]Daisy Hope has used a context menu option with the name: remove
[16:08:48	][IC] Zalo'Kar: Insan...bizim daha önemli işlerimiz var.
[16:08:55	]Daisy Hope exited observer at their location.
[16:08:55	][IC] Zalo'Kar: Yürümeye devam etmeni öneririm...
[16:09:13	]Zalo'Kar has used a context menu option with the name: vendor_edit
[16:09:15	]Chang Huo ran SAM command 'hp' with arguments: 'Chang' '100'
[16:09:17	]Daisy Hope ran SAM command 'asay' with arguments: 'beyler bence sokaktan sesler şeklinde baltic cafe'nin açıldığını eventten yazalım'
[16:09:19	]Chang Huo is fully healed.
[16:09:27	]Chang Huo ran SAM command 'asay' with arguments: 'yok'
[16:09:31	]Zalo'Kar ran SAM command 'asay' with arguments: 'Evrensel Birlik niye reklam yapsın'
[16:09:40	]Zalo'Kar ran SAM command 'asay' with arguments: 'sen IC bir şekilde şehirde dolasarak broşür yada haber etmen lazım'
[16:09:40	]Daisy Hope ran SAM command 'asay' with arguments: 'oda doğru'
[16:09:48	]Chang Huo exited observer at their location.
[16:09:53	]Chang Huo entered observer.
[16:09:55	]Chang Huo exited observer at their location.
[16:10:05	][IC] Daisy Hope: Eyy.
[16:10:09	]Chang Huo entered observer.
[16:10:09	][IC] Salih Babacan: Noldu?
[16:10:11	][IC] Daisy Hope: Baltic cafe açıldı.
[16:10:35	]Daisy Hope entered observer.
[16:10:41	]Daisy Hope exited observer at their location.
[16:10:49	]Daisy Hope entered observer.
[16:11:11	][IT] Salih Babacan: Ürperdiğim dışardan sezilebilir
[16:11:19	]Chang Huo exited observer at their location.
[16:11:22	]Chang Huo entered observer.
[16:11:26	]Chang Huo exited observer at their location.
[16:11:27	]Chang Huo entered observer.
[16:11:28	]Chang Huo exited observer at their location.
[16:11:28	]Zalo'Kar ran 'drop' on item 'Vortigaunt Hooks' (#19464)
[16:11:28	]Chang Huo entered observer.
[16:11:28	]Zalo'Kar ran 'drop' on item 'Vortigaunt Shackles' (#19465)
[16:11:30	]Chang Huo exited observer at their location.
[16:11:30	]Zalo'Kar ran 'drop' on item 'Vortigaunt Collar' (#19468)
[16:11:31	]Chang Huo entered observer.
[16:11:32	]Chang Huo exited observer at their location.
[16:11:32	]Chang Huo has taken 2 damage from Chang Huo.
[16:11:32	]Chang Huo entered observer.
[16:11:46	]Zalo'Kar used command '/VortStun'.
[16:11:56	]Zalo'Kar used command '/PM chang gelsene bisi deneyk'.
[16:11:57	]Zalo'Kar entered observer.
[16:12:03	]Daisy Hope exited observer at their location.
[16:12:08	]Chang Huo exited observer at their location.
[16:12:08	]Zalo'Kar ran SAM command 'bring' with arguments: 'chang'
[16:12:09	]Zalo'Kar exited observer at their location.
[16:12:13	][IC] Chang Huo: Hm.
[16:12:14	]Zalo'Kar used command '/VortStun'.
[16:12:17	]Zalo'Kar used command '/VortStun'.
[16:12:30	]Zalo'Kar used command '/VortStun'.
[16:12:36	]Scientist has connected.
[16:12:36	][LOOC] Zalo'Kar: sana geçersiz hedef diyo la
[16:12:44	][IC] Chang Huo: Sk değilim çünkü.
[16:12:47	]Zalo'Kar used command '/CharGiveFlag zalo pet'.
[16:12:48	]Zalo'Kar has spawned 'models/props_c17/oildrum001.mdl'.
[16:12:50	]Daisy Hope used command '/PM chang aga bi gelsene'.
[16:12:51	]Zalo'Kar used command '/VortStun'.
[16:12:54	][IC] Zalo'Kar: Ne alaka.
[16:12:58	]Daisy Hope entered observer.
[16:12:58	]Zalo'Kar admin-viewed the 'Chang Huo' stash.
[16:12:58	]Zalo'Kar has used a context menu option with the name: ixviewstash
[16:12:59	]Zalo'Kar closed the 'Chang Huo' stash.
[16:13:00	]Zalo'Kar is admin-searching Chang Huo's inventory.
[16:13:00	]Zalo'Kar has used a context menu option with the name: ixviewinventory
[16:13:01	]Daisy Hope exited observer at their location.
[16:13:02	]Daisy Hope entered observer.
[16:13:03	][IC] Chang Huo: Sk'larda oluyo glb.
[16:13:04	]Zalo'Kar has closed Chang Huo's inventory.
[16:13:07	][IC] Zalo'Kar: Ha.
[16:13:10	][IC] Chang Huo: Revain çağırıyo.
[16:13:11	]Daisy Hope exited observer at their location.
[16:13:13	]Zalo'Kar used command '/ToggleVortalVision'.
[16:13:14	]Zalo'Kar used command '/ToggleVortalVision'.
[16:13:16	]Zalo'Kar used command '/ToggleVortalVision'.
[16:13:19	]Daisy Hope entered observer.
[16:13:20	]Zalo'Kar used command '/ToggleVortalVision'.
[16:13:21	]Zalo'Kar entered observer.
[16:13:26	]Daisy Hope exited observer at their location.
[16:13:29	]Zalo'Kar ran SAM command 'goto' with arguments: 'salih'
[16:13:32	]Daisy Hope used command '/PM chang aga bi gelsene'.
[16:13:33	]Daisy Hope used command '/PM chang aga bi gelsene'.
[16:13:37	]Chang Huo entered observer.
[16:13:40	]Zalo'Kar exited observer at their location.
[16:13:47	]Daisy Hope opened the 'Buzdolabı' #3106 container.
[16:13:49	]Chang Huo exited observer at their location.
[16:13:50	]Daisy Hope closed the 'Buzdolabı' #3106 container.
[16:13:54	][IC] Chang Huo: He.
[16:13:55	][IC] Daisy Hope: Buraya.
[16:14:04	][IC] Daisy Hope: Müzik için radyo koyabilirmiyiz.
[16:14:08	][IC] Chang Huo: Koy.
[16:14:10	][IC] Daisy Hope: Nasıl.
[16:14:13	][IC] Chang Huo: Q menüden.
[16:14:18	][IC] Daisy Hope: Ismi ne.
[16:14:30	]Chang Huo ran 'drop' on item 'Gözlükler' (#20354)
[16:14:30	]Chang Huo has lost a 'Gözlükler' #20354.
[16:14:38	][IC] Daisy Hope: A.
[16:14:44	][IC] Chang Huo: Ya amk bekle bi.
[16:14:52	]C24:I5.UNION-65 ran SAM command 'asay' with arguments: 'rol paslayın beyler adam bom boş geziyor'
[16:14:52	]Hoo Lee Fuk banditcamp.com loaded the character 'John Brookly'
[16:14:54	]John Brookly entered observer.
[16:15:03	]Chang Huo has spawned a musicradio3.
[16:15:07	]John Brookly exited observer at their location.
[16:15:18	]Chang Huo has spawned a 70sglasses.
[16:15:23	]Chang Huo ran 'take' on item '70'lerin Gözlükleri' (#24396)
[16:15:23	]Chang Huo has gained a '70'lerin Gözlükleri' #24396.
[16:15:28	]Daisy Hope ran 'take' on item 'Counterculture Radio' (#24395)
[16:15:28	]Daisy Hope has gained a 'Counterculture Radio' #24395.
[16:15:30	]Daisy Hope ran 'take' on item 'Gözlükler' (#20354)
[16:15:30	]Daisy Hope has gained a 'Gözlükler' #20354.
[16:15:30	]Chang Huo ran 'drop' on item '70'lerin Gözlükleri' (#24396)
[16:15:30	]Chang Huo has lost a '70'lerin Gözlükleri' #24396.
[16:15:33	]Chang Huo has used a context menu option with the name: remove
[16:15:35	]Chang Huo has spawned a aviators.
[16:15:41	]John Brookly entered observer.
[16:15:43	]Chang Huo ran 'take' on item 'Havacı Gözlükleri' (#24397)
[16:15:43	]Chang Huo has gained a 'Havacı Gözlükleri' #24397.
[16:15:43	]Scientist loaded the character 'Nicholas Newman'
[16:15:44	]Daisy Hope ran 'drop' on item 'Gözlükler' (#20354)
[16:15:44	]Daisy Hope has lost a 'Gözlükler' #20354.
[16:15:48	]Daisy Hope ran 'Deploy' on item 'Counterculture Radio' (#24395)
[16:15:53	]Chang Huo has spawned a glasses.
[16:15:54	]Chang Huo ran 'take' on item 'Gözlükler' (#24398)
[16:15:54	]Chang Huo has gained a 'Gözlükler' #24398.
[16:16:04	]Nicholas Newman opened the 'Personal Stash 1484' stash.
[16:16:04	]Daisy Hope has used a context menu option with the name: persist
[16:16:04	]Chang Huo entered observer.
[16:16:11	]Nicholas Newman ran 'combine' on item 'Demir' (#23880)
[16:16:12	]John Brookly opened the 'Medium File Cabinet' #2830 container.
[16:16:14	]John Brookly closed the 'Medium File Cabinet' #2830 container.
[16:16:16	]Nicholas Newman closed the 'Personal Stash 1484' stash.
[16:16:19	]Nicholas Newman opened the 'Personal Stash 1484' stash.
[16:16:24	]Nicholas Newman closed the 'Personal Stash 1484' stash.
[16:16:26	]Daisy Hope ran 'Write' on item 'MENÜ:' (#19754)
[16:16:26	]Chang Huo exited observer at their location.
[16:16:27	]Chang Huo entered observer.
[16:16:28	]Nicholas Newman opened the 'Enfekte Kontrolü Konteyneri' #2981 container.
[16:16:29	]Daisy Hope ran 'Write' on item '          MENÜ' (#23961)
[16:16:32	]Nicholas Newman has transferred a 'Çelik' #24361 to a container with the name 'Enfekte Kontrolü Konteyneri' #2981.
[16:16:35	]Nicholas Newman closed the 'Enfekte Kontrolü Konteyneri' #2981 container.
[16:17:09	]Nicholas Newman ran 'Open' on item 'Rasyon' (#24383)
[16:17:09	]Nicholas Newman has gained a 'Yapay Macun' #24399.
[16:17:09	]Nicholas Newman has gained a 'Breen'in Suyu' #24400.
[16:17:09	]Nicholas Newman has gained a '15 Kredi Kuponu' #24401.
[16:17:10	]Nicholas Newman ran 'Consume' on item 'Yapay Macun' (#24399)
[16:17:10	]Nicholas Newman has gained a 'Boş Kavanoz' #24402.
