[00:00:26	]C17:RL.KING-2 has gone afk.
[00:24:24	]Ka'har has spawned 'models/weapons/w_rif_m4a1_s_mag.mdl'.
[00:24:27	]Ka'har has spawned 'models/weapons/w_rif_sg556_mag.mdl'.
[00:24:31	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_sniper.mdl'.
[00:24:32	]Ka'har has spawned 'models/weapons/v_magnade.mdl'.
[00:24:34	]Ka'har has spawned 'models/props_wasteland/cranemagnet01a.mdl'.
[00:24:36	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_energy.mdl'.
[00:24:37	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:24:39	]Ka'har has spawned 'models/props_interiors/magazine_rack.mdl'.
[00:24:41	]Ka'har has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[00:24:41	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_energy.mdl'.
[00:24:42	]Ka'har has spawned 'models/props_junk/wood_crate001a_damagedmax.mdl'.
[00:24:43	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_heavy.mdl'.
[00:24:44	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_heavy2.mdl'.
[00:24:44	]Ka'har has used a context menu option with the name: rb655_breakable_break
[00:24:45	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:24:46	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_sniper.mdl'.
[00:24:47	]Ka'har has spawned a 'Entity [4292][pfx8_06]'.
[00:24:49	]Ka'har has spawned 'models/props_c17/light_magnifyinglamp02.mdl'.
[00:24:52	]Ka'har has spawned 'models/props_c17/powerbox_damaged.mdl'.
[00:24:54	]Ka'har has spawned 'models/props_c17/metalladder002c_damaged.mdl'.
[00:25:01	]Ka'har entered observer.
[00:25:08	]Ka'har exited observer at their location.
[00:25:08	]Ka'har entered observer.
[00:25:14	]Ka'har exited observer at their location.
[00:25:28	]Ka'har has spawned 'models/weapons/w_smg_mp5.mdl'.
[00:25:45	]Ka'har has used a context menu option with the name: remove
[00:25:50	]Ka'har used command '/ToggleRaise'.
[00:26:09	]Ka'har has spawned a 'Entity [4293][acwatt_go_mp5_barrel_sd]'.
[00:26:12	]Ka'har has spawned a 'Entity [4314][acwatt_go_mp5_mag_40]'.
[00:26:13	]Noir Lime entered observer.
[00:26:21	]Noir Lime exited observer at their location.
[00:26:22	]Noir Lime entered observer.
[00:26:23	]Ka'har entered observer.
[00:26:24	]Noir Lime exited observer at their location.
[00:26:50	]Noir Lime entered observer.
[00:26:53	]Noir Lime exited observer at their location.
[00:26:55	]Noir Lime entered observer.
[00:27:02	]Noir Lime exited observer at their location.
[00:27:27	]Noir Lime entered observer.
[00:27:41	]Noir Lime exited observer at their location.
[00:27:43	]Noir Lime entered observer.
[00:27:44	]Noir Lime exited observer at their location.
[00:27:45	]Noir Lime entered observer.
[00:27:46	]Noir Lime exited observer at their location.
[00:27:47	]Noir Lime entered observer.
[00:27:49	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_sniper.mdl'.
[00:27:51	][IC] Noir Lime: Sadasdas.
[00:27:53	][IC] Noir Lime: Mjasdkasdsadsa.
[00:27:54	]Noir Lime used command '/CharFallOver 0.1'.
[00:27:55	][IC] Noir Lime: Aujsdıasdoıksad.
[00:27:58	]Noir Lime exited observer at their location.
[00:27:59	][IC] G-Man: Asd.
[00:28:00	][IC] G-Man: I.
[00:28:01	][IC] Noir Lime: Sadhabdnsdns.
[00:28:02	][IC] G-Man: Yasdı.
[00:29:24	]Hoo Lee Fuk banditcamp.com (STEAM_0:0:479033164) has disconnected (timed out).
[00:30:34	]G-Man has spawned 'models/Items/CrossbowRounds.mdl'.
[00:30:46	]G-Man has spawned 'models/Items/BoxSRounds.mdl'.
[00:30:52	]Noir Lime has spawned a attn_laser.
[00:30:55	]Noir Lime has used a context menu option with the name: remove
[00:31:02	]Noir Lime has spawned a xen_stew.
[00:31:03	]Noir Lime has spawned a xen_pie.
[00:31:03	]Noir Lime has spawned a xen_concoction.
[00:31:03	]Noir Lime has spawned a xen_potion.
[00:31:04	]Noir Lime has spawned a ing_xen_herb.
[00:31:04	]Noir Lime has spawned a ing_xen_extract.
[00:31:04	]Noir Lime has spawned a ing_xenberries.
[00:31:08	]Noir Lime has used a context menu option with the name: remove
[00:31:10	]Noir Lime has used a context menu option with the name: remove
[00:31:11	]Noir Lime has used a context menu option with the name: remove
[00:31:12	]Noir Lime has used a context menu option with the name: rb655_dissolve
[00:31:14	]Noir Lime has used a context menu option with the name: remove
[00:31:14	]env_entity_dissolver destroyed a 'Xenian Güveci' #32884.
[00:31:16	]Noir Lime has used a context menu option with the name: remove
[00:31:17	]Noir Lime has used a context menu option with the name: remove
[00:31:19	]Noir Lime has spawned a tool_creammachine.
[00:31:21	]Noir Lime ran 'Use' on item 'Dondurma Makinesi' (#32891)
[00:31:25	]G-Man has spawned 'models/metro2033/akclip.mdl'.
[00:31:27	]Noir Lime has used a context menu option with the name: remove
[00:31:43	]G-Man has spawned 'models/weapons/w_pist_fiveseven_mag.mdl'.
[00:31:47	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:31:52	]Noir Lime has spawned a tool_refinery.
[00:32:03	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:32:29	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_heavy.mdl'.
[00:32:30	]Noir Lime has spawned 'models/props_canal/refinery_05.mdl'.
[00:32:36	]Noir Lime has spawned 'models/props_canal/refinery_05_skybox.mdl'.
[00:32:38	]Noir Lime has spawned 'models/props_canal/refinery_05_skybox.mdl'.
[00:32:40	]Noir Lime has spawned 'models/props_canal/refinery_03_skybox.mdl'.
[00:32:42	]Noir Lime has spawned 'models/props_canal/refinery_02_skybox.mdl'.
[00:32:43	]Noir Lime has spawned 'models/props_canal/refinery_01_skybox.mdl'.
[00:33:10	]Noir Lime has spawned 'models/wn7new/combine_cremator/cremator.mdl'.
[00:33:36	]G-Man has spawned a tool_refinery.
[00:33:39	]Noir Lime has fired a toolgun with the name: remover
[00:33:39	]Noir Lime has fired a toolgun with the name: remover
[00:33:42	]Noir Lime has fired a toolgun with the name: remover
[00:33:52	]Noir Lime has spawned 'models/gantry_crane/crane_pulleys.mdl'.
[00:34:03	]G-Man has spawned 'models/weapons/w_snip_awp_mag.mdl'.
[00:34:07	]Noir Lime has spawned 'models/gantry_crane/crane_rotator.mdl'.
[00:34:09	]Noir Lime has spawned 'models/gantry_crane/crane_trolley.mdl'.
[00:34:23	]Noir Lime has spawned 'models/map12_sawmill/logs.mdl'.
[00:34:25	]Noir Lime has spawned 'models/map1_boards/map1_boards.mdl'.
[00:34:28	]Noir Lime has spawned 'models/props/de_nuke/floodlight.mdl'.
[00:34:30	]Noir Lime has spawned 'models/props/de_nuke/skylight01.mdl'.
[00:34:36	]G-Man has spawned 'models/Items/combine_rifle_cartridge01.mdl'.
[00:34:36	]Noir Lime has spawned 'models/props_unique/wheelchair01.mdl'.
[00:34:45	]Noir Lime has spawned 'models/skeleton/skeleton_whole_noskins.mdl'.
[00:34:53	]G-Man has spawned 'models/Items/357ammo.mdl'.
[00:35:02	]Noir Lime has spawned 'models/props/mk/city17redux/137.mdl'.
[00:35:07	]Noir Lime has spawned 'models/props/mk/city17redux/38.mdl'.
[00:35:09	]G-Man has spawned 'models/weapons/w_rif_sg556_mag.mdl'.
[00:35:24	]Noir Lime has spawned 'models/props_rooftop/attic_window_edit.mdl'.
[00:35:26	]G-Man has spawned 'models/weapons/w_smg_mp7_mag.mdl'.
[00:35:27	]Noir Lime has spawned 'models/props_foliage/tree_pine_large.mdl'.
[00:35:32	]Noir Lime has spawned 'models/props_foliage/tree_pine05.mdl'.
[00:35:38	]Noir Lime has spawned 'models/props/tools/humans/l01_ball/l01_ball_sky.mdl'.
[00:35:41	]Noir Lime has spawned 'models/rocks/rootshanging01.mdl'.
[00:35:49	]Noir Lime has spawned 'models/props/debris/skeleton/cr_skel_pose03.mdl'.
[00:35:51	]Noir Lime has spawned 'models/props/debris/skeleton/skel_crane.mdl'.
[00:36:26	]G-Man has spawned 'models/Items/combine_rifle_cartridge01.mdl'.
[00:36:42	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/junkwall03.mdl'.
[00:36:46	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/wallshelltower.mdl'.
[00:36:50	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/cratelarge01.mdl'.
[00:36:53	]Noir Lime entered observer.
[00:36:55	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/gravelwall.mdl'.
[00:36:58	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/tirewall02.mdl'.
[00:37:02	]Noir Lime has spawned 'models/mosi/fallout4/electrical/conduits/conduit.mdl'.
[00:37:04	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator01.mdl'.
[00:37:06	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator02.mdl'.
[00:37:08	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator03.mdl'.
[00:37:16	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/windmill.mdl'.
[00:37:21	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/windmill_static.mdl'.
[00:37:23	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator03.mdl'.
[00:37:25	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator02.mdl'.
[00:37:31	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator01.mdl'.
[00:37:33	]Noir Lime has spawned 'models/mosi/fallout4/electrical/conduits/conduit.mdl'.
[00:37:34	]Noir Lime has spawned 'models/mosi/fallout4/electrical/conduits/conduit_vault.mdl'.
[00:37:36	]Noir Lime has spawned 'models/mosi/fallout4/electrical/conduits/conduit_vaultwall.mdl'.
[00:37:42	]G-Man has spawned 'models/props_unique/processor_tank.mdl'.
[00:37:45	]Noir Lime exited observer at their location.
[00:37:51	]G-Man has spawned 'models/props/de_train/processor.mdl'.
[00:37:53	]Noir Lime has used a context menu option with the name: remove
[00:37:57	]G-Man has spawned 'models/props/de_train/processor_nobase.mdl'.
[00:38:00	]Noir Lime has used a context menu option with the name: remove
[00:38:04	]G-Man has spawned 'models/props/de_train/processor_nobase.mdl'.
[00:38:17	]G-Man has spawned 'models/props_unique/processor_tank.mdl'.
[00:38:22	]Noir Lime has spawned 'models/weapons/attachments/upgrades/mag_energy.mdl'.
[00:38:23	]Noir Lime has spawned 'models/weapons/attachments/upgrades/mag_heavy2.mdl'.
[00:38:24	]Noir Lime has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:38:29	]Noir Lime has spawned 'models/weapons/attachments/barrel_mozam.mdl'.
[00:38:52	]Noir Lime has spawned 'models/jq/hlvr/props/xen/combine_foam_tank_set.mdl'.
[00:39:12	]Noir Lime has spawned a bird_potluck.
[00:39:12	]G-Man has spawned 'models/props_silo/processor.mdl'.
[00:39:23	]Noir Lime ran 'Consume' on item 'Kuş Güveçi' (#32894)
[00:39:23	]Noir Lime has gained a level 2 long boost in Çeviklik.
[00:39:34	]G-Man has spawned 'models/props/de_train/processor.mdl'.
[00:39:41	]Noir Lime has spawned a cream_orange.
[00:39:51	]G-Man has spawned 'models/props_street/watertower01.mdl'.
[00:39:54	]Noir Lime ran 'Consume' on item 'Portakallı Dondurma' (#32895)
[00:39:56	]G-Man has spawned 'models\props/cs_office/computer_monitor.mdl'.
[00:39:57	]Noir Lime has spawned a drink_puka.
[00:39:59	]Noir Lime ran 'take' on item 'Puka Vodna' (#32896)
[00:39:59	]Noir Lime has gained a 'Puka Vodna' #32896.
[00:40:09	]Noir Lime ran 'drop' on item 'Puka Vodna' (#32896)
[00:40:09	]Noir Lime has lost a 'Puka Vodna' #32896.
[00:40:11	]Noir Lime has used a context menu option with the name: remove
[00:40:14	]Noir Lime has spawned a drink_wi_coffee.
[00:40:15	]Noir Lime ran 'Consume' on item 'Willard Endüstri Kahvesi' (#32897)
[00:40:15	]Noir Lime has gained a level 3 long boost in Zeka.
[00:40:15	]Noir Lime has gained a level 3 long boost in Çeviklik.
[00:40:15	]Noir Lime has gained a 'Boş Kahve Fincanı' #32898.
[00:40:17	]Noir Lime has spawned a drink_wi_coffee.
[00:40:19	]Noir Lime ran 'Consume' on item 'Willard Endüstri Kahvesi' (#32899)
[00:40:19	]Noir Lime has wasted a level 3 long boost in Zeka (current: 0; target: 3).
[00:40:19	]Noir Lime has wasted a level 3 long boost in Çeviklik (current: 0; target: 3).
[00:40:19	]Noir Lime has gained a 'Boş Kahve Fincanı' #32900.
[00:40:49	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/junkwall02.mdl'.
[00:40:52	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/windmill.mdl'.
[00:40:53	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator03.mdl'.
[00:40:54	]Noir Lime entered observer.
[00:40:55	]Noir Lime has spawned 'models/mosi/fallout4/electrical/generators/generator02.mdl'.
[00:41:20	]G-Man has spawned a 'Entity [4256][ix_trashcollector]'.
[00:42:05	]Noir Lime has spawned a footlocker.
[00:42:30	]G-Man has spawned 'models/wn7new/advcrates/n7_military_crate.mdl'.
[00:42:37	]G-Man has spawned 'models/wn7new/advcrates/n7_supply_crate.mdl'.
[00:42:38	]Noir Lime has fired a toolgun with the name: remover
[00:42:39	]Noir Lime has fired a toolgun with the name: remover
[00:42:50	]Noir Lime has spawned 'models/props_urban/plastic_icechest_lid001.mdl'.
[00:42:53	]Noir Lime exited observer at their location.
[00:43:05	]G-Man has spawned 'models/mosi/fallout4/props/fortifications/vaultcrate01.mdl'.
[00:43:13	]Noir Lime has spawned 'models/props/cs_militia/footlocker01_closed.mdl'.
[00:43:26	]G-Man has spawned 'models/props/cs_militia/footlocker01_closed.mdl'.
[00:43:30	][IC] Noir Lime: Models/props/cs_militia/footlocker01_closed.mdl.
[00:43:49	]Noir Lime has spawned 'models/props/de_train/lockers001a.mdl'.
[00:43:51	]Noir Lime has spawned 'models/props/de_train/lockers_long.mdl'.
[00:43:53	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/plywoodblocker.mdl'.
[00:43:54	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/blocker03.mdl'.
[00:43:55	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/blocker01.mdl'.
[00:43:56	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/blocker02.mdl'.
[00:43:59	]G-Man has spawned 'models/mosi/fallout4/props/fortifications/vaultcrate03.mdl'.
[00:44:21	]G-Man has spawned 'models/mosi/fallout4/props/fortifications/woodencrate03.mdl'.
[00:44:39	]G-Man used command '/Content'.
[00:45:03	]G-Man has spawned 'models/mosi/fallout4/props/fortifications/woodencrate03.mdl'.
[00:45:04	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/vaultcrate03.mdl'.
[00:45:06	]G-Man was knocked unconscious and is bleeding out.
[00:45:10	]G-Man ran SAM command 'respawn' with arguments: '^'
[00:45:20	]G-Man has spawned 'models/mosi/fallout4/props/fortifications/woodencrate02.mdl'.
[00:45:31	]G-Man has spawned 'models/mosi/fallout4/props/fortifications/woodencrate03.mdl'.
[00:45:32	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/woodencrate02.mdl'.
[00:45:33	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/woodencrate03.mdl'.
[00:45:36	]G-Man has spawned 'models/mosi/fallout4/props/fortifications/woodencrate03.mdl'.
[00:45:42	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[00:45:45	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/bos/steps.mdl'.
[00:45:48	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/woodencrate03.mdl'.
[00:46:13	]G-Man has spawned 'models/props/de_nuke/hr_nuke/nuke_locker/nuke_lockers_single.mdl'.
[00:46:25	]Noir Lime has spawned 'models/mosi/fallout4/props/fortifications/cratelarge01.mdl'.
[00:46:46	]Noir Lime has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_container.mdl'.
[00:46:48	]Noir Lime has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_warningsign.mdl'.
[00:46:50	]Noir Lime has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_warningsign.mdl'.
[00:46:51	]Noir Lime has spawned 'models/hlvr/distillery_gunk/distillerygunk_gunk.mdl'.
[00:46:52	]Noir Lime has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_lamp.mdl'.
[00:46:55	]Noir Lime has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_forcefield_left.mdl'.
[00:48:17	]G-Man has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_container.mdl'.
[00:48:19	]G-Man has spawned 'models/props/de_port/cargo_container01.mdl'.
[00:51:37	]G-Man entered observer.
[00:51:58	]G-Man exited observer at their location.
[00:53:36	]G-Man entered observer.
[00:53:37	]G-Man exited observer at their location.
[00:55:33	]G-Man entered observer.
[00:55:56	]G-Man exited observer at their location.
[00:56:42	]Noir Lime entered observer.
[00:56:55	]Enistein has unloaded their "G-Man" character.
[00:56:59	]DavşanAbi has unloaded their "Noir Lime" character.
[00:56:59	]Enistein loaded the character 'C17:i5.UNION-79'
[00:57:06	]DavşanAbi loaded the character 'C17:RL.KING-2'
[00:57:08	]C17:RL.KING-2 entered observer.
[00:57:16	]C17:RL.KING-2 exited observer at their location.
[00:59:22	]C17:RL.KING-2 entered observer.
[01:01:55	]C17:RL.KING-2 used command '/VisorStatus unrest'.
[01:02:19	]C17:RL.KING-2 used command '/VisorStatus orange'.
[01:02:45	]C17:RL.KING-2 used command '/VisorStatus jb'.
[01:02:51	]C17:RL.KING-2 used command '/VisorStatus jw'.
[01:02:55	]C17:i5.UNION-79 entered observer.
[01:03:02	]C17:i5.UNION-79 exited observer at their location.
[01:03:08	]C17:RL.KING-2 used command '/VisorStatus ajw'.
[01:03:38	]C17:RL.KING-2 used command '/VisorStatus offline'.
[01:03:58	]C17:RL.KING-2 used command '/VisorStatus blue'.
[01:10:11	][IC] C17:RL.KING-2: <:: KmT. ::>
[01:10:44	]C17:RL.KING-2 exited observer at their location.
[01:10:45	]C17:RL.KING-2 entered observer.
[01:10:54	]C17:RL.KING-2 exited observer at their location.
[01:10:59	]C17:i5.UNION-79 has gone afk.
[01:11:27	][IC] C17:RL.KING-2: <:: OSG. ::>
[01:11:29	]C17:RL.KING-2 entered observer.
[01:11:37	]C17:RL.KING-2 exited observer at their location.
[01:11:48	]C17:i5.UNION-79 is no longer afk. Total time spent AFK: 345
[01:11:48	][IC] C17:i5.UNION-79: <:: OWS. ::>
[01:11:49	][IC] C17:i5.UNION-79: <:: ORD. ::>
[01:11:51	][IC] C17:i5.UNION-79: <:: EOW. ::>
[01:13:32	]C17:RL.KING-2 entered observer.
[01:13:40	]C17:RL.KING-2 exited observer at their location.
[01:14:39	]C17:RL.KING-2 used command '/VisorStatus orange'.
[01:15:06	]C17:RL.KING-2 used command '/SuitDeactivate UNION-79'.
[01:15:27	]C17:i5.UNION-79 used command '/Radio merba'.
[01:15:55	]C17:RL.KING-2 entered observer.
[01:15:58	]C17:i5.UNION-79 entered observer.
[01:15:59	]C17:RL.KING-2 exited observer at their location.
[01:16:01	]C17:i5.UNION-79 exited observer at their location.
[01:16:07	]C17:RL.KING-2 entered observer.
[01:16:08	]C17:RL.KING-2 exited observer at their location.
[01:16:10	]C17:RL.KING-2 entered observer.
[01:16:12	]C17:RL.KING-2 exited observer at their location.
[01:16:13	]C17:RL.KING-2 entered observer.
[01:16:13	]C17:i5.UNION-79 entered observer.
[01:16:15	]C17:i5.UNION-79 exited observer at their location.
[01:16:16	]C17:RL.KING-2 exited observer at their location.
[01:16:24	]C17:i5.UNION-79 used command '/Teleporters'.
[01:16:47	]C17:RL.KING-2 used command '/SuitDeactivate UNION-79'.
[01:21:41	]C17:RL.KING-2 has gained level 11 in the Hız skill.
[01:23:14	]C17:RL.KING-2 entered observer.
[01:23:16	]C17:RL.KING-2 exited observer at their location.
[01:24:45	][IC] C17:RL.KING-2: <:: Sen. ::>
[01:24:48	][IC] C17:RL.KING-2: <:: You. ::>
[01:24:51	][IC] C17:RL.KING-2: <:: Helix. ::>
[01:24:54	][IC] C17:RL.KING-2: <:: Şimdi. ::>
[01:24:57	][IC] C17:RL.KING-2: <:: Yürü! ::>
[01:25:00	][IC] C17:RL.KING-2: <:: Why. ::>
[01:25:07	][IC] C17:RL.KING-2: <:: Necrotic. ::>
[01:27:53	]C17:i5.UNION-79 entered observer.
[01:27:54	]C17:RL.KING-2 entered observer.
[01:27:55	]C17:i5.UNION-79 exited observer at their location.
[01:28:26	]C17:i5.UNION-79 entered observer.
[01:28:32	]C17:i5.UNION-79 exited observer at their location.
[01:28:33	]C17:RL.KING-2 exited observer at their location.
[01:28:39	]C17:RL.KING-2 entered observer.
[01:28:42	]C17:i5.UNION-79 entered observer.
[01:28:47	]C17:i5.UNION-79 exited observer at their location.
[01:28:49	]C17:i5.UNION-79 entered observer.
[01:28:58	]C17:i5.UNION-79 exited observer at their location.
[01:29:16	]C17:i5.UNION-79 entered observer.
[01:29:23	]C17:i5.UNION-79 exited observer at their location.
[01:29:42	]C17:RL.KING-2 exited observer at their location.
[01:29:42	]C17:i5.UNION-79 entered observer.
[01:29:43	]C17:i5.UNION-79 exited observer at their location.
[01:29:47	]Enistein has unloaded their "C17:i5.UNION-79" character.
[01:29:52	]Enistein loaded the character 'Elazar Gül'
[01:29:53	]Elazar Gül entered observer.
[01:29:55	]C17:RL.KING-2 entered observer.
[01:29:57	]Elazar Gül exited observer at their location.
[01:30:00	]C17:RL.KING-2 exited observer at their location.
[01:30:06	]C17:RL.KING-2 ran 'Equip' on item 'Combine PDA' (#27782)
[01:31:27	]Enistein has unloaded their "Elazar Gül" character.
[01:31:31	]Enistein loaded the character 'C17:i5.UNION-79'
[01:31:33	]DavşanAbi has unloaded their "C17:RL.KING-2" character.
[01:31:40	]DavşanAbi loaded the character 'C17:i1.HELIX-12'
[01:31:41	]C17:i1.HELIX-12 entered observer.
[01:31:48	]C17:i1.HELIX-12 ran SAM command 'goto' with arguments: 'UNION'
[01:31:50	]C17:i1.HELIX-12 exited observer at their location.
[01:32:08	]C17:i1.HELIX-12 entered observer.
[01:32:09	]C17:i1.HELIX-12 exited observer at their location.
[01:32:20	]C17:i1.HELIX-12 entered observer.
[01:32:30	]C17:i1.HELIX-12 exited observer at their location.
[01:32:30	]C17:i5.UNION-79 entered observer.
[01:32:35	]C17:i1.HELIX-12 is fully healed.
[01:32:35	]C17:i1.HELIX-12 entered observer.
[01:32:37	]C17:i5.UNION-79 exited observer at their location.
[01:32:57	]C17:i1.HELIX-12 exited observer at their location.
[01:33:00	]C17:i1.HELIX-12 entered observer.
[01:33:03	]C17:i1.HELIX-12 exited observer at their location.
[01:33:03	]C17:i1.HELIX-12 entered observer.
[01:33:04	]C17:i1.HELIX-12 exited observer at their location.
[01:33:05	]C17:i1.HELIX-12 entered observer.
[01:33:06	]C17:i1.HELIX-12 exited observer at their location.
[01:33:07	]C17:i1.HELIX-12 entered observer.
[01:33:08	]C17:i1.HELIX-12 exited observer at their location.
[01:33:09	]C17:i1.HELIX-12 entered observer.
[01:33:10	]C17:i1.HELIX-12 exited observer at their location.
[01:33:11	]C17:i1.HELIX-12 entered observer.
[01:33:12	]C17:i1.HELIX-12 exited observer at their location.
[01:33:17	]C17:i1.HELIX-12 entered observer.
[01:33:17	]C17:i1.HELIX-12 exited observer at their location.
[01:33:18	]C17:i1.HELIX-12 entered observer.
[01:33:19	]C17:i1.HELIX-12 exited observer at their location.
[01:33:20	]C17:i1.HELIX-12 entered observer.
[01:33:26	]C17:i1.HELIX-12 exited observer at their location.
[01:33:31	]C17:i1.HELIX-12 entered observer.
[01:33:35	]C17:i1.HELIX-12 exited observer at their location.
[01:34:27	]C17:i1.HELIX-12 entered observer.
[01:34:37	]C17:i1.HELIX-12 exited observer at their location.
[01:34:38	]C17:i1.HELIX-12 entered observer.
[01:34:51	]C17:i1.HELIX-12 exited observer at their location.
[01:34:52	]C17:i1.HELIX-12 entered observer.
