[00:03:08	]Kaan has connected.
[00:18:55	]Natalya Ivanova has spawned 'models/props_lab/powerbox02c.mdl'.
[00:18:58	]Joachirn Lichlenberg is no longer afk. Total time spent AFK: 345
[00:19:00	]Joachirn Lichlenberg used command '/ExitAct'.
[00:19:00	]Natalya Ivanova has spawned 'models/props_lab/walllight001a.mdl'.
[00:19:09	]Joachirn Lichlenberg used command '/ActSit 6'.
[00:19:19	]Natalya Ivanova has spawned 'models/props_lab/teleportgate.mdl'.
[00:19:21	]Natalya Ivanova has spawned 'models/shadertest/shaderslab1.mdl'.
[00:19:31	]Natalya Ivanova has spawned 'models/props_lab/notepad001a.mdl'.
[00:19:39	]Natalya Ivanova has spawned 'models/props_lab/labmonitor001a.mdl'.
[00:19:44	]Natalya Ivanova has spawned 'models/props_lab/labmonitor004a.mdl'.
[00:19:48	]Natalya Ivanova has spawned 'models/props_lab/labmonitor006a.mdl'.
[00:19:53	]Natalya Ivanova has spawned 'models/props_lab/labmonitor005a.mdl'.
[00:19:55	]Joachirn Lichlenberg used command '/ExitAct'.
[00:19:58	]Natalya Ivanova has spawned 'models/props_lab/labshelf001a.mdl'.
[00:20:02	]Natalya Ivanova has spawned 'models/props_lab/ladderset.mdl'.
[00:20:05	]Natalya Ivanova has spawned 'models/props_lab/pipesystem01a.mdl'.
[00:20:08	]Natalya Ivanova has spawned 'models/props_lab/paperbin001a.mdl'.
[00:20:13	]Joachirn Lichlenberg has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[00:20:26	]Joachirn Lichlenberg ran 'Open' on item 'Rasyon' (#2549)
[00:20:26	]Joachirn Lichlenberg has gained a 'Yapay Macun' #2550.
[00:20:26	]Joachirn Lichlenberg has gained a 'Breen Suyu' #2551.
[00:20:26	]Joachirn Lichlenberg has gained a '15 Kredi Kuponu' #2552.
[00:20:27	]Natalya Ivanova has spawned 'models/props_lab/kennel.mdl'.
[00:20:29	]Natalya Ivanova has spawned 'models/props_lab/kennel_physics.mdl'.
[00:20:32	]Joachirn Lichlenberg ran 'Consume' on item 'Yapay Macun' (#2550)
[00:20:32	]Joachirn Lichlenberg has gained a 'Boş Kavanoz' #2553.
[00:20:35	]Natalya Ivanova has spawned 'models/labware/beaker2.mdl'.
[00:20:39	]Natalya Ivanova has spawned 'models/props_doors/doorklab01.mdl'.
[00:20:40	]Joachirn Lichlenberg ran 'Consume' on item 'Breen Suyu' (#2551)
[00:20:40	]Joachirn Lichlenberg has wasted a level -2 long boost in Zeka (current: -2; target: 0).
[00:20:40	]Joachirn Lichlenberg has wasted a level -1 long boost in Algı (current: -1; target: 0).
[00:20:40	]Joachirn Lichlenberg has gained a 'Boş Breen'in Suyu' #2554.
[00:21:10	]Joachirn Lichlenberg used command '/ActSit 6'.
[00:21:30	]Natalya Ivanova opened the 'Çöp Kutusu' #11930 container.
[00:21:30	]Natalya Ivanova closed the 'Çöp Kutusu' #11930 container.
[00:21:43	]Natalya Ivanova has acquired his ration, gaining 0 credits, 40 wages and a priority_ration ration.
[00:21:59	]Natalya Ivanova ran 'take' on item 'Öncelikli Loyalist Rasyonu' (#2555)
[00:21:59	]Natalya Ivanova has gained a 'Öncelikli Loyalist Rasyonu' #2555.
[00:22:06	]Natalya Ivanova ran 'Open' on item 'Öncelikli Loyalist Rasyonu' (#2555)
[00:22:06	]Natalya Ivanova has gained a 'Evrensel Birlik Çikolatası' #2556.
[00:22:06	]Natalya Ivanova has gained a 'Somon Biftek' #2557.
[00:22:06	]Natalya Ivanova has gained a 'Köpüklü Breen Suyu' #2558.
[00:22:06	]Natalya Ivanova has gained a '30 Kredi Kuponu' #2559.
[00:22:13	]Natalya Ivanova ran 'Use' on item '30 Kredi Kuponu' (#2559)
[00:22:15	]Natalya Ivanova has used a coupon at a ration dispenser, gaining 30 credits.
[00:22:47	]Natalya Ivanova used command '/ActSit'.
[00:23:22	]Sebastian Adrian is no longer afk. Total time spent AFK: 1155
[00:26:02	]Natalya Ivanova used command '/ExitAct'.
[00:26:07	]Natalya Ivanova used command '/ActSit'.
[00:26:09	]Natalya Ivanova used command '/ActSit'.
[00:27:16	]Natalya Ivanova used command '/ExitAct'.
[00:27:17	]Natalya Ivanova used command '/ActSit'.
[00:28:18	]Natalya Ivanova used command '/ExitAct'.
[00:28:20	]Natalya Ivanova used command '/ActSit'.
[00:28:52	]Sebastian Adrian has gone afk.
[00:31:01	]Natalya Ivanova used command '/ExitAct'.
[00:31:03	]Natalya Ivanova used command '/ActSit'.
[00:31:28	]Joachirn Lichlenberg has gone afk.
[00:31:37	]Sebastian Adrian is no longer afk. Total time spent AFK: 460
[00:31:38	]Joachirn Lichlenberg is no longer afk. Total time spent AFK: 305
[00:33:29	]Natalya Ivanova used command '/ExitAct'.
[00:36:22	]Natalya Ivanova used command '/ActArrest 3'.
[00:36:22	]Natalya Ivanova used command '/ExitAct'.
[00:36:34	]Natalya Ivanova used command '/ActSit 5'.
[00:37:07	]Sebastian Adrian has gone afk.
[00:40:08	]Joachirn Lichlenberg has gone afk.
[00:40:43	]Joachirn Lichlenberg is no longer afk. Total time spent AFK: 330
[00:41:02	]Natalya Ivanova used command '/ExitAct'.
[00:41:04	]Natalya Ivanova used command '/ActSit 5'.
[00:44:47	]Natalya Ivanova used command '/ExitAct'.
[00:45:07	]Sebastian Adrian is no longer afk. Total time spent AFK: 775
[00:45:12	]Natalya Ivanova ran 'take' on item 'Plastik Çöp' (#1703)
[00:45:12	]Natalya Ivanova has gained a 'Plastik Çöp' #1703.
[00:45:13	]Natalya Ivanova ran 'take' on item 'Plastik Levhalar' (#1592)
[00:45:13	]Natalya Ivanova has gained a 'Plastik Levhalar' #1592.
[00:45:19	]Natalya Ivanova ran 'take' on item 'Boş Kavanoz' (#1598)
[00:45:19	]Natalya Ivanova has gained a 'Boş Kavanoz' #1598.
[00:45:20	]Natalya Ivanova ran 'take' on item 'Boş Kavanoz' (#2411)
[00:45:20	]Natalya Ivanova has gained a 'Boş Kavanoz' #2411.
[00:45:21	]Natalya Ivanova ran 'take' on item 'Boş Kavanoz' (#1711)
[00:45:21	]Natalya Ivanova has gained a 'Boş Kavanoz' #1711.
[00:45:24	]Natalya Ivanova ran 'take' on item 'Boş Kavanoz' (#1071)
[00:45:24	]Natalya Ivanova has gained a 'Boş Kavanoz' #1071.
[00:45:24	]Natalya Ivanova ran 'take' on item 'Boş Kavanoz' (#411)
[00:45:24	]Natalya Ivanova has gained a 'Boş Kavanoz' #411.
[00:45:26	]Natalya Ivanova ran 'take' on item 'Boş Breen'in Suyu' (#1485)
[00:45:29	]Joachirn Lichlenberg used command '/ExitAct'.
[00:45:29	]Natalya Ivanova ran 'drop' on item 'Plastik Çöp' (#1703)
[00:45:29	]Natalya Ivanova has lost a 'Plastik Çöp' #1703.
[00:45:29	]Natalya Ivanova ran 'drop' on item 'Plastik Levhalar' (#1592)
[00:45:29	]Natalya Ivanova has lost a 'Plastik Levhalar' #1592.
[00:45:30	]Natalya Ivanova ran 'drop' on item 'Boş Kavanoz' (#411)
[00:45:30	]Natalya Ivanova has lost a 'Boş Kavanoz' #411.
[00:45:32	]Natalya Ivanova ran 'drop' on item 'Boş Kavanoz' (#1071)
[00:45:32	]Natalya Ivanova has lost a 'Boş Kavanoz' #1071.
[00:45:34	]Natalya Ivanova ran 'drop' on item 'Boş Kavanoz' (#1598)
[00:45:34	]Natalya Ivanova has lost a 'Boş Kavanoz' #1598.
[00:45:35	]Natalya Ivanova ran 'drop' on item 'Boş Kavanoz' (#2411)
[00:45:35	]Natalya Ivanova has lost a 'Boş Kavanoz' #2411.
[00:45:36	]Natalya Ivanova ran 'drop' on item 'Boş Kavanoz' (#1711)
[00:45:36	]Natalya Ivanova has lost a 'Boş Kavanoz' #1711.
[00:45:53	]Natalya Ivanova used command '/ActSit 5'.
[00:46:15	]Sebastian Adrian used command '/ExitAct'.
[00:46:38	]Sebastian Adrian has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[00:46:51	]Sebastian Adrian ran 'take' on item 'Rasyon' (#2560)
[00:46:51	]Sebastian Adrian has gained a 'Rasyon' #2560.
[00:47:19	]Sebastian Adrian used command '/ActSit 2'.
[00:47:23	]Joachirn Lichlenberg used command '/ActSit 6'.
[00:48:42	]Natalya Ivanova used command '/ExitAct'.
[00:48:58	]Natalya Ivanova used command '/ActSit 2'.
[00:49:00	]Natalya Ivanova used command '/ExitAct'.
[00:49:02	]Natalya Ivanova used command '/ActSit'.
[00:54:20	]Natalya Ivanova has gone afk.
[00:54:43	]Joachirn Lichlenberg has gone afk.
[00:56:14	]Natalya Ivanova used command '/ExitAct'.
[00:56:15	]Natalya Ivanova is no longer afk. Total time spent AFK: 410
[00:56:19	]Natalya Ivanova used command '/ActSit'.
[01:00:36	]Natalya Ivanova used command '/ExitAct'.
[01:00:45	]Natalya Ivanova used command '/ActSit'.
[01:06:15	]Natalya Ivanova has gone afk.
[01:06:18	]Joachirn Lichlenberg is no longer afk. Total time spent AFK: 990
[01:08:30	]Natalya Ivanova is no longer afk. Total time spent AFK: 430
[01:12:18	]Joachirn Lichlenberg has gone afk.
[01:13:33	]Joachirn Lichlenberg is no longer afk. Total time spent AFK: 370
[01:13:34	]Joachirn Lichlenberg used command '/ExitAct'.
[01:13:43	][IC] Natalya Ivanova: Y.
[01:14:19	]Natalya Ivanova used command '/ExitAct'.
[01:14:19	]Joachirn Lichlenberg used command '/ActSit 6'.
[01:14:38	]Natalya Ivanova used command '/ActSit'.
[01:14:39	]Natalya Ivanova used command '/ExitAct'.
[01:14:41	]Natalya Ivanova used command '/ActSit'.
[01:19:32	]Joachirn Lichlenberg ran 'Convert' on item 'Su İşçiliği' (#1394)
[01:19:32	]Joachirn Lichlenberg has gained a 'Bob Water Orijinal' #2561.
[01:19:35	]Joachirn Lichlenberg ran 'Convert' on item 'Bob Water Orijinal' (#2561)
[01:19:35	]Joachirn Lichlenberg has gained a 'Su İşçiliği' #2562.
[01:19:46	]Natalya Ivanova used command '/ExitAct'.
[01:19:46	]Joachirn Lichlenberg ran 'Convert' on item 'Su İşçiliği' (#1394)
[01:19:46	]Joachirn Lichlenberg has gained a 'Bob Water Orijinal' #2563.
[01:19:49	]Joachirn Lichlenberg ran 'Consume' on item 'Bob Water Orijinal' (#2563)
[01:19:49	]Joachirn Lichlenberg has gained a 'Boş Bob Suyu' #2564.
[01:20:01	]Joachirn Lichlenberg used command '/ExitAct'.
[01:20:53	]Joachirn Lichlenberg used command '/ActSit 6'.
[01:26:47	]Natalya Ivanova has acquired his ration, gaining 0 credits, 40 wages and a priority_ration ration.
[01:26:59	]Natalya Ivanova ran 'take' on item 'Öncelikli Loyalist Rasyonu' (#2565)
[01:26:59	]Natalya Ivanova has gained a 'Öncelikli Loyalist Rasyonu' #2565.
[01:27:02	]Natalya Ivanova ran 'Open' on item 'Öncelikli Loyalist Rasyonu' (#2565)
[01:27:02	]Natalya Ivanova has gained a 'Evrensel Birlik Çikolatası' #2566.
[01:27:02	]Natalya Ivanova has gained a 'Somon Biftek' #2567.
[01:27:02	]Natalya Ivanova has gained a 'Köpüklü Breen Suyu' #2568.
[01:27:02	]Natalya Ivanova has gained a '30 Kredi Kuponu' #2569.
[01:27:06	]Natalya Ivanova ran 'Use' on item '30 Kredi Kuponu' (#2569)
[01:27:08	]Natalya Ivanova has used a coupon at a ration dispenser, gaining 30 credits.
[01:28:03	]Joachirn Lichlenberg has gone afk.
[01:28:27	]Joachirn Lichlenberg used command '/ExitAct'.
[01:28:28	]Joachirn Lichlenberg is no longer afk. Total time spent AFK: 320
[01:28:56	][LOOC] Natalya Ivanova: uyuyun be adam
[01:29:03	]Natalya Ivanova ran 'drop' on item 'Köpüklü Breen Suyu' (#2568)
[01:29:03	]Natalya Ivanova has lost a 'Köpüklü Breen Suyu' #2568.
[01:29:07	]Natalya Ivanova ran 'drop' on item 'Somon Biftek' (#2567)
[01:29:07	]Natalya Ivanova has lost a 'Somon Biftek' #2567.
[01:29:11	]Joachirn Lichlenberg ran 'Consume' on item 'Somon Biftek' (#2567)
[01:29:11	]Joachirn Lichlenberg has gained a level 5 long boost in Zeka.
[01:29:11	]Joachirn Lichlenberg has gained a level 5 long boost in Algı.
[01:29:14	]Joachirn Lichlenberg ran 'Consume' on item 'Köpüklü Breen Suyu' (#2568)
[01:29:14	]Joachirn Lichlenberg has gained a 'Boş Breen'in Suyu' #2570.
[01:29:15	]Natalya Ivanova ran 'drop' on item 'Evrensel Birlik Çikolatası' (#2566)
[01:29:15	]Natalya Ivanova has lost a 'Evrensel Birlik Çikolatası' #2566.
[01:29:19	]Joachirn Lichlenberg ran 'Consume' on item 'Evrensel Birlik Çikolatası' (#2566)
[01:29:19	]Joachirn Lichlenberg has gained a 'Plastik Çöp' #2571.
[01:29:21	][LOOC] Natalya Ivanova: afied
[01:29:25	]Natalya Ivanova used command '/ActSit'.
[01:29:37	]Natalya Ivanova used command '/ExitAct'.
[01:29:48	]Natalya Ivanova used command '/ActWave'.
[01:30:00	]Sebastian Adrian ran 'Open' on item 'Rasyon' (#2560)
[01:30:00	]Sebastian Adrian has gained a 'Yapay Macun' #2572.
[01:30:00	]Sebastian Adrian has gained a 'Breen Suyu' #2573.
[01:30:00	]Sebastian Adrian has gained a '15 Kredi Kuponu' #2574.
[01:30:01	]Sebastian Adrian ran 'Consume' on item 'Breen Suyu' (#2573)
[01:30:01	]Sebastian Adrian has wasted a level -2 long boost in Zeka (current: -2; target: 0).
[01:30:01	]Sebastian Adrian has wasted a level -1 long boost in Algı (current: -1; target: 0).
[01:30:01	]Sebastian Adrian has gained a 'Boş Breen'in Suyu' #2575.
[01:30:04	]Sebastian Adrian ran 'Consume' on item 'Yapay Macun' (#2572)
[01:30:04	]Sebastian Adrian has gained a 'Boş Kavanoz' #2576.
[01:30:05	]Sebastian Adrian ran 'drop' on item 'Boş Kavanoz' (#2576)
[01:30:05	]Sebastian Adrian has lost a 'Boş Kavanoz' #2576.
[01:30:06	]Sebastian Adrian ran 'drop' on item 'Boş Breen'in Suyu' (#2575)
[01:30:06	]Sebastian Adrian has lost a 'Boş Breen'in Suyu' #2575.
[01:30:08	]Sebastian Adrian ran 'Open' on item 'Rasyon' (#2405)
[01:30:08	]Sebastian Adrian has gained a 'Yapay Macun' #2577.
[01:30:08	]Sebastian Adrian has gained a 'Breen Suyu' #2578.
[01:30:08	]Sebastian Adrian has gained a '15 Kredi Kuponu' #2579.
[01:30:09	]Sebastian Adrian ran 'Consume' on item 'Breen Suyu' (#2578)
[01:30:09	]Sebastian Adrian has wasted a level -2 long boost in Zeka (current: -2; target: 0).
[01:30:09	]Sebastian Adrian has wasted a level -1 long boost in Algı (current: -1; target: 0).
[01:30:09	]Sebastian Adrian has gained a 'Boş Breen'in Suyu' #2580.
[01:30:10	]Sebastian Adrian ran 'Consume' on item 'Yapay Macun' (#2577)
[01:30:10	]Sebastian Adrian has gained a 'Boş Kavanoz' #2581.
[01:30:11	]Sebastian Adrian ran 'drop' on item 'Boş Breen'in Suyu' (#2580)
[01:30:11	]Sebastian Adrian has lost a 'Boş Breen'in Suyu' #2580.
[01:30:12	]Sebastian Adrian ran 'drop' on item 'Boş Kavanoz' (#2581)
[01:30:12	]Sebastian Adrian has lost a 'Boş Kavanoz' #2581.
[01:31:07	]Joachirn Lichlenberg used command '/ActSit 6'.
[01:36:16	]Joachirn Lichlenberg used command '/ActArrest'.
[01:36:20	]Joachirn Lichlenberg used command '/ExitAct'.
[01:36:24	]Joachirn Lichlenberg used command '/ActInjured'.
[01:36:27	]Joachirn Lichlenberg used command '/ExitAct'.
[01:36:32	]Joachirn Lichlenberg used command '/ActCheer'.
[01:36:39	]Joachirn Lichlenberg used command '/ActLean'.
[01:36:51	]Joachirn Lichlenberg used command '/ActCheer'.
[01:36:58	]Joachirn Lichlenberg used command '/ActPant'.
[01:37:00	]Joachirn Lichlenberg used command '/ActSitWall'.
[01:37:02	]Joachirn Lichlenberg used command '/ActWindow'.
[01:37:10	]Joachirn Lichlenberg used command '/ActWindow'.
[01:37:13	]Joachirn Lichlenberg used command '/ExitAct'.
[01:37:17	]Joachirn Lichlenberg used command '/ActSitWall'.
[01:37:19	]Joachirn Lichlenberg used command '/ActLean'.
[01:37:19	]Sebastian Adrian used command '/ExitAct'.
[01:37:21	]Joachirn Lichlenberg used command '/ActSitWall'.
[01:37:23	]Joachirn Lichlenberg used command '/ActSitLean'.
[01:37:26	]Joachirn Lichlenberg used command '/ExitAct'.
[01:41:17	]Joachirn Lichlenberg has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[01:41:33	]Joachirn Lichlenberg ran 'Open' on item 'Rasyon' (#2582)
[01:41:33	]Joachirn Lichlenberg has gained a 'Yapay Macun' #2583.
[01:41:33	]Joachirn Lichlenberg has gained a 'Breen Suyu' #2584.
[01:41:33	]Joachirn Lichlenberg has gained a '15 Kredi Kuponu' #2585.
[01:42:37	]Sebastian Adrian has gone afk.
[01:42:53	]Joachirn Lichlenberg opened the 'Çöp Konteyneri' #11959 container.
[01:42:55	]Joachirn Lichlenberg closed the 'Çöp Konteyneri' #11959 container.
[01:42:56	]Joachirn Lichlenberg opened the 'Çöp Konteyneri' #11959 container.
[01:42:59	]Joachirn Lichlenberg has transferred a 'Boş Breen'in Suyu' #2554 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:00	]Joachirn Lichlenberg has transferred a 'Boş Breen'in Suyu' #1691 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:01	]Joachirn Lichlenberg has transferred a 'Boş Kahve Fincanı' #1568 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:03	]Joachirn Lichlenberg has transferred a 'Boş Breen'in Suyu' #1480 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:06	]Joachirn Lichlenberg has transferred a 'Boş Breen'in Suyu' #2570 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:11	]Joachirn Lichlenberg has transferred a 'Boş Kavanoz' #2553 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:13	]Joachirn Lichlenberg has transferred a 'Boş Kavanoz' #2433 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:16	]Joachirn Lichlenberg has transferred a 'Boş Bob Suyu' #2564 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:17	]Joachirn Lichlenberg ran 'combine' on item '15 Kredi Kuponu' (#1107)
[01:43:18	]Joachirn Lichlenberg ran 'combine' on item '15 Kredi Kuponu' (#1107)
[01:43:19	]Joachirn Lichlenberg ran 'combine' on item '15 Kredi Kuponu' (#1107)
[01:43:25	]Joachirn Lichlenberg has transferred a 'Boş Breen'in Suyu' #2523 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:33	]Joachirn Lichlenberg has transferred a 'Plastik Çöp' #2571 to a container with the name 'Çöp Konteyneri' #11959.
[01:43:35	]Joachirn Lichlenberg closed the 'Çöp Konteyneri' #11959 container.
[01:44:07	]Sebastian Adrian is no longer afk. Total time spent AFK: 385
[01:45:06	]Sebastian Adrian used command '/ExitAct'.
[01:45:11	]Joachirn Lichlenberg used command '/ExitAct'.
[01:45:11	]Sebastian Adrian used command '/ExitAct'.
[01:45:16	]Sebastian Adrian used command '/ExitAct'.
[01:45:20	]Sebastian Adrian used command '/ExitAct'.
[01:47:08	]Sebastian Adrian used command '/ExitAct'.
[01:47:38	]Sebastian Adrian used command '/ActSitChair 2'.
[01:47:41	]Sebastian Adrian used command '/ExitAct'.
[01:48:39	]Sebastian Adrian used command '/ActWave'.
[01:48:42	]Sebastian Adrian used command '/ExitAct'.
[01:48:47	]Natalya Ivanova used command '/ActWave'.
[01:48:48	]Sebastian Adrian used command '/ActWave 2'.
[01:48:50	]Sebastian Adrian used command '/ExitAct'.
[01:48:52	]Sebastian Adrian used command '/ActWave'.
[01:48:57	]Sebastian Adrian used command '/ActWave 4'.
[01:48:59	]Sebastian Adrian used command '/ActWave 3'.
[01:49:02	]Sebastian Adrian used command '/ActWave 2'.
[01:49:09	]Sebastian Adrian used command '/ActWave 2'.
[01:49:11	]Sebastian Adrian used command '/ActWave'.
[01:49:14	]Sebastian Adrian used command '/ActWave 1'.
[01:49:28	]Sebastian Adrian has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[01:49:31	]Joachirn Lichlenberg used command '/ActWave'.
[01:49:38	]Natalya Ivanova used command '/ActWave 2'.
[01:49:51	]Natalya Ivanova used command '/ActWave'.
[01:49:52	]Sebastian Adrian ran 'take' on item 'Rasyon' (#2586)
[01:49:52	]Sebastian Adrian has gained a 'Rasyon' #2586.
[01:49:57	]Joachirn Lichlenberg used command '/ActWave'.
[01:49:58	]Natalya Ivanova used command '/ActCheer'.
[01:50:02	]Joachirn Lichlenberg used command '/ActWave'.
[01:50:03	]Natalya Ivanova used command '/ActCheer 3'.
[01:50:05	]Natalya Ivanova used command '/ActCheer 2'.
[01:50:09	]Joachirn Lichlenberg used command '/ActWave'.
[01:50:17	]Joachirn Lichlenberg used command '/ActWave'.
[01:50:26	]Sebastian Adrian used command '/ActWave 2'.
[01:50:42	]Joachirn Lichlenberg used command '/ActWave'.
[01:50:43	]Natalya Ivanova used command '/ActWindow'.
[01:50:45	]Natalya Ivanova used command '/ExitAct'.
[01:50:51	]Joachirn Lichlenberg used command '/ActStand'.
[01:50:53	][LOOC] Sebastian Adrian: willard bağımlısı 2 genç
[01:51:01	]Joachirn Lichlenberg used command '/ExitAct'.
[01:51:02	]Natalya Ivanova used command '/ActStand'.
[01:51:07	]Joachirn Lichlenberg used command '/ActWave'.
[01:51:09	][LOOC] Natalya Ivanova: Uyuyun be adam
[01:51:11	]Joachirn Lichlenberg used command '/ActWave'.
[01:51:22	]Joachirn Lichlenberg used command '/ActWindow'.
[01:51:24	][LOOC] Sebastian Adrian: cok sevdik biz sunucuyu
[01:51:25	]Joachirn Lichlenberg used command '/ExitAct'.
[01:51:29	]Joachirn Lichlenberg used command '/ActArrest'.
[01:51:32	]Joachirn Lichlenberg used command '/ExitAct'.
[01:51:37	]Sebastian Adrian used command '/ActStand 2'.
[01:51:40	][LOOC] Natalya Ivanova: ne güzel bu saatte napıyonuz rpmi
[01:51:40	]Sebastian Adrian used command '/ExitAct'.
[01:51:45	]Sebastian Adrian used command '/ActStand'.
[01:51:48	][LOOC] Sebastian Adrian: yok erp
[01:51:54	][LOOC] Sebastian Adrian: şaka şaka dıkpgfğnjğdp
[01:51:55	][LOOC] Natalya Ivanova: Çok iyi böle devam
[01:52:06	][LOOC] Sebastian Adrian: hocam lore'a karşı olmasa
[01:52:13	][LOOC] Sebastian Adrian: pdljmghğdgj
[01:52:23	]Sebastian Adrian used command '/ActStand 3'.
[01:52:25	]Sebastian Adrian used command '/ExitAct'.
[01:52:26	]Sebastian Adrian used command '/ActStand 3'.
[01:52:28	][LOOC] Natalya Ivanova: Gocunmayın bişe olmaz
[01:52:28	]Sebastian Adrian used command '/ExitAct'.
[01:52:31	]Sebastian Adrian used command '/ActStand 4'.
[01:52:31	][LOOC] Joachirn Lichlenberg: güzel ama gerçekten sunucu
[01:52:33	]Sebastian Adrian used command '/ExitAct'.
[01:52:34	]Sebastian Adrian used command '/ActStand 5'.
[01:52:36	]Sebastian Adrian used command '/ExitAct'.
[01:52:38	]Sebastian Adrian used command '/ActStand 5'.
