[17:34:51	]jokaz 🗿 has connected.
[17:50:22	][IC] hymel jadwiga: Olek co tam słychać.
[17:50:30	][IC] William Cartwright: Mój stary CP supervisor Cię dojedzie.
[17:50:37	]Snakeiter has connected.
[17:50:46	][IC] hymel jadwiga: Chuj mnie obchodzi twój stary.
[17:50:55	][IC] William Cartwright: Chuj Cię to boli, pakuj się do klatki niewolnico.
[17:51:08	][IC] hymel jadwiga: Nic mi nie zrobisz.
[17:51:10	][AltChecker] Snakeiter joined for the first time, generating new cookie.
[17:51:14	]hymel jadwiga used command '/ExitAct'.
[17:51:22	]William Cartwright has taken 5 damage from hymel jadwiga.
[17:51:37	]Oktawiangr (STEAM_0:0:69588746) has disconnected.
[17:51:42	]Maciek Dąbrowski has spawned a 'Entity [390][arcade_pong]'.
[17:52:00	]Inkaaz has connected.
[17:52:18	][AltChecker] Inkaaz joined for the first time, generating new cookie.
[17:52:24	]Snakeiter created the character 'Sentino a nie sentinel'
[17:52:24	]Snakeiter loaded the character 'Sentino a nie sentinel'
[17:52:24	]Sentino a nie sentinel has gained a 'Suitcase' #25.
[17:52:24	]Sentino a nie sentinel has gained a '#05838's Identity Card' #26.
[17:52:32	]Maciek Dąbrowski has spawned a 'Entity [390][arcade_spaceinvaders]'.
[17:52:42	][IC] hymel jadwiga: Wypierdalaj.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:50	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:52:50	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:52:51	][IC] hymel jadwiga: Ale lufa.
[17:52:55	]Maciek Dąbrowski has critically hit hymel jadwiga in the head dealing 11 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 11 damage from Maciek Dąbrowski.
[17:52:55	]Maciek Dąbrowski has critically hit hymel jadwiga in the head dealing 11 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 11 damage from Maciek Dąbrowski.
[17:52:55	]Maciek Dąbrowski has critically hit hymel jadwiga in the head dealing 11 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 11 damage from Maciek Dąbrowski.
[17:52:55	]Maciek Dąbrowski has critically hit hymel jadwiga in the head dealing 11 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 11 damage from Maciek Dąbrowski.
[17:52:55	]Maciek Dąbrowski has critically hit hymel jadwiga in the head dealing 11 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 11 damage from Maciek Dąbrowski.
[17:52:55	]Maciek Dąbrowski has critically hit hymel jadwiga in the head dealing 11 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 11 damage from Maciek Dąbrowski.
[17:52:55	]Maciek Dąbrowski has critically hit hymel jadwiga in the chest dealing 10 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 10 damage from Maciek Dąbrowski.
[17:52:55	]Maciek Dąbrowski has hit hymel jadwiga in the head dealing 5 damage (CritChance was 0.77).
[17:52:55	]hymel jadwiga has taken 5 damage from Maciek Dąbrowski.
[17:52:58	]Maciek Dąbrowski has critically hit hymel jadwiga in the chest dealing 10 damage (CritChance was 0.77).
[17:52:58	]hymel jadwiga has taken 10 damage from Maciek Dąbrowski.
[17:52:58	]Maciek Dąbrowski has critically hit hymel jadwiga in the head dealing 11 damage (CritChance was 0.77).
[17:52:58	]hymel jadwiga was knocked unconscious and is bleeding out.
[17:52:59	][ME] hymel jadwiga: boli
[17:52:59	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the right arm dealing 3 damage (CritChance was 0.77).
[17:52:59	]Sentino a nie sentinel has taken 2 damage from Maciek Dąbrowski.
[17:53:01	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the chest dealing 10 damage (CritChance was 0.77).
[17:53:01	]Sentino a nie sentinel was knocked unconscious and is bleeding out.
[17:53:05	][ME] hymel jadwiga: salutuje
[17:53:06	][ME] hymel jadwiga: salutuje
[17:53:07	][ME] hymel jadwiga: salutuje
[17:53:08	][ME] hymel jadwiga: salutuje
[17:53:09	][ME] hymel jadwiga: salutuje
[17:53:10	][ME] hymel jadwiga: salutuje
[17:53:10	][ME] hymel jadwiga: salutuje
[17:53:23	]Sentino a nie sentinel was just killed due to: accepting their death
[17:53:35	]hymel jadwiga was just killed due to: accepting their death
[17:54:08	]Sentino a nie sentinel has taken 23 damage from Maciek Dąbrowski.
[17:54:08	]Sentino a nie sentinel has taken 5 damage from Maciek Dąbrowski.
[17:54:09	]Sentino a nie sentinel has taken 23 damage from Maciek Dąbrowski.
[17:54:09	]hymel jadwiga has taken 5 damage from Maciek Dąbrowski.
[17:54:10	]Sentino a nie sentinel has taken 23 damage from Maciek Dąbrowski.
[17:54:13	][IC] hymel jadwiga: Zabij go prosze.
[17:54:14	]Sentino a nie sentinel has taken 5 damage from Maciek Dąbrowski.
[17:54:15	]Sentino a nie sentinel was knocked unconscious and is bleeding out.
[17:54:17	]Sentino a nie sentinel was killed while bleeding out.
[17:54:17	]Maciek Dąbrowski has killed Sentino a nie sentinel with player.
[17:54:23	][IC] hymel jadwiga: Ale głupia dziwka haha.
[17:54:28	][ME] Sentino a nie sentinel: rucha
[17:54:44	]hymel jadwiga has taken 50 damage from Maciek Dąbrowski.
[17:54:44	]hymel jadwiga was knocked unconscious and is bleeding out.
[17:54:48	][IC] hymel jadwiga: Ała.
[17:55:02	]hymel jadwiga was just killed due to: accepting their death
[17:55:03	]Maciek Dąbrowski has hit Sentino a nie sentinel dealing 45 damage (CritChance was -0.15).
[17:55:03	]Sentino a nie sentinel has taken 45 damage from Maciek Dąbrowski.
[17:55:14	][IC] Sentino a nie sentinel: Pogadajmy.
[17:55:15	]Sentino a nie sentinel was knocked unconscious and is bleeding out.
[17:55:18	]Sentino a nie sentinel was killed while bleeding out.
[17:55:18	]Maciek Dąbrowski has killed Sentino a nie sentinel with player.
[17:55:26	]Maciek Dąbrowski has spawned a 'Entity [423][ix_advancedcontainer]'.
[17:55:34	]Sentino a nie sentinel ran 'Equip' on item 'Suitcase' (#25)
[17:55:35	]Maciek Dąbrowski has spawned a 'Entity [425][sent_vj_adminhealthkit]'.
[17:55:36	][IC] hymel jadwiga: Przemoc w mieście.
[17:55:41	]Maciek Dąbrowski has spawned a 'Entity [425][sent_vj_fireplace]'.
[17:55:42	][IC] William Cartwright: Twoja stara.
[17:55:44	]William Cartwright has taken 1 damage from entityflame.
[17:55:44	]William Cartwright has taken 1 damage from entityflame.
[17:55:44	]William Cartwright has taken 1 damage from entityflame.
[17:55:45	]William Cartwright has taken 1 damage from entityflame.
[17:55:45	]William Cartwright has taken 1 damage from entityflame.
[17:55:45	]William Cartwright has taken 1 damage from entityflame.
[17:55:45	]William Cartwright has taken 1 damage from entityflame.
[17:55:45	]William Cartwright has taken 1 damage from entityflame.
[17:55:46	]William Cartwright has taken 1 damage from entityflame.
[17:55:46	]William Cartwright has taken 1 damage from entityflame.
[17:55:46	]William Cartwright has taken 1 damage from entityflame.
[17:55:46	]William Cartwright has taken 1 damage from entityflame.
[17:55:46	]William Cartwright has taken 1 damage from entityflame.
[17:55:47	]William Cartwright has taken 1 damage from entityflame.
[17:55:47	]William Cartwright has taken 1 damage from entityflame.
[17:55:47	]William Cartwright has taken 1 damage from entityflame.
[17:55:47	]William Cartwright has taken 1 damage from entityflame.
[17:55:47	]William Cartwright has taken 1 damage from entityflame.
[17:55:48	]William Cartwright has taken 1 damage from entityflame.
[17:55:48	]William Cartwright has taken 1 damage from entityflame.
[17:55:48	]William Cartwright has taken 1 damage from entityflame.
[17:55:48	]William Cartwright has taken 1 damage from entityflame.
[17:55:48	]Maciek Dąbrowski has spawned a 'Entity [425][prop_vj_flag]'.
[17:55:48	]William Cartwright has taken 1 damage from entityflame.
[17:55:49	]William Cartwright has taken 1 damage from entityflame.
[17:55:49	]William Cartwright has taken 1 damage from entityflame.
[17:55:49	]William Cartwright has taken 1 damage from entityflame.
[17:55:49	]William Cartwright has taken 1 damage from entityflame.
[17:55:50	][IC] hymel jadwiga: Helikopter w ogniu.
[17:55:56	]Maciek Dąbrowski has spawned a 'Entity [425][ent_mannable_airboatgun]'.
[17:56:00	]Maciek Dąbrowski has spawned a 'Entity [426][ent_mannable_hmg]'.
[17:56:12	]Inkaaz created the character 'Jozin Svobodnik'
[17:56:12	]Inkaaz loaded the character 'Jozin Svobodnik'
[17:56:12	]Oktawiangr has connected.
[17:56:12	]Jozin Svobodnik has gained a 'Suitcase' #27.
[17:56:12	]Jozin Svobodnik has gained a '#06489's Identity Card' #28.
[17:56:12	]Jozin Svobodnik has gained a 'Green Jumpsuit' #29.
[17:56:12	]Jozin Svobodnik has gained a 'Green Jumpsuit Trousers' #30.
[17:56:12	]Jozin Svobodnik has gained a 'Brown Leather Boots' #31.
[17:56:14	][IC] hymel jadwiga: Strzealm do krzysztofa.
[17:56:40	]Maciek Dąbrowski set allowVoice to '[true]'.
[17:56:42	]Maciek Dąbrowski entered observer.
[17:56:42	]Maciek Dąbrowski exited observer.
[17:56:58	]Oktawiangr loaded the character 'aleksander jablonowski'
[17:57:07	]Jozin Svobodnik ran SAM command 'asay' with arguments: 'jak wlonczyc thir dperson'
[17:57:09	]Jozin Svobodnik ran SAM command 'asay' with arguments: 'admin'
[17:57:26	]Sentino a nie sentinel has taken 5 damage from Jozin Svobodnik.
[17:57:30	]Maciek Dąbrowski used command '/ActSitLean'.
[17:57:37	]Maciek Dąbrowski used command '/ExitAct'.
[17:57:48	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:57:48	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:57:48	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:57:48	]Maciek Dąbrowski has hit Sentino a nie sentinel in the head dealing 5 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 5 damage from Maciek Dąbrowski.
[17:57:48	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:57:48	]Maciek Dąbrowski has hit Sentino a nie sentinel in the head dealing 5 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 5 damage from Maciek Dąbrowski.
[17:57:48	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:57:48	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the chest dealing 10 damage (CritChance was 0.77).
[17:57:48	]Sentino a nie sentinel has taken 10 damage from Maciek Dąbrowski.
[17:57:49	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:57:49	]Sentino a nie sentinel has taken 11 damage from Maciek Dąbrowski.
[17:57:49	]Maciek Dąbrowski has critically hit Sentino a nie sentinel in the head dealing 11 damage (CritChance was 0.77).
[17:57:49	]Sentino a nie sentinel was knocked unconscious and is bleeding out.
[17:58:17	]Maciek Dąbrowski has spawned a 'Entity [421][ix_campfire]'.
[17:58:20	][OOC] Jozin Svobodnik: siema jak do policj dolonczyc
[17:58:21	][IC] Sentino a nie sentinel: Kurwo dobij mnie.
[17:58:22	]Sentino a nie sentinel used command '/CharGetUp'.
[17:58:27	]Sentino a nie sentinel was just killed due to: accepting their death
[17:58:30	][ME] Sentino a nie sentinel: Wycelowywuje swoją bronią w osobę przed sobą po czym pociąga za spust ze śmiertelnym zamiarem
[17:58:33	]Maciek Dąbrowski has spawned a 'Entity [417][mmod_laserdot]'.
[17:58:39	]Maciek Dąbrowski has spawned a 'Entity [424][ix_workerk_water]'.
[17:58:42	]Maciek Dąbrowski has spawned a 'Entity [424][ix_vortshield]'.
[17:58:51	]Maciek Dąbrowski has spawned a 'Entity [389][ix_breachingcharge]'.
[17:58:53	]Maciek Dąbrowski used command '/DoorBuy'.
[17:58:54	]Maciek Dąbrowski used command '/DoorBuy'.
[17:59:00	]Maciek Dąbrowski has used a context menu option with the name: door_lockunlock
[17:59:03	]Jozin Svobodnik used command '/ActWave'.
[17:59:03	]Maciek Dąbrowski has spawned a 'Entity [417][ix_combinelock_cwu]'.
[17:59:09	]Jozin Svobodnik used command '/ActPant'.
[17:59:17	]Maciek Dąbrowski has spawned a 'Entity [424][ix_workshiftterminal]'.
[17:59:21	]Maciek Dąbrowski has spawned a 'Entity [435][ix_watercache]'.
[17:59:25	]Jozin Svobodnik used command '/ExitAct'.
[17:59:34	]Maciek Dąbrowski has spawned a 'Entity [418][ix_infestation_tank]'.
[17:59:34	][IC] Jozin Svobodnik: Kochanie daj wl cp pls.
[17:59:54	]Sentino a nie sentinel has taken 5 damage from Jozin Svobodnik.
[17:59:55	]Sentino a nie sentinel has taken 5 damage from Jozin Svobodnik.
[17:59:56	]hymel jadwiga has taken 5 damage from Jozin Svobodnik.
[17:59:57	]Sentino a nie sentinel has taken 5 damage from Jozin Svobodnik.
[17:59:58	]Maciek Dąbrowski has taken 5 damage from Sentino a nie sentinel.
[17:59:58	]Sentino a nie sentinel has taken 5 damage from Jozin Svobodnik.
[17:59:59	]Maciek Dąbrowski ran SAM command 'slay' with arguments: 'STEAM_0:1:146784845'
[18:00:01	]Maciek Dąbrowski is fully healed.
[18:00:15	]Maciek Dąbrowski has spawned a 'Entity [421][ix_supplycontainer]'.
[18:00:31	]Maciek Dąbrowski has spawned a 'Entity [421][ix_vendor]'.
[18:00:32	]Maciek Dąbrowski used the 'John Doe' vendor.
[18:00:39	]Maciek Dąbrowski has spawned a 'Entity [421][ix_smuggler]'.
[18:00:45	]Jozin Svobodnik ran SAM command 'asay' with arguments: 'hal oadmin'
[18:00:46	]Maciek Dąbrowski entered observer.
[18:00:52	]Maciek Dąbrowski exited observer.
[18:01:20	]William Cartwright has pressed the "VIC_CheckpointGate" map button.
[18:01:23	]hymel jadwiga has pressed the "VIC_CheckpointAlarm" map button.
[18:01:24	]hymel jadwiga has pressed the "VIC_CheckpointAlarm" map button.
[18:01:26	][Y] aleksander jablonowski: NIGGERS.
[18:01:27	]hymel jadwiga has pressed the "VIC_CheckpointGate" map button.
[18:01:29	]William Cartwright has pressed the "VIC_CheckpointGate" map button.
[18:01:29	][OOC] aleksander jablonowski: nigge
[18:01:31	]William Cartwright has pressed the "VIC_CheckpointAlarm" map button.
[18:01:35	]Maciek Dąbrowski used command '/PlyWhitelist Maciek ota'.
[18:01:39	]William Cartwright has taken 7 damage from worldspawn.
[18:01:50	]Maciek Dąbrowski used command '/PlyWhitelist Maciek cp'.
[18:01:55	][OOC] Jozin Svobodnik: Polska #1
[18:02:00	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:01	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:06	]Maciek Dąbrowski has disabled the xenforolink plugin for next restart.
[18:02:13	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:14	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:15	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:16	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:17	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:18	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:19	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:20	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:21	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:21	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:22	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:23	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:24	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:25	]Sentino a nie sentinel has taken 5 damage from hymel jadwiga.
[18:02:25	]Sentino a nie sentinel was knocked unconscious and is bleeding out.
[18:02:26	]Maciek Dąbrowski has spawned a 'NPC [417][npc_vj_hlr2b_merkava]'.
[18:02:33	]Maciek Dąbrowski has spawned a 'NPC [422][npc_vj_hlr2_barney]'.
[18:02:38	]Maciek Dąbrowski has spawned a 'NPC [417][npc_vj_hlr1_aflock]'.
[18:02:39	]William Cartwright has taken 5 damage from Jozin Svobodnik.
[18:02:41	]Maciek Dąbrowski has spawned a 'NPC [418][npc_vj_hlr1_bullsquid]'.
[18:02:45	]Maciek Dąbrowski has taken 25 damage from Bullsquid.
[18:02:46	]William Cartwright has taken 5 damage from Jozin Svobodnik.
[18:02:46	]Maciek Dąbrowski is fully healed.
[18:02:47	]Maciek Dąbrowski has spawned a 'NPC [417][npc_vj_hlr1_chumtoad]'.
[18:02:50	]William Cartwright has taken 5 damage from Jozin Svobodnik.
[18:02:53	]Sentino a nie sentinel was killed while bleeding out.
[18:02:53	]aleksander jablonowski has killed Sentino a nie sentinel with ix_hands.
[18:02:56	]Maciek Dąbrowski entered observer.
[18:02:56	]Maciek Dąbrowski exited observer.
[18:02:57	]Maciek Dąbrowski entered observer.
[18:02:58	]Maciek Dąbrowski exited observer.
[18:03:00	]Maciek Dąbrowski ran SAM command 'noclip' with arguments: ''
[18:03:02	]Maciek Dąbrowski ran SAM command 'noclip' with arguments: ''
[18:03:04	]Maciek Dąbrowski has spawned a 'NPC [417][npc_vj_hlr1_chumtoad]'.
[18:03:06	]Maciek Dąbrowski has spawned a 'NPC [423][npc_vj_hlr1_chumtoad]'.
[18:03:07	]Maciek Dąbrowski has spawned a 'NPC [417][npc_vj_hlr1_chumtoad]'.
[18:03:16	]Maciek Dąbrowski has spawned a 'NPC [424][npc_vj_hlr1_boid]'.
[18:03:16	]Maciek Dąbrowski has spawned a 'NPC [435][npc_vj_hlr1_boid]'.
