[16:26:48	]Lynx has connected.
[16:30:09	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:30:09	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:30:10	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#18931)
[16:30:10	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19091.
[16:30:10	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19092.
[16:30:10	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19093.
[16:30:36	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19084)
[16:30:38	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19084)
[16:30:40	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:30:55	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19084)
[16:30:57	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:31:01	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19084)
[16:31:03	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:31:06	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19084)
[16:31:09	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:32:43	]C24:i5.VICTOR-61 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[16:32:48	]C24:i5.VICTOR-61 has gained 0 chips.
[16:32:48	]C24:i5.VICTOR-61 has gained a 'Sivil Koruma Rasyonu' #19094.
[16:32:48	]C24:i5.VICTOR-61 has gained 0 chips.
[16:32:48	]C24:i5.VICTOR-61 has gained a 'Sivil Koruma Rasyonu' #19095.
[16:32:49	]C24:i5.VICTOR-61 has gained 0 chips.
[16:32:49	]C24:i5.VICTOR-61 has gained a 'Sivil Koruma Rasyonu' #19096.
[16:32:49	]C24:i5.VICTOR-61 has gained 0 chips.
[16:32:49	]C24:i5.VICTOR-61 has gained a 'Sivil Koruma Rasyonu' #19097.
[16:32:56	]C24:i5.VICTOR-61 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[16:33:03	]C24:i5.VICTOR-61 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[16:33:05	]C24:i5.VICTOR-61 has gained 0 chips.
[16:33:05	]C24:i5.VICTOR-61 has gained a 'Sivil Koruma Rasyonu' #19098.
[16:34:45	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#19094)
[16:34:45	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19099.
[16:34:45	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19100.
[16:34:45	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19101.
[16:34:50	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19100)
[16:34:50	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:34:50	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:34:51	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19099)
[16:34:51	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:34:59	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#19095)
[16:34:59	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19102.
[16:34:59	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19103.
[16:34:59	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19104.
[16:35:05	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19091)
[16:35:05	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:35:06	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19092)
[16:35:06	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:35:06	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:35:09	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#19097)
[16:35:09	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19105.
[16:35:09	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19106.
[16:35:09	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19107.
[16:35:13	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19106)
[16:35:13	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:35:13	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:35:14	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19105)
[16:35:14	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:35:15	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#19096)
[16:35:15	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19108.
[16:35:15	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19109.
[16:35:15	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19110.
[16:35:16	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19108)
[16:35:16	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:35:16	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19109)
[16:35:16	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:35:16	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:35:17	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#19098)
[16:35:17	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19111.
[16:35:17	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19112.
[16:35:17	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19113.
[16:35:19	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19111)
[16:35:19	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:35:20	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19112)
[16:35:20	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:35:20	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:35:25	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19101)
[16:35:27	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:35:31	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19101)
[16:35:33	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:35:37	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19101)
[16:35:39	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:35:50	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19101)
[16:35:52	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:35:58	]C24:i5.VICTOR-61 ran 'Use' on item '20 Kredi Kuponu' (#19101)
[16:36:00	]C24:i5.VICTOR-61 has used a coupon at a ration dispenser, gaining 20 credits.
[16:37:53	]C24:RCT.YELLO-84 (CID: REDACTED, item: 8775) has send 50 credits to John Hector (CID: 13120, item: 8721) via terminal.
[16:38:13	]doctor sex has connected.
[16:38:23	]Lynx has unloaded their "C24:i5.VICTOR-61" character.
[16:38:27	]Lynx loaded the character 'John Hector'
[16:38:50	]John Hector opened the 'Large Metal Cabinet' #2680 container.
[16:38:53	]John Hector closed the 'Large Metal Cabinet' #2680 container.
[16:38:54	]John Hector opened the 'Large Metal Cabinet' #2680 container.
[16:38:56	]John Hector has gained a 'Düşük Sınıf Rasyonu' #18744 from a container with the name 'Large Metal Cabinet' #2680.
[16:38:57	]John Hector ran 'Open' on item 'Düşük Sınıf Rasyonu' (#18744)
[16:38:57	]John Hector has gained a 'Yapay Macun' #19114.
[16:38:57	]John Hector has gained a 'Breen'in Suyu' #19115.
[16:38:59	]John Hector ran 'Consume' on item 'Breen'in Suyu' (#19115)
[16:38:59	]John Hector has gained a 'Boş Breen'in Suyu' #19116.
[16:38:59	]John Hector ran 'Consume' on item 'Yapay Macun' (#19114)
[16:38:59	]John Hector has gained a 'Boş Kavanoz' #19117.
[16:39:01	]John Hector ran 'drop' on item 'Boş Kavanoz' (#19117)
[16:39:01	]John Hector has lost a 'Boş Kavanoz' #19117.
[16:39:01	]John Hector ran 'drop' on item 'Boş Breen'in Suyu' (#19116)
[16:39:01	]John Hector has lost a 'Boş Breen'in Suyu' #19116.
[16:39:02	]John Hector closed the 'Large Metal Cabinet' #2680 container.
[16:39:06	]John Hector destroyed a 'Boş Kavanoz' #19117.
[16:39:09	]John Hector destroyed a 'Boş Breen'in Suyu' #19116.
[16:39:11	]John Hector opened the 'Large Metal Cabinet' #2680 container.
[16:39:14	]John Hector ran 'Open' on item 'Düşük Sınıf Rasyonu' (#18747)
[16:39:15	]John Hector has gained a 'Yapay Macun' #19118.
[16:39:15	]John Hector has gained a 'Breen'in Suyu' #19119.
[16:39:16	]John Hector ran 'Consume' on item 'Breen'in Suyu' (#19119)
[16:39:16	]John Hector has gained a 'Boş Breen'in Suyu' #19120.
[16:39:18	]John Hector has transferred a 'Yapay Macun' #19118 to a container with the name 'Large Metal Cabinet' #2680.
[16:39:19	]doctor sex loaded the character 'John Freeman'
[16:39:22	]John Hector has gained a 'Yapay Macun' #19118 from a container with the name 'Large Metal Cabinet' #2680.
[16:39:23	]John Hector ran 'drop' on item 'Boş Breen'in Suyu' (#19120)
[16:39:23	]John Hector has lost a 'Boş Breen'in Suyu' #19120.
[16:39:24	]John Hector closed the 'Large Metal Cabinet' #2680 container.
[16:39:27	]John Hector destroyed a 'Boş Breen'in Suyu' #19120.
[16:39:40	]Lynx has unloaded their "John Hector" character.
[16:39:44	]Lynx loaded the character 'C24:i5.VICTOR-61'
[16:39:46	][OOC] John Freeman: bro tek başına napıyon
[16:39:54	][OOC] C24:i5.VICTOR-61: ne bilim canım sıkıldı
[16:41:33	]Lynx has unloaded their "C24:i5.VICTOR-61" character.
[16:41:36	]Lynx loaded the character 'John Hector'
[16:41:49	]John Hector opened the 'Depo Dolabı' #2062 container.
[16:41:49	][IC] John Freeman: Napak rp dönmez.
[16:41:54	]John Hector ran 'Consume' on item 'Yapay Macun' (#19118)
[16:41:54	]John Hector has gained a 'Boş Kavanoz' #19121.
[16:41:56	]John Hector ran 'drop' on item 'Boş Kavanoz' (#19121)
[16:41:56	]John Hector has lost a 'Boş Kavanoz' #19121.
[16:41:57	]John Hector closed the 'Depo Dolabı' #2062 container.
[16:41:59	]John Hector destroyed a 'Boş Kavanoz' #19121.
[16:42:00	][OOC] John Freeman: napak rp dönmez
[16:42:03	]John Hector opened the 'Depo Dolabı' #2062 container.
[16:42:08	]John Hector has gained a 'Kan Şırıngası' #16764 from a container with the name 'Depo Dolabı' #2062.
[16:42:14	]John Hector closed the 'Depo Dolabı' #2062 container.
[16:42:15	][OOC] John Freeman: yeni karakter oluşturup kasakmı rebel olarak
[16:42:15	]John Hector used the 'SMB Teçhizat Dağıtıcısı' vendor.
[16:42:21	]John Hector used the 'SMB Teçhizat Dağıtıcısı' vendor.
[16:42:26	]John Hector has gained 0 chips.
[16:42:26	]John Hector has gained a 'Cerrahi Kit' #19122.
[16:42:28	]John Hector has gained 0 chips.
[16:42:28	]John Hector has gained a 'Dezenfekte Bandaj Rulosu' #19123.
[16:42:45	]John Hector used the 'SMB Teçhizat Dağıtıcısı' vendor.
[16:42:47	]John Hector has gained 0 chips.
[16:42:47	]John Hector has gained a 'Dezenfekte Bandaj Rulosu' #19124.
[16:42:58	]John Hector ran 'drop' on item 'Kağıt' (#17274)
[16:42:58	]John Hector has lost a 'Kağıt' #17274.
[16:43:01	]John Hector destroyed a 'Kağıt' #17274.
[16:43:10	]John Hector ran 'combine' on item 'Tıbbi Çanta' (#17214)
[16:43:45	]John Hector used command '/ActCheck'.
[16:43:49	]John Hector used command '/ExitAct'.
[16:44:21	]John Hector opened the 'Large Metal Cabinet' #2680 container.
[16:44:33	]John Hector closed the 'Large Metal Cabinet' #2680 container.
[16:46:34	]Scientist has connected.
[16:46:35	]John Freeman ran 'take' on item 'Boş Viski Şişesi' (#17185)
[16:46:35	]John Freeman has gained a 'Boş Viski Şişesi' #17185.
[16:46:35	]John Freeman ran 'take' on item 'Boş Şarap Şişesi' (#16603)
[16:46:35	]John Freeman has gained a 'Boş Şarap Şişesi' #16603.
[16:46:38	]Lynx has unloaded their "John Hector" character.
[16:46:42	]John Freeman ran 'drop' on item 'Boş Şarap Şişesi' (#16603)
[16:46:42	]John Freeman has lost a 'Boş Şarap Şişesi' #16603.
[16:46:42	]Lynx loaded the character 'C24:i5.VICTOR-61'
[16:46:43	]John Freeman ran 'drop' on item 'Boş Viski Şişesi' (#17185)
[16:46:43	]John Freeman has lost a 'Boş Viski Şişesi' #17185.
[16:47:15	]John Freeman ran 'take' on item 'Boş Viski Şişesi' (#17185)
[16:47:15	]John Freeman has gained a 'Boş Viski Şişesi' #17185.
[16:47:19	]John Freeman ran 'drop' on item 'Boş Viski Şişesi' (#17185)
[16:47:19	]John Freeman has lost a 'Boş Viski Şişesi' #17185.
[16:47:40	]Lynx has unloaded their "C24:i5.VICTOR-61" character.
[16:47:45	]Lynx loaded the character 'John Hector'
[16:48:15	]John Freeman ran 'take' on item 'Ahşap Çubuk' (#15907)
[16:48:15	]John Freeman has gained a 'Ahşap Çubuk' #15907.
[16:48:30	]John Freeman opened the 'File Cabinet' #2396 container.
[16:48:32	][IC] John Hector: Williams O'sullivan ve Sophia emily.
[16:48:36	]John Hector ran 'Open' on item 'CMRU PDA' (#18085)
[16:48:53	]John Hector ran 'Open' on item 'CMRU PDA' (#18085)
[16:48:56	]John Freeman has gained a 'Tıbbi Direnişçi Üniforması' #15910 from a container with the name 'File Cabinet' #2396.
[16:48:57	]John Freeman closed the 'File Cabinet' #2396 container.
[16:49:06	]John Hector ran 'Open' on item 'CMRU PDA' (#18085)
[16:49:06	]John Freeman opened the 'File Cabinet' #2396 container.
[16:49:10	]John Freeman has transferred a 'Tıbbi Direnişçi Üniforması' #15910 to a container with the name 'File Cabinet' #2396.
[16:49:13	]John Freeman closed the 'File Cabinet' #2396 container.
[16:49:42	]Scientist loaded the character 'C24:i3.VICE-66[E]'
[16:49:53	]C24:i3.VICE-66[E] used command '/Radio 10-8'.
[16:50:18	][LOOC] John Freeman: we work to earn the right to work
[16:50:24	]C24:i3.VICE-66[E] used command '/PM hector ses geliyor mu'.
[16:50:33	]Ellie Williams has connected.
[16:50:55	]doctor sex loaded the character 'Joe Breeman'
[16:51:51	]C24:i3.VICE-66[E] used command '/PM bre'.
[16:52:02	][OOC] Joe Breeman: ?
[16:52:14	]C24:i3.VICE-66[E] used command '/PM bree varlığın smab başkanını attırabilir veya öldürebilir. kelebek etkisi'.
[16:52:33	]Joe Breeman used command '/PM C24 ney?'.
[16:52:44	]C24:i3.VICE-66[E] used command '/PM bree smab başkanı şuanda nexusta kilitli tutuluyor'.
[16:52:45	]Joe Breeman ran 'take' on item 'Boş Breen'in Suyu' (#19067)
[16:52:45	]Joe Breeman has gained a 'Boş Breen'in Suyu' #19067.
[16:52:45	]Joe Breeman ran 'take' on item 'Plastik Çöp' (#19068)
[16:52:45	]Joe Breeman has gained a 'Plastik Çöp' #19068.
[16:52:50	]Joe Breeman has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[16:52:55	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'Stunstick' (#18947)
[16:52:56	]C24:i3.VICE-66[E] ran 'split' on item 'Bandaj Rulosu' (#18992)
[16:52:56	]C24:i3.VICE-66[E] has gained a 'Bandaj Rulosu' #19125.
[16:52:58	]C24:i3.VICE-66[E] ran 'combine' on item 'Bandaj Rulosu' (#18992)
[16:52:58	]Joe Breeman used command '/PM c24 kimki o'.
[16:52:58	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'Combine PDA' (#14475)
[16:52:59	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'MP5A3' (#18940)
[16:52:59	]C24:i3.VICE-66[E] has gained a '30rnd MP-şarjörü' #18961.
[16:53:00	]C24:i3.VICE-66[E] ran 'Equip' on item 'Stunstick' (#18947)
[16:53:01	]C24:i3.VICE-66[E] ran 'Equip' on item 'Combine PDA' (#14475)
[16:53:02	]C24:i3.VICE-66[E] ran 'Equip' on item 'MP5A3' (#18940)
[16:53:05	]Joe Breeman ran 'take' on item 'Rasyon' (#19126)
[16:53:05	]Joe Breeman has gained a 'Rasyon' #19126.
[16:53:09	]C24:i3.VICE-66[E] used command '/PM breeman revain var ya'.
[16:53:10	]Joe Breeman ran 'Open' on item 'Rasyon' (#19126)
[16:53:10	]Joe Breeman has gained a 'Yapay Macun' #19127.
[16:53:10	]Joe Breeman has gained a 'Breen'in Suyu' #19128.
[16:53:10	]Joe Breeman has gained a '15 Kredi Kuponu' #19129.
[16:53:15	][AltChecker] Ellie Williams joined for the first time, generating new cookie.
[16:53:36	]Joe Breeman used command '/PM c24 nasıl benmi öldürebilirim onu?'.
[16:53:39	]Joe Breeman ran 'Use' on item '15 Kredi Kuponu' (#19129)
[16:53:41	]Joe Breeman has used a coupon at a ration dispenser, gaining 15 credits.
[16:54:00	][IC] John Hector: Efendim bir isteğim olacaktı.
[16:54:03	][IC] Joe Breeman: Hmm.
[16:54:21	][IC] C24:i3.VICE-66[E]: <:: Evet. ::>
[16:54:28	][IC] John Hector: 2 hasta tedavi ettimde dün.
[16:54:32	]C24:i3.VICE-66[E] used command '/PM breeman hayır şuanda nexusta kilitli'.
[16:54:36	][IC] C24:i3.VICE-66[E]: <:: Adları ne. ::>
[16:54:40	][IC] C24:i3.VICE-66[E]: <:: Veya cid. ::>
[16:54:43	][IC] John Hector: Sophia Emily.
[16:54:43	]Joe Breeman used command '/PM c24 tamam bana niye diyon'.
[16:54:48	][ME] C24:i3.VICE-66[E]: tabletini çıkarır
[16:54:51	][IC] John Hector: Ve Williams O'sullivan.
[16:55:05	]C24:i3.VICE-66[E] used command '/PM breeman hem doktorsun hemde senin sayende kilitli'.
[16:55:26	]Joe Breeman used command '/PM c24 tamamda niye kilitlendi'.
[16:55:30	][LOOC] John Hector: williams O'sullivan çıkmaya bilir
[16:55:37	][LOOC] John Hector: adamın isminde sıkıntı var
[16:55:39	][IC] C24:i3.VICE-66[E]: <:: Evet. ::>
[16:55:41	][IC] C24:i3.VICE-66[E]: <:: Beyin ameliyatı. ::>
[16:55:43	][LOOC] John Hector: hiçbir yerde çıkmıyor
[16:55:48	][IC] John Hector: Evet efendim.
[16:55:57	][IC] C24:i3.VICE-66[E]: <:: Diğer kişi kim. ::>
[16:56:05	][IC] John Hector: Beyin ameliyatı olan.
[16:56:09	][IC] C24:i3.VICE-66[E]: <:: Williams. ::>
[16:56:10	][IC] John Hector: Kişi williams.
[16:56:12	][IC] C24:i3.VICE-66[E]: <:: Girdim. ::>
[16:56:15	][IC] C24:i3.VICE-66[E]: <:: Diğeri kim. ::>
[16:56:16	]Joe Breeman has taken 21 damage from worldspawn.
[16:56:17	][IC] John Hector: Diğeri tomografi çekilen kiş.
[16:56:18	][IC] John Hector: I.
[16:56:26	][IC] C24:i3.VICE-66[E]: <:: Adı. ::>
[16:56:28	][IC] John Hector: Sophia emily.
[16:56:42	][IC] C24:i3.VICE-66[E]: <:: Olumlu. ::>
[16:56:48	]Joe Breeman has gained a 'Boş Kavanoz' #19130.
[16:56:53	][IT] C24:i3.VICE-66[E]: işlemlerde ooc kaç dakika uğraşmıştır
[16:57:05	]Joe Breeman has gained a 'Kırık TV Monitörü' #19131.
[16:57:25	]Joe Breeman used command '/PM c24 adam failrp denmi kilitli?'.
[16:57:28	][IT] John Hector: beyin ameliyatında 45 dakika boyunca ameliyat sürdü ve sophia emily'nin tomografisi 7 dakika sürdü.
[16:57:34	]C24:i3.VICE-66[E] used command '/PM breeman hayır ıc sebepten anlatıcam'.
[16:57:52	][IT] John Hector: toplam 52 dakika.
[16:57:56	]Joe Breeman used command '/PM c24 nerden?'.
[16:57:58	][LOOC] C24:i3.VICE-66[E]: 10 dakika için 1 sp veriyorum 5 yani
[16:58:22	]Joe Breeman has gained a 'Karton Kutu' #19132.
[16:58:23	][LOOC] C24:i3.VICE-66[E]: beyin ameliyatında ne yaptın?
[16:58:31	][LOOC] John Hector: ameliyat :D
[16:58:35	][LOOC] C24:i3.VICE-66[E]: kısaca işlemleri anlatsana ona göre vereceğim
[16:58:38	]Joe Breeman has gained a 'Boş Plastik Sürahi' #19133.
[16:59:41	]Joe Breeman has gained a 'Boş Kupa' #19134.
[16:59:49	][LOOC] John Hector: kişiye ilk önce narkoz verdim kişinin uyuşması için bekledim kişinin bilinci tamamen kapandıktan sonra operasyona başladım, ilk önce kişinin beyin tomografisinde çıkan yamuk olan bölgeyi işaretledim kalem ile bölgeyi çizdim.
[16:59:55	]Joe Breeman has gained a 'Boş Bira Şişesi' #19135.
[17:00:04	]Ellie Williams created the character 'Sarcan  Zurna'
[17:00:04	]Ellie Williams loaded the character 'Sarcan  Zurna'
[17:00:04	]Sarcan  Zurna has gained a 'Açık Gri Kol Bandı' #19136.
[17:00:04	]Sarcan  Zurna has gained a '#09678 Kimlik Kartı' #19137.
[17:00:04	]Sarcan  Zurna has gained a 'Siyah Tulum' #19138.
[17:00:04	]Sarcan  Zurna has gained a 'Tulum pantolonu.' #19139.
[17:00:04	]Sarcan  Zurna has gained a 'Kahverengi Deri Çizme' #19140.
[17:00:04	]Sarcan  Zurna has gained a 'Gözlükler' #19141.
[17:00:19	][LOOC] C24:i3.VICE-66[E]: kısaca anlat narkoz uyguladım tomogrofi aldım
[17:00:36	]Victorian has connected.
[17:00:52	]Joe Breeman has gained a 'Eskimiş Oyuncak Bebek' #19142.
[17:01:01	][LOOC] John Hector: bistüri ile kesme işlemi yaptım ardından bölgedeki kemikleri kırdım böbrek küvetine yerleştirdim ve ardından pensetler yardımı ile bölgenin dokusunu ve beyini kontrol ettim
[17:01:21	][LOOC] C24:i3.VICE-66[E]: tamam medikali gerçek hayatta ne kadar biliyorsun onun için sordum yeterli
[17:01:23	]Joe Breeman has performed the 'Craft Parçala: Boş Plastik Sürahi' action, gaining 20 experience in crafting.
[17:01:25	]Joe Breeman has performed the 'Craft Parçala: Eskimiş Oyuncak Bebek' action, gaining 20 experience in crafting.
[17:01:27	]Joe Breeman has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[17:01:30	]Joe Breeman has performed the 'Craft Parçala: Karton Kutu' action, gaining 30 experience in crafting.
[17:01:30	]Joe Breeman has gained a 'Bez Paçavralar' #19143.
[17:01:32	]Joe Breeman has performed the 'Craft Parçala: Bira Şişesi' action, gaining 20 experience in crafting.
[17:01:32	]Joe Breeman has gained a 'Cam kırıkları' #19144.
[17:01:33	][LOOC] John Hector: doku ve zarlar zarar görmüştü kişiye bildiğimiz operasyon yaptım kemik parçalarını kişniş atel ile birleştirdim
[17:01:34	]Joe Breeman has performed the 'Craft Parçala: Boş Kupa' action, gaining 20 experience in crafting.
[17:01:36	]Joe Breeman has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[17:01:45	]Joe Breeman has gained level 4 in the Hız skill.
[17:01:49	][LOOC] John Hector: cerrahi plaklar ile diğer kemiklere bağlanmasını sağladım
[17:01:53	]Victorian loaded the character 'Alexander Ivanov'
[17:02:12	]Alexander Ivanov has used a context menu option with the name: rb655_door_lock
[17:02:14	]Alexander Ivanov entered observer.
[17:02:43	]Alexander Ivanov exited observer at their location.
[17:02:43	]Alexander Ivanov entered observer.
[17:03:04	][IC] C24:i3.VICE-66[E]: <:: Kademe 2 destekçi konumuna geçtiniz. ::>
[17:03:10	][LOOC] John Hector: portegüler ile de dikiş attım ve bölgeyi antiseptik solüsyon ve oksijen bez ile bölgeyi dezenfekte ettim pamuk sargı bezi ve flaster ile kapadım.
[17:03:10	]Ellie Williams has unloaded their "Sarcan  Zurna" character.
[17:03:20	][IC] C24:i3.VICE-66[E]: <:: Bu yüzden sizi tebrik ediyorum benimle gelin. ::>
[17:03:22	][LOOC] Joe Breeman: heğ?
[17:03:37	][IC] Joe Breeman: Woah, Déjà vu.
[17:03:42	]C24:i3.VICE-66[E] used the 'Destek Masası Dağıtıcısı' vendor.
[17:03:46	]John Hector ran 'EquipUn' on item 'Açık Gri Kol Bandı' (#8720)
[17:03:47	]C24:i3.VICE-66[E] has gained 0 chips.
[17:03:47	]C24:i3.VICE-66[E] has gained a 'Kırmızı işbirlikçi kol bandı' #19145.
[17:03:47	]John Hector ran 'drop' on item 'Açık Gri Kol Bandı' (#8720)
[17:03:47	]John Hector has lost a 'Açık Gri Kol Bandı' #8720.
[17:03:53	][ME] John Hector: gri kol bandını masaya bırakır.
