[13:24:01	]Guilgouille s'est connecté.
[13:27:15	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:27:55	]C13:i3.XRAY-379 a utilisé la commande '/FindItemById 199444'.
[13:28:13	]C13:i3.XRAY-379 a utilisé la commande '/FindItemById 199444'.
[13:28:23	]C13:i3.XRAY-379 a activé le mode observateur.
[13:28:44	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:28:45	]C13:i3.XRAY-379 a activé le mode observateur.
[13:28:45	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:28:46	]C13:i3.XRAY-379 a activé le mode observateur.
[13:28:46	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:28:48	]C13:i3.XRAY-379 a utilisé la commande '/FindItemById 199444'.
[13:28:52	]C13:i3.XRAY-379 vient d'apporter un objet'#2836' sur world
[13:28:53	]C13:i3.XRAY-379 a activé le mode observateur.
[13:28:56	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:28:57	]C13:i3.XRAY-379 a activé le mode observateur.
[13:29:12	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:29:21	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:30:01	]Guilgouille a déchargé son personnage "C13:i3.XRAY-379".
[13:30:04	]Guilgouille chargé le personnage 'Arthur Fournier'
[13:30:10	]Arthur Fournier a utilisé la commande '/ViewInfo Arthur'.
[13:31:10	]Arthur Fournier a utilisé la commande '/ViewInfo Arthur'.
[13:31:25	]Arthur Fournier a utilisé la commande '/ViewInfo Arthur'.
[13:31:46	]Arthur Fournier a utilisé la commande '/ViewInfo Arthur'.
[13:31:55	]Guilgouille a déchargé son personnage "Arthur Fournier".
[13:32:01	]Guilgouille chargé le personnage 'C13:i3.XRAY-379'
[13:32:09	]Guilgouille a déchargé son personnage "C13:i3.XRAY-379".
[13:32:14	]Guilgouille chargé le personnage 'Arthur Fournier'
[13:32:16	]Arthur Fournier a utilisé la commande '/ViewInfo Arthur'.
[13:32:37	]Arthur Fournier a utilisé la commande '/ViewInfo Arthur'.
[13:33:00	]Guilgouille a déchargé son personnage "Arthur Fournier".
[13:33:05	]Guilgouille chargé le personnage 'C13:i3.XRAY-379'
[13:36:17	]Guilgouille a déchargé son personnage "C13:i3.XRAY-379".
[13:36:26	]Guilgouille chargé le personnage 'C13:i3.XRAY-379'
[13:36:37	]Guilgouille a déchargé son personnage "C13:i3.XRAY-379".
[13:36:42	]Guilgouille chargé le personnage 'Jean-Marc de la Coquette'
[13:36:47	]Jean-Marc de la Coquette a activé le mode observateur.
[13:36:47	]Jean-Marc de la Coquette est complètement guéri.
[13:36:55	]Jean-Marc de la Coquette a désactivé le mode observateur à son point d'origine.
[13:37:08	]Jean-Marc de la Coquette a activé le mode observateur.
[13:37:08	]Jean-Marc de la Coquette a désactivé le mode observateur à son point d'origine.
[13:37:09	]Jean-Marc de la Coquette a activé le mode observateur.
[13:37:10	]Jean-Marc de la Coquette a désactivé le mode observateur à son point d'origine.
[13:37:11	]Jean-Marc de la Coquette a activé le mode observateur.
[13:37:11	]Jean-Marc de la Coquette a désactivé le mode observateur à son point d'origine.
[13:37:12	]Jean-Marc de la Coquette a activé le mode observateur.
[13:37:12	]Jean-Marc de la Coquette a désactivé le mode observateur à son point d'origine.
[13:37:12	]Jean-Marc de la Coquette a activé le mode observateur.
[13:37:12	]Jean-Marc de la Coquette a désactivé le mode observateur à son point d'origine.
[13:37:15	]Guilgouille a déchargé son personnage "Jean-Marc de la Coquette".
[13:37:20	]Guilgouille chargé le personnage 'C13:i3.XRAY-379'
[13:44:07	]C13:i3.XRAY-379 a utilisé la commande '/CharSetName i3'.
[13:44:11	]C13:RL.XRAY-379 a utilisé la commande '/CharSetName C13:i3.XRAY-379 C13:RL.XRAY-379'.
[13:44:18	]Coloss s'est connecté.
[13:45:13	]C13:RL.XRAY-379 a utilisé la commande '/CharSetName RL'.
[13:45:17	]C13:i3.XRAY-379 a utilisé la commande '/CharSetName C13:RL.XRAY-379 C13:i3.XRAY-379'.
[13:45:34	]Coloss chargé le personnage '[X]C13:i3.DEFENDER-45'
[13:45:39	][X]C13:i3.DEFENDER-45 est complètement guéri.
[13:45:45	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:45:52	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur.
[13:45:53	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:45:54	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur.
[13:46:04	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:46:08	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur à son point d'origine.
[13:46:16	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:46:17	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur à son point d'origine.
[13:46:18	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:46:19	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur à son point d'origine.
[13:46:19	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:46:20	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur à son point d'origine.
[13:46:21	][X]C13:i3.DEFENDER-45 a ouvert le stockage 'Grande Armoire' #10370.
[13:46:24	][X]C13:i3.DEFENDER-45 a fermé le stockage 'Grande Armoire' #10370.
[13:46:39	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'MP7A1' (#177922)
[13:46:39	][X]C13:i3.DEFENDER-45 a perdu un 'MP7A1' #177922.
[13:46:39	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Munitions pour mitraillette' (#178718)
[13:46:39	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions pour mitraillette' #178718.
[13:46:40	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Munitions pour mitraillette' (#180731)
[13:46:40	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions pour mitraillette' #180731.
[13:46:41	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Munitions de pistolet' (#137078)
[13:46:41	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions de pistolet' #137078.
[13:46:41	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur MP 30' (#177944)
[13:46:41	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #177944.
[13:46:45	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur USP' (#148888)
[13:46:45	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur USP' #148888.
[13:46:48	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Poche à Munitions' (#137004)
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Poche à Munitions' #137004.
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions pour mitraillette' #180728.
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions pour mitraillette' #180730.
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions pour mitraillette' #180726.
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions de pistolet' #200357.
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions de pistolet' #137081.
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions de pistolet' #137084.
[13:46:48	][X]C13:i3.DEFENDER-45 a perdu un 'Munitions de pistolet' #137079.
[13:46:49	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Poche à Chargeurs' (#136996)
[13:46:49	][X]C13:i3.DEFENDER-45 a perdu un 'Poche à Chargeurs' #136996.
[13:46:49	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur USP' #148889.
[13:46:49	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur USP' #148890.
[13:46:49	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur USP' #148891.
[13:46:50	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Poche à Chargeurs' (#136995)
[13:46:50	][X]C13:i3.DEFENDER-45 a perdu un 'Poche à Chargeurs' #136995.
[13:46:50	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #177943.
[13:46:50	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #177945.
[13:46:50	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #177954.
[13:46:50	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #177942.
[13:46:51	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Plaque de réparation' (#152387)
[13:46:51	][X]C13:i3.DEFENDER-45 a perdu un 'Plaque de réparation' #152387.
[13:47:00	][X]C13:i3.DEFENDER-45 a exécuté 'EquipUn' sur l'article 'HK USP .45' (#178902)
[13:47:00	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur USP' #148892.
[13:47:02	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur USP' (#148892)
[13:47:02	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur USP' #148892.
[13:48:13	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Chargeur USP' (#199445)
[13:48:13	]C13:i3.XRAY-379 a perdu un 'Chargeur USP' #199445.
[13:48:14	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Munitions de pistolet' (#134794)
[13:48:14	]C13:i3.XRAY-379 a perdu un 'Munitions de pistolet' #134794.
[13:48:14	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Munitions de pistolet' (#134792)
[13:48:14	]C13:i3.XRAY-379 a perdu un 'Munitions de pistolet' #134792.
[13:48:15	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Plaque de réparation' (#149817)
[13:48:15	]C13:i3.XRAY-379 a perdu un 'Plaque de réparation' #149817.
[13:48:15	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Plaque de réparation' (#134691)
[13:48:15	]C13:i3.XRAY-379 a perdu un 'Plaque de réparation' #134691.
[13:48:16	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Munitions de pistolet' (#134793)
[13:48:16	]C13:i3.XRAY-379 a perdu un 'Munitions de pistolet' #134793.
[13:48:17	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Munitions de pistolet' (#134791)
[13:48:17	]C13:i3.XRAY-379 a perdu un 'Munitions de pistolet' #134791.
[13:48:18	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Chargeur USP' (#199447)
[13:48:18	]C13:i3.XRAY-379 a perdu un 'Chargeur USP' #199447.
[13:48:19	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Poche à Chargeurs' (#134374)
[13:48:19	]C13:i3.XRAY-379 a perdu un 'Poche à Chargeurs' #134374.
[13:48:20	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Poche à Chargeurs' (#134372)
[13:48:20	]C13:i3.XRAY-379 a perdu un 'Poche à Chargeurs' #134372.
[13:48:21	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Lampe Torche' (#77775)
[13:48:21	]C13:i3.XRAY-379 a perdu un 'Lampe Torche' #77775.
[13:48:21	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Chargeur USP' (#199446)
[13:48:21	]C13:i3.XRAY-379 a perdu un 'Chargeur USP' #199446.
[13:48:22	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Munitions de pistolet' (#149821)
[13:48:22	]C13:i3.XRAY-379 a perdu un 'Munitions de pistolet' #149821.
[13:48:26	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'Poche à Munitions' (#134370)
[13:48:26	]C13:i3.XRAY-379 a perdu un 'Poche à Munitions' #134370.
[13:48:29	]C13:i3.XRAY-379 a utilisé une option de menu contextuel portant ce nom : remove
[13:48:30	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:31	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:31	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:32	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:32	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:33	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:33	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:33	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:34	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:34	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:37	]C13:i3.XRAY-379 a exécuté 'take' sur l'article 'Lampe Torche' (#77775)
[13:48:37	]C13:i3.XRAY-379 a gagné un 'Lampe Torche' #77775.
[13:48:38	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:38	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:39	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:48:47	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[13:49:09	]C13:i3.XRAY-379 a utilisé la commande '/PlyClearFlags i3'.
[13:49:26	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:50:00	]C13:i3.XRAY-379 a utilisé la commande '/PTCreate'.
[13:50:03	]C13:i3.XRAY-379 a utilisé la commande '/PTCreate 16'.
[13:50:14	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[13:51:56	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:52:49	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[13:52:59	]C13:i3.XRAY-379 s'est give combine_filter.
[13:52:59	]C13:i3.XRAY-379 a gagné un 'Filtre du cartel' #200630.
[13:53:01	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'Filtre du cartel' (#200630)
[13:54:21	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:55:32	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[13:55:37	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:56:47	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[13:57:05	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:57:34	][X]C13:i3.DEFENDER-45 est maintenant AFK.
[13:57:52	]C13:i3.XRAY-379 a utilisé la commande '/PTLeave'.
[13:58:03	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[13:58:04	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:58:07	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[13:58:10	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[13:58:34	][X]C13:i3.DEFENDER-45 n'est plus AFK. Temps total passé AFK : 655
[13:58:48	][X]C13:i3.DEFENDER-45 s'est give res_glock.
[13:58:48	][X]C13:i3.DEFENDER-45 a gagné un 'Glock 17' #200631.
[13:58:49	][X]C13:i3.DEFENDER-45 s'est give gen_mp7.
[13:58:49	][X]C13:i3.DEFENDER-45 a gagné un 'MP7A1' #200632.
[13:58:55	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'HK USP .45' (#178902)
[13:58:55	][X]C13:i3.DEFENDER-45 a perdu un 'HK USP .45' #178902.
[13:58:55	]C13:i3.XRAY-379 a activé le mode observateur.
[13:58:57	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:58:58	][IC] C13:i3.XRAY-379: <:: Gros. ::>
[13:59:00	][IC] [X]C13:i3.DEFENDER-45: <:: Et merde. ::>
[13:59:02	][IC] [X]C13:i3.DEFENDER-45: <:: J'ai fait une bêtise. ::>
[13:59:04	][IC] C13:i3.XRAY-379: <:: Je suis entrain de record. ::>
[13:59:11	]C13:i3.XRAY-379 a activé le mode observateur.
[13:59:13	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:59:14	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:59:15	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur à son point d'origine.
[13:59:18	][IC] C13:i3.XRAY-379: <:: L'usp est pété. ::>
[13:59:21	][IC] [X]C13:i3.DEFENDER-45: <:: Fait chier. ::>
[13:59:21	]C13:i3.XRAY-379 a activé le mode observateur.
[13:59:23	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:24	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:24	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:24	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:24	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:24	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:25	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:25	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:25	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:25	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:25	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:25	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:26	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:26	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:26	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:26	][X]C13:i3.DEFENDER-45 has fired a toolgun with the name: remover
[13:59:31	]C13:i3.XRAY-379 a utilisé la commande '/FindItemById 178902'.
[13:59:34	]C13:i3.XRAY-379 vient d'apporter un objet'#47830' sur world
[13:59:34	][X]C13:i3.DEFENDER-45 a activé le mode observateur.
[13:59:37	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:59:39	][IC] C13:i3.XRAY-379: <:: C'est bon. ::>
[13:59:51	][X]C13:i3.DEFENDER-45 a désactivé le mode observateur à son point d'origine.
[13:59:55	]C13:i3.XRAY-379 a activé le mode observateur.
[13:59:57	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[14:00:17	][X]C13:i3.DEFENDER-45 s'est give magazine_glock.
[14:00:17	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur de Glock' #200633.
[14:00:18	][X]C13:i3.DEFENDER-45 s'est give magazine_glock.
[14:00:18	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur de Glock' #200634.
[14:00:19	][X]C13:i3.DEFENDER-45 s'est give magazine_glock.
[14:00:19	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur de Glock' #200635.
[14:00:20	][X]C13:i3.DEFENDER-45 s'est give magazine_glock.
[14:00:20	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur de Glock' #200636.
[14:00:31	][X]C13:i3.DEFENDER-45 s'est give bullet_pouch.
[14:00:31	][X]C13:i3.DEFENDER-45 a gagné un 'Poche à Munitions' #200637.
[14:00:32	][X]C13:i3.DEFENDER-45 s'est give mag_pouch.
[14:00:32	][X]C13:i3.DEFENDER-45 a gagné un 'Poche à Chargeurs' #200638.
[14:00:35	][X]C13:i3.DEFENDER-45 s'est give mag_pouch.
[14:00:35	][X]C13:i3.DEFENDER-45 a gagné un 'Poche à Chargeurs' #200639.
[14:00:40	][X]C13:i3.DEFENDER-45 s'est give bullets_pistol.
[14:00:41	][X]C13:i3.DEFENDER-45 a gagné un 'Munitions de pistolet' #200640.
[14:00:46	][X]C13:i3.DEFENDER-45 s'est give bullets_pistol.
[14:00:46	][X]C13:i3.DEFENDER-45 a gagné un 'Munitions de pistolet' #200641.
[14:00:51	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur de Glock' (#200634)
[14:00:51	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur de Glock' #200634.
[14:00:51	][X]C13:i3.DEFENDER-45 a exécuté 'drop' sur l'article 'Chargeur de Glock' (#200633)
[14:00:51	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur de Glock' #200633.
[14:00:53	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:00:55	][X]C13:i3.DEFENDER-45 a utilisé une option de menu contextuel portant ce nom : remove
[14:01:07	]C13:i3.XRAY-379 a utilisé la commande '/PTCreate'.
[14:01:09	]C13:i3.XRAY-379 a utilisé la commande '/PTCreate 16'.
[14:01:19	][X]C13:i3.DEFENDER-45 s'est give magazine_mp.
[14:01:19	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur MP 30' #200642.
[14:01:20	][X]C13:i3.DEFENDER-45 s'est give magazine_mp.
[14:01:20	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur MP 30' #200643.
[14:01:28	]C13:i3.XRAY-379 a exécuté 'EquipUn' sur l'article 'DATA-PAD' (#77771)
[14:01:32	][X]C13:i3.DEFENDER-45 s'est give bullets_smg1.
[14:01:32	][X]C13:i3.DEFENDER-45 a gagné un 'Munitions pour mitraillette' #200644.
[14:01:35	][X]C13:i3.DEFENDER-45 s'est give bullets_smg1.
[14:01:35	][X]C13:i3.DEFENDER-45 a gagné un 'Munitions pour mitraillette' #200645.
[14:01:40	]C13:i3.XRAY-379 a exécuté 'Equip' sur l'article 'DATA-PAD' (#77771)
[14:01:51	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Chargeur de Glock' (#200636)
[14:01:54	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Chargeur de Glock' (#200635)
[14:01:55	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Poche à Chargeurs' (#200638)
[14:01:56	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Poche à Chargeurs' (#200638)
[14:02:00	][X]C13:i3.DEFENDER-45 a exécuté 'Equip' sur l'article 'Glock 17' (#200631)
[14:02:01	]C13:i3.XRAY-379 a utilisé la commande '/CharGiveFlag i3 L'.
[14:02:01	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur de Glock' #200636.
[14:02:10	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur de Glock' #200636.
[14:02:10	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur de Glock' #200635.
[14:02:15	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur de Glock' #200635.
[14:02:15	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur de Glock' #200636.
[14:02:21	][X]C13:i3.DEFENDER-45 a exécuté 'EquipUn' sur l'article 'Glock 17' (#200631)
[14:02:21	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur de Glock' #200636.
[14:02:23	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Poche à Chargeurs' (#200638)
[14:02:27	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Chargeur MP 30' (#200642)
[14:02:28	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Chargeur MP 30' (#200643)
[14:02:29	][X]C13:i3.DEFENDER-45 a exécuté 'Equip' sur l'article 'MP7A1' (#200632)
[14:02:30	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #200643.
[14:02:37	][X]C13:i3.DEFENDER-45 a exécuté 'combine' sur l'article 'Munitions de pistolet' (#200641)
[14:02:45	][X]C13:i3.DEFENDER-45 a exécuté 'removeMag' sur l'article 'MP7A1' (#200632)
[14:02:45	][X]C13:i3.DEFENDER-45 is removing a mag while reloading: Item ID: #(200632) Ammo: 25
[14:02:45	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur MP 30' #200643.
[14:02:49	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #200642.
[14:02:55	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur MP 30' #200642.
[14:02:55	][X]C13:i3.DEFENDER-45 a perdu un 'Chargeur MP 30' #200643.
[14:02:57	][X]C13:i3.DEFENDER-45 a exécuté 'removeMag' sur l'article 'MP7A1' (#200632)
[14:02:57	][X]C13:i3.DEFENDER-45 is removing a mag while reloading: Item ID: #(200632) Ammo: 25
[14:02:57	][X]C13:i3.DEFENDER-45 a gagné un 'Chargeur MP 30' #200643.
