[15:19:33	]Revain has connected.
[15:32:36	]Simon Hayes has given himself a weather_white.
[15:32:36	]Simon Hayes has gained a 'Beyaz Hava Ceketi' #71821.
[15:32:38	]Simon Hayes has given himself a hands_gloves.
[15:32:38	]Simon Hayes has gained a 'Eldivenler' #71822.
[15:32:41	]C24:RCT.YELLO-62 closed the 'Dropped Items' #6655 container.
[15:33:04	]C24:RCT.YELLO-62 opened the 'Çöp Konteyneri' #6554 container.
[15:33:05	]C24:RCT.YELLO-62 closed the 'Çöp Konteyneri' #6554 container.
[15:33:05	]Simon Hayes ran 'Equip' on item 'Açık Gri Kol Bandı' (#71819)
[15:33:15	]Simon Hayes entered observer.
[15:33:20	]Simon Hayes exited observer at their location.
[15:33:36	][IC] Simon Hayes: Esenlikler.
[15:33:40	][IC] C24:RCT.YELLO-62: <:: Sanada. ::>
[15:33:49	]Simon Hayes has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[15:34:02	]Simon Hayes ran 'take' on item 'Rasyon' (#71823)
[15:34:02	]Simon Hayes has gained a 'Rasyon' #71823.
[15:34:04	][IC] Simon Hayes: Kapı açık.
[15:34:11	][Y] Simon Hayes: CP.
[15:34:15	][Y] Simon Hayes: SİVİL KORUMA.
[15:34:19	]Simon Hayes entered observer.
[15:34:30	]Simon Hayes exited observer at their location.
[15:34:41	][Y] Simon Hayes: EFENDIM.
[15:34:43	][IC] Simon Hayes: Kapı açık.
[15:34:44	][IC] C24:RCT.YELLO-62: <:: Me var. ::>
[15:34:48	][IC] Simon Hayes: Me var ?
[15:34:48	][IC] C24:RCT.YELLO-62: <:: Hangi kapı. ::>
[15:35:11	][IC] C24:RCT.YELLO-62: <:: Afferin sivil. ::>
[15:35:17	][IC] Simon Hayes: Işimiz efenim.
[15:35:18	][IC] C24:RCT.YELLO-62: <:: Gidebilirsin. ::>
[15:36:15	][IC] C24:RCT.YELLO-62: <:: Bi sorun mu var ? ::>
[15:36:25	][IC] Simon Hayes: Efenim bir sorum olcak.
[15:36:30	][IC] C24:RCT.YELLO-62: <:: Söyle bakalım. ::>
[15:37:10	][IC] Simon Hayes: Şimdi diyelim aşırı gerizekalı birisi var onu naparsın.
[15:37:18	][IC] C24:RCT.YELLO-62: <:: Ne anlamda. ::>
[15:37:23	][IC] Simon Hayes: Zeka anlamda.
[15:37:31	][IC] C24:RCT.YELLO-62: <:: Bu seni ilgilendirmez. ::>
[15:37:39	][IC] Simon Hayes: Tamam efendim.
[15:37:43	][IC] Simon Hayes: Siz öyle diyorsanız öyledir.
[15:37:55	][IC] C24:RCT.YELLO-62: <:: Ben sana sosyal kredi verdim mi az önce ? ::>
[15:37:59	][IC] Simon Hayes: Hayır.
[15:38:01	][IC] C24:RCT.YELLO-62: <:: Pekala. ::>
[15:38:03	][IC] C24:RCT.YELLO-62: <:: Id ? ::>
[15:38:04	]Deadasf has connected.
[15:38:06	]Simon Hayes used command '/ID'.
[15:38:22	][IC] C24:RCT.YELLO-62: <:: Tamamdır gidebilirsin. ::>
[15:38:32	][LOOC] Simon Hayes: canım sıkılıyo
[15:38:37	][LOOC] C24:RCT.YELLO-62: he aq ya
[15:38:44	][LOOC] C24:RCT.YELLO-62: sunucu fazla dolu
[15:38:52	][LOOC] Simon Hayes: sunucu taşıyo
[15:39:01	][LOOC] C24:RCT.YELLO-62: dsjkvşmzdnv
[15:39:14	][LOOC] Simon Hayes: bende rct oldum diğer karakterimle
[15:39:26	][LOOC] C24:RCT.YELLO-62: ben ocak ayından beri rct yim
[15:39:31	][LOOC] Simon Hayes: oha
[15:39:42	][LOOC] C24:RCT.YELLO-62: bıktım knk saha eğitimi vermiyolar da
[15:40:08	][LOOC] Simon Hayes: diğer arkadaşta öyle dedi
[15:40:16	][LOOC] C24:RCT.YELLO-62: kim ?
[15:40:22	][LOOC] Simon Hayes: boşver 
[15:40:28	][LOOC] C24:RCT.YELLO-62: kim laaa
[15:40:40	]Deadasf loaded the character 'Bernard Shepard'
[15:40:45	]Bernard Shepard is fully healed.
[15:40:48	][LOOC] Simon Hayes: özel 
[15:40:48	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:40:53	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:40:54	][LOOC] C24:RCT.YELLO-62: ender mi yoksa
[15:41:08	][LOOC] Simon Hayes: herkesten aynı şeyi duyuyorum zaten
[15:41:11	][LOOC] Simon Hayes: ender değil
[15:41:13	]Bernard Shepard ran 'drop' on item 'Çiğ Headcrab Eti' (#71776)
[15:41:13	]Bernard Shepard has lost a 'Çiğ Headcrab Eti' #71776.
[15:41:15	]Bernard Shepard ran 'drop' on item 'Çiğ Headcrab Eti' (#71777)
[15:41:15	]Bernard Shepard has lost a 'Çiğ Headcrab Eti' #71777.
[15:41:19	][LOOC] C24:RCT.YELLO-62: merak ettim aga şimdi
[15:41:22	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:41:31	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:42:07	]C24:RCT.YELLO-62 used command '/ActStand'.
[15:42:08	]Bernard Shepard ran 'drop' on item 'Boş Bira Şişesi' (#71786)
[15:42:08	]Bernard Shepard has lost a 'Boş Bira Şişesi' #71786.
[15:42:11	][LOOC] Simon Hayes: valla meraklanma herkes öyle diyor
[15:42:26	][LOOC] C24:RCT.YELLO-62: aga devlet torpili ile seviye atlayamıyoz mu KŞNDBŞKXNBK
[15:42:46	]Bernard Shepard ran 'drop' on item 'Mavi Yıpranmış Gömlek' (#71748)
[15:42:46	]Bernard Shepard has lost a 'Mavi Yıpranmış Gömlek' #71748.
[15:42:46	][LOOC] Simon Hayes: bilmem
[15:43:26	][LOOC] C24:RCT.YELLO-62: sunucuya niye kimse girmiyo aga 
[15:43:33	][LOOC] Simon Hayes: girerler akşama doğru
[15:43:38	][LOOC] C24:RCT.YELLO-62: inş
[15:43:40	]C24:RCT.YELLO-62 used command '/ExitAct'.
[15:44:02	][IC] Bernard Shepard: Etrafı geziyorum da nexus lobisini gezecem izninizle.
[15:44:11	][IC] Simon Hayes: Yani bende gezeyim.
[15:44:57	][IC] Simon Hayes: Selam.
[15:44:58	]Mersa has connected.
[15:44:59	]C24:RCT.YELLO-62 used the 'Destek Masası Tedarikçisi' vendor.
[15:45:12	][IC] Simon Hayes: Anlamadım tekrarlarmısın.
[15:45:15	][IC] Simon Hayes: Müsait değildim.
[15:45:51	]Shane Walsh has connected.
[15:45:55	]Mersa loaded the character 'Karga'
[15:46:01	]Bernard Shepard ran 'Equip' on item 'Hatchet' (#68623)
[15:46:04	]Karga entered observer.
[15:46:06	]Bernard Shepard has critically hit C24:RCT.YELLO-62 in the chest dealing 24 damage (CritChance was 0.95).
[15:46:06	]C24:RCT.YELLO-62 has taken 24 damage from Bernard Shepard.
[15:46:09	]C24:RCT.YELLO-62 has hit Bernard Shepard dealing 8 damage (CritChance was 0.40).
[15:46:09	]Bernard Shepard has taken 7 damage from C24:RCT.YELLO-62.
[15:46:09	]Bernard Shepard has critically hit C24:RCT.YELLO-62 dealing 24 damage (CritChance was 0.95).
[15:46:09	]C24:RCT.YELLO-62 has taken 24 damage from Bernard Shepard.
[15:46:10	]Bernard Shepard is fully healed.
[15:46:12	]C24:RCT.YELLO-62 has critically hit Bernard Shepard dealing 8 damage (CritChance was 0.40).
[15:46:12	]Bernard Shepard has taken 7 damage from C24:RCT.YELLO-62.
[15:46:15	]Bernard Shepard is fully healed.
[15:46:17	]C24:RCT.YELLO-62 has hit Bernard Shepard dealing 8 damage (CritChance was 0.40).
[15:46:17	]Bernard Shepard has taken 7 damage from C24:RCT.YELLO-62.
[15:46:17	]Bernard Shepard has critically hit C24:RCT.YELLO-62 dealing 24 damage (CritChance was 0.95).
[15:46:17	]C24:RCT.YELLO-62 has taken 24 damage from Bernard Shepard.
[15:46:20	]Bernard Shepard is fully healed.
[15:46:26	]Mersa has unloaded their "Karga" character.
[15:46:26	]Bernard Shepard has critically hit C24:RCT.YELLO-62 in the chest dealing 24 damage (CritChance was 0.95).
[15:46:26	]C24:RCT.YELLO-62 has taken 24 damage from Bernard Shepard.
[15:46:26	]C24:RCT.YELLO-62 has hit Bernard Shepard dealing 8 damage (CritChance was 0.40).
[15:46:26	]Bernard Shepard has taken 7 damage from C24:RCT.YELLO-62.
[15:46:27	]Simon Hayes entered observer.
[15:46:29	]C24:RCT.YELLO-62 has critically hit Bernard Shepard dealing 8 damage (CritChance was 1.00).
[15:46:29	]Bernard Shepard has taken 7 damage from C24:RCT.YELLO-62.
[15:46:32	]Mersa loaded the character 'S10/OWS.GHOST-75'
[15:46:41	][IC] C24:RCT.YELLO-62: <:: Uagh! ::>
[15:46:41	]Bernard Shepard has critically hit npc_combine_camera dealing 24 damage (CritChance was 0.95).
[15:46:41	]S10/OWS.GHOST-75 used command '/Radio fUL'.
[15:46:42	]Bernard Shepard has critically hit npc_combine_camera dealing 24 damage (CritChance was 0.95).
[15:46:43	]Bernard Shepard has critically hit npc_combine_camera dealing 24 damage (CritChance was 0.95).
[15:46:44	]Bernard Shepard has critically hit npc_combine_camera dealing 24 damage (CritChance was 0.95).
[15:46:44	]S10/OWS.GHOST-75 used command '/Radio Full active'.
[15:46:45	]Bernard Shepard has critically hit npc_combine_camera dealing 24 damage (CritChance was 0.95).
[15:47:00	]C24:RCT.YELLO-62 used command '/Radio 415e nexus sda'.
[15:47:07	]C24:RCT.YELLO-62 ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#71766)
[15:47:07	]C24:RCT.YELLO-62 has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 22 experience in medicine.
[15:47:07	]C24:RCT.YELLO-62 was disinfected by C24:RCT.YELLO-62 for 193 seconds.
[15:47:07	]C24:RCT.YELLO-62 was bandaged by C24:RCT.YELLO-62 for 21 HP.
[15:47:08	]C24:RCT.YELLO-62 ran 'use' on item 'Dezenfekte Bandaj Rulosu' (#71766)
[15:47:08	]C24:RCT.YELLO-62 has performed the 'Use Dezenfekte Bandaj Rulosu' action, gaining 15 experience in medicine.
[15:47:08	]C24:RCT.YELLO-62 was disinfected by C24:RCT.YELLO-62 for 193 seconds.
[15:47:08	]C24:RCT.YELLO-62 was bandaged by C24:RCT.YELLO-62 for 21 HP.
[15:47:08	]S10/OWS.GHOST-75 has fired a toolgun with the name: creator
[15:47:08	]S10/OWS.GHOST-75 has spawned a 'Weapon [5080][arccw_ar21]'.
[15:47:08	]S10/OWS.GHOST-75 has fired a toolgun with the name: creator
[15:47:09	]S10/OWS.GHOST-75 has spawned a 'Weapon [5084][arccw_ar21]'.
[15:47:19	]Simon Hayes used command '/PM 75 aga bu kadar kişi varkende geçmezsin beaea'.
[15:47:20	][IC] S10/OWS.GHOST-75: <:: Report. ::>
[15:47:26	]Simon Hayes exited observer at their location.
[15:47:37	]S10/OWS.GHOST-75 used command '/PM Simon shot to miss'.
[15:47:45	]S10/OWS.GHOST-75 used command '/Radio idle2'.
[15:47:47	]Shane Walsh loaded the character 'C24.i3.HELIX-86'
[15:47:50	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:47:51	]Simon Hayes entered observer.
[15:47:54	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:47:54	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:47:55	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:47:57	]Bernard Shepard ran 'EquipUn' on item 'Hatchet' (#68623)
[15:47:58	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:48:00	]Bernard Shepard has transferred a 'Hatchet' #68623 to a container with the name 'Büyük Metal Dolap' #6898.
[15:48:00	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:48:03	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:48:05	]Bernard Shepard has transferred a 'Yeşil Kevlar Üniforma' #71750 to a container with the name 'Büyük Metal Dolap' #6898.
[15:48:08	][Y] S10/OWS.GHOST-75: <:: You can come out now! ::>
[15:48:08	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:48:10	][Y] S10/OWS.GHOST-75: <:: Haha. ::>
[15:48:14	]Simon Hayes exited observer at their location.
[15:48:15	]C24.i3.HELIX-86 used command '/Radio 10-8'.
[15:48:17	]C24.i3.HELIX-86 is fully healed.
[15:48:22	]Bernard Shepard ran 'take' on item 'İlk Yardım Kiti' (#71736)
[15:48:22	]Bernard Shepard has gained a 'İlk Yardım Kiti' #71736.
[15:48:24	]Bernard Shepard ran 'use' on item 'İlk Yardım Kiti' (#71736)
[15:48:24	]Bernard Shepard has performed the 'Use İlk Yardım Kiti' action, gaining 40 experience in medicine.
[15:48:24	]Bernard Shepard was disinfected by Bernard Shepard for 114 seconds.
[15:48:24	]Bernard Shepard was bandaged by Bernard Shepard for 55 HP.
[15:48:24	][IC] Simon Hayes: Holy.
[15:48:25	]S10/OWS.GHOST-75 used command '/Radio Reporting claer'.
[15:48:26	]C24.i3.HELIX-86 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[15:48:28	]C24:RCT.YELLO-62 used command '/Radio 10-4'.
[15:48:28	]Bernard Shepard ran 'drop' on item 'İlk Yardım Kiti' (#71736)
[15:48:28	]Bernard Shepard has lost a 'İlk Yardım Kiti' #71736.
[15:48:31	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:48:32	][IC] Simon Hayes: *Öksürme*.
[15:48:33	]Bernard Shepard has gained a 'Sivil Tulum' #69284 from a container with the name 'Büyük Metal Dolap' #6898.
[15:48:34	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:48:35	]Simon Hayes entered observer.
[15:48:36	]S10/OWS.GHOST-75 entered observer.
[15:48:36	]S10/OWS.GHOST-75 exited observer at their location.
[15:48:36	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:48:39	]C24.i3.HELIX-86 ran 'take' on item 'Sivil Koruma Rasyonu' (#71824)
[15:48:39	]C24.i3.HELIX-86 has gained a 'Sivil Koruma Rasyonu' #71824.
[15:48:40	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:48:41	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:48:45	]C24.i3.HELIX-86 ran 'Open' on item 'Sivil Koruma Rasyonu' (#71824)
[15:48:45	]C24.i3.HELIX-86 has gained a 'Metropolice Takviyeleri' #71825.
[15:48:45	]C24.i3.HELIX-86 has gained a 'Soda Bob Brawn' #71826.
[15:48:45	]C24.i3.HELIX-86 has gained a '20 Kredi Kuponu' #71827.
[15:48:46	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:48:47	]C24.i3.HELIX-86 ran 'Consume' on item 'Metropolice Takviyeleri' (#71825)
[15:48:47	]C24.i3.HELIX-86 extended their level 3 long boost in Güç.
[15:48:47	]C24:RCT.YELLO-62 used command '/Radio 10-52 revire gidiyorum'.
[15:48:48	]C24.i3.HELIX-86 ran 'Consume' on item 'Soda Bob Brawn' (#71826)
[15:48:48	]C24.i3.HELIX-86 extended their level 1 long boost in Algı.
[15:48:48	]C24.i3.HELIX-86 extended their level 2 long boost in Çeviklik.
[15:48:51	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:48:52	]C24.i3.HELIX-86 ran 'Use' on item '20 Kredi Kuponu' (#71827)
[15:48:54	]S10/OWS.GHOST-75 entered observer.
[15:48:54	]C24.i3.HELIX-86 has used a coupon at a ration dispenser, gaining 20 credits.
[15:48:57	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:49:06	]C24.i3.HELIX-86 used command '/Radio Bir durummu var?'.
[15:49:21	]Simon Hayes exited observer at their location.
[15:49:23	]C24:RCT.YELLO-62 used command '/Radio az önce saldırıya uğradım efendim'.
[15:49:25	]Bernard Shepard is fully healed.
[15:49:27	]C24:RCT.YELLO-62 used the 'Helix Ekipman Dağıtıcısı' vendor.
[15:49:29	]S10/OWS.GHOST-75 used command '/Radio Kapüsle dönülüyor Hizmet edin.'.
[15:49:30	]S10/OWS.GHOST-75 exited observer at their location.
[15:49:32	]C24.i3.HELIX-86 used command '/Radio Kim tarafından?'.
[15:49:36	]Mersa has unloaded their "S10/OWS.GHOST-75" character.
[15:49:37	]C24.i3.HELIX-86 used command '/Radio Geliyorum.'.
[15:49:40	]Arno has connected.
[15:49:41	][IC] Simon Hayes: Wow.
[15:49:42	]C24:RCT.YELLO-62 has gained 0 chips.
[15:49:42	]C24:RCT.YELLO-62 has gained a 'Cerrahi Kit' #71828.
[15:49:46	]Mersa loaded the character 'Karga'
[15:49:46	]C24:RCT.YELLO-62 ran 'use' on item 'Cerrahi Kit' (#71828)
[15:49:46	]C24:RCT.YELLO-62 has performed the 'Use Cerrahi Kit' action, gaining 101 experience in medicine.
[15:49:46	]C24:RCT.YELLO-62 was disinfected by C24:RCT.YELLO-62 for 530 seconds.
[15:49:46	]C24:RCT.YELLO-62 was bandaged by C24:RCT.YELLO-62 for 89 HP.
[15:49:47	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:49:48	]Karga entered observer.
[15:49:49	]Bernard Shepard has transferred a 'Gri tulum pantolonu' #69285 to a container with the name 'Büyük Metal Dolap' #6898.
[15:49:50	][IC] Simon Hayes: Ah.
[15:49:50	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:49:51	][IC] Simon Hayes: Kafam.
[15:49:57	]Simon Hayes entered observer.
[15:49:59	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:49:59	]Karga exited observer at their location.
[15:50:00	]C24:RCT.YELLO-62 used command '/Radio kimliğini bilmiyorum efendim maske takıyodu'.
[15:50:00	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:50:03	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:50:05	]Bernard Shepard has transferred a 'Yeşil Bere' #70563 to a container with the name 'Büyük Metal Dolap' #6898.
[15:50:05	]Karga entered observer.
[15:50:06	]Bernard Shepard has transferred a 'Havacı Gözlükleri' #69660 to a container with the name 'Büyük Metal Dolap' #6898.
[15:50:07	]Karga exited observer at their location.
[15:50:07	]Bernard Shepard has transferred a 'Ameliyat maskesi' #70561 to a container with the name 'Büyük Metal Dolap' #6898.
[15:50:07	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:50:08	]Karga entered observer.
[15:50:09	]Karga exited observer at their location.
[15:50:10	]Karga entered observer.
[15:50:11	]Simon Hayes used command '/PM karga aga niye karga geciyon ki'.
[15:50:11	]Karga exited observer at their location.
[15:50:13	]Karga entered observer.
[15:50:20	][IC] C24.i3.HELIX-86: <:: Yürü! ::>
[15:50:27	]Simon Hayes used command '/PM karga bende vorti gecim bari'.
[15:50:29	]Karga used command '/PM simon GM'lik yapıcam'.
[15:50:33	]Karga exited observer at their location.
[15:50:36	]Simon Hayes used command '/PM karga he taam'.
[15:50:36	][ME] C24.i3.HELIX-86: Küçük bir şekilde kişiye bakar.
[15:50:37	]Karga entered observer.
[15:50:39	]Karga exited observer at their location.
[15:50:43	][IT] C24.i3.HELIX-86: Nesi var?
[15:50:49	][ME] C24:RCT.YELLO-62: karnından kan akıyodur 
[15:50:57	][IC] C24.i3.HELIX-86: <:: Ne siki-? ::>
[15:50:59	][ME] C24:RCT.YELLO-62: yara dikilmiştir
[15:51:02	][IC] C24.i3.HELIX-86: <:: Otur şuruya. ::>
[15:51:11	]Karga entered observer.
[15:51:15	][LOOC] C24.i3.HELIX-86: /actsit var
[15:51:17	]Simon Hayes used command '/PM karga ben sana direkt sunucu yetkilisi whitelisti vereyim'.
[15:51:20	]C24:RCT.YELLO-62 used command '/ActSit'.
[15:51:26	]Karga used command '/PM simon One lo'.
[15:51:36	]Karga exited observer at their location.
[15:51:36	]Simon Hayes used command '/PM karga crat ta bi ara kullanıyodu'.
[15:51:40	][ME] C24.i3.HELIX-86: Kişinin önce maskesini ardından Sivil koruma üniformasını soyar.
[15:51:42	]Simon Hayes used command '/PM karga gmlik yaparken'.
[15:51:58	][ME] C24.i3.HELIX-86: Yaraya iyicene bakar
[15:51:58	]Simon Hayes has spawned a 'Entity [5016][ix_vendor]'.
[15:52:00	]Simon Hayes has used a context menu option with the name: vendor_edit
[15:52:00	][IC] C24.i3.HELIX-86: <:: SHIT,. ::>
[15:52:03	][IC] C24.i3.HELIX-86: <:: Hassiktir! ::>
[15:52:07	][IC] C24.i3.HELIX-86: <:: Ölebilirsin. ::>
[15:52:12	]Simon Hayes has used a context menu option with the name: remove
[15:52:13	]Karga entered observer.
[15:52:14	]Karga exited observer at their location.
[15:52:20	][IC] C24.i3.HELIX-86: <:: Haha. şaka yapıyordum zaten. ::>
[15:52:25	][IC] C24.i3.HELIX-86: <:: Kısa bir iş. ::>
[15:52:28	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:52:31	]Bernard Shepard has transferred a 'Büyük Çanta' #70994 to a container with the name 'Büyük Metal Dolap' #6898.
[15:52:31	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:52:37	][IC] C24.i3.HELIX-86: <:: Sadece biraz pansuman ve ağrı kesiciyle. ::>
[15:52:38	]Karga entered observer.
[15:52:41	][IC] C24.i3.HELIX-86: <:: Gönderirim seni. ::>
[15:52:59	]Karga exited observer at their location.
[15:53:02	]Karga entered observer.
[15:53:03	]Karga exited observer at their location.
[15:53:04	][ME] C24.i3.HELIX-86: Kişinin yarasını kontrol ettikten sonra çantasının içinden bir pamuk ve bir ilaç çıkartır.
[15:53:12	][ME] C24.i3.HELIX-86: Yarasının etrafına gezdirir
[15:53:13	]Bernard Shepard opened the 'Büyük Metal Dolap' #6898 container.
[15:53:14	]Mersa has unloaded their "Karga" character.
[15:53:17	]Bernard Shepard has gained a 'Tikhar Ball Rifle' #67416 from a container with the name 'Büyük Metal Dolap' #6898.
[15:53:19	][ME] C24.i3.HELIX-86: Dikişleri kontrol eder.
[15:53:19	]Bernard Shepard has gained a 'Hatchet' #68623 from a container with the name 'Büyük Metal Dolap' #6898.
[15:53:22	]Bernard Shepard has gained a 'Hatchet' #71760 from a container with the name 'Büyük Metal Dolap' #6898.
[15:53:24	]Bernard Shepard closed the 'Büyük Metal Dolap' #6898 container.
[15:53:27	][ME] C24:RCT.YELLO-62: kişi acıdan yatağa yumruk atıyordur
[15:53:31	][IT] C24.i3.HELIX-86: Dikişlerin durumu?
[15:53:40	][ME] C24:RCT.YELLO-62: sağlam
[15:53:48	][IC] C24.i3.HELIX-86: <:: Güzel dikişlerde bir şey yok. ::>
[15:53:54	][IC] C24.i3.HELIX-86: <:: Şimdi,. ::>
[15:54:09	][ME] C24.i3.HELIX-86: Çantasından bir morfin çıkartıp enjekte eder.
[15:54:14	]C24.i3.HELIX-86 ran 'give' on item 'Morfin' (#66100)
[15:54:14	]C24:RCT.YELLO-62 has gained a level 4 short boost in Güç.
[15:54:15	]Mersa created the character 'Güvercin'
[15:54:15	]Bernard Shepard ran 'drop' on item 'Tikhar Ball Rifle' (#67416)
[15:54:15	]Bernard Shepard has lost a 'Tikhar Ball Rifle' #67416.
[15:54:16	]C24.i3.HELIX-86 ran 'give' on item 'Cerrahi Kit' (#70335)
[15:54:16	]C24:RCT.YELLO-62 was disinfected by C24.i3.HELIX-86 for 336 seconds.
[15:54:16	]C24:RCT.YELLO-62 was bandaged by C24.i3.HELIX-86 for 78 HP.
[15:54:17	]Bernard Shepard ran 'drop' on item 'Hatchet' (#68623)
[15:54:17	]Bernard Shepard has lost a 'Hatchet' #68623.
[15:54:21	][IC] C24.i3.HELIX-86: <:: Güzel. ::>
[15:54:22	]Bernard Shepard ran 'drop' on item 'Hatchet' (#71760)
[15:54:22	]Bernard Shepard has lost a 'Hatchet' #71760.
[15:54:27	][IC] C24.i3.HELIX-86: <:: Sen bilin. ::>
[15:54:29	]C24:RCT.YELLO-62 is fully healed.
[15:54:30	][IC] C24.i3.HELIX-86: <:: Yat istiyorsan. ::>
[15:54:30	]Bernard Shepard ran 'take' on item 'Tikhar Ball Rifle' (#67416)
[15:54:30	]Bernard Shepard has gained a 'Tikhar Ball Rifle' #67416.
[15:54:33	]C24:RCT.YELLO-62 used command '/ExitAct'.
[15:54:35	]Bernard Shepard ran 'take' on item 'Hatchet' (#71760)
[15:54:35	]Bernard Shepard has gained a 'Hatchet' #71760.
[15:54:36	]Mersa loaded the character 'Bert Derek'
[15:54:37	]Bernard Shepard ran 'take' on item 'Hatchet' (#68623)
[15:54:37	]Bernard Shepard has gained a 'Hatchet' #68623.
[15:54:38	][IC] C24.i3.HELIX-86: <:: Tamam o zaman. ::>
[15:54:41	][IC] C24.i3.HELIX-86: <:: Yallah tazzik. ::>
[15:54:42	]Mersa has unloaded their "Bert Derek" character.
[15:54:47	]Mersa loaded the character 'Güvercin'
[15:54:47	]C24.i3.HELIX-86 used the 'Helix Ekipman Dağıtıcısı' vendor.
[15:54:49	]Güvercin entered observer.
