[01:35:27	]Oktawiangr has connected.
[02:45:36	]Henry Malarky exited observer at their location.
[02:45:39	]Henry Malarky ran 'EquipUn' on item 'Sprzęt zjazdowy' (#6768)
[02:45:40	]Henry Malarky ran 'drop' on item 'Sprzęt zjazdowy' (#6768)
[02:45:40	]Henry Malarky has lost a 'Sprzęt zjazdowy' #6768.
[02:45:50	]Szaliwun has unloaded their "Henry Malarky" character.
[02:45:55	]Szaliwun loaded the character 'C24:i3.UNION-4'
[02:45:58	]C24:i3.UNION-4 entered observer.
[02:46:04	]C24:i3.UNION-4 exited observer at their location.
[02:46:08	]Oktawiangr exited observer at their location.
[02:46:11	]C24:i3.UNION-4 ran SAM command 'menu' with arguments: ''
[02:46:12	]Oktawiangr ran SAM command 'bring' with arguments: 'union'
[02:46:13	]Oktawiangr entered observer.
[02:46:22	]Oktawiangr exited observer at their location.
[02:46:23	]Oktawiangr ran 'take' on item 'Sprzęt zjazdowy' (#6768)
[02:46:23	]Oktawiangr has gained a 'Sprzęt zjazdowy' #6768.
[02:46:27	]Oktawiangr ran 'drop' on item 'Sprzęt zjazdowy' (#6768)
[02:46:27	]Oktawiangr has lost a 'Sprzęt zjazdowy' #6768.
[02:46:28	]Oktawiangr entered observer.
[02:46:37	]Oktawiangr has used a context menu option with the name: remove
[02:46:41	][OOC] Oktawiangr: d
[02:46:45	]C24:i3.UNION-4 used command '/CharGiveItem union rappel_gear 1'.
[02:46:45	]C24:i3.UNION-4 has gained a 'Sprzęt zjazdowy' #6769.
[02:46:47	]C24:i3.UNION-4 ran 'Equip' on item 'Sprzęt zjazdowy' (#6769)
[02:46:50	]C24:i3.UNION-4 ran 'Equip' on item 'Sprzęt zjazdowy' (#6769)
[02:46:53	]C24:i3.UNION-4 ran 'EquipUn' on item 'Stunstick' (#1880)
[02:46:54	]C24:i3.UNION-4 ran 'Equip' on item 'Sprzęt zjazdowy' (#6769)
[02:47:11	]C24:i3.UNION-4 entered observer.
[02:47:15	]C24:i3.UNION-4 exited observer at their location.
[02:47:23	]C24:i3.UNION-4 entered observer.
[02:47:27	]C24:i3.UNION-4 exited observer at their location.
[02:47:40	]C24:i3.UNION-4 entered observer.
[02:47:41	]C24:i3.UNION-4 exited observer at their location.
[02:47:43	]C24:i3.UNION-4 entered observer.
[02:47:53	]C24:i3.UNION-4 exited observer at their location.
[02:47:57	]C24:i3.UNION-4 ran 'EquipUn' on item 'Sprzęt zjazdowy' (#6769)
[02:48:00	]C24:i3.UNION-4 ran 'drop' on item 'Sprzęt zjazdowy' (#6769)
[02:48:00	]C24:i3.UNION-4 has lost a 'Sprzęt zjazdowy' #6769.
[02:48:01	]Oktawiangr exited observer at their location.
[02:48:03	]Oktawiangr ran SAM command 'bring' with arguments: 'union'
[02:48:04	]C24:i3.UNION-4 has used a context menu option with the name: remove
[02:48:32	]C24:i3.UNION-4 ran 'use' on item 'Apteczka pierwszej pomocy' (#3821)
[02:48:32	]C24:i3.UNION-4 has performed the 'Użyj Apteczka pierwszej pomocy' action, gaining 61 experience in medicine.
[02:48:32	]C24:i3.UNION-4 was disinfected by C24:i3.UNION-4 for 146 seconds.
[02:48:32	]C24:i3.UNION-4 was bandaged by C24:i3.UNION-4 for 57 HP.
[02:50:24	]Oktawiangr used command '/ActSit 4'.
[02:50:40	]C24:i3.UNION-4 is fully healed.
[02:50:53	]C24:i3.UNION-4 entered observer.
[02:50:55	]C24:i3.UNION-4 exited observer at their location.
[02:51:08	]Oktawiangr entered observer.
[02:51:20	]Oktawiangr exited observer at their location.
[02:51:27	]Oktawiangr entered observer.
[02:51:30	]Oktawiangr exited observer at their location.
[02:51:32	]C24:i3.UNION-4 entered observer.
[02:51:34	]Oktawiangr entered observer.
[02:51:36	]Oktawiangr exited observer at their location.
[02:51:37	]C24:i3.UNION-4 exited observer at their location.
[02:51:41	]C24:i3.UNION-4 entered observer.
[02:51:45	]Oktawiangr entered observer.
[02:51:47	]Oktawiangr exited observer at their location.
[02:51:48	]C24:i3.UNION-4 exited observer at their location.
[02:51:50	]Oktawiangr entered observer.
[02:51:52	]Oktawiangr exited observer at their location.
[02:52:05	]C24:i3.UNION-4 entered observer.
[02:52:05	]Oktawiangr entered observer.
[02:52:08	]C24:i3.UNION-4 exited observer at their location.
[02:52:11	]Oktawiangr exited observer at their location.
[02:52:12	]Oktawiangr has taken 5 damage from slimePit2.
[02:52:13	]Oktawiangr has taken 5 damage from slimePit2.
[02:52:13	]Oktawiangr entered observer.
[02:52:18	]C24:i3.UNION-4 entered observer.
[02:52:19	]C24:i3.UNION-4 exited observer at their location.
[02:52:20	]C24:i3.UNION-4 entered observer.
[02:52:21	]Oktawiangr exited observer at their location.
[02:52:21	]Oktawiangr entered observer.
[02:52:22	]C24:i3.UNION-4 exited observer at their location.
[02:52:23	]C24:i3.UNION-4 entered observer.
[02:52:25	]C24:i3.UNION-4 exited observer at their location.
[02:52:47	]C24:i3.UNION-4 entered observer.
[02:52:54	]C24:i3.UNION-4 exited observer at their location.
[02:53:04	]C24:i3.UNION-4 entered observer.
[02:53:12	]C24:i3.UNION-4 exited observer at their location.
[02:53:16	]C24:i3.UNION-4 has taken 5 damage from slimePit2.
[02:53:16	]C24:i3.UNION-4 has taken 5 damage from slimePit2.
[02:53:27	]C24:i3.UNION-4 entered observer.
[02:53:38	]Oktawiangr exited observer at their location.
[02:53:42	]Oktawiangr has taken 5 damage from slimePit3.
[02:53:42	]C24:i3.UNION-4 exited observer at their location.
[02:53:45	]C24:i3.UNION-4 entered observer.
[02:53:46	]Oktawiangr entered observer.
[02:53:51	]C24:i3.UNION-4 exited observer at their location.
[02:53:54	]C24:i3.UNION-4 entered observer.
[02:53:55	]Oktawiangr exited observer at their location.
[02:53:57	]Oktawiangr entered observer.
[02:54:06	]Oktawiangr exited observer at their location.
[02:54:06	]Oktawiangr entered observer.
[02:54:07	]Oktawiangr exited observer at their location.
[02:54:08	]Oktawiangr entered observer.
[02:54:09	]Oktawiangr exited observer at their location.
[02:54:10	]C24:i3.UNION-4 exited observer at their location.
[02:54:10	]Oktawiangr entered observer.
[02:54:10	]C24:i3.UNION-4 entered observer.
[02:54:11	]C24:i3.UNION-4 exited observer at their location.
[02:54:12	]Oktawiangr exited observer at their location.
[02:54:13	]C24:i3.UNION-4 entered observer.
[02:54:13	]C24:i3.UNION-4 exited observer at their location.
[02:54:32	]C24:i3.UNION-4 entered observer.
[02:54:33	]Oktawiangr entered observer.
[02:54:33	]C24:i3.UNION-4 exited observer at their location.
[02:54:35	]Oktawiangr exited observer at their location.
[02:54:35	]C24:i3.UNION-4 entered observer.
[02:54:36	]C24:i3.UNION-4 exited observer at their location.
[02:54:43	]C24:i3.UNION-4 entered observer.
[02:54:44	]C24:i3.UNION-4 exited observer at their location.
[02:54:45	]C24:i3.UNION-4 entered observer.
[02:54:47	]C24:i3.UNION-4 exited observer at their location.
[02:54:54	]Oktawiangr entered observer.
[02:54:54	]Oktawiangr exited observer at their location.
[02:54:54	]C24:i3.UNION-4 entered observer.
[02:54:55	]C24:i3.UNION-4 exited observer at their location.
[02:55:12	]C24:i3.UNION-4 entered observer.
[02:55:13	]C24:i3.UNION-4 exited observer at their location.
[02:55:14	]Oktawiangr entered observer.
[02:55:17	]Oktawiangr exited observer at their location.
[02:55:18	]C24:i3.UNION-4 entered observer.
[02:55:18	]C24:i3.UNION-4 exited observer at their location.
[02:55:26	]C24:i3.UNION-4 entered observer.
[02:55:27	]C24:i3.UNION-4 exited observer at their location.
[02:55:29	]C24:i3.UNION-4 entered observer.
[02:55:30	]C24:i3.UNION-4 exited observer at their location.
[02:55:35	]C24:i3.UNION-4 entered observer.
[02:55:36	]Oktawiangr entered observer.
[02:55:37	]C24:i3.UNION-4 exited observer at their location.
[02:55:39	]Oktawiangr exited observer at their location.
[02:55:52	]Oktawiangr used command '/CharGiveItem oktawiangr flashlight'.
[02:55:52	]Oktawiangr has gained a 'Latarka' #6770.
[02:55:58	]Oktawiangr entered observer.
[02:56:01	]Oktawiangr exited observer at their location.
[02:56:01	]C24:i3.UNION-4 entered observer.
[02:56:02	]C24:i3.UNION-4 exited observer at their location.
[02:56:07	]C24:i3.UNION-4 entered observer.
[02:56:08	]C24:i3.UNION-4 exited observer at their location.
[02:56:10	]C24:i3.UNION-4 entered observer.
[02:56:11	]C24:i3.UNION-4 exited observer at their location.
[02:56:47	]C24:i3.UNION-4 entered observer.
[02:56:48	]Oktawiangr entered observer.
[02:56:52	]Oktawiangr exited observer at their location.
[02:56:54	]C24:i3.UNION-4 exited observer at their location.
[02:56:54	]C24:i3.UNION-4 entered observer.
[02:56:55	]Oktawiangr entered observer.
[02:56:57	]Oktawiangr exited observer at their location.
[02:56:58	]C24:i3.UNION-4 exited observer at their location.
[02:57:03	]Oktawiangr entered observer.
[02:57:05	]Oktawiangr exited observer at their location.
[02:57:05	]Oktawiangr entered observer.
[02:57:06	]Oktawiangr exited observer at their location.
[02:57:50	]C24:i3.UNION-4 entered observer.
[02:57:50	]C24:i3.UNION-4 exited observer at their location.
[02:57:51	]Oktawiangr entered observer.
[02:57:51	]C24:i3.UNION-4 entered observer.
[02:57:55	]C24:i3.UNION-4 exited observer at their location.
[02:57:56	]Oktawiangr exited observer at their location.
[02:58:08	]Oktawiangr entered observer.
[02:58:08	]Oktawiangr exited observer at their location.
[02:58:12	]C24:i3.UNION-4 entered observer.
[02:58:15	]Oktawiangr entered observer.
[02:58:35	]C24:i3.UNION-4 exited observer at their location.
[02:58:37	]Oktawiangr exited observer at their location.
[02:58:39	]Oktawiangr entered observer.
[02:58:40	]C24:i3.UNION-4 entered observer.
[02:58:41	]Oktawiangr exited observer at their location.
[02:58:45	]C24:i3.UNION-4 exited observer at their location.
[02:58:49	]Oktawiangr entered observer.
[02:58:58	]Oktawiangr exited observer at their location.
[02:58:59	]Oktawiangr entered observer.
[02:58:59	]Oktawiangr exited observer at their location.
[02:59:01	]C24:i3.UNION-4 entered observer.
[02:59:02	]Oktawiangr entered observer.
[02:59:10	]Oktawiangr exited observer at their location.
[02:59:11	]C24:i3.UNION-4 exited observer at their location.
[02:59:13	]C24:i3.UNION-4 entered observer.
[02:59:14	]C24:i3.UNION-4 exited observer at their location.
[02:59:16	]C24:i3.UNION-4 entered observer.
[02:59:16	]C24:i3.UNION-4 exited observer at their location.
[02:59:17	]Oktawiangr entered observer.
[02:59:18	]Oktawiangr exited observer at their location.
[02:59:23	]C24:i3.UNION-4 entered observer.
[02:59:23	]C24:i3.UNION-4 exited observer at their location.
[02:59:25	]Oktawiangr entered observer.
[02:59:25	]C24:i3.UNION-4 has taken 11 damage from worldspawn.
[02:59:25	]Oktawiangr exited observer at their location.
[02:59:30	]C24:i3.UNION-4 ran 'use' on item 'Apteczka pierwszej pomocy' (#3821)
[02:59:30	]C24:i3.UNION-4 has performed the 'Użyj Apteczka pierwszej pomocy' action, gaining 52 experience in medicine.
[02:59:30	]C24:i3.UNION-4 was disinfected by C24:i3.UNION-4 for 146 seconds.
[02:59:30	]C24:i3.UNION-4 was bandaged by C24:i3.UNION-4 for 57 HP.
[02:59:30	]C24:i3.UNION-4 has gained a 'Zszyty materiał' #6771.
[02:59:37	]C24:i3.UNION-4 entered observer.
[02:59:37	]C24:i3.UNION-4 exited observer at their location.
[02:59:38	]C24:i3.UNION-4 entered observer.
[02:59:38	]Oktawiangr entered observer.
[02:59:39	]Oktawiangr exited observer at their location.
[02:59:39	]C24:i3.UNION-4 exited observer at their location.
[02:59:45	]C24:i3.UNION-4 entered observer.
[02:59:45	]C24:i3.UNION-4 exited observer at their location.
[02:59:46	]Oktawiangr entered observer.
[02:59:46	]Oktawiangr exited observer at their location.
[02:59:47	]Oktawiangr entered observer.
[02:59:47	]Oktawiangr exited observer at their location.
[03:00:09	]Oktawiangr entered observer.
[03:00:12	]Oktawiangr exited observer at their location.
[03:00:13	]Oktawiangr entered observer.
[03:00:16	]Oktawiangr exited observer at their location.
[03:00:23	]Oktawiangr entered observer.
[03:00:23	]Oktawiangr exited observer at their location.
[03:00:29	]Oktawiangr entered observer.
[03:00:37	]C24:i3.UNION-4 entered observer.
[03:00:39	]Oktawiangr exited observer at their location.
[03:00:40	]C24:i3.UNION-4 exited observer at their location.
[03:00:45	]C24:i3.UNION-4 entered observer.
[03:00:45	]C24:i3.UNION-4 exited observer at their location.
[03:00:47	]C24:i3.UNION-4 entered observer.
[03:00:47	]C24:i3.UNION-4 exited observer at their location.
[03:00:49	]C24:i3.UNION-4 entered observer.
[03:00:50	]C24:i3.UNION-4 exited observer at their location.
[03:01:05	]C24:i3.UNION-4 is fully healed.
[03:01:07	]Oktawiangr entered observer.
[03:01:08	]Oktawiangr exited observer at their location.
[03:01:09	]C24:i3.UNION-4 entered observer.
[03:01:10	]Oktawiangr entered observer.
[03:01:14	]Oktawiangr exited observer at their location.
[03:01:17	]Oktawiangr entered observer.
[03:01:19	]C24:i3.UNION-4 exited observer at their location.
[03:01:20	]C24:i3.UNION-4 entered observer.
[03:01:21	]C24:i3.UNION-4 exited observer at their location.
[03:01:23	]C24:i3.UNION-4 entered observer.
[03:01:23	]C24:i3.UNION-4 exited observer at their location.
[03:01:27	]Oktawiangr exited observer at their location.
[03:01:35	]C24:i3.UNION-4 entered observer.
[03:01:36	]C24:i3.UNION-4 exited observer at their location.
[03:01:42	]C24:i3.UNION-4 entered observer.
[03:01:44	]C24:i3.UNION-4 exited observer at their location.
[03:01:47	]C24:i3.UNION-4 entered observer.
[03:01:48	]C24:i3.UNION-4 exited observer at their location.
[03:01:48	]Oktawiangr entered observer.
[03:01:59	]Oktawiangr exited observer at their location.
[03:02:54	]C24:i3.UNION-4 entered observer.
[03:02:55	]C24:i3.UNION-4 exited observer at their location.
[03:02:56	]Oktawiangr entered observer.
[03:02:56	]C24:i3.UNION-4 entered observer.
[03:02:56	]Oktawiangr exited observer at their location.
[03:02:56	]C24:i3.UNION-4 exited observer at their location.
[03:02:57	]Oktawiangr entered observer.
[03:02:57	]Oktawiangr exited observer at their location.
[03:03:11	]C24:i3.UNION-4 has spawned a 'NPC [380][npc_vj_hla_antlion]'.
[03:03:12	]Oktawiangr entered observer.
[03:03:15	]C24:i3.UNION-4 entered observer.
[03:03:29	]Oktawiangr has spawned a 'NPC [481][npc_vj_hla_antlion_spitter]'.
[03:03:36	]Oktawiangr has used a context menu option with the name: remove
[03:03:37	]Oktawiangr exited observer at their location.
[03:03:38	]C24:i3.UNION-4 exited observer at their location.
[03:04:13	]C24:i3.UNION-4 entered observer.
[03:04:13	]C24:i3.UNION-4 exited observer at their location.
[03:04:25	]C24:i3.UNION-4 entered observer.
[03:04:25	]C24:i3.UNION-4 exited observer at their location.
[03:04:30	]Oktawiangr entered observer.
[03:04:32	]C24:i3.UNION-4 entered observer.
[03:04:34	]Oktawiangr exited observer at their location.
[03:04:34	]C24:i3.UNION-4 exited observer at their location.
[03:04:42	]C24:i3.UNION-4 entered observer.
[03:04:42	]C24:i3.UNION-4 exited observer at their location.
[03:04:43	]Oktawiangr entered observer.
[03:04:44	]Oktawiangr exited observer at their location.
[03:04:47	]C24:i3.UNION-4 entered observer.
[03:04:48	]C24:i3.UNION-4 exited observer at their location.
[03:04:58	]C24:i3.UNION-4 entered observer.
[03:05:00	]Oktawiangr entered observer.
[03:05:03	]C24:i3.UNION-4 exited observer at their location.
[03:05:12	]C24:i3.UNION-4 entered observer.
[03:05:13	]C24:i3.UNION-4 exited observer at their location.
[03:05:20	]C24:i3.UNION-4 entered observer.
[03:05:20	]C24:i3.UNION-4 exited observer at their location.
[03:05:25	]Oktawiangr exited observer at their location.
[03:05:32	]Oktawiangr entered observer.
[03:05:54	]C24:i3.UNION-4 entered observer.
[03:05:55	]C24:i3.UNION-4 exited observer at their location.
[03:05:56	]Oktawiangr exited observer at their location.
[03:05:56	]C24:i3.UNION-4 entered observer.
[03:05:57	]C24:i3.UNION-4 exited observer at their location.
[03:05:58	]C24:i3.UNION-4 entered observer.
[03:05:59	]Oktawiangr entered observer.
[03:06:01	]C24:i3.UNION-4 exited observer at their location.
[03:06:06	]C24:i3.UNION-4 entered observer.
[03:06:06	]C24:i3.UNION-4 exited observer at their location.
[03:06:07	]Oktawiangr exited observer at their location.
