[10:11:30	]Enistein has connected.
[11:15:30	]Theodore Abernathy used command '/ShowAllApartments'.
[11:15:39	]Theodore Abernathy used command '/SetApartmentDoor RB-A-01-01'.
[11:15:42	]Theodore Abernathy used command '/SetApartmentDoor RB-A-01-02'.
[11:15:45	]Theodore Abernathy used command '/SetApartmentDoor RB-A-02-01'.
[11:15:46	]Theodore Abernathy used command '/SetApartmentDoor RB-A-02-02'.
[11:15:49	]Theodore Abernathy used command '/SetApartmentDoor RB-A-03-01'.
[11:15:51	]Theodore Abernathy used command '/SetApartmentDoor RB-A-03-02'.
[11:15:55	]Theodore Abernathy used command '/SetApartmentDoor RB-A-04-02'.
[11:15:57	]Theodore Abernathy used command '/SetApartmentDoor RB-A-04-01'.
[11:16:40	]Theodore Abernathy used command '/SetApartmentDoor 2122-01'.
[11:16:43	]Theodore Abernathy used command '/SetApartmentDoor 2122-02'.
[11:16:44	]Theodore Abernathy used command '/SetApartmentDoor 2122-03'.
[11:18:07	]Theodore Abernathy used command '/ShowAllApartments'.
[11:18:22	]Theodore Abernathy used command '/SetApartmentDoor RB-B-01-01'.
[11:18:24	]Theodore Abernathy used command '/SetApartmentDoor RB-B-01-02'.
[11:18:28	]Theodore Abernathy used command '/SetApartmentDoor RB-B-02-02'.
[11:18:32	]Theodore Abernathy used command '/SetApartmentDoor RB-B-02-01'.
[11:18:57	]Theodore Abernathy has spawned a 'Entity [5054][ix_combinelock]'.
[11:19:28	]Theodore Abernathy has spawned a 'Entity [5055][ix_combinelock_cwu]'.
[11:19:32	]Theodore Abernathy has spawned a 'Entity [5056][ix_combinelock_cwu]'.
[11:19:38	]Theodore Abernathy has spawned a 'Entity [5062][ix_combinelock_cwu]'.
[11:19:39	]Theodore Abernathy has spawned a 'Entity [5063][ix_combinelock_cwu]'.
[11:19:47	]Theodore Abernathy has spawned a 'Entity [5065][ix_combinelock_cwu]'.
[11:20:01	]Theodore Abernathy is fully healed.
[11:20:19	]Theodore Abernathy has spawned a 'Entity [5067][ix_combinelock_cmru]'.
[11:20:20	]Theodore Abernathy has spawned a 'Entity [5066][ix_combinelock_cmru]'.
[11:20:27	]Theodore Abernathy has spawned a 'Entity [5068][ix_combinelock_cmru]'.
[11:20:28	]Theodore Abernathy has spawned a 'Entity [5069][ix_combinelock_cmru]'.
[11:20:36	]Theodore Abernathy has spawned a 'Entity [5070][ix_combinelock_cmru]'.
[11:20:37	]Theodore Abernathy exited observer at their location.
[11:20:38	]Theodore Abernathy has spawned a 'Entity [5081][ix_combinelock_cmru]'.
[11:20:40	]Theodore Abernathy has spawned a 'Entity [5082][ix_combinelock_cmru]'.
[11:20:41	]Theodore Abernathy has spawned a 'Entity [5083][ix_combinelock_cmru]'.
[11:20:57	]Theodore Abernathy entered observer.
[11:21:00	]Theodore Abernathy has spawned a 'Entity [5085][ix_combinelock_cmru]'.
[11:21:02	]Theodore Abernathy exited observer at their location.
[11:21:03	]Theodore Abernathy has spawned a 'Entity [5128][ix_combinelock_cmru]'.
[11:21:03	]Theodore Abernathy entered observer.
[11:21:03	]Theodore Abernathy exited observer at their location.
[11:21:04	]Theodore Abernathy has spawned a 'Entity [5129][ix_combinelock_cmru]'.
[11:21:06	]Theodore Abernathy entered observer.
[11:21:43	]Theodore Abernathy used command '/SetApartmentDoor D-01'.
[11:21:45	]Theodore Abernathy used command '/SetApartmentDoor D-02'.
[11:21:57	]Theodore Abernathy used command '/SetApartmentDoor D-03'.
[11:22:00	]Theodore Abernathy used command '/SetApartmentDoor D-04'.
[11:22:03	]Theodore Abernathy used command '/SetApartmentDoor D-05'.
[11:22:13	]Theodore Abernathy exited observer at their location.
[11:22:13	]Theodore Abernathy has spawned a 'Entity [5130][ix_combinelock]'.
[11:22:19	]Theodore Abernathy entered observer.
[11:22:22	]Theodore Abernathy exited observer at their location.
[11:22:24	]Theodore Abernathy entered observer.
[11:22:25	]Theodore Abernathy exited observer at their location.
[11:22:26	]Theodore Abernathy has spawned a 'Entity [5131][ix_combinelock]'.
[11:22:27	]Theodore Abernathy entered observer.
[11:22:27	]Theodore Abernathy exited observer at their location.
[11:22:28	]Theodore Abernathy entered observer.
[11:22:35	]Theodore Abernathy exited observer at their location.
[11:22:36	]Theodore Abernathy has spawned a 'Entity [5132][ix_combinelock_cmru]'.
[11:22:37	]Theodore Abernathy entered observer.
[11:22:37	]Theodore Abernathy exited observer at their location.
[11:22:38	]Theodore Abernathy entered observer.
[11:22:39	]Theodore Abernathy exited observer at their location.
[11:22:40	]Theodore Abernathy has spawned a 'Entity [5133][ix_combinelock_cmru]'.
[11:22:41	]Theodore Abernathy entered observer.
[11:22:42	]Theodore Abernathy exited observer at their location.
[11:22:43	]Theodore Abernathy has spawned a 'Entity [5134][ix_combinelock_cmru]'.
[11:22:44	]Theodore Abernathy entered observer.
[11:22:46	]Theodore Abernathy exited observer at their location.
[11:22:47	]Theodore Abernathy has spawned a 'Entity [5135][ix_combinelock_cmru]'.
[11:22:49	]Theodore Abernathy entered observer.
[11:22:53	]Theodore Abernathy exited observer at their location.
[11:22:53	]Theodore Abernathy entered observer.
[11:22:54	]Theodore Abernathy exited observer at their location.
[11:22:55	]Theodore Abernathy entered observer.
[11:22:55	]Theodore Abernathy exited observer at their location.
[11:22:57	]Theodore Abernathy has used a context menu option with the name: rb655_dissolve
[11:23:00	]Theodore Abernathy entered observer.
[11:23:01	]Theodore Abernathy exited observer at their location.
[11:23:02	]Theodore Abernathy has spawned a 'Entity [5135][ix_combinelock_cmru]'.
[11:23:03	]Theodore Abernathy entered observer.
[11:23:04	]Theodore Abernathy exited observer at their location.
[11:23:05	]Theodore Abernathy has used a context menu option with the name: remove
[11:23:07	]Theodore Abernathy entered observer.
[11:23:07	]Theodore Abernathy exited observer at their location.
[11:23:09	]Theodore Abernathy has spawned a 'Entity [5137][ix_combinelock_cmru]'.
[11:23:10	]Theodore Abernathy entered observer.
[11:23:16	]Theodore Abernathy has spawned a 'Entity [5138][ix_combinelock_cwu]'.
[11:23:21	]Theodore Abernathy has spawned a 'Entity [5139][ix_combinelock_cwu]'.
[11:23:25	]Theodore Abernathy has spawned a 'Entity [5140][ix_combinelock_cwu]'.
[11:23:49	]Theodore Abernathy ran SAM command 'setrankid' with arguments: 'STEAM_0:0:188549543' 'gamemaster'
[11:28:50	]Theodore Abernathy has gone afk.
[11:31:23	]Theodore Abernathy is no longer afk. Total time spent AFK: 450
[11:31:23	]Theodore Abernathy used command '/LayEgg'.
[11:32:01	]Theodore Abernathy used command '/ShowAllApartments'.
[11:32:12	]Theodore Abernathy used command '/SetApartmentDoor D-05'.
[11:32:13	]Theodore Abernathy used command '/SetApartmentDoor D-05'.
[11:32:15	]Theodore Abernathy used command '/SetApartmentDoor D-05'.
[11:32:17	]Theodore Abernathy used command '/SetApartmentDoor D-05'.
[11:32:24	]Theodore Abernathy used command '/SetApartmentDoor D-05'.
[11:32:47	]Theodore Abernathy used command '/SetApartmentDoor D-06'.
[11:32:55	]Theodore Abernathy used command '/SetApartmentDoor D-01'.
[11:32:58	]Theodore Abernathy used command '/SetApartmentDoor D-01'.
[11:33:13	]Theodore Abernathy used command '/SetApartmentDoor D-04'.
[11:33:15	]Theodore Abernathy used command '/SetApartmentDoor D-04'.
[11:33:16	]Theodore Abernathy used command '/SetApartmentDoor D-04'.
[11:33:20	]Theodore Abernathy used command '/SetApartmentDoor D-05'.
[11:33:26	]Theodore Abernathy used command '/SetApartmentDoor D-06'.
[11:33:28	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:33:29	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:33:31	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:33:33	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:33:35	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:33:38	]Theodore Abernathy used command '/SetApartmentDoor D-06'.
[11:33:39	]Theodore Abernathy used command '/SetApartmentDoor D-06'.
[11:33:41	]Theodore Abernathy used command '/SetApartmentDoor D-06'.
[11:33:43	]Theodore Abernathy used command '/SetApartmentDoor D-06'.
[11:33:45	]Theodore Abernathy used command '/SetApartmentDoor D-06'.
[11:33:49	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:33:50	]Theodore Abernathy used command '/SetApartmentDoor D-07'.
[11:33:52	]Theodore Abernathy used command '/SetApartmentDoor D-07'.
[11:34:12	]Theodore Abernathy used command '/SetApartmentDoor D-08'.
[11:34:14	]Theodore Abernathy used command '/SetApartmentDoor D-08'.
[11:34:16	]Theodore Abernathy used command '/SetApartmentDoor D-08'.
[11:34:17	]Theodore Abernathy used command '/SetApartmentDoor D-08'.
[11:34:22	]Theodore Abernathy used command '/SetApartmentDoor D-09'.
[11:34:23	]Theodore Abernathy used command '/SetApartmentDoor D-09'.
[11:34:25	]Theodore Abernathy used command '/SetApartmentDoor D-09'.
[11:34:27	]Theodore Abernathy used command '/SetApartmentDoor D-09'.
[11:34:31	]Theodore Abernathy exited observer at their location.
[11:34:32	]Theodore Abernathy has spawned a 'Entity [5064][ix_combinelock]'.
[11:34:33	]Theodore Abernathy entered observer.
[11:35:28	]Theodore Abernathy exited observer at their location.
[11:35:30	]Theodore Abernathy entered observer.
[11:35:31	]Theodore Abernathy exited observer at their location.
[11:35:32	]Theodore Abernathy entered observer.
[11:35:33	]Theodore Abernathy exited observer at their location.
[11:35:36	]Theodore Abernathy entered observer.
[11:35:37	]Theodore Abernathy exited observer at their location.
[11:35:41	]Theodore Abernathy entered observer.
[11:35:45	]Theodore Abernathy exited observer at their location.
[11:35:46	]Theodore Abernathy entered observer.
[11:35:46	]Theodore Abernathy exited observer at their location.
[11:35:51	]Theodore Abernathy entered observer.
[11:36:07	]Theodore Abernathy exited observer at their location.
[11:36:11	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:12	]Theodore Abernathy entered observer.
[11:36:13	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:14	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:15	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:17	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:20	]Theodore Abernathy exited observer at their location.
[11:36:22	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:25	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:27	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:28	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:29	]Theodore Abernathy entered observer.
[11:36:31	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:33	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:36:52	]Theodore Abernathy exited observer at their location.
[11:36:56	]Theodore Abernathy entered observer.
[11:36:57	]Theodore Abernathy exited observer at their location.
[11:36:58	]Theodore Abernathy entered observer.
[11:38:01	]Theodore Abernathy exited observer at their location.
[11:38:02	]Theodore Abernathy entered observer.
[11:38:03	]Theodore Abernathy exited observer at their location.
[11:38:03	]Theodore Abernathy entered observer.
[11:48:02	]Theodore Abernathy exited observer at their location.
[11:53:29	]Theodore Abernathy has gone afk.
[12:03:58	]Shane Walsh has connected.
[12:04:06	]Beyin.Dll has connected.
[12:04:12	]Theodore Abernathy entered observer.
[12:04:14	]Theodore Abernathy is no longer afk. Total time spent AFK: 940
[12:05:02	]Shane Walsh loaded the character 'C24:i4.HELIX-86'
[12:05:04	]Beyin.Dll loaded the character 'C24:i3.XRAY-91'
[12:05:07	]C24:i4.HELIX-86 is fully healed.
[12:05:21	]C24:i4.HELIX-86 used command '/Radio 10-8'.
[12:05:24	]C24:i3.XRAY-91 is fully healed.
[12:05:27	]C24:i4.HELIX-86 used command '/Radio 10-20: Plaza'.
[12:05:49	]C24:i3.XRAY-91 used command '/Radio 10-8'.
[12:06:40	][IC] C24:i3.XRAY-91: <:: 86. ::>
[12:06:43	][IC] C24:i4.HELIX-86: <:: Merhaba. ::>
[12:06:48	][IC] C24:i4.HELIX-86: <:: Evet? ::>
[12:06:50	][IC] C24:i3.XRAY-91: <:: Merhaba? ::>
[12:06:51	][IC] C24:i3.XRAY-91: <:: Hmph. ::>
[12:06:59	][IC] C24:i3.XRAY-91: <:: Sivil gördüğünde etraftaki çöpleri toplat. ::>
[12:07:00	]Theodore Abernathy exited observer at their location.
[12:07:00	]Theodore Abernathy entered observer.
[12:07:10	][IC] C24:i4.HELIX-86: <:: Yapacağım. ::>
[12:07:17	][IC] C24:i4.HELIX-86: <:: Süphen olmasın. ::>
[12:07:25	][LOOC] C24:i4.HELIX-86: Ş
[12:07:25	]C24:i3.XRAY-91 used command '/CharSetNeeds 91 5'.
[12:07:25	]Theodore Abernathy exited observer at their location.
[12:07:27	]Enistein has unloaded their "Theodore Abernathy" character.
[12:07:59	]Enistein loaded the character 'Theodore Abernathy'
[12:08:02	]Theodore Abernathy used command '/CharDesc'.
[12:08:04	]Enistein has unloaded their "Theodore Abernathy" character.
[12:08:20	]C24:i3.XRAY-91 ran SAM command 'asay' with arguments: 'enis'
[12:08:22	]C24:i3.XRAY-91 ran SAM command 'asay' with arguments: 'fastdl varmı'
[12:08:26	][LOOC] C24:i4.HELIX-86: mouse bozuk awq
[12:08:27	]C24:i3.XRAY-91 ran SAM command 'asay' with arguments: 'svde'
[12:08:36	][LOOC] C24:i4.HELIX-86: ne yapcaz
[12:08:43	][LOOC] C24:i4.HELIX-86: mouse bi tamir olsunda
[12:09:24	]C24:i4.HELIX-86 has changed C24:i4.HELIX-86's bodygroups.
[12:09:28	]C24:i4.HELIX-86 used command '/CharDesc'.
[12:09:53	]Enistein created the character 'Theodore Abernathy'
[12:09:54	]Enistein loaded the character 'Theodore Abernathy'
[12:09:54	]Theodore Abernathy has gained a 'Açık Gri Kol Bandı' #69273.
[12:09:54	]Theodore Abernathy has gained a '#30524 Kimlik Kartı' #69274.
[12:09:54	]Theodore Abernathy has gained a 'Gri Tulum' #69275.
[12:09:54	]Theodore Abernathy has gained a 'Mavi tulum pantolonu' #69276.
[12:09:54	]Theodore Abernathy has gained a 'Koyu Deri Çizme' #69277.
[12:10:06	]Theodore Abernathy entered observer.
[12:10:11	]Theodore Abernathy exited observer at their location.
[12:10:20	][IC] C24:i4.HELIX-86: <:: Sivil. ::>
[12:10:23	][IC] Theodore Abernathy: E-evet?
[12:10:28	][IC] C24:i4.HELIX-86: <:: Şu çöpleri çöpe at. ::>
[12:10:32	][IC] C24:i4.HELIX-86: <:: Sonra yanıma geş. ::>
[12:10:33	][IC] C24:i4.HELIX-86: <:: Gel. ::>
[12:10:35	][IC] Theodore Abernathy: Tabii.
[12:10:46	][ME] Theodore Abernathy: yerdeki çöplere uzanıp kucağına alır
[12:10:47	]Theodore Abernathy ran 'take' on item 'Boş Kavanoz' (#69265)
[12:10:47	]Theodore Abernathy has gained a 'Boş Kavanoz' #69265.
[12:10:50	]Theodore Abernathy ran 'take' on item 'Boş Breen'in Suyu' (#69266)
[12:10:50	]Theodore Abernathy has gained a 'Boş Breen'in Suyu' #69266.
[12:10:52	]Victorian has connected.
[12:10:52	][LOOC] C24:i4.HELIX-86: hafta sonralı full bu saatte açılsa
[12:10:58	]Theodore Abernathy opened the 'Çöp Konteyneri' #6553 container.
[12:11:00	]Theodore Abernathy has transferred a 'Boş Breen'in Suyu' #69266 to a container with the name 'Çöp Konteyneri' #6553.
[12:11:00	]Theodore Abernathy has transferred a 'Boş Kavanoz' #69265 to a container with the name 'Çöp Konteyneri' #6553.
[12:11:01	]Theodore Abernathy closed the 'Çöp Konteyneri' #6553 container.
[12:11:03	]Theodore Abernathy ran 'Equip' on item 'Açık Gri Kol Bandı' (#69273)
[12:11:12	][IC] C24:i4.HELIX-86: <:: Şunuda al. ::>
[12:11:18	][IC] Theodore Abernathy: Ah- benim hatam.
[12:11:22	]Theodore Abernathy ran 'take' on item 'Boş Breen'in Suyu' (#69252)
[12:11:22	]Theodore Abernathy has gained a 'Boş Breen'in Suyu' #69252.
[12:11:22	]Theodore Abernathy opened the 'Çöp Konteyneri' #6553 container.
[12:11:23	][IC] C24:i4.HELIX-86: <:: Sorun değil. ::>
[12:11:24	]Theodore Abernathy has transferred a 'Boş Breen'in Suyu' #69252 to a container with the name 'Çöp Konteyneri' #6553.
[12:11:25	]Theodore Abernathy closed the 'Çöp Konteyneri' #6553 container.
[12:11:30	][IC] C24:i4.HELIX-86: <:: Pekala iyi iş yaptın. ::>
[12:11:32	][IC] C24:i4.HELIX-86: <:: Güzel. ::>
[12:11:35	][IC] C24:i4.HELIX-86: <:: Doğrula. ::>
[12:11:39	]Theodore Abernathy used command '/ID'.
[12:11:54	][ME] C24:i4.HELIX-86: Çantasına doğru elini uzatıp bir tablet çıkartır ve bir kaç şeye tıklar.
[12:11:58	]C24:i4.HELIX-86 ran 'Equip' on item 'Combine PDA' (#41419)
[12:12:30	][ME] C24:i4.HELIX-86: Çantasına geri koyar.
[12:12:41	][IC] C24:i4.HELIX-86: <:: Pekala iyi iş sosyal kredin arttı. ::>
[12:12:46	][IC] C24:i4.HELIX-86: <:: Bu şehirde yenimisin? ::>
[12:12:48	][IC] Theodore Abernathy: Harika, teşekkürler!
[12:12:50	][IC] Theodore Abernathy: Aslında, hayır.
[12:12:50	]Sinyor Gordon has connected.
[12:12:58	][IC] Theodore Abernathy: Savaş öncesinden beri buradayım efendim, çok şey gördüm.
[12:13:02	][IC] C24:i4.HELIX-86: <:: Güzel. ::>
[12:13:03	]Victorian loaded the character 'Hilbert Ritter'
[12:13:12	]C24:i3.XRAY-91 used command '/Radio 10-20 Plaza. Kod 12'.
[12:13:12	][IC] C24:i4.HELIX-86: <:: Rasyonların nerde olduğunu biliyorsundur umarım. ::>
[12:13:17	]C24:i4.HELIX-86 used command '/Radio 10-4'.
[12:13:22	][IC] Theodore Abernathy: Biliyorum tabii.
[12:13:23	]Hilbert Ritter ran SAM command 'asay' with arguments: 'sa'
[12:13:23	]Hilbert Ritter entered observer.
[12:13:26	][IC] C24:i3.XRAY-91: <:: Y. ::>
[12:13:28	]C24:i3.XRAY-91 ran SAM command 'asay' with arguments: 'Merhaba.'
[12:13:33	]Hilbert Ritter ran SAM command 'asay' with arguments: 'birazdan role gircem'
[12:13:39	][IC] C24:i4.HELIX-86: <:: Güzel, çünki artık daha doyurucu olduğu söyleniyor. ::>
[12:13:41	]C24:i3.XRAY-91 ran SAM command 'asay' with arguments: 'bu gerçekten inanılmaz'
[12:13:43	][IC] C24:i4.HELIX-86: <:: Bakmanı tavsiye ederim. ::>
[12:13:45	]Theodore Abernathy used command '/Staff arkadslar burayi kullanalm lutfen'.
[12:13:53	]C24:i3.XRAY-91 used command '/Staff Tamam tr'.
[12:13:54	]Hilbert Ritter used command '/Staff k'.
[12:14:02	][IC] Theodore Abernathy: Eminim her zamanki gibi lezzetlidir efendim, teşekkürler tekrardan.
[12:14:04	]Hilbert Ritter exited observer at their location.
[12:14:08	][IC] C24:i4.HELIX-86: <:: Bir şey değil. ::>
[12:14:11	][IC] C24:i4.HELIX-86: <:: İyi günler. ::>
[12:14:14	][IC] Theodore Abernathy: Size de.
[12:14:24	]Sinyor Gordon loaded the character 'Vladimir Miroslav'
[12:14:28	][IC] C24:i4.HELIX-86: <:: Devriye atmaya ne dersin? ::>
[12:14:28	]Vladimir Miroslav is fully healed.
[12:14:33	][IC] C24:i4.HELIX-86: <:: Eğer tabi istersen.. ::>
[12:14:40	]C24:i3.XRAY-91 used command '/Radio 10-20 10-91 T94-322'.
[12:14:45	]Vladimir Miroslav entered observer.
[12:14:48	][IC] C24:i3.XRAY-91: <:: Anlaşıldı. ::>
[12:14:53	]Theodore Abernathy has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[12:14:53	]C24:i3.XRAY-91 used command '/PTCreate 1'.
[12:14:59	][IC] C24:i3.XRAY-91: <:: KT-1 Kenetleş. ::>
[12:14:59	]Daryl Dixon has connected.
[12:15:02	][IC] C24:i4.HELIX-86: <:: Anlaşıldı. ::>
[12:15:04	]Mersa has connected.
[12:15:05	]Theodore Abernathy ran 'take' on item 'Rasyon' (#69278)
[12:15:05	]Theodore Abernathy has gained a 'Rasyon' #69278.
[12:15:08	]Vladimir Miroslav exited observer at their location.
[12:15:11	]Theodore Abernathy ran 'Open' on item 'Rasyon' (#69278)
[12:15:11	]Theodore Abernathy has gained a 'Yapay Macun' #69279.
[12:15:11	]Theodore Abernathy has gained a 'Breen'in Suyu' #69280.
[12:15:11	]Theodore Abernathy has gained a '15 Kredi Kuponu' #69281.
[12:15:12	]Theodore Abernathy ran 'Use' on item '15 Kredi Kuponu' (#69281)
[12:15:13	]C24:i4.HELIX-86 used command '/PTJoin 1'.
[12:15:14	]Theodore Abernathy has used a coupon at a ration dispenser, gaining 15 credits.
[12:15:18	][IC] C24:i4.HELIX-86: <:: Kenetleşildi. ::>
[12:15:23	]C24:i3.XRAY-91 used command '/Radio KT-1 10-50. H-86 Kenetleşiyor'.
[12:15:23	][IC] C24:i4.HELIX-86: <:: Devriyeye hazır. ::>
[12:15:25	]Sinyor Gordon loaded the character 'Joe Rock'
[12:15:40	]Joe Rock is fully healed.
[12:15:53	]Joe Rock ran 'Assign' on item 'Daire Anahtarı' (#42483)
[12:15:58	][IC] C24:i4.HELIX-86: <:: W. ::>
[12:15:59	]Joe Rock ran 'Assign' on item 'Daire Anahtarı' (#42483)
[12:16:04	][IC] C24:i4.HELIX-86: <:: Şehir sakin. ::>
[12:16:04	]C24:i3.XRAY-91 used command '/Radio 10-76 PCS, 1-2-3'.
[12:16:09	]Joe Rock ran 'Assign' on item 'Daire Anahtarı' (#42483)
