[16:11:34	]dondurmaci822 has connected.
[16:20:36	]Melir Erlok has gained a 'Boş Paket Servis' #26171 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:40	]Melir Erlok has gained a 'Parçalanmış Çekmece' #26170 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:41	]Melir Erlok has gained a 'Bitki Saksısı' #26148 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:43	]Melir Erlok ran 'combine' on item 'Demir' (#26173)
[16:20:47	]Melir Erlok has gained a 'Boş Kavanoz' #26212 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:48	]Melir Erlok has gained a 'Boş Breen'in Suyu' #26209 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:50	]Melir Erlok has gained a 'Boş Süt Kartonu' #26137 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:52	]Melir Erlok has gained a 'Boş Viski Şişesi' #26215 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:52	]Melir Erlok closed the 'Large Metal Cabinet' #3359 container.
[16:21:02	]Melir Erlok has performed the 'Craft Parçala: Boş Plastik Sürahi' action, gaining 20 experience in crafting.
[16:21:08	]Melir Erlok has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[16:21:12	]Melir Erlok has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[16:21:16	]Melir Erlok has performed the 'Craft Parçala: Bitki Saksısı' action, gaining 40 experience in crafting.
[16:21:19	]Melir Erlok has performed the 'Craft Parçala: Boş Kahverengi Şişe' action, gaining 20 experience in crafting.
[16:21:25	]Melir Erlok has performed the 'Craft Parçala: Boş Süt Kartonu' action, gaining 25 experience in crafting.
[16:21:26	]Melir Erlok has gained a 'Bez Paçavralar' #26287.
[16:21:28	]Melir Erlok has performed the 'Craft Parçala: Boş Süt Kartonu' action, gaining 25 experience in crafting.
[16:21:30	]Melir Erlok has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:21:32	]Melir Erlok has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:21:35	]Melir Erlok has performed the 'Craft Parçala: Parçalanmış Çekmece' action, gaining 40 experience in crafting.
[16:21:35	]Melir Erlok has gained a 'Çivi Kutusu' #26288.
[16:21:35	]Melir Erlok has gained a 'Ahşap Tahta' #26289.
[16:21:37	]Scientist has connected.
[16:21:37	]Melir Erlok has performed the 'Craft Parçala: Boş Paket Servis' action, gaining 20 experience in crafting.
[16:21:42	]Melir Erlok has gained level 8 in the Zanaatkarlık skill.
[16:21:47	]Melir Erlok has gained level 4 in the Hız skill.
[16:23:44	]Melir Erlok opened the 'Large Metal Cabinet' #3359 container.
[16:23:57	]Melir Erlok has gained a 'Boş Viski Şişesi' #25982 from a container with the name 'Large Metal Cabinet' #3359.
[16:23:59	]Melir Erlok has gained a 'Boş Bob Suyu' #26149 from a container with the name 'Large Metal Cabinet' #3359.
[16:23:59	]Melir Erlok has gained a 'Boş Plastik Sürahi' #26177 from a container with the name 'Large Metal Cabinet' #3359.
[16:24:00	]Melir Erlok has gained a 'Boş Bob Suyu' #26159 from a container with the name 'Large Metal Cabinet' #3359.
[16:24:05	]Melir Erlok has gained a 'Boş Votka Şişesi' #26146 from a container with the name 'Large Metal Cabinet' #3359.
[16:24:05	]Melir Erlok has gained a 'Boş Votka Şişesi' #26189 from a container with the name 'Large Metal Cabinet' #3359.
[16:24:06	]Melir Erlok has gained a 'Boş Viski Şişesi' #26214 from a container with the name 'Large Metal Cabinet' #3359.
[16:24:10	]Melir Erlok has gained a 'Boş Şarap Şişesi' #25983 from a container with the name 'Large Metal Cabinet' #3359.
[16:24:15	]Melir Erlok closed the 'Large Metal Cabinet' #3359 container.
[16:25:32	]Scientist loaded the character 'C24:i3.UNION-66'
[16:25:37	]C24:i3.UNION-66 is fully healed.
[16:26:40	]C24:i3.UNION-66 ran 'EquipUn' on item 'Stunstick' (#26106)
[16:26:41	]C24:i3.UNION-66 ran 'EquipUn' on item 'MP5A3' (#26005)
[16:26:42	]C24:i3.UNION-66 ran 'EquipUn' on item 'Combine PDA' (#14523)
[16:26:43	]C24:i3.UNION-66 ran 'Equip' on item 'Stunstick' (#26106)
[16:26:45	]C24:i3.UNION-66 ran 'Equip' on item 'Combine PDA' (#14523)
[16:26:45	]C24:i3.UNION-66 ran 'Equip' on item 'MP5A3' (#26005)
[16:30:36	][IC] C24:i3.UNION-66: <:: Buralarda pek dolaşma. ::>
[16:30:38	][IC] C24:i3.UNION-66: <:: Güvenli değil. ::>
[16:32:00	]Melir Erlok used command '/ActSit 5'.
[16:32:08	]Melir Erlok has performed the 'Craft Parçala: Boş Plastik Sürahi' action, gaining 20 experience in crafting.
[16:32:11	]Melir Erlok has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:32:13	]Melir Erlok has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:32:15	]Melir Erlok has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:32:18	]Melir Erlok has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:32:18	]Melir Erlok has gained a 'Cam kırıkları' #26290.
[16:32:20	]Melir Erlok has performed the 'Craft Parçala: Boş Bob's Suyu' action, gaining 20 experience in crafting.
[16:32:22	]Melir Erlok has performed the 'Craft Parçala: Boş Bob's Suyu' action, gaining 20 experience in crafting.
[16:32:22	]Melir Erlok has gained a 'Plastik Çöp' #26291.
[16:32:24	]Melir Erlok has performed the 'Craft Parçala: Şarap Şişesi' action, gaining 20 experience in crafting.
[16:32:56	]Melir Erlok used command '/ExitAct'.
[16:34:38	]Melir Erlok has gained level 5 in the Hız skill.
[16:34:50	]C24:i3.UNION-66 used command '/ActSit 5'.
[16:34:51	]C24:i3.UNION-66 used command '/ExitAct'.
[16:35:00	]Melir Erlok has gained a 'Kırık Bilgisayar' #26292.
[16:35:24	]Melir Erlok has taken 1 damage from worldspawn.
[16:35:36	]Melir Erlok has gained a 'Karton Kutu' #26293.
[16:35:36	]Melir Erlok has gained a 'Bilgisayar Monitörü' #26294.
[16:36:00	]Melir Erlok has performed the 'Craft Parçala: Karton Kutu' action, gaining 30 experience in crafting.
[16:36:20	]C24:i3.UNION-66 opened the 'Trash Bin' #2829 container.
[16:36:24	]C24:i3.UNION-66 has gained a 'Boş Kavanoz' #24023 from a container with the name 'Trash Bin' #2829.
[16:36:25	]C24:i3.UNION-66 has gained a 'Boş Kavanoz' #25145 from a container with the name 'Trash Bin' #2829.
[16:36:27	]C24:i3.UNION-66 has gained a 'Boş Kavanoz' #25282 from a container with the name 'Trash Bin' #2829.
[16:36:28	]C24:i3.UNION-66 has gained a 'Boş Breen'in Suyu' #22530 from a container with the name 'Trash Bin' #2829.
[16:36:29	]Melir Erlok has gained a 'Boş Viski Şişesi' #26295.
[16:36:29	]Melir Erlok has gained a 'Metal Dişli' #26296.
[16:36:29	]C24:i3.UNION-66 has gained a 'Boş Kavanoz' #22529 from a container with the name 'Trash Bin' #2829.
[16:36:32	]C24:i3.UNION-66 has gained a 'Boş Breen'in Suyu' #24022 from a container with the name 'Trash Bin' #2829.
[16:36:33	]C24:i3.UNION-66 has gained a 'Boş Breen'in Suyu' #25144 from a container with the name 'Trash Bin' #2829.
[16:36:35	]C24:i3.UNION-66 closed the 'Trash Bin' #2829 container.
[16:37:03	]C24:i3.UNION-66 ran 'drop' on item 'Boş Kavanoz' (#24023)
[16:37:03	]C24:i3.UNION-66 has lost a 'Boş Kavanoz' #24023.
[16:37:05	]C24:i3.UNION-66 ran 'drop' on item 'Boş Kavanoz' (#25145)
[16:37:05	]C24:i3.UNION-66 has lost a 'Boş Kavanoz' #25145.
[16:37:08	]Melir Erlok has gained a 'Boş Kahve Fincanı' #26297.
[16:37:08	]Melir Erlok has gained a 'Parçalanmış Çekmece' #26298.
[16:37:08	]C24:i3.UNION-66 ran 'drop' on item 'Boş Kavanoz' (#25282)
[16:37:08	]C24:i3.UNION-66 has lost a 'Boş Kavanoz' #25282.
[16:37:11	]C24:i3.UNION-66 ran 'drop' on item 'Boş Kavanoz' (#22529)
[16:37:11	]C24:i3.UNION-66 has lost a 'Boş Kavanoz' #22529.
[16:37:13	]C24:i3.UNION-66 ran 'drop' on item 'Boş Breen'in Suyu' (#22530)
[16:37:13	]C24:i3.UNION-66 has lost a 'Boş Breen'in Suyu' #22530.
[16:37:16	]C24:i3.UNION-66 ran 'drop' on item 'Boş Breen'in Suyu' (#24022)
[16:37:16	]C24:i3.UNION-66 has lost a 'Boş Breen'in Suyu' #24022.
[16:37:20	]C24:i3.UNION-66 ran 'drop' on item 'Boş Breen'in Suyu' (#25144)
[16:37:20	]C24:i3.UNION-66 has lost a 'Boş Breen'in Suyu' #25144.
[16:37:22	]Melir Erlok has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:37:24	]Melir Erlok has performed the 'Craft Parçala: Parçalanmış Çekmece' action, gaining 40 experience in crafting.
[16:37:27	]Melir Erlok has performed the 'Craft Parçala: Boş Kahve Fincanı' action, gaining 20 experience in crafting.
[16:37:39	]Melir Erlok opened the 'Large Metal Cabinet' #3359 container.
[16:37:45	]Melir Erlok has transferred a 'Bilgisayar Monitörü' #26294 to a container with the name 'Large Metal Cabinet' #3359.
[16:37:47	]Melir Erlok has transferred a 'Kırık Bilgisayar' #26292 to a container with the name 'Large Metal Cabinet' #3359.
[16:37:50	]Melir Erlok has transferred a 'Metal Dişli' #26296 to a container with the name 'Large Metal Cabinet' #3359.
[16:37:54	]Melir Erlok has gained a 'Plastik Çöp' #26167 from a container with the name 'Large Metal Cabinet' #3359.
[16:37:58	]Melir Erlok ran 'combine' on item 'Çivi Kutusu' (#26192)
[16:38:08	]Melir Erlok closed the 'Large Metal Cabinet' #3359 container.
[16:38:59	]Melir Erlok used the 'Kaçakçı' smuggler.
[16:39:03	]Melir Erlok has gained 2 chips.
[16:39:03	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:03	]Melir Erlok has gained 2 chips.
[16:39:03	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:04	]Melir Erlok has gained 2 chips.
[16:39:04	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:05	]Melir Erlok has gained 2 chips.
[16:39:05	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:05	]Melir Erlok has gained 2 chips.
[16:39:05	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:06	]Melir Erlok has gained 2 chips.
[16:39:06	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:06	]Melir Erlok has gained 2 chips.
[16:39:06	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:06	]Melir Erlok has gained 2 chips.
[16:39:06	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:07	]Melir Erlok has gained 2 chips.
[16:39:07	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:07	]Melir Erlok has gained 2 chips.
[16:39:08	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:08	]Melir Erlok has gained 2 chips.
[16:39:08	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:08	]Melir Erlok has gained 2 chips.
[16:39:08	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:09	]Melir Erlok has gained 2 chips.
[16:39:09	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:09	]Melir Erlok has gained 2 chips.
[16:39:09	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:09	]Melir Erlok has gained 2 chips.
[16:39:09	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:10	]Melir Erlok has gained 2 chips.
[16:39:10	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:10	]Melir Erlok has gained 2 chips.
[16:39:10	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:39:13	]Melir Erlok has gained 2 chips.
[16:39:13	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:14	]Melir Erlok has gained 2 chips.
[16:39:14	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:14	]Melir Erlok has gained 2 chips.
[16:39:14	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:15	]Melir Erlok has gained 2 chips.
[16:39:15	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:15	]Melir Erlok has gained 2 chips.
[16:39:15	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:15	]Melir Erlok has gained 2 chips.
[16:39:15	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:16	]Melir Erlok has gained 2 chips.
[16:39:16	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:16	]Melir Erlok has gained 2 chips.
[16:39:16	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:16	]Melir Erlok has gained 2 chips.
[16:39:16	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:17	]Melir Erlok has gained 2 chips.
[16:39:17	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:17	]Melir Erlok has gained 2 chips.
[16:39:17	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:18	]Melir Erlok has gained 2 chips.
[16:39:18	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:18	]Melir Erlok has gained 2 chips.
[16:39:18	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:19	]Melir Erlok has gained 2 chips.
[16:39:19	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:19	]Melir Erlok has gained 2 chips.
[16:39:19	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:20	]Melir Erlok has gained 2 chips.
[16:39:20	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:21	]Melir Erlok has gained 2 chips.
[16:39:21	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:21	]Melir Erlok has gained 2 chips.
[16:39:21	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:22	]Melir Erlok has gained 2 chips.
[16:39:22	]Melir Erlok sold a 'comp_glass' to the 'Kaçakçı' smuggler.
[16:39:23	]Melir Erlok has gained 3 chips.
[16:39:23	]Melir Erlok sold a 'comp_cloth' to the 'Kaçakçı' smuggler.
[16:39:24	]Melir Erlok has gained 3 chips.
[16:39:24	]Melir Erlok sold a 'comp_cloth' to the 'Kaçakçı' smuggler.
[16:39:24	]Melir Erlok has gained 3 chips.
[16:39:24	]Melir Erlok sold a 'comp_cloth' to the 'Kaçakçı' smuggler.
[16:39:24	]Melir Erlok has gained 3 chips.
[16:39:24	]Melir Erlok sold a 'comp_cloth' to the 'Kaçakçı' smuggler.
[16:39:27	]Melir Erlok has gained 3 chips.
[16:39:27	]Melir Erlok sold a 'comp_wood' to the 'Kaçakçı' smuggler.
[16:39:27	]Melir Erlok has gained 3 chips.
[16:39:27	]Melir Erlok sold a 'comp_wood' to the 'Kaçakçı' smuggler.
[16:39:28	]Melir Erlok has gained 3 chips.
[16:39:28	]Melir Erlok sold a 'comp_wood' to the 'Kaçakçı' smuggler.
[16:39:28	]Melir Erlok has gained 3 chips.
[16:39:28	]Melir Erlok sold a 'comp_wood' to the 'Kaçakçı' smuggler.
[16:39:36	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:36	]Melir Erlok has lost 9 chips.
[16:39:37	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:37	]Melir Erlok has lost 9 chips.
[16:39:37	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:37	]Melir Erlok has lost 9 chips.
[16:39:38	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:38	]Melir Erlok has lost 9 chips.
[16:39:38	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:38	]Melir Erlok has lost 9 chips.
[16:39:38	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:38	]Melir Erlok has lost 9 chips.
[16:39:39	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:39	]Melir Erlok has lost 9 chips.
[16:39:39	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:39	]Melir Erlok has lost 9 chips.
[16:39:40	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:40	]Melir Erlok has lost 9 chips.
[16:39:40	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:39:40	]Melir Erlok has lost 9 chips.
[16:39:47	]Melir Erlok used the 'Kaçakçı' smuggler.
[16:39:53	]C24:i3.UNION-66 used command '/ActLean'.
[16:40:48	]C24:i3.UNION-66 used command '/ExitAct'.
[16:41:23	]Melir Erlok has gained a 'Plastik Kova' #26299.
[16:41:24	]Lynx has connected.
[16:41:37	]Melir Erlok opened the 'Large Metal Cabinet' #3359 container.
[16:41:39	]Melir Erlok has transferred a 'Plastik Kova' #26299 to a container with the name 'Large Metal Cabinet' #3359.
[16:41:59	]Melir Erlok closed the 'Large Metal Cabinet' #3359 container.
[16:43:06	][IC] C24:i3.UNION-66: <:: You expect me to believe that? ::>
[16:43:30	]Lynx loaded the character 'C24:i5.VICTOR-61'
[16:43:35	]C24:i5.VICTOR-61 is fully healed.
[16:43:38	]C24:i5.VICTOR-61 used command '/Radio 10-8'.
[16:44:19	]C24:i5.VICTOR-61 entered observer.
[16:44:26	]C24:i5.VICTOR-61 exited observer at their location.
[16:44:56	]C24:i5.VICTOR-61 entered observer.
[16:45:01	][IC] C24:i3.UNION-66: <:: Get out of here! ::>
[16:45:04	][IC] C24:i3.UNION-66: <:: Get out of here! ::>
[16:45:10	][IC] C24:i3.UNION-66: <:: Haha2. ::>
[16:46:02	]Melir Erlok opened the 'Large Metal Cabinet' #3359 container.
[16:46:08	]Melir Erlok closed the 'Large Metal Cabinet' #3359 container.
[16:46:24	]doctor sex has connected.
[16:47:41	]C24:i5.VICTOR-61 opened the 'Garaj Dolabı' #2155 container.
[16:47:43	]C24:i5.VICTOR-61 closed the 'Garaj Dolabı' #2155 container.
[16:47:44	]C24:i5.VICTOR-61 opened the 'Garaj Dolabı' #2154 container.
[16:47:47	]C24:i5.VICTOR-61 closed the 'Garaj Dolabı' #2154 container.
[16:47:47	]dondurmaci822 (STEAM_0:0:526338480) has disconnected.
[16:48:02	]C24:i5.VICTOR-61 exited observer at their location.
[16:48:57	]doctor sex loaded the character 'John Freeman'
[16:49:02	]John Freeman is fully healed.
[16:49:05	]John Freeman entered observer.
[16:49:13	]C24:i5.VICTOR-61 entered observer.
[16:49:15	]John Freeman exited observer.
[16:49:37	]John Freeman entered observer.
[16:50:24	]John Freeman exited observer.
[16:50:33	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[16:50:37	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[16:50:54	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[16:50:58	]John Freeman has transferred a 'Vida Kutusu' #25891 to a container with the name 'Medium File Cabinet' #2864.
[16:50:59	]John Freeman ran 'combine' on item 'Vida Kutusu' (#21100)
[16:51:01	]John Freeman ran 'combine' on item 'Cam kırıkları' (#24031)
[16:51:05	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[16:51:13	]John Freeman entered observer.
[16:51:16	]John Freeman exited observer.
[16:51:18	]John Freeman entered observer.
[16:51:19	]John Freeman exited observer.
[16:54:34	]John Freeman entered observer.
[16:55:07	]John Freeman exited observer.
[16:55:15	]John Freeman has fired a toolgun with the name: creator
[16:55:30	]C24:i5.VICTOR-61 has gone afk.
[16:55:38	]John Freeman has fired a toolgun with the name: creator
[16:55:48	]John Freeman has fired a toolgun with the name: creator
[16:55:48	]John Freeman has fired a toolgun with the name: creator
[16:55:48	]John Freeman has fired a toolgun with the name: creator
[16:55:49	]John Freeman has fired a toolgun with the name: creator
[16:55:49	]John Freeman has fired a toolgun with the name: creator
[16:55:49	]John Freeman has fired a toolgun with the name: creator
[16:55:49	]John Freeman has fired a toolgun with the name: creator
[16:55:49	]John Freeman has fired a toolgun with the name: creator
[16:55:53	]John Freeman entered observer.
[16:56:13	]Hoo Lee Fuk banditcamp.com has connected.
[16:56:26	]John Freeman exited observer.
[16:57:12	]Hoo Lee Fuk banditcamp.com loaded the character 'John Brookly'
[16:57:16	]John Brookly is fully healed.
[16:57:35	]John Brookly entered observer.
[16:57:40	]John Brookly exited observer.
[16:57:41	]John Brookly entered observer.
[16:57:42	]John Brookly exited observer.
[16:58:36	]John Brookly entered observer.
[16:58:36	]Goblin has connected.
[16:59:07	]John Brookly exited observer at their location.
[16:59:16	]John Brookly entered observer.
[16:59:17	]John Brookly exited observer at their location.
[16:59:21	]John Brookly has acquired his ration, gaining 0 credits, 50 wages and a priority_ration ration.
[16:59:34	]John Brookly ran 'take' on item 'Öncelikli Loyalist Rasyonu' (#26300)
[16:59:34	]John Brookly has gained a 'Öncelikli Loyalist Rasyonu' #26300.
[16:59:35	]John Brookly ran 'SetCredits' on item '#96468 Kimlik Kartı' (#15588)
[16:59:38	]John Brookly used the 'Kupon Makinesi' vendor.
[16:59:45	]Goblin loaded the character 'Charles Henry'
[16:59:59	]Charles Henry entered observer.
[17:00:02	]John Brookly ran 'Insert' on item 'Vending Machine Key' (#18425)
[17:00:46	]C24:i3.UNION-66 used command '/CharFallOver'.
[17:00:48	]C24:i3.UNION-66 used command '/CharFallOver'.
[17:00:50	]John Freeman entered observer.
[17:00:53	]C24:i3.UNION-66 used command '/CharGetUp'.
[17:01:00	]John Brookly ran 'Insert' on item 'Vending Machine Key' (#18425)
[17:01:11	]Scientist has unloaded their "C24:i3.UNION-66" character.
[17:01:16	]Scientist loaded the character 'C24:i3.UNION-66'
[17:01:22	]C24:i3.UNION-66 ran 'EquipUn' on item 'Stunstick' (#26106)
[17:01:23	]C24:i3.UNION-66 ran 'EquipUn' on item 'MP5A3' (#26005)
