[01:32:46	]Cheese has connected.
[01:58:29	]Theodore Abernathy used command '/ActLean 2'.
[01:58:34	]Theodore Abernathy used command '/PlaySoundGlobal npc/combine_soldier/vo/suspectisfunny.wav'.
[01:59:15	]Theodore Abernathy entered observer.
[01:59:17	]Theodore Abernathy exited observer at their location.
[01:59:24	]Theodore Abernathy used command '/gravityevent'.
[01:59:41	][IC] Alfred Bust: HELAL OLSUN AMINA KOYDUMUN.
[02:00:00	]Alfred Bust has taken 30 damage from worldspawn.
[02:00:43	]Enistein has unloaded their "Theodore Abernathy" character.
[02:00:49	]Enistein loaded the character 'S10:Disp:AI-1'
[02:00:54	]S10:Disp:AI-1 is fully healed.
[02:00:58	]S10:Disp:AI-1 used command '/Dispatch CONSPIRACY'.
[02:01:53	]S10:Disp:AI-1 used command '/Datafile Alfred Bust'.
[02:01:54	]Enistein has unloaded their "S10:Disp:AI-1" character.
[02:02:09	]Enistein loaded the character 'C24:i5.UNION-79'
[02:02:22	]C24:i5.UNION-79 has changed C24:i5.UNION-79's bodygroups.
[02:02:30	][IC] C24:i5.UNION-79: <:: Vatandaş. ::>
[02:02:41	][IC] C24:i5.UNION-79: <:: Buna inanmamı beklemiyorsun herhalde? ::>
[02:02:56	][IC] C24:i5.UNION-79: <:: Seni bir ortak olarak seçmek zorunda kaldım. ::>
[02:03:09	]C24:i5.UNION-79 entered observer.
[02:03:11	]C24:i5.UNION-79 exited observer at their location.
[02:03:14	]C24:i5.UNION-79 used command '/Doorkick'.
[02:03:18	]Alfred Bust used command '/CharFallOver'.
[02:03:26	]C24:i5.UNION-79 has gained level 17 in the Hız skill.
[02:04:06	][IC] C24:i5.UNION-79: <:: Karın benden nefret ediyor, öyle değil mi? ::>
[02:04:11	]Alfred Bust used command '/CharGetUp'.
[02:04:23	][IC] C24:i5.UNION-79: <:: Karın benden nefret ediyor, öyle değil mi? ::>
[02:04:38	]Enistein has unloaded their "C24:i5.UNION-79" character.
[02:04:42	]Enistein loaded the character 'S10/OWS.GHOST-81'
[02:04:45	]S10/OWS.GHOST-81 entered observer.
[02:04:46	]S10/OWS.GHOST-81 exited observer at their location.
[02:04:47	]S10/OWS.GHOST-81 entered observer.
[02:04:48	]S10/OWS.GHOST-81 exited observer at their location.
[02:04:52	]Alfred Bust entered observer.
[02:04:52	]Alfred Bust exited observer at their location.
[02:04:55	][IC] S10/OWS.GHOST-81: <:: He's kicking it. ::>
[02:05:00	][IC] S10/OWS.GHOST-81: <:: Overwatch says stop kicking it. ::>
[02:05:02	][IC] S10/OWS.GHOST-81: <:: He stopped kicking it. ::>
[02:05:13	][IC] S10/OWS.GHOST-81: <:: Tam aktif. ::>
[02:05:33	][IC] S10/OWS.GHOST-81: <:: GHOST. ::>
[02:05:39	][IC] S10/OWS.GHOST-81: <:: GHOST. ::>
[02:06:16	][IC] S10/OWS.GHOST-81: <:: GHOST. -;  eight. One. ::>
[02:07:31	]Enistein (STEAM_0:1:98500861) has disconnected.
[02:10:22	]Glunar has connected.
[02:10:44	][AltChecker] Glunar joined for the first time, generating new cookie.
[02:11:34	]Enistein has connected.
[02:12:18	]Enistein loaded the character 'Theodore Abernathy'
[02:13:29	]Alfred Bust has gone afk.
[02:20:09	]Alfred Bust is no longer afk. Total time spent AFK: 695
[02:20:21	]Alfred Bust entered observer.
[02:20:28	]Alfred Bust exited observer at their location.
[02:25:25	]Alfred Bust opened the 'Çöp Konteyneri' #6449 container.
[02:25:26	]Alfred Bust closed the 'Çöp Konteyneri' #6449 container.
[02:30:16	]Theodore Abernathy entered observer.
[02:31:38	]Theodore Abernathy exited observer at their location.
[02:31:39	]Theodore Abernathy entered observer.
[02:33:19	]Glunar created the character 'Nick White'
[02:33:19	]Glunar loaded the character 'Nick White'
[02:33:20	]Nick White has gained a 'Açık Gri Kol Bandı' #69442.
[02:33:20	]Nick White has gained a '#48860 Kimlik Kartı' #69443.
[02:33:20	]Nick White has gained a 'Sivil Tulum' #69444.
[02:33:20	]Nick White has gained a 'Tulum pantolonu.' #69445.
[02:33:20	]Nick White has gained a 'Kahverengi Deri Çizme' #69446.
[02:33:30	]Theodore Abernathy exited observer at their location.
[02:33:35	]Theodore Abernathy ran SAM command 'setrank' with arguments: 'nick' 'server_admin'
[02:33:39	]Theodore Abernathy entered observer.
[02:33:49	]Glunar has unloaded their "Nick White" character.
[02:33:55	]Glunar (STEAM_0:1:173730794) deleted character 'Nick White'
[02:33:59	]Cheese (STEAM_0:0:54092302) has disconnected (timed out).
[02:34:01	]Theodore Abernathy exited observer at their location.
[02:34:02	]Theodore Abernathy entered observer.
[02:34:11	]Theodore Abernathy exited observer at their location.
[02:34:13	]Theodore Abernathy entered observer.
[02:35:46	]Theodore Abernathy set charCreateInterval to '1'.
[02:37:18	]Glunar created the character 'Nick Durman'
[02:37:18	]Glunar loaded the character 'Nick Durman'
[02:37:18	]Nick Durman has gained a 'Açık Gri Kol Bandı' #69447.
[02:37:18	]Nick Durman has gained a '#51923 Kimlik Kartı' #69448.
[02:37:18	]Nick Durman has gained a 'Sivil Tulum' #69449.
[02:37:18	]Nick Durman has gained a 'Tulum pantolonu.' #69450.
[02:37:18	]Nick Durman has gained a 'Kahverengi Deri Çizme' #69451.
[02:37:29	]Theodore Abernathy exited observer at their location.
[02:37:32	]Theodore Abernathy entered observer.
[02:37:32	]Theodore Abernathy exited observer at their location.
[02:37:43	]Theodore Abernathy used command '/CharDesc'.
[02:38:22	]Theodore Abernathy has spawned a 'NPC [5106][npc_vj_hl2_combine_elit]'.
[02:38:22	]Theodore Abernathy has taken 10 damage from Combine Elite.
[02:38:22	]Theodore Abernathy has taken 10 damage from Combine Elite.
[02:38:23	]Theodore Abernathy has taken 10 damage from Combine Elite.
[02:38:23	]Theodore Abernathy has taken 10 damage from Combine Elite.
[02:38:39	]Enistein has unloaded their "Theodore Abernathy" character.
[02:38:43	]Enistein loaded the character 'S10/OWS.GHOST-81'
[02:38:45	]S10/OWS.GHOST-81 entered observer.
[02:38:49	]S10/OWS.GHOST-81 exited observer at their location.
[02:39:09	]S10/OWS.GHOST-81 has given himself a uniform_charger.
[02:39:09	]S10/OWS.GHOST-81 has gained a 'OTA Yıkıcı Üniforması' #69452.
[02:39:12	]S10/OWS.GHOST-81 ran 'drop' on item 'OTA Mask' (#51811)
[02:39:12	]S10/OWS.GHOST-81 has lost a 'OTA Mask' #51811.
[02:39:13	]S10/OWS.GHOST-81 ran 'drop' on item 'OTA Üniforması' (#51810)
[02:39:13	]S10/OWS.GHOST-81 has lost a 'OTA Üniforması' #51810.
[02:39:18	]S10/OWS.GHOST-81 ran 'take' on item 'OTA Mask' (#51811)
[02:39:18	]S10/OWS.GHOST-81 has gained a 'OTA Mask' #51811.
[02:39:21	]S10/OWS.GHOST-81 ran 'take' on item 'OTA Üniforması' (#51810)
[02:39:25	]S10/OWS.GHOST-81 has used a context menu option with the name: remove
[02:39:31	]S10/OWS.GHOST-81 ran SAM command 'scale' with arguments: '^' '1.2'
[02:41:27	]Nick Durman entered observer.
[02:41:28	]Nick Durman exited observer.
[02:41:30	]Nick Durman entered observer.
[02:41:30	]Nick Durman exited observer.
[02:42:31	]S10/OWS.GHOST-81 entered observer.
[02:42:31	]S10/OWS.GHOST-81 exited observer at their location.
[02:43:36	]Nick Durman has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[02:43:50	]Nick Durman ran 'Open' on item 'Rasyon' (#69453)
[02:43:50	]Nick Durman has gained a 'Yapay Macun' #69454.
[02:43:50	]Nick Durman has gained a 'Breen'in Suyu' #69455.
[02:43:50	]Nick Durman has gained a '15 Kredi Kuponu' #69456.
[02:45:06	]Nick Durman entered observer.
[02:45:06	]Nick Durman exited observer.
[02:45:09	]Nick Durman entered observer.
[02:45:11	]Nick Durman exited observer.
[02:46:15	]S10/OWS.GHOST-81 entered observer.
[02:46:21	]S10/OWS.GHOST-81 exited observer at their location.
[02:46:28	]S10/OWS.GHOST-81 entered observer.
[02:46:30	]S10/OWS.GHOST-81 exited observer at their location.
[02:46:35	]S10/OWS.GHOST-81 entered observer.
[02:46:36	]S10/OWS.GHOST-81 exited observer at their location.
[02:46:36	]S10/OWS.GHOST-81 entered observer.
[02:46:37	]S10/OWS.GHOST-81 exited observer at their location.
[02:46:41	]S10/OWS.GHOST-81 entered observer.
[02:46:48	]Nick Durman entered observer.
[02:46:48	]Nick Durman exited observer.
[02:46:49	]Nick Durman entered observer.
[02:46:50	]Nick Durman exited observer.
[02:47:02	]Nick Durman entered observer.
[02:47:17	]S10/OWS.GHOST-81 exited observer at their location.
[02:47:18	]S10/OWS.GHOST-81 entered observer.
[02:47:18	]S10/OWS.GHOST-81 exited observer at their location.
[02:47:19	]S10/OWS.GHOST-81 entered observer.
[02:47:20	]S10/OWS.GHOST-81 exited observer at their location.
[02:47:20	]S10/OWS.GHOST-81 entered observer.
[02:47:21	]S10/OWS.GHOST-81 exited observer at their location.
[02:47:21	]S10/OWS.GHOST-81 entered observer.
[02:47:22	]S10/OWS.GHOST-81 exited observer at their location.
[02:47:23	]Nick Durman exited observer at their location.
[02:47:50	]Nick Durman ran 'Use' on item '15 Kredi Kuponu' (#69456)
[02:47:53	]Nick Durman has used a coupon at a ration dispenser, gaining 15 credits.
[02:49:16	]S10/OWS.GHOST-81 rolled 12 out of 20 (+0 from Güç).
[02:49:16	]S10/OWS.GHOST-81 used command '/Roll strength'.
[02:49:21	]Nick Durman rolled 19 out of 20 (+5 from Güç).
[02:49:21	]Nick Durman used command '/Roll strength'.
[02:50:07	]S10/OWS.GHOST-81 entered observer.
[02:50:10	]S10/OWS.GHOST-81 exited observer at their location.
[02:50:15	]Nick Durman ran 'take' on item 'Çelik' (#69459)
[02:50:15	]Nick Durman has gained a 'Çelik' #69459.
[02:50:17	]Nick Durman ran 'take' on item 'Vida Kutusu' (#69458)
[02:50:17	]Nick Durman has gained a 'Vida Kutusu' #69458.
[02:50:20	]Nick Durman ran 'take' on item 'Bitki Saksısı' (#69457)
[02:50:20	]Nick Durman has gained a 'Bitki Saksısı' #69457.
[02:50:54	]Nick Durman destroyed a 'Boş Breen'in Suyu' #68457.
[02:51:38	]Nick Durman ran 'take' on item 'Boş Breen'in Suyu' (#69460)
[02:51:38	]Nick Durman has gained a 'Boş Breen'in Suyu' #69460.
[02:51:42	]Nick Durman ran 'drop' on item 'Boş Breen'in Suyu' (#69460)
[02:51:42	]Nick Durman has lost a 'Boş Breen'in Suyu' #69460.
[02:53:05	]Nick Durman entered observer.
[02:53:47	]Nick Durman exited observer at their location.
[02:53:48	]Nick Durman entered observer.
[02:53:48	]Nick Durman exited observer at their location.
[02:53:50	]Nick Durman entered observer.
[02:53:50	]Nick Durman exited observer at their location.
[02:54:04	]Nick Durman ran 'take' on item 'Kırık Klavye' (#69462)
[02:54:04	]Nick Durman has gained a 'Kırık Klavye' #69462.
[02:54:06	]Nick Durman ran 'take' on item 'Elektronik devreler' (#69463)
[02:54:06	]Nick Durman has gained a 'Elektronik devreler' #69463.
[02:54:08	]Nick Durman ran 'take' on item 'Demir' (#69464)
[02:54:08	]Nick Durman has gained a 'Demir' #69464.
[02:54:17	]Nick Durman ran 'drop' on item 'Demir' (#69464)
[02:54:17	]Nick Durman has lost a 'Demir' #69464.
[02:54:18	]Nick Durman ran 'take' on item 'Demir' (#69464)
[02:54:18	]Nick Durman has gained a 'Demir' #69464.
[02:55:08	]Nick Durman ran 'Write' on item 'Direnişe Katıl' (#69435)
[02:55:12	]Nick Durman ran 'Write' on item 'Direnişe Katıl' (#69435)
[02:55:16	]Nick Durman ran 'Write' on item 'Direnişe Katıl' (#69435)
[02:56:43	]S10/OWS.GHOST-81 has gone afk.
[02:58:50	]Nick Durman has gained a 'Boş Breen'in Suyu' #69465.
[02:59:04	]Nick Durman has gained a 'Küçük Karton Kutu' #69466.
[02:59:43	]Nick Durman has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[02:59:43	]Nick Durman has gained a 'Plastik Çöp' #69467.
[03:00:23	]S10/OWS.GHOST-81 is no longer afk. Total time spent AFK: 515
[03:00:27	]Nick Durman ran 'take' on item 'Kırık Klavye' (#69468)
[03:00:27	]Nick Durman has gained a 'Kırık Klavye' #69468.
[03:00:57	]Nick Durman has gained a 'Boş Şarap Şişesi' #69469.
[03:01:45	]Nick Durman entered observer.
[03:01:59	]Nick Durman exited observer at their location.
[03:02:02	]Nick Durman entered observer.
[03:02:04	]Nick Durman exited observer at their location.
[03:02:45	]Nick Durman entered observer.
[03:02:55	]Nick Durman exited observer at their location.
[03:04:13	]Nick Durman entered observer.
[03:04:28	]Nick Durman exited observer at their location.
[03:04:29	]Nick Durman entered observer.
[03:05:53	]S10/OWS.GHOST-81 has gone afk.
[03:06:10	]Nick Durman exited observer at their location.
[03:06:11	]Nick Durman entered observer.
[03:06:16	]Nick Durman exited observer at their location.
[03:06:30	]Nick Durman entered observer.
[03:06:30	]Nick Durman exited observer at their location.
[03:06:31	]Nick Durman entered observer.
[03:06:31	]Nick Durman exited observer at their location.
[03:06:35	]Nick Durman entered observer.
[03:06:35	]Nick Durman exited observer at their location.
[03:06:40	]Nick Durman entered observer.
[03:06:40	]Nick Durman exited observer at their location.
[03:06:48	]Nick Durman entered observer.
[03:06:50	]Nick Durman exited observer at their location.
[03:06:50	]Nick Durman entered observer.
[03:06:52	]Nick Durman exited observer at their location.
[03:06:52	]Nick Durman entered observer.
[03:06:53	]Nick Durman exited observer at their location.
[03:07:21	]S10/OWS.GHOST-81 is no longer afk. Total time spent AFK: 385
[03:07:21	]S10/OWS.GHOST-81 ran SAM command 'goto' with arguments: 'nick'
[03:09:58	]Nick Durman entered observer.
[03:09:59	]Nick Durman exited observer at their location.
[03:10:03	]Nick Durman entered observer.
[03:10:05	]Nick Durman exited observer at their location.
[03:11:28	]Nick Durman destroyed a 'Bitki Saksısı' #69470.
[03:11:29	]Nick Durman destroyed a 'Yapıştırıcı' #69472.
[03:12:19	]Nick Durman entered observer.
[03:12:43	]S10/OWS.GHOST-81 has gone afk.
[03:12:49	]Nick Durman exited observer at their location.
[03:12:57	]Nick Durman entered observer.
[03:12:58	]Nick Durman exited observer at their location.
[03:13:11	]Nick Durman ran 'take' on item 'Tıbbi Direnişçi Üniforması' (#65534)
[03:13:11	]Nick Durman has gained a 'Tıbbi Direnişçi Üniforması' #65534.
[03:13:18	]Nick Durman ran 'drop' on item 'Tıbbi Direnişçi Üniforması' (#65534)
[03:13:18	]Nick Durman has lost a 'Tıbbi Direnişçi Üniforması' #65534.
[03:13:41	]Nick Durman entered observer.
[03:13:47	]Nick Durman exited observer at their location.
[03:13:56	]Nick Durman entered observer.
[03:14:00	]Nick Durman exited observer at their location.
[03:14:00	]Nick Durman entered observer.
[03:14:01	]Nick Durman exited observer at their location.
[03:14:34	]Nick Durman entered observer.
[03:14:35	]Nick Durman exited observer at their location.
[03:14:36	]Nick Durman entered observer.
[03:14:38	]Nick Durman exited observer at their location.
[03:14:39	]Nick Durman entered observer.
[03:14:40	]Nick Durman exited observer at their location.
[03:14:41	]Nick Durman entered observer.
[03:14:44	]Nick Durman exited observer at their location.
[03:14:45	]Nick Durman entered observer.
[03:14:55	]Nick Durman exited observer at their location.
[03:14:56	]Nick Durman entered observer.
[03:14:56	]Nick Durman exited observer at their location.
[03:15:12	]Nick Durman entered observer.
[03:15:12	]Nick Durman exited observer at their location.
[03:15:30	]Nick Durman entered observer.
[03:15:31	]Nick Durman exited observer at their location.
[03:16:02	]Nick Durman has gained a 'Boş Votka Şişesi' #69473.
[03:16:40	]Nick Durman ran 'take' on item 'Boş Süt Kartonu' (#69474)
[03:16:40	]Nick Durman has gained a 'Boş Süt Kartonu' #69474.
[03:16:45	]Nick Durman ran 'take' on item 'Bez Paçavralar' (#69475)
[03:16:45	]Nick Durman has gained a 'Bez Paçavralar' #69475.
[03:17:23	]Nick Durman entered observer.
[03:17:26	]Nick Durman exited observer at their location.
[03:17:30	]Nick Durman entered observer.
[03:17:32	]Nick Durman exited observer at their location.
[03:17:34	]Nick Durman entered observer.
[03:17:35	]Nick Durman exited observer at their location.
[03:17:36	]Nick Durman entered observer.
[03:17:36	]Nick Durman exited observer at their location.
[03:18:10	]Nick Durman entered observer.
[03:18:25	]Nick Durman exited observer at their location.
[03:18:28	]Nick Durman entered observer.
[03:18:41	]Nick Durman exited observer at their location.
[03:18:41	]Nick Durman entered observer.
[03:18:41	]Nick Durman exited observer at their location.
[03:18:45	]S10/OWS.GHOST-81 is no longer afk. Total time spent AFK: 660
[03:18:45	]S10/OWS.GHOST-81 ran SAM command 'goto' with arguments: 'nick'
[03:18:45	]Nick Durman entered observer.
[03:18:45	]Nick Durman exited observer at their location.
[03:19:29	]Nick Durman entered observer.
[03:19:39	]Nick Durman exited observer at their location.
[03:19:40	]Nick Durman entered observer.
[03:19:40	]Nick Durman exited observer at their location.
[03:19:57	]Nick Durman ran 'take' on item 'Bez Paçavralar' (#69478)
[03:19:57	]Nick Durman has gained a 'Bez Paçavralar' #69478.
[03:20:00	]Nick Durman destroyed a 'Arıtıcı' #69479.
[03:20:08	]Nick Durman destroyed a 'Plastik Kova' #69477.
[03:20:20	]S10/OWS.GHOST-81 ran SAM command 'goto' with arguments: 'nick'
[03:20:25	][IC] S10/OWS.GHOST-81: <:: Nigga. ::>
[03:20:29	]S10/OWS.GHOST-81 ran 'combine' on item 'Pulse Rifle Enerjisi' (#58633)
[03:20:49	][IC] S10/OWS.GHOST-81: <:: Hostile is hesitating, hostile is hesitating, hostile is hesitating, hostile is hesitating! ::>
[03:21:19	][IC] Nick Durman: Strider!
[03:21:27	][IC] Nick Durman: Strider!
[03:21:34	]Enistein has unloaded their "S10/OWS.GHOST-81" character.
[03:21:39	][IC] Nick Durman: Strider!
[03:21:40	]Enistein loaded the character 'Maya Morgan'
[03:21:45	]Maya Morgan is fully healed.
[03:21:46	]Nick Durman destroyed a 'Arıtıcı' #69482.
[03:21:46	]Maya Morgan ran SAM command 'goto' with arguments: 'nick'
[03:21:46	]Nick Durman destroyed a 'Boş Plastik Sürahi' #69480.
[03:21:48	]Nick Durman ran 'take' on item 'Hurda Metal' (#69481)
[03:21:48	]Nick Durman has gained a 'Hurda Metal' #69481.
[03:21:50	][IC] Maya Morgan: Strider, evet, strider, evet!
[03:22:05	]Maya Morgan used command '/CharDesc'.
[03:22:11	][IC] Nick Durman: Naber dostum.
[03:22:14	][IC] Maya Morgan: İyi dost, sen.
[03:22:18	][IC] Nick Durman: Combine bitirmeliiyiz.
[03:22:22	][IC] Maya Morgan: Aynen kanka.
[03:22:28	][IC] Nick Durman: Fakat çok güçlüler.
[03:22:31	][IC] Nick Durman: Orospu çocukları.
[03:22:34	][IC] Maya Morgan: Strider, aaaaaaaah, evet, strider, aaaaaaaah!
[03:22:42	][IC] Nick Durman: Cheese.
[03:22:46	][IC] Nick Durman: Dream about cheese.
[03:22:49	][IC] Nick Durman: Peynir.
[03:22:51	][IC] Maya Morgan: Kokusunu alıyor musun? Bu özgürlük!
[03:23:09	][IC] Maya Morgan: Kendi zehrinin tadı nasılmış?
[03:23:15	][IC] Maya Morgan: Arkanda!
[03:23:20	]Enistein has unloaded their "Maya Morgan" character.
[03:23:27	]Enistein loaded the character 'Norgaun'
[03:23:29	]Norgaun entered observer.
[03:23:32	]Norgaun is fully healed.
[03:23:34	]Norgaun exited observer at their location.
[03:23:37	][IC] Norgaun: Sustenance!
[03:23:42	][IC] Norgaun: My brain is injured!
[03:23:46	][IC] Norgaun: I have a brain injury.
[03:23:55	][IC] Norgaun: Shaaaaa!
[03:24:07	][IC] Nick Durman: Benden tavsiye, kendine sakla.
[03:24:15	][IC] Nick Durman: Bu Combine piçleri pes etmiyor!
[03:24:17	][IC] Nick Durman: Bu Combine piçleri pes etmiyor!
[03:24:19	][IC] Nick Durman: Bu Combine piçleri pes etmiyor!
[03:24:23	][IC] Nick Durman: Bu Combine piçleri pes etmiyor!
[03:24:24	][IC] Nick Durman: Bu Combine piçleri pes etmiyor!
[03:24:26	][IC] Norgaun: A human is needed!
[03:24:27	]Cheese has connected.
[03:24:34	][IC] Norgaun: We have endured these chafing bonds for eons, yet a single moment of further servitude seems intolerable!
[03:24:52	][IC] Norgaun: Sustenance!
[03:25:58	][IC] Norgaun: Turr, lung gurr chalachurr gunn, gong lurr..
[03:26:13	][IC] Norgaun: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[03:26:57	][IC] Norgaun: Excellent!
[03:27:17	]Norgaun entered observer.
[03:27:17	]Norgaun exited observer at their location.
[03:27:31	][IC] Nick Durman: Bundan sonra bir portalı gördüğümde direkt içine atlıyorum. Her yer buradan daha iyi olmalı.
[03:27:31	][IC] Norgaun: Expect ever-greater resistance as we proceed.
[03:27:33	][IC] Nick Durman: Bundan sonra bir portalı gördüğümde direkt içine atlıyorum. Her yer buradan daha iyi olmalı.
[03:27:37	]Cheese created the character 'Sarah Goodwell'
[03:27:37	]Sarah Goodwell has gained a 'Açık Gri Kol Bandı' #69483.
[03:27:37	]Sarah Goodwell has gained a '#54988 Kimlik Kartı' #69484.
[03:27:37	]Sarah Goodwell has gained a 'Sivil Tulum' #69485.
[03:27:37	]Sarah Goodwell has gained a 'Gri tulum pantolonu' #69486.
[03:27:37	]Sarah Goodwell has gained a 'Kahverengi Deri Çizme' #69487.
[03:27:37	]Cheese loaded the character 'Sarah Goodwell'
[03:27:43	]Enistein has unloaded their "Norgaun" character.
[03:27:44	][IC] Nick Durman: Tanrım... Vort'ları hiç bu kadar sinirli görmemiştim!
[03:27:46	]Enistein loaded the character 'Theodore Abernathy'
[03:27:50	]Theodore Abernathy ran SAM command 'goto' with arguments: 'nick'
[03:27:54	][IC] Nick Durman: Tanrım... Vort'ları hiç bu kadar sinirli görmemiştim!
[03:27:56	][IC] Theodore Abernathy: Bundan sonra bir portalı gördüğümde direkt içine atlıyorum. Her yer buradan daha iyi olmalı.
[03:28:07	][IC] Theodore Abernathy: Bütün bunlar bittiğinde, çocuk yapacağım.
[03:28:15	][IC] Theodore Abernathy: Bütün bunlar bittiğinde, çocuk yapacağım.
[03:28:16	][IC] Theodore Abernathy: Bütün bunlar bittiğinde, çocuk yapacağım.
[03:28:17	][IC] Theodore Abernathy: Bütün bunlar bittiğinde, çocuk yapacağım.
[03:28:20	][IC] Nick Durman: Türkçe konuş!
[03:28:25	]Sarah Goodwell entered observer.
[03:28:30	][IC] Theodore Abernathy: Türkçe konuş!
[03:28:40	][IC] Nick Durman: Sana çeneni kapatmanı bile söylemeyeceğim!
[03:28:41	]Sarah Goodwell exited observer at their location.
[03:28:44	][IC] Theodore Abernathy: Geri çekil! Patlayacak!
[03:28:50	][ME] Theodore Abernathy: cums
[03:28:50	]Sarah Goodwell entered observer.
[03:28:55	]Sarah Goodwell exited observer at their location.
[03:28:56	]Sarah Goodwell entered observer.
[03:29:22	][IC] Theodore Abernathy: Hissediyor musun? Ben hissediyorum!
[03:29:26	][IC] Nick Durman: Bunu çok yüksek sesle söylemeyeceğim...
[03:29:38	][IC] Nick Durman: Vort'lar seni çağırıyor!
