[12:32:58	]bquits has connected.
[12:38:34	]Sıçmaya gidip geliyom has spawned a 'Entity [1570][ix_basiccontainer]'.
[12:38:36	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:36	]Sıçmaya gidip geliyom has spawned a 'Entity [1571][ix_basiccontainer]'.
[12:38:39	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:39	]Sıçmaya gidip geliyom has spawned a 'Entity [1572][ix_basiccontainer]'.
[12:38:42	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:42	]Sıçmaya gidip geliyom has spawned a 'Entity [1572][ix_basiccontainer]'.
[12:38:43	]Sıçmaya gidip geliyom exited observer at their location.
[12:38:45	]Sıçmaya gidip geliyom entered observer.
[12:38:48	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:48	]Sıçmaya gidip geliyom has spawned a 'Entity [1573][ix_basiccontainer]'.
[12:38:50	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:50	]Sıçmaya gidip geliyom has spawned a 'Entity [1573][ix_basiccontainer]'.
[12:38:58	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:58	]Sıçmaya gidip geliyom has spawned a 'Entity [1574][ix_trashspawner]'.
[12:39:06	]Sıçmaya gidip geliyom has used a context menu option with the name: remove
[12:39:13	]Sıçmaya gidip geliyom has spawned 'models/props_c17/Lockers001a.mdl'.
[12:39:16	]Sıçmaya gidip geliyom created a stash (models/props_c17/lockers001a.mdl).
[12:39:16	]Sıçmaya gidip geliyom has used a context menu option with the name: ixcreatestash
[12:39:24	]Sıçmaya gidip geliyom used command '/TextAdd Kişisel Depo'.
[12:40:58	]Sıçmaya gidip geliyom ran 'Write' on item 'Kıymetli Arkadaşlarım,' (#67228)
[12:41:00	]Sıçmaya gidip geliyom ran 'Write' on item 'Kıymetli Arkadaşlarım,' (#67228)
[12:41:10	]Sıçmaya gidip geliyom has enabled persistence for 'models/willardnetworks/citizens/male_03.mdl'.
[12:41:10	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:41:23	]Sıçmaya gidip geliyom has spawned a kitknife.
[12:41:38	]Sıçmaya gidip geliyom has spawned a flare.
[12:41:41	]Sıçmaya gidip geliyom has used a context menu option with the name: remove
[12:42:41	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:42:41	]Sıçmaya gidip geliyom has spawned a 'Entity [1212][ix_trashspawner]'.
[12:42:52	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:42:52	]Sıçmaya gidip geliyom has spawned a 'Entity [1212][ix_basiccontainer]'.
[12:42:59	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:42:59	]Sıçmaya gidip geliyom has spawned a 'Entity [1584][ix_basiccontainer]'.
[12:43:03	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:43:03	]Sıçmaya gidip geliyom has spawned a 'Entity [1585][ix_basiccontainer]'.
[12:43:23	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:43:23	]Sıçmaya gidip geliyom has spawned a 'Entity [1586][ix_militarycontainer]'.
[12:43:35	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:43:35	]Sıçmaya gidip geliyom has spawned a 'Entity [1587][ix_advancedcontainer]'.
[12:43:38	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:43:38	]Sıçmaya gidip geliyom has spawned a 'Entity [1587][ix_advancedcontainer]'.
[12:43:40	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:43:40	]Sıçmaya gidip geliyom has spawned a 'Entity [1588][ix_advancedcontainer]'.
[12:43:51	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:43:51	]Sıçmaya gidip geliyom has spawned a 'Entity [1587][ix_basiccontainer]'.
[12:44:03	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:03	]Sıçmaya gidip geliyom has spawned a 'Entity [1589][ix_basiccontainer]'.
[12:44:10	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:10	]Sıçmaya gidip geliyom has spawned a 'Entity [1602][ix_basiccontainer]'.
[12:44:12	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:12	]Sıçmaya gidip geliyom has spawned a 'Entity [1616][ix_basiccontainer]'.
[12:44:14	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:14	]Sıçmaya gidip geliyom has spawned a 'Entity [1617][ix_basiccontainer]'.
[12:44:21	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:21	]Sıçmaya gidip geliyom has spawned a 'Entity [1618][ix_advancedcontainer]'.
[12:44:29	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:29	]Sıçmaya gidip geliyom has spawned a 'Entity [1619][ix_advancedcontainer]'.
[12:44:33	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:33	]Sıçmaya gidip geliyom has spawned a 'Entity [1620][ix_advancedcontainer]'.
[12:44:37	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:37	]Sıçmaya gidip geliyom has spawned a 'Entity [1621][ix_advancedcontainer]'.
[12:44:40	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:40	]Sıçmaya gidip geliyom has spawned a 'Entity [1621][ix_advancedcontainer]'.
[12:44:46	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:46	]Sıçmaya gidip geliyom has spawned a 'Entity [1627][ix_infestationcontainer]'.
[12:44:51	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:44:51	]Sıçmaya gidip geliyom has spawned a 'Entity [1628][ix_infestationcontainer]'.
[12:45:00	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xen/xen_foam_anchor01.mdl'.
[12:45:09	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xen/xen_foam_anchor01.mdl'.
[12:45:09	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:45:11	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xen/xen_foam_base001.mdl'.
[12:45:13	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xen/xen_foam_base001.mdl'.
[12:45:13	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:45:16	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster002.mdl'.
[12:45:23	]Sıçmaya gidip geliyom has used a context menu option with the name: remove
[12:45:29	]Sıçmaya gidip geliyom has used a context menu option with the name: rb655_dissolve
[12:45:30	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[12:45:37	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[12:45:37	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:45:39	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor008.mdl'.
[12:45:57	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_strand_anchor008.mdl'.
[12:45:57	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:45:58	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[12:46:03	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[12:46:03	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:46:05	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_leaking_fluid_hardened_cluster_1.mdl'.
[12:46:11	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_leaking_fluid_hardened_cluster_1.mdl'.
[12:46:11	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:46:13	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[12:46:17	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[12:46:17	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:46:19	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor001.mdl'.
[12:46:30	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_strand_anchor001.mdl'.
[12:46:30	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:46:31	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_blob_corner_small_blob002.mdl'.
[12:46:32	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_blower002.mdl'.
[12:46:39	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_blower002.mdl'.
[12:46:39	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:46:42	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[12:46:43	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_wallpod001.mdl'.
[12:46:47	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_wallpod001.mdl'.
[12:46:47	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:46:49	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_small_mold_cluster_1.mdl'.
[12:46:59	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_villi_prong.mdl'.
[12:47:01	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_villi_medium.mdl'.
[12:47:13	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_neck_piece.mdl'.
[12:47:18	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_neck_piece.mdl'.
[12:47:18	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:47:24	]Sıçmaya gidip geliyom has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[12:47:31	]Sıçmaya gidip geliyom has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[12:47:31	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:47:55	]Sıçmaya gidip geliyom has added static text: Burada bir enfeksiyon başlangıcı olduğunu görüyorsun.
[12:47:55	]Sıçmaya gidip geliyom used command '/SceneText Burada bir enfeksiyon başlangıcı olduğunu görüyorsun.'.
[12:48:23	]Sıçmaya gidip geliyom used command '/AreaEdit'.
[12:48:55	]Sıçmaya gidip geliyom has added area "İnşaat Bölgesi - Otel Odası".
[12:49:05	]Sıçmaya gidip geliyom has used a context menu option with the name: remove
[12:49:16	]Sıçmaya gidip geliyom has spawned 'models/willardnetworks/citizens/male_03.mdl'.
[12:49:18	]Sıçmaya gidip geliyom has spawned 'models/willardnetworks/citizens/male_05.mdl'.
[12:49:23	]Sıçmaya gidip geliyom has spawned 'models/willardnetworks/citizens/male_10.mdl'.
[12:49:29	]Sıçmaya gidip geliyom has fired a toolgun with the name: rb655_easy_bodygroup
[12:50:02	]Sıçmaya gidip geliyom has used a context menu option with the name: rb655_make_animatable
[12:50:56	]Sıçmaya gidip geliyom has enabled persistence for 'models/willardnetworks/citizens/male_10.mdl'.
[12:50:56	]Sıçmaya gidip geliyom has used a context menu option with the name: persist
[12:51:56	]Sıçmaya gidip geliyom has spawned a improved_red.
[12:52:01	]Sıçmaya gidip geliyom has spawned a makeshift_bandage.
[12:52:10	]Sıçmaya gidip geliyom has given himself a handheld_radio.
[12:52:10	]Sıçmaya gidip geliyom has gained a 'El Telsizi' #67360.
[12:52:13	]Sıçmaya gidip geliyom ran 'drop' on item 'El Telsizi' (#67360)
[12:52:13	]Sıçmaya gidip geliyom has lost a 'El Telsizi' #67360.
[12:52:44	]Sıçmaya gidip geliyom has spawned a comp_electronics.
[12:52:54	]Sıçmaya gidip geliyom has spawned a flashlight.
[12:53:15	]Sıçmaya gidip geliyom has spawned a paper.
[12:53:16	]Sıçmaya gidip geliyom ran 'take' on item 'Kağıt' (#67363)
[12:53:16	]Sıçmaya gidip geliyom has gained a 'Kağıt' #67363.
[12:55:43	]Sıçmaya gidip geliyom has added static text: Yerde oturan adamın enfeksiyon nedeniyle gaz maskesinin kırık olduğunu görüyorsun.
[12:55:43	]Sıçmaya gidip geliyom used command '/AdminSceneText Yerde oturan adamın enfeksiyon nedeniyle gaz maskesinin kırık olduğunu görüyorsun.'.
[12:56:06	]Bquits used command '/CharSetName ^ Bquits'.
[12:56:16	]Bquits has removed static text: table: 0xab991e32
[12:56:16	]Bquits used command '/SceneTextRemove'.
[12:56:17	]Bquits has added static text: Yerde oturan adamın enfeksiyon nedeniyle gaz maskesinin kırık olduğunu görüyorsun.
[12:56:17	]Bquits used command '/AdminSceneText Yerde oturan adamın enfeksiyon nedeniyle gaz maskesinin kırık olduğunu görüyorsun.'.
[12:56:20	]Bquits has removed static text: table: 0xaafbee7a
[12:56:20	]Bquits used command '/SceneTextRemove'.
[12:56:28	]Bquits has added static text: Yerde oturan adamın enfeksiyon nedeniyle gaz maskesinin kırık olduğunu görüyorsun.
[12:56:28	]Bquits used command '/AdminSceneText Yerde oturan adamın enfeksiyon nedeniyle gaz maskesinin kırık olduğunu görüyorsun.'.
[12:59:06	]Bquits ran 'Write' on item 'Kağıt' (#67363)
[13:01:33	]Bquits ran 'drop' on item 'Jackson Ridgeback...' (#67363)
[13:01:33	]Bquits has lost a 'Jackson Ridgeback...' #67363.
[13:01:40	]Bquits has used a context menu option with the name: rb655_door_lock
[13:01:42	]Bquits has used a context menu option with the name: rb655_door_lock
[13:01:53	]Bquits has added static text: Kapıyı maymuncuk yardımıyla açabilirsin gibi...
[13:01:53	]Bquits used command '/AdminSceneText Kapıyı maymuncuk yardımıyla açabilirsin gibi...'.
[13:02:54	][INFESTATION] Bquits (STEAM_0:0:142449284)  has entered Infestation Edit Mode.
[13:02:54	]Bquits used command '/InfestationEdit'.
[13:04:01	][INFESTATION] Bquits (STEAM_0:0:142449284)  has entered Infestation Edit Mode.
[13:04:01	]Bquits used command '/InfestationEdit'.
[13:04:08	][INFESTATION] Bquits (STEAM_0:0:142449284) has exited Infestation Edit Mode.
[13:04:10	][INFESTATION] Bquits (STEAM_0:0:142449284)  has entered Infestation Edit Mode.
[13:04:10	]Bquits used command '/InfestationEdit'.
[13:04:28	]Bquits has used a context menu option with the name: remove
[13:04:30	]Bquits has used a context menu option with the name: remove
[13:04:31	]Bquits has used a context menu option with the name: remove
[13:04:32	]Bquits has used a context menu option with the name: remove
[13:04:33	]Bquits has used a context menu option with the name: remove
[13:04:35	]Bquits has used a context menu option with the name: remove
[13:04:36	]Bquits has used a context menu option with the name: remove
[13:04:37	]Bquits has used a context menu option with the name: remove
[13:04:38	]Bquits has used a context menu option with the name: remove
[13:04:39	]Bquits has used a context menu option with the name: remove
[13:04:46	]Bquits has removed static text: table: 0xa89caff2
[13:04:46	]Bquits used command '/SceneTextRemove'.
[13:04:49	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[13:04:54	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_wallpod001b.mdl'.
[13:04:56	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[13:05:13	]Bquits has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_wallpod001b.mdl'.
[13:05:13	]Bquits has used a context menu option with the name: persist
[13:05:20	]Bquits has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[13:05:20	]Bquits has used a context menu option with the name: persist
[13:05:21	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[13:05:29	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small005.mdl'.
[13:05:30	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small004.mdl'.
[13:05:43	]Bquits has spawned 'models/jq/hlvr/props/infestation/p1/plant1c.mdl'.
[13:05:44	]Bquits has spawned 'models/jq/hlvr/props/infestation/p1/boomerplant_exploded.mdl'.
[13:05:51	]Bquits has enabled persistence for 'models/jq/hlvr/props/infestation/p1/boomerplant_exploded.mdl'.
[13:05:51	]Bquits has used a context menu option with the name: persist
[13:05:53	]Bquits has used a context menu option with the name: remove
[13:05:55	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[13:05:58	]Bquits has enabled persistence for 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[13:05:58	]Bquits has used a context menu option with the name: persist
[13:06:01	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor004.mdl'.
[13:06:09	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_small_mold_cluster_1.mdl'.
[13:06:10	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_pod_structure002_burst.mdl'.
[13:06:11	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_pod_structure001.mdl'.
[13:06:20	]Bquits has spawned 'models/jq/hlvr/props/infestation/p1/boomerplant_01.mdl'.
[13:06:25	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[13:06:32	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor006.mdl'.
[13:06:33	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor005.mdl'.
[13:06:36	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster003.mdl'.
[13:06:46	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster002.mdl'.
[13:06:47	]Bquits has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster003.mdl'.
[13:08:15	][INFESTATION] Bquits (STEAM_0:0:142449284) created a new erebus-Class "Tehlikeli Xen Bölgesi" Infestation Zone.
[13:08:24	]Bquits has used a context menu option with the name: remove
[13:08:31	][INFESTATION] Bquits (STEAM_0:0:142449284) has exited Infestation Edit Mode.
[13:09:20	]Bquits has given himself a applicator.
[13:09:23	]Bquits has given himself a ic_hose.
[13:09:52	]Bquits has given himself a ic_tank.
[13:09:53	]Bquits has spawned a ic_tank.
[13:10:04	]bquits loaded the character 'bquits'
[13:10:05	]bquits entered observer.
[13:10:11	]bquits used command '/AreaEdit'.
[13:10:24	]bquits has used a context menu option with the name: remove
[13:10:31	]bquits ran 'take' on item 'tankItemName' (#67364)
[13:10:36	]bquits ran 'drop' on item 'CMRU Lock' (#67168)
[13:10:36	]bquits has lost a 'CMRU Lock' #67168.
[13:10:37	]bquits ran 'drop' on item 'DOB Lock' (#67176)
[13:10:37	]bquits has lost a 'DOB Lock' #67176.
[13:10:38	]bquits has used a context menu option with the name: remove
[13:10:39	]bquits has used a context menu option with the name: remove
[13:10:47	]bquits ran 'take' on item 'tankItemName' (#67364)
[13:10:51	]bquits ran 'drop' on item 'Identity Card Creation Device' (#67067)
[13:10:51	]bquits has lost a 'Identity Card Creation Device' #67067.
[13:10:53	]bquits has used a context menu option with the name: remove
[13:10:57	]bquits ran 'take' on item 'tankItemName' (#67364)
[13:11:00	]bquits ran 'drop' on item '#94873 Kimlik Kartı' (#67068)
[13:11:00	]bquits has lost a '#94873 Kimlik Kartı' #67068.
[13:11:00	]bquits ran 'drop' on item 'Büyük Çanta' (#67065)
[13:11:00	]bquits has lost a 'Büyük Çanta' #67065.
[13:11:01	]bquits ran 'drop' on item 'Küçük Çanta' (#67064)
[13:11:01	]bquits has lost a 'Küçük Çanta' #67064.
[13:11:04	]bquits has used a context menu option with the name: remove
[13:11:05	]bquits has used a context menu option with the name: remove
[13:11:06	]bquits has used a context menu option with the name: remove
[13:11:09	]bquits ran 'take' on item 'tankItemName' (#67364)
[13:11:09	]bquits has gained a 'tankItemName' #67364.
[13:11:11	]bquits exited observer at their location.
[13:11:14	]bquits ran 'drop' on item 'tankItemName' (#67364)
[13:11:16	]bquits entered observer.
[13:11:52	]bquits has added static text: Enfekte Kontrol Varili, Bozulmuş'a benziyor...
[13:11:52	]bquits used command '/AdminSceneText Enfekte Kontrol Varili, Bozulmuş'a benziyor...'.
[13:11:57	]bquits has fired a toolgun with the name: glow
[13:12:02	]bquits has fired a toolgun with the name: tesla
[13:12:05	]bquits has fired a toolgun with the name: sparks
[13:12:07	]bquits has fired a toolgun with the name: sparks
[13:12:11	]bquits has fired a toolgun with the name: steam
[13:12:13	]bquits has fired a toolgun with the name: sparks
[13:12:17	]bquits has fired a toolgun with the name: sparks
[13:12:25	]bquits has removed static text: table: 0xabcafe2a
[13:12:25	]bquits used command '/SceneTextRemove'.
[13:12:32	]bquits has given himself a ic_hose.
[13:12:32	]bquits has gained a 'hoseItemName' #67365.
[13:12:36	]bquits ran 'Attach' on item 'hoseItemName' (#67365)
[13:12:53	]bquits has spawned a applicator.
[13:12:54	]bquits ran 'take' on item 'applicatorItemName' (#67366)
[13:12:54	]bquits has gained a 'applicatorItemName' #67366.
