[14:34:58	]Chadatürk has connected.
[14:45:16	]Furkan Dağlı used command '/PM STEAM_0:1:431564914 yemek aldığımız yer'.
[14:45:46	]Furkan Dağlı used command '/PM STEAM_0:1:431564914 sende sivil koruma yok mu'.
[14:45:57	]John Carpenter used command '/PM Furkan yok ilk defa girdim sunucuya'.
[14:46:06	]Furkan Dağlı used command '/PM STEAM_0:1:431564914 ben birisiyle karıştırdım seni.'.
[14:46:32	]John Carpenter used command '/PM Furkan nabıcaz burda'.
[14:46:51	]Furkan Dağlı used command '/PM STEAM_0:1:431564914 şuan kimse yok rp yapmamız zor'.
[14:47:03	]Furkan Dağlı used command '/PM STEAM_0:1:431564914 git etrafı keşfet istersen'.
[14:47:07	]John Carpenter used command '/PM Furkan eyw'.
[14:48:50	][IC] Furkan Dağlı: Ne.
[14:49:03	][IC] Furkan Dağlı: He.
[14:49:16	][IC] Furkan Dağlı: Konuşmuyorum.
[14:49:31	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[14:49:33	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[14:50:52	]John Carpenter used command '/ExitAct'.
[14:54:26	][LOOC] John Carpenter: güzel rp serveri biliyonmu
[14:54:37	][LOOC] Furkan Dağlı: ben sadece burda oynuyorum
[14:54:44	][LOOC] Furkan Dağlı: diğerlerini sevmiyorum ya
[14:55:04	][LOOC] John Carpenter: tm ben kaçıyom burası kalabalık olunca gelirim
[14:55:06	]Rudeboy (STEAM_0:1:431564914) has disconnected.
[14:55:34	]Furkan Dağlı used command '/ActSitChair'.
[15:03:06	]Furkan Dağlı has gone afk.
[15:04:54	]Furkan Dağlı used command '/ExitAct'.
[15:04:56	]Furkan Dağlı is no longer afk. Total time spent AFK: 405
[15:04:59	]Barış has connected.
[15:05:38	]Barış loaded the character 'C24:RCT.YELLO-36'
[15:06:08	]Furkan Dağlı has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[15:06:08	][IC] Furkan Dağlı: Şükür.
[15:06:20	]Furkan Dağlı ran 'take' on item 'Rasyon' (#167316)
[15:06:21	]Furkan Dağlı ran 'Open' on item 'Rasyon' (#167316)
[15:06:22	]Furkan Dağlı ran 'take' on item 'Yapay Macun' (#167317)
[15:06:23	]Furkan Dağlı ran 'Consume' on item 'Yapay Macun' (#167317)
[15:06:25	]Furkan Dağlı ran 'take' on item 'Breen Suyu' (#167318)
[15:06:27	]Furkan Dağlı ran 'Consume' on item 'Breen Suyu' (#167318)
[15:06:27	]Furkan Dağlı has wasted a level -2 long boost in Zeka (current: -2; target: 0).
[15:06:27	]Furkan Dağlı has updated their Algı long boost target to -1 (current : 1).
[15:06:45	][IC] Furkan Dağlı: Sizden Çöp toplama görevi alabilir miyim.
[15:06:50	][IC] C24:RCT.YELLO-36: <:: Al. ::>
[15:06:53	]C24:RCT.YELLO-36 is fully healed.
[15:06:57	][IC] C24:RCT.YELLO-36: <:: Git topla. ::>
[15:07:59	]Furkan Dağlı opened the 'Çöp Konteyneri' #10954 container.
[15:08:02	]Furkan Dağlı closed the 'Çöp Konteyneri' #10954 container.
[15:08:15	][IC] Furkan Dağlı: Çöpleri nereye koyayım.
[15:08:31	][IC] C24:RCT.YELLO-36: <:: Çöpe. ::>
[15:08:34	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[15:08:37	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[15:08:43	]Furkan Dağlı opened the 'Çöp Konteyneri' #10261 container.
[15:08:45	]Furkan Dağlı has transferred a 'Boş Süt Kartonu' #167158 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:45	]Furkan Dağlı has transferred a 'Boş Kavanoz' #167305 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:45	]Furkan Dağlı has transferred a 'Plastik Kova' #167264 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:46	]Furkan Dağlı has transferred a 'Boş Votka Şişesi' #167160 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:46	]Furkan Dağlı has transferred a 'Boş Plastik Sürahi' #167159 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:46	]Furkan Dağlı has transferred a 'Kırık Biyokilit' #167266 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:47	]Furkan Dağlı has transferred a 'Boş Viski Şişesi' #167265 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:47	]Furkan Dağlı has transferred a 'Boş Benzin Bidonu' #167255 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:47	]Furkan Dağlı has transferred a 'Kırık Klavye' #167239 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:48	]Furkan Dağlı has transferred a 'Dayanıksız Metal Boru' #167119 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:48	]Furkan Dağlı has transferred a 'Boş Bob Suyu' #167263 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:48	]Furkan Dağlı has transferred a 'Boş Breen'in Suyu' #167306 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:48	]Furkan Dağlı has transferred a 'Kova' #167267 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:49	]Furkan Dağlı has gained a 'Kova' #167267 from a container with the name 'Çöp Konteyneri' #10261.
[15:08:50	]Furkan Dağlı has transferred a 'Kova' #167267 to a container with the name 'Çöp Konteyneri' #10261.
[15:08:51	]Furkan Dağlı closed the 'Çöp Konteyneri' #10261 container.
[15:08:56	][IC] Furkan Dağlı: Hepsini koydum.
[15:09:06	][IC] C24:RCT.YELLO-36: <:: Bitti mi? ::>
[15:09:12	][IC] Furkan Dağlı: Bitti gidip bakabilirsin.
[15:09:18	][IC] C24:RCT.YELLO-36: <:: Doğrula. ::>
[15:09:20	]Furkan Dağlı used command '/ID'.
[15:09:23	]C24:RCT.YELLO-36 used command '/Datafile Furkan dağl'.
[15:09:34	][IC] C24:RCT.YELLO-36: <:: Sosyal kredin arttı. ::>
[15:09:38	][IC] Furkan Dağlı: Tamam.
[15:10:05	]Barış has unloaded their "C24:RCT.YELLO-36" character.
[15:10:08	]Barış loaded the character 'C24:i5.(X)KING-19'
[15:10:13	]C24:i5.(X)KING-19 is fully healed.
[15:10:16	]Barış has unloaded their "C24:i5.(X)KING-19" character.
[15:10:19	]Barış loaded the character 'C24:RCT.YELLO-36'
[15:11:27	]C24:RCT.YELLO-36 has taken 1 damage from worldspawn.
[15:12:32	][IC] Furkan Dağlı: Şey sırt çantası nerden bulabilirim.
[15:12:42	][IC] C24:RCT.YELLO-36: <:: Satıcılar var veya kendin yap. ::>
[15:12:48	][IC] Furkan Dağlı: Tamam.
[15:13:13	]Barış has unloaded their "C24:RCT.YELLO-36" character.
[15:13:16	]Barış loaded the character 'C24:RCT.YELLO-36'
[15:13:33	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[15:13:36	]Furkan Dağlı has gained a 'Boş Boya Kutusu' #167252 from a container with the name 'Çöp Kutusu' #10952.
[15:13:38	]Furkan Dağlı has gained a 'Boş Süt Kartonu' #167250 from a container with the name 'Çöp Kutusu' #10952.
[15:13:39	]Furkan Dağlı has gained a 'Boş Plastik Sürahi' #167236 from a container with the name 'Çöp Kutusu' #10952.
[15:13:42	]Furkan Dağlı has gained a 'Eski Lastik' #167242 from a container with the name 'Çöp Kutusu' #10952.
[15:13:45	]Furkan Dağlı has gained a 'Boş Breen'in Suyu' #167269 from a container with the name 'Çöp Kutusu' #10952.
[15:13:46	]Furkan Dağlı has gained a 'Kırık Lamba' #167237 from a container with the name 'Çöp Kutusu' #10952.
[15:13:47	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[15:13:50	]Furkan Dağlı has gained level 32 in the Hız skill.
[15:13:53	]Furkan Dağlı opened the 'Çöp Konteyneri' #10261 container.
[15:14:00	]Furkan Dağlı has gained a 'Plastik Kova' #167264 from a container with the name 'Çöp Konteyneri' #10261.
[15:14:03	]Furkan Dağlı has transferred a 'Plastik Kova' #167264 to a container with the name 'Çöp Konteyneri' #10261.
[15:14:08	]Furkan Dağlı has gained a 'Boş Benzin Bidonu' #167255 from a container with the name 'Çöp Konteyneri' #10261.
[15:14:12	]Furkan Dağlı closed the 'Çöp Konteyneri' #10261 container.
[15:14:50	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:14:53	]Furkan Dağlı has gained a 'Bez Paçavralar' #165720 from a container with the name 'Buzdolabı' #10442.
[15:14:56	]Furkan Dağlı has gained a 'Güçlü Yapıştırıcı' #50613 from a container with the name 'Buzdolabı' #10442.
[15:14:59	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:15:19	]Furkan Dağlı has performed the 'Craft Parçala: Boş Plastik Sürahi' action, gaining 20 experience in crafting.
[15:15:19	]Furkan Dağlı has gained a 'Plastik Çöp' #167325.
[15:15:48	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:15:52	]Furkan Dağlı has transferred a 'Eski Lastik' #167242 to a container with the name 'Buzdolabı' #10442.
[15:15:53	]Furkan Dağlı has gained a 'Mutfak Bıçağı' #163713 from a container with the name 'Buzdolabı' #10442.
[15:15:54	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:16:26	]Furkan Dağlı has performed the 'Craft Parçala: Boş Boya Kutusu' action, gaining 50 experience in crafting.
[15:16:28	]Furkan Dağlı has performed the 'Craft Parçala: Boş Süt Kartonu' action, gaining 25 experience in crafting.
[15:16:31	]Furkan Dağlı has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[15:17:10	]C24:RCT.YELLO-36 used command '/Doorkick'.
[15:17:29	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:17:35	]Furkan Dağlı has transferred a 'Mutfak Bıçağı' #163713 to a container with the name 'Buzdolabı' #10442.
[15:17:36	]Furkan Dağlı has transferred a 'Güçlü Yapıştırıcı' #50613 to a container with the name 'Buzdolabı' #10442.
[15:17:37	]Furkan Dağlı has gained a 'Yapıştırıcı' #159698 from a container with the name 'Buzdolabı' #10442.
[15:17:45	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:17:52	]Barış has unloaded their "C24:RCT.YELLO-36" character.
[15:17:53	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:17:57	]Barış loaded the character 'S10/OWS.FLASH-15'
[15:17:58	]Furkan Dağlı has gained a 'Hurda Metal' #166656 from a container with the name 'Buzdolabı' #10442.
[15:17:59	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:18:02	]S10/OWS.FLASH-15 is fully healed.
[15:18:35	][IC] S10/OWS.FLASH-15: <:: Birim yaklaşıyor. ::>
[15:18:43	][IC] S10/OWS.FLASH-15: <:: Dikkatli olun, görüş hattını bildirin. ::>
[15:18:54	][IC] S10/OWS.FLASH-15: <:: Stooop! ::>
[15:19:00	][IC] S10/OWS.FLASH-15: <:: Stooop! ::>
[15:19:04	][IC] S10/OWS.FLASH-15: <:: Hands up, don't move! ::>
[15:19:14	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:19:15	]Furkan Dağlı has transferred a 'Hurda Metal' #166656 to a container with the name 'Buzdolabı' #10442.
[15:19:16	]Furkan Dağlı has transferred a 'Yapıştırıcı' #159698 to a container with the name 'Buzdolabı' #10442.
[15:19:16	]Furkan Dağlı has transferred a 'Plastik Çöp' #167325 to a container with the name 'Buzdolabı' #10442.
[15:19:17	][IC] S10/OWS.FLASH-15: <:: Put your hands up! ::>
[15:19:18	]Furkan Dağlı has transferred a 'Bez Paçavralar' #165720 to a container with the name 'Buzdolabı' #10442.
[15:19:18	]Furkan Dağlı has transferred a 'Boş Benzin Bidonu' #167255 to a container with the name 'Buzdolabı' #10442.
[15:19:20	][IC] S10/OWS.FLASH-15: <:: Get those hands up! ::>
[15:19:20	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:19:24	][IC] S10/OWS.FLASH-15: <:: Put your hands up! ::>
[15:19:38	][IC] S10/OWS.FLASH-15: <:: Keep 'em up! ::>
[15:19:53	][IC] S10/OWS.FLASH-15: <:: Biodat critical... Expiration on, four, three, two-. ::>
[15:20:08	][IC] S10/OWS.FLASH-15: <:: Gah... Biodat critical... Expiration on four... Thr-. ::>
[15:20:22	][IC] S10/OWS.FLASH-15: <:: Overwatch, Ordinal is condition sundown - acknowledge! ::>
[15:20:36	][IC] S10/OWS.FLASH-15: <:: **Screaming**. ::>
[15:20:53	][IC] S10/OWS.FLASH-15: <:: Parasitics! ::>
[15:21:01	][IC] S10/OWS.FLASH-15: <:: Necrotic. ::>
[15:21:07	][IC] S10/OWS.FLASH-15: <:: Contact, necrotics! ::>
[15:21:08	]Furkan Dağlı opened the 'Çöp Konteyneri' #10437 container.
[15:21:10	]Furkan Dağlı closed the 'Çöp Konteyneri' #10437 container.
[15:21:12	]Furkan Dağlı opened the 'Gecekondu Kişisel Depo' stash.
[15:21:12	][IC] S10/OWS.FLASH-15: <:: Waiting for contact. ::>
[15:21:17	][IC] S10/OWS.FLASH-15: <:: ION. ::>
[15:21:19	]Furkan Dağlı closed the 'Gecekondu Kişisel Depo' stash.
[15:21:28	][IC] S10/OWS.FLASH-15: <:: Distribute. ::>
[15:21:38	][IC] S10/OWS.FLASH-15: <:: I'm hit, requesting stimdose. ::>
[15:21:40	][IC] S10/OWS.FLASH-15: <:: Taking damage. ::>
[15:21:42	][IC] S10/OWS.FLASH-15: <:: Requesting additional bodypacks. ::>
[15:21:44	][IC] S10/OWS.FLASH-15: <:: Bodypacks holding. ::>
[15:21:46	][IC] S10/OWS.FLASH-15: <:: INJURED5. ::>
[15:21:55	][IC] S10/OWS.FLASH-15: <:: Ugh! Red leak on bodypack... Assist... Assist, egh! ::>
[15:21:59	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[15:21:59	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[15:22:00	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[15:22:00	][IC] S10/OWS.FLASH-15: <:: Ugh! Red leak on bodypack... Assist... Assist, gah, ugh! ::>
[15:22:02	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[15:22:05	][IC] S10/OWS.FLASH-15: <:: RED LEAK ON BODYPACK3. ::>
[15:22:14	][IC] S10/OWS.FLASH-15: <:: Agh! Red leak on bodypack! ::>
[15:22:17	][IC] S10/OWS.FLASH-15: <:: Agh! Red leak on bodypack! ::>
[15:22:29	][IC] S10/OWS.FLASH-15: <:: Still holding. ::>
[15:22:45	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:22:47	]Furkan Dağlı has transferred a '9mm Pistol Bullets' #42816 to a container with the name 'Buzdolabı' #10442.
[15:22:47	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #40657 to a container with the name 'Buzdolabı' #10442.
[15:22:48	]Furkan Dağlı has transferred a 'Boş Benzin Bidonu' #40659 to a container with the name 'Buzdolabı' #10442.
[15:22:48	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #40656 to a container with the name 'Buzdolabı' #10442.
[15:22:49	]Furkan Dağlı has transferred a 'Vida Kutusu' #40651 to a container with the name 'Buzdolabı' #10442.
[15:22:49	]Furkan Dağlı has transferred a 'Plastik Çöp' #40650 to a container with the name 'Buzdolabı' #10442.
[15:22:50	]Furkan Dağlı has transferred a 'Boş Şarap Şişesi' #40649 to a container with the name 'Buzdolabı' #10442.
[15:22:50	]Furkan Dağlı has transferred a 'Kova' #40654 to a container with the name 'Buzdolabı' #10442.
[15:22:50	]Furkan Dağlı has transferred a 'Not Defteri' #41174 to a container with the name 'Buzdolabı' #10442.
[15:22:51	]Furkan Dağlı has transferred a 'Boş Paket Servis' #40652 to a container with the name 'Buzdolabı' #10442.
[15:22:51	]Furkan Dağlı has gained a 'Not Defteri' #41174 from a container with the name 'Buzdolabı' #10442.
[15:22:52	][IC] S10/OWS.FLASH-15: <:: UNIFORM. ::>
[15:22:53	]Furkan Dağlı ran 'drop' on item 'Bilgisayar Parçaları' (#40656)
[15:22:56	]Furkan Dağlı has gained a 'Araba Aküsü' #166722 from a container with the name 'Buzdolabı' #10442.
[15:22:56	]Furkan Dağlı has gained a 'Boş Benzin Bidonu' #40659 from a container with the name 'Buzdolabı' #10442.
[15:22:57	]Furkan Dağlı has gained a 'Vida Kutusu' #40651 from a container with the name 'Buzdolabı' #10442.
[15:22:57	]Furkan Dağlı has gained a 'Vida Kutusu' #166490 from a container with the name 'Buzdolabı' #10442.
[15:22:57	]Furkan Dağlı has gained a 'Çivi Kutusu' #166478 from a container with the name 'Buzdolabı' #10442.
[15:23:02	]Furkan Dağlı has gained a 'Plastik Levhalar' #166466 from a container with the name 'Buzdolabı' #10442.
[15:23:04	]Furkan Dağlı has transferred a 'Plastik Levhalar' #166466 to a container with the name 'Buzdolabı' #10442.
[15:23:06	]Furkan Dağlı has gained a 'Plastik Çöp' #166693 from a container with the name 'Buzdolabı' #10442.
[15:23:07	][IC] S10/OWS.FLASH-15: <:: Dispersance scan. ::>
[15:23:08	]Furkan Dağlı has transferred a 'Plastik Çöp' #166693 to a container with the name 'Buzdolabı' #10442.
[15:23:09	]Furkan Dağlı has gained a 'Plastik Çöp' #166693 from a container with the name 'Buzdolabı' #10442.
[15:23:11	]Furkan Dağlı has gained a 'Eski Lastik' #167242 from a container with the name 'Buzdolabı' #10442.
[15:23:14	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #166710 from a container with the name 'Buzdolabı' #10442.
[15:23:14	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #166650 from a container with the name 'Buzdolabı' #10442.
[15:23:15	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #166676 from a container with the name 'Buzdolabı' #10442.
[15:23:17	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:23:18	][IC] S10/OWS.FLASH-15: <:: Still scanning. ::>
[15:23:20	]Furkan Dağlı ran 'take' on item 'Bilgisayar Parçaları' (#40656)
[15:23:20	]Furkan Dağlı has gained a 'Bilgisayar Parçaları' #40656.
[15:23:34	][IC] S10/OWS.FLASH-15: <:: Holy shi-! ::>
[15:23:45	][IC] S10/OWS.FLASH-15: <:: You, move. ::>
[15:23:46	][IC] S10/OWS.FLASH-15: <:: You, move! ::>
[15:23:50	][IC] S10/OWS.FLASH-15: <:: Move! ::>
[15:23:52	][Y] S10/OWS.FLASH-15: <:: Move! ::>
[15:24:01	][IC] S10/OWS.FLASH-15: <:: Move along. ::>
[15:24:03	][IC] S10/OWS.FLASH-15: <:: Move along. ::>
[15:24:06	][IC] S10/OWS.FLASH-15: <:: Move along. ::>
[15:24:06	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:24:08	]Furkan Dağlı has transferred a 'Eski Lastik' #167242 to a container with the name 'Buzdolabı' #10442.
[15:24:08	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #166650 to a container with the name 'Buzdolabı' #10442.
[15:24:08	][IC] S10/OWS.FLASH-15: <:: Move in, move in! ::>
[15:24:08	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #166710 to a container with the name 'Buzdolabı' #10442.
[15:24:09	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #40656 to a container with the name 'Buzdolabı' #10442.
[15:24:09	]Furkan Dağlı has transferred a 'Bilgisayar Parçaları' #166676 to a container with the name 'Buzdolabı' #10442.
[15:24:09	]Furkan Dağlı has transferred a 'Plastik Çöp' #166693 to a container with the name 'Buzdolabı' #10442.
[15:24:10	]Furkan Dağlı has transferred a 'Çivi Kutusu' #166478 to a container with the name 'Buzdolabı' #10442.
[15:24:10	]Furkan Dağlı has transferred a 'Vida Kutusu' #166490 to a container with the name 'Buzdolabı' #10442.
[15:24:10	]Furkan Dağlı has transferred a 'Vida Kutusu' #40651 to a container with the name 'Buzdolabı' #10442.
[15:24:12	]Furkan Dağlı has gained a 'Kova' #40654 from a container with the name 'Buzdolabı' #10442.
[15:24:13	]Furkan Dağlı has transferred a 'Araba Aküsü' #166722 to a container with the name 'Buzdolabı' #10442.
[15:24:13	][IC] S10/OWS.FLASH-15: <:: Move in, move in! ::>
[15:24:14	]Furkan Dağlı has transferred a 'Boş Viski Şişesi' #40653 to a container with the name 'Buzdolabı' #10442.
[15:24:15	]Furkan Dağlı has gained a 'Çivi Kutusu' #166478 from a container with the name 'Buzdolabı' #10442.
[15:24:16	]Furkan Dağlı has gained a 'Boş Paket Servis' #40652 from a container with the name 'Buzdolabı' #10442.
[15:24:18	]Furkan Dağlı has gained a 'Plastik Çöp' #166694 from a container with the name 'Buzdolabı' #10442.
[15:24:20	][IC] S10/OWS.FLASH-15: <:: Area clean, move in. ::>
[15:24:21	]Furkan Dağlı has gained a 'Boş Viski Şişesi' #40653 from a container with the name 'Buzdolabı' #10442.
[15:24:21	]Furkan Dağlı has gained a 'Boş Şarap Şişesi' #40649 from a container with the name 'Buzdolabı' #10442.
[15:24:26	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:24:29	][IC] S10/OWS.FLASH-15: <:: Extractor down. ::>
[15:24:38	]Furkan Dağlı opened the 'Buzdolabı' #10442 container.
[15:24:40	]Furkan Dağlı has transferred a 'Kırık Lamba' #167237 to a container with the name 'Buzdolabı' #10442.
[15:24:40	]Furkan Dağlı has transferred a 'Boş Paket Servis' #40652 to a container with the name 'Buzdolabı' #10442.
[15:24:40	]Furkan Dağlı has transferred a 'Çivi Kutusu' #166478 to a container with the name 'Buzdolabı' #10442.
[15:24:40	]Furkan Dağlı has transferred a 'Boş Viski Şişesi' #40653 to a container with the name 'Buzdolabı' #10442.
[15:24:41	][IC] S10/OWS.FLASH-15: <:: Eyes still active. ::>
[15:24:41	]Furkan Dağlı has transferred a 'Plastik Çöp' #166694 to a container with the name 'Buzdolabı' #10442.
[15:24:41	]Furkan Dağlı has transferred a 'Kova' #40654 to a container with the name 'Buzdolabı' #10442.
[15:24:42	]Furkan Dağlı ran 'drop' on item 'Boş Şarap Şişesi' (#40649)
[15:24:42	]Furkan Dağlı has lost a 'Boş Şarap Şişesi' #40649.
[15:24:45	]Furkan Dağlı closed the 'Buzdolabı' #10442 container.
[15:24:47	][IC] S10/OWS.FLASH-15: <:: Repair or extraction needed. ::>
[15:25:00	][IC] S10/OWS.FLASH-15: <:: Ordinal is engaged and firing. ::>
[15:25:12	][IC] S10/OWS.FLASH-15: <:: You can come out now! ::>
[15:25:20	][IC] S10/OWS.FLASH-15: <:: You, keep it moving. ::>
[15:25:26	][IC] S10/OWS.FLASH-15: <:: You can come out now! ::>
[15:25:27	]Furkan Dağlı ran 'take' on item '15 Kredi Kuponu' (#167259)
[15:25:27	]Furkan Dağlı has gained a '15 Kredi Kuponu' #167259.
[15:25:29	]Furkan Dağlı ran 'Use' on item '15 Kredi Kuponu' (#167319)
[15:25:32	]Furkan Dağlı ran 'Use' on item '15 Kredi Kuponu' (#167319)
[15:25:33	]Furkan Dağlı ran 'take' on item '15 Kredi Kuponu' (#167319)
[15:25:33	]Furkan Dağlı has gained a '15 Kredi Kuponu' #167319.
[15:25:36	]Furkan Dağlı ran 'Use' on item '15 Kredi Kuponu' (#167259)
[15:25:37	]Furkan Dağlı ran 'Use' on item '15 Kredi Kuponu' (#167319)
[15:25:38	]Furkan Dağlı has used a coupon at a ration dispenser, gaining 15 credits.
[15:25:39	]Furkan Dağlı ran 'Use' on item '15 Kredi Kuponu' (#167319)
[15:25:40	]Furkan Dağlı ran 'Use' on item '15 Kredi Kuponu' (#167319)
[15:25:42	]Furkan Dağlı ran 'Use' on item '15 Kredi Kuponu' (#167319)
[15:25:45	]Furkan Dağlı has used a coupon at a ration dispenser, gaining 15 credits.
[15:25:56	][IC] S10/OWS.FLASH-15: <:: Alpha. ::>
[15:26:04	]Furkan Dağlı opened the 'Çöp Kutusu' #10263 container.
[15:26:04	]Furkan Dağlı closed the 'Çöp Kutusu' #10263 container.
[15:26:04	][IC] S10/OWS.FLASH-15: <:: Copy, accepted. Updating cognitive suppression biodats. Update complete in T-Minus three seconds. Dissonance resolved. ::>
[15:26:21	][IC] S10/OWS.FLASH-15: <:: Friendly confirmed, cease fire! ::>
[15:27:00	][IC] S10/OWS.FLASH-15: <:: COWALL,. ::>
[15:27:01	][IC] S10/OWS.FLASH-15: <:: Co-wall. ::>
[15:27:10	][IC] S10/OWS.FLASH-15: <:: Daggers effective, code zero-niner! ::>
[15:27:16	]Furkan Dağlı ran 'take' on item 'Daire Anahtarı' (#43531)
[15:27:16	]Furkan Dağlı has gained a 'Daire Anahtarı' #43531.
[15:27:18	][IC] S10/OWS.FLASH-15: <:: Copy that, forming condition Alpha. ::>
