[16:46:00	]Balkaptan has connected.
[18:14:00	]C24:i5.TAP-54 ran 'combine' on item 'Ammunition Pouch' (#164528)
[18:14:44	]C24:i5.TAP-54 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[18:14:57	]C24:i5.TAP-54 ran 'take' on item 'Sivil Koruma Rasyonu' (#166902)
[18:14:57	]C24:i5.TAP-54 has gained a 'Sivil Koruma Rasyonu' #166902.
[18:15:16	]C24:i5.TAP-54 used the 'Sivil Koruma Tedarikçisi' vendor.
[18:15:19	]C24:i5.TAP-54 has gained 0 chips.
[18:15:19	]C24:i5.TAP-54 has gained a 'Bandaj Rulosu' #166903.
[18:15:20	]C24:i5.TAP-54 has gained 0 chips.
[18:15:20	]C24:i5.TAP-54 has gained a 'Bandaj Rulosu' #166904.
[18:15:20	]C24:i5.TAP-54 has gained 0 chips.
[18:15:20	]C24:i5.TAP-54 has gained a 'Bandaj Rulosu' #166905.
[18:15:21	]C24:i5.TAP-54 has gained 0 chips.
[18:15:21	]C24:i5.TAP-54 has gained a 'Bandaj Rulosu' #166906.
[18:15:26	]C24:i5.TAP-54 has gained 0 chips.
[18:15:26	]C24:i5.TAP-54 has gained a '9mm Pistol Bullets' #166907.
[18:15:26	]C24:i5.TAP-54 has gained 0 chips.
[18:15:26	]C24:i5.TAP-54 has gained a '9mm Pistol Bullets' #166908.
[18:15:28	]C24:i5.TAP-54 has gained 0 chips.
[18:15:28	]C24:i5.TAP-54 has gained a '9mm Pistol Bullets' #166909.
[18:15:30	]C24:i5.TAP-54 has gained 0 chips.
[18:15:30	]C24:i5.TAP-54 has gained a '9mm Pistol Bullets' #166910.
[18:15:31	]C24:i5.TAP-54 has gained 0 chips.
[18:15:31	]C24:i5.TAP-54 has gained a '9mm Pistol Bullets' #166911.
[18:15:36	]C24:i5.TAP-54 has gained 0 chips.
[18:15:36	]C24:i5.TAP-54 has gained a 'Ağrı Kesici' #166912.
[18:15:37	]C24:i5.TAP-54 has gained 0 chips.
[18:15:37	]C24:i5.TAP-54 has gained 0 chips.
[18:15:38	]C24:i5.TAP-54 has gained 0 chips.
[18:15:42	]C24:i5.TAP-54 ran 'combine' on item 'Bandaj Rulosu' (#164512)
[18:15:45	]C24:i5.TAP-54 ran 'combine' on item 'Ammunition Pouch' (#164528)
[18:15:46	]C24:i5.TAP-54 ran 'combine' on item 'Ammunition Pouch' (#164528)
[18:15:46	]C24:i5.TAP-54 ran 'combine' on item 'Ammunition Pouch' (#164528)
[18:15:47	]C24:i5.TAP-54 ran 'combine' on item 'Ammunition Pouch' (#164528)
[18:15:48	]C24:i5.TAP-54 ran 'combine' on item 'Ammunition Pouch' (#164528)
[18:15:51	]C24:i5.TAP-54 ran 'combine' on item 'Bandaj Rulosu' (#166905)
[18:15:52	]C24:i5.TAP-54 ran 'drop' on item 'Bandaj Rulosu' (#166903)
[18:15:52	]C24:i5.TAP-54 has lost a 'Bandaj Rulosu' #166903.
[18:15:53	]C24:i5.TAP-54 ran 'drop' on item 'Bandaj Rulosu' (#166904)
[18:15:53	]C24:i5.TAP-54 has lost a 'Bandaj Rulosu' #166904.
[18:15:54	]C24:i5.TAP-54 ran 'combine' on item 'Ağrı Kesici' (#166841)
[18:15:58	]C24:i5.TAP-54 ran 'drop' on item 'Boş CID Kartı' (#157232)
[18:15:58	]C24:i5.TAP-54 has lost a 'Boş CID Kartı' #157232.
[18:15:59	]C24:i5.TAP-54 ran 'Use' on item 'Çuval' (#165365)
[18:16:00	]C24:i5.TAP-54 ran 'drop' on item 'Çuval' (#165365)
[18:16:00	]C24:i5.TAP-54 has lost a 'Çuval' #165365.
[18:16:01	]C24:i5.TAP-54 ran 'drop' on item 'Çuval' (#157246)
[18:16:01	]C24:i5.TAP-54 has lost a 'Çuval' #157246.
[18:16:02	]C24:i5.TAP-54 ran 'drop' on item 'Çuval' (#157242)
[18:16:02	]C24:i5.TAP-54 has lost a 'Çuval' #157242.
[18:16:02	]C24:i5.TAP-54 ran 'drop' on item 'Çuval' (#157243)
[18:16:02	]C24:i5.TAP-54 has lost a 'Çuval' #157243.
[18:16:04	]C24:i5.TAP-54 ran 'drop' on item 'Boş CID Kartı' (#157230)
[18:16:04	]C24:i5.TAP-54 has lost a 'Boş CID Kartı' #157230.
[18:16:05	]C24:i5.TAP-54 ran 'drop' on item 'Boş CID Kartı' (#157231)
[18:16:05	]C24:i5.TAP-54 has lost a 'Boş CID Kartı' #157231.
[18:16:16	]C24:i5.TAP-54 ran 'take' on item 'Bandaj Rulosu' (#166903)
[18:16:16	]C24:i5.TAP-54 has gained a 'Bandaj Rulosu' #166903.
[18:16:17	]C24:i5.TAP-54 ran 'take' on item 'Bandaj Rulosu' (#166904)
[18:16:17	]C24:i5.TAP-54 has gained a 'Bandaj Rulosu' #166904.
[18:16:20	]C24:i5.TAP-54 destroyed a 'Çuval' #157243.
[18:16:23	]C24:i5.TAP-54 destroyed a 'Çuval' #157242.
[18:16:24	]C24:i5.TAP-54 destroyed a 'Çuval' #157246.
[18:16:25	]C24:i5.TAP-54 destroyed a 'Çuval' #165365.
[18:16:29	]C24:i5.TAP-54 ran 'Open' on item 'Sivil Koruma Rasyonu' (#166902)
[18:16:29	]C24:i5.TAP-54 has gained a 'Metropolice Takviyeleri' #166916.
[18:16:29	]C24:i5.TAP-54 has gained a 'Soda Bob Brawn' #166917.
[18:16:29	]C24:i5.TAP-54 has gained a '20 Kredi Kuponu' #166918.
[18:16:31	]C24:i5.TAP-54 ran 'Consume' on item 'Soda Bob Brawn' (#166917)
[18:16:31	]C24:i5.TAP-54 extended their level 1 long boost in Algı.
[18:16:31	]C24:i5.TAP-54 extended their level 2 long boost in Çeviklik.
[18:17:13	]Barış loaded the character 'C24:i5.(X)KING-19'
[18:17:13	]C24:i5.(X)KING-19 is no longer afk. Total time spent AFK: 910
[18:17:33	]C24:i5.(X)KING-19 is fully healed.
[18:17:33	]C24:i5.(X)KING-19 used command '/CP leibi falan fistan cağrımmı'.
[18:18:17	]C24:i5.TAP-54 used command '/CP yok o gey seni eve alır salmaz rol mol çıkmaz bana'.
[18:18:18	]Barış (STEAM_0:0:195372324) has disconnected.
[18:18:23	]C24:i5.TAP-54 used command '/Radio 10-8'.
[18:25:10	]C24:i5.TAP-54 used command '/ActStand 2'.
[18:25:11	]C24:i5.TAP-54 used command '/ExitAct'.
[18:25:13	]C24:i5.TAP-54 used command '/ActStand 3'.
[18:25:15	]C24:i5.TAP-54 used command '/ExitAct'.
[18:25:17	]C24:i5.TAP-54 used command '/ActStand 4'.
[18:26:01	]Barış has connected.
[18:26:38	]Barış loaded the character 'C24:i5.(X)KING-19'
[18:27:37	]C24:i5.TAP-54 used command '/CP 10-8 versene koçum'.
[18:27:47	]C24:i5.(X)KING-19 used command '/CP yoğ'.
[18:27:59	]C24:i5.TAP-54 used command '/ExitAct'.
[18:28:05	]C24:i5.(X)KING-19 used command '/CP ben 10-6 yım şuan bilader'.
[18:28:14	]C24:i5.TAP-54 used command '/CP HM'.
[18:28:43	]C24:i5.(X)KING-19 used command '/Radio 10-8'.
[18:29:14	][IC] C24:i5.TAP-54: <:: 10. 9. ::>
[18:29:21	][LOOC] C24:i5.(X)KING-19: 19 voicelinesi var
[18:29:24	][IC] C24:i5.TAP-54: <:: 19. ::>
[18:29:24	][IC] C24:i5.(X)KING-19: <:: Evet? ::>
[18:29:31	][IC] C24:i5.TAP-54: <:: Durumun ne. ::>
[18:29:38	][IC] C24:i5.(X)KING-19: <:: 10-8 işte. ::>
[18:29:41	][IC] C24:i5.(X)KING-19: <:: Duruyorum. ::>
[18:29:48	][IC] C24:i5.TAP-54: <:: En sonki rehabiliteden bahsediyorum. ::>
[18:29:54	][IC] C24:i5.(X)KING-19: <:: Hatırlatmasaydın.. ::>
[18:30:00	][IC] C24:i5.(X)KING-19: <:: Gözüm parçalanmış. ::>
[18:30:05	][IC] C24:i5.(X)KING-19: <:: Sol tarafı. ::>
[18:30:06	][IC] C24:i5.TAP-54: <:: Hatırlamalısınki tekrarlama hatanı. ::>
[18:30:09	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:30:12	][IC] C24:i5.TAP-54: <:: Şuan nasıl peki. ::>
[18:30:17	][IC] C24:i5.(X)KING-19: <:: Iyi. ::>
[18:30:19	][IC] C24:i5.TAP-54: <:: Güzel. ::>
[18:30:27	][IC] C24:i5.TAP-54: <:: O halde devriye atmaman için bir sorun yok. ::>
[18:30:33	]C24:i5.TAP-54 used command '/PTCreate'.
[18:30:34	]C24:i5.TAP-54 used command '/PTCreate 1'.
[18:30:40	]C24:i5.TAP-54 used command '/Radio KT-1 Oluşturuldu.'.
[18:30:43	][LOOC] C24:i5.(X)KING-19: no devriye
[18:30:47	][IC] C24:i5.(X)KING-19: <:: Lazım mı?_. ::>
[18:30:48	][LOOC] C24:i5.TAP-54: gelecen
[18:30:49	][IC] C24:i5.TAP-54: <:: Katıl. ::>
[18:30:52	][IC] C24:i5.(X)KING-19: <:: Bence gerek yok. ::>
[18:31:06	]C24:i5.TAP-54 used command '/Radio Müsait birimler kenetleşsin.'.
[18:31:17	][IC] C24:i5.TAP-54: <:: Dispatch tam kontrolde atmalıyız. ::>
[18:31:28	][IC] C24:i5.(X)KING-19: <:: Yani, bir anti-sivil eylem yok. ::>
[18:31:36	][IC] C24:i5.(X)KING-19: <:: Gerekte yok. ::>
[18:31:38	][IC] C24:i5.TAP-54: <:: Nerden biliyorsun olmadığını. ::>
[18:31:46	][IC] C24:i5.TAP-54: <:: Nexus'tan çıkmazsan olmadığını düşünebilirsin. ::>
[18:31:53	][IC] C24:i5.TAP-54: <:: Dün 2 kez vuruldum. ::>
[18:32:00	][IC] C24:i5.TAP-54: <:: Yani merak etme var anti-sivil eylem. ::>
[18:32:10	][LOOC] C24:i5.(X)KING-19: sekter lan
[18:32:30	][IC] C24:i5.(X)KING-19: <:: Geçmiş olsun. ::>
[18:32:33	][IC] C24:i5.TAP-54: <:: Saol. ::>
[18:32:38	][IC] C24:i5.(X)KING-19: <:: Neyse, katılayım bari. ::>
[18:32:39	][IC] C24:i5.TAP-54: <:: Artık katılırsan. ::>
[18:32:42	]C24:i5.(X)KING-19 ran 'Equip' on item 'Combine PDA' (#165786)
[18:32:45	]C24:i5.(X)KING-19 used command '/PTJoin 1'.
[18:32:54	]C24:i5.(X)KING-19 used command '/Radio KT-1 Kenetleşildi'.
[18:33:01	]C24:i5.TAP-54 used command '/Radio KT-1 10-50; Zafer Sokağı/Plaza/Çevre Sokaklar/Tren Garı/Dükkan çevreleri.'.
[18:33:02	][LOOC] C24:i5.(X)KING-19: goofy ass rol yapcam en son
[18:33:12	][LOOC] C24:i5.TAP-54: yok şimdi seni revaini öldürdüğüm yere götürücem
[18:33:21	][LOOC] C24:i5.(X)KING-19: öldümü 23
[18:33:28	][LOOC] C24:i5.TAP-54: yok ama ölmekten beter
[18:33:37	][LOOC] C24:i5.(X)KING-19: bana yapma amk
[18:33:45	][LOOC] C24:i5.TAP-54: v288den yargılatcak çar onu
[18:33:52	][LOOC] C24:i5.(X)KING-19: tamam beni yargılama
[18:33:59	][LOOC] C24:i5.TAP-54: seni kendi yargılıcak
[18:34:01	][LOOC] C24:i5.(X)KING-19: yada vurma
[18:34:03	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:34:07	][LOOC] C24:i5.(X)KING-19: a
[18:34:38	][IT] C24:i5.TAP-54: Yerde kan damlaları var.
[18:34:41	][IC] C24:i5.(X)KING-19: <:: Neden buraya geldikki? ::>
[18:34:48	][IC] C24:i5.TAP-54: <:: Devriye rotamız içerisinde. ::>
[18:34:58	][LOOC] C24:i5.(X)KING-19: öldürmiceksen injured rp ye varım
[18:35:06	][LOOC] C24:i5.TAP-54: çar seni niye öldürsün amk
[18:35:17	][LOOC] C24:i5.(X)KING-19: belli olmaz senin karakter del,
[18:35:30	][LOOC] C24:i5.TAP-54: yok olum 23'ü bile öldürmedi aldattığını göre göre
[18:35:38	][IC] C24:i5.TAP-54: <:: Neyse burası temizdir. ::>
[18:35:44	][IC] C24:i5.(X)KING-19: <:: Yani, olabilir. ::>
[18:35:46	][IC] C24:i5.TAP-54: <:: Dükkan çevrelerini kontrol edelim. ::>
[18:36:01	][IC] C24:i5.(X)KING-19: <:: 23 Ortalıkta yok. ::>
[18:36:03	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:36:21	][IT] C24:i5.TAP-54: 404'den Dükkan-8'e doğru damlaya damlaya gitmiş kan damlaları var.
[18:36:35	][ME] C24:i5.TAP-54: İçeriye doğru bakınır.
[18:36:38	][ME] C24:i5.(X)KING-19: Kan lekelerini fark edince bi etrafa bakar
[18:36:41	][IC] C24:i5.(X)KING-19: <:: Garip. ::>
[18:36:45	][IC] C24:i5.TAP-54: <:: Ney garip. ::>
[18:36:47	][IC] C24:i5.(X)KING-19: <:: Bu lekeler. ::>
[18:36:52	][IC] C24:i5.TAP-54: <:: Klasik birisi vurulmuştur. ::>
[18:37:00	][IC] C24:i5.(X)KING-19: <:: Yani, olabilir. ::>
[18:37:10	][IC] C24:i5.TAP-54: <:: Önemsizmiş demekkiki kimse kanı bile temizlemeye yeltenmemiş. ::>
[18:37:15	][ME] C24:i5.TAP-54: Dükkanın içine bakınır.
[18:37:17	][IC] C24:i5.(X)KING-19: <:: Hehe. ::>
[18:37:20	][IC] C24:i5.(X)KING-19: <:: Doğru. ::>
[18:37:29	][ME] C24:i5.TAP-54: Ayağıyla kanı temizler.
[18:37:36	][IC] C24:i5.TAP-54: <:: Bu dükkan temizdir boşver. ::>
[18:37:52	][ME] C24:i5.TAP-54: İçeriye doğru bakınır.
[18:37:57	][IT] C24:i5.TAP-54: Kirden içerisi gözükmüyor
[18:38:00	][IC] C24:i5.TAP-54: <:: İnsan bi temizler. ::>
[18:38:08	][IC] C24:i5.TAP-54: <:: Birşeyi kontrol etmem lazım. ::>
[18:38:19	][IT] C24:i5.TAP-54: Işığın yanında bir sivil ceseti var.
[18:38:23	][IC] C24:i5.TAP-54: <:: Aptal. ::>
[18:38:28	][IC] C24:i5.TAP-54: <:: Halen ceseti götürmemiş. ::>
[18:38:32	][IC] C24:i5.(X)KING-19: <:: Ne ceseti. ::>
[18:38:35	][IT] C24:i5.TAP-54: Işığın yanında bir sivil ceseti var.
[18:38:40	][IT] C24:i5.TAP-54: Kafası jopla vurularak parçalanmıştır
[18:38:43	][IC] C24:i5.TAP-54: <:: Önemsiz. ::>
[18:39:00	][ME] C24:i5.TAP-54: Balkonlara doğru bakınır.
[18:39:03	][LOOC] C24:i5.(X)KING-19: şimdi senin planın ne ne yapcan bana
[18:39:12	][LOOC] C24:i5.(X)KING-19: dövecek föglşfmdlşgd
[18:39:13	][LOOC] C24:i5.TAP-54: bişe yapmıcamda sen bi revainin cesedini farkedemedin
[18:39:29	][LOOC] C24:i5.(X)KING-19: aga afk idim nerde hani ceset
[18:39:31	][LOOC] C24:i5.TAP-54: ne malmışın kanlar var heryerde 23den haber yok dükkanı çar kontrol ettirmiyo
[18:39:39	][IC] C24:i5.TAP-54: <:: Şu yukarıya bi bakıcam. ::>
[18:39:41	][IC] C24:i5.TAP-54: <:: Dikkat et. ::>
[18:39:44	][IC] C24:i5.(X)KING-19: <:: Bir şey dicem etraftaki bu. ::>
[18:39:52	][IC] C24:i5.(X)KING-19: <:: Buraya biz neden bakmadık. ::>
[18:39:59	]C24:i5.TAP-54 used command '/Radio 19'.
[18:40:11	]C24:i5.TAP-54 used command '/Radio Milletin dükkanını zorlama. **Sinirli bir sesle**'.
[18:40:19	]C24:i5.TAP-54 has taken 28 damage from worldspawn.
[18:40:23	][LOOC] C24:i5.TAP-54: anasının amı
[18:40:26	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166904)
[18:40:26	]C24:i5.TAP-54 has performed the 'Use Bandaj Rulosu' action, gaining 15 experience in medicine.
[18:40:26	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:27	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166904)
[18:40:27	]C24:i5.TAP-54 has performed the 'Use Bandaj Rulosu' action, gaining 12 experience in medicine.
[18:40:27	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:39	]C24:i5.TAP-54 used command '/Radio KT-1 Raporluyor; Clear code 100'.
[18:40:43	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166903)
[18:40:43	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:44	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166903)
[18:40:44	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:45	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166903)
[18:40:45	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:45	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166903)
[18:40:45	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:46	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166903)
[18:40:46	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:47	][IC] C24:i5.(X)KING-19: <:: Bir şey dicem. ::>
[18:40:48	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166903)
[18:40:48	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:40:50	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:40:51	][IC] C24:i5.(X)KING-19: <:: Neden bakmıyoruz. ::>
[18:40:53	][IC] C24:i5.(X)KING-19: <:: Dükkana. ::>
[18:40:57	][ME] C24:i5.TAP-54: Yerdeki kanlara bakar maske altından sırıtır.
[18:41:00	]C24:i5.TAP-54 ran 'use' on item 'Ağrı Kesici' (#166912)
[18:41:00	]C24:i5.TAP-54 has performed the 'Use Ağrı Kesici' action, gaining 25 experience in medicine.
[18:41:03	][IC] C24:i5.(X)KING-19: <:: Ben bakıcam. ::>
[18:41:04	][IC] C24:i5.TAP-54: <:: Gerek varmı sence. ::>
[18:41:08	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:41:15	][IC] C24:i5.(X)KING-19: <:: Dükkanda garip. ::>
[18:41:17	][IC] C24:i5.TAP-54: <:: Madem bu kadar istiyorsun bakalım. ::>
[18:41:21	][IC] C24:i5.TAP-54: <:: 3. ::>
[18:41:23	][IC] C24:i5.TAP-54: <:: 2. ::>
[18:41:24	][IC] C24:i5.TAP-54: <:: 1. ::>
[18:41:26	][IC] C24:i5.TAP-54: <:: Enjekte edin! ::>
[18:41:27	]C24:i5.TAP-54 used command '/Doorkick'.
[18:41:43	][Y] C24:i5.TAP-54: <:: Sivil koruma birimleri geldi derhal kapıyı açın. ::>
[18:41:48	][ME] C24:i5.TAP-54: Sertçe kapıyı yumruklar
[18:41:55	][IC] C24:i5.TAP-54: <:: Bilmediğin şeylere dokunma. ::>
[18:42:01	][ME] C24:i5.TAP-54: Kapıya sert bir tekme atar.
[18:42:03	]C24:i5.TAP-54 used command '/Doorkick'.
[18:42:11	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:42:14	][IC] C24:i5.TAP-54: <:: Temiz gördüğün gibi. ::>
[18:42:18	][LOOC] C24:i5.(X)KING-19: ne görüyoz itten yaz ceset falan varsa
[18:42:21	][IC] C24:i5.TAP-54: <:: Boşuna uğraştık. ::>
[18:42:25	][IC] C24:i5.(X)KING-19: <:: Gel şurasıda var. ::>
[18:42:29	][IT] C24:i5.TAP-54: Kanlar buzdolabı tarafındaki kapıya gidiyor
[18:42:35	][IC] C24:i5.TAP-54: <:: 3. ::>
[18:42:37	][IC] C24:i5.TAP-54: <:: 2. ::>
[18:42:38	][IC] C24:i5.TAP-54: <:: 1. ::>
[18:42:41	]C24:i5.TAP-54 used command '/Doorkick'.
[18:43:03	][IT] C24:i5.TAP-54: Masada uzanan 23 var maskesi takılı değil yanında
[18:43:06	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:43:10	][IC] C24:i5.TAP-54: <:: Temiz. 647 yok, 10-107 yok. ::>
[18:43:13	][LOOC] C24:i5.(X)KING-19: revo gelmeden geldikte kanka burası void olur
[18:43:23	][LOOC] C24:i5.(X)KING-19: geri çıkak girmemiş gibi
[18:43:25	][LOOC] C24:i5.TAP-54: dün benim çar onu burda bıraktı napayım kanka
[18:43:30	][LOOC] C24:i5.TAP-54: adam gelmiyor
[18:43:50	][IC] C24:i5.(X)KING-19: <:: Sanırım temiz her. ::>
[18:43:52	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:43:53	][IC] C24:i5.(X)KING-19: <:: Bütün yerler. ::>
[18:44:13	]C24:i5.TAP-54 used command '/Radio Zafer Sokağı/Tren garı clear;'.
[18:44:24	][IC] C24:i5.(X)KING-19: <:: Ben demiştim. ::>
[18:44:30	][IC] C24:i5.TAP-54: <:: Neyi. ::>
[18:44:31	][IC] C24:i5.(X)KING-19: <:: Bir şey yok diye. ::>
[18:44:39	][IC] C24:i5.(X)KING-19: <:: Burayadamı bakıcaz? ::>
[18:44:39	][IC] C24:i5.TAP-54: <:: Olabilir önlem önemli. ::>
[18:44:46	][IC] C24:i5.TAP-54: <:: Hazır bakmışken bakalım. ::>
[18:44:47	]C24:i5.TAP-54 opened the 'Rasyon Bölgesi Deposu' stash.
[18:44:47	]C24:i5.TAP-54 closed the 'Rasyon Bölgesi Deposu' stash.
[18:44:48	]C24:i5.TAP-54 opened the 'Rasyon Bölgesi Deposu' stash.
[18:44:51	]C24:i5.TAP-54 closed the 'Rasyon Bölgesi Deposu' stash.
[18:44:51	][IC] C24:i5.(X)KING-19: <:: Ne gerek. ::>
[18:45:01	][IC] C24:i5.TAP-54: <:: Sivil Korumalara ne gerek. ::>
[18:45:08	][ME] C24:i5.TAP-54: Aradan içeriye bakar.
[18:45:33	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:45:41	][IC] C24:i5.(X)KING-19: <:: Elleme. ::>
[18:45:45	]C24:i5.TAP-54 is fully healed.
[18:45:47	][IC] C24:i5.(X)KING-19: <:: Oraya iznin yok. ::>
[18:45:51	][ME] C24:i5.(X)KING-19: Cama tıklatır
[18:45:54	][IC] C24:i5.TAP-54: <:: Kim diyor peki bunu. ::>
[18:46:01	][IC] C24:i5.(X)KING-19: <:: Direktör odası. ::>
[18:46:03	][IC] C24:i5.(X)KING-19: <:: SEK in. ::>
[18:46:08	][IT] C24:i5.TAP-54: Dolapta dergiler vardır.
[18:46:09	][IC] C24:i5.TAP-54: <:: Ee. ::>
[18:46:15	][IC] C24:i5.TAP-54: <:: SEK Direktörü belki suçlu. ::>
[18:46:21	][IC] C24:i5.(X)KING-19: <:: İznimiz. ::>
[18:46:21	]C24:i5.(X)KING-19 opened the 'Ahşap Masa' #10843 container.
[18:46:21	]C24:i5.(X)KING-19 closed the 'Ahşap Masa' #10843 container.
[18:46:22	][ME] C24:i5.TAP-54: Dergileri karıştırır
[18:46:23	][IC] C24:i5.(X)KING-19: <:: Yok. ::>
[18:46:23	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:46:26	][IC] C24:i5.(X)KING-19: <:: Aramak için. ::>
[18:46:30	][ME] C24:i5.TAP-54: Çıplak kadın resmi olan dergiyi eline alır
[18:46:30	]C24:i5.(X)KING-19 opened the 'Ahşap Masa' #10843 container.
[18:46:31	]C24:i5.(X)KING-19 closed the 'Ahşap Masa' #10843 container.
[18:46:32	]C24:i5.(X)KING-19 opened the 'Ahşap Masa' #10843 container.
[18:46:34	]C24:i5.(X)KING-19 closed the 'Ahşap Masa' #10843 container.
[18:46:36	][ME] C24:i5.TAP-54: King'in önüne atar
[18:46:40	]C24:i5.TAP-54 opened the 'Ahşap Masa' #10843 container.
[18:46:42	]C24:i5.TAP-54 closed the 'Ahşap Masa' #10843 container.
[18:46:47	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:46:56	][ME] C24:i5.(X)KING-19: İğrenmişcesine dergiyi tekrardan fırlatır.
[18:47:04	][IC] C24:i5.TAP-54: <:: Noldu hoşuna gitmedimi. ::>
[18:47:17	][IC] C24:i5.(X)KING-19: <:: Sorduğun soru. ::>
[18:47:21	][IC] C24:i5.(X)KING-19: <:: Sence. ::>
[18:47:25	][IC] C24:i5.(X)KING-19: <:: Mantıklımı. ::>
[18:47:30	][IC] C24:i5.TAP-54: <:: Bence gayet mantıklı. ::>
[18:47:33	]C24:i5.(X)KING-19 opened the 'Dolap' #10951 container.
[18:47:34	][ME] C24:i5.TAP-54: Jopla dolapları karıştırır
[18:47:34	]C24:i5.(X)KING-19 closed the 'Dolap' #10951 container.
[18:47:35	]C24:i5.TAP-54 opened the 'Dolap' #10950 container.
[18:47:37	]C24:i5.TAP-54 closed the 'Dolap' #10950 container.
[18:47:38	]C24:i5.TAP-54 opened the 'Dolap' #10949 container.
[18:47:45	]C24:i5.TAP-54 closed the 'Dolap' #10949 container.
[18:47:47	]C24:i5.TAP-54 destroyed a 'Koyu Deri Çizme' #145890.
[18:48:18	]C24:i5.(X)KING-19 has changed C24:i5.(X)KING-19's bodygroups.
[18:48:23	][IC] C24:i5.TAP-54: <:: Kafana göre bi yerlere gitme. ::>
[18:48:31	][IC] C24:i5.TAP-54: <:: Kaybolursan seni aramaylada uğraşmıyayım. ::>
[18:48:32	][IC] C24:i5.(X)KING-19: <:: Bloklara girme iznimiz yok. ::>
[18:48:41	][IC] C24:i5.TAP-54: <:: Bloklara girdiğimi kim söyledi. ::>
