[14:05:52	]Jaslyiaa UwU has connected.
[14:15:43	]Jhony Caston ran 'take' on item 'Demir' (#166592)
[14:15:43	]Jhony Caston has gained a 'Demir' #166592.
[14:15:44	]Jhony Caston ran 'take' on item 'Bilgisayar Parçaları' (#166590)
[14:15:44	]Jhony Caston has gained a 'Bilgisayar Parçaları' #166590.
[14:16:07	]Jhony Caston ran 'take' on item 'Kaplumbağa Peluş' (#166486)
[14:16:07	]Jhony Caston has gained a 'Kaplumbağa Peluş' #166486.
[14:16:15	]Jhony Caston ran 'take' on item 'Yapıştırıcı' (#166595)
[14:16:15	]Jhony Caston has gained a 'Yapıştırıcı' #166595.
[14:16:16	]Jhony Caston ran 'take' on item 'Ahşap Tahta' (#166594)
[14:16:16	]Jhony Caston has gained a 'Ahşap Tahta' #166594.
[14:16:21	]Jhony Caston opened the 'Çöp Konteyneri' #10437 container.
[14:16:24	]Jhony Caston closed the 'Çöp Konteyneri' #10437 container.
[14:16:29	]Victorian has connected.
[14:16:48	]Jhony Caston ran 'take' on item 'Hurda Metal' (#166598)
[14:16:48	]Jhony Caston has gained a 'Hurda Metal' #166598.
[14:16:49	]Jhony Caston ran 'take' on item 'Demir' (#166599)
[14:16:49	]Jhony Caston has gained a 'Demir' #166599.
[14:16:52	]Jhony Caston ran 'combine' on item 'Demir' (#166599)
[14:17:27	]Jhony Caston ran 'take' on item 'Çivi Kutusu' (#166601)
[14:17:27	]Jhony Caston has gained a 'Çivi Kutusu' #166601.
[14:17:28	]Jhony Caston ran 'take' on item 'Arıtıcı' (#166602)
[14:17:28	]Jhony Caston has gained a 'Arıtıcı' #166602.
[14:17:41	]Jhony Caston ran 'take' on item 'Demir' (#166605)
[14:17:41	]Jhony Caston has gained a 'Demir' #166605.
[14:17:42	]Jhony Caston ran 'take' on item 'Çivi Kutusu' (#166604)
[14:17:42	]Jhony Caston has gained a 'Çivi Kutusu' #166604.
[14:17:47	]Jhony Caston ran 'combine' on item 'Demir' (#166599)
[14:17:55	]Jhony Caston ran 'take' on item 'Demir' (#166608)
[14:17:55	]Jhony Caston has gained a 'Demir' #166608.
[14:17:58	]Jhony Caston ran 'combine' on item 'Demir' (#166599)
[14:19:00	]Victorian loaded the character 'Nikola Petrov'
[14:19:02	]Jhony Caston ran 'take' on item 'Yapıştırıcı' (#166613)
[14:19:02	]Jhony Caston has gained a 'Yapıştırıcı' #166613.
[14:19:05	]Nikola Petrov is fully healed.
[14:19:52	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:19:57	]Jhony Caston has gained a 'Hurda Metal' #141092 from a container with the name 'Büyük Buzdolabı' #11035.
[14:19:58	]Jhony Caston has gained a 'Plastik Çöp' #165133 from a container with the name 'Büyük Buzdolabı' #11035.
[14:19:59	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:20:08	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:20:12	]Jhony Caston has transferred a 'Yapıştırıcı' #166613 to a container with the name 'Büyük Buzdolabı' #11035.
[14:20:13	]Jhony Caston ran 'combine' on item 'Yapıştırıcı' (#165156)
[14:20:15	]Jhony Caston has gained a 'Yapıştırıcı' #165156 from a container with the name 'Büyük Buzdolabı' #11035.
[14:20:15	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:20:21	]Jhony Caston has performed the 'Craft Araç Kiti' action, gaining 100 experience in crafting.
[14:20:23	]Jhony Caston ran 'take' on item 'Araç Kiti' (#166614)
[14:20:27	]Jhony Caston ran 'take' on item 'Araç Kiti' (#166614)
[14:20:27	]Jhony Caston has gained a 'Araç Kiti' #166614.
[14:20:30	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:20:34	]Jhony Caston has transferred a 'Hurda Metal' #141092 to a container with the name 'Büyük Buzdolabı' #11035.
[14:20:36	]Jhony Caston ran 'combine' on item 'Hurda Metal' (#141092)
[14:20:37	]Jhony Caston has transferred a 'Plastik Çöp' #165133 to a container with the name 'Büyük Buzdolabı' #11035.
[14:20:38	]Jhony Caston ran 'combine' on item 'Çivi Kutusu' (#166601)
[14:20:40	]Jhony Caston ran 'combine' on item 'Çivi Kutusu' (#165143)
[14:20:51	]Jhony Caston ran 'combine' on item 'Demir' (#147131)
[14:20:52	]Jhony Caston ran 'combine' on item 'Hurda Metal' (#141092)
[14:20:53	]Jhony Caston ran 'combine' on item 'Arıtıcı' (#165175)
[14:20:54	]Jhony Caston ran 'combine' on item 'Ahşap Tahta' (#165153)
[14:21:00	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:21:09	]Nikola Petrov ran 'Consume' on item 'Tarihi Geçmiş Yapay Macun' (#162839)
[14:21:09	]Nikola Petrov has gained a 'Boş Kavanoz' #166615.
[14:21:15	]Jhony Caston has performed the 'Craft Parçala: Kırık Bilgisayar' action, gaining 100 experience in crafting.
[14:21:15	]Jhony Caston has gained a 'Hurda Metal' #166616.
[14:21:19	]Nikola Petrov used command '/ExitAct'.
[14:21:24	]Jhony Caston has performed the 'Craft Parçala: Boş Benzin Bidonu' action, gaining 25 experience in crafting.
[14:21:32	]Jhony Caston has performed the 'Craft Parçala: Boş Benzin Bidonu' action, gaining 25 experience in crafting.
[14:21:33	]Nikola Petrov used command '/ActSit 4'.
[14:21:42	]Jhony Caston has performed the 'Craft Parçala: Bilgisayar Parçaları' action, gaining 35 experience in crafting.
[14:21:49	]Jhony Caston has performed the 'Craft Parçala: Bilgisayar Parçaları' action, gaining 35 experience in crafting.
[14:22:00	]Jhony Caston has performed the 'Craft Parçala: Kırık Alıcı' action, gaining 50 experience in crafting.
[14:22:00	]Jhony Caston has gained a 'Çivi Kutusu' #166617.
[14:22:03	]Jhony Caston has performed the 'Craft Parçala: Kırık Alıcı' action, gaining 50 experience in crafting.
[14:22:06	]Jhony Caston has performed the 'Craft Parçala: Kırık Alıcı' action, gaining 50 experience in crafting.
[14:22:29	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:22:35	]Jhony Caston ran 'combine' on item 'Çivi Kutusu' (#165143)
[14:22:37	]Jhony Caston ran 'combine' on item 'Hurda Metal' (#141092)
[14:22:38	]Jhony Caston has transferred a 'Hurda Metal' #166616 to a container with the name 'Büyük Buzdolabı' #11035.
[14:22:41	]Jhony Caston has transferred a 'Elektronik devreler' #165155 to a container with the name 'Büyük Buzdolabı' #11035.
[14:22:47	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#162214)
[14:22:49	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#119955)
[14:22:50	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#162327)
[14:22:51	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#162336)
[14:22:51	]Jhony Caston has gained a 'Boş CID Kartı' #162900 from a container with the name 'Büyük Buzdolabı' #11035.
[14:22:52	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#162336)
[14:22:54	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#162335)
[14:22:55	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#162328)
[14:22:56	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#162213)
[14:22:56	]Jhony Caston has gained a 'Boş CID Kartı' #162901 from a container with the name 'Büyük Buzdolabı' #11035.
[14:22:58	]Jhony Caston has transferred a 'Askeri Sınıf Devre Kartı' #165138 to a container with the name 'Büyük Buzdolabı' #11035.
[14:23:22	]Jhony Caston ran 'combine' on item 'Hurda Metal' (#141092)
[14:23:42	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:23:49	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:23:55	]Jhony Caston has gained a 'HK USP .45' #162404 from a container with the name 'Büyük Buzdolabı' #11035.
[14:23:55	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:24:07	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:24:13	]Jhony Caston has transferred a 'POS Cihazı' #164195 to a container with the name 'Büyük Buzdolabı' #11035.
[14:24:19	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:24:26	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:24:31	]Jhony Caston has gained a 'Onarım Kaplaması' #141037 from a container with the name 'Büyük Buzdolabı' #11035.
[14:24:34	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:24:43	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:24:51	]Jhony Caston has transferred a '9mm Pistol Bullets' #165020 to a container with the name 'Büyük Buzdolabı' #11035.
[14:24:52	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165273)
[14:24:54	]Jhony Caston has transferred a '9mm Pistol Bullets' #165019 to a container with the name 'Büyük Buzdolabı' #11035.
[14:24:56	]Jhony Caston has transferred a '9mm Pistol Bullets' #165021 to a container with the name 'Büyük Buzdolabı' #11035.
[14:24:57	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165021)
[14:24:58	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165021)
[14:24:59	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165273)
[14:25:00	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165021)
[14:25:00	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165273)
[14:25:01	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:25:01	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:25:06	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:25:13	]Jhony Caston ran 'split' on item 'Lastik Kelepçe' (#164502)
[14:25:13	]Jhony Caston has gained a 'Lastik Kelepçe' #166618.
[14:25:16	]Jhony Caston ran 'split' on item 'Lastik Kelepçe' (#164502)
[14:25:16	]Jhony Caston has gained a 'Lastik Kelepçe' #166619.
[14:25:17	]Jhony Caston ran 'combine' on item 'Lastik Kelepçe' (#166618)
[14:25:21	]Jhony Caston ran 'split' on item 'Lastik Kelepçe' (#166618)
[14:25:21	]Jhony Caston has gained a 'Lastik Kelepçe' #166620.
[14:25:22	]Jhony Caston ran 'combine' on item 'Lastik Kelepçe' (#164502)
[14:25:27	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:25:33	]Jhony Caston has transferred a 'Lastik Kelepçe' #166618 to a container with the name 'Büyük Buzdolabı' #11035.
[14:25:51	]Jhony Caston has transferred a 'Adrenalin' #161887 to a container with the name 'Büyük Buzdolabı' #11035.
[14:25:59	]Jhony Caston has transferred a 'Morfin' #147734 to a container with the name 'Büyük Buzdolabı' #11035.
[14:26:13	]Jhony Caston ran 'split' on item 'Morfin' (#147734)
[14:26:25	]Jhony Caston has gained a 'Morfin' #147734 from a container with the name 'Büyük Buzdolabı' #11035.
[14:26:26	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:26:27	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:26:30	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:26:32	]Jhony Caston has gained a 'Morfin' #166621 from a container with the name 'Büyük Buzdolabı' #11035.
[14:26:33	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:26:35	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:26:38	]Jhony Caston has gained a 'Adrenalin' #161887 from a container with the name 'Büyük Buzdolabı' #11035.
[14:26:39	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:27:00	]Nikola Petrov has gone afk.
[14:27:14	]Jhony Caston ran 'drop' on item 'Kaplumbağa Peluş' (#166486)
[14:27:14	]Jhony Caston has lost a 'Kaplumbağa Peluş' #166486.
[14:27:15	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:27:21	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:27:34	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:27:39	]Jhony Caston ran 'split' on item 'Hurda Metal' (#166616)
[14:27:40	]Jhony Caston has gained a 'Hurda Metal' #166622 from a container with the name 'Büyük Buzdolabı' #11035.
[14:27:41	]Jhony Caston ran 'split' on item 'Plastik Çöp' (#165133)
[14:27:43	]Jhony Caston has gained a 'Plastik Çöp' #166623 from a container with the name 'Büyük Buzdolabı' #11035.
[14:27:43	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:27:47	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:27:53	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:27:55	]Jhony Caston has performed the 'Craft Makas' action, gaining 25 experience in crafting.
[14:27:55	]Jhony Caston has gained a 'Makas' #166624.
[14:28:49	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:28:53	]Jhony Caston has gained a 'Kumaş' #166583 from a container with the name 'Büyük Buzdolabı' #11035.
[14:29:15	]Jhony Caston has transferred a 'Güçlü Yapıştırıcı' #141158 to a container with the name 'Büyük Buzdolabı' #11035.
[14:29:16	]Jhony Caston ran 'split' on item 'Güçlü Yapıştırıcı' (#141158)
[14:29:19	]Jhony Caston has gained a 'Güçlü Yapıştırıcı' #166625 from a container with the name 'Büyük Buzdolabı' #11035.
[14:29:22	]Jhony Caston has gained a 'Güçlü Yapıştırıcı' #141158 from a container with the name 'Büyük Buzdolabı' #11035.
[14:29:23	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:30:13	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:30:17	]Jhony Caston ran 'split' on item 'Demir' (#147131)
[14:30:19	]Jhony Caston has gained a 'Demir' #166626 from a container with the name 'Büyük Buzdolabı' #11035.
[14:30:20	]Jhony Caston ran 'split' on item 'Ahşap Kalas' (#155951)
[14:30:22	]Jhony Caston has gained a 'Ahşap Kalas' #155951 from a container with the name 'Büyük Buzdolabı' #11035.
[14:30:26	]Jhony Caston has gained a 'Plastik Levhalar' #165141 from a container with the name 'Büyük Buzdolabı' #11035.
[14:30:28	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:30:33	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:30:37	]Jhony Caston has gained a 'Vida Kutusu' #165134 from a container with the name 'Büyük Buzdolabı' #11035.
[14:30:38	]Jhony Caston ran 'split' on item 'Vida Kutusu' (#165134)
[14:30:38	]Jhony Caston has gained a 'Vida Kutusu' #166628.
[14:30:39	]Jhony Caston ran 'split' on item 'Vida Kutusu' (#166628)
[14:30:39	]Jhony Caston has gained a 'Vida Kutusu' #166629.
[14:30:40	]Jhony Caston has transferred a 'Vida Kutusu' #166628 to a container with the name 'Büyük Buzdolabı' #11035.
[14:30:41	]Jhony Caston ran 'combine' on item 'Vida Kutusu' (#165134)
[14:30:42	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:30:46	]Jhony Caston has performed the 'Craft Üretim Tezgahı Kiti' action, gaining 180 experience in crafting.
[14:30:48	]Jhony Caston ran 'take' on item 'Üretim Tezgahı Montaj Kiti' (#166630)
[14:30:54	]Jhony Caston ran 'take' on item 'Üretim Tezgahı Montaj Kiti' (#166630)
[14:30:54	]Jhony Caston has gained a 'Üretim Tezgahı Montaj Kiti' #166630.
[14:31:11	]Jhony Caston ran 'Assemble' on item 'Üretim Tezgahı Montaj Kiti' (#166630)
[14:31:11	]Jhony Caston has gained a 'Üretim Tezgahı Montaj Kiti' #166631.
[14:31:16	]Jhony Caston ran 'Assemble' on item 'Üretim Tezgahı Montaj Kiti' (#166631)
[14:31:16	]Jhony Caston has gained a 'Üretim Tezgahı Montaj Kiti' #166632.
[14:31:25	]Jhony Caston ran 'drop' on item 'Dükkan Anahtarı' (#164183)
[14:31:25	]Jhony Caston has lost a 'Dükkan Anahtarı' #164183.
[14:31:25	]Jhony Caston ran 'drop' on item 'Mavi işbirlikçi kol bandı' (#147950)
[14:31:25	]Jhony Caston has lost a 'Mavi işbirlikçi kol bandı' #147950.
[14:31:41	]Jhony Caston ran 'Assemble' on item 'Üretim Tezgahı Montaj Kiti' (#166632)
[14:31:42	]Jhony Caston has gained a 'Çalışma Tezgahı' #166633.
[14:31:48	]Jhony Caston ran 'place' on item 'Çalışma Tezgahı' (#166633)
[14:32:14	]Jhony Caston ran 'place' on item 'Çalışma Tezgahı' (#166633)
[14:32:19	]Jhony Caston ran 'place' on item 'Çalışma Tezgahı' (#166633)
[14:32:32	]Jhony Caston ran 'Use' on item 'Çalışma Tezgahı' (#166634)
[14:32:35	]Jhony Caston has gained level 12 in the Zanaatkarlık skill.
[14:32:35	]Jhony Caston has performed the 'Craft Büyük Çanta' action, gaining 100 experience in crafting.
[14:32:35	]Jhony Caston has gained a 'Büyük Çanta' #166635.
[14:32:43	]Jhony Caston ran 'take' on item 'Dükkan Anahtarı' (#164183)
[14:32:43	]Jhony Caston has gained a 'Dükkan Anahtarı' #164183.
[14:32:50	]Jhony Caston ran 'take' on item 'Mavi işbirlikçi kol bandı' (#147950)
[14:32:50	]Jhony Caston has gained a 'Mavi işbirlikçi kol bandı' #147950.
[14:32:59	]Jhony Caston ran 'Equip' on item 'Mavi işbirlikçi kol bandı' (#147950)
[14:33:17	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#166635)
[14:33:20	]Jhony Caston ran 'combine' on item 'Büyük Çanta' (#166635)
[14:33:44	]Jhony Caston is fully healed.
[14:35:21	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:35:25	]Jhony Caston has transferred a 'Plastik Levhalar' #165141 to a container with the name 'Büyük Buzdolabı' #11035.
[14:35:28	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:35:36	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:35:48	]Jhony Caston has gained a '30rnd MP Magazine' #162397 from a container with the name 'Büyük Buzdolabı' #11035.
[14:35:49	]Jhony Caston has gained a '30rnd MP Magazine' #126043 from a container with the name 'Büyük Buzdolabı' #11035.
[14:35:51	]Jhony Caston has gained a '17rnd USP Magazine' #162409 from a container with the name 'Büyük Buzdolabı' #11035.
[14:35:53	]Jhony Caston has gained a '17rnd USP Magazine' #165023 from a container with the name 'Büyük Buzdolabı' #11035.
[14:36:40	]Jhony Caston has gained a 'El Telsizi' #133427 from a container with the name 'Büyük Buzdolabı' #11035.
[14:36:42	]Jhony Caston has gained a 'Combine Filter' #164997 from a container with the name 'Büyük Buzdolabı' #11035.
[14:36:48	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:36:56	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:37:03	]Jhony Caston has transferred a 'Combine Filter' #164997 to a container with the name 'Büyük Buzdolabı' #11035.
[14:37:12	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165019)
[14:37:15	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:37:24	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:37:27	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:38:06	]Jhony Caston ran 'EquipUn' on item 'Mavi işbirlikçi kol bandı' (#147950)
[14:38:38	]Jhony Caston ran 'take' on item 'Bez Paçavralar' (#166637)
[14:38:38	]Jhony Caston has gained a 'Bez Paçavralar' #166637.
[14:38:43	]Jhony Caston ran 'take' on item 'Arıtıcı' (#166638)
[14:38:43	]Jhony Caston has gained a 'Arıtıcı' #166638.
[14:38:57	]Jhony Caston ran 'take' on item 'Vida Kutusu' (#166641)
[14:38:57	]Jhony Caston has gained a 'Vida Kutusu' #166641.
[14:38:59	]Jhony Caston ran 'take' on item 'Hurda Metal' (#166640)
[14:38:59	]Jhony Caston has gained a 'Hurda Metal' #166640.
[14:39:45	]Nikola Petrov is no longer afk. Total time spent AFK: 1060
[14:39:52	]Nikola Petrov used command '/ExitAct'.
[14:40:14	]Jhony Caston ran 'take' on item 'Elektronik devreler' (#166646)
[14:40:14	]Jhony Caston has gained a 'Elektronik devreler' #166646.
[14:40:15	]Jhony Caston ran 'take' on item 'Yapıştırıcı' (#166647)
[14:40:15	]Jhony Caston has gained a 'Yapıştırıcı' #166647.
[14:40:31	]Jhony Caston ran 'take' on item 'Plastik Çöp' (#166649)
[14:40:31	]Jhony Caston has gained a 'Plastik Çöp' #166649.
[14:40:32	]Jhony Caston ran 'drop' on item 'Plastik Çöp' (#166649)
[14:40:32	]Jhony Caston has lost a 'Plastik Çöp' #166649.
[14:41:12	]Jhony Caston opened the 'Büyük Buzdolabı' #11035 container.
[14:41:19	]Jhony Caston has transferred a 'Yapıştırıcı' #166647 to a container with the name 'Büyük Buzdolabı' #11035.
[14:41:21	]Jhony Caston ran 'combine' on item 'Vida Kutusu' (#166628)
[14:41:23	]Jhony Caston ran 'combine' on item 'Hurda Metal' (#166616)
[14:41:24	]Jhony Caston ran 'combine' on item 'Bez Paçavralar' (#141274)
[14:41:25	]Jhony Caston ran 'combine' on item 'Arıtıcı' (#165175)
[14:41:27	]Jhony Caston ran 'combine' on item 'Elektronik devreler' (#165155)
[14:41:35	]Jhony Caston ran 'combine' on item '9mm Pistol Bullets' (#165021)
[14:42:28	]Jhony Caston closed the 'Büyük Buzdolabı' #11035 container.
[14:42:40	]Jaslyiaa UwU (STEAM_0:1:568352116) has disconnected.
[14:42:44	]Victorian (STEAM_0:0:577700614) has disconnected.
[15:39:24	]Estals has connected.
[15:42:30	]Estals (STEAM_0:0:690120858) has disconnected (timed out).
[16:04:31	]Kadim Dost SvJ has connected.
[16:05:17	]Kadim Dost SvJ loaded the character 'Keskin Çaycı'
[16:05:37	]Keskin Çaycı was knocked unconscious and is bleeding out.
[16:05:39	]Keskin Çaycı used command '/CharGetUp'.
[16:05:54	]Keskin Çaycı has dropped: 1x Çivi Kutusu (#166478); El Feneri (#163303); 1x Bez Paçavralar (#163501); 2x Vida Kutusu (#166490); Açık Gri Kol Bandı (#61127); Water Canteen (#163670); 2x Yapıştırıcı (#159698); 2x Güçlü Yapıştırıcı (#50613); 1x Demir (#166481); Su Isıtıcısı (#164951); 3x Plastik Levhalar (#166466); 2x Elektronik devreler (#166489); Hairdresser tools (#166491); Water Canteen (#163714); 5x Arıtıcı (#163607); 1x Ahşap Tahta (#166468); Mor Yağmurluk (#159865); 2x Plastik Çöp (#166496); Yeniden Konumlandırma Kuponu (#163615);
[16:05:54	]Keskin Çaycı was just killed due to: accepting their death
[16:06:22	]Keskin Çaycı opened the 'Gecekondu Kişisel Depo' stash.
[16:06:26	]Keskin Çaycı closed the 'Gecekondu Kişisel Depo' stash.
[16:07:24	]Keskin Çaycı ran 'Unlock' on item 'Daire Anahtarı' (#166514)
[16:07:29	]Keskin Çaycı ran 'Lock' on item 'Daire Anahtarı' (#166514)
[16:07:30	]Keskin Çaycı opened the 'Dropped Items' #11177 container.
[16:07:33	]Keskin Çaycı has gained a 'Plastik Levhalar' #166466 from a container with the name 'Dropped Items' #11177.
[16:07:35	]Keskin Çaycı has gained a 'Plastik Çöp' #166496 from a container with the name 'Dropped Items' #11177.
[16:07:36	]Keskin Çaycı has gained a 'Vida Kutusu' #166490 from a container with the name 'Dropped Items' #11177.
[16:07:38	]Keskin Çaycı has gained a 'Çivi Kutusu' #166478 from a container with the name 'Dropped Items' #11177.
[16:07:41	]Keskin Çaycı has gained a 'Arıtıcı' #163607 from a container with the name 'Dropped Items' #11177.
[16:07:42	]Keskin Çaycı has gained a 'Demir' #166481 from a container with the name 'Dropped Items' #11177.
[16:07:44	]Keskin Çaycı has gained a 'Güçlü Yapıştırıcı' #50613 from a container with the name 'Dropped Items' #11177.
[16:07:45	]Keskin Çaycı has gained a 'Yapıştırıcı' #159698 from a container with the name 'Dropped Items' #11177.
[16:07:47	]Keskin Çaycı has gained a 'Mor Yağmurluk' #159865 from a container with the name 'Dropped Items' #11177.
[16:07:48	]Keskin Çaycı has gained a 'Bez Paçavralar' #163501 from a container with the name 'Dropped Items' #11177.
[16:07:49	]Keskin Çaycı has gained a 'El Feneri' #163303 from a container with the name 'Dropped Items' #11177.
