[15:03:10	]Edil has connected.
[15:47:49	]Arif Sertkesen entered observer.
[15:47:51	]Arif Sertkesen exited observer at their location.
[15:47:55	]Arif Sertkesen entered observer.
[15:47:58	]Arif Sertkesen exited observer at their location.
[15:48:00	]Arif Sertkesen entered observer.
[15:48:12	]Arif Sertkesen exited observer at their location.
[15:48:27	]Arif Sertkesen entered observer.
[15:48:40	]Arif Sertkesen exited observer at their location.
[15:48:41	]Arif Sertkesen entered observer.
[15:48:41	]Arif Sertkesen exited observer at their location.
[15:48:44	]Arif Sertkesen entered observer.
[15:48:45	]Arif Sertkesen exited observer at their location.
[15:48:47	]Arif Sertkesen entered observer.
[15:54:15	]Arif Sertkesen has gone afk.
[15:55:00	]Victorian has connected.
[15:57:21	]Victorian loaded the character 'Sergey Volkov'
[15:57:40	]Sergey Volkov entered observer.
[15:58:03	]Sergey Volkov exited observer at their location.
[15:58:05	]Sergey Volkov entered observer.
[15:58:05	]Sergey Volkov exited observer at their location.
[15:58:06	]Sergey Volkov entered observer.
[15:58:07	]Sergey Volkov exited observer at their location.
[15:58:09	]Sergey Volkov entered observer.
[15:58:09	]Sergey Volkov exited observer at their location.
[15:58:52	]Sergey Volkov entered observer.
[16:02:21	]Sergey Volkov exited observer at their location.
[16:02:23	]Sergey Volkov entered observer.
[16:02:33	]Sergey Volkov has spawned a drink_breen_water.
[16:02:33	]Sergey Volkov has spawned a drink_breen_water.
[16:02:33	]Sergey Volkov has spawned a drink_breen_water.
[16:02:35	]Sergey Volkov ran 'take' on item 'Breen'in Suyu' (#65945)
[16:02:35	]Sergey Volkov has gained a 'Breen'in Suyu' #65945.
[16:02:39	]Sergey Volkov ran 'Consume' on item 'Breen'in Suyu' (#65944)
[16:02:39	]Sergey Volkov has gained a 'Boş Breen'in Suyu' #65947.
[16:02:42	]Sergey Volkov ran 'Consume' on item 'Breen'in Suyu' (#65946)
[16:02:42	]Sergey Volkov has gained a 'Boş Breen'in Suyu' #65948.
[16:02:43	]Sergey Volkov exited observer at their location.
[16:02:45	]Sergey Volkov entered observer.
[16:02:46	]Sergey Volkov exited observer at their location.
[16:02:47	]Sergey Volkov entered observer.
[16:02:49	]Sergey Volkov exited observer at their location.
[16:02:49	]Sergey Volkov entered observer.
[16:02:50	]Sergey Volkov exited observer at their location.
[16:02:50	]Sergey Volkov entered observer.
[16:02:51	]Sergey Volkov exited observer at their location.
[16:02:51	]Sergey Volkov entered observer.
[16:02:51	]Sergey Volkov exited observer at their location.
[16:02:51	]Sergey Volkov entered observer.
[16:02:52	]Sergey Volkov exited observer at their location.
[16:02:52	]Sergey Volkov entered observer.
[16:02:52	]Sergey Volkov exited observer at their location.
[16:02:52	]Sergey Volkov entered observer.
[16:02:53	]Sergey Volkov exited observer at their location.
[16:02:53	]Sergey Volkov entered observer.
[16:02:53	]Sergey Volkov exited observer at their location.
[16:02:53	]Sergey Volkov entered observer.
[16:02:53	]Sergey Volkov exited observer at their location.
[16:02:54	]Sergey Volkov entered observer.
[16:02:54	]Sergey Volkov exited observer at their location.
[16:02:54	]Sergey Volkov entered observer.
[16:02:55	]Sergey Volkov exited observer at their location.
[16:03:16	]Victorian (STEAM_0:0:577700614) has disconnected.
[16:04:05	]Arif Sertkesen is no longer afk. Total time spent AFK: 885
[16:09:35	]Arif Sertkesen has gone afk.
[16:21:50	]Ellie Williams has connected.
[16:28:33	]Ellie Williams (STEAM_0:0:674670748) has disconnected (timed out).
[16:38:30	]Arif Sertkesen is no longer afk. Total time spent AFK: 2030
[16:39:00	]Arif Sertkesen exited observer at their location.
[16:39:01	]Arif Sertkesen entered observer.
[16:39:05	]Arif Sertkesen exited observer at their location.
[16:39:05	]Arif Sertkesen entered observer.
[16:42:00	]Arif Sertkesen exited observer at their location.
[16:42:00	]Arif Sertkesen entered observer.
[16:42:01	]Arif Sertkesen exited observer at their location.
[16:42:03	]Arif Sertkesen entered observer.
[16:42:03	]Arif Sertkesen exited observer at their location.
[16:42:04	]Arif Sertkesen has taken 13 damage from worldspawn.
[16:42:05	]Arif Sertkesen entered observer.
[16:42:06	]Arif Sertkesen exited observer at their location.
[16:42:25	]Arif Sertkesen entered observer.
[16:42:27	]Arif Sertkesen exited observer at their location.
[16:42:40	]Arif Sertkesen ran 'take' on item 'Cam kırıkları' (#58757)
[16:42:40	]Arif Sertkesen has gained a 'Cam kırıkları' #58757.
[16:43:45	]Arif Sertkesen ran 'take' on item 'Boş Breen'in Suyu' (#65458)
[16:43:45	]Arif Sertkesen has gained a 'Boş Breen'in Suyu' #65458.
[16:43:46	]Arif Sertkesen ran 'take' on item 'Boş Votka Şişesi' (#61438)
[16:44:00	]Arif Sertkesen ran 'drop' on item 'Kırık Biyokilit' (#63223)
[16:44:00	]Arif Sertkesen has lost a 'Kırık Biyokilit' #63223.
[16:44:04	]Arif Sertkesen has gained level 16 in the Hız skill.
[16:44:09	]Arif Sertkesen ran 'take' on item 'Boş Şarap Şişesi' (#63447)
[16:44:09	]Arif Sertkesen has gained a 'Boş Şarap Şişesi' #63447.
[16:44:13	]Arif Sertkesen ran 'take' on item 'Boş Votka Şişesi' (#61438)
[16:44:13	]Arif Sertkesen has gained a 'Boş Votka Şişesi' #61438.
[16:44:42	]Arif Sertkesen has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:44:45	]Arif Sertkesen has performed the 'Craft Parçala: Boş Kupa' action, gaining 20 experience in crafting.
[16:44:45	]Arif Sertkesen has gained a 'Plastik Çöp' #65949.
[16:44:49	]Arif Sertkesen has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:44:52	]Arif Sertkesen has performed the 'Craft Parçala: Şarap Şişesi' action, gaining 20 experience in crafting.
[16:45:32	]Arif Sertkesen ran 'take' on item 'Boş Kahverengi Şişe' (#62866)
[16:45:32	]Arif Sertkesen has gained a 'Boş Kahverengi Şişe' #62866.
[16:45:35	]Arif Sertkesen ran 'take' on item 'Boş Breen'in Suyu' (#62140)
[16:45:35	]Arif Sertkesen has gained a 'Boş Breen'in Suyu' #62140.
[16:45:36	]Arif Sertkesen ran 'take' on item 'Boş Breen'in Suyu' (#62168)
[16:45:36	]Arif Sertkesen has gained a 'Boş Breen'in Suyu' #62168.
[16:45:39	]Arif Sertkesen ran 'take' on item 'Boş Viski Şişesi' (#63126)
[16:45:41	]Arif Sertkesen ran 'take' on item 'Boş Viski Şişesi' (#63126)
[16:45:53	]Arif Sertkesen has performed the 'Craft Parçala: Boş Kahverengi Şişe' action, gaining 20 experience in crafting.
[16:45:55	]Arif Sertkesen has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:45:59	]Arif Sertkesen has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:46:05	]Arif Sertkesen ran 'drop' on item 'Cam kırıkları' (#58757)
[16:46:05	]Arif Sertkesen has lost a 'Cam kırıkları' #58757.
[16:46:07	]Arif Sertkesen ran 'take' on item 'Boş Viski Şişesi' (#63126)
[16:46:07	]Arif Sertkesen has gained a 'Boş Viski Şişesi' #63126.
[16:46:10	]Arif Sertkesen ran 'Convert' on item 'Breen'in Suyu' (#62480)
[16:46:10	]Arif Sertkesen has gained a 'Su İşçiliği' #65950.
[16:46:14	]Arif Sertkesen ran 'Convert' on item 'Su İşçiliği' (#65950)
[16:46:14	]Arif Sertkesen has gained a 'Breen'in Suyu' #65951.
[16:46:24	]Arif Sertkesen ran 'Consume' on item 'Breen'in Suyu' (#65951)
[16:46:24	]Arif Sertkesen has gained a 'Boş Breen'in Suyu' #65952.
[16:46:31	]Arif Sertkesen has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:46:31	]Arif Sertkesen has gained a 'Cam kırıkları' #65953.
[16:46:33	]Arif Sertkesen has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:46:44	]Arif Sertkesen ran 'drop' on item 'Cam kırıkları' (#65953)
[16:46:44	]Arif Sertkesen has lost a 'Cam kırıkları' #65953.
[16:47:07	]Arif Sertkesen ran 'take' on item 'Dikişli Kumaş' (#65699)
[16:47:07	]Arif Sertkesen has gained a 'Dikişli Kumaş' #65699.
[16:47:08	]Arif Sertkesen opened the 'Kişisel Depo' stash.
[16:47:10	]Arif Sertkesen has lost a 'Dikişli Kumaş' #65699.
[16:47:10	]Arif Sertkesen has transferred a 'Dikişli Kumaş' #65699 to a container with the name 'Kişisel Depo' #4770.
[16:47:12	]Arif Sertkesen ran 'combine' on item 'Bez Paçavralar' (#58752)
[16:47:14	]Arif Sertkesen has lost a 'Çivi Kutusu' #65942.
[16:47:14	]Arif Sertkesen has transferred a 'Çivi Kutusu' #65942 to a container with the name 'Kişisel Depo' #4770.
[16:47:16	]Arif Sertkesen ran 'combine' on item 'Elektronik devreler' (#57380)
[16:47:22	]Arif Sertkesen has lost a 'Vida Kutusu' #58979.
[16:47:22	]Arif Sertkesen has transferred a 'Vida Kutusu' #58979 to a container with the name 'Kişisel Depo' #4770.
[16:47:24	]Arif Sertkesen has lost a 'Metal Dişli' #59121.
[16:47:24	]Arif Sertkesen has transferred a 'Metal Dişli' #59121 to a container with the name 'Kişisel Depo' #4770.
[16:47:42	]Arif Sertkesen closed the 'Kişisel Depo' stash.
[16:47:42	]Arif Sertkesen opened the 'Kişisel Depo' stash.
[16:47:44	]Arif Sertkesen closed the 'Kişisel Depo' stash.
[16:47:44	]Arif Sertkesen opened the 'Kişisel Depo' stash.
[16:47:46	]Arif Sertkesen closed the 'Kişisel Depo' stash.
[16:47:52	]Arif Sertkesen ran 'take' on item 'Boş Viski Şişesi' (#63945)
[16:47:52	]Arif Sertkesen has gained a 'Boş Viski Şişesi' #63945.
[16:48:51	]Arif Sertkesen has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:48:51	]Arif Sertkesen has gained a 'Cam kırıkları' #65954.
[16:49:04	]Arif Sertkesen ran 'drop' on item 'Cam kırıkları' (#65954)
[16:49:04	]Arif Sertkesen has lost a 'Cam kırıkları' #65954.
[16:49:22	]Arif Sertkesen has gained a 'Boş Benzin Bidonu' #65955.
[16:49:37	]Arif Sertkesen has gained a 'Boş Kahve Fincanı' #65956.
[16:50:18	]Arif Sertkesen has performed the 'Craft Parçala: Boş Kahve Fincanı' action, gaining 20 experience in crafting.
[16:51:43	]Arif Sertkesen entered observer.
[16:51:46	]Arif Sertkesen exited observer at their location.
[16:51:47	]Arif Sertkesen entered observer.
[16:51:48	]Arif Sertkesen exited observer at their location.
[16:51:49	]Arif Sertkesen has taken 12 damage from worldspawn.
[16:51:50	]Arif Sertkesen entered observer.
[16:51:52	]Arif Sertkesen exited observer at their location.
[16:52:02	]Arif Sertkesen has taken 3 damage from worldspawn.
[16:52:02	]Arif Sertkesen entered observer.
[16:52:03	]Arif Sertkesen exited observer at their location.
[16:52:19	]Arif Sertkesen ran 'drop' on item 'Boş Benzin Bidonu' (#65955)
[16:52:19	]Arif Sertkesen has lost a 'Boş Benzin Bidonu' #65955.
[16:52:31	]Arif Sertkesen ran 'EquipUn' on item 'Yangın Baltası' (#43166)
[16:55:21	]Arif Sertkesen entered observer.
[16:55:26	]Arif Sertkesen exited observer at their location.
[16:55:41	]Arif Sertkesen entered observer.
[16:57:01	]Shane Walsh has connected.
[16:58:01	]Shane Walsh loaded the character 'C45:i4.HELIX-86'
[16:58:06	]C45:i4.HELIX-86 is fully healed.
[16:58:39	]C45:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65797)
[16:59:20	]Arif Sertkesen exited observer at their location.
[16:59:20	]Arif Sertkesen has taken 5 damage from worldspawn.
[16:59:25	]Arif Sertkesen has taken 5 damage from worldspawn.
[16:59:30	]Arif Sertkesen ran 'use' on item 'Bandaj Rulosu' (#42235)
[16:59:30	]Arif Sertkesen has performed the 'Use Bandaj Rulosu' action, gaining 15 experience in medicine.
[16:59:30	]Arif Sertkesen was bandaged by Arif Sertkesen for 15 HP.
[16:59:30	]Arif Sertkesen has taken 5 damage from worldspawn.
[16:59:35	]Arif Sertkesen has taken 5 damage from worldspawn.
[16:59:38	]Arif Sertkesen entered observer.
[16:59:48	]C45:i4.HELIX-86 used command '/ActKnockIdle'.
[17:00:13	]Shane Walsh (STEAM_0:0:195372324) has disconnected.
[17:01:36	]Scientist has connected.
[17:05:00	]Arif Sertkesen has gone afk.
[17:07:30	]Scientist loaded the character 'S10/OWS.GHOST-54'
[17:07:35	]S10/OWS.GHOST-54 is fully healed.
[17:07:52	]Scientist has unloaded their "S10/OWS.GHOST-54" character.
[17:07:59	]Scientist loaded the character 'William Wilson'
[17:08:04	]William Wilson is fully healed.
[17:08:10	]Connordpd has connected.
[17:08:15	]Arif Sertkesen is no longer afk. Total time spent AFK: 490
[17:08:25	]William Wilson used command '/PM a'.
[17:08:41	][IC] William Wilson: Ah.
[17:08:48	][ME] William Wilson: kırık biokilidi alır.
[17:08:49	]William Wilson ran 'take' on item 'Kırık Biyokilit' (#63223)
[17:08:49	]William Wilson has gained a 'Kırık Biyokilit' #63223.
[17:09:06	]Connordpd loaded the character 'Connor Grayson'
[17:09:11	]Connor Grayson is fully healed.
[17:09:11	][ME] William Wilson: kırık biyokilit ile destek masasında cp bekler.
[17:09:18	]Scientist has unloaded their "William Wilson" character.
[17:09:23	]Scientist loaded the character 'Farooq Manzur'
[17:10:05	]Farooq Manzur ran 'Equip' on item 'Machete' (#65181)
[17:10:09	]Farooq Manzur ran 'EquipUn' on item 'AKM' (#65171)
[17:10:09	]Farooq Manzur has gained a '30rnd AK-şarjörü' #65179.
[17:10:12	]Farooq Manzur has taken 5 damage from npc_headcrab.
[17:10:18	]Farooq Manzur has hit npc_headcrab dealing 18 damage (CritChance was 0.00).
[17:10:32	]Connordpd (STEAM_0:0:466318671) has disconnected.
[17:12:28	]Farooq Manzur ran 'take' on item 'Boş Kahverengi Şişe' (#65960)
[17:12:28	]Farooq Manzur has gained a 'Boş Kahverengi Şişe' #65960.
[17:12:32	]Farooq Manzur has hit npc_headcrab dealing 45 damage (CritChance was 0.00).
[17:12:49	]Farooq Manzur ran 'take' on item 'Demir' (#65961)
[17:12:49	]Farooq Manzur has gained a 'Demir' #65961.
[17:13:44	]Farooq Manzur has taken 5 damage from npc_headcrab.
[17:13:44	]Farooq Manzur has hit npc_headcrab dealing 45 damage (CritChance was 0.00).
[17:13:49	]Farooq Manzur has hit npc_headcrab dealing 45 damage (CritChance was 0.00).
[17:14:00	]Farooq Manzur has taken 17 damage from worldspawn.
[17:14:37	]Farooq Manzur destroyed a 'Kırık TV Monitörü' #65516.
[17:14:53	]Farooq Manzur has taken 5 damage from worldspawn.
[17:15:15	]Farooq Manzur ran 'drop' on item 'Boş Kahverengi Şişe' (#65960)
[17:15:15	]Farooq Manzur has lost a 'Boş Kahverengi Şişe' #65960.
[17:15:31	]Farooq Manzur has hit npc_zombie in the chest dealing 45 damage (CritChance was 0.00).
[17:15:34	]Farooq Manzur has hit npc_zombie in the head dealing 45 damage (CritChance was 0.00).
[17:15:44	]Farooq Manzur has hit npc_zombie in the head dealing 45 damage (CritChance was 0.00).
[17:15:48	][IC] Farooq Manzur: Allah ekber.
[17:15:51	]Farooq Manzur has hit npc_zombie dealing 45 damage (CritChance was 0.00).
[17:15:53	]Farooq Manzur has hit npc_zombie in the head dealing 45 damage (CritChance was 0.00).
[17:18:07	]Farooq Manzur ran 'Write' on item 'Kitap' (#65167)
[17:18:14	]Farooq Manzur ran 'Write' on item 'Kitap' (#65167)
[17:18:24	]Farooq Manzur ran 'Write' on item 'Kuran' (#65167)
[17:18:38	]Arif Sertkesen exited observer at their location.
[17:18:48	]Scientist has unloaded their "Farooq Manzur" character.
[17:18:53	]Scientist loaded the character 'S10/OWS.GHOST-54'
[17:19:29	]Arif Sertkesen ran 'take' on item 'Plastik Kova' (#65970)
[17:19:29	]Arif Sertkesen has gained a 'Plastik Kova' #65970.
[17:19:36	]Arif Sertkesen has performed the 'Craft Parçala: Plastik Kova' action, gaining 30 experience in crafting.
[17:20:09	]Arif Sertkesen ran 'take' on item 'Kahverengi Ayakkabı' (#65972)
[17:20:09	]Arif Sertkesen has gained a 'Kahverengi Ayakkabı' #65972.
[17:20:12	]S10/OWS.GHOST-54 used command '/ActType'.
[17:20:15	]Arif Sertkesen has performed the 'Craft Parçala: Kahverengi Ayakkabı' action, gaining 25 experience in crafting.
[17:20:15	]Arif Sertkesen has gained a 'Bez Paçavralar' #65975.
[17:20:31	]Arif Sertkesen entered observer.
[17:20:41	]Arif Sertkesen exited observer at their location.
[17:20:41	]Arif Sertkesen entered observer.
[17:20:48	]S10/OWS.GHOST-54 used command '/ExitAct'.
[17:21:07	]S10/OWS.GHOST-54 has warped from Default to Default.
[17:21:50	]S10/OWS.GHOST-54 opened the 'Dropped Items' #6285 container.
[17:21:53	]S10/OWS.GHOST-54 has gained a 'Çiğ Headcrab Eti' #64485 from a container with the name 'Dropped Items' #6285.
[17:21:55	]S10/OWS.GHOST-54 closed the 'Dropped Items' #6285 container.
[17:21:58	]S10/OWS.GHOST-54 ran 'drop' on item 'Çiğ Headcrab Eti' (#64485)
[17:21:58	]S10/OWS.GHOST-54 has lost a 'Çiğ Headcrab Eti' #64485.
[17:22:01	]S10/OWS.GHOST-54 destroyed a 'Çiğ Headcrab Eti' #64485.
[17:22:03	]S10/OWS.GHOST-54 has warped from Default to Default.
[17:23:29	]S10/OWS.GHOST-54 destroyed a 'Dezenfekte Bandaj Rulosu' #65642.
[17:23:41	]S10/OWS.GHOST-54 ran 'Equip' on item 'Rappel Gear' (#61351)
[17:23:46	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[17:23:46	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[17:23:48	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'MP5A3' (#61361)
[17:23:48	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[17:23:49	]S10/OWS.GHOST-54 ran 'Equip' on item 'MP5A3' (#61361)
[17:23:50	]S10/OWS.GHOST-54 ran 'Equip' on item 'Rappel Gear' (#61351)
[17:23:51	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'MP5A3' (#61361)
[17:23:52	]S10/OWS.GHOST-54 ran 'Equip' on item 'Rappel Gear' (#61351)
[17:23:54	]S10/OWS.GHOST-54 ran 'EquipUn' on item 'Rappel Gear' (#61351)
[17:23:55	]S10/OWS.GHOST-54 ran 'Equip' on item 'MP5A3' (#61361)
[17:23:55	]S10/OWS.GHOST-54 ran 'Equip' on item 'Rappel Gear' (#61351)
[17:24:06	]S10/OWS.GHOST-54 used command '/ActType'.
[17:24:09	]S10/OWS.GHOST-54 used command '/ExitAct'.
[17:24:28	]S10/OWS.GHOST-54 used command '/ActType'.
[17:24:33	]S10/OWS.GHOST-54 used command '/ExitAct'.
[17:24:42	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[17:25:09	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[17:25:09	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[17:25:26	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61367.
[17:25:26	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61384.
[17:26:05	]S10/OWS.GHOST-54 has gained a '30rnd MP-şarjörü' #61384.
[17:26:05	]S10/OWS.GHOST-54 has lost a '30rnd MP-şarjörü' #61367.
[17:26:12	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:26:14	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:26:15	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:26:26	]S10/OWS.GHOST-54 used command '/ToggleRaise'.
[17:26:45	]S10/OWS.GHOST-54 has warped from Default to Default.
[17:26:45	]Arif Sertkesen has gone afk.
[17:27:29	]DavşanAbi (STEAM_0:0:100418262) has disconnected.
[17:28:57	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:29:36	]S10/OWS.GHOST-54 ran 'drop' on item 'SMG Mermisi' (#62443)
[17:29:36	]S10/OWS.GHOST-54 has lost a 'SMG Mermisi' #62443.
[17:29:39	]S10/OWS.GHOST-54 destroyed a 'SMG Mermisi' #62443.
[17:29:44	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:30:01	]S10/OWS.GHOST-54 used the 'Transhuman Tedarik Terminali' vendor.
[17:30:15	]S10/OWS.GHOST-54 has gained 0 chips.
[17:30:15	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65976.
[17:30:15	]S10/OWS.GHOST-54 has gained 0 chips.
[17:30:15	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65977.
[17:30:16	]S10/OWS.GHOST-54 has gained 0 chips.
[17:30:16	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65978.
[17:30:17	]S10/OWS.GHOST-54 has gained 0 chips.
[17:30:17	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65979.
[17:30:17	]S10/OWS.GHOST-54 has gained 0 chips.
[17:30:17	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65980.
[17:30:18	]S10/OWS.GHOST-54 has gained 0 chips.
[17:30:18	]S10/OWS.GHOST-54 has gained a 'SMG Mermisi' #65981.
[17:30:18	]S10/OWS.GHOST-54 has gained 0 chips.
