[16:02:48	]Hacı emmi has connected.
[16:37:27	]Ahmet Çakar ran 'smoke' on item 'Sigara' (#121010)
[16:37:31	]Ahmet Çakar ran 'light' on item 'Zippo Çakmak' (#71761)
[16:37:46	]Percy Cox opened the 'Çöp Kutusu' #10953 container.
[16:37:46	]Percy Cox closed the 'Çöp Kutusu' #10953 container.
[16:37:48	]Percy Cox ran 'take' on item 'Kırık Klavye' (#163858)
[16:37:50	]Percy Cox opened the 'Çöp Kutusu' #10953 container.
[16:37:56	]Percy Cox closed the 'Çöp Kutusu' #10953 container.
[16:38:51	]Percy Cox opened the 'Çöp Kutusu' #10263 container.
[16:38:52	]Ahmet Çakar ran 'stopsmoke' on item 'Sigara' (#121010)
[16:38:54	]Percy Cox closed the 'Çöp Kutusu' #10263 container.
[16:38:54	]Percy Cox opened the 'Çöp Kutusu' #10264 container.
[16:38:56	]Percy Cox closed the 'Çöp Kutusu' #10264 container.
[16:38:56	]Percy Cox opened the 'Çöp Kutusu' #10264 container.
[16:38:59	]Percy Cox closed the 'Çöp Kutusu' #10264 container.
[16:39:13	]C24:i3.KING-20 used command '/PTCreate 1'.
[16:39:28	][IC] Percy Cox: Topladım.
[16:39:31	][IC] C24:i3.KING-20: <:: Göster bakalı. ::>
[16:39:32	]Ahmet Çakar used command '/ExitAct'.
[16:39:32	][IC] C24:i3.KING-20: <:: M. ::>
[16:39:35	]Percy Cox ran 'drop' on item 'Plastik Levhalar' (#164425)
[16:39:35	]Percy Cox has lost a 'Plastik Levhalar' #164425.
[16:39:36	]Percy Cox ran 'drop' on item 'Eski Lastik' (#163229)
[16:39:36	]Percy Cox has lost a 'Eski Lastik' #163229.
[16:39:38	]Percy Cox ran 'drop' on item 'Kırık TV Monitörü' (#164738)
[16:39:38	]Percy Cox has lost a 'Kırık TV Monitörü' #164738.
[16:39:39	]Percy Cox ran 'drop' on item 'Plastik Çöp' (#164642)
[16:39:39	]Percy Cox has lost a 'Plastik Çöp' #164642.
[16:39:40	]Percy Cox ran 'drop' on item 'Demir' (#163855)
[16:39:40	]Percy Cox has lost a 'Demir' #163855.
[16:39:41	]Percy Cox ran 'drop' on item 'Yapay Macun' (#164777)
[16:39:41	]Percy Cox has lost a 'Yapay Macun' #164777.
[16:39:42	]Percy Cox ran 'drop' on item 'Kırık Klavye' (#163007)
[16:39:42	]Percy Cox has lost a 'Kırık Klavye' #163007.
[16:39:43	]Percy Cox ran 'drop' on item 'Bez Paçavralar' (#164643)
[16:39:43	]Percy Cox has lost a 'Bez Paçavralar' #164643.
[16:39:45	][IC] C24:i3.KING-20: <:: Yeterli. ::>
[16:39:47	][IC] C24:i3.KING-20: <:: Hepsini geri al şimdi. ::>
[16:39:50	]Percy Cox ran 'take' on item 'Eski Lastik' (#163229)
[16:39:50	]Percy Cox has gained a 'Eski Lastik' #163229.
[16:39:52	]Percy Cox ran 'Consume' on item 'Yapay Macun' (#164777)
[16:39:52	]Percy Cox has gained a 'Boş Kavanoz' #165033.
[16:39:54	]Percy Cox ran 'take' on item 'Kırık TV Monitörü' (#164738)
[16:39:54	]Percy Cox has gained a 'Kırık TV Monitörü' #164738.
[16:39:55	]Percy Cox ran 'take' on item 'Kırık Klavye' (#163007)
[16:39:55	]Percy Cox has gained a 'Kırık Klavye' #163007.
[16:39:56	]Percy Cox ran 'take' on item 'Plastik Çöp' (#164642)
[16:39:56	]Percy Cox has gained a 'Plastik Çöp' #164642.
[16:39:58	]Percy Cox ran 'take' on item 'Plastik Levhalar' (#164425)
[16:39:58	]Percy Cox has gained a 'Plastik Levhalar' #164425.
[16:39:59	]Percy Cox ran 'take' on item 'Bez Paçavralar' (#164643)
[16:39:59	]Percy Cox has gained a 'Bez Paçavralar' #164643.
[16:40:00	][IC] C24:i3.KING-20: <:: Gel. ::>
[16:40:00	]Percy Cox ran 'take' on item 'Demir' (#163855)
[16:40:00	]Percy Cox has gained a 'Demir' #163855.
[16:40:14	][IC] C24:i3.KING-20: <:: Buraya diz. ::>
[16:40:20	]Percy Cox ran 'drop' on item 'Kırık Klavye' (#163007)
[16:40:20	]Percy Cox has lost a 'Kırık Klavye' #163007.
[16:40:24	]Percy Cox ran 'take' on item 'Kırık Klavye' (#163007)
[16:40:24	]Percy Cox has gained a 'Kırık Klavye' #163007.
[16:40:27	]Percy Cox ran 'drop' on item 'Kırık Klavye' (#163007)
[16:40:27	]Percy Cox has lost a 'Kırık Klavye' #163007.
[16:40:29	]Ahmet Çakar ran 'take' on item 'Simit' (#154041)
[16:40:29	]Ahmet Çakar has gained a 'Simit' #154041.
[16:40:30	]Percy Cox ran 'drop' on item 'Demir' (#163855)
[16:40:30	]Percy Cox has lost a 'Demir' #163855.
[16:40:33	]Percy Cox ran 'drop' on item 'Bez Paçavralar' (#164643)
[16:40:33	]Percy Cox has lost a 'Bez Paçavralar' #164643.
[16:40:39	][IC] C24:i3.KING-20: <:: Bu kadar mı? ::>
[16:40:44	]Percy Cox ran 'drop' on item 'Eski Lastik' (#163229)
[16:40:44	]Percy Cox has lost a 'Eski Lastik' #163229.
[16:40:46	]Percy Cox ran 'drop' on item 'Plastik Çöp' (#164642)
[16:40:46	]Percy Cox has lost a 'Plastik Çöp' #164642.
[16:40:47	]Percy Cox ran 'drop' on item 'Kırık TV Monitörü' (#164738)
[16:40:47	]Percy Cox has lost a 'Kırık TV Monitörü' #164738.
[16:40:48	]Percy Cox ran 'drop' on item 'Boş Kavanoz' (#165033)
[16:40:48	]Percy Cox has lost a 'Boş Kavanoz' #165033.
[16:40:49	]Percy Cox ran 'drop' on item 'Plastik Levhalar' (#164425)
[16:40:49	]Percy Cox has lost a 'Plastik Levhalar' #164425.
[16:40:53	]Percy Cox ran 'drop' on item 'Tarihi Geçmiş Yapay Macun' (#162001)
[16:40:53	]Percy Cox has lost a 'Tarihi Geçmiş Yapay Macun' #162001.
[16:40:57	]Percy Cox ran 'drop' on item 'Bilgisayar Parçaları' (#164865)
[16:40:57	]Percy Cox has lost a 'Bilgisayar Parçaları' #164865.
[16:40:58	]Ahmet Çakar ran 'ShowLog' on item 'POS Cihazı' (#75868)
[16:41:07	][IC] C24:i3.KING-20: <:: Doğrula. ::>
[16:41:09	]Percy Cox used command '/ID'.
[16:41:44	][IC] C24:i3.KING-20: <:: Peki; gidebilirsin. ::>
[16:41:49	][IC] Percy Cox: Teşşekür.
[16:41:57	]Ahmet Çakar ran 'Consume' on item 'Simit' (#154041)
[16:41:57	]Ahmet Çakar has updated their Zeka long boost target to 2 (current : 5).
[16:42:05	]Barış has unloaded their "Ahmet Çakar" character.
[16:42:12	]Barış loaded the character 'S10:SCN-3'
[16:42:27	]C24:i3.KING-20 entered observer.
[16:42:29	]C24:i3.KING-20 exited observer at their location.
[16:42:36	]S10:SCN-3 used command '/CP sa'.
[16:42:43	]S10:SCN-3 used command '/Datafile Percy Cox'.
[16:42:43	]C24:i3.KING-20 used command '/CP bilerek mi scanner geçiyorsun'.
[16:42:54	]C24:i3.KING-20 entered observer.
[16:42:59	]S10:SCN-3 used command '/CP yoo etrafa bakıcam az'.
[16:43:15	]C24:i3.KING-20 exited observer at their location.
[16:43:54	]Barış has unloaded their "S10:SCN-3" character.
[16:43:58	]Barış loaded the character 'C24:i5.(X)KING-19'
[16:44:02	]C24:i5.(X)KING-19 is fully healed.
[16:44:08	]C24:i5.(X)KING-19 used command '/Radio 10-8'.
[16:44:13	]C24:i3.KING-20 entered observer.
[16:44:14	]C24:i3.KING-20 exited observer at their location.
[16:44:14	]C24:i3.KING-20 entered observer.
[16:44:15	]C24:i3.KING-20 exited observer at their location.
[16:44:17	]C24:i5.(X)KING-19 used command '/ActStand 4'.
[16:45:07	]C24:i3.KING-20 entered observer.
[16:45:20	]C24:i5.(X)KING-19 used command '/CP bu X i nasıl sildiriyoz'.
[16:45:23	]C24:i3.KING-20 exited observer at their location.
[16:45:31	][IC] Percy Cox: Merhabalar.
[16:45:34	][IC] Percy Cox: Başka bir görev var mı?
[16:45:37	]C24:i3.KING-20 used command '/CP övülmen lazım, iyi iş çıkarman vs gerekiyor'.
[16:45:42	]C24:i3.KING-20 used command '/CP düzeldiğine inanırlarsa çıkar'.
[16:45:48	][IC] C24:i5.(X)KING-19: <:: Görevi yeni aldın zaten? ::>
[16:45:54	]C24:i3.KING-20 used command '/CP zaten RL ile ic de bu olayı konuşucam ben onu bekliyorum 2 gündür'.
[16:45:59	][IC] C24:i5.(X)KING-19: <:: Biraz süre geçerse olur. ::>
[16:46:11	][IC] Percy Cox: Bu arada, az ilerde güvenlik sorunu yaratan kapı var.
[16:46:16	]C24:i5.(X)KING-19 used command '/ExitAct'.
[16:46:42	][IC] C24:i5.(X)KING-19: <:: Ha? ::>
[16:46:49	][IC] C24:i5.(X)KING-19: <:: Anlamadım. ::>
[16:46:53	][IC] C24:i5.(X)KING-19: <:: Baktırırım. ::>
[16:46:59	][IC] Percy Cox: Tamam.
[16:47:00	]C24:i3.KING-20 entered observer.
[16:47:05	]C24:i5.(X)KING-19 used command '/CP RL ne dicek aq sana'.
[16:47:07	]C24:i3.KING-20 exited observer at their location.
[16:47:08	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:47:18	]C24:i3.KING-20 has gained a '30rnd MP Magazine' #162400.
[16:47:18	]C24:i3.KING-20 has lost a '30rnd MP Magazine' #162401.
[16:47:19	]C24:i3.KING-20 entered observer.
[16:47:25	]C24:i3.KING-20 exited observer at their location.
[16:47:30	]C24:i3.KING-20 used command '/Radio 34 a bendeene kod 102'.
[16:47:32	]C24:i3.KING-20 used command '/Radio 12'.
[16:47:33	]C24:i3.KING-20 entered observer.
[16:47:37	]C24:i5.(X)KING-19 used command '/CP A0'.
[16:47:47	]C24:i3.KING-20 used command '/CP kacasiorum dur'.
[16:47:53	]C24:i5.(X)KING-19 used command '/CP ne'.
[16:47:54	]C24:i3.KING-20 ran 'combine' on item '30rnd MP Magazine' (#162400)
[16:48:01	]C24:i3.KING-20 ran 'Equip' on item 'Flash Grenade' (#164999)
[16:48:05	]C24:i3.KING-20 exited observer at their location.
[16:48:12	][IC] C24:i3.KING-20: <:: Koşma. ::>
[16:48:15	][IC] C24:i3.KING-20: <:: Gözüme çok batıyorsun. ::>
[16:48:18	][IC] Percy Cox: Silah sesi doydum.
[16:48:21	]C24:i3.KING-20 ran 'EquipUn' on item 'Flash Grenade' (#164999)
[16:48:25	]C24:i3.KING-20 entered observer.
[16:48:27	]C24:i3.KING-20 exited observer at their location.
[16:48:52	]C24:i3.KING-20 entered observer.
[16:49:41	]C24:i3.KING-20 exited observer at their location.
[16:49:44	]C24:i3.KING-20 entered observer.
[16:49:54	]C24:i3.KING-20 used command '/Radio zırh yenilenmesi için bio sinyal kapatılıyor'.
[16:49:59	]C24:i3.KING-20 exited observer at their location.
[16:50:07	]C24:i3.KING-20 ran 'drop' on item 'Hafif Görev Üniforması' (#163592)
[16:50:07	]C24:i3.KING-20 has lost a 'Hafif Görev Üniforması' #163592.
[16:50:07	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:50:08	]C24:i3.KING-20 destroyed a 'Hafif Görev Üniforması' #163592.
[16:50:08	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:50:09	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:50:12	]C24:i3.KING-20 has gained 0 chips.
[16:50:12	]C24:i3.KING-20 has gained a 'Hafif Görev Üniforması' #165034.
[16:50:33	]C24:i3.KING-20 has changed C24:i3.KING-20's bodygroups.
[16:50:40	]C24:i5.(X)KING-19 used command '/ActLean 2'.
[16:50:40	]C24:i3.KING-20 has changed C24:i3.KING-20's bodygroups.
[16:50:45	]C24:i3.KING-20 has changed C24:i3.KING-20's bodygroups.
[16:50:54	]C24:i5.(X)KING-19 used command '/Radio 10-4'.
[16:51:38	]Alastor has connected.
[16:51:54	]C24:i3.KING-20 entered observer.
[16:51:57	]C24:i3.KING-20 exited observer at their location.
[16:52:03	]C24:i3.KING-20 entered observer.
[16:52:08	]C24:i3.KING-20 used command '/Radio 10-8 2'.
[16:52:28	][IC] C24:i3.KING-20: <:: Birim görevde, 10-8. ::>
[16:52:31	]C24:i3.KING-20 used command '/SC tac-3'.
[16:52:36	]C24:i3.KING-20 exited observer at their location.
[16:52:46	]Percy Cox was knocked unconscious and is bleeding out.
[16:52:47	]Alastor loaded the character 'Kemal Şengör'
[16:53:02	]C24:i3.KING-20 entered observer.
[16:53:03	]C24:i3.KING-20 exited observer at their location.
[16:53:27	]Percy Cox used command '/CharGetUp'.
[16:53:48	]Percy Cox has dropped: Bilgisayar Parçaları (#164838); Kova (#164813); Açık Gri Kol Bandı (#163132); El Feneri (#164851); Tulum pantolonu. (#163048); Eskimiş Koyu Ayakkabı (#163049); Sivil Tulum (#163047); Yeniden Konumlandırma Kuponu (#164812); 1x Arıtıcı (#164867); Araba Aküsü (#163581); Tıbbi Direnişçi Üniforması (#164834);
[16:53:48	]Percy Cox was just killed due to: accepting their death
[16:53:49	]C24:i3.KING-20 entered observer.
[16:54:08	]C24:i3.KING-20 exited observer at their location.
[16:54:18	]C24:i3.KING-20 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[16:54:31	]C24:i3.KING-20 ran 'take' on item 'Sivil Koruma Rasyonu' (#165035)
[16:54:31	]C24:i3.KING-20 has gained a 'Sivil Koruma Rasyonu' #165035.
[16:54:34	]C24:i3.KING-20 ran 'Open' on item 'Sivil Koruma Rasyonu' (#165035)
[16:54:34	]C24:i3.KING-20 has gained a 'Metropolice Takviyeleri' #165036.
[16:54:34	]C24:i3.KING-20 has gained a 'Soda Bob Brawn' #165037.
[16:54:34	]C24:i3.KING-20 has gained a '20 Kredi Kuponu' #165038.
[16:54:39	]C24:i3.KING-20 opened the 'Rasyon Bölgesi Deposu' stash.
[16:54:42	]C24:i3.KING-20 has lost a 'Soda Bob Brawn' #165037.
[16:54:42	]C24:i3.KING-20 has transferred a 'Soda Bob Brawn' #165037 to a container with the name 'Rasyon Bölgesi Deposu' #9837.
[16:54:45	]CrashLog has connected.
[16:54:45	]C24:i3.KING-20 has lost a 'Metropolice Takviyeleri' #165036.
[16:54:45	]C24:i3.KING-20 has transferred a 'Metropolice Takviyeleri' #165036 to a container with the name 'Rasyon Bölgesi Deposu' #9837.
[16:54:48	]C24:i3.KING-20 closed the 'Rasyon Bölgesi Deposu' stash.
[16:54:49	]elbbrown (STEAM_0:0:844114355) has disconnected.
[16:54:49	]C24:i3.KING-20 ran 'Consume' on item 'Metropolice Takviyeleri' (#165010)
[16:54:49	]C24:i3.KING-20 extended their level 3 long boost in Güç.
[16:55:13	]C24:i3.KING-20 ran 'Use' on item '20 Kredi Kuponu' (#165038)
[16:55:15	]C24:i3.KING-20 has used a coupon at a ration dispenser, gaining 20 credits.
[16:55:41	]C24:i5.(X)KING-19 used command '/ExitAct'.
[16:55:51	]CrashLog loaded the character 'Subütai Makhachev'
[16:56:29	]C24:i3.KING-20 entered observer.
[16:56:36	]C24:i3.KING-20 exited observer at their location.
[16:57:04	]Subütai Makhachev has gained a 'Yeniden Konumlandırma Kuponu' #165047.
[16:57:23	][IC] C24:i5.(X)KING-19: <:: Evet? ::>
[16:57:25	][IC] C24:i5.(X)KING-19: <:: Ne. ::>
[16:57:26	]C24:i3.KING-20 entered observer.
[16:57:30	]C24:i3.KING-20 exited observer at their location.
[16:57:36	][LOOC] C24:i5.(X)KING-19: bilmem :D
[16:57:52	]Subütai Makhachev has gained a 'Kırık Alıcı' #165051.
[16:58:00	]Subütai Makhachev ran 'drop' on item 'Kırık Alıcı' (#165051)
[16:58:00	]Subütai Makhachev has lost a 'Kırık Alıcı' #165051.
[16:58:08	]C24:i5.(X)KING-19 ran 'take' on item 'Kırık Alıcı' (#165051)
[16:58:08	]C24:i5.(X)KING-19 has gained a 'Kırık Alıcı' #165051.
[16:58:22	][IC] C24:i5.(X)KING-19: <:: Bu yasak değil benim bildiğim kadarıyla. ::>
[16:58:24	]C24:i5.(X)KING-19 ran 'drop' on item 'Kırık Alıcı' (#165051)
[16:58:24	]C24:i5.(X)KING-19 has lost a 'Kırık Alıcı' #165051.
[16:58:29	]Subütai Makhachev destroyed a 'Kırık Alıcı' #165051.
[16:58:45	]Subütai Makhachev used command '/ID'.
[16:58:51	][IC] C24:i5.(X)KING-19: <:: Bunu sana söyleyemem. ::>
[16:59:06	]C24:i5.(X)KING-19 used command '/Datafile Subütai'.
[16:59:16	][IC] C24:i5.(X)KING-19: <:: Tamam olursun. ::>
[16:59:23	]Alastor has unloaded their "Kemal Şengör" character.
[16:59:26	][IC] C24:i5.(X)KING-19: <:: Dosyan çok kabarık değilse. ::>
[16:59:27	]Alastor loaded the character 'Kemal Şengör'
[16:59:31	][IC] C24:i5.(X)KING-19: <:: Hafif suçlar işlediysen. ::>
[16:59:48	]C24:i5.(X)KING-19 ran 'Use' on item '20 Kredi Kuponu' (#164989)
[16:59:50	]C24:i5.(X)KING-19 has used a coupon at a ration dispenser, gaining 20 credits.
[16:59:53	]Alastor has unloaded their "Kemal Şengör" character.
[16:59:57	]Alastor loaded the character 'GOREGES FREEMAN'
[17:00:00	]Subütai Makhachev opened the 'Çöp Konteyneri' #10954 container.
[17:00:02	]Subütai Makhachev closed the 'Çöp Konteyneri' #10954 container.
