[14:55:42	]Neo-Wolffe has connected.
[14:58:20	]Neo-Wolffe has used a context menu option with the name: remove
[14:58:24	]Neo-Wolffe has used a context menu option with the name: collision_off
[14:58:26	]Neo-Wolffe entered observer.
[14:58:27	]Neo-Wolffe exited observer at their location.
[14:58:46	]Neo-Wolffe has used a context menu option with the name: collision_off
[14:58:48	]Neo-Wolffe has used a context menu option with the name: clientprop
[14:59:24	]Neo-Wolffe has used a context menu option with the name: clientprop
[14:59:49	]Neo-Wolffe has used a context menu option with the name: clientprop
[14:59:53	]Neo-Wolffe has used a context menu option with the name: keepupright
[14:59:54	]Neo-Wolffe has used a context menu option with the name: remove
[14:59:56	]Neo-Wolffe has used a context menu option with the name: remove
[15:00:01	]Neo-Wolffe has used a context menu option with the name: remove
[15:00:06	]Neo-Wolffe has used a context menu option with the name: remove
[15:00:22	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:23	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:23	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:23	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:23	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:23	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:24	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:24	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:24	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:24	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:24	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:25	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:25	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:25	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:25	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:26	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:26	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:26	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:26	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:26	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:27	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:27	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:27	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:27	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:27	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:28	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:28	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:29	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:29	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:29	]Neo-Wolffe has fired a toolgun with the name: remover
[15:00:42	]Neo-Wolffe has spawned 'models/props/cs_militia/fireplace01.mdl'.
[15:00:47	]Neo-Wolffe entered observer.
[15:00:48	]Neo-Wolffe exited observer at their location.
[15:00:49	]Neo-Wolffe has spawned 'models/props/cs_militia/fireplace01.mdl'.
[15:00:57	]Neo-Wolffe has spawned 'models/props/cs_militia/fireplacechimney01.mdl'.
[15:00:58	]Neo-Wolffe has spawned 'models/vj_props/fireplace.mdl'.
[15:01:01	]Neo-Wolffe entered observer.
[15:01:02	]Neo-Wolffe exited observer at their location.
[15:01:06	]Neo-Wolffe has spawned 'models/props/de_inferno/fireplace.mdl'.
[15:01:36	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:01:38	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:01:39	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/tirepile01.mdl'.
[15:01:41	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:01:42	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:01:46	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:01:54	]Neo-Wolffe has used a context menu option with the name: collision_on
[15:01:56	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:02:00	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:02:07	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:02:09	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:02:18	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:02:19	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:02:25	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:02:45	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:03:08	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks02.mdl'.
[15:03:19	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:03:21	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:03:45	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:03:51	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:03:52	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:03:58	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:04:10	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:04:13	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:04:15	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:04:23	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:04:39	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:04:47	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:04:57	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:05:09	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:05:15	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:05:17	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:05:23	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:05:50	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:05:52	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:06:02	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:06:13	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:06:17	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:06:20	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:06:23	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:06:26	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:06:36	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:06:55	]Neo-Wolffe entered observer.
[15:07:24	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:07:25	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:07:26	]Neo-Wolffe exited observer at their location.
[15:07:29	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:07:36	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:07:37	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:07:42	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:07:49	]Neo-Wolffe entered observer.
[15:07:51	]Neo-Wolffe exited observer at their location.
[15:07:55	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:07:58	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:07:59	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:08:02	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:08:04	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:08:18	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:08:19	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:08:19	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:08:27	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:08:35	]Neo-Wolffe entered observer.
[15:08:46	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:08:52	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:08:56	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:09:10	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:09:13	]Neo-Wolffe exited observer at their location.
[15:09:24	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:09:26	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:09:39	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:09:43	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:09:44	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[15:09:45	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:10:13	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:10:15	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:10:22	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:10:27	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:10:28	]Neo-Wolffe has used a context menu option with the name: collision_on
[15:10:30	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:10:34	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:10:43	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:10:50	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:10:52	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:10:59	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:11:24	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:11:26	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:11:33	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:11:37	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:11:50	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:11:54	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:11:58	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[15:12:01	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:12:46	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:12:53	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:13:01	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:13:23	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:13:25	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:13:28	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:13:33	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:14:25	]Neo-Wolffe entered observer.
[15:14:25	]Neo-Wolffe exited observer at their location.
[15:14:26	]Neo-Wolffe entered observer.
[15:14:27	]Neo-Wolffe exited observer at their location.
[15:14:41	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:14:50	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:15:20	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:15:27	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:15:43	]Neo-Wolffe has used a context menu option with the name: collision_on
[15:15:46	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:15:50	]Neo-Wolffe created a stash (models/mosi/fallout4/props/fortifications/stonewallold03.mdl).
[15:15:50	]Neo-Wolffe has used a context menu option with the name: ixcreatestash
[15:15:54	]Neo-Wolffe opened the 'Personal Stash 4864' stash.
[15:15:56	]Neo-Wolffe closed the 'Personal Stash 4864' stash.
[15:15:58	]Neo-Wolffe has used a context menu option with the name: remove
[15:16:17	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:16:20	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:16:39	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:00	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:08	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:10	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:29	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:32	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:33	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:17:37	]Neo-Wolffe has used a context menu option with the name: collision_off
[15:17:42	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:43	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:17:46	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:18:00	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:18:07	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:18:33	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:18:41	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:18:58	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:19:01	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:19:09	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:19:53	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:19:54	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:20:14	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:20:31	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:20:33	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:21:04	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/planks05.mdl'.
[15:21:05	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/planks04.mdl'.
[15:21:06	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/planks03.mdl'.
[15:22:02	]Neo-Wolffe entered observer.
[15:22:06	]Neo-Wolffe exited observer at their location.
[15:22:09	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:22:11	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:22:12	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:22:14	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:22:15	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:22:16	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:22:53	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/planks04.mdl'.
[15:22:54	]Neo-Wolffe has spawned 'models/mosi/fallout4/props/fortifications/planks03.mdl'.
[15:23:20	]Neo-Wolffe has spawned a 'Entity [4350][sent_vj_fireplace]'.
[15:23:49	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:23:58	]Neo-Wolffe has enabled persistence for 'models/vj_props/fireplace.mdl'.
[15:23:58	]Neo-Wolffe has used a context menu option with the name: persist
[15:24:26	]Neo-Wolffe has spawned 'models/vj_hlr/gibs/bleachbones_bskull_template1.mdl'.
[15:24:31	]Neo-Wolffe entered observer.
[15:24:40	]Neo-Wolffe exited observer at their location.
[15:24:44	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:24:45	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:25:02	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:02	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:03	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:03	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:03	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:03	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:03	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:04	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:04	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:04	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:04	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:04	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:05	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:05	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:05	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:05	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:05	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:06	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:06	]Neo-Wolffe has taken 1 damage from entityflame.
[15:25:06	]Neo-Wolffe is fully healed.
[15:25:16	]Neo-Wolffe has spawned 'models/props_c17/doll01.mdl'.
[15:25:20	]Neo-Wolffe has used a context menu option with the name: remove
[15:25:26	]Neo-Wolffe has spawned 'models/Gibs/HGIBS.mdl'.
[15:25:27	]Neo-Wolffe entered observer.
[15:25:35	]Neo-Wolffe exited observer at their location.
[15:25:36	]Neo-Wolffe entered observer.
[15:25:45	]Neo-Wolffe has spawned 'models/props_lab/huladoll.mdl'.
[15:25:58	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:26:12	]Neo-Wolffe has spawned 'models/props_lab/headcrabprep.mdl'.
[15:26:16	]Neo-Wolffe has used a context menu option with the name: remove
[15:26:18	]Neo-Wolffe has spawned 'models/props_combine/headcrabcannister01b.mdl'.
[15:26:20	]Neo-Wolffe has spawned 'models/props_combine/headcrabcannister01a.mdl'.
[15:26:21	]Neo-Wolffe has spawned 'models/props_combine/headcrabcannister01a_skybox.mdl'.
[15:26:38	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:26:39	]Neo-Wolffe exited observer at their location.
[15:26:40	]Neo-Wolffe entered observer.
[15:26:56	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:26:58	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:26:59	]Neo-Wolffe exited observer at their location.
[15:27:05	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:27:09	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:27:38	]Neo-Wolffe has spawned 'models/hunter/plates/plate4x5.mdl'.
[15:27:52	]Neo-Wolffe has spawned 'models/hunter/plates/plate1x3.mdl'.
[15:27:53	]Neo-Wolffe has spawned 'models/hunter/plates/plate1x4.mdl'.
[15:27:54	]Neo-Wolffe has spawned 'models/hunter/plates/plate1x5.mdl'.
[15:27:56	]Neo-Wolffe has spawned 'models/hunter/plates/plate3x5.mdl'.
[15:27:58	]Neo-Wolffe has spawned 'models/hunter/plates/plate3x4.mdl'.
[15:28:27	]Neo-Wolffe has fired a toolgun with the name: material
[15:28:29	]Neo-Wolffe has fired a toolgun with the name: material
[15:28:31	]Neo-Wolffe has fired a toolgun with the name: material
[15:28:32	]Neo-Wolffe has fired a toolgun with the name: material
[15:28:34	]Neo-Wolffe has fired a toolgun with the name: material
[15:28:40	]Neo-Wolffe entered observer.
[15:28:45	]Neo-Wolffe exited observer at their location.
[15:28:48	]Neo-Wolffe has enabled persistence for 'models/hunter/plates/plate3x4.mdl'.
[15:28:48	]Neo-Wolffe has used a context menu option with the name: persist
[15:28:53	]Neo-Wolffe has fired a toolgun with the name: material
[15:29:00	]Neo-Wolffe has fired a toolgun with the name: colour
[15:29:12	]Neo-Wolffe has fired a toolgun with the name: colour
[15:29:34	]Neo-Wolffe has disabled persistence for 'models/hunter/plates/plate3x4.mdl'.
[15:29:34	]Neo-Wolffe has used a context menu option with the name: persist_end
[15:29:50	]Neo-Wolffe has used a context menu option with the name: clientprop
[15:29:55	]Neo-Wolffe has enabled persistence for 'models/hunter/plates/plate3x4.mdl'.
[15:29:55	]Neo-Wolffe has used a context menu option with the name: persist
[15:30:11	]Neo-Wolffe entered observer.
[15:30:13	]Neo-Wolffe exited observer at their location.
[15:30:13	]Neo-Wolffe entered observer.
[15:30:15	]Neo-Wolffe exited observer at their location.
[15:31:19	]Neo-Wolffe (STEAM_0:1:147154620) has disconnected.
[19:11:00	]Enistein has connected.
[19:13:30	]Enistein created the character 'Test Test'
[19:13:31	]Enistein loaded the character 'Test Test'
[19:13:31	]Test Test has gained a 'Açık Gri Kol Bandı' #1.
[19:13:31	]Test Test has gained a '#03254 Kimlik Kartı' #2.
[19:13:34	]Test Test entered observer.
[19:13:49	]Test Test used command '/SpawnRemove 500'.
[19:14:06	]Test Test exited observer at their location.
[19:14:13	]Test Test used command '/SpawnAdd citizen'.
[19:14:14	]Test Test entered observer.
[19:14:15	]Test Test exited observer at their location.
[19:14:19	]Test Test used command '/SpawnAdd citizen'.
[19:14:23	]Test Test used command '/SpawnAdd citizen'.
[19:14:26	]Test Test entered observer.
[19:14:27	]Test Test exited observer at their location.
[19:14:27	]Test Test used command '/SpawnAdd citizen'.
[19:14:29	]Test Test used command '/SpawnAdd citizen'.
[19:14:29	]Test Test entered observer.
[19:14:32	]Test Test exited observer at their location.
[19:14:33	]Test Test entered observer.
[19:14:33	]Test Test exited observer at their location.
[19:14:34	]Test Test entered observer.
[19:14:34	]Test Test exited observer at their location.
[19:14:35	]Test Test entered observer.
[19:14:36	]Test Test exited observer at their location.
[19:14:36	]Test Test entered observer.
[19:14:50	]Test Test exited observer at their location.
[19:14:52	]Enistein has unloaded their "Test Test" character.
[19:15:24	]Enistein loaded the character 'Test Test'
[19:15:26	]Test Test entered observer.
[19:15:40	]Test Test exited observer at their location.
[19:15:45	]Test Test used command '/SpawnAdd citizen outlaw'.
[19:15:45	]Test Test entered observer.
[19:15:46	]Test Test exited observer at their location.
[19:15:50	]Test Test used command '/SpawnAdd citizen kaçkın'.
[19:18:58	]Test Test used command '/SpawnAdd citizen outcast'.
[19:18:59	]Test Test entered observer.
[19:19:00	]Test Test exited observer at their location.
[19:19:04	]Test Test used command '/SpawnAdd citizen outcast'.
[19:19:04	]Test Test entered observer.
[19:19:06	]Test Test exited observer at their location.
