[12:42:56	]Mersa has connected.
[13:25:52	]Stan Marble has spawned 'models/jq/hlvr/props/xen/combine_foam_applicator.mdl'.
[13:25:54	]Stan Marble has spawned 'models/jq/hlvr/props/xen/combine_foam_tank_set.mdl'.
[13:25:55	]Stan Marble has spawned 'models/jq/hlvr/props/xen/xen_foam_base001.mdl'.
[13:25:58	]Stan Marble has spawned 'models/jq/hlvr/props/xen/xen_foam_blobs001_large.mdl'.
[13:26:00	]Stan Marble has spawned 'models/jq/hlvr/props/xen/xen_foam_floor_wall001.mdl'.
[13:26:04	]Stan Marble has spawned 'models/jq/hlvr/props/xen/xen_foam_pillar001.mdl'.
[13:26:06	]Stan Marble has spawned 'models/jq/hlvr/props/xen/xen_foam_wall001.mdl'.
[13:26:20	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor003.mdl'.
[13:26:40	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor005.mdl'.
[13:26:48	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_neck_piece.mdl'.
[13:27:00	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_plant_4_head_2.mdl'.
[13:27:04	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin002.mdl'.
[13:27:08	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_corner001_convex.mdl'.
[13:28:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small005.mdl'.
[13:28:28	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small004.mdl'.
[13:28:40	]Stan Marble has spawned 'models/jq/hlvr/props/infestation/p1/rock_5.mdl'.
[13:28:46	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster002.mdl'.
[13:28:56	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_mush_floor03.mdl'.
[13:28:59	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_tendrils.mdl'.
[13:29:06	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_blob001.mdl'.
[13:29:30	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001.mdl'.
[13:29:39	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[13:29:41	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_villi_prong.mdl'.
[13:29:43	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin003.mdl'.
[13:29:46	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin001.mdl'.
[13:29:47	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_coralear04.mdl'.
[13:29:52	]Stan Marble has spawned 'models/jq/hlvr/props/infestation/p1/boomerplant_exploded.mdl'.
[13:30:00	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster002.mdl'.
[13:30:06	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:30:11	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:30:13	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_floor_wall001.mdl'.
[13:30:16	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_wide.mdl'.
[13:30:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[13:30:34	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[13:30:42	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[13:30:47	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[13:30:51	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[13:30:58	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001.mdl'.
[13:31:01	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[13:31:03	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_mid.mdl'.
[13:33:15	][INFESTATION] Stan Marble (STEAM_0:0:188549543)  has entered Infestation Edit Mode.
[13:33:15	]Stan Marble used command '/InfestationEdit'.
[13:33:58	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001_wide002.mdl'.
[13:34:01	]Stan Marble has fired a toolgun with the name: remover
[13:34:14	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[13:34:23	]Stan Marble has spawned 'models/hlvr/distillery_gunk/distillerygunk_gunk.mdl'.
[13:34:41	]Stan Marble has fired a toolgun with the name: remover
[13:35:06	]Stan Marble has fired a toolgun with the name: remover
[13:35:07	]Stan Marble has fired a toolgun with the name: remover
[13:35:07	]Stan Marble has fired a toolgun with the name: remover
[13:35:08	]Stan Marble has fired a toolgun with the name: remover
[13:35:10	]Stan Marble has fired a toolgun with the name: remover
[13:35:11	]Stan Marble has fired a toolgun with the name: remover
[13:35:13	]Stan Marble has fired a toolgun with the name: remover
[13:35:18	]Stan Marble has fired a toolgun with the name: remover
[13:35:18	]Stan Marble has fired a toolgun with the name: remover
[13:35:19	]Stan Marble has fired a toolgun with the name: remover
[13:35:20	]Stan Marble has fired a toolgun with the name: remover
[13:35:20	]Stan Marble has fired a toolgun with the name: remover
[13:35:20	]Stan Marble has fired a toolgun with the name: remover
[13:35:20	]Stan Marble has fired a toolgun with the name: remover
[13:35:21	]Stan Marble has fired a toolgun with the name: remover
[13:35:22	]Stan Marble has fired a toolgun with the name: remover
[13:35:23	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:23	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:24	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:24	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:25	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:25	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:26	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:26	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:26	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:26	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:26	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:26	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:27	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:27	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:27	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:27	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:27	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:28	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:28	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:28	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:28	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:28	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:28	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:28	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:28	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:28	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:28	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:29	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:29	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:34	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:34	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:35	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:35	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:36	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:36	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:36	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:36	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:37	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:37	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:39	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:39	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:40	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:40	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:40	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:40	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:41	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:41	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:41	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:41	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:42	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:42	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:44	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:44	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:44	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:44	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:44	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:44	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:45	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:45	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:46	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:46	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:47	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:47	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:35:47	]Stan Marble has fired a toolgun with the name: duplicator
[13:35:47	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:36:17	]Stan Marble has fired a toolgun with the name: remover
[13:36:23	]Stan Marble has fired a toolgun with the name: remover
[13:36:24	]Stan Marble has fired a toolgun with the name: remover
[13:36:32	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001.mdl'.
[13:36:41	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_bz_coralearpod01.mdl'.
[13:36:42	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[13:36:45	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_coral_01.mdl'.
[13:36:47	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_coralear01.mdl'.
[13:36:49	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_coralear03.mdl'.
[13:36:51	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_plant_4_head_2.mdl'.
[13:36:52	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_jelly_blob001.mdl'.
[13:36:59	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster003.mdl'.
[13:37:04	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[13:37:08	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[13:37:12	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[13:37:21	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster003.mdl'.
[13:37:27	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster002.mdl'.
[13:37:34	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[13:37:47	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_blower002.mdl'.
[13:37:49	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_blower002.mdl'.
[13:38:02	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[13:38:14	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall001_wide.mdl'.
[13:38:29	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001.mdl'.
[13:38:33	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_flower001_leaf_large.mdl'.
[13:38:39	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_flower001_leaf_med.mdl'.
[13:38:44	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_clusterpod_008.mdl'.
[13:38:49	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[13:38:54	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin002.mdl'.
[13:39:00	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin003.mdl'.
[13:39:04	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_flower003.mdl'.
[13:39:11	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[13:39:15	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001.mdl'.
[13:39:50	][INFESTATION] Stan Marble (STEAM_0:0:188549543) created a new erebus-Class "New Infestation Zone" Infestation Zone.
[13:40:02	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small005.mdl'.
[13:40:18	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster003.mdl'.
[13:40:21	][INFESTATION] Stan Marble (STEAM_0:0:188549543) has exited Infestation Edit Mode.
[13:40:28	]Stan Marble has fired a toolgun with the name: remover
[13:40:47	]Stan Marble has fired a toolgun with the name: remover
[13:40:55	]Stan Marble has fired a toolgun with the name: remover
[13:43:01	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin001.mdl'.
[13:43:03	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_coralear04.mdl'.
[13:43:06	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[13:43:18	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster002.mdl'.
[13:43:58	]Stan Marble has spawned a ic_coarctate_mucus.
[13:44:01	]Stan Marble has spawned a applicator.
[13:44:01	]Stan Marble ran 'take' on item 'applicatorItemName' (#70628)
[13:44:01	]Stan Marble has gained a 'applicatorItemName' #70628.
[13:44:06	]Stan Marble has spawned a applicator.
[13:44:09	]Stan Marble ran 'Equip' on item 'applicatorItemName' (#70628)
[13:44:11	]Stan Marble ran 'Attach' on item 'applicatorItemName' (#70628)
[13:44:13	]Stan Marble ran 'drop' on item 'applicatorItemName' (#70628)
[13:44:13	]Stan Marble has lost a 'applicatorItemName' #70628.
[13:44:15	]Stan Marble has fired a toolgun with the name: remover
[13:44:15	]Stan Marble has fired a toolgun with the name: remover
[13:44:16	]Stan Marble has fired a toolgun with the name: remover
[13:47:54	]Stan Marble has spawned a junk_empty_water.
[13:47:56	]Stan Marble has spawned a junk_empty_water.
[13:47:58	]Stan Marble has spawned a junk_coffeecup.
[13:48:01	]Stan Marble has spawned a junk_jug.
[13:48:04	]Stan Marble has spawned a junk_takeaway.
[13:48:08	]Stan Marble has spawned a junk_paintcan.
[13:48:12	]Stan Marble has spawned a junk_empty_bobwater.
[13:48:20	]Stan Marble has spawned a junk_empty_water.
[13:48:23	]Stan Marble has spawned a junk_empty_water.
[13:48:26	]Stan Marble has spawned a junk_empty_water.
[13:48:27	]Stan Marble has spawned a junk_empty_water.
[13:48:28	]Stan Marble has spawned a junk_paintcan.
[13:48:30	]Stan Marble has spawned a junk_empty_water.
[13:48:34	]Stan Marble has spawned a junk_empty_whiskey.
[13:48:37	]Stan Marble has spawned a junk_coffeecup.
[13:49:49	]Stan Marble has spawned a junk_jar.
[13:49:51	]Stan Marble has spawned a junk_empty_water.
[13:49:54	]Stan Marble has spawned a junk_empty_water.
[13:49:55	]Stan Marble has spawned a junk_jar.
[13:49:58	]Stan Marble has spawned a junk_jar.
[13:49:59	]Stan Marble has spawned a junk_empty_water.
[13:50:01	]Stan Marble has spawned a junk_empty_water.
[13:50:02	]Stan Marble has spawned a junk_jar.
[13:50:04	]Stan Marble has spawned a junk_jar.
[13:50:06	]Stan Marble has spawned a junk_jar.
[13:50:10	]Stan Marble has fired a toolgun with the name: remover
[13:50:11	]Stan Marble has fired a toolgun with the name: remover
[13:50:11	]Stan Marble has fired a toolgun with the name: remover
[13:50:11	]Stan Marble has fired a toolgun with the name: remover
[13:50:16	]Stan Marble has spawned a junk_jar.
[13:50:17	]Stan Marble has spawned a junk_empty_water.
[13:50:19	]Stan Marble has spawned a junk_empty_water.
[13:50:20	]Stan Marble has spawned a junk_empty_water.
[13:50:30	]Stan Marble has spawned a junk_jar.
[13:50:34	]Stan Marble has spawned a junk_jar.
[13:50:36	]Stan Marble has spawned a junk_jar.
[13:50:39	]Stan Marble has spawned a junk_empty_water.
[13:50:40	]Stan Marble has spawned a junk_empty_water.
[13:50:46	]Stan Marble has spawned a junk_empty_water.
[13:50:47	]Stan Marble has spawned a junk_jar.
[13:54:44	]Stan Marble has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_trashbag.mdl'.
[13:54:56	]Stan Marble has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_container.mdl'.
[13:55:02	]Stan Marble has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_detector.mdl'.
[13:55:04	]Stan Marble has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_detector.mdl'.
[13:57:36	]Stan Marble has spawned a 'NPC [4825][npc_headcrab]'.
[13:58:17	]Stan Marble has fired a toolgun with the name: remover
[13:58:17	]Stan Marble has fired a toolgun with the name: remover
[13:58:45	]Enistein has connected.
[13:58:54	]Stan Marble exited observer.
[13:59:31	]Enistein loaded the character 'Theodore Abernathy'
[13:59:36	]Theodore Abernathy entered observer.
[13:59:41	]Theodore Abernathy exited observer at their location.
[13:59:41	]Theodore Abernathy entered observer.
[13:59:56	]Theodore Abernathy used command '/PanelRemove'.
[14:00:22	]Stan Marble entered observer.
[14:01:30	]Theodore Abernathy used command '/PanelRemove'.
[14:01:37	]Theodore Abernathy has used a context menu option with the name: remove
[14:02:16	]Theodore Abernathy is fully healed.
[14:06:08	]Stan Marble has spawned a 'NPC [2914][npc_stalker]'.
[14:06:54	]Stan Marble has spawned a 'NPC [2914][npc_stalker]'.
[14:08:04	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:07	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:08	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:18	]Sinyor Gordon has connected.
[14:08:22	]Theodore Abernathy exited observer at their location.
[14:08:23	]Enistein has unloaded their "Theodore Abernathy" character.
[14:08:29	]Enistein loaded the character 'Norgaun'
[14:08:34	]Norgaun is fully healed.
[14:08:41	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:44	]Norgaun entered observer.
[14:08:44	]Norgaun exited observer at their location.
[14:08:45	][IC] Norgaun: Weeeeeeeeeeeeeeeeeeeeah-uh *Coughing*.
[14:08:48	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:50	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:51	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:51	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:08:52	][IC] Stan Marble: *Sevinçle Bağırıyor!*.
[14:09:01	]Stan Marble used the 'VICE Ekipman Dağıtıcısı' vendor.
