[18:05:43	]Lynx has connected.
[18:33:17	][ME] John Hector: maske ve eldivenleri tıbbi atık poşetine atar.
[18:33:28	]Dugurhan Cohar exited observer at their location.
[18:33:29	]Dugurhan Cohar entered observer.
[18:33:34	]C24:i3.VICE-66[E] used command '/PM dugur combine sivil otoritedeki sohbete yazdığım sistem hakkında ne düşünüyorsun'.
[18:33:39	][ME] John Hector: kullanılan şırıngayı tıbbi atık poşetine atar.
[18:33:45	]John Freeman ran 'take' on item 'Kağıt' (#17276)
[18:33:45	]John Freeman has gained a 'Kağıt' #17276.
[18:33:52	]John Freeman opened the 'Large Metal Cabinet' #2532 container.
[18:33:56	]John Freeman ran 'split' on item 'Hurda Metal' (#17831)
[18:33:58	]John Freeman has gained a 'Hurda Metal' #18697 from a container with the name 'Large Metal Cabinet' #2532.
[18:34:01	]John Freeman ran 'split' on item 'Ahşap Tahta' (#16440)
[18:34:03	]John Freeman has gained a 'Ahşap Tahta' #18698 from a container with the name 'Large Metal Cabinet' #2532.
[18:34:04	]John Freeman closed the 'Large Metal Cabinet' #2532 container.
[18:34:05	]John Hector ran 'give' on item 'Morfin' (#18689)
[18:34:05	]C24:i3.VICE-66[E] has gained a level 4 short boost in Güç.
[18:34:05	]C24:i3.VICE-66[E] is fully healed.
[18:34:09	]John Freeman opened the 'File Cabinet' #2396 container.
[18:34:11	]John Freeman closed the 'File Cabinet' #2396 container.
[18:34:32	]John Freeman ran 'take' on item 'Makas' (#14726)
[18:34:32	]John Freeman has gained a 'Makas' #14726.
[18:34:36	]John Freeman has performed the 'Craft Not Defteri' action, gaining 40 experience in crafting.
[18:34:36	]John Freeman has gained a 'Not Defteri' #18699.
[18:34:44	]John Freeman ran 'drop' on item 'Makas' (#14726)
[18:34:44	]John Freeman has lost a 'Makas' #14726.
[18:35:14	]John Freeman ran 'drop' on item 'Not Defteri' (#18699)
[18:35:14	]John Freeman has lost a 'Not Defteri' #18699.
[18:35:17	]John Freeman ran 'take' on item 'Not Defteri' (#18699)
[18:35:17	]John Freeman has gained a 'Not Defteri' #18699.
[18:35:22	]John Freeman ran 'drop' on item 'Not Defteri' (#18699)
[18:35:22	]John Freeman has lost a 'Not Defteri' #18699.
[18:35:38	]Dugurhan Cohar exited observer at their location.
[18:35:39	][IT] John Hector: kişinin narkoz etkisi geçebilir.
[18:35:42	]John Freeman opened the 'Large Metal Cabinet' #2532 container.
[18:35:44	]Dugurhan Cohar used command '/ActSit'.
[18:35:46	]John Freeman has transferred a 'Cam kırıkları' #15097 to a container with the name 'Large Metal Cabinet' #2532.
[18:35:47	]Dugurhan Cohar used command '/ExitAct'.
[18:35:49	][ME] C24:i3.VICE-66[E]: sakınca uyanır
[18:35:50	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:35:52	]Dugurhan Cohar used command '/ActSit'.
[18:35:59	]John Freeman has gained a 'İlk Yardım Kiti' #16035 from a container with the name 'Large Metal Cabinet' #2532.
[18:36:03	]John Freeman closed the 'Large Metal Cabinet' #2532 container.
[18:36:25	]Dugurhan Cohar has used a context menu option with the name: skin
[18:36:27	]Dugurhan Cohar has used a context menu option with the name: skin
[18:36:30	][IC] John Hector: Efendim yinede sırtınıza dikkat edin.
[18:36:30	]Dugurhan Cohar has used a context menu option with the name: skin
[18:36:32	][ME] C24:i3.VICE-66[E]: escort sivil koruma yardımıyla ilerler
[18:36:34	][IC] C24:i3.VICE-66[E]: <:: Tamamdır. ::>
[18:36:40	]Dugurhan Cohar used command '/ExitAct'.
[18:36:42	][IC] John Hector: Yük gibi şeyler taşımaktan kaçının.
[18:36:45	][IC] C24:i3.VICE-66[E]: <:: Kimlik. ::>
[18:36:47	]Dugurhan Cohar has used a context menu option with the name: skin
[18:36:49	]John Hector used command '/ID'.
[18:36:51	]Dugurhan Cohar entered observer.
[18:36:57	]Dugurhan Cohar exited observer at their location.
[18:37:09	]Dugurhan Cohar has gained a 'Plastik Kova' #18700.
[18:37:20	][OOC] John Freeman: sextorian napıyno
[18:37:25	]Dugurhan Cohar entered observer.
[18:37:27	]Dugurhan Cohar exited observer at their location.
[18:37:41	][IC] John Hector: Efendim tıbbi kayıt için kimlik verebilir misiniz?
[18:37:47	]John Freeman used command '/ActCheer'.
[18:37:51	]C24:i3.VICE-66[E] used command '/ID'.
[18:37:52	]John Hector ran 'Open' on item 'CMRU PDA' (#18085)
[18:37:59	]John Freeman used command '/ActInjured'.
[18:38:01	]John Freeman used command '/ExitAct'.
[18:38:02	]Dugurhan Cohar has gained a 'Boş Bob Suyu' #18701.
[18:38:08	]Dugurhan Cohar ran 'drop' on item 'Boş Bob Suyu' (#18701)
[18:38:08	]Dugurhan Cohar has lost a 'Boş Bob Suyu' #18701.
[18:38:10	]John Freeman used command '/ActKnock'.
[18:38:13	]John Freeman used command '/ExitAct'.
[18:38:25	]John Hector ran 'Open' on item 'CMRU PDA' (#18085)
[18:38:42	]John Freeman used command '/ActWave'.
[18:38:54	]John Freeman used command '/ActStand'.
[18:38:58	]John Freeman used command '/ExitAct'.
[18:39:47	]C24:i3.VICE-66[E] used command '/ID'.
[18:39:48	]Dugurhan Cohar has used a context menu option with the name: remove
[18:39:52	]C24:i3.VICE-66[E] used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[18:39:57	]C24:i3.VICE-66[E] has gained 0 chips.
[18:39:57	]C24:i3.VICE-66[E] has gained a 'SK Üniforması' #18702.
[18:40:07	]Dugurhan Cohar entered observer.
[18:40:17	]Dugurhan Cohar exited observer at their location.
[18:40:29	]Dugurhan Cohar used command '/ActSit 6'.
[18:40:33	]Dugurhan Cohar used command '/ExitAct'.
[18:40:48	]Dugurhan Cohar has gained a 'Boş Bira Şişesi' #18703.
[18:41:10	]Dugurhan Cohar has gained a 'Boş Paket Servis' #18704.
[18:41:10	]Dugurhan Cohar has gained a 'Eski Lastik' #18705.
[18:41:46	]C24:i3.VICE-66[E] ran 'drop' on item 'SK Üniforması' (#14476)
[18:41:46	]C24:i3.VICE-66[E] has lost a 'SK Üniforması' #14476.
[18:41:52	]C24:i3.VICE-66[E] destroyed a 'SK Üniforması' #14476.
[18:42:00	]Dugurhan Cohar has gained a 'Boş Şarap Şişesi' #18706.
[18:42:01	]C24:i3.VICE-66[E] used command '/Radio 10-7'.
[18:42:34	][IC] John Freeman: Hugnry.
[18:42:34	]Dugurhan Cohar has gained a 'Boş Sağlık Şişesi' #18707.
[18:43:12	]Dugurhan Cohar has taken 1 damage from worldspawn.
[18:43:17	]Scientist has unloaded their "C24:i3.VICE-66[E]" character.
[18:43:18	]John Hector has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[18:43:21	][IC] John Freeman: God, I'm hungry.
[18:43:21	]Scientist loaded the character 'Albert Black'
[18:43:31	]John Hector ran 'take' on item 'Rasyon' (#18708)
[18:43:31	]John Hector has gained a 'Rasyon' #18708.
[18:43:46	]John Hector ran 'Open' on item 'Rasyon' (#18708)
[18:43:46	]John Hector has gained a 'Yapay Macun' #18709.
[18:43:46	]John Hector has gained a 'Breen'in Suyu' #18710.
[18:43:46	]John Hector has gained a '15 Kredi Kuponu' #18711.
[18:43:50	]John Hector ran 'Consume' on item 'Yapay Macun' (#18709)
[18:43:50	]John Hector has gained a 'Boş Kavanoz' #18712.
[18:43:53	]John Hector ran 'drop' on item 'Boş Kavanoz' (#18712)
[18:43:53	]John Hector has lost a 'Boş Kavanoz' #18712.
[18:43:53	]John Hector ran 'Consume' on item 'Breen'in Suyu' (#18710)
[18:43:53	]John Hector has gained a 'Boş Breen'in Suyu' #18713.
[18:43:55	]Albert Black used command '/PM d sence dediğim yapılabilir mi?'.
[18:43:56	]John Hector ran 'drop' on item 'Boş Breen'in Suyu' (#18713)
[18:43:56	]John Hector has lost a 'Boş Breen'in Suyu' #18713.
[18:44:07	]John Hector ran 'Use' on item '15 Kredi Kuponu' (#18711)
[18:44:07	]John Freeman ran 'take' on item 'Köpüklü Breen Suyu' (#18455)
[18:44:07	]John Freeman has gained a 'Köpüklü Breen Suyu' #18455.
[18:44:09	]John Hector has used a coupon at a ration dispenser, gaining 15 credits.
[18:44:13	]John Freeman ran 'Consume' on item 'Köpüklü Breen Suyu' (#18455)
[18:44:13	]John Freeman has gained a 'Boş Breen'in Suyu' #18714.
[18:44:15	]Dugurhan Cohar has taken 1 damage from worldspawn.
[18:44:16	]Albert Black used command '/PM du çünkü kan grubunu bilmezsek serum takamyız'.
[18:44:40	]Dugurhan Cohar entered observer.
[18:44:45	]Dugurhan Cohar exited observer at their location.
[18:44:47	]Dugurhan Cohar entered observer.
[18:44:55	]Dugurhan Cohar exited observer at their location.
[18:44:58	]Dugurhan Cohar entered observer.
[18:45:03	]Dugurhan Cohar exited observer at their location.
[18:45:10	]John Hector ran 'take' on item 'Köpüklü Breen Suyu' (#18453)
[18:45:10	]John Hector has gained a 'Köpüklü Breen Suyu' #18453.
[18:45:14	]Dugurhan Cohar has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[18:45:27	]Dugurhan Cohar ran 'take' on item 'Rasyon' (#18715)
[18:45:27	]Dugurhan Cohar has gained a 'Rasyon' #18715.
[18:45:33	]John Hector ran 'drop' on item 'Köpüklü Breen Suyu' (#18453)
[18:45:33	]John Hector has lost a 'Köpüklü Breen Suyu' #18453.
[18:45:44	]Albert Black ran 'Consume' on item 'Köpüklü Breen Suyu' (#18453)
[18:45:44	]Albert Black has gained a 'Boş Breen'in Suyu' #18716.
[18:45:46	]John Freeman opened the 'Medium File Cabinet' #2652 container.
[18:45:49	]John Freeman closed the 'Medium File Cabinet' #2652 container.
[18:45:56	]Dugurhan Cohar ran 'Open' on item 'Rasyon' (#18715)
[18:45:56	]Dugurhan Cohar has gained a 'Yapay Macun' #18717.
[18:45:56	]Dugurhan Cohar has gained a 'Breen'in Suyu' #18718.
[18:45:56	]Dugurhan Cohar has gained a '15 Kredi Kuponu' #18719.
[18:45:57	]Dugurhan Cohar ran 'Use' on item '15 Kredi Kuponu' (#18719)
[18:45:58	]John Freeman used command '/ActSit 4'.
[18:45:59	]John Freeman used command '/ExitAct'.
[18:46:01	]Dugurhan Cohar ran 'Use' on item '15 Kredi Kuponu' (#18719)
[18:46:01	]Albert Black is fully healed.
[18:46:01	]John Freeman used command '/ActSit 5'.
[18:46:03	]Dugurhan Cohar has used a coupon at a ration dispenser, gaining 15 credits.
[18:46:03	]John Freeman used command '/ExitAct'.
[18:46:05	]John Freeman used command '/ActSit 6'.
[18:46:07	]John Freeman used command '/ExitAct'.
[18:46:08	]John Freeman used command '/ActSit 7'.
[18:46:09	]John Freeman used command '/ExitAct'.
[18:46:11	]John Freeman used command '/ActSit 8'.
[18:46:12	]John Freeman used command '/ExitAct'.
[18:46:14	]John Freeman used command '/ActSit 1'.
[18:46:15	]John Freeman used command '/ExitAct'.
[18:46:17	]John Freeman used command '/ActSit 2'.
[18:46:18	]John Freeman used command '/ExitAct'.
[18:46:19	]John Freeman used command '/ActSit 3'.
[18:46:21	]John Freeman used command '/ExitAct'.
[18:46:27	]John Freeman used command '/ActSit 5'.
[18:46:44	]Albert Black used command '/PM d yapacağım admin çağırıp eşyaları alacağım'.
[18:47:03	][IC] John Freeman: *Coughing*.
[18:47:05	]Dugurhan Cohar used command '/PM Albert ben vereyim istersen, bide maske dağıttı mı size revain'.
[18:47:06	]John Freeman is fully healed.
[18:47:20	]Albert Black ran SAM command 'asay' with arguments: 'admin gerekli'
[18:47:25	]Albert Black opened the 'Depo Dolabı' #2061 container.
[18:47:26	]Albert Black closed the 'Depo Dolabı' #2061 container.
[18:47:26	]Dugurhan Cohar entered observer.
[18:47:29	]Dugurhan Cohar exited observer at their location.
[18:47:36	][LOOC] Dugurhan Cohar: heh
[18:47:40	][IC] John Freeman: Ght sad.
[18:47:40	][IC] Albert Black: He.
[18:47:45	][IC] Albert Black: Şu dolaplara.
[18:47:46	][IC] John Freeman: We thought you were here to help!
[18:47:48	][IC] Albert Black: Kilit koyulması lazım.
[18:47:53	][IC] John Freeman: We thought you were here to help!
[18:47:54	]Dugurhan Cohar opened the 'Depo Dolabı' #2061 container.
[18:47:58	]Dugurhan Cohar closed the 'Depo Dolabı' #2061 container.
[18:47:59	][IC] Dugurhan Cohar: Tamamdır.
[18:48:00	]Dugurhan Cohar opened the 'Depo Dolabı' #2061 container.
[18:48:03	]Dugurhan Cohar closed the 'Depo Dolabı' #2061 container.
[18:48:33	][IC] Dugurhan Cohar: Şifre ne olsun.
[18:48:45	]Albert Black opened the 'Depo Dolabı' #2061 container.
[18:48:47	]Albert Black closed the 'Depo Dolabı' #2061 container.
[18:48:47	][IC] Dugurhan Cohar: ?
[18:48:55	]Dugurhan Cohar has spawned a cmrulock.
[18:48:57	][IC] Dugurhan Cohar: Yada dur.
[18:49:00	]Dugurhan Cohar opened the 'Depo Dolabı' #2061 container.
[18:49:00	]Dugurhan Cohar closed the 'Depo Dolabı' #2061 container.
[18:49:03	][IC] Albert Black: Birde.
[18:49:05	][IC] John Hector: 1844.
[18:49:07	][IC] Albert Black: Doktorlarda ışık olur.
[18:49:09	][IC] Albert Black: Vendora.
[18:49:14	]Dugurhan Cohar has spawned a flashlight.
[18:49:19	]Dugurhan Cohar ran 'take' on item 'Flashlight' (#18721)
[18:49:19	]Dugurhan Cohar has gained a 'Flashlight' #18721.
[18:49:20	][IC] Albert Black: Flashlight ekle ameliyatta kullanırız.
[18:49:23	]Dugurhan Cohar ran 'take' on item 'CMRU Lock' (#18720)
[18:49:30	]Albert Black ran 'take' on item 'CMRU Lock' (#18720)
[18:49:33	]Dugurhan Cohar ran 'drop' on item 'Eski Lastik' (#18705)
[18:49:33	]Dugurhan Cohar has lost a 'Eski Lastik' #18705.
[18:49:34	]Albert Black ran 'Place' on item 'CMRU Lock' (#18720)
[18:49:35	]Albert Black used the 'SMB Teçhizat Dağıtıcısı' vendor.
[18:49:37	]Dugurhan Cohar ran 'take' on item 'CMRU Lock' (#18720)
[18:49:37	]Dugurhan Cohar has gained a 'CMRU Lock' #18720.
[18:49:46	]Dugurhan Cohar ran 'Place' on item 'CMRU Lock' (#18720)
[18:49:50	]Dugurhan Cohar opened the 'Depo Dolabı' #2061 container.
[18:49:53	]Dugurhan Cohar closed the 'Depo Dolabı' #2061 container.
[18:50:03	][IC] Dugurhan Cohar: Direk bu kapıya SMAB kilidi koyayım mı.
[18:50:08	][IC] Albert Black: Daha mantıklı.
[18:50:14	][IC] John Hector: Olir.
[18:50:14	][IC] Dugurhan Cohar: Tamamdır.
[18:50:14	][IC] Albert Black: O zaman level 1 keycard ver.
[18:50:17	][IC] Albert Black: Linixe.
[18:50:18	][IC] Albert Black: Lynx.
[18:50:23	]Dugurhan Cohar ran 'Place' on item 'CMRU Lock' (#18720)
[18:50:35	]Dugurhan Cohar has spawned a cmru_card.
[18:50:41	][IC] Dugurhan Cohar: Yere koydum.
[18:50:43	][IC] Dugurhan Cohar: Acces card.
[18:50:48	]John Hector ran 'take' on item 'CMRU Level 1 Access Keycard' (#18722)
[18:50:48	]John Hector has gained a 'CMRU Level 1 Access Keycard' #18722.
[18:50:54	][IC] Albert Black: Vendora.
[18:50:57	][IC] Dugurhan Cohar: Açıp kapamayı dene.
[18:51:02	][IC] Albert Black: Flashlight eklenmesi lazım.
[18:51:03	]John Hector ran 'Bind' on item 'CMRU Level 1 Access Keycard' (#18722)
[18:51:06	][IC] Albert Black: Level 1 değişl.
[18:51:07	][IC] Albert Black: Bu.
[18:51:10	][IC] Albert Black: Cpler ayarlıyor.
[18:51:46	][IC] Dugurhan Cohar: Direk CMRU acces card olarak geçiyor.
[18:52:00	][IC] Dugurhan Cohar: Açıp kilitleyebilir musun.
[18:52:02	][IC] Dugurhan Cohar: Tamamdır.
[18:52:02	][IC] John Freeman: Civil Protection!
[18:52:03	][IC] Albert Black: Banada lazım.
[18:52:04	][IC] John Freeman: Combine!
[18:52:06	][IC] John Hector: Yapabiliyoz.
[18:52:06	][IC] John Freeman: CP's!
[18:52:07	][IC] Albert Black: Ben doctor sex.
[18:52:09	][IC] Dugurhan Cohar: Verim bekle.
[18:52:10	][IC] Albert Black: Kovulucna almıştım.
[18:52:12	]Dugurhan Cohar has spawned a cmru_card.
[18:52:13	][IC] Albert Black: Ona bağlı kart.
[18:52:14	][IC] John Freeman: Woah, Déjà vu.
[18:52:15	]Albert Black ran 'drop' on item 'CMRU Level 1 Access Keycard' (#15956)
[18:52:15	]Albert Black has lost a 'CMRU Level 1 Access Keycard' #15956.
[18:52:19	]Albert Black destroyed a 'CMRU Level 1 Access Keycard' #18723.
[18:52:23	]Albert Black ran 'take' on item 'CMRU Level 1 Access Keycard' (#15956)
[18:52:23	]Albert Black has gained a 'CMRU Level 1 Access Keycard' #15956.
[18:52:26	]Albert Black ran 'drop' on item 'CMRU Level 1 Access Keycard' (#15956)
[18:52:26	]Albert Black has lost a 'CMRU Level 1 Access Keycard' #15956.
[18:52:27	][IC] John Freeman: I don't feel anything, anymore.
[18:52:27	][IC] Dugurhan Cohar: Aldınız mı ikinizde.
[18:52:29	][IC] Albert Black: Buda olmuyor.
[18:52:30	]John Freeman used command '/ExitAct'.
[18:52:32	]Albert Black ran 'drop' on item 'Talep Cihazı' (#18112)
[18:52:32	]Albert Black has lost a 'Talep Cihazı' #18112.
[18:52:34	][IC] John Hector: Aldık.
[18:52:35	]Albert Black destroyed a 'Talep Cihazı' #18112.
[18:52:38	]Dugurhan Cohar entered observer.
[18:52:40	]John Hector used the 'SMB Teçhizat Dağıtıcısı' vendor.
[18:52:40	]Dugurhan Cohar exited observer at their location.
[18:52:50	][IC] John Hector: Victorian.
[18:52:53	][IC] Dugurhan Cohar: Ne.
[18:52:55	][IC] Albert Black: Şuanda bağlı diyor.
[18:52:57	][IC] John Hector: Kanka vendora bir.
[18:53:01	][IC] Albert Black: Ama bana değil.
[18:53:04	][IC] John Hector: Flashlight koyarmısın.
[18:53:06	][IC] Albert Black: Başka kart verilmesil lazım.
[18:53:10	][IC] Dugurhan Cohar: Bi çekil.
[18:53:22	][IC] Albert Black: Bağlı olmayan kart lazım.
[18:53:30	]Albert Black ran 'drop' on item 'CMRU PDA' (#18086)
[18:53:30	]Albert Black has lost a 'CMRU PDA' #18086.
[18:53:33	]Albert Black destroyed a 'CMRU PDA' #18086.
[18:53:36	][IC] Dugurhan Cohar: Bağlı olmayan?
[18:53:39	][IC] Albert Black: At.
[18:53:42	][IC] Albert Black: Spawmla.
[18:53:49	][IC] Albert Black: Bağlanıyor o kartlar.
[18:53:53	][IC] Albert Black: Spawmla bağlı olmaz.
[18:54:07	][IC] Dugurhan Cohar: Item adı ne.
[18:54:14	]Dugurhan Cohar entered observer.
[18:54:14	]Dugurhan Cohar exited observer at their location.
[18:54:21	]Dugurhan Cohar entered observer.
[18:54:22	]Dugurhan Cohar exited observer at their location.
[18:54:24	][LOOC] John Freeman: admin site mı?
[18:54:26	][IC] John Hector: CMRU Level 1 access card.
[18:54:27	][LOOC] Albert Black: evet
[18:54:29	][LOOC] Dugurhan Cohar: eet
[18:54:34	][IC] John Hector: Access keycard.
[18:54:37	][LOOC] John Freeman: ok iki dakka eşya laıp gidem
[18:54:43	][IC] Dugurhan Cohar: Zaten attığım Level 1 Access card olarak geçiyor.
[18:54:45	]John Freeman used the 'SMB Teçhizat Dağıtıcısı' vendor.
[18:54:49	][IC] Albert Black: Bbirdaha at.
[18:54:50	]Dugurhan Cohar has spawned a cmru_card.
[18:54:51	][IC] Albert Black: Bir bakayım.
[18:54:54	]John Freeman has gained 0 chips.
[18:54:54	]John Freeman has gained a 'Kan Şırıngası' #18725.
[18:54:55	]Albert Black ran 'take' on item 'CMRU Level 1 Access Keycard' (#18724)
[18:54:55	]Albert Black has gained a 'CMRU Level 1 Access Keycard' #18724.
[18:54:55	][IC] Dugurhan Cohar: Üstünü oku.
[18:54:59	][IC] Albert Black: Baüğlı değil.
[18:55:00	]Dugurhan Cohar is admin-searching Albert Black's inventory.
[18:55:00	]Dugurhan Cohar has used a context menu option with the name: ixviewinventory
[18:55:00	][IC] Albert Black: Bu.
[18:55:05	]Dugurhan Cohar has closed Albert Black's inventory.
[18:55:08	][IC] Albert Black: Ben attığını yumruklamışım kendi attığımı değil.
