[16:20:53	]crat has connected.
[16:28:23	]C24:RL.XRAY-57 entered observer.
[16:28:38	]C24:RL.XRAY-57 has added static text: Buraya girebilmem için bir giriş kartına ihtiyacım var gibi görünüyor.
[16:28:38	]C24:RL.XRAY-57 used command '/AdminSceneText Buraya girebilmem için bir giriş kartına ihtiyacım var gibi görünüyor.'.
[16:28:38	]C24:RL.XRAY-57 exited observer at their location.
[16:28:41	]C24:RL.XRAY-57 entered observer.
[16:28:41	]C24:RL.XRAY-57 exited observer at their location.
[16:28:42	]C24:RL.XRAY-57 entered observer.
[16:28:44	]C24:RL.XRAY-57 exited observer at their location.
[16:28:44	]C24:RL.XRAY-57 entered observer.
[16:28:49	]C24:RL.XRAY-57 has added static text: Buraya girebilmem için bir giriş kartına ihtiyacım var gibi görünüyor.
[16:28:49	]C24:RL.XRAY-57 used command '/AdminSceneText Buraya girebilmem için bir giriş kartına ihtiyacım var gibi görünüyor.'.
[16:28:50	]C24:RL.XRAY-57 exited observer at their location.
[16:28:51	]C24:RL.XRAY-57 entered observer.
[16:28:51	]C24:RL.XRAY-57 exited observer at their location.
[16:28:53	]C24:RL.XRAY-57 entered observer.
[16:28:55	]C24:RL.XRAY-57 exited observer at their location.
[16:28:58	]C24:RL.XRAY-57 entered observer.
[16:35:46	]Victorian has connected.
[16:38:26	]Victorian (STEAM_0:0:577700614) deleted character 'Elisa Katseja'
[16:38:28	]Victorian loaded the character 'Alexander Ivanov'
[16:38:42	]Alexander Ivanov entered observer.
[16:39:32	]Alexander Ivanov exited observer at their location.
[16:39:34	]Alexander Ivanov entered observer.
[16:39:36	]Alexander Ivanov exited observer at their location.
[16:39:39	]Alexander Ivanov entered observer.
[16:39:49	]Alexander Ivanov exited observer at their location.
[16:39:50	]Alexander Ivanov used command '/ActSit 6'.
[16:39:52	]Alexander Ivanov used command '/ExitAct'.
[16:39:54	]Alexander Ivanov used command '/ActSit 5'.
[16:39:55	]Alexander Ivanov used command '/ExitAct'.
[16:39:56	]Alexander Ivanov entered observer.
[16:40:03	]Alexander Ivanov exited observer at their location.
[16:40:05	]Alexander Ivanov entered observer.
[16:40:12	]Alexander Ivanov exited observer at their location.
[16:40:14	]Alexander Ivanov entered observer.
[16:40:18	]Alexander Ivanov exited observer at their location.
[16:40:18	]Alexander Ivanov entered observer.
[16:40:19	]Alexander Ivanov exited observer at their location.
[16:40:19	]Alexander Ivanov entered observer.
[16:40:22	]Alexander Ivanov exited observer at their location.
[16:40:23	]Alexander Ivanov entered observer.
[16:40:23	]Alexander Ivanov exited observer at their location.
[16:40:24	]Alexander Ivanov entered observer.
[16:40:34	]Alexander Ivanov exited observer at their location.
[16:41:02	]Alexander Ivanov entered observer.
[16:41:03	]Alexander Ivanov exited observer at their location.
[16:41:10	]Alexander Ivanov entered observer.
[16:43:13	]C24:RL.XRAY-57 has gone afk.
[16:43:27	]Alexander Ivanov exited observer at their location.
[16:43:28	]C24:RL.XRAY-57 is no longer afk. Total time spent AFK: 310
[16:43:29	]Alexander Ivanov entered observer.
[16:43:37	]Alexander Ivanov has used a context menu option with the name: remove
[16:43:40	]Alexander Ivanov exited observer at their location.
[16:43:55	]Alexander Ivanov has enabled persistence for 'models/props_c17/furniturewashingmachine001a.mdl'.
[16:43:55	]Alexander Ivanov has used a context menu option with the name: persist
[16:43:56	]Alexander Ivanov has enabled persistence for 'models/props_c17/furniturewashingmachine001a.mdl'.
[16:43:56	]Alexander Ivanov has used a context menu option with the name: persist
[16:43:57	]Alexander Ivanov has enabled persistence for 'models/props_c17/furniturewashingmachine001a.mdl'.
[16:43:57	]Alexander Ivanov has used a context menu option with the name: persist
[16:43:59	]Alexander Ivanov entered observer.
[16:44:00	]Alexander Ivanov exited observer at their location.
[16:44:01	]Alexander Ivanov entered observer.
[16:44:21	]Alexander Ivanov exited observer at their location.
[16:44:25	]Alexander Ivanov entered observer.
[16:44:55	]C24:RL.XRAY-57 exited observer at their location.
[16:44:58	]Alexander Ivanov exited observer at their location.
[16:45:00	]C24:RL.XRAY-57 entered observer.
[16:45:01	]C24:RL.XRAY-57 exited observer at their location.
[16:45:06	]C24:RL.XRAY-57 has used a context menu option with the name: vendor_edit
[16:45:06	]Alexander Ivanov entered observer.
[16:45:11	]Alexander Ivanov exited observer at their location.
[16:45:19	][IC] C24:RL.XRAY-57: <:: My man. ::>
[16:45:23	]C24:RL.XRAY-57 has spawned a 'Entity [1960][ix_vendor]'.
[16:45:26	][IC] C24:RL.XRAY-57: <:: I FUCKING. ::>
[16:45:26	][IC] Alexander Ivanov: Ikr.
[16:45:26	][IC] C24:RL.XRAY-57: <:: HATE. ::>
[16:45:27	][IC] C24:RL.XRAY-57: <:: REBELS. ::>
[16:45:29	][IC] C24:RL.XRAY-57: <:: FUCK THEM. ::>
[16:45:30	][IC] C24:RL.XRAY-57: <:: REBELS. ::>
[16:45:31	][IC] C24:RL.XRAY-57: <:: FUCK THEM. ::>
[16:45:33	][IC] C24:RL.XRAY-57: <:: I WANT TO FUCKING. ::>
[16:45:34	][IC] C24:RL.XRAY-57: <:: KILL THEM. ::>
[16:45:35	][IC] C24:RL.XRAY-57: <:: FUCK REBELS. ::>
[16:45:39	][IC] Alexander Ivanov: Ye right, but you cant have fuck.
[16:45:43	][IC] Alexander Ivanov: Wait.
[16:45:49	][IC] C24:RL.XRAY-57: <:: RANK LEADER. ::>
[16:45:51	][IC] C24:RL.XRAY-57: <:: REMINDER. ::>
[16:45:53	]Alexander Ivanov used command '/ActPant'.
[16:45:57	][IC] C24:RL.XRAY-57: <:: 100 STERILIZED CREDITS. ::>
[16:46:02	][IC] Alexander Ivanov: I become tpose.
[16:46:06	][IC] C24:RL.XRAY-57: <:: Sende öyle. ::>
[16:46:08	][IC] C24:RL.XRAY-57: <:: Bende normal. ::>
[16:46:10	]Alexander Ivanov used command '/ExitAct'.
[16:46:15	][IC] Alexander Ivanov: I want to have sex.
[16:46:19	]C24:RL.XRAY-57 has used a context menu option with the name: vendor_edit
[16:46:25	][IC] Alexander Ivanov: Anyways.
[16:46:30	][IC] Alexander Ivanov: Now get back to work.
[16:46:32	]Alexander Ivanov entered observer.
[16:46:35	]C24:RL.XRAY-57 has used a context menu option with the name: remove
[16:46:36	]Alexander Ivanov exited observer at their location.
[16:46:36	]Alexander Ivanov entered observer.
[16:46:36	]Alexander Ivanov exited observer at their location.
[16:46:37	]Alexander Ivanov entered observer.
[16:46:37	]Alexander Ivanov exited observer at their location.
[16:46:37	]Alexander Ivanov entered observer.
[16:46:37	]Alexander Ivanov exited observer at their location.
[16:46:37	][IC] C24:RL.XRAY-57: <:: So me. ::>
[16:46:37	]Alexander Ivanov entered observer.
[16:46:38	]Alexander Ivanov exited observer at their location.
[16:46:39	]Alexander Ivanov entered observer.
[16:46:41	]C24:RL.XRAY-57 has used a context menu option with the name: vendor_edit
[16:46:43	]Alexander Ivanov exited observer at their location.
[16:46:56	]C24:RL.XRAY-57 has used a context menu option with the name: vendor_edit
[16:46:56	]Alexander Ivanov entered observer.
[16:47:00	]Alexander Ivanov exited observer at their location.
[16:47:57	]Alexander Ivanov entered observer.
[16:47:59	]Alexander Ivanov exited observer at their location.
[16:48:05	]Alexander Ivanov entered observer.
[16:48:12	]Alexander Ivanov exited observer at their location.
[16:48:14	]Alexander Ivanov opened the 'Large Metal Cabinet' #1920 container.
[16:48:18	]Alexander Ivanov closed the 'Large Metal Cabinet' #1920 container.
[16:48:20	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:20	]Alexander Ivanov entered observer.
[16:48:24	]Alexander Ivanov exited observer at their location.
[16:48:31	]C24:RL.XRAY-57 has used a context menu option with the name: vendor_edit
[16:48:32	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:34	]Alexander Ivanov has used a coupon at a ration dispenser, gaining 30 credits.
[16:48:35	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:37	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:39	]Alexander Ivanov has used a coupon at a ration dispenser, gaining 30 credits.
[16:48:40	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:42	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:44	]Alexander Ivanov has used a coupon at a ration dispenser, gaining 30 credits.
[16:48:46	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:48	]Alexander Ivanov ran 'Use' on item '30 Kredi Kuponu' (#15449)
[16:48:50	]Alexander Ivanov has used a coupon at a ration dispenser, gaining 30 credits.
[16:48:54	]Alexander Ivanov entered observer.
[16:48:56	]C24:RL.XRAY-57 has used a context menu option with the name: vendor_edit
[16:48:57	]Alexander Ivanov exited observer at their location.
[16:49:02	]C24:RL.XRAY-57 has used a context menu option with the name: vendor_edit
[16:49:10	]C24:RL.XRAY-57 entered observer.
[16:49:21	]C24:RL.XRAY-57 exited observer at their location.
[16:49:28	]C24:RL.XRAY-57 entered observer.
[16:49:30	]Alexander Ivanov entered observer.
[16:49:36	]C24:RL.XRAY-57 exited observer at their location.
[16:49:36	]Alexander Ivanov exited observer at their location.
[16:49:37	]C24:RL.XRAY-57 entered observer.
[16:49:39	]Alexander Ivanov entered observer.
[16:49:41	]C24:RL.XRAY-57 exited observer at their location.
[16:49:51	]C24:RL.XRAY-57 entered observer.
[16:49:52	]C24:RL.XRAY-57 exited observer at their location.
[16:49:54	]C24:RL.XRAY-57 entered observer.
[16:50:00	]Alexander Ivanov exited observer at their location.
[16:50:02	]Alexander Ivanov entered observer.
[16:50:13	]Alexander Ivanov exited observer at their location.
[16:50:13	]Alexander Ivanov entered observer.
[16:50:23	]Alexander Ivanov has used a context menu option with the name: remove
[16:50:30	]Alexander Ivanov has used a context menu option with the name: remove
[16:50:41	]C24:RL.XRAY-57 exited observer at their location.
[16:50:42	]C24:RL.XRAY-57 used the 'Destek Masası Dağıtıcısı' vendor.
[16:50:48	]C24:RL.XRAY-57 used command '/Request'.
[16:50:54	]C24:RL.XRAY-57 entered observer.
[16:51:04	]C24:RL.XRAY-57 exited observer at their location.
[16:51:31	]Alexander Ivanov has spawned a junk_empty_water.
[16:51:42	]Alexander Ivanov exited observer at their location.
[16:51:46	]Alexander Ivanov ran 'take' on item 'Boş Breen'in Suyu' (#15549)
[16:51:46	]Alexander Ivanov has gained a 'Boş Breen'in Suyu' #15549.
[16:52:10	]Alexander Ivanov entered observer.
[16:52:17	]C24:RL.XRAY-57 used command '/CharDesc'.
[16:52:25	]Alexander Ivanov exited observer at their location.
[16:52:26	]Alexander Ivanov entered observer.
[16:52:53	]Alexander Ivanov is fully healed.
[16:52:57	]Alexander Ivanov exited observer at their location.
[16:52:59	]Alexander Ivanov entered observer.
[16:53:00	]Alexander Ivanov exited observer at their location.
[16:53:01	]Alexander Ivanov entered observer.
[16:53:02	]Alexander Ivanov exited observer at their location.
[16:53:05	]Alexander Ivanov entered observer.
[16:53:23	]Alexander Ivanov exited observer at their location.
[16:53:25	]Alexander Ivanov entered observer.
[16:53:32	]Alexander Ivanov exited observer at their location.
[16:53:33	]Alexander Ivanov entered observer.
[16:53:34	]Alexander Ivanov exited observer at their location.
[16:53:34	]Alexander Ivanov entered observer.
[16:53:36	]Alexander Ivanov exited observer at their location.
[16:53:41	]Alexander Ivanov used command '/ActSit 6'.
[16:53:45	]Alexander Ivanov used command '/ExitAct'.
[16:53:47	]Alexander Ivanov entered observer.
[16:53:53	]Alexander Ivanov exited observer at their location.
[16:54:04	]Alexander Ivanov has gained level 2 in the Hız skill.
[16:54:15	]Alexander Ivanov has gained level 3 in the Hız skill.
[16:54:27	]Wonder Of You has connected.
[16:54:31	]Alexander Ivanov entered observer.
[16:54:38	][PICKUP DISPENSER] Victorian ( Alexander Ivanov ) picked up an item from the pickup dispenser.
[16:54:38	]Alexander Ivanov has gained a 'Kağıt' #15550.
[16:54:43	]Alexander Ivanov exited observer at their location.
[16:54:46	]Alexander Ivanov ran 'drop' on item 'Kağıt' (#15550)
[16:54:46	]Alexander Ivanov has lost a 'Kağıt' #15550.
[16:56:11	]Alexander Ivanov entered observer.
[16:56:42	]Alexander Ivanov exited observer at their location.
[16:57:10	]Alexander Ivanov entered observer.
[16:57:13	]Alexander Ivanov exited observer at their location.
[16:57:15	]Alexander Ivanov entered observer.
[16:57:19	]Alexander Ivanov has used a context menu option with the name: skin
[16:57:21	]Alexander Ivanov has enabled persistence for 'models/props_c17/door01_left.mdl'.
[16:57:21	]Alexander Ivanov has used a context menu option with the name: persist
[16:57:25	]Alexander Ivanov exited observer at their location.
[16:57:27	]Alexander Ivanov entered observer.
[16:57:28	]C24:RL.XRAY-57 has gone afk.
[16:57:33	]Alexander Ivanov exited observer at their location.
[16:57:34	]Alexander Ivanov entered observer.
[16:57:38	]Alexander Ivanov exited observer at their location.
[16:57:44	]Alexander Ivanov entered observer.
[16:58:29	]Alexander Ivanov exited observer at their location.
[16:58:30	]Alexander Ivanov entered observer.
[16:58:47	]Alexander Ivanov exited observer at their location.
[16:58:48	]Alexander Ivanov entered observer.
[16:58:58	]Alexander Ivanov exited observer at their location.
[16:59:09	]Alexander Ivanov has spawned 'models/props_junk/GlassBottle01a.mdl'.
[16:59:11	]Alexander Ivanov has spawned 'models/props_junk/garbage_glassbottle003a.mdl'.
[16:59:14	]Alexander Ivanov has spawned 'models/props_junk/garbage_glassbottle002a.mdl'.
[16:59:18	]Alexander Ivanov has spawned 'models/props_junk/garbage_coffeemug001a.mdl'.
[16:59:20	]Alexander Ivanov used command '/ActSit 5'.
[16:59:45	]Alexander Ivanov entered observer.
[16:59:48	]Alexander Ivanov exited observer at their location.
[16:59:55	]Alexander Ivanov entered observer.
[16:59:57	]Alexander Ivanov used command '/ExitAct'.
[16:59:58	]Alexander Ivanov entered observer.
[17:00:00	]Alexander Ivanov exited observer at their location.
[17:00:02	]Alexander Ivanov entered observer.
[17:00:02	]Alexander Ivanov exited observer at their location.
[17:00:03	]Alexander Ivanov entered observer.
[17:00:17	]Alexander Ivanov exited observer at their location.
[17:00:19	]Alexander Ivanov entered observer.
[17:00:21	]Alexander Ivanov exited observer at their location.
[17:00:22	]Alexander Ivanov entered observer.
[17:00:23	]Alexander Ivanov exited observer at their location.
[17:00:23	]Alexander Ivanov entered observer.
[17:00:31	]Alexander Ivanov exited observer at their location.
[17:00:32	]Alexander Ivanov entered observer.
[17:01:21	]AuTiSTiC has connected.
[17:01:46	]Alexander Ivanov has used a context menu option with the name: remove
[17:02:11	]AuTiSTiC loaded the character 'Lucifer On Duty'
[17:02:15	]Lucifer On Duty entered observer.
[17:02:17	]Alexander Ivanov used the 'SEK Üniforma Dolabı' vendor.
[17:02:29	]Lucifer On Duty exited observer at their location.
[17:02:30	]Lucifer On Duty entered observer.
[17:02:44	]Alexander Ivanov exited observer at their location.
[17:02:45	]AuTiSTiC loaded the character 'C24:i1.YELLO-44'
[17:02:47	]C24:i1.YELLO-44 entered observer.
[17:02:50	]Alexander Ivanov entered observer.
[17:02:55	]Alexander Ivanov exited observer at their location.
[17:02:57	]Alexander Ivanov ran 'Write' on item 'ENDÜSTRİ 24 TEL NO.' (#14000)
[17:03:04	]Alexander Ivanov entered observer.
[17:03:11	]Alexander Ivanov exited observer at their location.
[17:03:11	]Alexander Ivanov entered observer.
[17:03:12	]Alexander Ivanov exited observer at their location.
[17:03:25	]Alexander Ivanov has spawned a notepad.
[17:03:51	]Alexander Ivanov ran 'Write' on item 'Not Defteri' (#15551)
[17:04:18	]Alexander Ivanov entered observer.
[17:04:25	]Alexander Ivanov exited observer at their location.
[17:04:28	]C24:RL.XRAY-57 is no longer afk. Total time spent AFK: 715
[17:04:30	]Alexander Ivanov entered observer.
[17:04:34	]C24:i1.YELLO-44 has given himself a combinelock.
[17:04:34	]C24:i1.YELLO-44 has gained a 'Combine Lock' #15552.
[17:04:37	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15552)
[17:04:43	]C24:i1.YELLO-44 has given himself a combinelock.
[17:04:44	]C24:i1.YELLO-44 has gained a 'Combine Lock' #15553.
[17:04:45	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15553)
[17:04:47	]C24:RL.XRAY-57 entered observer.
[17:04:49	]Alexander Ivanov exited observer at their location.
[17:04:54	]Alexander Ivanov has used a context menu option with the name: remove
[17:04:56	]Alexander Ivanov has spawned a 'Entity [2599][ix_combinelock_cwu]'.
[17:04:57	]C24:i1.YELLO-44 exited observer at their location.
[17:05:00	]C24:i1.YELLO-44 has given himself a combinelock.
[17:05:00	]C24:i1.YELLO-44 has gained a 'Combine Lock' #15554.
[17:05:01	]C24:i1.YELLO-44 has given himself a combinelock.
[17:05:01	]C24:i1.YELLO-44 has gained a 'Combine Lock' #15555.
[17:05:03	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:05:08	]Alexander Ivanov entered observer.
[17:05:09	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:05:11	]Alexander Ivanov exited observer at their location.
[17:05:12	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:05:17	]C24:RL.XRAY-57 exited observer at their location.
[17:05:22	]C24:RL.XRAY-57 has spawned a 'Entity [1664][ix_vendor]'.
[17:05:22	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:05:23	]C24:RL.XRAY-57 has used a context menu option with the name: remove
[17:05:24	]Wonder Of You loaded the character 'Hershel Von Shepherd'
[17:05:25	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:05:27	]C24:RL.XRAY-57 has spawned a 'Entity [1664][ix_rationdispenser]'.
[17:05:27	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:05:29	]Hershel Von Shepherd is fully healed.
[17:05:30	]Hershel Von Shepherd entered observer.
[17:05:32	]C24:RL.XRAY-57 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[17:05:33	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:05:35	]Hershel Von Shepherd exited observer at their location.
[17:05:38	]Alexander Ivanov entered observer.
[17:05:41	]C24:i1.YELLO-44 entered observer.
[17:05:43	]C24:i1.YELLO-44 exited observer at their location.
[17:05:45	]C24:RL.XRAY-57 ran 'Open' on item 'Sivil Koruma Rasyonu' (#15556)
[17:05:45	]C24:RL.XRAY-57 has gained a 'Metropolice Takviyeleri' #15557.
[17:05:45	]C24:RL.XRAY-57 has gained a 'Soda Bob Brawn' #15558.
[17:05:45	]C24:RL.XRAY-57 has gained a '20 Kredi Kuponu' #15559.
[17:05:47	]C24:i1.YELLO-44 entered observer.
[17:05:48	]C24:RL.XRAY-57 ran 'Consume' on item 'Soda Bob Brawn' (#15558)
[17:05:48	]C24:RL.XRAY-57 has gained a level 1 long boost in Algı.
[17:05:48	]C24:RL.XRAY-57 has gained a level 2 long boost in Çeviklik.
[17:05:49	]C24:RL.XRAY-57 ran 'Consume' on item 'Metropolice Takviyeleri' (#15557)
[17:05:49	]C24:RL.XRAY-57 has gained a level 3 long boost in Güç.
[17:05:49	]C24:i1.YELLO-44 exited observer at their location.
[17:05:51	]Alexander Ivanov exited observer at their location.
[17:05:51	]C24:RL.XRAY-57 ran 'Use' on item '20 Kredi Kuponu' (#15559)
[17:05:52	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:05:53	]C24:RL.XRAY-57 has used a coupon at a ration dispenser, gaining 20 credits.
[17:05:54	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:05:55	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:05:56	]Alexander Ivanov entered observer.
[17:05:56	]C24:i1.YELLO-44 entered observer.
[17:05:57	]C24:i1.YELLO-44 exited observer at their location.
[17:05:59	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:06:01	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:06:05	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:06:06	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:06:06	]C24:RL.XRAY-57 has lost a '20rnd FiveSeven-şarjörü' #13756.
[17:06:07	]C24:RL.XRAY-57 has gained a '20rnd FiveSeven-şarjörü' #13759.
[17:06:09	]Hershel Von Shepherd entered observer.
[17:06:11	]C24:RL.XRAY-57 entered observer.
[17:06:17	]C24:i1.YELLO-44 entered observer.
[17:06:17	]C24:i1.YELLO-44 exited observer at their location.
[17:06:19	]Alexander Ivanov exited observer at their location.
[17:06:20	]C24:i1.YELLO-44 has used a context menu option with the name: remove
[17:06:23	]Hershel Von Shepherd exited observer at their location.
[17:06:25	]Alexander Ivanov entered observer.
[17:06:30	]Alexander Ivanov exited observer at their location.
[17:06:38	]Hershel Von Shepherd entered observer.
[17:06:41	]Alexander Ivanov has spawned a 'Entity [2265][ix_combinelock]'.
[17:06:51	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15555)
[17:06:53	]Alexander Ivanov entered observer.
[17:06:55	]C24:i1.YELLO-44 ran 'Place' on item 'Combine Lock' (#15554)
[17:06:56	]Alexander Ivanov exited observer at their location.
[17:06:56	]C24:i1.YELLO-44 entered observer.
[17:07:06	]Alexander Ivanov entered observer.
[17:07:11	]Alexander Ivanov exited observer at their location.
[17:07:15	]Alexander Ivanov entered observer.
[17:07:20	]Alexander Ivanov exited observer at their location.
[17:07:21	]Alexander Ivanov entered observer.
[17:07:33	]Alexander Ivanov exited observer at their location.
[17:07:34	]Alexander Ivanov entered observer.
[17:07:34	]C24:i1.YELLO-44 used command '/PlyWhitelist YELLO cwu'.
[17:07:37	]C24:i1.YELLO-44 used command '/PlyWhitelist YELLO CWU'.
[17:07:46	]C24:i1.YELLO-44 used command '/PlyWhitelist YELLO Civil Workers Union'.
[17:07:46	]Alexander Ivanov exited observer at their location.
[17:07:46	]Alexander Ivanov entered observer.
[17:07:51	]Alexander Ivanov exited observer at their location.
[17:07:53	]Alexander Ivanov entered observer.
[17:07:53	]Alexander Ivanov exited observer at their location.
[17:08:14	]Alexander Ivanov entered observer.
[17:08:25	]Alexander Ivanov exited observer at their location.
[17:08:26	]Alexander Ivanov entered observer.
[17:08:27	]Alexander Ivanov exited observer at their location.
[17:08:27	]Alexander Ivanov entered observer.
[17:08:28	]Alexander Ivanov exited observer at their location.
[17:08:29	]Alexander Ivanov entered observer.
[17:08:35	]Alexander Ivanov exited observer at their location.
[17:08:36	]Alexander Ivanov entered observer.
[17:08:36	]Alexander Ivanov exited observer at their location.
[17:08:37	]Alexander Ivanov entered observer.
[17:08:37	]Alexander Ivanov exited observer at their location.
[17:08:38	]Alexander Ivanov entered observer.
[17:08:39	]Alexander Ivanov exited observer at their location.
[17:08:41	]Alexander Ivanov entered observer.
[17:08:56	]Alexander Ivanov exited observer at their location.
[17:09:13	]AuTiSTiC created the character 'Luther Campbell'
[17:09:13	]AuTiSTiC loaded the character 'Luther Campbell'
[17:09:13	]Luther Campbell has gained a '#95061 Kimlik Kartı' #15560.
[17:09:13	]Luther Campbell has gained a 'CWU PDA' #15561.
[17:09:13	]Luther Campbell has gained a 'CWU Member Access Keycard' #15562.
[17:09:17	]Luther Campbell ran 'Bind' on item 'CWU Member Access Keycard' (#15562)
[17:09:19	]Luther Campbell ran 'Open' on item 'CWU PDA' (#15561)
[17:09:21	]Luther Campbell entered observer.
[17:09:24	]Alexander Ivanov has spawned 'models/props_c17/chair_office01a.mdl'.
[17:09:25	]Luther Campbell exited observer at their location.
[17:09:41	]Alexander Ivanov has spawned a usable entity class 'ix_chair' with model 'models/props_c17/chair_office01a.mdl'.
[17:09:41	]Alexander Ivanov has used a context menu option with the name: ixusableentitycreate
[17:09:44	]Alexander Ivanov used command '/ActSit 6'.
[17:09:47	]Alexander Ivanov used command '/ExitAct'.
[17:09:53	][IC] Alexander Ivanov: Sa.
[17:09:54	]Alexander Ivanov entered observer.
[17:09:54	]Alexander Ivanov exited observer at their location.
[17:10:26	]Luther Campbell has spawned 'models/props_c17/FurnitureDrawer001a_Chunk05.mdl'.
[17:10:29	]Alexander Ivanov entered observer.
[17:10:34	]Alexander Ivanov exited observer at their location.
[17:11:40	]Luther Campbell used command '/CharDesc'.
[17:11:54	]Hershel Von Shepherd has gone afk.
[17:11:57	]Alexander Ivanov has spawned a torso_yellow_worker_jacket.
[17:11:58	]deathguard has connected.
[17:12:13	]Alexander Ivanov has spawned a hardhat_green.
[17:12:24	]Alexander Ivanov has spawned a flashlight.
[17:12:44	]deathguard loaded the character 'C24:D3.UNION-35'
[17:12:51	]Alexander Ivanov has spawned a yellow_hazmat_uniform.
[17:13:04	]Alexander Ivanov has spawned a cwu_radio.
[17:13:05	]Alexander Ivanov has spawned a cwu_card.
[17:13:06	]Alexander Ivanov has spawned a pda_cwu.
[17:13:25	]Alexander Ivanov has spawned a head_gasmask.
[17:13:37	]Luther Campbell ran 'take' on item 'Sarı İşçi Ceketi' (#15563)
[17:13:37	]Luther Campbell has gained a 'Sarı İşçi Ceketi' #15563.
[17:13:39	]Luther Campbell ran 'take' on item 'Gaz maskesi' (#15570)
[17:13:39	]Luther Campbell has gained a 'Gaz maskesi' #15570.
[17:13:40	]Luther Campbell ran 'take' on item 'Yeşil İnşaat Şapkası' (#15564)
