[15:28:37	]İlkokul Kundakçısı has connected.
[22:04:19	]Feliks Nowak has used a context menu option with the name: persist_end
[22:04:23	]Feliks Nowak has enabled persistence for 'models/willardnetworks/citizens/male_01.mdl'.
[22:04:23	]Feliks Nowak has used a context menu option with the name: persist
[22:04:26	]Feliks Nowak has disabled persistence for 'models/willardnetworks/citizens/male_01.mdl'.
[22:04:26	]Feliks Nowak has used a context menu option with the name: persist_end
[22:04:41	]Feliks Nowak has enabled persistence for 'models/willardnetworks/citizens/male_01.mdl'.
[22:04:41	]Feliks Nowak has used a context menu option with the name: persist
[22:05:26	]Feliks Nowak ran 'Write' on item '4/06/2017' (#167591)
[22:05:35	]Feliks Nowak has used a context menu option with the name: clientprop
[22:05:45	]Feliks Nowak has used a context menu option with the name: collision_off
[22:05:48	]Feliks Nowak has used a context menu option with the name: collision_off
[22:05:57	]Feliks Nowak entered observer.
[22:05:57	]Feliks Nowak exited observer at their location.
[22:06:08	]Feliks Nowak entered observer.
[22:06:09	]Feliks Nowak exited observer at their location.
[22:06:11	]Feliks Nowak entered observer.
[22:06:15	]Feliks Nowak exited observer at their location.
[22:06:23	]Feliks Nowak entered observer.
[22:06:23	]Feliks Nowak exited observer at their location.
[22:06:24	]Feliks Nowak entered observer.
[22:06:25	]Feliks Nowak exited observer at their location.
[22:06:34	]Feliks Nowak has given himself a flashlight.
[22:06:34	]Feliks Nowak has gained a 'El Feneri' #168705.
[22:06:39	]Feliks Nowak opened the 'Sandık' #11973 container.
[22:06:41	]Feliks Nowak closed the 'Sandık' #11973 container.
[22:06:43	]Feliks Nowak entered observer.
[22:06:44	]Feliks Nowak exited observer at their location.
[22:06:51	]Feliks Nowak entered observer.
[22:06:52	]Feliks Nowak exited observer at their location.
[22:06:56	]Feliks Nowak entered observer.
[22:06:57	]Feliks Nowak exited observer at their location.
[22:06:58	]Feliks Nowak entered observer.
[22:06:59	]Feliks Nowak exited observer at their location.
[22:07:00	]Feliks Nowak entered observer.
[22:07:02	]Feliks Nowak exited observer at their location.
[22:07:16	]Feliks Nowak has gained level 6 in the Hız skill.
[22:07:18	]Feliks Nowak entered observer.
[22:07:19	]Feliks Nowak exited observer at their location.
[22:07:19	]Feliks Nowak entered observer.
[22:07:21	]Feliks Nowak exited observer at their location.
[22:07:21	]Feliks Nowak entered observer.
[22:07:22	]Feliks Nowak exited observer at their location.
[22:07:24	]Feliks Nowak entered observer.
[22:07:25	]Feliks Nowak exited observer at their location.
[22:07:26	]Feliks Nowak entered observer.
[22:07:28	]Feliks Nowak exited observer at their location.
[22:07:35	]Feliks Nowak used command '/AreaEdit'.
[22:09:07	]Feliks Nowak entered observer.
[22:09:07	]Feliks Nowak exited observer at their location.
[22:09:20	]Feliks Nowak has taken 5 damage from worldspawn.
[22:09:25	]Feliks Nowak has taken 5 damage from worldspawn.
[22:09:29	]Feliks Nowak entered observer.
[22:09:29	]Feliks Nowak exited observer at their location.
[22:09:30	]Feliks Nowak has taken 5 damage from worldspawn.
[22:09:30	]Feliks Nowak entered observer.
[22:09:32	]Feliks Nowak exited observer at their location.
[22:09:33	]Feliks Nowak entered observer.
[22:09:33	]Feliks Nowak exited observer at their location.
[22:09:35	]Feliks Nowak entered observer.
[22:09:49	]Feliks Nowak has used a context menu option with the name: clientprop
[22:10:10	]Feliks Nowak exited observer at their location.
[22:10:10	]Feliks Nowak entered observer.
[22:10:11	]Feliks Nowak exited observer at their location.
[22:10:14	]Feliks Nowak entered observer.
[22:10:17	]Feliks Nowak exited observer at their location.
[22:10:28	]Feliks Nowak entered observer.
[22:10:34	]Feliks Nowak exited observer at their location.
[22:10:41	]Feliks Nowak has fired a toolgun with the name: rope
[22:10:43	]Feliks Nowak has fired a toolgun with the name: rope
[22:10:49	]Feliks Nowak has fired a toolgun with the name: rope
[22:10:50	]Feliks Nowak has fired a toolgun with the name: rope
[22:11:22	]Feliks Nowak has fired a toolgun with the name: rope
[22:11:23	]Feliks Nowak has fired a toolgun with the name: rope
[22:11:25	]Feliks Nowak has fired a toolgun with the name: rope
[22:11:26	]Feliks Nowak has fired a toolgun with the name: rope
[22:11:29	]Feliks Nowak entered observer.
[22:11:29	]Feliks Nowak exited observer at their location.
[22:11:31	]Feliks Nowak entered observer.
[22:11:31	]Feliks Nowak exited observer at their location.
[22:11:33	]Feliks Nowak entered observer.
[22:11:33	]Feliks Nowak exited observer at their location.
[22:11:34	]Feliks Nowak entered observer.
[22:11:35	]Feliks Nowak exited observer at their location.
[22:11:36	]Feliks Nowak entered observer.
[22:11:37	]Feliks Nowak exited observer at their location.
[22:11:44	]Feliks Nowak entered observer.
[22:11:51	]Feliks Nowak exited observer at their location.
[22:11:53	]Feliks Nowak entered observer.
[22:11:56	]Feliks Nowak exited observer at their location.
[22:12:02	]Feliks Nowak entered observer.
[22:12:04	]Feliks Nowak exited observer at their location.
[22:13:01	]Feliks Nowak entered observer.
[22:13:05	]Feliks Nowak exited observer at their location.
[22:13:06	]Feliks Nowak entered observer.
[22:13:07	]Feliks Nowak exited observer at their location.
[22:13:07	]Feliks Nowak entered observer.
[22:13:08	]Feliks Nowak exited observer at their location.
[22:13:11	]Feliks Nowak entered observer.
[22:13:11	]Feliks Nowak exited observer at their location.
[22:13:12	]Feliks Nowak entered observer.
[22:13:12	]Feliks Nowak exited observer at their location.
[22:13:13	]Feliks Nowak entered observer.
[22:13:13	]Feliks Nowak exited observer at their location.
[22:13:23	]Feliks Nowak entered observer.
[22:13:24	]Feliks Nowak exited observer at their location.
[22:13:29	]Feliks Nowak used command '/ToggleRaise'.
[22:13:32	]Feliks Nowak entered observer.
[22:13:33	]Feliks Nowak exited observer at their location.
[22:13:33	]Feliks Nowak entered observer.
[22:13:37	]Feliks Nowak exited observer at their location.
[22:13:38	]Feliks Nowak entered observer.
[22:13:43	]Feliks Nowak exited observer at their location.
[22:13:47	]Feliks Nowak has spawned 'models/props_wasteland/barricade001a.mdl'.
[22:13:52	]Feliks Nowak has spawned 'models/props_wasteland/barricade001a.mdl'.
[22:14:00	]Feliks Nowak has fired a toolgun with the name: unbreakable
[22:14:00	]Feliks Nowak has fired a toolgun with the name: unbreakable
[22:14:02	]Feliks Nowak has used a context menu option with the name: clientprop
[22:14:03	]Feliks Nowak has used a context menu option with the name: clientprop
[22:14:06	]Feliks Nowak entered observer.
[22:14:07	]Feliks Nowak exited observer at their location.
[22:14:07	]Feliks Nowak entered observer.
[22:14:08	]Feliks Nowak exited observer at their location.
[22:14:11	]Feliks Nowak entered observer.
[22:14:12	]Feliks Nowak exited observer at their location.
[22:14:21	]Feliks Nowak entered observer.
[22:14:21	]Feliks Nowak exited observer at their location.
[22:14:22	]Feliks Nowak entered observer.
[22:14:22	]Feliks Nowak exited observer at their location.
[22:14:23	]Feliks Nowak entered observer.
[22:14:23	]Feliks Nowak exited observer at their location.
[22:14:25	]Feliks Nowak entered observer.
[22:14:32	]Feliks Nowak exited observer at their location.
[22:14:38	]Feliks Nowak entered observer.
[22:14:46	]Feliks Nowak exited observer at their location.
[22:14:57	]Feliks Nowak entered observer.
[22:14:57	]Feliks Nowak exited observer at their location.
[22:15:09	]Feliks Nowak entered observer.
[22:15:16	]Feliks Nowak exited observer at their location.
[22:15:16	]Feliks Nowak opened the 'Data-Disk #1' #8308 container.
[22:15:19	]Feliks Nowak closed the 'Data-Disk #1' #8308 container.
[22:15:21	]Feliks Nowak entered observer.
[22:15:34	]Feliks Nowak exited observer at their location.
[22:15:36	]Feliks Nowak entered observer.
[22:15:38	]Feliks Nowak exited observer at their location.
[22:15:39	]Feliks Nowak entered observer.
[22:15:40	]Feliks Nowak exited observer at their location.
[22:15:41	]Feliks Nowak entered observer.
[22:16:02	]Feliks Nowak exited observer at their location.
[22:16:11	]Feliks Nowak entered observer.
[22:16:11	]Feliks Nowak exited observer at their location.
[22:16:14	]Feliks Nowak entered observer.
[22:16:38	]Feliks Nowak exited observer at their location.
[22:16:39	]Feliks Nowak entered observer.
[22:16:39	]Feliks Nowak exited observer at their location.
[22:16:40	]Feliks Nowak entered observer.
[22:17:27	]Feliks Nowak has spawned 'models/props_combine/combine_booth_short01a.mdl'.
[22:17:31	]Feliks Nowak exited observer at their location.
[22:17:51	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:17:51	]Feliks Nowak has spawned 'models/props_combine/combine_booth_short01a.mdl'.
[22:17:56	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[22:18:02	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:18:28	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:18:28	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:18:29	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:18:29	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:18:40	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:18:40	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[22:18:44	]Feliks Nowak has fired a toolgun with the name: stacker_improved
[22:18:44	]Feliks Nowak has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
