[07:51:29	]Goblin has connected.
[08:08:20	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2813][arccw_ar2]'.
[08:08:20	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2820][arccw_ar2]'.
[08:08:27	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2813][arccw_ar2]'.
[08:08:27	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2820][arccw_ar2]'.
[08:08:38	]C17:BASTIRICI.IDAHO-42 has spawned a 'NPC [2813][npc_zombie]'.
[08:09:22	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2813][arccw_ar21]'.
[08:09:29	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2813][arccw_oicw]'.
[08:09:35	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2813][arccw_fml_volk_pkp]'.
[08:10:05	]C17:BASTIRICI.IDAHO-42 ran SAM command 'slay' with arguments: '42'
[08:10:27	]C17:BASTIRICI.IDAHO-42 has used a context menu option with the name: rb655_dissolve
[08:10:29	]C17:BASTIRICI.IDAHO-42 has used a context menu option with the name: rb655_dissolve
[08:10:30	]C17:BASTIRICI.IDAHO-42 has used a context menu option with the name: rb655_dissolve
[08:10:31	]env_entity_dissolver destroyed a 'Küçük Çanta' #31040.
[08:10:32	]env_entity_dissolver destroyed a 'OTA Üniforması' #31044.
[08:10:57	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2812][arccw_fml_volk_pkp]'.
[08:10:57	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2813][arccw_fml_volk_pkp]'.
[08:10:57	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2814][arccw_fml_volk_pkp]'.
[08:11:20	]C17:BASTIRICI.IDAHO-42 has used a context menu option with the name: skin
[08:11:21	]C17:BASTIRICI.IDAHO-42 has used a context menu option with the name: rb655_dissolve
[08:11:23	]env_entity_dissolver destroyed a 'Combine PDA' #31043.
[08:11:49	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:50	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:50	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:50	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:50	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:50	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:50	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:50	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:51	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:51	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:51	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:51	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:51	]C17:BASTIRICI.IDAHO-42 has spawned a bandage.
[08:11:54	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31060)
[08:11:54	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31060.
[08:11:55	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31053)
[08:11:55	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31053.
[08:11:56	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31062)
[08:11:56	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31062.
[08:11:57	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31061)
[08:11:57	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31061.
[08:11:58	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31059)
[08:11:58	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31059.
[08:11:59	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31063)
[08:11:59	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31063.
[08:12:01	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31051)
[08:12:01	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31051.
[08:12:02	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31054)
[08:12:02	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31054.
[08:12:03	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31052)
[08:12:03	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31052.
[08:12:05	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31055)
[08:12:05	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31055.
[08:12:06	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31057)
[08:12:06	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31057.
[08:12:09	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31058)
[08:12:09	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31058.
[08:12:10	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Bandaj Rulosu' (#31056)
[08:12:10	]C17:BASTIRICI.IDAHO-42 has gained a 'Bandaj Rulosu' #31056.
[08:12:35	]C17:BASTIRICI.IDAHO-42 has spawned a painkillers.
[08:12:35	]C17:BASTIRICI.IDAHO-42 has spawned a painkillers.
[08:12:35	]C17:BASTIRICI.IDAHO-42 has spawned a painkillers.
[08:12:37	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Ağrı Kesici' (#31066)
[08:12:37	]C17:BASTIRICI.IDAHO-42 has gained a 'Ağrı Kesici' #31066.
[08:12:38	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Ağrı Kesici' (#31065)
[08:12:38	]C17:BASTIRICI.IDAHO-42 has gained a 'Ağrı Kesici' #31065.
[08:12:39	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Ağrı Kesici' (#31064)
[08:12:39	]C17:BASTIRICI.IDAHO-42 has gained a 'Ağrı Kesici' #31064.
[08:12:46	]C17:BASTIRICI.IDAHO-42 has spawned a health_kit.
[08:12:46	]C17:BASTIRICI.IDAHO-42 has spawned a health_kit.
[08:12:48	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Sağlık Kiti' (#31068)
[08:12:48	]C17:BASTIRICI.IDAHO-42 has gained a 'Sağlık Kiti' #31068.
[08:12:48	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Sağlık Kiti' (#31067)
[08:12:48	]C17:BASTIRICI.IDAHO-42 has gained a 'Sağlık Kiti' #31067.
[08:13:16	]C17:BASTIRICI.IDAHO-42 has spawned a frag_grenade.
[08:13:17	]C17:BASTIRICI.IDAHO-42 has spawned a frag_grenade.
[08:13:17	]C17:BASTIRICI.IDAHO-42 has spawned a frag_grenade.
[08:13:17	]C17:BASTIRICI.IDAHO-42 has spawned a frag_grenade.
[08:13:19	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Frag Grenade' (#31072)
[08:13:19	]C17:BASTIRICI.IDAHO-42 has gained a 'Frag Grenade' #31072.
[08:13:21	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Frag Grenade' (#31069)
[08:13:21	]C17:BASTIRICI.IDAHO-42 has gained a 'Frag Grenade' #31069.
[08:13:22	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Frag Grenade' (#31071)
[08:13:22	]C17:BASTIRICI.IDAHO-42 has gained a 'Frag Grenade' #31071.
[08:13:23	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Frag Grenade' (#31070)
[08:13:23	]C17:BASTIRICI.IDAHO-42 has gained a 'Frag Grenade' #31070.
[08:13:25	]C17:BASTIRICI.IDAHO-42 has spawned a decoy_grenade.
[08:13:25	]C17:BASTIRICI.IDAHO-42 has spawned a decoy_grenade.
[08:13:27	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Decoy Grenade' (#31074)
[08:13:27	]C17:BASTIRICI.IDAHO-42 has gained a 'Decoy Grenade' #31074.
[08:13:28	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Decoy Grenade' (#31073)
[08:13:28	]C17:BASTIRICI.IDAHO-42 has gained a 'Decoy Grenade' #31073.
[08:13:41	]C17:BASTIRICI.IDAHO-42 has spawned a flash_grenade.
[08:13:43	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Flash Grenade' (#31075)
[08:13:43	]C17:BASTIRICI.IDAHO-42 has gained a 'Flash Grenade' #31075.
[08:14:18	]C17:BASTIRICI.IDAHO-42 has spawned a attn_eotech.
[08:14:20	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'EOTech 552' (#31076)
[08:14:20	]C17:BASTIRICI.IDAHO-42 has gained a 'EOTech 552' #31076.
[08:14:47	]C17:BASTIRICI.IDAHO-42 ran 'drop' on item 'EOTech 552' (#31076)
[08:14:47	]C17:BASTIRICI.IDAHO-42 has lost a 'EOTech 552' #31076.
[08:14:51	]C17:BASTIRICI.IDAHO-42 has used a context menu option with the name: rb655_dissolve
[08:14:53	]env_entity_dissolver destroyed a 'EOTech 552' #31076.
[08:15:43	]C17:BASTIRICI.IDAHO-42 has spawned a improved_yellow.
[08:15:44	]C17:BASTIRICI.IDAHO-42 has spawned a improved_green.
[08:15:44	]C17:BASTIRICI.IDAHO-42 has spawned a quality_red.
[08:15:44	]C17:BASTIRICI.IDAHO-42 has spawned a quality_blue.
[08:15:47	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Kaliteli Mavi Hap' (#31080)
[08:15:47	]C17:BASTIRICI.IDAHO-42 has gained a 'Kaliteli Mavi Hap' #31080.
[08:15:49	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Kaliteli Kırmızı Hap' (#31079)
[08:15:49	]C17:BASTIRICI.IDAHO-42 has gained a 'Kaliteli Kırmızı Hap' #31079.
[08:15:50	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Geliştirilmiş Yeşil Hap' (#31078)
[08:15:50	]C17:BASTIRICI.IDAHO-42 has gained a 'Geliştirilmiş Yeşil Hap' #31078.
[08:15:52	]C17:BASTIRICI.IDAHO-42 ran 'take' on item 'Geliştirilmiş Sarı Hap' (#31077)
[08:15:52	]C17:BASTIRICI.IDAHO-42 has gained a 'Geliştirilmiş Sarı Hap' #31077.
[08:16:00	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2695][arccw_fml_volk_pkp]'.
[08:16:01	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2812][arccw_fml_volk_pkp]'.
[08:16:18	]C17:BASTIRICI.IDAHO-42 ran 'Equip' on item 'Frag Grenade' (#31070)
[08:16:19	]C17:BASTIRICI.IDAHO-42 ran 'Equip' on item 'Decoy Grenade' (#31074)
[08:16:28	]C17:BASTIRICI.IDAHO-42 entered observer.
[08:16:37	]C17:BASTIRICI.IDAHO-42 exited observer at their location.
[08:16:54	]C17:BASTIRICI.IDAHO-42 has spawned a 'NPC [2813][npc_zombie]'.
[08:16:55	]C17:BASTIRICI.IDAHO-42 has spawned a 'NPC [2814][npc_zombie]'.
[08:16:57	]C17:BASTIRICI.IDAHO-42 has spawned a 'NPC [2816][npc_zombie]'.
[08:17:16	]Goblin has unloaded their "C17:BASTIRICI.IDAHO-42" character.
[08:17:20	]Goblin loaded the character 'C17/CHARGER.IDAHO-100'
[08:17:40	]C17/CHARGER.IDAHO-100 ran 'combine' on item 'Pompalı Fişeği' (#31018)
[08:17:41	]C17/CHARGER.IDAHO-100 ran 'drop' on item 'Pompalı Fişeği' (#31003)
[08:17:41	]C17/CHARGER.IDAHO-100 has lost a 'Pompalı Fişeği' #31003.
[08:17:46	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:17:48	]env_entity_dissolver destroyed a 'Pompalı Fişeği' #31003.
[08:17:57	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:17:57	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:17:57	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:17:58	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:17:58	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:17:59	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:18:00	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:18:01	]C17/CHARGER.IDAHO-100 has spawned a bullets_buckshot.
[08:18:09	]C17/CHARGER.IDAHO-100 has spawned a magazine_oais_12rnd.
[08:18:09	]C17/CHARGER.IDAHO-100 has spawned a magazine_oais_12rnd.
[08:18:09	]C17/CHARGER.IDAHO-100 has spawned a magazine_oais_12rnd.
[08:18:10	]C17/CHARGER.IDAHO-100 has spawned a magazine_oais_12rnd.
[08:18:10	]C17/CHARGER.IDAHO-100 has spawned a magazine_oais_12rnd.
[08:18:11	]C17/CHARGER.IDAHO-100 has spawned a magazine_oais_12rnd.
[08:18:13	]C17/CHARGER.IDAHO-100 ran 'take' on item '12rnd OAIS-şarjörü' (#31092)
[08:18:13	]C17/CHARGER.IDAHO-100 has gained a '12rnd OAIS-şarjörü' #31092.
[08:18:13	]C17/CHARGER.IDAHO-100 ran 'take' on item '12rnd OAIS-şarjörü' (#31094)
[08:18:13	]C17/CHARGER.IDAHO-100 has gained a '12rnd OAIS-şarjörü' #31094.
[08:18:14	]C17/CHARGER.IDAHO-100 ran 'take' on item '12rnd OAIS-şarjörü' (#31089)
[08:18:15	]C17/CHARGER.IDAHO-100 ran 'take' on item '12rnd OAIS-şarjörü' (#31091)
[08:18:26	]C17/CHARGER.IDAHO-100 ran 'combine' on item '12rnd OAIS-şarjörü' (#31094)
[08:18:27	]C17/CHARGER.IDAHO-100 ran 'combine' on item '12rnd OAIS-şarjörü' (#31092)
[08:18:31	]C17/CHARGER.IDAHO-100 ran 'take' on item '12rnd OAIS-şarjörü' (#31091)
[08:18:31	]C17/CHARGER.IDAHO-100 has gained a '12rnd OAIS-şarjörü' #31091.
[08:18:32	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Pompalı Fişeği' (#31087)
[08:18:32	]C17/CHARGER.IDAHO-100 has gained a 'Pompalı Fişeği' #31087.
[08:18:33	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Pompalı Fişeği' (#31086)
[08:18:33	]C17/CHARGER.IDAHO-100 has gained a 'Pompalı Fişeği' #31086.
[08:18:34	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Pompalı Fişeği' (#31085)
[08:18:34	]C17/CHARGER.IDAHO-100 has gained a 'Pompalı Fişeği' #31085.
[08:18:35	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Pompalı Fişeği' (#31083)
[08:18:35	]C17/CHARGER.IDAHO-100 has gained a 'Pompalı Fişeği' #31083.
[08:18:37	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Pompalı Fişeği' (#31084)
[08:18:37	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Pompalı Fişeği' (#31081)
[08:18:40	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:18:40	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:18:41	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:18:42	]env_entity_dissolver destroyed a 'Pompalı Fişeği' #31088.
[08:18:42	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:18:42	]env_entity_dissolver destroyed a 'Pompalı Fişeği' #31082.
[08:18:43	]env_entity_dissolver destroyed a 'Pompalı Fişeği' #31084.
[08:18:44	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:18:44	]env_entity_dissolver destroyed a 'Pompalı Fişeği' #31081.
[08:18:45	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:18:45	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:18:46	]env_entity_dissolver destroyed a '12rnd OAIS-şarjörü' #31093.
[08:18:47	]env_entity_dissolver destroyed a '12rnd OAIS-şarjörü' #31090.
[08:18:47	]env_entity_dissolver destroyed a '12rnd OAIS-şarjörü' #31089.
[08:19:05	]C17/CHARGER.IDAHO-100 ran 'combine' on item '12rnd OAIS-şarjörü' (#31091)
[08:19:21	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:21	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:22	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:22	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:22	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:22	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:22	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:22	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:22	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:23	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:23	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:23	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:23	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:23	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:23	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:23	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:24	]C17/CHARGER.IDAHO-100 has spawned a bandage.
[08:19:30	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Bandaj Rulosu' (#31097)
[08:19:31	]C17/CHARGER.IDAHO-100 ran 'take' on item 'Bandaj Rulosu' (#31096)
[08:19:40	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:41	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:42	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:42	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31106.
[08:19:43	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:43	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31103.
[08:19:44	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:44	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31108.
[08:19:45	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31096.
[08:19:45	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:46	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31097.
[08:19:46	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:47	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31110.
[08:19:48	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:48	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31100.
[08:19:49	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:50	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31104.
[08:19:50	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:51	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:51	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31111.
[08:19:52	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:53	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31099.
[08:19:53	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:54	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31107.
[08:19:54	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:55	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31109.
[08:19:55	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:56	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:57	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31105.
[08:19:58	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:19:58	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31102.
[08:19:58	]C17/CHARGER.IDAHO-100 has used a context menu option with the name: rb655_dissolve
[08:20:00	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31095.
[08:20:00	]env_entity_dissolver destroyed a 'Bandaj Rulosu' #31101.
[08:20:17	]C17/CHARGER.IDAHO-100 ran SAM command 'armor' with arguments: '100' '200'
[08:20:24	]C17/CHARGER.IDAHO-100 ran SAM command 'hp' with arguments: '100' '150'
[08:20:29	]Goblin has unloaded their "C17/CHARGER.IDAHO-100" character.
[08:20:34	]Goblin loaded the character '''Goblin'''
[08:20:37	]''Goblin'' entered observer.
[08:21:47	]Goblin (STEAM_0:0:601054844) has disconnected.
[09:22:04	]Revain has connected.
[09:25:47	]Revain created the character 'Jack Garry'
[09:25:47	]Revain loaded the character 'Jack Garry'
[09:25:47	]Jack Garry has gained a 'Açık Gri Kol Bandı' #31112.
[09:25:47	]Jack Garry has gained a '#58914 Kimlik Kartı' #31113.
[09:25:53	]Jack Garry used command '/ID'.
[09:26:12	]Revain (STEAM_0:1:608254786) has disconnected.
[15:18:15	]otistik has connected.
[15:19:26	]otistik created the character 'C17:RCT.YELLO-50'
[15:19:26	]otistik has gained level 5 in the Silahlar skill.
[15:19:26	]otistik has gained level 10 in the Hız skill.
[15:19:26	]otistik loaded the character 'C17:RCT.YELLO-50'
[15:19:26	]C17:RCT.YELLO-50 has gained a '#60971 Kimlik Kartı' #31114.
[15:19:26	]C17:RCT.YELLO-50 has gained a 'Combine PDA' #31115.
[15:19:26	]C17:RCT.YELLO-50 has gained a 'SK Üniforması' #31116.
[15:19:26	]C17:RCT.YELLO-50 has gained a 'SK Maskesi' #31117.
[15:19:26	]C17:RCT.YELLO-50 has gained a 'El Telsizi' #31118.
[15:19:26	]C17:RCT.YELLO-50 has gained a 'Küçük Çanta' #31119.
[15:19:26	]C17:RCT.YELLO-50 has gained a 'Büyük Çanta' #31120.
[15:20:18	]C17:RCT.YELLO-50 entered observer.
[15:21:02	]C17:RCT.YELLO-50 exited observer at their location.
[15:21:10	]C17:RCT.YELLO-50 ran 'ToggleOn' on item 'El Telsizi' (#31118)
[15:21:13	]C17:RCT.YELLO-50 ran 'Equip' on item 'Combine PDA' (#31115)
[15:22:17	][IC] C17:RCT.YELLO-50: <:: S. ::>
[15:22:18	][IC] C17:RCT.YELLO-50: <:: S. ::>
[15:22:52	]C17:i4.HELIX-50 used command '/CharSetName 50 C17:i4.HELIX-50'.
[15:22:57	][IC] C17:i4.HELIX-50: <:: Helıx. ::>
[15:22:59	][IC] C17:i4.HELIX-50: <:: HELIX. ::>
[15:23:13	]otistik (STEAM_0:0:142449284) has disconnected.
[15:51:49	]Victorian has connected.
[15:53:09	]Victorian loaded the character 'Kasuga Fruga'
[15:53:14	]Kasuga Fruga is fully healed.
[15:53:21	]Kasuga Fruga entered observer.
[15:53:26	]Kasuga Fruga ran 'Consume' on item 'Köpüklü Breen Suyu' (#30045)
[15:53:26	]Kasuga Fruga has gained a 'Boş Breen'in Suyu' #31121.
[15:53:27	]Kasuga Fruga ran 'Consume' on item 'Köpüklü Breen Suyu' (#30201)
[15:53:27	]Kasuga Fruga has gained a 'Boş Breen'in Suyu' #31122.
[15:53:30	]Kasuga Fruga ran 'Consume' on item 'Somon Biftek' (#30044)
[15:53:30	]Kasuga Fruga has gained a level 5 long boost in Zeka.
[15:53:30	]Kasuga Fruga has gained a level 5 long boost in Algı.
[15:53:35	]Kasuga Fruga ran 'Consume' on item 'Somon Biftek' (#30200)
[15:53:35	]Kasuga Fruga has wasted a level 5 long boost in Zeka (current: 1; target: 5).
[15:53:35	]Kasuga Fruga has wasted a level 5 long boost in Algı (current: 1; target: 5).
[15:53:44	]Kasuga Fruga exited observer at their location.
[15:53:45	]Kasuga Fruga entered observer.
[15:53:46	]Kasuga Fruga exited observer at their location.
[15:53:49	]Kasuga Fruga entered observer.
