[00:00:00	][IT] C24:i3.KING-20: anlıyor
[00:02:35	][IC] Thomas Edward Lawrence: Destek masasında siviller var.
[00:02:38	][IC] Thomas Edward Lawrence: Efendim.
[00:02:39	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:02:42	][LOOC] Garrett Foster: jumpscare attın asmk
[00:02:43	][ME] C24:i3.KING-20: çok sessiz, sakin, rahatlatıcı bir sesle.
[00:02:44	][LOOC] Garrett Foster: jumpscare attın amjk
[00:02:46	][LOOC] Garrett Foster: jumpscare attın amk
[00:02:48	][W] C24:i3.KING-20: Ağlama sevgilim..
[00:02:52	][W] C24:i3.KING-20: Ben yanındayım..
[00:02:57	][W] C24:i3.KING-20: Herşey bitti ve geçti.
[00:03:09	][IC] C24:RCT.YELLO-54: <:: Evet? ::>
[00:03:12	][PICKUP DISPENSER] Denizus ( Thomas Edward Lawrence ) picked up an item from the pickup dispenser.
[00:03:12	]Thomas Edward Lawrence has gained a 'Hairdresser tools' #164096.
[00:03:13	][IC] Kemal Şengör: İş için geldim.
[00:03:16	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:03:20	][IC] C24:RCT.YELLO-54: <:: Düşüneyim. ::>
[00:03:23	][IC] Thomas Edward Lawrence: Şu saçlarımı bi' tıraş edeyim.
[00:03:29	][ME] C24:i5.(X)KING-19: İstem dışı ağlamaya devam ediyor.
[00:03:29	]Thomas Edward Lawrence ran 'Style' on item 'Hairdresser tools' (#164096)
[00:03:39	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:03:40	][LOOC] Valeria Martin: bisey sorcam
[00:03:44	][IC] C24:i3.KING-20: Mmmh..
[00:03:46	][LOOC] Valeria Martin: sen denizus musun
[00:03:49	][LOOC] Thomas Edward Lawrence: evet
[00:03:50	][W] C24:i3.KING-20: Ağlayacaksan.
[00:03:53	][LOOC] Valeria Martin: ha okey
[00:03:55	][IC] C24:RCT.YELLO-54: <:: Sokağı süpür çöpleri boşalt. ::>
[00:03:56	]Thomas Edward Lawrence ran 'Style' on item 'Hairdresser tools' (#164096)
[00:03:59	][W] C24:i3.KING-20: Onu öldüremediğin için sinirden ağla bitanem.
[00:03:59	][IC] C24:RCT.YELLO-54: <:: Hizmet et. ::>
[00:04:02	][IC] Kemal Şengör: Anlaşıldı.
[00:04:08	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:04:09	][W] C24:i3.KING-20: Seni her zaman koruyacağım, yanında olacağım..
[00:04:10	]Kemal Şengör ran 'take' on item 'Ahşap Çerçeve' (#163748)
[00:04:10	]Kemal Şengör has gained a 'Ahşap Çerçeve' #163748.
[00:04:10	][IC] C24:RCT.YELLO-54: <:: Sende ona yardım et. ::>
[00:04:12	][W] C24:i3.KING-20: Mmhh...
[00:04:23	][PICKUP DISPENSER] Revain ( Garrett Foster ) picked up an item from the pickup dispenser.
[00:04:23	]Garrett Foster has gained a 'Daire Anahtarı' #164097.
[00:04:24	][IC] C24:RCT.YELLO-54: <:: Çöp kutularındaki çöpleride değiştirin. ::>
[00:04:36	]nikita has gained a 'Eski Masa Saati' #164098.
[00:04:36	]nikita has gained a 'Boş Kahve Fincanı' #164099.
[00:04:39	][IC] C24:RCT.YELLO-54: <:: Hassiktir! ::>
[00:04:41	]Kemal Şengör opened the 'Çöp Kutusu' #10952 container.
[00:04:43	]Kemal Şengör has gained a 'Boş Breen'in Suyu' #163729 from a container with the name 'Çöp Kutusu' #10952.
[00:04:43	]Kemal Şengör has gained a 'Plastik Çöp' #151558 from a container with the name 'Çöp Kutusu' #10952.
[00:04:43	]Kemal Şengör has transferred a 'Plastik Çöp' #151558 to a container with the name 'Çöp Kutusu' #10952.
[00:04:43	]Kemal Şengör ran 'drop' on item 'Plastik Çöp' (#151558)
[00:04:43	]Kemal Şengör has gained a 'Boş Breen'in Suyu' #163600 from a container with the name 'Çöp Kutusu' #10952.
[00:04:43	]Kemal Şengör has transferred a 'Boş Breen'in Suyu' #163600 to a container with the name 'Çöp Kutusu' #10952.
[00:04:43	]Kemal Şengör has gained a 'Boş Breen'in Suyu' #163600 from a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has transferred a 'Boş Breen'in Suyu' #163600 to a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has gained a 'Boş Kavanoz' #163599 from a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has transferred a 'Boş Kavanoz' #163599 to a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör ran 'drop' on item 'Boş Kavanoz' (#163599)
[00:04:44	]Kemal Şengör has gained a 'Boş Breen'in Suyu' #164077 from a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has gained a 'Boş Breen'in Suyu' #152164 from a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has transferred a 'Boş Breen'in Suyu' #152164 to a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör ran 'drop' on item 'Boş Breen'in Suyu' (#152164)
[00:04:44	]Kemal Şengör has gained a 'Boş Bob Suyu' #151616 from a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has transferred a 'Boş Bob Suyu' #151616 to a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has gained a 'Boş Breen'in Suyu' #163880 from a container with the name 'Çöp Kutusu' #10952.
[00:04:44	]Kemal Şengör has gained a 'Boş Kavanoz' #164082 from a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör has transferred a 'Boş Kavanoz' #164082 to a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör ran 'drop' on item 'Boş Kavanoz' (#164082)
[00:04:45	]Kemal Şengör ran 'drop' on item 'Boş Kavanoz' (#164082)
[00:04:45	]Kemal Şengör has gained a 'Boş Kavanoz' #164078 from a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör has gained a 'Boş Kavanoz' #154535 from a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör has transferred a 'Boş Kavanoz' #154535 to a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör has gained a 'Plastik Çöp' #151558 from a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör has transferred a 'Plastik Çöp' #151558 to a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör has gained a 'Plastik Çöp' #151558 from a container with the name 'Çöp Kutusu' #10952.
[00:04:45	]Kemal Şengör has gained a 'Boş Breen'in Suyu' #163600 from a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Kemal Şengör has gained a 'Boş Bob Suyu' #151616 from a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Kemal Şengör has transferred a 'Boş Bob Suyu' #151616 to a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Kemal Şengör has gained a 'Boş Bob Suyu' #152165 from a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Kemal Şengör has transferred a 'Boş Bob Suyu' #152165 to a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Kemal Şengör has gained a 'Boş Kavanoz' #154535 from a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Kemal Şengör has transferred a 'Boş Kavanoz' #154535 to a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Kemal Şengör has gained a 'Boş Kavanoz' #154535 from a container with the name 'Çöp Kutusu' #10952.
[00:04:46	]Garrett Foster entered observer.
[00:04:46	]Kemal Şengör has transferred a 'Boş Kavanoz' #154535 to a container with the name 'Çöp Kutusu' #10952.
[00:04:47	]Kemal Şengör has gained a 'Boş Bob Suyu' #151616 from a container with the name 'Çöp Kutusu' #10952.
[00:04:47	]Kemal Şengör has transferred a 'Boş Bob Suyu' #151616 to a container with the name 'Çöp Kutusu' #10952.
[00:04:47	]Kemal Şengör has gained a 'Boş Bob Suyu' #151616 from a container with the name 'Çöp Kutusu' #10952.
[00:04:47	]Kemal Şengör has transferred a 'Boş Bob Suyu' #151616 to a container with the name 'Çöp Kutusu' #10952.
[00:04:47	]Kemal Şengör ran 'drop' on item 'Boş Bob Suyu' (#151616)
[00:04:47	]Kemal Şengör has gained a 'Boş Bob Suyu' #151616 from a container with the name 'Çöp Kutusu' #10952.
[00:04:47	]Kemal Şengör has transferred a 'Boş Bob Suyu' #151616 to a container with the name 'Çöp Kutusu' #10952.
[00:04:48	]Kemal Şengör has gained a 'Boş Bob Suyu' #152165 from a container with the name 'Çöp Kutusu' #10952.
[00:04:48	][ME] C24:i3.KING-20: burnunu kafasının arkasına biraz daha daldırıyor ve beklemeye başlıyor
[00:04:48	]nikita opened the 'Çöp Kutusu' #10952 container.
[00:04:49	]Kemal Şengör has gained a 'Boş Bob Suyu' #151616 from a container with the name 'Çöp Kutusu' #10952.
[00:04:49	]Kemal Şengör has gained a 'Boş Kavanoz' #154535 from a container with the name 'Çöp Kutusu' #10952.
[00:04:51	]Kemal Şengör closed the 'Çöp Kutusu' #10952 container.
[00:04:51	]Kemal Şengör closed the 'Çöp Kutusu' #10952 container.
[00:04:53	]nikita opened the 'Çöp Kutusu' #10952 container.
[00:04:53	]nikita closed the 'Çöp Kutusu' #10952 container.
[00:04:53	][ME] C24:i5.(X)KING-19: Ağlıyor fakat sebebi yaraları değil.
[00:04:54	]nikita ran 'take' on item 'Boş Kavanoz' (#163599)
[00:04:54	]nikita has gained a 'Boş Kavanoz' #163599.
[00:04:55	]nikita ran 'take' on item 'Boş Kavanoz' (#164082)
[00:04:55	]nikita has gained a 'Boş Kavanoz' #164082.
[00:04:57	]nikita ran 'take' on item 'Boş Bob Suyu' (#151616)
[00:04:57	]nikita has gained a 'Boş Bob Suyu' #151616.
[00:04:57	]Kemal Şengör opened the 'Çöp Kutusu' #10953 container.
[00:04:59	]Kemal Şengör has gained a 'Breen Suyu' #164093 from a container with the name 'Çöp Kutusu' #10953.
[00:04:59	]Kemal Şengör has transferred a 'Breen Suyu' #164093 to a container with the name 'Çöp Kutusu' #10953.
[00:04:59	]Kemal Şengör ran 'drop' on item 'Breen Suyu' (#164093)
[00:04:59	]Kemal Şengör has gained a 'Yapay Macun' #164092 from a container with the name 'Çöp Kutusu' #10953.
[00:04:59	]Kemal Şengör has transferred a 'Yapay Macun' #164092 to a container with the name 'Çöp Kutusu' #10953.
[00:04:59	]Kemal Şengör has gained a 'Yapay Macun' #164092 from a container with the name 'Çöp Kutusu' #10953.
[00:04:59	]Kemal Şengör has gained a 'Plastik Çöp' #164090 from a container with the name 'Çöp Kutusu' #10953.
[00:04:59	]Kemal Şengör has transferred a 'Plastik Çöp' #164090 to a container with the name 'Çöp Kutusu' #10953.
[00:05:01	]Kemal Şengör has gained a 'Plastik Çöp' #164090 from a container with the name 'Çöp Kutusu' #10953.
[00:05:03	]Kemal Şengör closed the 'Çöp Kutusu' #10953 container.
[00:05:06	]C24:RCT.YELLO-54 used command '/ActStand 3'.
[00:05:06	]nikita opened the 'Çöp Kutusu' #10953 container.
[00:05:07	]nikita closed the 'Çöp Kutusu' #10953 container.
[00:05:09	][ME] C24:i3.KING-20: algılamaya çalışıyor
[00:05:11	]nikita opened the 'Çöp Kutusu' #10953 container.
[00:05:11	]nikita closed the 'Çöp Kutusu' #10953 container.
[00:05:13	]C24:i3.KING-20 rolled 15 out of 20 (+0 from Algı).
[00:05:13	]C24:i3.KING-20 used command '/Roll perception'.
[00:05:13	]nikita opened the 'Çöp Kutusu' #10953 container.
[00:05:13	]nikita closed the 'Çöp Kutusu' #10953 container.
[00:05:15	]nikita ran 'Consume' on item 'Breen Suyu' (#164093)
[00:05:15	]nikita has updated their Zeka long boost target to -2 (current : -1).
[00:05:15	]nikita has wasted a level -1 long boost in Algı (current: -1; target: 0).
[00:05:15	]nikita has gained a 'Boş Breen'in Suyu' #164100.
[00:05:16	]Kemal Şengör opened the 'Çöp Konteyneri' #10954 container.
[00:05:16	][ME] C24:i3.KING-20: neden ağlıyor?
[00:05:19	]Kemal Şengör closed the 'Çöp Konteyneri' #10954 container.
[00:05:27	][ME] C24:RCT.YELLO-54: Kendi kafasına hafifçe vurur
[00:05:28	][IC] C24:RCT.YELLO-54: <:: Lanet olsun. ::>
[00:05:28	]C24:RCT.YELLO-54 used command '/ExitAct'.
[00:05:40	]nikita opened the 'Çöp Konteyneri' #10954 container.
[00:05:42	]nikita closed the 'Çöp Konteyneri' #10954 container.
[00:05:47	][IT] C24:i5.(X)KING-19: Kişinin daha önce söyledikleri ile alakalı olabilir
[00:05:53	][IC] C24:RCT.YELLO-54: <:: Ne yapıyorsun burda. ::>
[00:05:55	]Kemal Şengör ran 'take' on item 'Boş Paket Servis' (#163994)
[00:05:55	]Kemal Şengör has gained a 'Boş Paket Servis' #163994.
[00:05:56	][LOOC] C24:i5.(X)KING-19: dur bi
[00:05:59	][IC] Thomas Edward Lawrence: Dolaşıyorum.
[00:06:00	]nikita used command '/CharFallOver'.
[00:06:01	][IC] C24:RCT.YELLO-54: <:: Ve neden koşuyorsun. ::>
[00:06:03	][IC] C24:RCT.YELLO-54: <:: Acelenmi var? ::>
[00:06:04	]nikita used command '/CharFallOver'.
[00:06:04	][LOOC] C24:i3.KING-20: ne?
[00:06:05	]nikita used command '/CharGetUp'.
[00:06:10	][IC] Thomas Edward Lawrence: Ayağım takıldı merdivenden inerken.
[00:06:12	][LOOC] C24:i5.(X)KING-19: afk 2 dk bekle
[00:06:12	][IC] Thomas Edward Lawrence: Toparlıyordum.
[00:06:13	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:06:18	][IC] C24:RCT.YELLO-54: <:: Ondan öncede koşuyordun. ::>
[00:06:19	][LOOC] C24:i3.KING-20: gelince yaz
[00:06:19	]Garrett Foster exited observer at their location.
[00:06:20	]Garrett Foster entered observer.
[00:06:24	]Garrett Foster opened the 'Dropped Items' #10978 container.
[00:06:26	][IC] Thomas Edward Lawrence: Yok, koşmadım.
[00:06:30	][IC] Thomas Edward Lawrence: Özellikle dikkat ettim.
[00:06:31	]Garrett Foster closed the 'Dropped Items' #10978 container.
[00:06:32	][IC] C24:RCT.YELLO-54: <:: Ben yalanmı söylüyorum? ::>
[00:06:38	]Kemal Şengör has gained a 'Karton Kutu' #164101.
[00:06:39	]Garrett Foster exited observer at their location.
[00:06:41	][IC] Thomas Edward Lawrence: Hayır, başkasıyla karıştırıyorsunuzdur sadece.
[00:06:43	]Garrett Foster has used a context menu option with the name: rb655_door_unlock
[00:06:45	]Garrett Foster has used a context menu option with the name: rb655_door_open
[00:06:48	]Garrett Foster has used a context menu option with the name: rb655_door_lock
[00:06:48	][IC] C24:RCT.YELLO-54: <:: Beni aptal yerine koyma bida. ::>
[00:06:50	][IC] C24:RCT.YELLO-54: <:: Yürü! ::>
[00:06:57	][IC] Thomas Edward Lawrence: Buyrun.
[00:07:04	][IC] C24:RCT.YELLO-54: <:: Hareket et dedim! ::>
[00:07:08	][IC] Garrett Foster: Hahaha.
[00:07:09	][IC] Thomas Edward Lawrence: Hmph.
[00:07:13	][IC] Garrett Foster: Hahahahwa.
[00:07:16	][IC] Thomas Edward Lawrence: Bu saçmalık!
[00:07:22	]C24:i5.(X)KING-19 used command '/StaticCharActionRemove'.
[00:07:29	][ME] C24:RCT.YELLO-54: Derin nefesler alıyor.
[00:07:33	]Garrett Foster entered observer.
[00:07:47	]C24:RCT.YELLO-54 used command '/ActLean'.
[00:07:49	]Revain loaded the character 'Simon Hayes'
[00:07:50	]C24:RCT.YELLO-54 used command '/ActLean'.
[00:07:53	]Simon Hayes entered observer.
[00:07:56	]Kemal Şengör opened the 'Çöp Konteyneri' #10261 container.
[00:07:56	]nikita opened the 'Çöp Konteyneri' #10261 container.
[00:07:59	]Kemal Şengör closed the 'Çöp Konteyneri' #10261 container.
[00:07:59	]Kemal Şengör closed the 'Çöp Konteyneri' #10261 container.
[00:08:05	]Simon Hayes ran 'EquipUn' on item 'Glock 17' (#72549)
[00:08:05	]Simon Hayes has gained a '20rnd Glock Magazine' #72550.
[00:08:25	][IC] C24:RCT.YELLO-54: <:: İşinizi bitirdinizmi. ::>
[00:08:27	][IC] C24:RCT.YELLO-54: <:: Gidin. ::>
[00:08:30	][IC] Kemal Şengör: Evet.
[00:08:33	][IC] C24:RCT.YELLO-54: <:: Yürü! ::>
[00:08:36	][IC] C24:RCT.YELLO-54: <:: Hareket et dedim! ::>
[00:08:49	]Simon Hayes claimed a report by Valeria Martin (Rosemary).
[00:08:51	]Simon Hayes ran SAM command 'goto' with arguments: '#7'
[00:08:57	][ME] C24:RCT.YELLO-54: Derin nefesler alıyor.
[00:09:00	][LOOC] Simon Hayes: handschar rolde, bakamaz
[00:09:01	][IC] C24:RCT.YELLO-54: <:: Bırakın çöpleri. ::>
[00:09:02	]C24:i3.KING-20 entered observer.
[00:09:03	]C24:RCT.YELLO-54 used command '/ToggleRaise'.
[00:09:04	]Kemal Şengör ran 'drop' on item 'Boş Breen'in Suyu' (#164077)
[00:09:04	]Kemal Şengör has lost a 'Boş Breen'in Suyu' #164077.
[00:09:06	]nikita ran 'drop' on item 'Boş Breen'in Suyu' (#164100)
[00:09:06	]nikita has lost a 'Boş Breen'in Suyu' #164100.
[00:09:07	]C24:i3.KING-20 exited observer at their location.
[00:09:07	]nikita ran 'drop' on item 'Boş Bob Suyu' (#151616)
[00:09:07	]nikita has lost a 'Boş Bob Suyu' #151616.
[00:09:08	]Kemal Şengör ran 'drop' on item 'Boş Breen'in Suyu' (#163880)
[00:09:08	]Kemal Şengör has lost a 'Boş Breen'in Suyu' #163880.
[00:09:08	]nikita ran 'drop' on item 'Boş Kavanoz' (#164082)
[00:09:08	]nikita has lost a 'Boş Kavanoz' #164082.
[00:09:10	]nikita ran 'drop' on item 'Boş Kahve Fincanı' (#164099)
[00:09:10	]nikita has lost a 'Boş Kahve Fincanı' #164099.
[00:09:10	]Kemal Şengör ran 'drop' on item 'Boş Breen'in Suyu' (#163729)
[00:09:10	]Kemal Şengör has lost a 'Boş Breen'in Suyu' #163729.
[00:09:10	]C24:i3.KING-20 used command '/Radio 54 durum raporu'.
[00:09:11	]nikita ran 'drop' on item 'Eski Masa Saati' (#164098)
[00:09:11	]nikita has lost a 'Eski Masa Saati' #164098.
[00:09:12	]Kemal Şengör ran 'drop' on item 'Boş Breen'in Suyu' (#163600)
[00:09:12	]Kemal Şengör has lost a 'Boş Breen'in Suyu' #163600.
[00:09:13	]nikita ran 'drop' on item 'Boş Kavanoz' (#163599)
[00:09:13	]nikita has lost a 'Boş Kavanoz' #163599.
[00:09:13	][IC] C24:RCT.YELLO-54: <:: Çöpleri boşalttınız değilmi. ::>
[00:09:14	]Kemal Şengör ran 'Consume' on item 'Yapay Macun' (#164092)
[00:09:14	]Kemal Şengör has gained a 'Boş Kavanoz' #164102.
[00:09:16	]Kemal Şengör ran 'drop' on item 'Boş Bob Suyu' (#152165)
[00:09:16	]Kemal Şengör has lost a 'Boş Bob Suyu' #152165.
[00:09:18	]C24:RCT.YELLO-54 used command '/Radio 10-20 Destek Masası'.
[00:09:18	]Kemal Şengör ran 'drop' on item 'Karton Kutu' (#164101)
[00:09:18	]Kemal Şengör has lost a 'Karton Kutu' #164101.
[00:09:21	]Kemal Şengör ran 'drop' on item 'Ahşap Çerçeve' (#163748)
[00:09:21	]Kemal Şengör has lost a 'Ahşap Çerçeve' #163748.
[00:09:27	]Kemal Şengör ran 'drop' on item 'Boş Paket Servis' (#163994)
[00:09:27	]Kemal Şengör has lost a 'Boş Paket Servis' #163994.
[00:09:30	]C24:RCT.YELLO-54 used command '/CP nasıl değişiyoduk şunu ya'.
[00:09:30	]Kemal Şengör ran 'drop' on item 'Plastik Çöp' (#151558)
[00:09:30	]Kemal Şengör has lost a 'Plastik Çöp' #151558.
[00:09:31	][LOOC] Simon Hayes: geldiğinizde pm atın
[00:09:34	]C24:i3.KING-20 used command '/PM 54 her zırh değiştirdiğinde vs /sc tac-3 yapmayı unutma'.
[00:09:35	]Kemal Şengör ran 'drop' on item 'Boş Kavanoz' (#164102)
[00:09:35	]Kemal Şengör has lost a 'Boş Kavanoz' #164102.
[00:09:37	]C24:i3.KING-20 used command '/CP yazdım'.
[00:09:38	]C24:i3.KING-20 used command '/Radio copy'.
[00:09:38	]C24:RCT.YELLO-54 used command '/SC Tac-3'.
[00:09:39	]Kemal Şengör ran 'drop' on item 'Plastik Çöp' (#164090)
[00:09:39	]Kemal Şengör has lost a 'Plastik Çöp' #164090.
[00:09:40	]Kemal Şengör ran 'drop' on item 'Boş Kavanoz' (#164078)
[00:09:40	]Kemal Şengör has lost a 'Boş Kavanoz' #164078.
[00:09:42	]Kemal Şengör ran 'drop' on item 'Boş Kavanoz' (#154535)
[00:09:42	]Kemal Şengör has lost a 'Boş Kavanoz' #154535.
[00:09:43	]C24:RCT.YELLO-54 destroyed a 'Boş Kavanoz' #163599.
[00:09:44	]C24:RCT.YELLO-54 destroyed a 'Boş Kavanoz' #164082.
[00:09:46	]C24:RCT.YELLO-54 destroyed a 'Boş Kahve Fincanı' #164099.
[00:09:47	]C24:RCT.YELLO-54 destroyed a 'Boş Bob Suyu' #152165.
[00:09:49	][IC] Kemal Şengör: Bu kadar benim.
[00:09:50	]C24:RCT.YELLO-54 destroyed a 'Boş Breen'in Suyu' #164100.
[00:09:51	]C24:RCT.YELLO-54 destroyed a 'Karton Kutu' #164101.
[00:09:52	]C24:RCT.YELLO-54 destroyed a 'Boş Breen'in Suyu' #163729.
[00:09:52	]C24:RCT.YELLO-54 destroyed a 'Ahşap Çerçeve' #163748.
[00:09:53	]C24:RCT.YELLO-54 destroyed a 'Eski Masa Saati' #164098.
[00:09:55	]C24:RCT.YELLO-54 destroyed a 'Boş Bob Suyu' #151616.
[00:09:57	]C24:RCT.YELLO-54 destroyed a 'Boş Breen'in Suyu' #163600.
[00:09:58	]C24:RCT.YELLO-54 destroyed a 'Boş Breen'in Suyu' #163880.
[00:09:59	]C24:RCT.YELLO-54 destroyed a 'Boş Breen'in Suyu' #164077.
[00:09:59	]C24:RCT.YELLO-54 destroyed a 'Boş Kavanoz' #164078.
[00:10:00	]C24:RCT.YELLO-54 destroyed a 'Boş Paket Servis' #163994.
[00:10:01	]C24:RCT.YELLO-54 destroyed a 'Boş Kavanoz' #164102.
[00:10:04	]C24:RCT.YELLO-54 destroyed a 'Plastik Çöp' #164090.
[00:10:04	]C24:RCT.YELLO-54 destroyed a 'Boş Kavanoz' #154535.
[00:10:06	]C24:RCT.YELLO-54 destroyed a 'Plastik Çöp' #151558.
[00:10:09	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:10:12	][IC] C24:RCT.YELLO-54: <:: Doğrula. ::>
[00:10:15	][LOOC] C24:i5.(X)KING-19: geldim
[00:10:15	]Kemal Şengör used command '/ID'.
[00:10:25	]Simon Hayes has spawned 'models/willardnetworks/combine/antibody.mdl'.
[00:10:26	][ME] C24:i5.(X)KING-19: Kişi duruşunu düzeltip kalkmayı dener..
[00:10:31	][IC] C24:RCT.YELLO-54: <:: Hizmet et. ::>
[00:10:33	][IC] C24:RCT.YELLO-54: <:: Doğrula. ::>
[00:10:35	]nikita used command '/ID'.
[00:10:37	]C24:i5.(X)KING-19 rolled 3 out of 20 (+2 from Güç).
[00:10:37	]C24:i5.(X)KING-19 used command '/Roll strength'.
[00:10:43	]C24:RCT.YELLO-54 used the 'Destek Masası Dağıtıcısı' vendor.
[00:10:47	][ME] C24:i5.(X)KING-19: Elleri ile destek alıp dener.
[00:10:47	][IT] C24:i3.KING-20: kalkamaz
[00:10:47	][IC] C24:RCT.YELLO-54: <:: Hizmet et. ::>
[00:10:49	]Simon Hayes has fired a toolgun with the name: steam
[00:10:51	]C24:i5.(X)KING-19 rolled 16 out of 20 (+2 from Güç).
[00:10:51	]C24:i5.(X)KING-19 used command '/Roll strength'.
[00:10:55	][ME] C24:i3.KING-20: kalkar
[00:10:59	]C24:i5.(X)KING-19 used command '/ExitAct'.
[00:11:00	][LOOC] C24:i3.KING-20: void
[00:11:02	][IC] C24:RCT.YELLO-54: <:: NE bakıyorsun. ::>
[00:11:03	][ME] C24:i3.KING-20: doğrulur
[00:11:05	][IC] C24:i3.KING-20: Ne oldu?
