[01:26:30	]Night_Wish_ has connected.
[08:56:07	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15664.
[08:57:09	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[08:57:47	]C24:i3.UNION-66 ran 'EquipUn' on item 'MP7A1' (#16134)
[08:57:47	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15664.
[08:57:48	]C24:i3.UNION-66 ran 'drop' on item 'MP7A1' (#16134)
[08:57:48	]C24:i3.UNION-66 has lost a 'MP7A1' #16134.
[08:57:54	]C24:i3.UNION-66 destroyed a 'MP7A1' #16134.
[08:58:06	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15664)
[08:58:07	]C24:i3.UNION-66 ran 'drop' on item 'SMG Mermisi' (#15655)
[08:58:07	]C24:i3.UNION-66 has lost a 'SMG Mermisi' #15655.
[08:58:08	]C24:i3.UNION-66 ran 'drop' on item 'SMG Mermisi' (#15667)
[08:58:08	]C24:i3.UNION-66 has lost a 'SMG Mermisi' #15667.
[08:58:13	]C24:i3.UNION-66 destroyed a 'SMG Mermisi' #15667.
[08:58:14	]C24:i3.UNION-66 destroyed a 'SMG Mermisi' #15655.
[08:58:15	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[08:58:20	]C24:i3.UNION-66 has gained 0 chips.
[08:58:20	]C24:i3.UNION-66 has gained a 'Zip-Tie' #16135.
[08:58:26	]C24:i3.UNION-66 ran 'drop' on item 'Ağrı Kesici' (#14623)
[08:58:26	]C24:i3.UNION-66 has lost a 'Ağrı Kesici' #14623.
[08:58:27	]C24:i3.UNION-66 ran 'drop' on item 'Bandaj Rulosu' (#14629)
[08:58:27	]C24:i3.UNION-66 has lost a 'Bandaj Rulosu' #14629.
[08:58:48	]C24:i3.UNION-66 ran 'Equip' on item 'MP5A3' (#15649)
[08:58:50	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15664.
[08:59:04	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[08:59:07	]C24:i3.UNION-66 has gained 0 chips.
[08:59:07	]C24:i3.UNION-66 has gained a 'Ağrı Kesici' #16136.
[08:59:17	]C24:i3.UNION-66 has gained 0 chips.
[08:59:17	]C24:i3.UNION-66 has gained a 'Bandaj Rulosu' #16137.
[08:59:47	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15664.
[08:59:47	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15663.
[08:59:54	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15664)
[08:59:58	]C24:i3.UNION-66 ran 'drop' on item 'SMG Mermisi' (#15669)
[08:59:58	]C24:i3.UNION-66 has lost a 'SMG Mermisi' #15669.
[09:00:04	]C24:i3.UNION-66 destroyed a 'SMG Mermisi' #15669.
[09:00:08	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[09:00:11	]C24:i3.UNION-66 has gained 0 chips.
[09:00:11	]C24:i3.UNION-66 has gained a 'SMG Bullets' #16138.
[09:00:21	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15663.
[09:00:21	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15664.
[09:00:28	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15664.
[09:00:28	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15663.
[09:00:36	]C24:i3.UNION-66 ran 'use' on item 'SMG Bullets' (#16138)
[09:00:38	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15663.
[09:00:38	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15653.
[09:00:47	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15664)
[09:00:49	]C24:i3.UNION-66 ran 'combine' on item '30rnd MP-şarjörü' (#15663)
[09:00:50	]C24:i3.UNION-66 ran 'drop' on item 'SMG Mermisi' (#15657)
[09:00:50	]C24:i3.UNION-66 has lost a 'SMG Mermisi' #15657.
[09:00:56	]C24:i3.UNION-66 destroyed a 'SMG Mermisi' #15657.
[09:01:00	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[09:01:10	]C24:i3.UNION-66 has gained 0 chips.
[09:01:10	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #16139.
[09:01:10	]C24:i3.UNION-66 has gained 0 chips.
[09:01:10	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #16140.
[09:01:11	]C24:i3.UNION-66 has gained 0 chips.
[09:01:11	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #16141.
[09:01:12	]C24:i3.UNION-66 has gained 0 chips.
[09:01:12	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #16142.
[09:01:14	]C24:i3.UNION-66 has gained 0 chips.
[09:01:14	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #16143.
[09:01:25	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[09:01:29	]C24:i3.UNION-66 has gained 0 chips.
[09:01:29	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #16144.
[09:01:30	]C24:i3.UNION-66 has gained 0 chips.
[09:01:30	]C24:i3.UNION-66 has gained a 'SMG Mermisi' #16145.
[09:02:56	][PICKUP DISPENSER] Scientist ( C24:i3.UNION-66 ) picked up an item from the pickup dispenser.
[09:02:56	]C24:i3.UNION-66 has gained a '15 Kredi Kuponu' #16146.
[09:03:20	]C24:i3.UNION-66 ran 'Use' on item '20 Kredi Kuponu' (#16045)
[09:03:20	]C24:i3.UNION-66 ran 'Use' on item '15 Kredi Kuponu' (#16146)
[09:03:22	]C24:i3.UNION-66 has used a coupon at a ration dispenser, gaining 20 credits.
[09:03:24	]C24:i3.UNION-66 ran 'Use' on item '15 Kredi Kuponu' (#16146)
[09:03:27	]C24:i3.UNION-66 ran 'Use' on item '15 Kredi Kuponu' (#16146)
[09:03:29	]C24:i3.UNION-66 has used a coupon at a ration dispenser, gaining 15 credits.
[09:03:33	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15653.
[09:03:33	]C24:i3.UNION-66 has lost a '30rnd MP-şarjörü' #15664.
[09:03:55	]C24:i3.UNION-66 has turned a ration dispenser off.
[09:06:26	]Revain has connected.
[09:07:36	]C24:i3.UNION-66 used the 'SEK Malzeme Dolabı' vendor.
[09:07:37	]C24:i3.UNION-66 used the 'SEK Malzeme Dolabı' vendor.
[09:07:43	]C24:i3.UNION-66 used the 'SEK Malzeme Dolabı' vendor.
[09:07:45	]C24:i3.UNION-66 ran 'take' on item 'Plastik Çöp' (#15023)
[09:07:45	]C24:i3.UNION-66 has gained a 'Plastik Çöp' #15023.
[09:07:49	]C24:i3.UNION-66 ran 'drop' on item 'Plastik Çöp' (#15023)
[09:07:49	]C24:i3.UNION-66 has lost a 'Plastik Çöp' #15023.
[09:07:54	]C24:i3.UNION-66 destroyed a 'Plastik Çöp' #15023.
[09:07:57	]C24:i3.UNION-66 opened the 'Haşere Kontrolü Konteyneri' #2135 container.
[09:07:57	]C24:i3.UNION-66 closed the 'Haşere Kontrolü Konteyneri' #2135 container.
[09:07:58	]C24:i3.UNION-66 opened the 'Haşere Kontrolü Konteyneri' #2135 container.
[09:08:01	]C24:i3.UNION-66 closed the 'Haşere Kontrolü Konteyneri' #2135 container.
[09:09:18	]C24:i3.UNION-66 opened the 'Ahşap Masa' #2151 container.
[09:09:23	]C24:i3.UNION-66 has gained a 'Disk' #14017 from a container with the name 'Ahşap Masa' #2151.
[09:09:24	]C24:i3.UNION-66 closed the 'Ahşap Masa' #2151 container.
[09:10:14	]C24:i3.UNION-66 ran 'Write' on item 'ENDÜSTRİ 24 TEL NO.' (#14015)
[09:10:20	]C24:i3.UNION-66 ran 'take' on item 'ENDÜSTRİ 24 TEL NO.' (#14015)
[09:10:20	]C24:i3.UNION-66 has gained a 'ENDÜSTRİ 24 TEL NO.' #14015.
[09:10:25	]C24:i3.UNION-66 ran 'drop' on item 'ENDÜSTRİ 24 TEL NO.' (#14015)
[09:10:25	]C24:i3.UNION-66 has lost a 'ENDÜSTRİ 24 TEL NO.' #14015.
[09:10:34	]C24:i3.UNION-66 ran 'Write' on item 'ENDÜSTRİ 24 TEL NO.' (#14015)
[09:10:49	]C24:i3.UNION-66 opened the 'Ahşap Masa' #2151 container.
[09:10:55	]C24:i3.UNION-66 closed the 'Ahşap Masa' #2151 container.
[09:10:59	]C24:i3.UNION-66 ran 'Place' on item 'Disk' (#14017)
[09:10:59	]C24:i3.UNION-66 has lost a 'Disk' #14017.
[09:11:44	]Revain loaded the character 'Morgan Austin'
[09:12:25	]C24:i3.UNION-66 opened the 'Ahşap Masa' #2151 container.
[09:12:28	]C24:i3.UNION-66 closed the 'Ahşap Masa' #2151 container.
[09:12:41	]C24:i3.UNION-66 ran 'take' on item 'Disk' (#14017)
[09:12:41	]C24:i3.UNION-66 has gained a 'Disk' #14017.
[09:12:46	]C24:i3.UNION-66 opened the 'Ahşap Masa' #2151 container.
[09:12:52	]C24:i3.UNION-66 has transferred a 'Disk' #14017 to a container with the name 'Ahşap Masa' #2151.
[09:12:53	]C24:i3.UNION-66 closed the 'Ahşap Masa' #2151 container.
[09:12:59	]Morgan Austin entered observer.
[09:13:08	]Morgan Austin exited observer at their location.
[09:13:16	]Morgan Austin has used a context menu option with the name: rb655_door_unlock
[09:13:21	][IC] Morgan Austin: Sizin.
[09:13:25	][IC] Morgan Austin: Burda ne işiniz var?
[09:13:41	][IC] C24:i3.UNION-66: <:: Içeriden ses geldi. ::>
[09:13:50	]Lucifert has connected.
[09:13:50	][IC] C24:i3.UNION-66: <:: Normal boş olması gerekiyordu. ::>
[09:13:53	][IC] Morgan Austin: Kapı kilitliyken?
[09:14:09	][IC] C24:i3.UNION-66: <:: Bu yüzden şüphelendim ve girdim. ::>
[09:14:29	]Lucifert loaded the character 'Micheal North'
[09:14:32	][IC] C24:i3.UNION-66: <:: Masadaki not defteri düşmüş. ::>
[09:14:35	]Micheal North entered observer.
[09:14:36	][IC] Morgan Austin: Böyle bir hakkınız olacağını sanmıyorum, kapı kilitli ve güvenli.
[09:14:49	][IC] Morgan Austin: Not defteri o kadar ses çıkaramaz yumuşak bir cisim?
[09:14:59	][IC] C24:i3.UNION-66: <:: Not defteri kağıttan değil. ::>
[09:15:01	][IC] Morgan Austin: Kapılar kapalı,kilitli.
[09:15:03	][IC] C24:i3.UNION-66: <:: Tahtadan. ::>
[09:15:09	][IC] C24:i3.UNION-66: <:: Bu yüzden kontrol ettim. ::>
[09:15:15	][IC] Morgan Austin: Öyle bir defter yok yalnız ofisimde.
[09:15:27	][IC] C24:i3.UNION-66: <:: Isterseniz gösterebilirim. ::>
[09:15:31	][IC] Morgan Austin: Göster.
[09:15:46	][ME] C24:i3.UNION-66: kart ile açar
[09:15:59	]Lucifert loaded the character 'Edward Rocky'
[09:16:01	]Edward Rocky entered observer.
[09:16:07	]Edward Rocky exited observer.
[09:16:09	]Edward Rocky entered observer.
[09:16:12	]Edward Rocky exited observer.
[09:16:31	][IC] Morgan Austin: Eee.
[09:16:45	][IC] Morgan Austin: Böyle düşmedimi.
[09:16:54	][IC] C24:i3.UNION-66: <:: Yerdeydi. ::>
[09:16:55	][IC] Edward Rocky: S.
[09:16:59	][IC] C24:i3.UNION-66: <:: Yere düşmüş. ::>
[09:17:17	][IC] Morgan Austin: Her neyse, dediğim gibi ses çıkaramaz tahta abartılacak kadar ses çıkarmaz.
[09:17:26	][IC] Morgan Austin: Sonuçta tüm dünya duyamaz değilmi,.
[09:17:27	][IC] Morgan Austin: Haha.
[09:17:34	]Morgan Austin used command '/ActSit 2'.
[09:17:34	]Edward Rocky entered observer.
[09:17:35	][IC] C24:i3.UNION-66: <:: Evet. ::>
[09:17:35	]Morgan Austin used command '/ExitAct'.
[09:17:40	]Edward Rocky exited observer at their location.
[09:17:42	][IC] Morgan Austin: Peki gidebilirsiniz.
[09:17:50	]C24:i3.UNION-66 used command '/Radio u-66 code 12 clear'.
[09:17:56	][IC] Morgan Austin: Oh.
[09:18:00	][IC] Edward Rocky: Merhabalar.
[09:18:00	][IC] Morgan Austin: Merhaba.
[09:18:11	][IC] Edward Rocky: TİD Biriminden geliyorum.
[09:18:14	][IC] Morgan Austin: Ofisime gelin.
[09:18:16	][IC] Edward Rocky: Tabi.
[09:18:21	]Morgan Austin used command '/ActSit 4'.
[09:18:22	]Morgan Austin used command '/ExitAct'.
[09:18:23	]Edward Rocky used command '/ActSit 6'.
[09:18:25	][IC] Morgan Austin: Dinliyoruum.
[09:18:27	]Morgan Austin used command '/ActSit 6'.
[09:18:33	][IC] Edward Rocky: TİD Biriminden geliyorum ve şöyle bir durum var.
[09:18:37	][IC] Morgan Austin: TİD?
[09:18:38	][IC] Morgan Austin: Oh.
[09:18:48	][IC] Morgan Austin: Daha önce duymamıştım sanırsam.
[09:18:49	][IC] Edward Rocky: SİB Başkanın dediğine göre yeni bir sivil medikal birliği başkanı olacakmış.
[09:19:01	][IC] Morgan Austin: Evet o benim.
[09:19:09	][IC] Morgan Austin: Sivil medikal araştırma birliği.
[09:19:17	][IC] Edward Rocky: İşinizi beğeniyormusunuz?
[09:19:25	][IC] Morgan Austin: Kesinlikle,fazlasıyla.
[09:19:34	]Morgan Austin used command '/ExitAct'.
[09:19:36	][IC] Edward Rocky: Anladım bir kontrol amaçlı bilgisayarlarınıza bakabilirmiyim?
[09:19:36	]Morgan Austin used command '/ActSit 8'.
[09:19:38	]Morgan Austin used command '/ExitAct'.
[09:19:42	][IC] Morgan Austin: Tabii.
[09:19:42	]Edward Rocky used command '/ExitAct'.
[09:19:43	][IC] Morgan Austin: Bakın.
[09:19:49	][LOOC] Morgan Austin: bende bugda giremiyorum
[09:19:54	][ME] Edward Rocky: bilgisayara eğilir ve mouse'la birşeylere tıklar
[09:20:09	][IC] Edward Rocky: Tamamdır.
[09:20:17	][IC] Edward Rocky: Ofisinize aldığınız için teşşekürler bay morgan.
[09:20:33	][IC] Morgan Austin: Oh teşekkür edilecek birşey değildir bu efendim.
[09:20:47	]C24:i3.UNION-66 has changed C24:i3.UNION-66's bodygroups.
[09:20:55	][IC] Edward Rocky: Kapı lütfen.
[09:21:03	][LOOC] Morgan Austin: c'den açman lazım cp dışında kimse açamıyor
[09:21:07	]Edward Rocky has used a context menu option with the name: door_lockunlock
[09:21:12	][LOOC] Edward Rocky: ayarlarım onu
[09:21:21	][LOOC] Edward Rocky: sivil medikal araştırma değilmi bura
[09:21:22	][LOOC] Morgan Austin: tamamdır
[09:21:26	][LOOC] Morgan Austin: evet
[09:21:28	]Morgan Austin has used a context menu option with the name: rb655_door_unlock
[09:21:30	]C24:i3.UNION-66 has gained level 11 in the Hız skill.
[09:21:32	][LOOC] Edward Rocky: tamam kapıları ona veririm
[09:21:48	]Lucifert loaded the character 'Luther Campbell'
[09:21:49	]Luther Campbell entered observer.
[09:21:55	]Luther Campbell exited observer at their location.
[09:22:09	][IC] Morgan Austin: Merhabalar.
[09:22:09	][IC] Luther Campbell: Merhabalar.
[09:22:13	][LOOC] C24:i3.UNION-66: masa sadece bende mi görünmez
[09:22:17	][IC] Luther Campbell: Kapıların kilidi değişecekmiş duyduğuma göre.
[09:22:20	][LOOC] Morgan Austin: yok ki
[09:22:26	][IC] Morgan Austin: Evet evet.
[09:22:31	][IC] Luther Campbell: Birde masa getirdim.
[09:22:33	][LOOC] C24:i3.UNION-66: bilgisayar havada mı yani:)
[09:22:35	][IC] Luther Campbell: Onu bi taşıyıp geliyorum.
[09:22:37	][IC] Morgan Austin: Çok güzel.
[09:22:44	]Morgan Austin entered observer.
[09:22:46	][LOOC] C24:i3.UNION-66: he ooc işi ıc hallediyorsunuz iyi
[09:22:52	]Luther Campbell has spawned 'models/props_combine/breendesk.mdl'.
[09:22:55	]Morgan Austin used command '/PM luther aslında güzel rol la'.
[09:22:58	]Morgan Austin exited observer at their location.
[09:23:07	][ME] C24:i3.UNION-66: gücüme şaşırır
[09:23:12	]Morgan Austin has fired a toolgun with the name: particlecontrol
[09:23:16	]Luther Campbell has used a context menu option with the name: ignite
[09:23:16	][LOOC] Morgan Austin: NOLUUYO
[09:23:17	]Luther Campbell has used a context menu option with the name: extinguish
[09:23:18	][IC] C24:i3.UNION-66: <:: Shit! ::>
[09:23:27	][IC] Luther Campbell: Amına koyayım ya.
[09:23:30	][IC] Luther Campbell: Siktimin masası.
[09:23:34	][LOOC] Morgan Austin: mousemu sikeym
[09:23:40	][IC] Luther Campbell: Sıkıntı yok.
[09:23:42	][IC] Luther Campbell: Halledicem.
[09:23:45	]C24:i3.UNION-66 used command '/Radio smab binasının içindeki masa yanıyor'.
[09:23:56	][IC] Luther Campbell: Of ya.
[09:23:57	][IC] Morgan Austin: Birşey olmaz böylede getirebilirsiniz.
[09:24:00	][IC] C24:i3.UNION-66: <:: Bölgeyi izole edin. ::>
[09:24:08	][LOOC] C24:i3.UNION-66: nasıl taşıcan yanan şeyi
[09:24:10	][ME] Luther Campbell: gaz maskesini takar
[09:24:14	][IC] Morgan Austin: Öhö.
[09:24:15	][IC] Morgan Austin: Öhö.
[09:24:21	][IC] C24:i3.UNION-66: <:: Uzaklaşın. ::>
[09:24:25	][ME] Luther Campbell: yanıcı koruyucu eldivenlerini cebinden çıkartıp taşımaya başlar
[09:24:36	][IC] Morgan Austin: Durun.
[09:24:43	][IC] Luther Campbell: Söndürmemiz lazım.
[09:24:44	][ME] Morgan Austin: yangın söndürücüyü kullanır
[09:24:51	][IC] Luther Campbell: Güzel.
[09:24:56	][LOOC] C24:i3.UNION-66: yangın söndürücüyü içeriden al
[09:25:04	][LOOC] Luther Campbell: almış zaten
[09:25:08	][LOOC] Luther Campbell: içeriden geldi
[09:25:10	][LOOC] C24:i3.UNION-66: he
