[15:22:30	]Ellie Williams has connected.
[15:30:12	]Tommy Black has gained a 'Çivi Kutusu' #66027.
[15:30:13	]Tommy Black ran 'take' on item 'Boş Şarap Şişesi' (#66026)
[15:30:13	]Tommy Black has gained a 'Boş Şarap Şişesi' #66026.
[15:30:15	]Tommy Black ran 'combine' on item 'Çivi Kutusu' (#66024)
[15:30:48	]Tommy Black ran 'take' on item 'Eski Lastik' (#58866)
[15:30:48	]Tommy Black has gained a 'Eski Lastik' #58866.
[15:30:53	]Tommy Black ran 'take' on item 'Demir' (#66031)
[15:30:53	]Tommy Black has gained a 'Demir' #66031.
[15:30:55	]Tommy Black ran 'combine' on item 'Demir' (#66025)
[15:31:49	]Tommy Black opened the 'Çöp Konteyneri' #5552 container.
[15:31:52	]Tommy Black has gained a 'Plastik Kap' #65727 from a container with the name 'Çöp Konteyneri' #5552.
[15:31:54	]Tommy Black has gained a 'Boş Sağlık Şişesi' #65714 from a container with the name 'Çöp Konteyneri' #5552.
[15:31:56	]Tommy Black closed the 'Çöp Konteyneri' #5552 container.
[15:31:56	]Tommy Black opened the 'Çöp Konteyneri' #5552 container.
[15:31:59	]Tommy Black has gained a 'Boş Sağlık Şişesi' #65722 from a container with the name 'Çöp Konteyneri' #5552.
[15:32:01	]Tommy Black closed the 'Çöp Konteyneri' #5552 container.
[15:32:02	]Tommy Black ran 'take' on item 'Plastik Kap' (#64482)
[15:32:02	]Tommy Black has gained a 'Plastik Kap' #64482.
[15:32:21	]Tommy Black has gained level 6 in the Zanaatkarlık skill.
[15:32:21	]Tommy Black has performed the 'Craft Parçala: Plastik Kap' action, gaining 30 experience in crafting.
[15:32:21	]Tommy Black has gained a 'Plastik Çöp' #66032.
[15:32:24	]Tommy Black has performed the 'Craft Parçala: Plastik Kap' action, gaining 30 experience in crafting.
[15:32:50	]Tommy Black ran 'Unlock' on item 'Daire Anahtarı' (#64499)
[15:32:54	]Tommy Black ran 'Lock' on item 'Daire Anahtarı' (#64499)
[15:33:03	]Tommy Black opened the 'Büyük Kutu' #6202 container.
[15:33:05	]Tommy Black closed the 'Büyük Kutu' #6202 container.
[15:33:08	]Tommy Black ran 'drop' on item 'Boş Sağlık Şişesi' (#65714)
[15:33:08	]Tommy Black has lost a 'Boş Sağlık Şişesi' #65714.
[15:33:20	]Tommy Black ran 'take' on item 'Boş Sağlık Şişesi' (#65714)
[15:33:20	]Tommy Black has gained a 'Boş Sağlık Şişesi' #65714.
[15:33:34	]Tommy Black ran 'drop' on item 'Boş Şarap Şişesi' (#66026)
[15:33:34	]Tommy Black has lost a 'Boş Şarap Şişesi' #66026.
[15:33:39	]Tommy Black ran 'take' on item 'Boş Şarap Şişesi' (#66026)
[15:33:39	]Tommy Black has gained a 'Boş Şarap Şişesi' #66026.
[15:33:40	]Tommy Black ran 'take' on item 'Boş Votka Şişesi' (#65460)
[15:33:40	]Tommy Black has gained a 'Boş Votka Şişesi' #65460.
[15:33:44	]Tommy Black ran 'drop' on item 'Boş Votka Şişesi' (#65460)
[15:33:44	]Tommy Black has lost a 'Boş Votka Şişesi' #65460.
[15:33:47	]Tommy Black ran 'take' on item 'Boş Votka Şişesi' (#65460)
[15:33:47	]Tommy Black has gained a 'Boş Votka Şişesi' #65460.
[15:33:48	]Tommy Black ran 'drop' on item 'Boş Votka Şişesi' (#65460)
[15:33:48	]Tommy Black has lost a 'Boş Votka Şişesi' #65460.
[15:33:56	]Tommy Black ran 'drop' on item 'Boş Şarap Şişesi' (#66026)
[15:33:56	]Tommy Black has lost a 'Boş Şarap Şişesi' #66026.
[15:34:00	]Tommy Black opened the 'Buzdolabı' #6204 container.
[15:34:06	]Tommy Black closed the 'Buzdolabı' #6204 container.
[15:34:30	]Tommy Black ran 'take' on item 'Boş Benzin Bidonu' (#65451)
[15:34:30	]Tommy Black has gained a 'Boş Benzin Bidonu' #65451.
[15:34:32	]Tommy Black ran 'drop' on item 'Boş Benzin Bidonu' (#65451)
[15:34:32	]Tommy Black has lost a 'Boş Benzin Bidonu' #65451.
[15:34:36	]Tommy Black ran 'take' on item 'Boş Benzin Bidonu' (#65451)
[15:34:36	]Tommy Black has gained a 'Boş Benzin Bidonu' #65451.
[15:34:38	]Tommy Black ran 'drop' on item 'Boş Benzin Bidonu' (#65451)
[15:34:38	]Tommy Black has lost a 'Boş Benzin Bidonu' #65451.
[15:34:47	]Tommy Black opened the 'Orta Dosya Dolabı' #6196 container.
[15:34:50	]Tommy Black ran 'combine' on item 'Plastik Çöp' (#64327)
[15:34:53	]Tommy Black closed the 'Orta Dosya Dolabı' #6196 container.
[15:35:08	]Tommy Black opened the 'Büyük Kutu' #6202 container.
[15:35:10	]Tommy Black has transferred a 'Boş Sağlık Şişesi' #65714 to a container with the name 'Büyük Kutu' #6202.
[15:35:11	]Tommy Black has transferred a 'Boş Sağlık Şişesi' #65722 to a container with the name 'Büyük Kutu' #6202.
[15:35:12	]Tommy Black closed the 'Büyük Kutu' #6202 container.
[15:35:12	]Tommy Black opened the 'Büyük Kutu' #6203 container.
[15:35:14	]Tommy Black closed the 'Büyük Kutu' #6203 container.
[15:35:38	]Tommy Black used command '/ActSit 4'.
[15:35:39	]Tommy Black used command '/ExitAct'.
[15:35:57	]Tommy Black opened the 'Orta Dosya Dolabı' #6196 container.
[15:35:58	]Tommy Black closed the 'Orta Dosya Dolabı' #6196 container.
[15:36:05	]Tommy Black opened the 'Orta Dosya Dolabı' #6196 container.
[15:36:07	]Tommy Black ran 'split' on item 'Plastik Çöp' (#64327)
[15:36:08	]Tommy Black has gained a 'Plastik Çöp' #66033 from a container with the name 'Orta Dosya Dolabı' #6196.
[15:36:10	]Tommy Black closed the 'Orta Dosya Dolabı' #6196 container.
[15:36:14	]Tommy Black opened the 'Orta Dosya Dolabı' #6196 container.
[15:36:16	]Tommy Black has gained a 'Araç Kiti' #63977 from a container with the name 'Orta Dosya Dolabı' #6196.
[15:36:17	]Tommy Black closed the 'Orta Dosya Dolabı' #6196 container.
[15:36:21	]Tommy Black has performed the 'Craft Asma Kilit' action, gaining 50 experience in crafting.
[15:36:21	]Tommy Black has gained a 'Asma Kilit' #66034.
[15:36:22	]Tommy Black opened the 'Orta Dosya Dolabı' #6196 container.
[15:36:24	]Tommy Black has transferred a 'Araç Kiti' #63977 to a container with the name 'Orta Dosya Dolabı' #6196.
[15:36:25	]Tommy Black closed the 'Orta Dosya Dolabı' #6196 container.
[15:36:29	]Tommy Black opened the 'Orta Dosya Dolabı' #6196 container.
[15:36:32	]Tommy Black ran 'combine' on item 'Çivi Kutusu' (#64239)
[15:36:34	]Tommy Black ran 'combine' on item 'Demir' (#65431)
[15:36:35	]Tommy Black closed the 'Orta Dosya Dolabı' #6196 container.
[15:36:38	]Tommy Black ran 'Lock' on item 'Asma Kilit' (#66034)
[15:36:42	]Tommy Black has set the password for 'Orta Dosya Dolabı'.
[15:36:50	]Tommy Black ran 'drop' on item 'Eski Lastik' (#58866)
[15:36:50	]Tommy Black has lost a 'Eski Lastik' #58866.
[15:37:04	]Ellie Williams has unloaded their "Tommy Black" character.
[15:37:09	]Ellie Williams loaded the character 'Tony Miller'
[15:37:23	]Tony Miller ran 'take' on item 'Bilgisayar Parçaları' (#59963)
[15:37:23	]Tony Miller has gained a 'Bilgisayar Parçaları' #59963.
[15:37:26	]Tony Miller ran 'drop' on item 'Bilgisayar Parçaları' (#59963)
[15:37:26	]Tony Miller has lost a 'Bilgisayar Parçaları' #59963.
[15:37:32	]Tony Miller opened the 'Büyük Metal Dolap' #5899 container.
[15:37:45	]Tony Miller ran 'combine' on item 'Bez Paçavralar' (#60904)
[15:37:47	]Tony Miller has gained a 'T2 Yeşil Kevlar Üniforma' #42373 from a container with the name 'Büyük Metal Dolap' #5899.
[15:37:48	]Tony Miller closed the 'Büyük Metal Dolap' #5899 container.
[15:37:57	]Tony Miller opened the 'Büyük Metal Dolap' #5899 container.
[15:38:05	]Tony Miller closed the 'Büyük Metal Dolap' #5899 container.
[15:38:18	]Tony Miller ran 'take' on item 'Mavi Direniş Üniforması' (#60045)
[15:38:18	]Tony Miller has gained a 'Mavi Direniş Üniforması' #60045.
[15:38:31	]Tony Miller opened the 'Büyük Metal Dolap' #5797 container.
[15:38:45	]Tony Miller has transferred a 'Mavi kevlar üniforma' #59786 to a container with the name 'Büyük Metal Dolap' #5797.
[15:38:46	]Tony Miller has transferred a 'Mavi Direniş Üniforması' #60045 to a container with the name 'Büyük Metal Dolap' #5797.
[15:38:49	]Tony Miller closed the 'Büyük Metal Dolap' #5797 container.
[15:40:29	]Tony Miller ran 'take' on item 'Siyah Hava Ceketi' (#60715)
[15:40:29	]Tony Miller has gained a 'Siyah Hava Ceketi' #60715.
[15:40:34	]Tony Miller opened the 'Orta Dosya Dolabı' #5879 container.
[15:40:37	]Tony Miller closed the 'Orta Dosya Dolabı' #5879 container.
[15:42:39	]Tony Miller opened the 'Buzdolabı' #5794 container.
[15:42:41	]Tony Miller closed the 'Buzdolabı' #5794 container.
[15:42:55	]Tony Miller ran 'take' on item 'Daire Anahtarı' (#42236)
[15:42:55	]Tony Miller has gained a 'Daire Anahtarı' #42236.
[15:42:58	]Tony Miller ran 'drop' on item 'Daire Anahtarı' (#42236)
[15:42:58	]Tony Miller has lost a 'Daire Anahtarı' #42236.
[15:43:10	]Tony Miller ran 'take' on item 'Morfin' (#33651)
[15:43:10	]Tony Miller has gained a 'Morfin' #33651.
[15:43:25	]Ellie Williams has unloaded their "Tony Miller" character.
[15:43:30	]Ellie Williams loaded the character 'Tommy Black'
[15:43:40	]Ellie Williams (STEAM_0:0:674670748) has disconnected.
[21:32:07	]Shane Walsh has connected.
[21:33:41	]Shane Walsh loaded the character 'C45:i4.HELIX-86'
[21:33:46	]C45:i4.HELIX-86 is fully healed.
[21:33:57	][IC] C45:i4.HELIX-86: <:: Guh. ::>
[21:34:00	][IC] C45:i4.HELIX-86: <:: Uh... ::>
[21:34:06	][IC] C45:i4.HELIX-86: <:: Sanırım pek iyi değilim. ::>
[21:34:12	]C45:i4.HELIX-86 ran 'Consume' on item 'Tuzlu su' (#65835)
[21:35:00	]C45:i4.HELIX-86 used the 'Sağlık Tedarikçisi' vendor.
[21:35:05	]C45:i4.HELIX-86 has gained a 'Arıtıcı' #66035.
[21:35:09	]C45:i4.HELIX-86 has gained a 'Tuzlu su' #66036.
[21:36:32	]C45:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[21:36:32	]C45:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65796.
[21:37:01	]C45:i4.HELIX-86 used command '/Doorkick'.
[21:37:18	]C45:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[21:37:18	]C45:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65796.
[21:37:37	]C45:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65797)
[21:37:38	]C45:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65797)
[21:37:40	]C45:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65796.
[21:37:40	]C45:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[21:37:55	]C45:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[21:37:55	]C45:i4.HELIX-86 used command '/CharFallOver'.
[21:37:56	]C45:i4.HELIX-86 used command '/CharGetUp'.
[21:38:12	]C45:i4.HELIX-86 used command '/CharGetUp'.
[21:38:13	]C45:i4.HELIX-86 used command '/CharGetUp'.
[21:38:14	]C45:i4.HELIX-86 used command '/CharGetUp'.
[21:39:20	]Shane Walsh has unloaded their "C45:i4.HELIX-86" character.
[21:39:25	]Shane Walsh loaded the character 'Grimson Krova'
[21:40:28	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:27	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:28	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:30	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:31	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:32	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:33	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:34	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:35	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:36	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:37	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:37	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:38	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:39	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:40	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:41	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:42	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:42	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:43	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:44	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:47	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:52	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:52	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:53	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:54	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:55	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:56	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:57	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:46:58	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:00	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:00	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:02	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:02	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:03	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:04	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:05	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:08	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:17	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:18	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:19	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:47:20	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:48:53	]Grimson Krova opened the 'Çöp Konteyneri' #5552 container.
[21:49:00	]Grimson Krova closed the 'Çöp Konteyneri' #5552 container.
[21:50:19	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:20	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:21	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:22	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:23	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:24	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:25	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:26	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:26	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:27	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:28	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:29	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:30	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:31	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:32	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:32	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:33	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:34	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:35	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:50:36	]Grimson Krova has damaged npc_combine_camera, dealing 5 with ix_hands
[21:51:44	]Grimson Krova ran 'take' on item 'Benefactor Edition Sigara Paketi' (#64839)
[21:51:44	]Grimson Krova has gained a 'Benefactor Edition Sigara Paketi' #64839.
[21:52:24	]Grimson Krova ran 'Write' on item 'UYARI!' (#56409)
[21:52:26	]Grimson Krova ran 'Write' on item 'UYARI!' (#56409)
[21:52:42	]Grimson Krova ran 'Equip' on item 'Mutfak Bıçağı' (#60593)
[21:52:58	]Grimson Krova ran 'EquipUn' on item 'Mutfak Bıçağı' (#60593)
[21:53:14	]Grimson Krova ran 'use' on item 'Basit Mavi Hap' (#60348)
[21:53:14	]Grimson Krova has gained a level 3 short boost in Zeka.
[21:54:14	]Grimson Krova ran 'Equip' on item 'Mutfak Bıçağı' (#60593)
[21:57:07	]Grimson Krova has taken 5 damage from npc_headcrab.
[21:57:07	]Grimson Krova has taken 5 damage from npc_headcrab.
[21:57:08	]Grimson Krova has taken 5 damage from npc_headcrab.
[21:57:11	]Grimson Krova has taken 5 damage from npc_headcrab.
[21:57:15	]Grimson Krova has taken 5 damage from npc_headcrab.
[21:57:18	]Grimson Krova has taken 5 damage from npc_headcrab.
[21:57:20	]Grimson Krova has taken 5 damage from npc_headcrab.
[21:57:23	]Grimson Krova has critically hit npc_headcrab dealing 17 damage (CritChance was 0.98).
[21:57:27	]Grimson Krova has critically hit npc_headcrab dealing 17 damage (CritChance was 0.98).
[21:57:38	]Grimson Krova ran 'EquipUn' on item 'Mutfak Bıçağı' (#60593)
[21:57:45	]Shane Walsh (STEAM_0:0:195372324) has disconnected.
