[17:27:40	]Pozytyw has connected.
[17:36:33	]C24:RL.GRID-07 entered observer.
[17:36:33	]C24:RL.GRID-07 exited observer at their location.
[17:36:33	]C24:RL.GRID-07 entered observer.
[17:36:33	]C24:RL.GRID-07 exited observer at their location.
[17:36:35	]C24:RL.GRID-07 entered observer.
[17:36:36	]C24:RL.GRID-07 exited observer at their location.
[17:36:37	]C24:RL.GRID-07 entered observer.
[17:36:38	]C24:RL.GRID-07 exited observer at their location.
[17:36:40	]C24:RL.GRID-07 entered observer.
[17:36:42	]C24:RL.GRID-07 exited observer at their location.
[17:36:43	]C24:RL.GRID-07 entered observer.
[17:36:44	]C24:RL.GRID-07 exited observer at their location.
[17:37:00	]C24:RL.GRID-07 has taken 36 damage from worldspawn.
[17:37:04	]C24:RL.GRID-07 entered observer.
[17:37:04	]C24:RL.GRID-07 exited observer at their location.
[17:37:05	]C24:RL.GRID-07 entered observer.
[17:37:07	]C24:RL.GRID-07 exited observer at their location.
[17:37:11	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3342)
[17:37:11	]C24:RL.GRID-07 has performed the 'Use Disinfected Bandage Roll' action, gaining 22 experience in medicine.
[17:37:11	]C24:RL.GRID-07 was disinfected by C24:RL.GRID-07 for 94 seconds.
[17:37:11	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:15	]C24:RL.GRID-07 ran 'use' on item 'First Aid Kit' (#3341)
[17:37:15	]C24:RL.GRID-07 has performed the 'Use First Aid Kit' action, gaining 62 experience in medicine.
[17:37:15	]C24:RL.GRID-07 was disinfected by C24:RL.GRID-07 for 135 seconds.
[17:37:15	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 57 HP.
[17:37:18	]C24:RL.GRID-07 ran 'use' on item 'First Aid Kit' (#3341)
[17:37:18	]C24:RL.GRID-07 was disinfected by C24:RL.GRID-07 for 135 seconds.
[17:37:18	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 57 HP.
[17:37:19	]C24:RL.GRID-07 ran 'use' on item 'First Aid Kit' (#3341)
[17:37:19	]C24:RL.GRID-07 was disinfected by C24:RL.GRID-07 for 135 seconds.
[17:37:19	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 57 HP.
[17:37:19	]C24:RL.GRID-07 has gained a 'Stitched Cloth' #3522.
[17:37:26	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3342)
[17:37:26	]C24:RL.GRID-07 tried to disinfect C24:RL.GRID-07 but the wound was already clean.
[17:37:26	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:26	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3342)
[17:37:26	]C24:RL.GRID-07 tried to disinfect C24:RL.GRID-07 but the wound was already clean.
[17:37:26	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:38	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3342)
[17:37:38	]C24:RL.GRID-07 tried to disinfect C24:RL.GRID-07 but the wound was already clean.
[17:37:38	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:39	]C24:RL.GRID-07 ran 'split' on item 'Disinfected Bandage Roll' (#3343)
[17:37:39	]C24:RL.GRID-07 has gained a 'Disinfected Bandage Roll' #3523.
[17:37:40	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3343)
[17:37:40	]C24:RL.GRID-07 tried to disinfect C24:RL.GRID-07 but the wound was already clean.
[17:37:40	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:41	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3343)
[17:37:41	]C24:RL.GRID-07 tried to disinfect C24:RL.GRID-07 but the wound was already clean.
[17:37:41	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:42	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3343)
[17:37:42	]C24:RL.GRID-07 tried to disinfect C24:RL.GRID-07 but the wound was already clean.
[17:37:42	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:42	]C24:RL.GRID-07 ran 'use' on item 'Disinfected Bandage Roll' (#3523)
[17:37:42	]C24:RL.GRID-07 tried to disinfect C24:RL.GRID-07 but the wound was already clean.
[17:37:42	]C24:RL.GRID-07 was bandaged by C24:RL.GRID-07 for 17 HP.
[17:37:49	]C24:RL.GRID-07 entered observer.
[17:37:59	]C24:RL.GRID-07 exited observer at their location.
[17:37:59	]C24:RL.GRID-07 entered observer.
[17:38:01	]C24:RL.GRID-07 exited observer at their location.
[17:38:20	]C24:RL.GRID-07 entered observer.
[17:38:22	]C24:RL.GRID-07 exited observer at their location.
[17:38:23	]C24:RL.GRID-07 entered observer.
[17:38:40	]C24:RL.GRID-07 exited observer at their location.
[17:38:44	]C24:RL.GRID-07 entered observer.
[17:38:48	]C24:RL.GRID-07 ran 'Equip' on item 'M4A1' (#2065)
[17:38:48	]C24:RL.GRID-07 exited observer at their location.
[17:38:49	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2526.
[17:38:55	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2526.
[17:38:55	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2210.
[17:39:03	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2210.
[17:39:03	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2209.
[17:39:06	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2209.
[17:39:06	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2210.
[17:39:13	]C24:RL.GRID-07 ran 'EquipUn' on item 'M4A1' (#2065)
[17:39:13	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2210.
[17:39:14	]C24:RL.GRID-07 entered observer.
[17:39:14	]C24:RL.GRID-07 exited observer at their location.
[17:39:16	]C24:RL.GRID-07 entered observer.
[17:39:17	]C24:RL.GRID-07 exited observer at their location.
[17:39:18	]C24:RL.GRID-07 entered observer.
[17:39:22	]C24:RL.GRID-07 exited observer at their location.
[17:39:22	]C24:RL.GRID-07 entered observer.
[17:39:23	]C24:RL.GRID-07 exited observer at their location.
[17:39:24	]C24:RL.GRID-07 entered observer.
[17:39:24	]C24:RL.GRID-07 exited observer at their location.
[17:39:25	]C24:RL.GRID-07 entered observer.
[17:39:26	]C24:RL.GRID-07 exited observer at their location.
[17:39:26	]C24:RL.GRID-07 entered observer.
[17:39:41	]C24:RL.GRID-07 exited observer at their location.
[17:39:44	]C24:RL.GRID-07 entered observer.
[17:39:45	]C24:RL.GRID-07 exited observer at their location.
[17:39:47	]C24:RL.GRID-07 has taken 51 damage from worldspawn.
[17:39:47	]C24:RL.GRID-07 entered observer.
[17:39:58	]C24:RL.GRID-07 exited observer at their location.
[17:39:58	]C24:RL.GRID-07 entered observer.
[17:39:59	]C24:RL.GRID-07 exited observer at their location.
[17:40:03	]C24:RL.GRID-07 was knocked unconscious and is bleeding out.
[17:40:19	]C24:RL.GRID-07 was just killed due to: accepting their death
[17:40:23	]C24:RL.GRID-07 entered observer.
[17:40:26	]C24:RL.GRID-07 exited observer at their location.
[17:40:27	]C24:RL.GRID-07 entered observer.
[17:40:27	]C24:RL.GRID-07 exited observer at their location.
[17:40:29	]C24:RL.GRID-07 entered observer.
[17:40:30	]C24:RL.GRID-07 exited observer at their location.
[17:40:31	]C24:RL.GRID-07 entered observer.
[17:40:31	]C24:RL.GRID-07 exited observer at their location.
[17:40:33	]C24:RL.GRID-07 entered observer.
[17:40:36	]C24:RL.GRID-07 exited observer at their location.
[17:40:38	]C24:RL.GRID-07 entered observer.
[17:40:39	]C24:RL.GRID-07 exited observer at their location.
[17:40:41	]C24:RL.GRID-07 entered observer.
[17:40:43	]C24:RL.GRID-07 exited observer at their location.
[17:40:45	]C24:RL.GRID-07 entered observer.
[17:40:58	]C24:RL.GRID-07 exited observer at their location.
[17:41:03	]C24:RL.GRID-07 ran 'Equip' on item 'USP-45' (#2865)
[17:41:04	]C24:RL.GRID-07 has lost a '17rnd Usp-magazine' #2866.
[17:42:07	]C24:RL.GRID-07 entered observer.
[17:42:07	]C24:RL.GRID-07 exited observer at their location.
[17:42:08	]C24:RL.GRID-07 entered observer.
[17:42:11	]C24:RL.GRID-07 exited observer at their location.
[17:42:11	]C24:RL.GRID-07 entered observer.
[17:42:38	]C24:RL.GRID-07 exited observer at their location.
[17:42:42	]C24:RL.GRID-07 has taken 29 damage from worldspawn.
[17:42:44	]C24:RL.GRID-07 entered observer.
[17:43:00	]C24:RL.GRID-07 exited observer at their location.
[17:43:03	]C24:RL.GRID-07 entered observer.
[17:43:05	]C24:RL.GRID-07 exited observer at their location.
[17:43:05	]C24:RL.GRID-07 entered observer.
[17:43:15	]C24:RL.GRID-07 has pressed the "RDC_SuspendedRations" map button.
[17:43:22	]C24:RL.GRID-07 exited observer at their location.
[17:43:23	]C24:RL.GRID-07 entered observer.
[17:43:30	]C24:RL.GRID-07 exited observer at their location.
[17:43:32	]C24:RL.GRID-07 has pressed the "CA_CitizenReminder2" map button.
[17:43:33	]C24:RL.GRID-07 entered observer.
[17:43:33	]C24:RL.GRID-07 exited observer at their location.
[17:43:34	]C24:RL.GRID-07 entered observer.
[17:43:35	]C24:RL.GRID-07 exited observer at their location.
[17:43:38	]C24:RL.GRID-07 entered observer.
[17:43:47	]C24:RL.GRID-07 exited observer at their location.
[17:46:48	]C24:RL.GRID-07 entered observer.
[17:46:48	]C24:RL.GRID-07 exited observer at their location.
[17:46:51	]C24:RL.GRID-07 has taken 25 damage from worldspawn.
[17:46:53	]C24:RL.GRID-07 has gained a '17rnd Usp-magazine' #2866.
[17:46:53	]C24:RL.GRID-07 was knocked unconscious and is bleeding out.
[17:47:10	]C24:RL.GRID-07 was just killed due to: accepting their death
[17:47:13	]C24:RL.GRID-07 entered observer.
[17:47:13	]C24:RL.GRID-07 exited observer at their location.
[17:47:14	]C24:RL.GRID-07 entered observer.
[17:47:17	]C24:RL.GRID-07 exited observer at their location.
[17:47:18	]C24:RL.GRID-07 entered observer.
[17:47:19	]C24:RL.GRID-07 exited observer at their location.
[17:47:19	]C24:RL.GRID-07 entered observer.
[17:47:20	]C24:RL.GRID-07 exited observer at their location.
[17:47:21	]C24:RL.GRID-07 entered observer.
[17:47:22	]C24:RL.GRID-07 exited observer at their location.
[17:47:23	]C24:RL.GRID-07 entered observer.
[17:47:23	]C24:RL.GRID-07 exited observer at their location.
[17:47:25	]C24:RL.GRID-07 entered observer.
[17:47:25	]C24:RL.GRID-07 exited observer at their location.
[17:47:28	]C24:RL.GRID-07 entered observer.
[17:47:30	]C24:RL.GRID-07 exited observer at their location.
[17:47:33	]C24:RL.GRID-07 entered observer.
[17:47:54	]C24:RL.GRID-07 exited observer at their location.
[17:47:55	]C24:RL.GRID-07 entered observer.
[17:47:56	]C24:RL.GRID-07 exited observer at their location.
[17:47:56	]C24:RL.GRID-07 entered observer.
[17:47:57	]C24:RL.GRID-07 exited observer at their location.
[17:48:01	]C24:RL.GRID-07 entered observer.
[17:48:30	]C24:RL.GRID-07 exited observer at their location.
[17:48:31	]C24:RL.GRID-07 entered observer.
[17:48:33	]C24:RL.GRID-07 exited observer at their location.
[17:48:33	]C24:RL.GRID-07 entered observer.
[17:48:39	]C24:RL.GRID-07 exited observer at their location.
[17:48:39	]C24:RL.GRID-07 entered observer.
[17:48:41	]C24:RL.GRID-07 exited observer at their location.
[17:48:41	]C24:RL.GRID-07 entered observer.
[17:48:42	]C24:RL.GRID-07 exited observer at their location.
[17:48:42	]C24:RL.GRID-07 entered observer.
[17:48:42	]C24:RL.GRID-07 exited observer at their location.
[17:49:02	]C24:RL.GRID-07 entered observer.
[17:49:03	]C24:RL.GRID-07 exited observer at their location.
[17:49:04	]C24:RL.GRID-07 entered observer.
[17:49:11	]C24:RL.GRID-07 exited observer at their location.
[17:49:14	]C24:RL.GRID-07 entered observer.
[17:49:22	]C24:RL.GRID-07 exited observer at their location.
[17:49:33	]C24:RL.GRID-07 ran 'drop' on item 'Stitched Cloth' (#3522)
[17:49:33	]C24:RL.GRID-07 has lost a 'Stitched Cloth' #3522.
[17:49:40	]C24:RL.GRID-07 entered observer.
[17:49:41	]C24:RL.GRID-07 exited observer at their location.
[17:49:45	]C24:RL.GRID-07 ran 'Equip' on item 'USP-45' (#2865)
[17:49:46	]C24:RL.GRID-07 has lost a '17rnd Usp-magazine' #2866.
[17:50:13	]C24:RL.GRID-07 used command '/Doorkick'.
[17:50:25	]C24:RL.GRID-07 used command '/Doorkick'.
[17:52:26	]C24:RL.GRID-07 has given himself a request_device.
[17:52:26	]C24:RL.GRID-07 has gained a 'Request Device' #3524.
[17:52:28	]C24:RL.GRID-07 ran 'Bind' on item 'Request Device' (#3524)
[17:52:33	]C24:RL.GRID-07 ran 'RequestCp' on item 'Request Device' (#3524)
[17:53:09	]C24:RL.GRID-07 ran 'drop' on item 'M4A1' (#2065)
[17:53:09	]C24:RL.GRID-07 has lost a 'M4A1' #2065.
[17:53:15	]C24:RL.GRID-07 ran 'take' on item 'M4A1' (#2065)
[17:53:15	]C24:RL.GRID-07 has gained a 'M4A1' #2065.
[17:53:18	]C24:RL.GRID-07 entered observer.
[17:53:20	]C24:RL.GRID-07 exited observer at their location.
[17:53:20	]C24:RL.GRID-07 entered observer.
[17:53:21	]C24:RL.GRID-07 exited observer at their location.
[17:53:22	]C24:RL.GRID-07 entered observer.
[17:53:24	]C24:RL.GRID-07 exited observer at their location.
[17:53:51	]C24:RL.GRID-07 entered observer.
[17:53:55	]C24:RL.GRID-07 exited observer at their location.
[17:53:56	]C24:RL.GRID-07 entered observer.
[17:54:05	]C24:RL.GRID-07 exited observer at their location.
[17:54:28	]C24:RL.GRID-07 entered observer.
[17:54:35	]C24:RL.GRID-07 exited observer at their location.
[17:54:42	]C24:RL.GRID-07 entered observer.
[17:54:56	]C24:RL.GRID-07 exited observer at their location.
[17:54:57	]C24:RL.GRID-07 entered observer.
[17:55:01	]C24:RL.GRID-07 exited observer at their location.
[17:55:27	]C24:RL.GRID-07 entered observer.
[17:55:28	]C24:RL.GRID-07 exited observer at their location.
[17:56:27	]Pozytyw loaded the character 'Jonathan Williamson'
[17:56:31	]Jonathan Williamson entered observer.
[17:56:32	]Jonathan Williamson is fully healed.
[17:56:34	]Jonathan Williamson exited observer at their location.
[17:56:35	]Jonathan Williamson entered observer.
[17:56:48	]Jonathan Williamson exited observer at their location.
[17:57:20	]Jonathan Williamson entered observer.
[17:57:21	]Jonathan Williamson exited observer at their location.
[17:57:21	]Jonathan Williamson entered observer.
[17:57:21	]Jonathan Williamson exited observer at their location.
[17:57:21	]Jonathan Williamson entered observer.
[17:57:22	]Jonathan Williamson exited observer at their location.
[17:57:22	]Jonathan Williamson entered observer.
[17:57:23	]Jonathan Williamson exited observer at their location.
[17:57:44	]Jonathan Williamson has given himself a head_fedora.
[17:57:44	]Jonathan Williamson has gained a 'Black Fedora' #3525.
[17:58:01	]Jonathan Williamson has given himself a head_military_cap.
[17:58:01	]Jonathan Williamson has gained a 'Military Cap' #3526.
[17:58:16	]Jonathan Williamson has given himself a legs_worn_green.
[17:58:16	]Jonathan Williamson has gained a 'Worn Green Trousers' #3527.
[17:58:25	]Jonathan Williamson has given himself a wool_purple.
[17:58:25	]Jonathan Williamson has gained a 'Purple Wool' #3528.
[17:58:43	]Jonathan Williamson has spawned a 'NPC [403][npc_citizen]'.
[17:59:40	]Jonathan Williamson has given himself a collab_csual.
[17:59:40	]Jonathan Williamson has gained a 'Light Casual' #3529.
[17:59:47	]Jonathan Williamson has given himself a legs_jumpsuit_black.
[17:59:47	]Jonathan Williamson has gained a 'Black Jumpsuit Trousers' #3530.
[17:59:57	]Jonathan Williamson has given himself a legs_worn_green.
[17:59:57	]Jonathan Williamson has gained a 'Worn Green Trousers' #3531.
[18:00:11	]Jonathan Williamson ran 'Equip' on item 'Blue collaborator armband' (#3301)
[18:02:13	]Jonathan Williamson has given himself a oldrevolver.
[18:02:13	]Jonathan Williamson has gained a 'Popper' #3532.
[18:02:15	]Jonathan Williamson ran 'Equip' on item 'Popper' (#3532)
[18:02:27	]Jonathan Williamson has given himself a bullets_357.
[18:02:27	]Jonathan Williamson has gained a '357 Rounds' #3533.
[18:02:53	]Jonathan Williamson has given himself a magazine_model327_8rnd.
[18:02:53	]Jonathan Williamson has gained a '8rnd 327-magazine' #3534.
[18:02:58	]Jonathan Williamson ran 'combine' on item '8rnd 327-magazine' (#3534)
[18:03:02	]Jonathan Williamson ran 'EquipUn' on item 'Popper' (#3532)
[18:03:08	]Jonathan Williamson has given himself a magazine_popper_6rnd.
[18:03:09	]Jonathan Williamson has gained a '6rnd Popper-magazine' #3535.
[18:03:10	]Jonathan Williamson ran 'combine' on item '6rnd Popper-magazine' (#3535)
[18:03:12	]Jonathan Williamson ran 'unload' on item '8rnd 327-magazine' (#3534)
[18:03:12	]Jonathan Williamson has gained a '357 Rounds' #3536.
[18:03:14	]Jonathan Williamson ran 'combine' on item '357 Rounds' (#3533)
[18:03:15	]Jonathan Williamson ran 'Equip' on item 'Popper' (#3532)
[18:03:16	]Jonathan Williamson has lost a '6rnd Popper-magazine' #3535.
[18:03:31	]Jonathan Williamson ran 'removeMag' on item 'Popper' (#3532)
[18:03:31	]Jonathan Williamson has gained a '6rnd Popper-magazine' #3535.
[18:03:32	]Jonathan Williamson ran 'combine' on item '6rnd Popper-magazine' (#3535)
[18:03:33	]Jonathan Williamson has lost a '6rnd Popper-magazine' #3535.
[18:03:47	]Jonathan Williamson has spawned a 'NPC [405][npc_citizen]'.
[18:03:48	]Jonathan Williamson has critically hit npc_citizen in the stomach dealing 30 damage (CritChance was 0.90).
[18:03:49	]Jonathan Williamson has critically hit npc_citizen in the chest dealing 30 damage (CritChance was 0.90).
[18:03:59	]Jonathan Williamson ran 'removeMag' on item 'Popper' (#3532)
[18:03:59	]Jonathan Williamson has gained a '6rnd Popper-magazine' #3535.
[18:04:00	]Jonathan Williamson ran 'combine' on item '6rnd Popper-magazine' (#3535)
[18:04:00	]Jonathan Williamson has lost a '6rnd Popper-magazine' #3535.
[18:04:57	]Jonathan Williamson entered observer.
[18:04:59	]Jonathan Williamson exited observer at their location.
[18:05:29	]Pozytyw (STEAM_0:0:84397718) has disconnected.
[19:27:32	]Snakeiter has connected.
[19:29:16	]Snakeiter loaded the character 'gORDON fREEMAN'
[19:29:19	]gORDON fREEMAN entered observer.
[19:29:33	]gORDON fREEMAN exited observer at their location.
[19:29:48	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 2'.
[19:29:53	]gORDON fREEMAN entered observer.
[19:29:54	]gORDON fREEMAN exited observer at their location.
[19:30:03	]gORDON fREEMAN entered observer.
[19:30:06	]gORDON fREEMAN exited observer at their location.
[19:30:12	]gORDON fREEMAN used command '/PanelRemove'.
[19:30:21	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 2.7'.
[19:31:01	]gORDON fREEMAN entered observer.
[19:31:03	]gORDON fREEMAN exited observer at their location.
[19:31:14	]gORDON fREEMAN entered observer.
[19:31:21	]gORDON fREEMAN exited observer at their location.
[19:31:31	]gORDON fREEMAN entered observer.
[19:31:32	]gORDON fREEMAN exited observer at their location.
[19:31:35	]gORDON fREEMAN entered observer.
[19:31:37	]gORDON fREEMAN exited observer at their location.
[19:32:38	]gORDON fREEMAN used command '/PanelRemove'.
[19:32:47	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/tixXBLo.png 2.7'.
[19:33:03	]gORDON fREEMAN used command '/PanelRemove'.
[19:33:05	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/tixXBLo.png 2.7'.
[19:33:17	]gORDON fREEMAN used command '/PanelRemove'.
[19:33:43	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 2.7 90'.
[19:33:58	]gORDON fREEMAN entered observer.
[19:34:10	]gORDON fREEMAN exited observer at their location.
[19:34:23	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 1.7 90'.
[19:34:30	]gORDON fREEMAN used command '/PanelRemove'.
[19:34:32	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 1.7 90'.
[19:34:36	]gORDON fREEMAN used command '/PanelRemove'.
[19:34:41	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 1.7 70'.
[19:34:55	]gORDON fREEMAN entered observer.
[19:34:55	]gORDON fREEMAN exited observer at their location.
[19:34:57	]gORDON fREEMAN entered observer.
[19:34:58	]gORDON fREEMAN exited observer at their location.
[19:35:30	]gORDON fREEMAN used command '/PanelRemove'.
[19:35:33	]gORDON fREEMAN entered observer.
[19:35:34	]gORDON fREEMAN exited observer at their location.
[19:35:41	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 3 70'.
[19:35:43	]gORDON fREEMAN entered observer.
[19:35:44	]gORDON fREEMAN exited observer at their location.
[19:35:48	]gORDON fREEMAN entered observer.
[19:35:51	]gORDON fREEMAN exited observer at their location.
[19:35:57	]gORDON fREEMAN entered observer.
[19:35:59	]gORDON fREEMAN exited observer at their location.
[19:36:05	]gORDON fREEMAN entered observer.
[19:36:09	]gORDON fREEMAN exited observer at their location.
[19:36:12	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 3 70'.
[19:36:15	]gORDON fREEMAN entered observer.
[19:36:16	]gORDON fREEMAN used command '/PanelRemove'.
[19:36:18	]gORDON fREEMAN exited observer at their location.
[19:36:29	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 3 70'.
[19:36:34	]gORDON fREEMAN used command '/PanelRemove'.
[19:36:39	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 3 70'.
[19:36:43	]gORDON fREEMAN entered observer.
[19:36:44	]gORDON fREEMAN exited observer at their location.
[19:36:45	]gORDON fREEMAN entered observer.
[19:36:46	]gORDON fREEMAN exited observer at their location.
[19:37:02	]gORDON fREEMAN used command '/PanelAdd https://i.imgur.com/lasDplK.png 6 70'.
[19:37:05	]gORDON fREEMAN used command '/PanelRemove'.
[19:37:11	]gORDON fREEMAN entered observer.
[19:37:12	]gORDON fREEMAN exited observer at their location.
[19:37:24	]gORDON fREEMAN entered observer.
[19:37:25	]gORDON fREEMAN exited observer at their location.
[19:37:38	]gORDON fREEMAN entered observer.
[19:38:16	]gORDON fREEMAN exited observer at their location.
[19:38:26	]gORDON fREEMAN entered observer.
[19:38:35	]gORDON fREEMAN exited observer at their location.
[19:39:11	]gORDON fREEMAN entered observer.
[19:39:12	]gORDON fREEMAN exited observer at their location.
[19:39:12	]gORDON fREEMAN entered observer.
[19:39:13	]gORDON fREEMAN exited observer at their location.
[19:39:13	]gORDON fREEMAN entered observer.
[19:39:18	]gORDON fREEMAN has used a context menu option with the name: remove
[19:39:22	]gORDON fREEMAN exited observer at their location.
[19:39:22	]gORDON fREEMAN entered observer.
[19:39:23	]gORDON fREEMAN exited observer at their location.
[19:39:28	]gORDON fREEMAN entered observer.
[19:39:41	]gORDON fREEMAN exited observer at their location.
[19:39:43	]gORDON fREEMAN entered observer.
[19:39:43	]gORDON fREEMAN exited observer at their location.
[19:40:14	]gORDON fREEMAN entered observer.
