[16:04:53	]Victorian has connected.
[16:20:13	]Hilbert Ritter entered observer.
[16:20:15	]Hilbert Ritter exited observer at their location.
[16:20:16	]Hilbert Ritter entered observer.
[16:20:19	]Hilbert Ritter exited observer at their location.
[16:26:16	]Hilbert Ritter has gone afk.
[16:29:51	]Hilbert Ritter is no longer afk. Total time spent AFK: 510
[16:29:51	]Hilbert Ritter entered observer.
[16:29:52	]Hilbert Ritter exited observer at their location.
[16:29:54	]Hilbert Ritter entered observer.
[16:29:54	]Hilbert Ritter exited observer at their location.
[16:29:55	]Hilbert Ritter entered observer.
[16:30:00	]Hilbert Ritter exited observer at their location.
[16:30:01	]Hilbert Ritter entered observer.
[16:30:11	]Hilbert Ritter exited observer at their location.
[16:30:13	]Hilbert Ritter entered observer.
[16:30:13	]Hilbert Ritter exited observer at their location.
[16:30:16	]Hilbert Ritter entered observer.
[16:30:16	]Hilbert Ritter exited observer at their location.
[16:30:17	]Hilbert Ritter entered observer.
[16:30:22	]Hilbert Ritter exited observer at their location.
[16:30:22	]Hilbert Ritter entered observer.
[16:30:44	]Hilbert Ritter exited observer at their location.
[16:30:46	]Hilbert Ritter entered observer.
[16:30:47	]Hilbert Ritter exited observer at their location.
[16:30:49	]Hilbert Ritter entered observer.
[16:30:49	]Hilbert Ritter exited observer at their location.
[16:30:50	]Hilbert Ritter entered observer.
[16:30:51	]Hilbert Ritter exited observer at their location.
[16:30:52	]Hilbert Ritter entered observer.
[16:30:52	]Hilbert Ritter exited observer at their location.
[16:30:54	]Hilbert Ritter entered observer.
[16:30:54	]Hilbert Ritter exited observer at their location.
[16:30:55	]Hilbert Ritter entered observer.
[16:30:55	]Hilbert Ritter exited observer at their location.
[16:30:55	]Hilbert Ritter entered observer.
[16:30:55	]Hilbert Ritter exited observer at their location.
[16:30:56	]Hilbert Ritter entered observer.
[16:30:56	]Hilbert Ritter exited observer at their location.
[16:30:56	]Hilbert Ritter entered observer.
[16:30:56	]Hilbert Ritter exited observer at their location.
[16:30:56	]Hilbert Ritter entered observer.
[16:30:57	]Hilbert Ritter exited observer at their location.
[16:30:57	]Hilbert Ritter entered observer.
[16:30:57	]Hilbert Ritter exited observer at their location.
[16:30:58	]Hilbert Ritter entered observer.
[16:30:58	]Hilbert Ritter exited observer at their location.
[16:30:59	]Hilbert Ritter entered observer.
[16:30:59	]Hilbert Ritter exited observer at their location.
[16:31:01	]Hilbert Ritter entered observer.
[16:31:02	]Hilbert Ritter exited observer at their location.
[16:31:04	]Hilbert Ritter entered observer.
[16:31:04	]Hilbert Ritter exited observer at their location.
[16:31:06	]Hilbert Ritter entered observer.
[16:31:06	]Hilbert Ritter exited observer at their location.
[16:31:08	]Hilbert Ritter entered observer.
[16:31:09	]Hilbert Ritter exited observer at their location.
[16:31:10	]Hilbert Ritter entered observer.
[16:31:10	]Hilbert Ritter exited observer at their location.
[16:31:11	]Hilbert Ritter entered observer.
[16:31:12	]Hilbert Ritter exited observer at their location.
[16:31:14	]Hilbert Ritter entered observer.
[16:31:16	]Hilbert Ritter exited observer at their location.
[16:31:16	]Hilbert Ritter entered observer.
[16:31:17	]Hilbert Ritter exited observer at their location.
[16:31:18	]Hilbert Ritter entered observer.
[16:31:18	]Hilbert Ritter exited observer at their location.
[16:31:19	]Hilbert Ritter entered observer.
[16:31:20	]Hilbert Ritter exited observer at their location.
[16:31:21	]Hilbert Ritter entered observer.
[16:31:22	]Hilbert Ritter exited observer at their location.
[16:31:24	]Hilbert Ritter entered observer.
[16:31:25	]Hilbert Ritter exited observer at their location.
[16:31:27	]Hilbert Ritter entered observer.
[16:31:28	]Hilbert Ritter exited observer at their location.
[16:31:30	]Hilbert Ritter entered observer.
[16:31:31	]Hilbert Ritter exited observer at their location.
[16:31:33	]Hilbert Ritter entered observer.
[16:31:34	]Hilbert Ritter exited observer at their location.
[16:31:35	]Hilbert Ritter entered observer.
[16:31:36	]Hilbert Ritter exited observer at their location.
[16:31:38	]Hilbert Ritter entered observer.
[16:31:38	]Hilbert Ritter exited observer at their location.
[16:31:40	]Hilbert Ritter entered observer.
[16:31:40	]Hilbert Ritter exited observer at their location.
[16:31:42	]Hilbert Ritter entered observer.
[16:31:42	]Hilbert Ritter exited observer at their location.
[16:31:43	]Hilbert Ritter entered observer.
[16:31:44	]Hilbert Ritter exited observer at their location.
[16:31:46	]Hilbert Ritter entered observer.
[16:31:50	]Hilbert Ritter exited observer at their location.
[16:31:52	]Hilbert Ritter entered observer.
[16:31:52	]Hilbert Ritter exited observer at their location.
[16:31:53	]Hilbert Ritter entered observer.
[16:31:53	]Hilbert Ritter exited observer at their location.
[16:31:55	]Hilbert Ritter has taken 14 damage from worldspawn.
[16:31:56	]Hilbert Ritter entered observer.
[16:31:56	]Hilbert Ritter exited observer at their location.
[16:31:58	]Hilbert Ritter has taken 0 damage from worldspawn.
[16:32:00	]Hilbert Ritter entered observer.
[16:32:00	]Hilbert Ritter exited observer at their location.
[16:32:02	]Hilbert Ritter entered observer.
[16:32:02	]Hilbert Ritter exited observer at their location.
[16:32:05	]Hilbert Ritter entered observer.
[16:32:05	]Hilbert Ritter exited observer at their location.
[16:32:06	]Hilbert Ritter entered observer.
[16:32:07	]Hilbert Ritter exited observer at their location.
[16:32:09	]Hilbert Ritter entered observer.
[16:32:11	]Hilbert Ritter exited observer at their location.
[16:32:12	]Hilbert Ritter entered observer.
[16:32:13	]Hilbert Ritter exited observer at their location.
[16:32:15	]Hilbert Ritter entered observer.
[16:32:16	]Hilbert Ritter exited observer at their location.
[16:32:17	]Hilbert Ritter entered observer.
[16:32:19	]Hilbert Ritter exited observer at their location.
[16:32:20	]Hilbert Ritter has taken 18 damage from worldspawn.
[16:32:21	]Hilbert Ritter entered observer.
[16:32:25	]Hilbert Ritter ran SAM command 'hp' with arguments: 'Hilbert' '100'
[16:32:25	]Hilbert Ritter exited observer at their location.
[16:32:26	]Hilbert Ritter is fully healed.
[16:32:26	]Hilbert Ritter entered observer.
[16:32:27	]Hilbert Ritter exited observer at their location.
[16:32:31	]Hilbert Ritter entered observer.
[16:32:31	]Hilbert Ritter exited observer at their location.
[16:32:33	]Hilbert Ritter entered observer.
[16:32:34	]Hilbert Ritter exited observer at their location.
[16:32:35	]Hilbert Ritter entered observer.
[16:32:36	]Hilbert Ritter exited observer at their location.
[16:32:36	]Hilbert Ritter entered observer.
[16:32:37	]Hilbert Ritter exited observer at their location.
[16:32:37	]Hilbert Ritter entered observer.
[16:32:43	]Hilbert Ritter exited observer at their location.
[16:32:47	]Hilbert Ritter entered observer.
[16:32:51	]Hilbert Ritter exited observer at their location.
[16:32:52	]Hilbert Ritter entered observer.
[16:32:58	]Hilbert Ritter exited observer at their location.
[16:33:06	]Hilbert Ritter entered observer.
[16:33:08	]Hilbert Ritter exited observer at their location.
[16:33:09	]Hilbert Ritter entered observer.
[16:33:13	]Hilbert Ritter exited observer at their location.
[16:33:22	]Hilbert Ritter entered observer.
[16:33:23	]Hilbert Ritter exited observer at their location.
[16:33:24	]Hilbert Ritter entered observer.
[16:33:27	]Hilbert Ritter exited observer at their location.
[16:33:28	]Hilbert Ritter entered observer.
[16:34:18	]Hilbert Ritter exited observer at their location.
[16:34:20	]Hilbert Ritter entered observer.
[16:34:20	]Hilbert Ritter exited observer at their location.
[16:34:22	]Hilbert Ritter entered observer.
[16:34:22	]Hilbert Ritter exited observer at their location.
[16:34:23	]Hilbert Ritter entered observer.
[16:34:23	]Hilbert Ritter exited observer at their location.
[16:34:24	]Hilbert Ritter entered observer.
[16:34:27	]Hilbert Ritter exited observer at their location.
[16:34:28	]Hilbert Ritter entered observer.
[16:34:30	]Hilbert Ritter exited observer at their location.
[16:34:30	]Hilbert Ritter entered observer.
[16:34:33	]Hilbert Ritter exited observer at their location.
[16:34:34	]Hilbert Ritter entered observer.
[16:34:36	]Hilbert Ritter exited observer at their location.
[16:34:37	]Hilbert Ritter entered observer.
[16:34:37	]Hilbert Ritter exited observer at their location.
[16:34:38	]Hilbert Ritter entered observer.
[16:34:38	]Hilbert Ritter exited observer at their location.
[16:34:39	]Hilbert Ritter entered observer.
[16:34:40	]Hilbert Ritter exited observer at their location.
[16:34:41	]Hilbert Ritter entered observer.
[16:34:44	]Hilbert Ritter exited observer at their location.
[16:34:45	]Hilbert Ritter entered observer.
[16:34:49	]Hilbert Ritter exited observer at their location.
[16:34:51	]Hilbert Ritter entered observer.
[16:34:54	]Hilbert Ritter exited observer at their location.
[16:34:55	]Hilbert Ritter has taken 4 damage from worldspawn.
[16:34:56	]Hilbert Ritter entered observer.
[16:34:57	]Hilbert Ritter exited observer at their location.
[16:34:58	]Hilbert Ritter entered observer.
[16:34:58	]Hilbert Ritter exited observer at their location.
[16:34:59	]Hilbert Ritter entered observer.
[16:35:02	]Hilbert Ritter exited observer at their location.
[16:35:03	]Hilbert Ritter entered observer.
[16:35:04	]Hilbert Ritter exited observer at their location.
[16:35:06	]Hilbert Ritter entered observer.
[16:35:06	]Hilbert Ritter exited observer at their location.
[16:35:08	]Hilbert Ritter entered observer.
[16:35:09	]Hilbert Ritter exited observer at their location.
[16:35:10	]Hilbert Ritter entered observer.
[16:35:10	]Hilbert Ritter exited observer at their location.
[16:35:12	]Hilbert Ritter entered observer.
[16:35:12	]Hilbert Ritter exited observer at their location.
[16:35:13	]Hilbert Ritter entered observer.
[16:35:13	]Hilbert Ritter exited observer at their location.
[16:35:14	]Hilbert Ritter entered observer.
[16:35:14	]Hilbert Ritter exited observer at their location.
[16:35:15	]Hilbert Ritter entered observer.
[16:35:15	]Hilbert Ritter exited observer at their location.
[16:35:16	]Hilbert Ritter entered observer.
[16:35:16	]Hilbert Ritter exited observer at their location.
[16:35:17	]Hilbert Ritter entered observer.
[16:35:17	]Hilbert Ritter exited observer at their location.
[16:35:19	]Hilbert Ritter entered observer.
[16:35:20	]Hilbert Ritter exited observer at their location.
[16:35:21	]Hilbert Ritter entered observer.
[16:35:21	]Hilbert Ritter exited observer at their location.
[16:35:23	]Hilbert Ritter entered observer.
[16:35:23	]Hilbert Ritter exited observer at their location.
[16:35:25	]Hilbert Ritter entered observer.
[16:35:26	]Hilbert Ritter exited observer at their location.
[16:35:28	]Hilbert Ritter entered observer.
[16:35:28	]Hilbert Ritter exited observer at their location.
[16:35:30	]Hilbert Ritter entered observer.
[16:35:31	]Hilbert Ritter exited observer at their location.
[16:35:32	]Hilbert Ritter entered observer.
[16:35:33	]Hilbert Ritter exited observer at their location.
[16:35:33	]Hilbert Ritter entered observer.
[16:35:34	]Hilbert Ritter exited observer at their location.
[16:35:35	]Hilbert Ritter entered observer.
[16:35:36	]Hilbert Ritter exited observer at their location.
[16:35:37	]Hilbert Ritter entered observer.
[16:35:37	]Hilbert Ritter exited observer at their location.
[16:35:37	]Hilbert Ritter entered observer.
[16:35:38	]Hilbert Ritter exited observer at their location.
[16:35:38	]Hilbert Ritter entered observer.
[16:35:39	]Hilbert Ritter exited observer at their location.
[16:35:39	]Hilbert Ritter entered observer.
[16:35:40	]Hilbert Ritter exited observer at their location.
[16:35:41	]Hilbert Ritter entered observer.
[16:35:41	]Hilbert Ritter exited observer at their location.
[16:35:41	]Hilbert Ritter entered observer.
[16:35:42	]Hilbert Ritter exited observer at their location.
[16:35:42	]Hilbert Ritter entered observer.
[16:35:42	]Hilbert Ritter exited observer at their location.
[16:35:43	]Hilbert Ritter entered observer.
[16:35:43	]Hilbert Ritter exited observer at their location.
[16:35:43	]Hilbert Ritter entered observer.
[16:35:43	]Hilbert Ritter exited observer at their location.
[16:35:44	]Hilbert Ritter entered observer.
[16:35:44	]Hilbert Ritter exited observer at their location.
[16:35:44	]Hilbert Ritter entered observer.
[16:35:44	]Hilbert Ritter exited observer at their location.
[16:35:45	]Hilbert Ritter entered observer.
[16:35:45	]Hilbert Ritter exited observer at their location.
[16:35:45	]Hilbert Ritter entered observer.
[16:35:46	]Hilbert Ritter exited observer at their location.
[16:35:46	]Hilbert Ritter entered observer.
[16:35:46	]Hilbert Ritter exited observer at their location.
[16:35:46	]Hilbert Ritter entered observer.
[16:35:47	]Hilbert Ritter exited observer at their location.
[16:35:47	]Hilbert Ritter entered observer.
[16:36:04	]Hilbert Ritter used command '/ActSit 4'.
[16:36:06	]Hilbert Ritter exited observer at their location.
[16:36:08	]Hilbert Ritter used command '/ActSit 5'.
[16:36:16	]Hilbert Ritter used command '/ExitAct'.
[16:36:17	]Hilbert Ritter entered observer.
[16:36:18	]Hilbert Ritter exited observer at their location.
[16:36:18	]Hilbert Ritter entered observer.
[16:36:19	]Hilbert Ritter exited observer at their location.
[16:36:19	]Hilbert Ritter entered observer.
[16:36:20	]Hilbert Ritter exited observer at their location.
[16:36:21	]Hilbert Ritter entered observer.
[16:36:22	]Hilbert Ritter exited observer at their location.
[16:36:22	]Hilbert Ritter entered observer.
[16:36:23	]Hilbert Ritter exited observer at their location.
[16:36:24	]Hilbert Ritter entered observer.
[16:36:24	]Hilbert Ritter exited observer at their location.
[16:36:24	]Hilbert Ritter entered observer.
[16:36:25	]Hilbert Ritter exited observer at their location.
[16:36:25	]Hilbert Ritter entered observer.
[16:36:26	]Hilbert Ritter exited observer at their location.
[16:36:26	]Hilbert Ritter entered observer.
[16:36:27	]Hilbert Ritter exited observer at their location.
[16:36:27	]Hilbert Ritter entered observer.
[16:36:28	]Hilbert Ritter exited observer at their location.
[16:36:29	]Hilbert Ritter entered observer.
[16:36:30	]Hilbert Ritter exited observer at their location.
[16:36:31	]Hilbert Ritter entered observer.
[16:36:38	]Hilbert Ritter exited observer at their location.
[16:36:43	]Hilbert Ritter entered observer.
[16:36:46	]Hilbert Ritter exited observer at their location.
[16:36:46	]Hilbert Ritter entered observer.
[16:36:46	]Hilbert Ritter exited observer at their location.
[16:36:47	]Hilbert Ritter entered observer.
[16:36:47	]Hilbert Ritter exited observer at their location.
[16:36:47	]Hilbert Ritter entered observer.
[16:36:47	]Hilbert Ritter exited observer at their location.
[16:36:48	]Hilbert Ritter entered observer.
[16:36:48	]Hilbert Ritter exited observer at their location.
[16:36:48	]Hilbert Ritter entered observer.
[16:36:49	]Hilbert Ritter exited observer at their location.
[16:36:49	]Hilbert Ritter entered observer.
[16:36:49	]Hilbert Ritter exited observer at their location.
[16:36:49	]Hilbert Ritter entered observer.
[16:36:50	]Hilbert Ritter exited observer at their location.
[16:36:50	]Hilbert Ritter entered observer.
[16:36:50	]Hilbert Ritter exited observer at their location.
[16:36:51	]Hilbert Ritter entered observer.
[16:36:51	]Hilbert Ritter exited observer at their location.
[16:36:51	]Hilbert Ritter entered observer.
[16:36:51	]Hilbert Ritter exited observer at their location.
[16:36:52	]Hilbert Ritter entered observer.
[16:36:52	]Hilbert Ritter exited observer at their location.
[16:36:52	]Hilbert Ritter entered observer.
[16:36:52	]Hilbert Ritter exited observer at their location.
[16:36:53	]Hilbert Ritter entered observer.
[16:36:53	]Hilbert Ritter exited observer at their location.
[16:36:53	]Hilbert Ritter entered observer.
[16:36:54	]Hilbert Ritter exited observer at their location.
[16:36:54	]Hilbert Ritter entered observer.
[16:36:54	]Hilbert Ritter exited observer at their location.
[16:36:56	]Hilbert Ritter has taken 67 damage from worldspawn.
[16:36:56	]Hilbert Ritter entered observer.
[16:37:02	]Hilbert Ritter ran SAM command 'hp' with arguments: 'Hilbert' '100'
[16:37:06	]Hilbert Ritter is fully healed.
[16:37:12	]Hilbert Ritter exited observer at their location.
[16:37:13	]Hilbert Ritter entered observer.
[16:37:13	]Hilbert Ritter exited observer at their location.
[16:37:14	]Hilbert Ritter entered observer.
[16:37:16	]Hilbert Ritter exited observer at their location.
[16:37:21	]Hilbert Ritter entered observer.
[16:37:25	]Hilbert Ritter exited observer at their location.
[16:37:27	]Hilbert Ritter has taken 6 damage from worldspawn.
[16:37:27	]Hilbert Ritter entered observer.
[16:37:28	]Hilbert Ritter exited observer at their location.
[16:37:29	]Hilbert Ritter entered observer.
[16:37:30	]Hilbert Ritter exited observer at their location.
[16:38:04	]Hilbert Ritter entered observer.
[16:38:17	]Hilbert Ritter exited observer at their location.
[16:38:38	]Hilbert Ritter opened the 'Dropped Items' #6607 container.
[16:38:40	]Hilbert Ritter closed the 'Dropped Items' #6607 container.
[16:39:01	]Hilbert Ritter entered observer.
[16:39:05	]Hilbert Ritter exited observer at their location.
[16:39:05	]Hilbert Ritter entered observer.
[16:39:06	]Hilbert Ritter exited observer at their location.
[16:39:07	]Hilbert Ritter entered observer.
[16:39:07	]Hilbert Ritter exited observer at their location.
[16:39:08	]Hilbert Ritter entered observer.
[16:39:08	]Hilbert Ritter exited observer at their location.
[16:39:09	]Hilbert Ritter entered observer.
[16:39:10	]Hilbert Ritter exited observer at their location.
[16:39:11	]Hilbert Ritter entered observer.
[16:39:11	]Hilbert Ritter exited observer at their location.
[16:39:12	]Hilbert Ritter entered observer.
[16:39:16	]Hilbert Ritter exited observer at their location.
[16:39:27	]Hilbert Ritter entered observer.
[16:39:28	]Hilbert Ritter exited observer at their location.
[16:39:29	]Hilbert Ritter entered observer.
[16:39:30	]Hilbert Ritter exited observer at their location.
[16:39:31	]Hilbert Ritter entered observer.
[16:39:31	]Hilbert Ritter exited observer at their location.
[16:39:33	]Hilbert Ritter entered observer.
[16:39:34	]Hilbert Ritter exited observer at their location.
[16:39:34	]Hilbert Ritter entered observer.
[16:39:34	]Hilbert Ritter exited observer at their location.
[16:39:35	]Hilbert Ritter entered observer.
[16:39:35	]Hilbert Ritter exited observer at their location.
[16:39:36	]Hilbert Ritter entered observer.
[16:39:36	]Hilbert Ritter exited observer at their location.
[16:39:38	]Hilbert Ritter entered observer.
[16:39:38	]Hilbert Ritter exited observer at their location.
[16:39:39	]Hilbert Ritter entered observer.
[16:39:39	]Hilbert Ritter exited observer at their location.
[16:39:40	]Hilbert Ritter entered observer.
[16:39:42	]Hilbert Ritter has used a context menu option with the name: ignite
[16:39:44	]Hilbert Ritter has used a context menu option with the name: remove
[16:39:45	]Hilbert Ritter has used a context menu option with the name: extinguish
[16:39:46	]Hilbert Ritter has used a context menu option with the name: remove
[16:39:47	]Hilbert Ritter exited observer at their location.
[16:39:49	]Hilbert Ritter entered observer.
[16:39:49	]Hilbert Ritter exited observer at their location.
[16:39:49	]Hilbert Ritter entered observer.
[16:39:49	]Hilbert Ritter exited observer at their location.
[16:39:50	]Hilbert Ritter entered observer.
[16:39:50	]Hilbert Ritter exited observer at their location.
[16:39:52	]Hilbert Ritter entered observer.
[16:39:52	]Hilbert Ritter exited observer at their location.
[16:39:53	]Hilbert Ritter entered observer.
[16:40:00	]Hilbert Ritter exited observer at their location.
[16:40:02	]Hilbert Ritter entered observer.
[16:40:02	]Hilbert Ritter exited observer at their location.
[16:40:03	]Hilbert Ritter entered observer.
[16:40:03	]Hilbert Ritter exited observer at their location.
[16:40:05	]Hilbert Ritter entered observer.
[16:40:05	]Hilbert Ritter exited observer at their location.
[16:40:07	]Hilbert Ritter entered observer.
[16:40:08	]Hilbert Ritter exited observer at their location.
[16:40:08	]Hilbert Ritter entered observer.
[16:40:09	]Hilbert Ritter exited observer at their location.
[16:40:15	]Hilbert Ritter entered observer.
[16:40:17	]Hilbert Ritter exited observer at their location.
[16:40:18	]Hilbert Ritter entered observer.
[16:40:18	]Hilbert Ritter exited observer at their location.
[16:40:19	]Hilbert Ritter entered observer.
[16:40:19	]Hilbert Ritter exited observer at their location.
[16:40:19	]Hilbert Ritter entered observer.
[16:40:20	]Hilbert Ritter exited observer at their location.
[16:40:20	]Hilbert Ritter entered observer.
[16:40:20	]Hilbert Ritter exited observer at their location.
[16:40:20	]Hilbert Ritter entered observer.
[16:40:21	]Hilbert Ritter exited observer at their location.
[16:40:21	]Hilbert Ritter entered observer.
[16:40:21	]Hilbert Ritter exited observer at their location.
[16:40:21	]Hilbert Ritter entered observer.
[16:40:22	]Hilbert Ritter exited observer at their location.
[16:40:22	]Hilbert Ritter entered observer.
[16:40:22	]Hilbert Ritter exited observer at their location.
[16:40:22	]Hilbert Ritter entered observer.
[16:40:23	]Hilbert Ritter exited observer at their location.
[16:40:23	]Hilbert Ritter entered observer.
[16:40:23	]Hilbert Ritter exited observer at their location.
[16:40:23	]Hilbert Ritter entered observer.
[16:40:23	]Hilbert Ritter exited observer at their location.
[16:40:24	]Hilbert Ritter entered observer.
[16:40:24	]Hilbert Ritter exited observer at their location.
[16:40:24	]Hilbert Ritter entered observer.
[16:40:24	]Hilbert Ritter exited observer at their location.
[16:40:25	]Hilbert Ritter entered observer.
[16:40:25	]Hilbert Ritter exited observer at their location.
[16:40:26	]Hilbert Ritter entered observer.
[16:40:26	]Hilbert Ritter exited observer at their location.
[16:40:26	]Hilbert Ritter entered observer.
[16:40:26	]Hilbert Ritter exited observer at their location.
[16:40:27	]Hilbert Ritter entered observer.
[16:40:27	]Hilbert Ritter exited observer at their location.
[16:40:27	]Hilbert Ritter entered observer.
[16:40:27	]Hilbert Ritter exited observer at their location.
[16:40:27	]Hilbert Ritter entered observer.
[16:40:28	]Hilbert Ritter exited observer at their location.
[16:40:28	]Hilbert Ritter entered observer.
[16:40:28	]Hilbert Ritter exited observer at their location.
[16:40:29	]Hilbert Ritter entered observer.
[16:40:31	]Hilbert Ritter exited observer at their location.
[16:40:31	]Hilbert Ritter entered observer.
[16:40:31	]Hilbert Ritter exited observer at their location.
[16:40:31	]Hilbert Ritter entered observer.
[16:40:32	]Hilbert Ritter exited observer at their location.
[16:40:32	]Hilbert Ritter entered observer.
[16:40:32	]Hilbert Ritter exited observer at their location.
[16:40:32	]Hilbert Ritter entered observer.
[16:40:33	]Hilbert Ritter exited observer at their location.
[16:40:33	]Hilbert Ritter entered observer.
[16:40:33	]Hilbert Ritter exited observer at their location.
[16:40:33	]Hilbert Ritter entered observer.
[16:40:34	]Hilbert Ritter exited observer at their location.
[16:40:34	]Hilbert Ritter entered observer.
[16:40:34	]Hilbert Ritter exited observer at their location.
[16:40:34	]Hilbert Ritter entered observer.
[16:40:35	]Hilbert Ritter exited observer at their location.
[16:40:35	]Hilbert Ritter entered observer.
[16:40:35	]Hilbert Ritter exited observer at their location.
[16:40:35	]Hilbert Ritter entered observer.
[16:40:36	]Hilbert Ritter exited observer at their location.
[16:40:36	]Hilbert Ritter entered observer.
[16:40:39	]Hilbert Ritter exited observer at their location.
[16:40:40	]Hilbert Ritter entered observer.
[16:40:40	]Hilbert Ritter exited observer at their location.
[16:40:40	]Hilbert Ritter entered observer.
[16:40:40	]Hilbert Ritter exited observer at their location.
[16:40:40	]Hilbert Ritter entered observer.
[16:40:41	]Hilbert Ritter exited observer at their location.
[16:40:41	]Hilbert Ritter entered observer.
[16:40:41	]Hilbert Ritter exited observer at their location.
[16:40:43	]Hilbert Ritter entered observer.
[16:40:44	]Hilbert Ritter exited observer at their location.
[16:40:44	]Hilbert Ritter entered observer.
[16:40:45	]Hilbert Ritter exited observer at their location.
[16:40:45	]Hilbert Ritter entered observer.
[16:40:45	]Hilbert Ritter exited observer at their location.
[16:40:45	]Hilbert Ritter entered observer.
[16:40:46	]Hilbert Ritter exited observer at their location.
[16:40:46	]Hilbert Ritter entered observer.
[16:40:46	]Hilbert Ritter exited observer at their location.
[16:40:46	]Hilbert Ritter has taken 2 damage from worldspawn.
[16:40:46	]Hilbert Ritter entered observer.
[16:40:47	]Hilbert Ritter exited observer at their location.
[16:40:47	]Hilbert Ritter entered observer.
[16:40:47	]Hilbert Ritter exited observer at their location.
[16:40:47	]Hilbert Ritter entered observer.
[16:40:48	]Hilbert Ritter exited observer at their location.
[16:40:48	]Hilbert Ritter entered observer.
[16:40:48	]Hilbert Ritter exited observer at their location.
[16:40:48	]Hilbert Ritter entered observer.
[16:40:49	]Hilbert Ritter exited observer at their location.
[16:40:49	]Hilbert Ritter entered observer.
[16:40:49	]Hilbert Ritter exited observer at their location.
[16:40:49	]Hilbert Ritter entered observer.
[16:40:50	]Hilbert Ritter exited observer at their location.
[16:40:50	]Hilbert Ritter entered observer.
[16:40:50	]Hilbert Ritter exited observer at their location.
[16:40:50	]Hilbert Ritter entered observer.
[16:40:51	]Hilbert Ritter exited observer at their location.
[16:40:51	]Hilbert Ritter entered observer.
[16:40:51	]Hilbert Ritter exited observer at their location.
[16:40:51	]Hilbert Ritter entered observer.
[16:40:52	]Hilbert Ritter exited observer at their location.
[16:40:52	]Hilbert Ritter entered observer.
[16:40:52	]Hilbert Ritter exited observer at their location.
[16:40:52	]Hilbert Ritter entered observer.
[16:40:53	]Hilbert Ritter exited observer at their location.
[16:40:53	]Hilbert Ritter entered observer.
[16:41:04	]Hilbert Ritter exited observer at their location.
[16:41:06	]Hilbert Ritter entered observer.
[16:41:08	]Hilbert Ritter exited observer at their location.
[16:41:11	]Hilbert Ritter has spawned 'models/props_c17/FurnitureDrawer002a.mdl'.
[16:41:23	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_citizen]'.
[16:41:25	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_citizen2]'.
[16:41:28	]Hilbert Ritter has spawned a 'NPC [5018][npc_vj_hl2_metrocop]'.
[16:41:36	]Hilbert Ritter has used a context menu option with the name: remove
[16:41:37	]Hilbert Ritter has spawned a 'NPC [5019][npc_vj_hl2_citizen2]'.
[16:41:39	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_citizen2]'.
[16:41:41	]Hilbert Ritter has spawned a 'NPC [5019][npc_vj_hl2_citizen2]'.
[16:41:42	]Hilbert Ritter has spawned a 'NPC [4626][npc_vj_hl2_citizen2]'.
[16:41:44	]Hilbert Ritter has spawned a 'NPC [5019][npc_vj_hl2_citizen2]'.
[16:41:53	]Hilbert Ritter has used a context menu option with the name: npc_smaller
