[15:05:00	]Shane Walsh has connected.
[15:09:48	]C24:i3.XRAY-91 exited observer at their location.
[15:09:51	]C24:i3.XRAY-91 has given himself a cwulock.
[15:09:51	]C24:i3.XRAY-91 has gained a 'CWU Lock' #68101.
[15:09:54	]C24:i3.XRAY-91 ran 'Place' on item 'CWU Lock' (#68101)
[15:09:55	]C24:i3.XRAY-91 entered observer.
[15:10:53	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-01'.
[15:10:55	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-01'.
[15:10:56	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-01'.
[15:10:57	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-01'.
[15:11:06	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-01'.
[15:11:12	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-02'.
[15:11:13	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-02'.
[15:11:16	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-02'.
[15:11:17	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-02'.
[15:11:19	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-02'.
[15:11:23	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-03'.
[15:11:26	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-03'.
[15:11:27	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-03'.
[15:11:30	]C24:i3.XRAY-91 opened the 'Büyük Buzdolabı' #6419 container.
[15:11:30	]C24:i3.XRAY-91 closed the 'Büyük Buzdolabı' #6419 container.
[15:11:34	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-03'.
[15:11:36	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-04'.
[15:11:40	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-04'.
[15:11:45	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-05'.
[15:11:47	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-045'.
[15:11:49	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-05'.
[15:11:56	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-06'.
[15:11:58	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-06'.
[15:12:03	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-06'.
[15:12:08	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-06'.
[15:12:12	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-06'.
[15:12:15	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-07'.
[15:12:17	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-07'.
[15:12:20	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-07'.
[15:12:22	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-07'.
[15:12:23	]Shane Walsh has gone afk.
[15:12:24	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-07'.
[15:12:37	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-08'.
[15:12:38	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-08'.
[15:12:41	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-08'.
[15:12:44	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-08'.
[15:12:44	]Victorian has connected.
[15:12:50	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-08'.
[15:12:58	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-09'.
[15:13:01	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-09'.
[15:13:02	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-09'.
[15:13:09	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-10'.
[15:13:11	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-10'.
[15:13:15	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-10'.
[15:13:30	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-11'.
[15:13:32	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-11'.
[15:13:38	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-11'.
[15:13:43	]C24:i3.XRAY-91 used command '/LinkShopTerminal D-12'.
[15:13:46	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-12'.
[15:13:50	]C24:i3.XRAY-91 used command '/SetApartmentDoor D-12'.
[15:14:15	]C24:i3.XRAY-91 exited observer at their location.
[15:14:16	]C24:i3.XRAY-91 entered observer.
[15:14:17	]C24:i3.XRAY-91 exited observer at their location.
[15:14:24	]Beyin.Dll loaded the character 'John Brookly'
[15:14:26	]John Brookly entered observer.
[15:14:29	]John Brookly is fully healed.
[15:14:53	]Victorian loaded the character 'Troylen Houston'
[15:14:54	]John Brookly used command '/SetApartmentDoor RB-A-01-01'.
[15:14:57	]John Brookly used command '/SetApartmentDoor RB-A-01-02'.
[15:15:00	]John Brookly used command '/SetApartmentDoor RB-A-01-01'.
[15:15:02	]John Brookly used command '/SetApartmentDoor RB-A-01-01'.
[15:15:07	]John Brookly used command '/RemoveApartmentDoor'.
[15:15:09	]Troylen Houston entered observer.
[15:15:12	]John Brookly used command '/SetApartmentDoor RB-A-01-02'.
[15:15:14	]John Brookly used command '/SetApartmentDoor RB-A-01-02'.
[15:15:22	]Troylen Houston used command '/Staff beyin ben yemeğe gitçem 30 dk falan sen oyala milleti'.
[15:15:23	]Troylen Houston exited observer at their location.
[15:15:23	]Troylen Houston entered observer.
[15:15:25	]John Brookly used command '/SetApartmentDoor RB-A-02-01'.
[15:15:28	]John Brookly ran SAM command 'asay' with arguments: 'MİLLET YOK'
[15:15:30	]John Brookly ran SAM command 'asay' with arguments: 'AQ'
[15:15:34	]John Brookly used command '/SetApartmentDoor RB-A-02-01'.
[15:15:37	]John Brookly used command '/SetApartmentDoor RB-A-02-01'.
[15:15:40	]John Brookly used command '/SetApartmentDoor RB-A-02-02'.
[15:15:42	]John Brookly used command '/SetApartmentDoor RB-A-02-02'.
[15:15:48	]John Brookly used command '/RemoveApartmentDoor'.
[15:15:55	]John Brookly used command '/SetApartmentDoor RB-A-03-01'.
[15:16:01	]John Brookly used command '/SetApartmentDoor RB-A-03-01'.
[15:16:05	]John Brookly used command '/SetApartmentDoor RB-A-03-02'.
[15:16:07	]John Brookly used command '/SetApartmentDoor RB-A-03-02'.
[15:16:13	]John Brookly used command '/SetApartmentDoor RB-A-04-01'.
[15:16:15	]John Brookly used command '/SetApartmentDoor RB-A-04-01'.
[15:16:20	]John Brookly used command '/SetApartmentDoor RB-A-04-02'.
[15:16:22	]John Brookly used command '/SetApartmentDoor RB-A-04-02'.
[15:16:39	]John Brookly used command '/ShowAllApartments'.
[15:17:08	]John Brookly used command '/SetApartmentDoor RB-B-01-01'.
[15:17:12	]John Brookly used command '/SetApartmentDoor RB-B-01-01'.
[15:17:20	]John Brookly used command '/SetApartmentDoor RB-B-01-02'.
[15:17:24	]John Brookly used command '/SetApartmentDoor RB-B-01-02'.
[15:17:27	]John Brookly exited observer at their location.
[15:17:28	]John Brookly entered observer.
[15:17:42	]John Brookly used command '/SetApartmentDoor RB-B-02-01'.
[15:17:47	]John Brookly used command '/SetApartmentDoor RB-B-02-01'.
[15:17:53	]John Brookly used command '/SetApartmentDoor RB-B-02-02'.
[15:17:56	]John Brookly used command '/SetApartmentDoor RB-B-02-02'.
[15:17:59	]John Brookly exited observer at their location.
[15:17:59	]John Brookly entered observer.
[15:18:18	]John Brookly has given himself a combinelock.
[15:18:18	]John Brookly has gained a 'Combine Lock' #68102.
[15:18:19	]John Brookly ran 'Place' on item 'Combine Lock' (#68102)
[15:18:24	]John Brookly exited observer at their location.
[15:18:24	]John Brookly entered observer.
[15:18:35	]John Brookly has given himself a combinelock.
[15:18:35	]John Brookly has gained a 'Combine Lock' #68103.
[15:18:35	]John Brookly has given himself a combinelock.
[15:18:35	]John Brookly has gained a 'Combine Lock' #68104.
[15:18:36	]John Brookly has given himself a combinelock.
[15:18:36	]John Brookly has gained a 'Combine Lock' #68105.
[15:18:41	]John Brookly ran 'Place' on item 'Combine Lock' (#68105)
[15:18:47	]John Brookly ran 'Place' on item 'Combine Lock' (#68104)
[15:18:59	]John Brookly ran 'Place' on item 'Combine Lock' (#68103)
[15:19:16	]John Brookly has given himself a combinelock.
[15:19:16	]John Brookly has gained a 'Combine Lock' #68106.
[15:19:18	]John Brookly ran 'Place' on item 'Combine Lock' (#68106)
[15:19:26	]John Brookly used command '/SetApartmentDoor RB-C-01-01'.
[15:19:28	]John Brookly used command '/SetApartmentDoor RB-C-01-01'.
[15:19:34	]John Brookly used command '/SetApartmentDoor RB-C-02-01'.
[15:19:36	]John Brookly used command '/SetApartmentDoor RB-C-02-01'.
[15:19:40	]John Brookly used command '/SetApartmentDoor RB-C-03-01'.
[15:19:42	]John Brookly used command '/SetApartmentDoor RB-C-03-01'.
[15:19:45	]John Brookly has given himself a combinelock.
[15:19:45	]John Brookly has gained a 'Combine Lock' #68107.
[15:20:07	]John Brookly ran 'Place' on item 'Combine Lock' (#68107)
[15:20:13	]John Brookly has given himself a combinelock.
[15:20:13	]John Brookly has gained a 'Combine Lock' #68108.
[15:20:15	]John Brookly ran 'Place' on item 'Combine Lock' (#68108)
[15:20:17	]John Brookly ran 'Place' on item 'Combine Lock' (#68108)
[15:20:21	]John Brookly has given himself a combinelock.
[15:20:21	]John Brookly has gained a 'Combine Lock' #68109.
[15:20:21	]John Brookly has given himself a combinelock.
[15:20:21	]John Brookly has gained a 'Combine Lock' #68110.
[15:20:23	]John Brookly ran 'Place' on item 'Combine Lock' (#68109)
[15:20:31	]John Brookly ran 'Place' on item 'Combine Lock' (#68110)
[15:20:34	]John Brookly has given himself a combinelock.
[15:20:34	]John Brookly has gained a 'Combine Lock' #68111.
[15:20:35	]John Brookly has given himself a combinelock.
[15:20:35	]John Brookly has gained a 'Combine Lock' #68112.
[15:20:46	]John Brookly ran 'Place' on item 'Combine Lock' (#68112)
[15:20:53	]Troylen Houston has gone afk.
[15:21:33	]John Brookly used command '/SetApartmentDoor RB-D-01-01'.
[15:21:39	]John Brookly used command '/SetApartmentDoor RB-D-01-01'.
[15:21:45	]John Brookly used command '/SetApartmentDoor RB-D-01-02'.
[15:21:51	]John Brookly used command '/RemoveApartmentDoor'.
[15:21:53	]John Brookly used command '/SetApartmentDoor RB-D-01-02'.
[15:22:07	]John Brookly has disabled persistence for 'models/willardnetworks/citizens/male_01.mdl'.
[15:22:07	]John Brookly has used a context menu option with the name: persist_end
[15:22:17	]John Brookly has enabled persistence for 'models/willardnetworks/citizens/male_01.mdl'.
[15:22:17	]John Brookly has used a context menu option with the name: persist
[15:22:35	]John Brookly ran 'drop' on item 'Combine Lock' (#68111)
[15:22:35	]John Brookly has lost a 'Combine Lock' #68111.
[15:22:37	]John Brookly has used a context menu option with the name: remove
[15:22:43	]John Brookly has given himself a cwulock.
[15:22:43	]John Brookly has gained a 'CWU Lock' #68113.
[15:22:45	]John Brookly ran 'Place' on item 'CWU Lock' (#68113)
[15:22:52	]John Brookly used command '/ShowAllApartments'.
[15:23:14	]John Brookly used command '/SetApartmentDoor 2122-01'.
[15:23:17	]John Brookly used command '/SetApartmentDoor 2122-02'.
[15:23:25	]John Brookly used command '/RemoveApartmentDoor'.
[15:23:27	]John Brookly used command '/SetApartmentDoor 2122-02'.
[15:23:30	]John Brookly used command '/SetApartmentDoor 2122-03'.
[15:23:52	]John Brookly has spawned a 'Entity [3228][ix_combinelock_moe]'.
[15:24:00	]John Brookly has spawned a 'Entity [3229][ix_combinelock_moe]'.
[15:24:03	]John Brookly has spawned a 'Entity [3230][ix_combinelock_moe]'.
[15:24:07	]John Brookly has spawned a 'Entity [3231][ix_combinelock_moe]'.
[15:24:08	]John Brookly has spawned a 'Entity [3575][ix_combinelock_moe]'.
[15:24:11	]John Brookly exited observer at their location.
[15:24:12	]John Brookly entered observer.
[15:24:13	]John Brookly exited observer at their location.
[15:24:20	]John Brookly has given himself a moelock.
[15:24:20	]John Brookly has gained a 'MOE Lock' #68114.
[15:24:21	]John Brookly ran 'Place' on item 'MOE Lock' (#68114)
[15:24:24	]John Brookly ran 'Place' on item 'MOE Lock' (#68114)
[15:24:28	]John Brookly has used a context menu option with the name: remove
[15:24:29	]John Brookly entered observer.
[15:24:31	]John Brookly ran 'Place' on item 'MOE Lock' (#68114)
[15:24:46	]John Brookly has spawned a 'Entity [3580][ix_combinelock_cwu]'.
[15:24:49	]John Brookly has spawned a 'Entity [3585][ix_combinelock_cwu]'.
[15:24:55	]John Brookly has spawned a 'Entity [3591][ix_combinelock_cwu]'.
[15:24:57	]John Brookly exited observer at their location.
[15:24:57	]John Brookly entered observer.
[15:24:59	]John Brookly exited observer at their location.
[15:25:05	]John Brookly has given himself a cwulock.
[15:25:05	]John Brookly has gained a 'CWU Lock' #68115.
[15:25:06	]John Brookly ran 'Place' on item 'CWU Lock' (#68115)
[15:25:08	]John Brookly has used a context menu option with the name: remove
[15:25:09	]John Brookly entered observer.
[15:25:12	]John Brookly ran 'Place' on item 'CWU Lock' (#68115)
[15:25:14	]John Brookly ran 'Place' on item 'CWU Lock' (#68115)
[15:25:17	]John Brookly has used a context menu option with the name: remove
[15:25:33	]John Brookly has given himself a cwulock.
[15:25:33	]John Brookly has gained a 'CWU Lock' #68116.
[15:25:34	]John Brookly has spawned a cwulock.
[15:25:36	]John Brookly ran 'take' on item 'CWU Lock' (#68117)
[15:25:36	]John Brookly has gained a 'CWU Lock' #68117.
[15:25:38	]John Brookly ran 'Place' on item 'CWU Lock' (#68117)
[15:25:40	]John Brookly ran 'Place' on item 'CWU Lock' (#68116)
[15:25:42	]John Brookly ran 'Place' on item 'CWU Lock' (#68115)
[15:25:48	]Troylen Houston is no longer afk. Total time spent AFK: 590
[15:25:51	]John Brookly has given himself a cwulock.
[15:25:51	]John Brookly has gained a 'CWU Lock' #68118.
[15:25:52	]John Brookly has given himself a cwulock.
[15:25:52	]John Brookly has gained a 'CWU Lock' #68119.
[15:25:54	]John Brookly ran 'Place' on item 'CWU Lock' (#68119)
[15:25:58	]John Brookly ran 'Place' on item 'CWU Lock' (#68118)
[15:26:20	]John Brookly exited observer at their location.
[15:26:22	]John Brookly entered observer.
[15:26:25	]John Brookly exited observer at their location.
[15:26:41	]John Brookly has spawned 'models/props_combine/breendesk.mdl'.
[15:26:48	]John Brookly has used a context menu option with the name: remove
[15:26:54	]John Brookly created a 'Ahşap Masa' container.
[15:26:54	]John Brookly has used a context menu option with the name: wncontainer_create
[15:26:57	]John Brookly entered observer.
[15:27:01	]John Brookly opened the 'Plaza Deposu' stash.
[15:27:02	]John Brookly closed the 'Plaza Deposu' stash.
[15:27:13	]John Brookly has given himself a cmrulock.
[15:27:13	]John Brookly has gained a 'CMRU Lock' #68120.
[15:27:14	]John Brookly has given himself a cmrulock.
[15:27:14	]John Brookly has gained a 'CMRU Lock' #68121.
[15:27:14	]John Brookly has given himself a cmrulock.
[15:27:14	]John Brookly has gained a 'CMRU Lock' #68122.
[15:27:20	]John Brookly ran 'Place' on item 'CMRU Lock' (#68122)
[15:27:23	]John Brookly ran 'Place' on item 'CMRU Lock' (#68121)
[15:27:26	]John Brookly ran 'Place' on item 'CMRU Lock' (#68120)
[15:27:29	]John Brookly has given himself a cmrulock.
[15:27:29	]John Brookly has gained a 'CMRU Lock' #68123.
[15:27:30	]John Brookly has given himself a cmrulock.
[15:27:30	]John Brookly has gained a 'CMRU Lock' #68124.
[15:27:32	]John Brookly ran 'Place' on item 'CMRU Lock' (#68124)
[15:27:38	]John Brookly ran 'Place' on item 'CMRU Lock' (#68123)
[15:27:40	]John Brookly has given himself a cmrulock.
[15:27:40	]John Brookly has gained a 'CMRU Lock' #68125.
[15:27:41	]John Brookly ran 'Place' on item 'CMRU Lock' (#68125)
[15:27:45	]John Brookly has given himself a cmrulock.
[15:27:45	]John Brookly has gained a 'CMRU Lock' #68126.
[15:27:47	]John Brookly ran 'Place' on item 'CMRU Lock' (#68126)
[15:27:54	]John Brookly has given himself a cmrulock.
[15:27:54	]John Brookly has gained a 'CMRU Lock' #68127.
[15:27:54	]John Brookly has given himself a cmrulock.
[15:27:54	]John Brookly has gained a 'CMRU Lock' #68128.
[15:27:55	]John Brookly has given himself a cmrulock.
[15:27:55	]John Brookly has gained a 'CMRU Lock' #68129.
[15:27:57	]John Brookly ran 'Place' on item 'CMRU Lock' (#68129)
[15:28:31	]Enistein has connected.
[15:28:40	]John Brookly has given himself a cmrulock.
[15:28:40	]John Brookly has gained a 'CMRU Lock' #68130.
[15:28:41	]John Brookly ran 'Place' on item 'CMRU Lock' (#68130)
[15:28:45	]John Brookly ran 'Place' on item 'CMRU Lock' (#68128)
[15:28:48	]John Brookly ran 'Place' on item 'CMRU Lock' (#68127)
[15:30:48	]Troylen Houston has gone afk.
[15:31:38	]Troylen Houston is fully healed.
[15:32:05	]Enistein loaded the character 'Theodore Abernathy'
[15:32:10	]Theodore Abernathy is fully healed.
[15:32:11	]John Brookly exited observer at their location.
[15:32:12	][IC] John Brookly: Res.
[15:32:14	][IC] Theodore Abernathy: Niye.
[15:32:15	][IC] John Brookly: Atsana.
[15:32:20	][IC] John Brookly: Kapı sildim 1-2 tane.
[15:32:23	][IC] Theodore Abernathy: Hangileri.
[15:32:29	][IC] John Brookly: Kapılara kilit takılmıyodu.
[15:32:34	][IC] John Brookly: Takılsın diye sildim.
[15:32:37	][IC] John Brookly: Hadi hadi.
[15:32:40	]John Brookly entered observer.
[15:32:41	][IC] Theodore Abernathy: Silince takılıyor mu aga.
[15:32:41	]John Brookly exited observer at their location.
[15:32:43	][IC] John Brookly: Evet.
[15:32:46	][IC] John Brookly: Buga giriyo.
[15:32:46	][IC] Theodore Abernathy: Nerden çıkardın.
[15:32:47	][IC] John Brookly: Locklar.
[15:32:49	][IC] John Brookly: Aga mesela.
[15:33:07	][IC] John Brookly: Bir kapıya varliklardan lock taktın ama basmana ragmen takılmadıya.
[15:33:09	][IC] John Brookly: Görünmez oluyo.
[15:33:14	][IC] John Brookly: Silinmiyorda.
[15:33:15	][IC] John Brookly: O lock.
[15:33:22	][IC] John Brookly: Silince geri takılıyo.
[15:33:24	][IC] John Brookly: Kapılar.
[15:33:30	][IC] John Brookly: Res gelince mape geri geliyo kapılar.
[15:33:39	][IC] Theodore Abernathy: Bundan sonra kapıyı silmek yerine.
[15:33:39	]Shane Walsh loaded the character 'C24:i4.HELIX-86'
[15:33:39	]C24:i4.HELIX-86 is no longer afk. Total time spent AFK: 1575
[15:33:43	][IC] Theodore Abernathy: Kırsan daha iyi olmaz mı.
[15:33:48	][IC] John Brookly: Labn.
[15:33:49	]Shane Walsh has unloaded their "C24:i4.HELIX-86" character.
[15:33:51	][IC] John Brookly: Aklıma hiç gelmedi.
[15:33:52	][IC] John Brookly: Amq.
[15:33:57	][IC] John Brookly: Nerden geliyo bu fikirler.
[15:33:58	][IC] Theodore Abernathy: Nerdeki kapıları sildin.
[15:34:03	][IC] John Brookly: Cwu.
[15:34:09	][IC] John Brookly: Bide burdaki.
[15:34:11	][IC] Theodore Abernathy: Nocliple götür beni bi.
[15:34:11	]Theodore Abernathy entered observer.
[15:34:13	]John Brookly entered observer.
[15:34:16	]John Brookly exited observer at their location.
[15:34:17	]John Brookly entered observer.
[15:34:17	]Theodore Abernathy exited observer at their location.
[15:34:18	]Theodore Abernathy entered observer.
[15:34:19	]John Brookly exited observer at their location.
[15:34:20	]John Brookly entered observer.
[15:34:21	]John Brookly exited observer at their location.
[15:34:21	][IC] Theodore Abernathy: Başka.
[15:34:22	]John Brookly entered observer.
[15:34:22	]John Brookly exited observer at their location.
[15:34:23	]John Brookly entered observer.
[15:34:27	]John Brookly exited observer at their location.
[15:34:29	]John Brookly entered observer.
[15:34:30	]John Brookly exited observer at their location.
[15:34:30	]John Brookly entered observer.
[15:34:31	]Theodore Abernathy exited observer at their location.
[15:34:31	]John Brookly exited observer at their location.
[15:34:32	]Theodore Abernathy entered observer.
[15:34:33	]John Brookly entered observer.
[15:34:33	]Theodore Abernathy exited observer at their location.
[15:34:34	]John Brookly exited observer at their location.
[15:34:34	]Theodore Abernathy entered observer.
[15:34:36	]John Brookly entered observer.
[15:34:39	]John Brookly ran SAM command 'asay' with arguments: 'baska yok'
[15:34:52	]Theodore Abernathy used command '/Staff shane walsh sunucuda gözüküyo nerde amk'.
[15:35:01	]John Brookly ran SAM command 'asay' with arguments: 'aga karakter loadlamamıs'
[15:35:03	]John Brookly ran SAM command 'asay' with arguments: 'afk bırakmıs'
[15:35:05	]John Brookly ran SAM command 'asay' with arguments: 'enis gibi'
[15:35:09	]John Brookly ran SAM command 'asay' with arguments: 'victorian gibi'
[15:35:11	]John Brookly ran SAM command 'asay' with arguments: '*'
[15:35:17	]John Brookly exited observer at their location.
[15:35:19	]John Brookly entered observer.
[15:35:27	]Theodore Abernathy used command '/MapRestart 10'.
[15:35:35	]Theodore Abernathy used command '/Announce Map restartı geliyor'.
[15:35:36	]John Brookly ran SAM command 'asay' with arguments: 'harita yeniden baslatma diye biseymi varmıs'
[15:37:13	]Enistein has connected.
[15:37:36	]Beyin.Dll has connected.
[15:37:43	]Enistein loaded the character 'Theodore Abernathy'
[15:37:48	]Theodore Abernathy is fully healed.
[15:37:55	]Theodore Abernathy entered observer.
[15:38:01	]Enistein has unloaded their "Theodore Abernathy" character.
[15:38:04	]Enistein loaded the character 'Theodore Abernathy'
[15:38:08	]Theodore Abernathy entered observer.
[15:38:19	]Beyin.Dll loaded the character 'John Brookly'
[15:38:20	]John Brookly has taken 38 damage from worldspawn.
[15:38:24	]John Brookly is fully healed.
[15:38:29	]Theodore Abernathy exited observer at their location.
[15:38:39	]John Brookly entered observer.
[15:38:44	]Theodore Abernathy entered observer.
[15:38:44	]Theodore Abernathy exited observer at their location.
[15:38:45	]Theodore Abernathy entered observer.
[15:38:48	]John Brookly has given himself a cwulock.
[15:38:48	]John Brookly has gained a 'CWU Lock' #68131.
[15:38:48	]John Brookly has given himself a cwulock.
[15:38:48	]John Brookly has gained a 'CWU Lock' #68132.
[15:38:51	]John Brookly ran 'Place' on item 'CWU Lock' (#68132)
[15:38:56	]John Brookly ran 'Place' on item 'CWU Lock' (#68131)
[15:38:56	]Theodore Abernathy used command '/Staff item olarak almak yerine direkt varlıklardan koyabiliyosun'.
[15:39:01	]John Brookly ran SAM command 'asay' with arguments: 'öyle yapınca'
[15:39:03	]John Brookly ran SAM command 'asay' with arguments: 'buga giriyor'
[15:39:04	]Shane Walsh has connected.
[15:39:05	]John Brookly ran SAM command 'asay' with arguments: 'bazılarında'
[15:39:10	]Theodore Abernathy used command '/Staff ha ozaman tamam'.
[15:39:11	]John Brookly ran SAM command 'asay' with arguments: 'öyle yaptım böyle buga girdi'
[15:39:20	]John Brookly has given himself a moelock.
[15:39:20	]John Brookly has gained a 'MOE Lock' #68133.
[15:39:23	]John Brookly ran 'Place' on item 'MOE Lock' (#68133)
[15:39:26	]Theodore Abernathy exited observer at their location.
[15:39:31	]John Brookly exited observer at their location.
[15:39:39	][IC] John Brookly: Bunları.
[15:39:40	]Victorian has connected.
[15:39:40	][IC] John Brookly: Nasıl.
[15:39:43	][IC] John Brookly: Diger devletelere satıyoz.
[15:39:48	][IC] John Brookly: Sehirlere.
[15:39:51	][IC] Theodore Abernathy: Nasıl yani.
[15:39:57	][IC] John Brookly: Diger devletlerle ticaret.
[15:39:59	][IC] John Brookly: Yapmıyomu.
[15:40:01	][IC] John Brookly: Bu makine.
[15:40:06	]DavşanAbi has connected.
[15:40:06	][IC] Theodore Abernathy: Yoo.
[15:40:12	][IC] Theodore Abernathy: Genel şehir yönetimi bununla yapılıyo işte.
[15:40:15	][IC] Theodore Abernathy: Kart seviyene bağlı olarak.
[15:40:20	][IC] John Brookly: He.
[15:40:21	][IC] Theodore Abernathy: Workersan vardiya başlatabiliyosun falan.
[15:40:21	]Shane Walsh loaded the character 'C24:i4.HELIX-86'
[15:40:22	][IC] John Brookly: Diger devletlerle nası.
