[18:22:21	]Kaan has connected.
[18:32:12	][IC] C24:i5.TAP-54: <:: Sanane. ::>
[18:32:32	][ME] C24:i5.(X)KING-19: İçinden: Götüne girsin sandalye
[18:32:40	][IT] C24:i5.TAP-54: Hissetmiştir
[18:32:44	][IC] C24:i5.TAP-54: <:: Yürü! ::>
[18:33:08	][IC] C24:i5.TAP-54: <:: Güzelsin ve prensesimsin diye sana iyi davranacağımımı düşündün. ::>
[18:33:09	]C24:i5.TAP-54 used the 'Destek Masası Dağıtıcısı' vendor.
[18:33:23	]C24:i5.TAP-54 used the 'Destek Masası Dağıtıcısı' vendor.
[18:33:31	][IC] C24:i5.(X)KING-19: <:: Sus sen konuşma. ::>
[18:33:38	][RUS] C24:i5.TAP-54: naz yapma
[18:33:41	]C24:i5.TAP-54 used the 'Destek Masası Dağıtıcısı' vendor.
[18:33:49	][IC] C24:i5.(X)KING-19: <:: Çok konuşma. ::>
[18:33:52	][IC] C24:i5.TAP-54: <:: Ee. ::>
[18:33:56	][IC] C24:i5.(X)KING-19: <:: O kadar. ::>
[18:33:57	][IC] C24:i5.TAP-54: <:: Konuşursam nolur. ::>
[18:33:59	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:33:59	][IC] C24:i5.(X)KING-19: <:: Konuşma. ::>
[18:34:07	][ME] C24:i5.TAP-54: Jopu çenesine deydirir ve geri indirir
[18:34:12	]C24:i5.TAP-54 used the 'Destek Masası Dağıtıcısı' vendor.
[18:34:40	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:34:45	][IC] C24:i5.(X)KING-19: <:: Komik. ::>
[18:34:49	][IC] C24:i5.TAP-54: <:: Değilmi. ::>
[18:34:52	][ME] C24:i5.(X)KING-19: Yapmacık bir gülme yapar
[18:34:55	][IC] C24:i5.(X)KING-19: <:: Ha ha ha ha. ::>
[18:34:58	][IC] C24:i5.(X)KING-19: <:: Çok komikmiş. ::>
[18:35:04	][IC] C24:i5.TAP-54: <:: Değilmi öyle. ::>
[18:35:07	][IC] C24:i5.(X)KING-19: <:: Yok. ::>
[18:35:40	][IC] C24:i5.(X)KING-19: <:: İtme. ::>
[18:35:44	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:35:52	][IC] C24:i5.(X)KING-19: <:: Seni dövücem. ::>
[18:35:55	][RUS] C24:i5.TAP-54: Aşıksın demek ha
[18:36:26	][IC] C24:i5.(X)KING-19: <:: Ne. ::>
[18:36:29	][ME] C24:i5.TAP-54: Boydan süzer
[18:36:30	][IC] C24:i5.TAP-54: <:: Görsel olarak ediniyorum. ::>
[18:36:44	][ME] C24:i5.(X)KING-19: Elini havaya kaldırıp orta parmak yapar
[18:36:48	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:36:49	][IC] C24:i5.TAP-54: <:: Uygunsuzluk raporu veriliyor. ::>
[18:36:53	][IC] C24:i5.(X)KING-19: <:: Tamam. ::>
[18:36:57	][IC] C24:i5.(X)KING-19: <:: Ama sen git. ::>
[18:37:10	][IC] C24:i5.(X)KING-19: <:: İtme. ::>
[18:37:14	][IC] C24:i5.TAP-54: <:: Sanamı sorucam. ::>
[18:37:16	][IC] C24:i5.TAP-54: <:: Cüce. ::>
[18:37:20	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:37:48	][IC] C24:i5.(X)KING-19: <:: İTME. ::>
[18:37:51	][IC] C24:i5.TAP-54: <:: Sanane lan. ::>
[18:38:00	][IC] C24:i5.TAP-54: <:: Noldu ilgimi istiyorsun. ::>
[18:38:32	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:38:34	][IC] C24:i5.(X)KING-19: <:: Bişe söylicem. ::>
[18:38:35	][IC] C24:i5.(X)KING-19: <:: Gelsene. ::>
[18:38:36	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:38:40	][IC] C24:i5.TAP-54: <:: Ne söyliyiceksin. ::>
[18:38:41	][IC] C24:i5.(X)KING-19: <:: Gel gel. ::>
[18:38:43	][IC] C24:i5.(X)KING-19: <:: Gel bi. ::>
[18:38:45	][IC] C24:i5.TAP-54: <:: Aşkınımı itiraf ediceksin. ::>
[18:38:53	][IC] C24:i5.(X)KING-19: <:: An- sen bi gel. ::>
[18:38:59	][IC] C24:i5.TAP-54: <:: Önce soruma cevap ver. ::>
[18:39:02	][IC] C24:i5.(X)KING-19: <:: Yok. ::>
[18:39:03	][IC] C24:i5.(X)KING-19: <:: Gel. ::>
[18:39:04	][IC] C24:i5.(X)KING-19: <:: Sen. ::>
[18:39:05	][IC] C24:i5.TAP-54: <:: O zaman gelmem. ::>
[18:39:08	][IC] C24:i5.(X)KING-19: <:: Siktir git. ::>
[18:39:12	][IC] C24:i5.TAP-54: <:: Haha. ::>
[18:39:43	][ME] C24:i5.(X)KING-19: Elini yumruk yapıp sertce yumruk atar karın bölgesine.
[18:39:44	]C24:i5.(X)KING-19 has hit C24:i5.TAP-54 dealing 3 damage (CritChance was 0.00).
[18:39:44	]C24:i5.TAP-54 has taken 3 damage from C24:i5.(X)KING-19.
[18:39:44	]C24:i5.(X)KING-19 has damaged C24:i5.TAP-54, dealing 5.0015 with ix_hands
[18:39:47	]C24:i5.TAP-54 has hit C24:i5.(X)KING-19 dealing 19 damage (CritChance was 0.40).
[18:39:47	]C24:i5.(X)KING-19 has taken 19 damage from C24:i5.TAP-54.
[18:39:51	]C24:i5.(X)KING-19 is fully healed.
[18:39:53	][IC] C24:i5.TAP-54: <:: Aptalmısın sen. ::>
[18:39:59	][IC] C24:i5.(X)KING-19: <:: NEDEN İTİYON O ZAMAN. ::>
[18:40:01	][IT] C24:i5.TAP-54: Göğüsüne vurmuştur
[18:40:11	][IC] C24:i5.TAP-54: <:: Sanane istediğim gibi iterim. ::>
[18:40:13	][IC] C24:i5.TAP-54: <:: Önüme çıkma. ::>
[18:40:16	][IC] C24:i5.(X)KING-19: <:: İtemezsin. ::>
[18:40:21	]C24:i5.(X)KING-19 has lost a '17rnd USP Magazine' #165802.
[18:40:21	]C24:i5.(X)KING-19 has gained a '17rnd USP Magazine' #165803.
[18:40:23	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:40:33	][IC] C24:i5.(X)KING-19: <:: Git devriye. ::>
[18:40:34	][IC] C24:i5.(X)KING-19: <:: At. ::>
[18:40:35	][IC] C24:i5.TAP-54: <:: Stabil kodda. ::>
[18:40:40	][IC] C24:i5.TAP-54: <:: Silahınımı çektin sen? ::>
[18:40:48	][IC] C24:i5.(X)KING-19: <:: Yok silahı inceledim. ::>
[18:41:12	]C24:i5.TAP-54 used command '/Radio REPORT STATUS'.
[18:42:21	]C24:i5.TAP-54 destroyed a 'Boş Kavanoz' #166810.
[18:42:53	][ME] C24:i5.TAP-54: Jopunu kişinin vucüdünda gezdirir.
[18:43:06	][WRUS] C24:i5.TAP-54: Ne zaman naz yapmayı bırakıp kendini bana teslim edicen merak ediyorum.
[18:43:17	][WRUS] C24:i5.TAP-54: Cevap vermiyorsun demek hoşlandığını biliyordum
[18:43:39	][RUS] C24:i5.(X)KING-19: siktir git
[18:43:47	][RUS] C24:i5.TAP-54: haha demin öyle demiyordun
[18:43:56	][RUS] C24:i5.(X)KING-19: Ne diyordum
[18:44:06	][RUS] C24:i5.TAP-54: Dokunmamdan rahatsız gibi değildin
[18:44:40	]C24:i5.(X)KING-19 ran 'combine' on item '17rnd USP Magazine' (#165803)
[18:44:51	][ME] C24:i5.(X)KING-19: Jopun elektiriğini aç kapa yapar.
[18:45:06	][ME] C24:i5.TAP-54: Elektriği maksimuma alır
[18:45:12	]C24:i5.TAP-54 rolled 9 out of 20 (+5 from Güç).
[18:45:12	]C24:i5.TAP-54 used command '/Roll strength'.
[18:45:23	][IT] C24:i5.TAP-54: Kişi kişiye vurursa yüksek ihtimalle bayılacak
[18:45:35	][Y] C24:i5.TAP-54: <:: Korkak cüce prenses. ::>
[18:46:11	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:46:33	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:46:43	][YRUS] C24:i5.TAP-54: Aşkına engel olma 
[18:47:27	]C24:i5.TAP-54 has gained level 46 in the Hız skill.
[18:49:22	]C24:i5.TAP-54 has taken 27 damage from worldspawn.
[18:49:31	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166905)
[18:49:31	]C24:i5.TAP-54 has performed the 'Use Bandaj Rulosu' action, gaining 15 experience in medicine.
[18:49:31	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:49:31	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166905)
[18:49:31	]C24:i5.TAP-54 has performed the 'Use Bandaj Rulosu' action, gaining 12 experience in medicine.
[18:49:31	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:49:32	]C24:i5.TAP-54 ran 'use' on item 'Ağrı Kesici' (#166836)
[18:49:32	]C24:i5.TAP-54 has performed the 'Use Ağrı Kesici' action, gaining 25 experience in medicine.
[18:49:33	]C24:i5.TAP-54 ran 'use' on item 'Ağrı Kesici' (#166836)
[18:49:33	]C24:i5.TAP-54 has performed the 'Use Ağrı Kesici' action, gaining 3 experience in medicine.
[18:49:36	][YRUS] C24:i5.TAP-54: Aşkına engel olma 
[18:49:40	]C24:i5.TAP-54 ran 'use' on item 'Bandaj Rulosu' (#166905)
[18:49:40	]C24:i5.TAP-54 was bandaged by C24:i5.TAP-54 for 16 HP.
[18:49:53	]C24:i5.(X)KING-19 has hit C24:i5.TAP-54 dealing 19 damage (CritChance was 0.40).
[18:49:53	]C24:i5.TAP-54 has taken 19 damage from C24:i5.(X)KING-19.
[18:49:54	]C24:i5.(X)KING-19 has hit C24:i5.TAP-54 dealing 19 damage (CritChance was 0.40).
[18:49:54	]C24:i5.TAP-54 has taken 19 damage from C24:i5.(X)KING-19.
[18:49:56	]C24:i5.(X)KING-19 has critically hit C24:i5.TAP-54 dealing 24 damage (CritChance was 0.40).
[18:49:56	]C24:i5.TAP-54 has taken 24 damage from C24:i5.(X)KING-19.
[18:49:57	]C24:i5.(X)KING-19 has hit C24:i5.TAP-54 dealing 19 damage (CritChance was 0.40).
[18:49:57	]C24:i5.TAP-54 has taken 19 damage from C24:i5.(X)KING-19.
[18:50:00	]C24:i5.TAP-54 has gained level 7 in the Yakın Dövüş skill.
[18:50:00	]C24:i5.TAP-54 has critically hit C24:i5.(X)KING-19 dealing 24 damage (CritChance was 0.40).
[18:50:00	]C24:i5.(X)KING-19 has taken 24 damage from C24:i5.TAP-54.
[18:50:01	]C24:i5.(X)KING-19 is fully healed.
[18:50:05	]C24:i5.(X)KING-19 has hit C24:i5.TAP-54 dealing 19 damage (CritChance was 0.40).
[18:50:05	]C24:i5.TAP-54 has taken 19 damage from C24:i5.(X)KING-19.
[18:50:07	]C24:i5.(X)KING-19 has hit C24:i5.TAP-54 dealing 19 damage (CritChance was 0.40).
[18:50:07	]C24:i5.TAP-54 has taken 19 damage from C24:i5.(X)KING-19.
[18:50:07	]C24:i5.TAP-54 has hit C24:i5.(X)KING-19 dealing 19 damage (CritChance was 0.40).
[18:50:07	]C24:i5.(X)KING-19 has taken 19 damage from C24:i5.TAP-54.
[18:50:09	]C24:i5.(X)KING-19 has gained a '17rnd USP Magazine' #165802.
[18:50:09	]C24:i5.(X)KING-19 was just knocked out due to: hit by stunstick owned by C24:i5.TAP-54
[18:50:11	]C24:i5.(X)KING-19 is fully healed.
[18:50:15	]Barış has unloaded their "C24:i5.(X)KING-19" character.
[18:50:19	]Barış loaded the character 'C24:i5.(X)KING-19'
[18:50:25	]Kaan (STEAM_0:1:448976614) has disconnected.
[18:51:52	]Barış (STEAM_0:0:195372324) has disconnected.
