[00:58:30	]Szaliwun has connected.
[01:24:50	]Szaliwun has spawned a 'Entity [465][ix_trashspawner]'.
[01:24:57	]Szaliwun has fired a toolgun with the name: creator
[01:24:57	]Szaliwun has spawned a 'Entity [465][ix_trashspawner]'.
[01:25:00	]Szaliwun has used a context menu option with the name: remove
[01:25:03	]Szaliwun has used a context menu option with the name: remove
[01:25:04	]Szaliwun has used a context menu option with the name: remove
[01:25:08	]Szaliwun has used a context menu option with the name: remove
[01:25:12	]Szaliwun has used a context menu option with the name: remove
[01:25:13	]Szaliwun has used a context menu option with the name: remove
[01:25:20	]Szaliwun ran 'Write' on item 'WAŻNE!' (#26833)
[01:25:30	]Szaliwun opened the 'Duża, publiczna metalowa szafa' #1889 container.
[01:25:32	]Szaliwun closed the 'Duża, publiczna metalowa szafa' #1889 container.
[01:25:56	]Szaliwun opened the 'Schowek przy torach' stash.
[01:25:58	]Szaliwun closed the 'Schowek przy torach' stash.
[01:26:40	]Szaliwun opened the 'Schowek w Slumsach' stash.
[01:26:41	]Szaliwun closed the 'Schowek w Slumsach' stash.
[01:26:58	]Szaliwun opened the 'Kosz' #1743 container.
[01:26:59	]Szaliwun closed the 'Kosz' #1743 container.
[01:27:01	]Szaliwun opened the 'Przybory kuchenne' #1735 container.
[01:27:03	]Szaliwun closed the 'Przybory kuchenne' #1735 container.
[01:27:04	]Szaliwun opened the 'Przybory kuchenne' #1735 container.
[01:27:05	]Szaliwun closed the 'Przybory kuchenne' #1735 container.
[01:27:05	]Szaliwun opened the 'Duża lodówka' #1726 container.
[01:27:07	]Szaliwun closed the 'Duża lodówka' #1726 container.
[01:27:34	]Szaliwun has fired a toolgun with the name: colour
[01:27:36	]Szaliwun has fired a toolgun with the name: colour
[01:27:37	]Szaliwun has fired a toolgun with the name: colour
[01:27:38	]Szaliwun has fired a toolgun with the name: colour
[01:28:16	]Szaliwun has spawned 'models/props_c17/FurnitureDresser001a.mdl'.
[01:28:23	]Szaliwun has fired a toolgun with the name: nocollideworld
[01:28:37	]Szaliwun exited observer at their location.
[01:28:43	]Szaliwun entered observer.
[01:28:48	]Szaliwun exited observer at their location.
[01:28:52	]Szaliwun entered observer.
[01:28:53	]Szaliwun exited observer at their location.
[01:28:54	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:28:56	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:29:03	]Szaliwun has enabled persistence for 'models/props_c17/furnituredresser001a.mdl'.
[01:29:03	]Szaliwun has used a context menu option with the name: persist
[01:29:05	]Szaliwun entered observer.
[01:29:36	]Szaliwun used command '/ToggleRaise'.
[01:29:44	]Szaliwun used command '/ToggleRaise'.
[01:29:53	]Szaliwun used command '/ToggleRaise'.
[01:30:01	]Szaliwun used command '/ToggleRaise'.
[01:30:09	]Szaliwun used command '/ToggleRaise'.
[01:30:17	]Szaliwun used command '/ToggleRaise'.
[01:30:25	]Szaliwun used command '/ToggleRaise'.
[01:30:31	]Szaliwun used command '/ToggleRaise'.
[01:30:37	]Szaliwun used command '/ToggleRaise'.
[01:31:34	]Szaliwun used command '/ToggleRaise'.
[01:31:47	]Szaliwun used command '/ToggleRaise'.
[01:31:49	]Szaliwun exited observer at their location.
[01:31:50	]Szaliwun used command '/ToggleRaise'.
[01:31:53	]Szaliwun used command '/ToggleRaise'.
[01:32:07	]Szaliwun has used a context menu option with the name: remove
[01:32:17	]Szaliwun used command '/ToggleRaise'.
[01:32:40	]Szaliwun has used a context menu option with the name: remove
[01:33:19	]Szaliwun entered observer.
[01:33:31	]Szaliwun opened the 'Stara, zardzewiała szafka' #1789 container.
[01:33:33	]Szaliwun closed the 'Stara, zardzewiała szafka' #1789 container.
[01:33:40	]Szaliwun has used a context menu option with the name: wncontainer_checkowner
[01:33:48	]Szaliwun has disabled persistence for 'models/props_c17/furnituremattress001a.mdl'.
[01:33:48	]Szaliwun has used a context menu option with the name: persist_end
[01:33:50	]Szaliwun has used a context menu option with the name: remove
[01:35:25	]Szaliwun opened the 'Szafka pokryta biomasą...' #1505 container.
[01:35:27	]Szaliwun closed the 'Szafka pokryta biomasą...' #1505 container.
[01:35:35	]Szaliwun has used a context menu option with the name: remove
[01:35:38	]Szaliwun exited observer at their location.
[01:36:19	]Szaliwun entered observer.
[01:36:22	]Szaliwun exited observer at their location.
[01:37:38	]Szaliwun entered observer.
[01:37:40	]Szaliwun exited observer at their location.
[01:37:45	]Szaliwun has fired a toolgun with the name: advdupe2
[01:37:45	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001.mdl'.
[01:37:45	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:45	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_02.mdl'.
[01:37:45	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001.mdl'.
[01:37:45	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_web_flat_posable.mdl'.
[01:37:45	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_blower002.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_web_flat_posable.mdl'.
[01:37:46	]Szaliwun has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_lamp.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xen/xen_foam_base001.mdl'.
[01:37:46	]Szaliwun has spawned 'models/props_junk/garbage_metalcan002a.mdl'.
[01:37:46	]Szaliwun has spawned 'models/props_interiors/refrigerator01a.mdl'.
[01:37:46	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:46	]Szaliwun has spawned 'models/scene_building/small_rooms/2door_sides.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_blower002.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor007.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster003.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_tendrils.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor004.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_02.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:46	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_web_flat_posable.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:47	]Szaliwun has spawned 'models/scene_building/small_rooms/2door_sides.mdl'.
[01:37:47	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/infestation/p1/boomerplant_01.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[01:37:47	]Szaliwun has spawned 'models/hunter/plates/plate1x2.mdl'.
[01:37:47	]Szaliwun has spawned a 'Entity [3706][pfx1_0e]'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_02.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_web_wide.mdl'.
[01:37:47	]Szaliwun has spawned 'models/props_debris/plaster_floor003a.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xen/xen_foam_straight01.mdl'.
[01:37:47	]Szaliwun has spawned 'models/props_junk/bicycle01a.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall001_wide.mdl'.
[01:37:47	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:47	]Szaliwun has spawned 'models/props_c17/metalpot001a.mdl'.
[01:37:48	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:48	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_1door.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:48	]Szaliwun has spawned a 'Entity [3726][ix_teleporter]'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:48	]Szaliwun has spawned 'models/scene_building/small_rooms/stairs_straight.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster003.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_spore001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:48	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wallpod001b.mdl'.
[01:37:49	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_2door_r.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_blob_corner001.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xen/xen_foam_anchor01.mdl'.
[01:37:49	]Szaliwun has spawned 'models/scene_building/small_rooms/2door_opp.mdl'.
[01:37:49	]Szaliwun has spawned 'models/hlvr/distillery_gunk/distillerygunk_gunk.mdl'.
[01:37:49	]Szaliwun has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:49	]Szaliwun has spawned 'models/props_junk/garbage_newspaper001a.mdl'.
[01:37:49	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_strand_anchor006.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_tendrils.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:49	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:50	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:50	]Szaliwun has spawned 'models/props_hive/websackceiling01.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_jelly_blob001.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:50	]Szaliwun has spawned 'models/hunter/plates/plate2x3.mdl'.
[01:37:50	]Szaliwun has spawned a 'Entity [3767][ix_teleporter]'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xen/xen_foam_pillar001.mdl'.
[01:37:50	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_2door_r.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xen/xen_foam_floor_wall001.mdl'.
[01:37:50	]Szaliwun has spawned 'models/scene_building/small_rooms/2door_sides.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xen/xen_foam_wall001.mdl'.
[01:37:50	]Szaliwun has spawned 'models/props_phx/construct/plastic/plastic_panel2x4.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[01:37:50	]Szaliwun has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_forcefield_right.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_bulb001.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_web_flat_posable.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_corner001_convex.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_web_cone001.mdl'.
[01:37:50	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:51	]Szaliwun has spawned 'models/scene_building/small_rooms/1door.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:51	]Szaliwun has spawned 'models/hunter/plates/plate2x2.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster002.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001_wide002.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:51	]Szaliwun has spawned 'models/props_hive/websackhalf.mdl'.
[01:37:51	]Szaliwun has spawned 'models/scene_building/sewer_system/comp_roundroom.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_01.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:51	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_2door_l.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_corner001_convex.mdl'.
[01:37:51	]Szaliwun has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_crate.mdl'.
[01:37:51	]Szaliwun has spawned 'models/props_junk/garbage_metalcan001a.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:51	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_small_mold_cluster_1.mdl'.
[01:37:52	]Szaliwun has spawned a 'Entity [3811][ix_teleporter]'.
[01:37:52	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:52	]Szaliwun has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_forcefield_left.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[01:37:52	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001_wide.mdl'.
[01:37:52	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector.mdl'.
[01:37:52	]Szaliwun has spawned 'models/props_hive/websackhalf_b.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_02.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/infestation/p1/boomerplant_exploded.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_tendrils.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/infestation/p1/rock_6.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_tendril_02.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:52	]Szaliwun has spawned 'models/hunter/plates/plate2x2.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_antlion_cluster001.mdl'.
[01:37:52	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_ceiling001.mdl'.
[01:37:53	]Szaliwun has spawned a 'Entity [3902][ix_wncontainer]'.
[01:37:53	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall001_wide.mdl'.
[01:37:53	]Szaliwun has spawned 'models/props_junk/barrel_fire.mdl'.
[01:37:53	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[01:37:53	]Szaliwun has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[01:37:53	]Szaliwun has spawned 'models/scene_building/small_hallways/hall_connector_deadend.mdl'.
