[18:00:01	]Wenli has connected.
[18:04:45	]Pierre Blum ran 'drop' on item 'Podstawowy kupon na Kredyty.' (#6717)
[18:04:45	]Pierre Blum has lost a 'Podstawowy kupon na Kredyty.' #6717.
[18:04:46	]Pierre Blum has taken 10 damage from ix_item.
[18:04:56	]Pierre Blum ran 'Open' on item 'Lepsza racja żywnościowa' (#6700)
[18:04:56	]Pierre Blum has gained a 'Jabłko' #6720.
[18:04:56	]Pierre Blum has gained a 'Kawałek arbuza' #6721.
[18:04:56	]Pierre Blum has gained a 'Woda Breena' #6722.
[18:04:56	]Pierre Blum has gained a 'Podstawowy kupon na Kredyty.' #6723.
[18:05:00	]Pierre Blum ran 'drop' on item 'Jabłko' (#6720)
[18:05:00	]Pierre Blum has lost a 'Jabłko' #6720.
[18:05:10	]Pierre Blum ran 'Consume' on item 'Jabłko' (#6720)
[18:05:13	]Pierre Blum ran 'drop' on item 'Kawałek arbuza' (#6721)
[18:05:13	]Pierre Blum has lost a 'Kawałek arbuza' #6721.
[18:05:16	]Pierre Blum ran 'Consume' on item 'Kawałek arbuza' (#6721)
[18:05:18	]Pierre Blum ran 'Consume' on item 'Woda Breena' (#6722)
[18:05:18	]Pierre Blum has gained a 'Pusta puszka po wodzie Breen'a' #6724.
[18:05:19	]Pierre Blum ran 'drop' on item 'Pusta puszka po wodzie Breen'a' (#6724)
[18:05:19	]Pierre Blum has lost a 'Pusta puszka po wodzie Breen'a' #6724.
[18:05:23	]Pierre Blum ran 'drop' on item 'Podstawowy kupon na Kredyty.' (#6723)
[18:05:23	]Pierre Blum has lost a 'Podstawowy kupon na Kredyty.' #6723.
[18:05:36	]Pierre Blum ran 'Open' on item 'Racja żywnościowa Lojalisty' (#6704)
[18:05:36	]Pierre Blum has gained a 'Kawałek arbuza' #6725.
[18:05:36	]Pierre Blum has gained a 'Jabłko' #6726.
[18:05:36	]Pierre Blum has gained a 'Gazowana woda Breen'a' #6727.
[18:05:36	]Pierre Blum has gained a 'Kupon na Kredyty.' #6728.
[18:05:39	]Pierre Blum ran 'Consume' on item 'Kawałek arbuza' (#6725)
[18:05:42	]Pierre Blum ran 'Consume' on item 'Jabłko' (#6726)
[18:05:48	]Pierre Blum ran 'Consume' on item 'Gazowana woda Breen'a' (#6727)
[18:05:48	]Pierre Blum has gained a 'Pusta puszka po wodzie Breen'a' #6729.
[18:05:51	]Pierre Blum ran 'drop' on item 'Kupon na Kredyty.' (#6728)
[18:05:51	]Pierre Blum has lost a 'Kupon na Kredyty.' #6728.
[18:05:52	]Pierre Blum ran 'drop' on item 'Pusta puszka po wodzie Breen'a' (#6729)
[18:05:52	]Pierre Blum has lost a 'Pusta puszka po wodzie Breen'a' #6729.
[18:05:54	]Pierre Blum has taken 10 damage from ix_item.
[18:05:54	]Pierre Blum has taken 5 damage from ix_item.
[18:06:02	]Pierre Blum ran 'Open' on item 'Priorytetowa racja żywnościowa Lojalisty' (#6701)
[18:06:02	]Pierre Blum has gained a 'Unia Choco' #6730.
[18:06:02	]Pierre Blum has gained a 'Stek z łososia' #6731.
[18:06:02	]Pierre Blum has gained a 'Gazowana woda Breen'a' #6732.
[18:06:02	]Pierre Blum has gained a 'Priorytetowy kupon na Kredyty.' #6733.
[18:06:04	]Pierre Blum ran 'drop' on item 'Unia Choco' (#6730)
[18:06:04	]Pierre Blum has lost a 'Unia Choco' #6730.
[18:06:06	]Pierre Blum ran 'Consume' on item 'Unia Choco' (#6730)
[18:06:06	]Pierre Blum has gained a 'Plastik' #6734.
[18:06:09	]Pierre Blum ran 'drop' on item 'Plastik' (#6734)
[18:06:09	]Pierre Blum has lost a 'Plastik' #6734.
[18:06:16	]Pierre Blum ran 'Consume' on item 'Stek z łososia' (#6731)
[18:06:16	]Pierre Blum has gained a level 5 long boost in Inteligencja.
[18:06:16	]Pierre Blum has gained a level 5 long boost in Percepcja.
[18:06:18	]Pierre Blum ran 'Consume' on item 'Gazowana woda Breen'a' (#6732)
[18:06:18	]Pierre Blum has gained a 'Pusta puszka po wodzie Breen'a' #6735.
[18:06:20	]Pierre Blum ran 'drop' on item 'Priorytetowy kupon na Kredyty.' (#6733)
[18:06:20	]Pierre Blum has lost a 'Priorytetowy kupon na Kredyty.' #6733.
[18:06:25	]Pierre Blum ran 'drop' on item 'Pusta puszka po wodzie Breen'a' (#6735)
[18:06:25	]Pierre Blum has lost a 'Pusta puszka po wodzie Breen'a' #6735.
[18:06:30	]Pierre Blum ran 'Open' on item 'Racja żywnościowa Prawdziwego Lojalisty' (#6706)
[18:06:30	]Pierre Blum has gained a 'Unia Choco' #6736.
[18:06:30	]Pierre Blum has gained a 'Stek z łososia' #6737.
[18:06:30	]Pierre Blum has gained a 'Gazowana woda Breen'a' #6738.
[18:06:30	]Pierre Blum has gained a 'Kupon na Kredyty.' #6739.
[18:06:35	]Pierre Blum ran 'Consume' on item 'Unia Choco' (#6736)
[18:06:35	]Pierre Blum has gained a 'Plastik' #6740.
[18:07:02	]Pierre Blum ran 'Consume' on item 'Stek z łososia' (#6737)
[18:07:02	]Pierre Blum has wasted a level 5 long boost in Inteligencja (current: 1; target: 5).
[18:07:02	]Pierre Blum has wasted a level 5 long boost in Percepcja (current: 0; target: 5).
[18:07:03	]Pierre Blum ran 'Consume' on item 'Gazowana woda Breen'a' (#6738)
[18:07:03	]Pierre Blum has gained a 'Pusta puszka po wodzie Breen'a' #6741.
[18:07:08	]Pierre Blum ran 'Open' on item 'Racja żywnościowa Civil Protection' (#6703)
[18:07:08	]Pierre Blum has gained a 'Suplementy Civil Protection' #6742.
[18:07:08	]Pierre Blum has gained a 'Soda Bob Brawn' #6743.
[18:07:08	]Pierre Blum has gained a 'Kupon na Kredyty.' #6744.
[18:07:11	]Pierre Blum ran 'Consume' on item 'Suplementy Civil Protection' (#6742)
[18:07:11	]Pierre Blum has gained a level 3 long boost in Siła.
[18:07:16	]Pierre Blum ran 'Consume' on item 'Soda Bob Brawn' (#6743)
[18:07:16	]Pierre Blum has wasted a level 1 long boost in Percepcja (current: 0; target: 5).
[18:07:16	]Pierre Blum has gained a level 2 long boost in Zręczność.
[18:07:22	]Pierre Blum ran 'Use' on item 'Kupon na Kredyty.' (#6728)
[18:07:24	]Pierre Blum ran 'take' on item 'Kupon na Kredyty.' (#6728)
[18:07:24	]Pierre Blum has gained a 'Kupon na Kredyty.' #6728.
[18:07:31	]Pierre Blum has given himself a nutrientdrink.
[18:07:31	]Pierre Blum has gained a 'Soda Bob Brawn' #6745.
[18:07:41	]Pierre Blum ran 'Consume' on item 'Soda Bob Brawn' (#6745)
[18:07:41	]Pierre Blum has wasted a level 1 long boost in Percepcja (current: 0; target: 5).
[18:07:41	]Pierre Blum has wasted a level 2 long boost in Zręczność (current: 0; target: 2).
[18:08:02	]Pierre Blum has fired a toolgun with the name: remover
[18:08:02	]Pierre Blum has fired a toolgun with the name: remover
[18:08:03	]Pierre Blum has fired a toolgun with the name: remover
[18:08:04	]Pierre Blum has fired a toolgun with the name: remover
[18:08:04	]Pierre Blum has fired a toolgun with the name: remover
[18:08:06	]Pierre Blum has fired a toolgun with the name: remover
[18:08:08	]Pierre Blum has fired a toolgun with the name: remover
[18:08:09	]Pierre Blum has fired a toolgun with the name: remover
[18:08:09	]Pierre Blum has fired a toolgun with the name: remover
[18:08:10	]Pierre Blum has fired a toolgun with the name: remover
[18:08:11	]Pierre Blum has fired a toolgun with the name: remover
[18:08:11	]Pierre Blum has fired a toolgun with the name: remover
[18:08:13	]Pierre Blum has fired a toolgun with the name: remover
[18:08:17	]Pierre Blum has fired a toolgun with the name: remover
[18:08:19	]Pierre Blum entered observer.
[18:08:27	]Pierre Blum exited observer at their location.
[18:08:30	]Pierre Blum ran 'drop' on item 'Kupon na Kredyty.' (#6728)
[18:08:30	]Pierre Blum has lost a 'Kupon na Kredyty.' #6728.
[18:08:30	]Pierre Blum ran 'drop' on item 'Kupon na Kredyty.' (#6739)
[18:08:30	]Pierre Blum has lost a 'Kupon na Kredyty.' #6739.
[18:08:31	]Pierre Blum ran 'drop' on item 'Kask ochronny' (#6707)
[18:08:31	]Pierre Blum has lost a 'Kask ochronny' #6707.
[18:08:31	]Pierre Blum ran 'drop' on item 'Rękawiczki medyczne' (#6709)
[18:08:31	]Pierre Blum has lost a 'Rękawiczki medyczne' #6709.
[18:08:32	]Pierre Blum ran 'drop' on item 'Fartuch laboratoryjny' (#6708)
[18:08:32	]Pierre Blum has lost a 'Fartuch laboratoryjny' #6708.
[18:08:33	]Pierre Blum ran 'drop' on item 'Spodnie 'Kość Słoniowa'' (#6710)
[18:08:33	]Pierre Blum has lost a 'Spodnie 'Kość Słoniowa'' #6710.
[18:08:33	]Pierre Blum ran 'drop' on item 'Plastik' (#6740)
[18:08:33	]Pierre Blum has lost a 'Plastik' #6740.
[18:08:34	]Pierre Blum ran 'drop' on item 'Kupon na Kredyty.' (#6744)
[18:08:34	]Pierre Blum has lost a 'Kupon na Kredyty.' #6744.
[18:08:34	]Pierre Blum ran 'drop' on item 'Pusta puszka po wodzie Breen'a' (#6741)
[18:08:34	]Pierre Blum has lost a 'Pusta puszka po wodzie Breen'a' #6741.
[18:08:54	]Pierre Blum has fired a toolgun with the name: remover
[18:08:54	]Pierre Blum has fired a toolgun with the name: remover
[18:08:55	]Pierre Blum has fired a toolgun with the name: remover
[18:08:55	]Pierre Blum has fired a toolgun with the name: remover
[18:08:56	]Pierre Blum has fired a toolgun with the name: remover
[18:08:56	]Pierre Blum has fired a toolgun with the name: remover
[18:08:56	]Pierre Blum has fired a toolgun with the name: remover
[18:08:56	]Pierre Blum has fired a toolgun with the name: remover
[18:08:57	]Pierre Blum has fired a toolgun with the name: remover
[18:08:57	]Pierre Blum has fired a toolgun with the name: remover
[18:08:57	]Pierre Blum has fired a toolgun with the name: remover
[18:08:57	]Pierre Blum has fired a toolgun with the name: remover
[18:08:58	]Pierre Blum entered observer.
[18:09:08	]Pierre Blum exited observer at their location.
[18:09:13	]Pierre Blum entered observer.
[18:09:14	]Pierre Blum exited observer at their location.
[18:09:16	]Pierre Blum entered observer.
[18:09:24	]Pierre Blum exited observer at their location.
[18:09:54	]Wenli has unloaded their "Pierre Blum" character.
[18:10:40	]Wenli created the character 'Pap'roch'
[18:10:40	]Wenli loaded the character 'Pap'roch'
[18:10:40	]Pap'roch has gained a 'Karta identyfikacyjna #69787' #6746.
[18:10:40	]Pap'roch has gained a 'Brązowe spodnie dla Vortigaunta' #6747.
[18:10:55	]Pap'roch entered observer.
[18:11:00	]Pap'roch exited observer at their location.
[18:11:00	]Pap'roch entered observer.
[18:11:01	]Pap'roch exited observer at their location.
[18:11:18	]Pap'roch has given himself a vortigaunt_torso_doc.
[18:11:18	]Pap'roch has gained a 'Fartuch Vortigaunta z odznaką' #6748.
[18:11:22	]Pap'roch has given himself a vortigaunt_head_fedora.
[18:11:22	]Pap'roch has gained a 'Fedora dla Vortigaunta' #6749.
[18:11:23	]Pap'roch has given himself a vortigaunt_torso_vest.
[18:11:23	]Pap'roch has gained a 'Pancerz Vortigaunta' #6750.
[18:11:48	]Pap'roch entered observer.
[18:11:53	]Pap'roch exited observer at their location.
[18:12:07	]Pap'roch entered observer.
[18:12:10	]Pap'roch exited observer at their location.
[18:12:23	]Pap'roch has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[18:12:36	]Pap'roch ran 'take' on item 'Racja żywnościowa' (#6751)
[18:12:36	]Pap'roch has gained a 'Racja żywnościowa' #6751.
[18:12:38	]Pap'roch ran 'Open' on item 'Racja żywnościowa' (#6751)
[18:12:38	]Pap'roch has gained a 'Syntetyczna papka' #6752.
[18:12:38	]Pap'roch has gained a 'Woda Breena' #6753.
[18:12:38	]Pap'roch has gained a 'Podstawowy kupon na Kredyty.' #6754.
[18:12:39	]Pap'roch ran 'Consume' on item 'Syntetyczna papka' (#6752)
[18:12:39	]Pap'roch has gained a 'Pusty słoik' #6755.
[18:12:39	]Pap'roch ran 'Consume' on item 'Woda Breena' (#6753)
[18:12:39	]Pap'roch has gained a 'Pusta puszka po wodzie Breen'a' #6756.
[18:12:42	]Pap'roch ran 'Use' on item 'Podstawowy kupon na Kredyty.' (#6754)
[18:12:59	]Wenli has unloaded their "Pap'roch" character.
[18:13:06	]Wenli (STEAM_0:1:86169246) deleted character 'Pap'roch'
[18:13:08	]Wenli loaded the character 'Wenli'
[18:13:13	]Wenli ran 'Equip' on item 'PDA Kombinatu' (#4893)
[18:14:03	]Wenli ran 'SetCredits' on item 'Karta identyfikacyjna #17582' (#5653)
[18:14:58	]Wenli is fully healed.
[18:15:10	]Wenli entered observer.
[18:15:15	]Wenli exited observer at their location.
[18:15:43	]Wenli entered observer.
[18:15:44	]Wenli exited observer at their location.
[18:15:47	]Wenli entered observer.
[18:16:17	]Wenli exited observer at their location.
[18:16:38	]Wenli (STEAM_0:1:86169246) has disconnected.
