[10:41:31	]Deadasf has connected.
[10:48:02	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:48:07	]C24:UNION:i1:Roller-7762 entered observer.
[10:51:16	]Salutem has connected.
[10:53:39	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:53:54	]C24:UNION:i1:Roller-7762 has spawned a armband_purple.
[10:54:06	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: remove
[10:54:24	]C24:UNION:i1:Roller-7762 entered observer.
[10:56:50	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:56:52	]C24:UNION:i1:Roller-7762 entered observer.
[10:56:52	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:57:33	]Salutem loaded the character 'S10/OWS.GHOST-52'
[10:57:38	]S10/OWS.GHOST-52 is fully healed.
[10:57:38	]C24:UNION:i1:Roller-7762 entered observer.
[10:57:44	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:57:54	]C24:UNION:i1:Roller-7762 entered observer.
[10:57:55	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:58:34	]Salutem (STEAM_0:0:78709172) has disconnected.
[10:58:53	]C24:UNION:i1:Roller-7762 has spawned a stunstick.
[10:58:55	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Stunstick' (#927)
[10:58:55	]C24:UNION:i1:Roller-7762 has gained a 'Stunstick' #927.
[10:58:59	]C24:UNION:i1:Roller-7762 ran 'Equip' on item 'Stunstick' (#927)
[10:59:09	]C24:UNION:i1:Roller-7762 entered observer.
[10:59:19	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:59:43	]C24:UNION:i1:Roller-7762 entered observer.
[10:59:44	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:59:45	]C24:UNION:i1:Roller-7762 entered observer.
[10:59:45	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:59:47	]C24:UNION:i1:Roller-7762 entered observer.
[10:59:47	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:59:48	]C24:UNION:i1:Roller-7762 entered observer.
[10:59:49	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:59:56	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:01	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:01	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:04	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:06	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:08	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:10	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:14	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:16	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:20	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:21	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:22	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:33	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:33	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:34	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:34	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:36	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:47	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:48	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:50	]Salutem has connected.
[11:00:51	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:52	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:53	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:00:54	]C24:UNION:i1:Roller-7762 entered observer.
[11:00:59	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:01:00	]C24:UNION:i1:Roller-7762 entered observer.
[11:01:01	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:01:02	]C24:UNION:i1:Roller-7762 entered observer.
[11:01:06	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:02:25	]C24:UNION:i1:Roller-7762 used command '/TextAdd alarm 1'.
[11:02:46	]C24:UNION:i1:Roller-7762 used command '/TextRemove'.
[11:02:50	]C24:UNION:i1:Roller-7762 used command '/TextAdd alarm 1'.
[11:02:55	]C24:UNION:i1:Roller-7762 entered observer.
[11:03:06	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:03:16	]C24:UNION:i1:Roller-7762 used command '/TextAdd alarm 1'.
[11:03:26	]C24:UNION:i1:Roller-7762 used command '/TextRemove'.
[11:03:38	]C24:UNION:i1:Roller-7762 used command '/TextAdd alarm 1'.
[11:03:42	]C24:UNION:i1:Roller-7762 entered observer.
[11:04:14	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:05:28	]C24:UNION:i1:Roller-7762 entered observer.
[11:05:28	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:05:35	]C24:UNION:i1:Roller-7762 entered observer.
[11:05:35	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:06:08	]C24:UNION:i1:Roller-7762 used command '/TextRemove'.
[11:06:13	]C24:UNION:i1:Roller-7762 used command '/TextAdd alarm 1'.
[11:06:39	]C24:UNION:i1:Roller-7762 entered observer.
[11:06:42	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:06:43	]C24:UNION:i1:Roller-7762 entered observer.
[11:06:44	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:06:58	]C24:UNION:i1:Roller-7762 used command '/TextAdd Kapı 1'.
[11:07:06	]C24:UNION:i1:Roller-7762 used command '/TextRemove'.
[11:07:10	]C24:UNION:i1:Roller-7762 used command '/TextAdd Kapı 1'.
[11:07:33	]C24:UNION:i1:Roller-7762 entered observer.
[11:07:36	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:08:07	]C24:UNION:i1:Roller-7762 entered observer.
[11:08:38	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:08:39	]C24:UNION:i1:Roller-7762 entered observer.
[11:08:41	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:08:42	]C24:UNION:i1:Roller-7762 entered observer.
[11:08:45	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:08:46	]C24:UNION:i1:Roller-7762 entered observer.
[11:08:47	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:08:47	]C24:UNION:i1:Roller-7762 entered observer.
[11:08:49	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:09:20	]C24:UNION:i1:Roller-7762 entered observer.
[11:09:25	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:09:26	]C24:UNION:i1:Roller-7762 entered observer.
[11:09:26	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:09:27	]C24:UNION:i1:Roller-7762 entered observer.
[11:09:28	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:09:38	]C24:UNION:i1:Roller-7762 entered observer.
[11:09:42	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:09:43	]C24:UNION:i1:Roller-7762 entered observer.
[11:09:44	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:09:45	]C24:UNION:i1:Roller-7762 entered observer.
[11:09:47	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:09:48	]C24:UNION:i1:Roller-7762 entered observer.
[11:10:12	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:11:12	]C24:UNION:i1:Roller-7762 entered observer.
[11:11:19	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:11:36	]C24:UNION:i1:Roller-7762 entered observer.
[11:11:37	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:11:40	]C24:UNION:i1:Roller-7762 entered observer.
[11:11:41	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:11:43	]C24:UNION:i1:Roller-7762 entered observer.
[11:11:43	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:12:07	]C24:UNION:i1:Roller-7762 entered observer.
[11:12:07	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:12:08	]C24:UNION:i1:Roller-7762 entered observer.
[11:12:09	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:12:10	]C24:UNION:i1:Roller-7762 entered observer.
[11:12:10	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:12:11	]C24:UNION:i1:Roller-7762 entered observer.
[11:12:11	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:12:44	]C24:UNION:i1:Roller-7762 entered observer.
[11:12:44	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:12:45	]C24:UNION:i1:Roller-7762 entered observer.
[11:15:11	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:15:31	]C24:UNION:i1:Roller-7762 entered observer.
[11:15:32	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:15:39	]C24:UNION:i1:Roller-7762 entered observer.
[11:15:40	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:15:42	]C24:UNION:i1:Roller-7762 entered observer.
[11:15:42	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:15:43	]C24:UNION:i1:Roller-7762 entered observer.
[11:15:43	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:15:54	]C24:UNION:i1:Roller-7762 entered observer.
[11:15:55	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:15:59	]C24:UNION:i1:Roller-7762 entered observer.
[11:15:59	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:01	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:02	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:02	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:03	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:03	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:08	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:15	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:19	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:21	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:22	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:23	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:24	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:26	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:26	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:28	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:41	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:42	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:42	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:43	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:45	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:47	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:47	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:55	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:55	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:56	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:57	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:16:58	]C24:UNION:i1:Roller-7762 entered observer.
[11:16:59	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:17:00	]C24:UNION:i1:Roller-7762 entered observer.
[11:17:01	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:17:09	]C24:UNION:i1:Roller-7762 entered observer.
[11:17:12	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:18:12	]C24:UNION:i1:Roller-7762 entered observer.
[11:18:12	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:22:11	]Salutem loaded the character 'Hector Palaiologos'
[11:22:15	]Hector Palaiologos entered observer.
[11:22:22	]Hector Palaiologos exited observer at their location.
[11:22:48	]Hector Palaiologos has spawned a 'Entity [626][acwatt_go_ak_mag_15_545]'.
[11:22:51	]Hector Palaiologos entered observer.
[11:23:01	]Hector Palaiologos exited observer at their location.
[11:23:04	]C24:UNION:i1:Roller-7762 ran SAM command 'goto' with arguments: 'hector'
[11:23:13	]Hector Palaiologos has spawned a 'Entity [626][acwatt_apex_mag_energy1_1]'.
[11:23:30	]Hector Palaiologos has spawned a 'Entity [626][acwatt_go_ak_mag_10]'.
[11:23:32	]Hector Palaiologos has spawned a 'Entity [627][acwatt_go_g3_mag_10]'.
[11:23:33	]Hector Palaiologos has spawned a 'Entity [626][acwatt_go_mac10_mag_16]'.
[11:23:34	]Hector Palaiologos has spawned a 'Entity [627][acwatt_go_fiveseven_mag_30]'.
[11:23:36	]Hector Palaiologos has spawned a 'Entity [626][acwatt_go_mp5_mag_40]'.
[11:23:37	]Hector Palaiologos has spawned a 'Entity [627][acwatt_go_ump_mag_30_9mm]'.
[11:23:39	]Hector Palaiologos has spawned a 'Entity [626][acwatt_go_deagle_mag_9]'.
[11:23:41	]Hector Palaiologos has spawned a 'Entity [627][acwatt_apex_mag_energy1_1]'.
[11:23:42	]Hector Palaiologos has spawned a 'Entity [626][acwatt_apex_mag_light1_3]'.
[11:23:43	]Hector Palaiologos has spawned a 'Entity [627][acwatt_apex_mag_energy1_3]'.
[11:23:46	]Hector Palaiologos has spawned a 'Entity [626][arccw_ammo_357_large]'.
[11:23:47	]Hector Palaiologos has spawned a 'Entity [626][arccw_ammo_357_large]'.
[11:24:04	]Hector Palaiologos has spawned a 'Entity [626][acwatt_go_negev_barrel_short]'.
[11:24:13	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [626][ix_ammunitioncontainer]'.
[11:24:20	]Hector Palaiologos entered observer.
[11:24:21	]Hector Palaiologos exited observer at their location.
[11:24:26	]Hector Palaiologos entered observer.
[11:24:29	]Hector Palaiologos exited observer at their location.
[11:24:52	]Hector Palaiologos has spawned a go_laser.
[11:24:54	]Hector Palaiologos has spawned a apex_sight_1_r301.
[11:24:56	]Hector Palaiologos has spawned a go_mp5_barrel_short.
[11:24:56	]Hector Palaiologos has spawned a go_p250_slide_long.
[11:24:58	]Hector Palaiologos entered observer.
[11:25:03	]Hector Palaiologos exited observer at their location.
[11:25:03	]Hector Palaiologos entered observer.
[11:25:03	]C24:UNION:i1:Roller-7762 has spawned a audiobook_1Danish.
[11:25:04	]Hector Palaiologos exited observer at their location.
[11:25:05	]C24:UNION:i1:Roller-7762 ran 'Listen' on item 'Learn Danish - Chapter 1 - An Audiobook' (#933)
[11:25:31	]Hector Palaiologos has spawned a container_scrate_dummy.
[11:25:35	]Hector Palaiologos has used a context menu option with the name: remove
[11:25:42	]Hector Palaiologos has spawned a 'Entity [630][ix_advancedcontainer]'.
[11:25:50	]Hector Palaiologos has spawned a 'Entity [630][ix_basiccontainer]'.
[11:25:54	]Hector Palaiologos entered observer.
[11:25:56	]Hector Palaiologos exited observer at their location.
[11:25:57	]Hector Palaiologos has spawned a 'Entity [630][ix_basiccontainer]'.
[11:26:00	]Hector Palaiologos entered observer.
[11:26:00	]Hector Palaiologos has spawned a 'Entity [630][ix_basiccontainer]'.
[11:26:02	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [736][ix_ammunitioncontainer]'.
[11:26:08	]Hector Palaiologos exited observer at their location.
[11:26:08	]Hector Palaiologos entered observer.
[11:26:10	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [736][ix_ammunitioncontainer]'.
[11:26:19	][IC] Hector Palaiologos: 17rnd usp-magazine.
[11:26:22	]Hector Palaiologos exited observer at their location.
[11:26:23	]Hector Palaiologos entered observer.
[11:26:26	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [637][ix_ammunitioncontainer]'.
[11:26:28	]C24:UNION:i1:Roller-7762 entered observer.
[11:26:32	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:26:40	]Hector Palaiologos exited observer at their location.
[11:26:43	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [637][ix_ammunitioncontainer]'.
[11:26:44	]Hector Palaiologos has spawned a 'Entity [645][ix_advancedcontainer]'.
[11:26:47	]Hector Palaiologos has spawned a 'Entity [645][ix_ammunitioncontainer]'.
[11:26:49	]Hector Palaiologos entered observer.
[11:27:00	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [630][ix_cmbcontainer]'.
[11:27:09	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: rb655_dissolve
[11:27:14	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [630][ix_supplycontainer]'.
[11:27:27	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [630][ix_militarycontainer]'.
[11:27:32	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: rb655_dissolve
[11:27:37	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [630][ix_advancedcontainer]'.
[11:27:53	]Hector Palaiologos exited observer at their location.
[11:27:53	]Hector Palaiologos entered observer.
[11:28:02	]Hector Palaiologos exited observer at their location.
[11:28:07	]Hector Palaiologos entered observer.
[11:28:17	]C24:UNION:i1:Roller-7762 destroyed a '1mW Laser' #929.
[11:28:18	]C24:UNION:i1:Roller-7762 destroyed a '1x HCOG (Classic)' #930.
[11:28:19	]C24:UNION:i1:Roller-7762 destroyed a '150mm Kurz Barrel' #931.
[11:28:20	]C24:UNION:i1:Roller-7762 destroyed a '140mm Full Size Slide' #932.
[11:28:21	]Hector Palaiologos exited observer at their location.
[11:28:27	]Hector Palaiologos has used a context menu option with the name: remove
[11:28:33	]Hector Palaiologos entered observer.
[11:28:33	]Hector Palaiologos exited observer at their location.
[11:28:59	]C24:UNION:i1:Roller-7762 has spawned a rappel_gear.
[11:29:00	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Rappel Gear' (#946)
[11:29:00	]C24:UNION:i1:Roller-7762 has gained a 'Rappel Gear' #946.
[11:29:06	]C24:UNION:i1:Roller-7762 ran 'Equip' on item 'Rappel Gear' (#946)
[11:29:24	]C24:UNION:i1:Roller-7762 has spawned a mp7a1.
[11:29:28	]C24:UNION:i1:Roller-7762 ran 'take' on item 'MP7A1' (#947)
[11:29:28	]C24:UNION:i1:Roller-7762 has gained a 'MP7A1' #947.
[11:29:30	]C24:UNION:i1:Roller-7762 ran 'Equip' on item 'MP7A1' (#947)
[11:30:15	]C24:UNION:i1:Roller-7762 ran 'EquipUn' on item 'MP7A1' (#947)
[11:30:16	]C24:UNION:i1:Roller-7762 ran 'drop' on item 'MP7A1' (#947)
[11:30:16	]C24:UNION:i1:Roller-7762 has lost a 'MP7A1' #947.
[11:30:21	]C24:UNION:i1:Roller-7762 destroyed a 'MP7A1' #947.
[11:30:52	]C24:UNION:i1:Roller-7762 has spawned a flashlight.
[11:30:56	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Flashlight' (#948)
[11:30:56	]C24:UNION:i1:Roller-7762 has gained a 'Flashlight' #948.
[11:31:02	]C24:UNION:i1:Roller-7762 has spawned a zippolighter.
[11:31:09	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: remove
[11:32:07	]Salutem (STEAM_0:0:78709172) has disconnected.
[11:33:23	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [617][ix_customvendingmachine]'.
[11:33:41	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: remove
[11:33:43	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: remove
[11:33:45	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: remove
[11:33:50	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [617][ix_customvendingmachine]'.
[11:33:56	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: remove
[11:33:58	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: rb655_dissolve
[11:33:59	]C24:UNION:i1:Roller-7762 has used a context menu option with the name: rb655_dissolve
[11:34:00	]env_entity_dissolver destroyed a 'Vending Machine Key' #953.
[11:34:01	]env_entity_dissolver destroyed a 'Vending Machine Key' #955.
[11:34:47	]C24:UNION:i1:Roller-7762 entered observer.
[11:35:43	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:37:23	]C24:UNION:i1:Roller-7762 entered observer.
[11:37:32	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:38:15	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence03a.mdl'.
[11:38:26	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence01a.mdl'.
[11:38:56	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence03a.mdl'.
[11:39:16	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence01a.mdl'.
[11:39:21	]Salutem has connected.
[11:39:49	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence01a.mdl'.
[11:39:59	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence01a.mdl'.
[11:40:15	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence01a.mdl'.
[11:40:27	]C24:UNION:i1:Roller-7762 has spawned 'models/props_c17/fence01a.mdl'.
[11:41:34	]Salutem loaded the character 'Hector Palaiologos'
[11:41:37	]C24:UNION:i1:Roller-7762 entered observer.
[11:41:38	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:41:39	]Hector Palaiologos entered observer.
[11:41:43	]C24:UNION:i1:Roller-7762 entered observer.
[11:41:52	]C24:UNION:i1:Roller-7762 exited observer at their location.
[11:41:54	]Hector Palaiologos exited observer at their location.
[11:41:55	]C24:UNION:i1:Roller-7762 has spawned a 'Entity [639][ix_customvendingmachine]'.
[11:42:00	]Hector Palaiologos entered observer.
[11:42:01	]Hector Palaiologos exited observer at their location.
[11:42:01	]Hector Palaiologos entered observer.
[11:42:01	]Hector Palaiologos exited observer at their location.
[11:42:02	]Hector Palaiologos entered observer.
[11:42:03	]Hector Palaiologos exited observer at their location.
[11:42:03	]Hector Palaiologos entered observer.
[11:42:04	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Vending Machine Key' (#957)
[11:42:04	]C24:UNION:i1:Roller-7762 has gained a 'Vending Machine Key' #957.
[11:42:04	]Hector Palaiologos exited observer at their location.
[11:42:09	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:42:15	]Hector Palaiologos ran 'take' on item '9mm Pistol Bullets' (#959)
[11:42:15	]Hector Palaiologos has gained a '9mm Pistol Bullets' #959.
[11:42:16	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:42:22	]Hector Palaiologos ran 'take' on item '9mm Pistol Bullets' (#960)
[11:42:22	]Hector Palaiologos has gained a '9mm Pistol Bullets' #960.
[11:42:23	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:42:26	]C24:UNION:i1:Roller-7762 ran 'Insert' on item 'Vending Machine Key' (#957)
[11:42:27	]Hector Palaiologos ran 'take' on item '6rnd Popper-magazine' (#961)
[11:42:27	]Hector Palaiologos has gained a '6rnd Popper-magazine' #961.
[11:42:28	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:42:32	]Hector Palaiologos ran 'take' on item '6rnd Popper-magazine' (#962)
[11:42:32	]Hector Palaiologos has gained a '6rnd Popper-magazine' #962.
[11:42:33	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:42:37	]Hector Palaiologos ran 'take' on item '15rnd Tikhar-magazine' (#963)
[11:42:37	]Hector Palaiologos has gained a '15rnd Tikhar-magazine' #963.
[11:42:38	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:42:46	]Hector Palaiologos ran 'take' on item '9mm Pistol Bullets' (#964)
[11:42:46	]Hector Palaiologos has gained a '9mm Pistol Bullets' #964.
[11:42:47	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:42:52	]Hector Palaiologos ran 'take' on item '15rnd Tikhar-magazine' (#965)
[11:42:52	]Hector Palaiologos has gained a '15rnd Tikhar-magazine' #965.
[11:42:53	]Hector Palaiologos has spawned a 'Entity [617][ix_ammunitioncontainer]'.
[11:43:14	]Hector Palaiologos ran 'take' on item '30rnd MP-magazine' (#967)
[11:43:14	]Hector Palaiologos has gained a '30rnd MP-magazine' #967.
[11:43:16	]Hector Palaiologos ran 'take' on item 'Buckshot Shotgun Shells' (#968)
[11:43:16	]Hector Palaiologos has gained a 'Buckshot Shotgun Shells' #968.
[11:43:17	]Hector Palaiologos ran 'take' on item '17rnd Usp-magazine' (#966)
[11:43:17	]Hector Palaiologos has gained a '17rnd Usp-magazine' #966.
[11:43:19	]Hector Palaiologos entered observer.
[11:43:23	]C24:UNION:i1:Roller-7762 has spawned a ciggie_goodfella.
[11:43:24	]C24:UNION:i1:Roller-7762 has spawned a ciggie_goodfella.
[11:43:24	]C24:UNION:i1:Roller-7762 has spawned a ciggie_goodfella.
[11:43:26	]C24:UNION:i1:Roller-7762 ran 'take' on item 'Goodfella Cigars' (#978)
[11:43:26	]C24:UNION:i1:Roller-7762 has gained a 'Goodfella Cigars' #978.
[11:43:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #980.
[11:43:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #986.
[11:43:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #984.
[11:43:26	]C24:UNION:i1:Roller-7762 has gained a 'Cigarette' #982.
