[15:19:52	]Oktawiangr has connected.
[15:38:26	]Richard Levittoux has used a context menu option with the name: bone_manipulate
[15:38:27	]Lt. Anastasiy Jegorowich entered observer.
[15:38:28	]Richard Levittoux has used a context menu option with the name: bone_manipulate_end
[15:38:29	]Richard Levittoux has used a context menu option with the name: vendor_edit
[15:38:35	]Recik exited observer at their location.
[15:38:44	]Richard Levittoux entered observer.
[15:38:46	]Richard Levittoux exited observer at their location.
[15:38:48	]Recik entered observer.
[15:39:10	]Richard Levittoux has spawned 'models/Items/ammocrate_smg1.mdl'.
[15:39:10	]Chogacz loaded the character 'C24:RL.JURY-1'
[15:39:14	]C24:RL.JURY-1 entered observer.
[15:39:19	]Richard Levittoux has spawned 'models/Items/ammocrate_smg1.mdl'.
[15:39:21	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:39:22	]C24:RL.JURY-1 exited observer.
[15:39:23	]Lt. Anastasiy Jegorowich entered observer.
[15:39:27	]Chogacz has unloaded their "C24:RL.JURY-1" character.
[15:39:30	]Richard Levittoux has spawned 'models/Items/ammoCrate_Rockets.mdl'.
[15:39:37	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:39:37	]Richard Levittoux has spawned 'models/Items/ammocrate_ar2.mdl'.
[15:39:40	]Lt. Anastasiy Jegorowich entered observer.
[15:39:41	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:39:48	]Recik exited observer at their location.
[15:39:49	]Lt. Anastasiy Jegorowich entered observer.
[15:39:58	]Recik entered observer.
[15:39:59	]Recik exited observer at their location.
[15:40:05	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:40:08	]Recik has spawned 'models/props_interiors/Furniture_shelf01a.mdl'.
[15:40:12	]Recik has spawned 'models/props_c17/shelfunit01a.mdl'.
[15:40:14	]Recik has spawned 'models/props_c17/shelfunit01a.mdl'.
[15:40:23	]Chogacz created the character 'S10/OWS.GHOST-83'
[15:40:23	]Chogacz has gained level 40 in the Broń palna skill.
[15:40:23	]Chogacz has gained level 40 in the Prędkość skill.
[15:40:23	]Chogacz loaded the character 'S10/OWS.GHOST-83'
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Mała torba' #6803.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Duża torba' #6804.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Latarka' #6805.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'PDA Kombinatu' #6806.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Uniform OTA' #6807.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Maska OTA' #6808.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Sprzęt zjazdowy' #6809.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Ładownica na magazynki' #6810.
[15:40:23	]S10/OWS.GHOST-83 has gained a 'Ładownica na amunicję' #6811.
[15:40:32	]Recik has spawned 'models/props_junk/wood_crate001a.mdl'.
[15:40:32	]Richard Levittoux has spawned 'models/Items/item_item_crate.mdl'.
[15:40:34	]S10/OWS.GHOST-83 ran SAM command 'menu' with arguments: ''
[15:40:35	]Recik has spawned 'models/props_junk/wood_crate001a.mdl'.
[15:40:36	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/plaster_wall001a.mdl'.
[15:40:37	]Richard Levittoux has spawned 'models/Items/grenadeAmmo.mdl'.
[15:40:37	]Recik has spawned 'models/props_junk/wood_crate001a.mdl'.
[15:40:38	]Richard Levittoux has spawned 'models/Items/grenadeAmmo.mdl'.
[15:40:40	]S10/OWS.GHOST-83 ran SAM command 'goto' with arguments: '#1'
[15:40:41	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/concrete_debris256pile001a.mdl'.
[15:40:41	]Richard Levittoux has spawned 'models/Items/grenadeAmmo.mdl'.
[15:40:49	]Recik has spawned 'models/props_junk/wood_crate002a.mdl'.
[15:40:54	]Recik has spawned 'models/props_junk/wood_crate001a.mdl'.
[15:40:59	]Recik has spawned 'models/props_junk/wood_crate001a.mdl'.
[15:41:00	]S10/OWS.GHOST-83 has given himself a uniform_ocs.
[15:41:00	]S10/OWS.GHOST-83 has gained a 'Uniform OTA - Containment' #6812.
[15:41:01	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/barricade_tall02a.mdl'.
[15:41:02	]Richard Levittoux entered observer.
[15:41:04	]Richard Levittoux exited observer at their location.
[15:41:04	]Recik created a 'Skrzynia' container.
[15:41:04	]Recik has used a context menu option with the name: wncontainer_create
[15:41:07	]Recik created a 'Duża skrzynia' container.
[15:41:07	]Recik has used a context menu option with the name: wncontainer_create
[15:41:08	]Recik created a 'Skrzynia' container.
[15:41:08	]Recik has used a context menu option with the name: wncontainer_create
[15:41:11	]Recik created a 'Skrzynia' container.
[15:41:11	]Recik has used a context menu option with the name: wncontainer_create
[15:41:12	]Recik created a 'Skrzynia' container.
[15:41:12	]Recik has used a context menu option with the name: wncontainer_create
[15:41:13	]Recik created a 'Skrzynia' container.
[15:41:13	]Recik has used a context menu option with the name: wncontainer_create
[15:41:15	]S10/OWS.GHOST-83 has given himself a uniform_ord.
[15:41:15	]S10/OWS.GHOST-83 has gained a 'Uniform OTA - Ordinal' #6813.
[15:41:17	]S10/OWS.GHOST-83 has given himself a uniform_owg.
[15:41:17	]S10/OWS.GHOST-83 has gained a 'Uniform OTA - Shotgunner' #6814.
[15:41:18	]S10/OWS.GHOST-83 has given himself a uniform_valkyrie.
[15:41:18	]S10/OWS.GHOST-83 has gained a 'Uniform OTA - Valkyrie' #6815.
[15:41:19	]S10/OWS.GHOST-83 has given himself a uniform_suppressor.
[15:41:19	]S10/OWS.GHOST-83 has gained a 'Uniform OTA - Suppressor' #6816.
[15:41:23	]Richard Levittoux entered observer.
[15:41:26	]Richard Levittoux exited observer at their location.
[15:41:27	]Richard Levittoux entered observer.
[15:41:29	]Richard Levittoux exited observer at their location.
[15:41:44	]Recik has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[15:41:52	]S10/OWS.GHOST-83 has given himself a uniform_s24.
[15:41:52	]S10/OWS.GHOST-83 has gained a 'Uniform Summit 24 Elite' #6817.
[15:42:03	]Recik has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[15:42:04	]S10/OWS.GHOST-83 has given himself a uniform_owc.
[15:42:04	]S10/OWS.GHOST-83 has gained a 'Uniform Dowódcy Oddziału OTA' #6818.
[15:42:13	]Recik has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[15:42:41	]S10/OWS.GHOST-83 has changed S10/OWS.GHOST-83's bodygroups.
[15:42:57	]S10/OWS.GHOST-83 has changed S10/OWS.GHOST-83's bodygroups.
[15:43:03	]Lt. Anastasiy Jegorowich entered observer.
[15:43:04	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:43:07	]Richard Levittoux entered observer.
[15:43:08	]Richard Levittoux exited observer at their location.
[15:43:10	]Recik has spawned 'models/willardnetworks/skills/explosive_material.mdl'.
[15:43:13	]Richard Levittoux entered observer.
[15:43:13	]S10/OWS.GHOST-83 has given himself a uniform_charger.
[15:43:13	]S10/OWS.GHOST-83 has gained a 'Uniform OTA - Charger' #6819.
[15:43:14	]Richard Levittoux exited observer at their location.
[15:43:17	]Lt. Anastasiy Jegorowich has used a context menu option with the name: rb655_door_open
[15:43:20	]Recik has spawned 'models/wn7new/advcrates/n7_locker.mdl'.
[15:43:22	]Lt. Anastasiy Jegorowich entered observer.
[15:43:23	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:43:29	]Lt. Anastasiy Jegorowich has used a context menu option with the name: rb655_door_open
[15:43:30	]Recik has spawned 'models/wn7new/advcrates/n7_drawer.mdl'.
[15:43:32	]Lt. Anastasiy Jegorowich has used a context menu option with the name: door_lockunlock
[15:43:32	]Recik has spawned 'models/wn7new/advcrates/n7_locker.mdl'.
[15:43:38	]Recik has spawned 'models/wn7new/advcrates/n7_locker.mdl'.
[15:43:41	]Lt. Anastasiy Jegorowich has used a context menu option with the name: door_lockunlock
[15:43:44	]Lt. Anastasiy Jegorowich has used a context menu option with the name: rb655_door_open
[15:43:48	]Recik entered observer.
[15:43:59	]Lt. Anastasiy Jegorowich used command '/CharGiveItem lt karta'.
[15:43:59	]Lt. Anastasiy Jegorowich has gained a 'Karta dostępu do skrzyni CMB' #6820.
[15:44:00	]Recik has spawned 'models/props_forest/bunkbed.mdl'.
[15:44:03	]Lt. Anastasiy Jegorowich entered observer.
[15:44:04	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:44:08	]Recik has spawned 'models/props_forest/bunkbed.mdl'.
[15:44:14	]S10/OWS.GHOST-83 has given himself a uniform_ocs.
[15:44:14	]S10/OWS.GHOST-83 has gained a 'Uniform OTA - Containment' #6821.
[15:44:17	]Recik has spawned 'models/props_forest/bunkbed.mdl'.
[15:44:20	]Lt. Anastasiy Jegorowich entered observer.
[15:44:20	]Recik exited observer at their location.
[15:44:21	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:44:23	]Recik has spawned 'models/props_forest/bunkbed2.mdl'.
[15:44:39	]S10/OWS.GHOST-83 has changed S10/OWS.GHOST-83's bodygroups.
[15:44:41	]Recik has spawned 'models/props_forest/bunkbed2.mdl'.
[15:44:52	]Recik has used a context menu option with the name: collision_off
[15:45:01	]Recik has used a context menu option with the name: collision_on
[15:45:01	]Lt. Anastasiy Jegorowich entered observer.
[15:45:04	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:45:05	]Chogacz has unloaded their "S10/OWS.GHOST-83" character.
[15:45:05	]Lt. Anastasiy Jegorowich entered observer.
[15:45:07	]Richard Levittoux entered observer.
[15:45:08	]Recik has spawned 'models/props_forest/bunkbed2.mdl'.
[15:45:08	]Chogacz loaded the character 'C24:RL.JURY-1'
[15:45:09	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:45:14	]C24:RL.JURY-1 ran SAM command 'goto' with arguments: 'LT'
[15:45:16	]Richard Levittoux exited observer at their location.
[15:45:17	]Richard Levittoux entered observer.
[15:45:17	]Richard Levittoux exited observer at their location.
[15:45:18	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/barricade_tall02a.mdl'.
[15:45:22	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[15:45:23	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[15:45:29	]Recik has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[15:45:29	]C24:RL.JURY-1 has changed C24:RL.JURY-1's bodygroups.
[15:45:31	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[15:45:31	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_debris/barricade_tall02a.mdl'.
[15:45:32	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[15:45:32	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_debris/concrete_debris256pile001a.mdl'.
[15:45:35	]Recik has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[15:45:39	]Recik has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[15:45:47	]Lt. Anastasiy Jegorowich entered observer.
[15:45:50	]Recik has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[15:45:53	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:46:11	]Lt. Anastasiy Jegorowich entered observer.
[15:46:13	]C24:RL.JURY-1 has changed C24:RL.JURY-1's bodygroups.
[15:46:24	]Recik has spawned a artificial_meatpaste.
[15:46:26	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:46:26	]Lt. Anastasiy Jegorowich entered observer.
[15:46:27	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:46:28	]Recik has spawned a artificial_cheesepaste.
[15:46:36	]Richard Levittoux entered observer.
[15:46:36	]Richard Levittoux exited observer at their location.
[15:46:37	]Richard Levittoux entered observer.
[15:46:38	]Recik has spawned a waterbottle.
[15:46:39	]Richard Levittoux exited observer at their location.
[15:46:41	]Chogacz has unloaded their "C24:RL.JURY-1" character.
[15:46:41	]Lt. Anastasiy Jegorowich entered observer.
[15:46:48	]Richard Levittoux entered observer.
[15:46:57	]Recik has spawned a drink_tea.
[15:47:04	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:47:06	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/concrete_debris128pile001a.mdl'.
[15:47:08	]Recik has enabled persistence for 'models/props_forest/bunkbed2.mdl'.
[15:47:08	]Recik has used a context menu option with the name: persist
[15:47:09	]Recik has enabled persistence for 'models/props_forest/bunkbed.mdl'.
[15:47:09	]Recik has used a context menu option with the name: persist
[15:47:11	]Recik has enabled persistence for 'models/props_forest/bunkbed2.mdl'.
[15:47:11	]Recik has used a context menu option with the name: persist
[15:47:11	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/barricade_tall02a.mdl'.
[15:47:12	]Recik has enabled persistence for 'models/props_forest/bunkbed.mdl'.
[15:47:12	]Recik has used a context menu option with the name: persist
[15:47:13	]Recik has enabled persistence for 'models/props_forest/bunkbed2.mdl'.
[15:47:13	]Recik has used a context menu option with the name: persist
[15:47:14	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/barricade_tall03a.mdl'.
[15:47:14	]Recik has enabled persistence for 'models/props_forest/bunkbed.mdl'.
[15:47:14	]Recik has used a context menu option with the name: persist
[15:47:17	]Recik has enabled persistence for 'models/willardnetworks/skills/explosive_material.mdl'.
[15:47:17	]Recik has used a context menu option with the name: persist
[15:47:18	]Recik has enabled persistence for 'models/props_c17/furnituretable002a.mdl'.
[15:47:18	]Recik has used a context menu option with the name: persist
[15:47:19	]Recik has enabled persistence for 'models/props_c17/furniturechair001a.mdl'.
[15:47:19	]Recik has used a context menu option with the name: persist
[15:47:19	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[15:47:19	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[15:47:19	]Recik has enabled persistence for 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[15:47:19	]Recik has used a context menu option with the name: persist
[15:47:20	]Richard Levittoux exited observer at their location.
[15:47:21	]Recik has enabled persistence for 'models/props_c17/furnituretable002a.mdl'.
[15:47:21	]Recik has used a context menu option with the name: persist
[15:47:22	]Richard Levittoux entered observer.
[15:47:22	]Recik has enabled persistence for 'models/props_c17/furniturechair001a.mdl'.
[15:47:22	]Recik has used a context menu option with the name: persist
[15:47:24	]Recik has enabled persistence for 'models/props_c17/furniturechair001a.mdl'.
[15:47:24	]Recik has used a context menu option with the name: persist
[15:47:24	]Recik has enabled persistence for 'models/props_c17/furniturechair001a.mdl'.
[15:47:24	]Recik has used a context menu option with the name: persist
[15:47:28	]Richard Levittoux exited observer at their location.
[15:47:30	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/barricade_tall04a.mdl'.
[15:47:32	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/barricade_short04a.mdl'.
[15:47:35	]Recik has enabled persistence for 'models/wn7new/advcrates/n7_locker.mdl'.
[15:47:35	]Recik has used a context menu option with the name: persist
[15:47:36	]Recik has enabled persistence for 'models/wn7new/advcrates/n7_locker.mdl'.
[15:47:36	]Recik has used a context menu option with the name: persist
[15:47:36	]Recik has enabled persistence for 'models/wn7new/advcrates/n7_locker.mdl'.
[15:47:36	]Recik has used a context menu option with the name: persist
[15:47:37	]Chogacz created the character 'LT CHUJ DUPKA CIPKA'
[15:47:37	]Chogacz has gained level 30 in the Broń palna skill.
[15:47:37	]Chogacz has gained level 30 in the Prędkość skill.
[15:47:37	]Chogacz loaded the character 'LT CHUJ DUPKA CIPKA'
[15:47:38	]LT CHUJ DUPKA CIPKA has gained a 'Karta identyfikacyjna #73955' #6826.
[15:47:38	]LT CHUJ DUPKA CIPKA has gained a 'Latarka' #6827.
[15:47:38	]LT CHUJ DUPKA CIPKA has gained a 'Mała torba' #6828.
[15:47:38	]LT CHUJ DUPKA CIPKA has gained a 'Duża torba' #6829.
[15:47:38	]LT CHUJ DUPKA CIPKA has gained a 'Krótkofalówka' #6830.
[15:47:43	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/barricade_short01a.mdl'.
[15:47:45	]LT CHUJ DUPKA CIPKA ran SAM command 'goto' with arguments: 'Lt.'
[15:47:45	]Recik entered observer.
[15:47:51	]Lt. Anastasiy Jegorowich has spawned 'models/props_debris/plaster_ceilingpile001a.mdl'.
[15:47:52	]Eustachy Motyka has connected.
[15:47:56	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[15:47:56	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: nocollide
[15:47:57	]Recik exited observer at their location.
[15:48:07	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[15:48:07	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_debris/plaster_ceilingpile001a.mdl'.
[15:48:07	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[15:48:07	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_debris/barricade_short04a.mdl'.
[15:48:09	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[15:48:09	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_debris/concrete_debris128pile001a.mdl'.
[15:48:09	]Lt. Anastasiy Jegorowich has fired a toolgun with the name: sh_persist
[15:48:09	]Lt. Anastasiy Jegorowich has enabled persistence for 'models/props_debris/barricade_tall03a.mdl'.
[15:48:33	]Richard Levittoux entered observer.
[15:48:36	]Richard Levittoux exited observer at their location.
[15:48:42	]Lt. Anastasiy Jegorowich has spawned a 'Entity [2543][ix_vendor]'.
[15:48:42	]Recik has spawned 'models/rocks/wallpipes128.mdl'.
[15:48:44	]Lt. Anastasiy Jegorowich has used a context menu option with the name: vendor_edit
[15:48:50	]Recik has spawned 'models/rocks/wallpipes64.mdl'.
[15:49:02	]Lt. Anastasiy Jegorowich used the 'John Doe' vendor.
[15:49:04	]Lt. Anastasiy Jegorowich has gained 0 zetony.
[15:49:04	]Lt. Anastasiy Jegorowich has gained a 'Karta dostępu Kombinatu' #6831.
[15:49:05	]LT CHUJ DUPKA CIPKA has changed LT CHUJ DUPKA CIPKA's bodygroups.
[15:49:10	]Lt. Anastasiy Jegorowich has used a context menu option with the name: remove
[15:49:20	]Recik has enabled persistence for 'models/rocks/wallpipes128.mdl'.
[15:49:20	]Recik has used a context menu option with the name: persist
[15:49:20	]Eustachy Motyka (STEAM_0:1:87353214) deleted character 'Joshua Yahalom'
[15:49:20	]Recik has enabled persistence for 'models/rocks/wallpipes64.mdl'.
[15:49:20	]Recik has used a context menu option with the name: persist
[15:49:21	]SGT. Richard Levittoux used command '/CharSetName richard SGT. Richard Levittoux'.
[15:49:22	]Eustachy Motyka (STEAM_0:1:87353214) deleted character 'Melech Paliwoda'
[15:49:23	]LT CHUJ DUPKA CIPKA used command '/Doorkick'.
[15:49:24	]Eustachy Motyka loaded the character 'Eustachy Motyka'
[15:49:28	]Recik has spawned 'models/dogvsstrider/rockslide.mdl'.
[15:49:33	]Sgt. Richard Levittoux used command '/CharSetName SGT Sgt. Richard Levittoux'.
[15:49:35	]LT CHUJ DUPKA CIPKA used command '/Doorkick'.
[15:49:36	]Recik has spawned 'models/props_c17/canister_propane01a.mdl'.
[15:49:36	]Lt. Anastasiy Jegorowich has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[15:49:39	]Eustachy Motyka entered observer.
[15:49:44	]Recik has spawned 'models/props_c17/canister02a.mdl'.
[15:49:45	][OOC] Eustachy Motyka: sex z pedałami
[15:49:47	][IC] Sgt. Richard Levittoux: Prosecute malcompliant.
[15:49:50	]LT CHUJ DUPKA CIPKA used command '/Doorkick'.
[15:49:50	]Sgt. Richard Levittoux entered observer.
[15:49:51	]Lt. Anastasiy Jegorowich has used a context menu option with the name: remove
[15:49:51	]Sgt. Richard Levittoux exited observer at their location.
[15:49:53	]Lt. Anastasiy Jegorowich has used a context menu option with the name: remove
[15:49:54	]Recik has spawned 'models/props_c17/canister02a.mdl'.
[15:50:00	]Recik has spawned 'models/props_c17/canister01a.mdl'.
[15:50:03	]Lt. Anastasiy Jegorowich has used a context menu option with the name: remove
[15:50:04	]Recik has enabled persistence for 'models/props_c17/canister02a.mdl'.
[15:50:04	]Recik has used a context menu option with the name: persist
[15:50:04	]Recik has enabled persistence for 'models/props_c17/canister01a.mdl'.
[15:50:04	]Recik has used a context menu option with the name: persist
[15:50:05	]Recik has enabled persistence for 'models/props_c17/canister02a.mdl'.
[15:50:05	]Recik has used a context menu option with the name: persist
[15:50:06	]Recik has enabled persistence for 'models/props_c17/canister_propane01a.mdl'.
[15:50:06	]Recik has used a context menu option with the name: persist
[15:50:14	]Lt. Anastasiy Jegorowich has used a context menu option with the name: remove
[15:50:15	]Eustachy Motyka exited observer at their location.
[15:50:16	]Lt. Anastasiy Jegorowich entered observer.
[15:50:18	]Sgt. Richard Levittoux used command '/CharEditBodygroup sgt'.
[15:50:20	]Eustachy Motyka has unloaded their "Eustachy Motyka" character.
