[16:53:08	]Coloss s'est connecté.
[17:05:33	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:34	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:34	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:34	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:35	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:43	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:43	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:44	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:44	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:51	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:51	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:51	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:51	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:52	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:52	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:53	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:53	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:53	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:53	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:54	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:54	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:54	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:54	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:55	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:55	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:55	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:56	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:56	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:06:00	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:00	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:01	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:01	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:01	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:01	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:02	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:02	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:03	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:03	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:04	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:04	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:05	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:05	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:06	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:06	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:07	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:07	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:08	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:08	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:09	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:09	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:10	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:10	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:11	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:11	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:12	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:12	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:13	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:13	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:14	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:14	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:16	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:16	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:16	]C13/Disp.AI-07 a activé persistance pour 'models/props_lab/blastdoor001c.mdl'.
[17:06:16	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:06:19	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:20	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:20	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:20	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:21	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:21	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:21	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:22	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:22	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:22	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:23	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:23	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:23	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:23	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:24	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:24	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:24	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:25	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:25	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:26	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:06:27	]C13/Disp.AI-07 a activé le mode observateur.
[17:06:53	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:06:54	]Garet a activé le mode observateur.
[17:06:56	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:06:58	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:02	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:05	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:10	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:12	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:15	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:17	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:18	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:18	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:19	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:22	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:24	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:26	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:27	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:07:35	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:07:41	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:42	]C13/Disp.AI-07 a activé le mode observateur.
[17:07:43	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:07:45	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:46	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:47	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:48	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:49	]C13/Disp.AI-07 a activé le mode observateur.
[17:07:50	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:07:52	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:53	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:53	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:07:54	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:54	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:55	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:56	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:07:56	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:56	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:57	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:07:58	]C13/Disp.AI-07 a activé le mode observateur.
[17:07:59	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:08:01	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:02	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:02	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:08:02	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:03	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:04	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:04	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:05	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:08:05	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:06	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd citizen'.
[17:08:06	]C13/Disp.AI-07 a activé le mode observateur.
[17:08:11	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:08:14	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd cp'.
[17:08:15	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd cp'.
[17:08:16	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd cp'.
[17:08:16	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd cp'.
[17:08:17	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd cp'.
[17:08:18	]C13/Disp.AI-07 a activé le mode observateur.
[17:08:26	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:08:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:08:29	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:08:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:09	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:09:10	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:13	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:13	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:13	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd utc'.
[17:09:14	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:14	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:15	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd cwu'.
[17:09:17	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:17	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:18	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:18	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd union'.
[17:09:19	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:22	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:22	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd union'.
[17:09:22	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:23	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:24	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd union tr'.
[17:09:25	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:25	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:26	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd union des'.
[17:09:26	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:26	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:27	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:28	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:29	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:29	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd union tr'.
[17:09:30	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:30	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:31	]C13/Disp.AI-07 a activé le mode observateur.
[17:09:31	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:31	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:33	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:09:34	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:35	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:37	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd work'.
[17:09:37	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:37	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:38	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:38	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd work'.
[17:09:38	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:39	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd work'.
[17:09:40	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:40	]C13/Disp.AI-07 a utilisé la commande '/SpawnAdd work'.
[17:09:40	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:40	]C13/Disp.AI-07 a activé le mode observateur.
[17:09:40	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:43	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:44	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:44	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:45	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:45	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:46	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:46	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:47	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:48	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:49	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:49	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:51	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:51	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:52	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:52	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:53	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:53	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:54	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:09:55	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:09:55	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:10:21	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:10:24	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:10:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:10:27	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:10:27	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:10:28	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:10:28	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:10:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:10:35	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:35	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : wncontainer_view
[17:10:37	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:39	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:39	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : wncontainer_view
[17:10:40	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:42	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:42	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : wncontainer_view
[17:10:42	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:10:44	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:10:44	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:46	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:46	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : wncontainer_view
[17:10:49	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:51	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:51	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : wncontainer_view
[17:10:53	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:54	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:54	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : wncontainer_view
[17:10:57	]C13/Disp.AI-07 a effectué une recherche admin 'Grosse caisse en bois'.
[17:10:59	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : clientprop
[17:11:02	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : clientprop
[17:11:06	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:11:09	]Capitaine Alexandre Lambert a activé le mode observateur.
