[06:59:21	]Neo-Wolffe has connected.
[07:05:42	]Usman exited observer at their location.
[07:05:42	]Usman entered observer.
[07:05:46	]Usman exited observer at their location.
[07:05:50	]Usman entered observer.
[07:05:51	]Usman exited observer at their location.
[07:05:51	]Usman entered observer.
[07:06:03	]Usman exited observer at their location.
[07:06:04	]Usman entered observer.
[07:06:07	]Usman exited observer at their location.
[07:06:35	]Usman has enabled persistence for 'models/props_junk/cardboard_box001a.mdl'.
[07:06:35	]Usman has used a context menu option with the name: persist
[07:06:43	]Usman has enabled persistence for 'models/props_junk/cardboard_box001a.mdl'.
[07:06:43	]Usman has used a context menu option with the name: persist
[07:07:10	]Usman opened the 'Dropped Items' #11986 container.
[07:07:12	]Usman has gained a 'El Feneri' #168631 from a container with the name 'Dropped Items' #11986.
[07:07:13	]Usman closed the 'Dropped Items' #11986 container.
[07:07:17	]Usman has spawned 'models/props_trainstation/trainstation_arch001.mdl'.
[07:07:22	]Usman has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[07:07:37	]Usman has hit Usman dealing 3 damage (CritChance was 0.00).
[07:07:37	]Usman has taken 3 damage from Usman.
[07:07:40	]Usman is fully healed.
[07:07:45	]Usman entered observer.
[07:08:16	]Usman has used a context menu option with the name: clientprop
[07:08:19	]Usman has enabled persistence for 'models/props_trainstation/traincar_rack001.mdl'.
[07:08:19	]Usman has used a context menu option with the name: persist
[07:08:19	]Usman exited observer at their location.
[07:08:31	]Usman entered observer.
[07:08:33	]Usman exited observer at their location.
[07:08:37	]Usman has spawned 'models/props_c17/FurnitureBed001a.mdl'.
[07:08:41	]Usman has spawned 'models/props_interiors/BathTub01a.mdl'.
[07:08:43	]Usman has spawned 'models/props_interiors/Furniture_Vanity01a.mdl'.
[07:08:46	]Usman has spawned 'models/props_wasteland/cranemagnet01a.mdl'.
[07:08:47	]Usman has spawned 'models/props_wasteland/gaspump001a.mdl'.
[07:08:48	]Usman has spawned 'models/props_wasteland/gaspump001a.mdl'.
[07:08:49	]Usman has spawned 'models/props_wasteland/horizontalcoolingtank04.mdl'.
[07:08:49	]Usman has taken 500 damage from prop_physics.
[07:08:49	]Usman has taken 500 damage from prop_physics.
[07:08:50	]Usman is fully healed.
[07:08:52	]Usman has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[07:08:54	]Usman has spawned 'models/props_wasteland/kitchen_stove002a.mdl'.
[07:09:03	]Usman has spawned 'models/props_junk/wood_crate001a.mdl'.
[07:09:09	]Usman has spawned 'models/props_wasteland/wood_fence01a.mdl'.
[07:09:15	]Usman has spawned 'models/props_trainstation/mount_connection001a.mdl'.
[07:09:18	]Usman has spawned 'models/props_junk/iBeam01a_cluster01.mdl'.
[07:09:26	]Usman has spawned 'models/props_interiors/refrigerator01a.mdl'.
[07:09:47	]Usman has spawned 'models/props_c17/Lockers001a.mdl'.
[07:09:56	]Usman entered observer.
[07:10:01	]Usman exited observer at their location.
[07:10:08	]Usman has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[07:10:12	]Usman has spawned 'models/props_docks/dock02_pole02a.mdl'.
[07:10:16	]Usman has spawned 'models/props_c17/pulleyhook01.mdl'.
[07:10:19	]Usman has spawned 'models/props_c17/pulleyhook01.mdl'.
[07:10:21	]Usman entered observer.
[07:10:30	]Usman has spawned 'models/props_vehicles/tire001b_truck.mdl'.
[07:10:31	]Usman exited observer at their location.
[07:10:38	]Usman has spawned 'models/props_vehicles/tire001b_truck.mdl'.
[07:10:52	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks02.mdl'.
[07:10:54	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks01.mdl'.
[07:10:57	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks05.mdl'.
[07:11:03	]Usman has spawned 'models/mosi/fallout4/props/fortifications/plywoodblocker.mdl'.
[07:11:19	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirewall01.mdl'.
[07:11:20	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirepile02.mdl'.
[07:11:21	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirepile01.mdl'.
[07:11:24	]Usman entered observer.
[07:11:25	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirepile02.mdl'.
[07:11:31	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirewall01.mdl'.
[07:11:35	]Usman exited observer at their location.
[07:11:36	]Usman entered observer.
[07:11:36	]Usman exited observer at their location.
[07:12:19	]Usman used command '/ExitAct'.
[07:12:43	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/tirewall01.mdl'.
[07:12:43	]Usman has used a context menu option with the name: persist
[07:12:50	]Usman has used a context menu option with the name: remove
[07:12:52	]Usman has spawned 'models/mosi/fallout4/props/fortifications/bos/poles.mdl'.
[07:13:05	]Usman has fired a toolgun with the name: remover
[07:13:06	]Usman has fired a toolgun with the name: remover
[07:13:06	]Usman has fired a toolgun with the name: remover
[07:13:06	]Usman has fired a toolgun with the name: remover
[07:13:06	]Usman has fired a toolgun with the name: remover
[07:13:07	]Usman has fired a toolgun with the name: remover
[07:13:07	]Usman has fired a toolgun with the name: remover
[07:13:08	]Usman has fired a toolgun with the name: remover
[07:13:08	]Usman has fired a toolgun with the name: remover
[07:13:16	]Usman opened the 'Çöp Konteyneri' #6449 container.
[07:13:18	]Usman closed the 'Çöp Konteyneri' #6449 container.
[07:13:26	]Usman has spawned 'models/mosi/fallout4/props/fortifications/junkwall05.mdl'.
[07:13:29	]Usman has spawned 'models/mosi/fallout4/props/fortifications/junkwall04.mdl'.
[07:13:36	]Usman entered observer.
[07:13:37	]Usman exited observer at their location.
[07:13:38	]Usman entered observer.
[07:13:39	]Usman exited observer at their location.
[07:13:59	]Usman has spawned 'models/mosi/fallout4/props/fortifications/ramp_plywood.mdl'.
[07:14:20	]Usman entered observer.
[07:14:21	]Usman exited observer at their location.
[07:14:21	]Usman entered observer.
[07:14:22	]Usman exited observer at their location.
[07:14:24	]Usman has taken 0 damage from worldspawn.
[07:14:25	]Usman is fully healed.
[07:14:30	]Usman entered observer.
[07:14:42	]Usman exited observer at their location.
[07:14:47	]Usman entered observer.
[07:14:51	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/ramp_plywood.mdl'.
[07:14:51	]Usman has used a context menu option with the name: persist
[07:14:52	]Usman exited observer at their location.
[07:14:56	]Usman has spawned 'models/mosi/fallout4/props/fortifications/doorbarricade.mdl'.
[07:15:05	]Usman has used a context menu option with the name: clientprop
[07:15:06	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/junkwall04.mdl'.
[07:15:06	]Usman has used a context menu option with the name: persist
[07:15:13	]Usman has spawned 'models/mosi/fallout4/props/fortifications/bos/poles.mdl'.
[07:15:20	]Usman has spawned 'models/mosi/fallout4/props/fortifications/chainlinkend.mdl'.
[07:15:22	]Usman has spawned 'models/mosi/fallout4/props/fortifications/chainlinkend.mdl'.
[07:15:31	]Usman entered observer.
[07:15:39	]Usman has used a context menu option with the name: clientprop
[07:15:39	]Usman exited observer at their location.
[07:15:54	]Usman entered observer.
[07:16:04	]Usman exited observer at their location.
[07:16:24	]Usman entered observer.
[07:16:30	]Usman exited observer at their location.
[07:16:34	]Usman has spawned 'models/mosi/fallout4/props/fortifications/woodpalette.mdl'.
[07:16:45	]Usman entered observer.
[07:16:46	]Usman exited observer at their location.
[07:16:49	]Usman entered observer.
[07:16:51	]Usman exited observer at their location.
[07:16:52	]Usman entered observer.
[07:16:52	]Usman has spawned 'models/mosi/fallout4/props/fortifications/ramp_truck.mdl'.
[07:16:54	]Usman has spawned 'models/mosi/fallout4/props/fortifications/ramp_plywood.mdl'.
[07:16:58	]Usman has spawned 'models/mosi/fallout4/props/fortifications/plywoodblocker.mdl'.
[07:17:10	]Usman has spawned 'models/props_c17/display_cooler01a.mdl'.
[07:17:13	]Usman exited observer at their location.
[07:17:21	]Usman has spawned 'models/props_junk/cardboard_box001b.mdl'.
[07:17:22	]Usman has spawned 'models/props_junk/cardboard_box001b.mdl'.
[07:17:24	]Usman entered observer.
[07:17:25	]Usman exited observer at their location.
[07:17:26	]Usman has taken 0 damage from worldspawn.
[07:17:30	]Usman is fully healed.
[07:17:37	]Usman has spawned 'models/props_trainstation/bench_indoor001a.mdl'.
[07:18:01	]Usman has used a context menu option with the name: collision_off
[07:18:12	]Usman entered observer.
[07:18:16	]Usman has enabled persistence for 'models/props_trainstation/bench_indoor001a.mdl'.
[07:18:16	]Usman has used a context menu option with the name: persist
[07:18:17	]Usman has used a context menu option with the name: collision_on
[07:18:18	]Usman exited observer at their location.
[07:18:19	]Usman entered observer.
[07:18:21	]Usman exited observer at their location.
[07:18:26	]Usman opened the 'Kutu' #11921 container.
[07:18:26	]Usman closed the 'Kutu' #11921 container.
[07:18:34	]Usman entered observer.
[07:18:36	]Usman exited observer at their location.
[07:18:37	]Usman has spawned 'models/props_interiors/ElevatorShaft_Door01a.mdl'.
[07:18:43	]Usman has enabled persistence for 'models/props_interiors/elevatorshaft_door01a.mdl'.
[07:18:43	]Usman has used a context menu option with the name: persist
[07:18:48	]Usman has spawned 'models/props_junk/TrafficCone001a.mdl'.
[07:18:55	]Usman has used a context menu option with the name: clientprop
[07:18:57	]Usman has spawned 'models/props_trainstation/TrackSign03.mdl'.
[07:19:02	]Usman has used a context menu option with the name: clientprop
[07:19:05	]Usman entered observer.
[07:19:07	]Usman exited observer at their location.
[07:19:09	]Usman has spawned 'models/props_wasteland/dockplank01b.mdl'.
[07:19:26	]Usman has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[07:19:26	]Usman has taken 50 damage from prop_physics.
[07:19:26	]Usman has taken 10 damage from prop_physics.
[07:19:30	]Usman is fully healed.
[07:19:30	]Usman entered observer.
[07:19:31	]Usman exited observer at their location.
[07:19:34	]Usman entered observer.
[07:19:35	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirewall02.mdl'.
[07:19:44	]Usman exited observer at their location.
[07:19:55	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirepile02.mdl'.
[07:19:57	]Usman entered observer.
[07:19:59	]Usman has spawned 'models/mosi/fallout4/props/fortifications/tirepile01.mdl'.
[07:20:02	]Usman exited observer at their location.
[07:20:05	]Usman has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[07:20:06	]Usman has spawned 'models/mosi/fallout4/props/fortifications/stonewallold02.mdl'.
[07:20:07	]Usman has spawned 'models/mosi/fallout4/props/fortifications/sandbag02.mdl'.
[07:20:09	]Usman has spawned 'models/mosi/fallout4/props/fortifications/plywoodblocker.mdl'.
[07:20:18	]Usman entered observer.
[07:20:20	]Usman exited observer at their location.
[07:20:23	]Usman has taken 28 damage from worldspawn.
[07:20:25	]Usman is fully healed.
[07:20:31	]Usman has spawned 'models/mosi/fallout4/props/fortifications/wallbarricade01.mdl'.
[07:20:32	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:36	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:39	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:41	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:52	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:52	]Usman has used a context menu option with the name: persist
[07:20:52	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:52	]Usman has used a context menu option with the name: persist
[07:20:53	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:53	]Usman has used a context menu option with the name: persist
[07:20:54	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:20:54	]Usman has used a context menu option with the name: persist
[07:20:57	]Usman has spawned 'models/mosi/fallout4/props/fortifications/woodpalette.mdl'.
[07:21:00	]Usman has spawned 'models/mosi/fallout4/props/fortifications/plywoodblocker.mdl'.
[07:21:07	]Usman has used a context menu option with the name: clientprop
[07:21:16	]Usman has spawned 'models/mosi/fallout4/props/fortifications/planks01.mdl'.
[07:21:23	]Usman has spawned 'models/mosi/fallout4/props/fortifications/planks01.mdl'.
[07:21:31	]Usman has spawned 'models/mosi/fallout4/props/fortifications/ramp_plywood.mdl'.
[07:21:32	]Usman has spawned 'models/mosi/fallout4/props/fortifications/ramp_truck.mdl'.
[07:21:33	]Usman has spawned 'models/mosi/fallout4/props/fortifications/stonewallold01.mdl'.
[07:21:35	]Usman has spawned 'models/mosi/fallout4/props/fortifications/bos/platform01.mdl'.
[07:21:37	]Usman has spawned 'models/mosi/fallout4/props/fortifications/bos/platform03.mdl'.
[07:21:39	]Usman has spawned 'models/mosi/fallout4/props/fortifications/junkwalltallangled02.mdl'.
[07:21:41	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblockstairs01.mdl'.
[07:21:56	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/cinderblockstairs01.mdl'.
[07:21:56	]Usman has used a context menu option with the name: persist
[07:22:05	]Usman has spawned 'models/mosi/fallout4/props/fortifications/barricadepanel01.mdl'.
[07:22:08	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel01.mdl'.
[07:22:10	]Usman has spawned 'models/mosi/fallout4/props/fortifications/concretebarricade.mdl'.
[07:22:20	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/concretebarricade.mdl'.
[07:22:20	]Usman has used a context menu option with the name: persist
[07:22:25	]Usman has used a context menu option with the name: remove
[07:22:29	]Usman has spawned 'models/mosi/fallout4/props/fortifications/ramp_truck.mdl'.
[07:22:32	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks01.mdl'.
[07:22:33	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks03.mdl'.
[07:22:34	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks04.mdl'.
[07:22:35	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks05.mdl'.
[07:22:36	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks06.mdl'.
[07:22:37	]Usman has spawned 'models/mosi/fallout4/props/fortifications/cinderblocks07.mdl'.
[07:22:50	]Usman has spawned 'models/mosi/fallout4/props/fortifications/plywoodblocker.mdl'.
[07:23:00	]Usman has used a context menu option with the name: clientprop
[07:23:07	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel02.mdl'.
[07:23:09	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel02.mdl'.
[07:23:11	]Usman has spawned 'models/mosi/fallout4/props/fortifications/metalbarrel02.mdl'.
[07:23:28	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/metalbarrel02.mdl'.
[07:23:28	]Usman has used a context menu option with the name: persist
[07:23:29	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/metalbarrel02.mdl'.
[07:23:29	]Usman has used a context menu option with the name: persist
[07:23:30	]Usman has enabled persistence for 'models/mosi/fallout4/props/fortifications/metalbarrel02.mdl'.
[07:23:30	]Usman has used a context menu option with the name: persist
[07:23:54	]Usman has spawned 'models/mosi/fallout4/props/fortifications/woodencrate03.mdl'.
[07:23:56	]Usman has spawned 'models/mosi/fallout4/props/fortifications/woodencrate01.mdl'.
[07:23:59	]Usman has spawned 'models/mosi/fallout4/props/fortifications/woodenbarrel.mdl'.
[07:24:00	]Usman has spawned 'models/mosi/fallout4/props/fortifications/woodenbarrel.mdl'.
[07:24:03	]Usman entered observer.
[07:24:11	]Usman exited observer at their location.
[07:24:17	]Usman has spawned 'models/mosi/fallout4/props/fortifications/plywoodblocker.mdl'.
[07:24:23	]Usman has used a context menu option with the name: clientprop
[07:24:27	]Usman entered observer.
[07:24:29	]Usman exited observer at their location.
[07:24:29	]Usman entered observer.
[07:24:36	]Usman exited observer at their location.
[07:24:47	]Usman entered observer.
[07:24:48	]Usman exited observer at their location.
[07:24:48	]Usman entered observer.
[07:24:54	]Usman exited observer at their location.
[07:24:56	]Usman entered observer.
[07:24:57	]Usman exited observer at their location.
[07:24:58	]Usman entered observer.
[07:24:59	]Usman exited observer at their location.
[07:25:16	]Usman has spawned a armband_purple.
[07:25:20	]Usman has spawned a armband_purple.
[07:25:23	]Usman has given himself a armband_purple.
[07:25:23	]Usman has gained a 'Mor CCA kol bandı' #168636.
[07:25:25	]Usman ran 'Equip' on item 'Mor CCA kol bandı' (#168636)
[07:25:32	]Usman has used a context menu option with the name: rb655_dissolve
[07:25:34	]env_entity_dissolver destroyed a 'Mor CCA kol bandı' #168635.
[07:25:36	]Usman entered observer.
[07:25:36	]Usman exited observer at their location.
[07:25:38	]Usman has taken 28 damage from worldspawn.
[07:25:40	]Usman is fully healed.
[07:25:59	]Usman entered observer.
[07:26:31	]Usman exited observer at their location.
[07:26:42	]Usman has spawned 'models/props_c17/FurnitureSink001a.mdl'.
[07:26:46	]Usman has spawned 'models/props_junk/wood_pallet001a.mdl'.
[07:26:55	]Usman entered observer.
[07:26:56	]Usman exited observer at their location.
[07:27:43	]Usman ran 'Equip' on item 'Combine PDA' (#168588)
[07:29:04	]Usman entered observer.
[07:29:16	]Usman exited observer at their location.
[07:29:26	]Usman has spawned a trueloyal_ration.
[07:29:28	]Usman ran 'take' on item 'Gerçek Loyalist Rasyonu' (#168637)
[07:29:28	]Usman has gained a 'Gerçek Loyalist Rasyonu' #168637.
[07:29:33	]Usman has given himself a priority_ration.
[07:29:33	]Usman has gained a 'Öncelikli Loyalist Rasyonu' #168638.
[07:29:46	]Usman ran 'Open' on item 'Öncelikli Loyalist Rasyonu' (#168638)
[07:29:46	]Usman has gained a 'Evrensel Birlik Çikolatası' #168639.
[07:29:46	]Usman has gained a 'Somon Biftek' #168640.
[07:29:46	]Usman has gained a 'Köpüklü Breen Suyu' #168641.
[07:29:46	]Usman has gained a '30 Kredi Kuponu' #168642.
[07:29:55	]Usman ran 'Open' on item 'Gerçek Loyalist Rasyonu' (#168637)
[07:29:56	]Usman has gained a 'Evrensel Birlik Çikolatası' #168643.
[07:29:56	]Usman has gained a 'Somon Biftek' #168644.
[07:29:56	]Usman has gained a 'Köpüklü Breen Suyu' #168645.
[07:29:56	]Usman has gained a '20 Kredi Kuponu' #168646.
[07:30:02	]Usman ran 'Consume' on item 'Somon Biftek' (#168644)
[07:30:02	]Usman has gained a level 5 long boost in Zeka.
[07:30:02	]Usman has gained a level 5 long boost in Algı.
[07:30:05	]Usman ran 'Consume' on item 'Köpüklü Breen Suyu' (#168645)
[07:30:05	]Usman has gained a 'Boş Breen'in Suyu' #168647.
[07:30:06	]Usman ran 'Consume' on item 'Evrensel Birlik Çikolatası' (#168643)
[07:30:06	]Usman has gained a 'Plastik Çöp' #168648.
[07:30:06	]Usman ran 'Consume' on item 'Somon Biftek' (#168640)
[07:30:06	]Usman has wasted a level 5 long boost in Zeka (current: 0; target: 5).
[07:30:06	]Usman has wasted a level 5 long boost in Algı (current: 0; target: 5).
[07:30:07	]Usman ran 'Use' on item '30 Kredi Kuponu' (#168642)
[07:30:08	]Usman ran 'Consume' on item 'Evrensel Birlik Çikolatası' (#168639)
[07:30:08	]Usman has gained a 'Plastik Çöp' #168649.
[07:30:09	]Usman ran 'Consume' on item 'Köpüklü Breen Suyu' (#168641)
[07:30:09	]Usman has gained a 'Boş Breen'in Suyu' #168650.
[07:30:11	]Usman entered observer.
[07:30:13	]Usman exited observer at their location.
[07:30:17	]Usman ran 'Use' on item '20 Kredi Kuponu' (#168646)
[07:30:18	]Usman ran 'Use' on item '30 Kredi Kuponu' (#168642)
[07:30:19	]Usman has used a coupon at a ration dispenser, gaining 20 credits.
[07:30:21	]Usman ran 'Use' on item '30 Kredi Kuponu' (#168642)
[07:30:23	]Usman ran 'Use' on item '30 Kredi Kuponu' (#168642)
[07:30:25	]Usman has used a coupon at a ration dispenser, gaining 30 credits.
[07:30:47	]Usman entered observer.
[07:31:04	]Usman exited observer at their location.
[07:31:12	]Usman entered observer.
[07:31:52	]Usman exited observer at their location.
[07:32:10	]Usman entered observer.
[07:32:14	]Usman exited observer at their location.
[07:32:24	]Usman entered observer.
[07:32:25	]Usman exited observer at their location.
[07:32:32	]Usman entered observer.
[07:32:33	]Usman exited observer at their location.
[07:32:39	]Usman entered observer.
[07:32:44	]Usman exited observer at their location.
[07:32:51	]Usman entered observer.
[07:32:52	]Usman exited observer at their location.
[07:32:55	]Usman entered observer.
[07:32:59	]Usman exited observer at their location.
[07:33:00	]Usman entered observer.
[07:33:01	]Usman exited observer at their location.
[07:33:01	]Usman entered observer.
[07:33:02	]Usman exited observer at their location.
[07:33:13	]Usman has spawned a parfum.
[07:33:19	]Usman ran 'take' on item 'Kadın Parfümü' (#168651)
[07:33:19	]Usman has gained a 'Kadın Parfümü' #168651.
[07:33:22	]Usman ran 'drop' on item 'Kadın Parfümü' (#168651)
[07:33:22	]Usman has lost a 'Kadın Parfümü' #168651.
[07:33:23	]Usman ran 'drop' on item 'Boş Breen'in Suyu' (#168647)
[07:33:23	]Usman has lost a 'Boş Breen'in Suyu' #168647.
[07:33:24	]Usman ran 'drop' on item 'Boş Breen'in Suyu' (#168650)
[07:33:24	]Usman has lost a 'Boş Breen'in Suyu' #168650.
[07:33:25	]Usman ran 'drop' on item 'Plastik Çöp' (#168648)
[07:33:25	]Usman has lost a 'Plastik Çöp' #168648.
[07:33:27	]Usman ran 'drop' on item 'Gözlükler' (#168589)
[07:33:27	]Usman has lost a 'Gözlükler' #168589.
[07:33:44	]Usman has spawned a moe_card.
[07:33:45	]Usman ran 'take' on item 'MOE Member Access Keycard' (#168652)
[07:33:45	]Usman has gained a 'MOE Member Access Keycard' #168652.
[07:33:47	]Usman has spawned a moelock.
[07:33:48	]Usman ran 'Place' on item 'MOE Lock' (#168653)
[07:33:51	]Usman has used a context menu option with the name: collision_off
[07:33:52	]Usman has used a context menu option with the name: remove
[07:33:58	]Usman ran 'Bind' on item 'MOE Member Access Keycard' (#168652)
[07:34:26	]Usman ran 'drop' on item 'MOE Member Access Keycard' (#168652)
[07:34:26	]Usman has lost a 'MOE Member Access Keycard' #168652.
[07:34:29	]Usman ran 'drop' on item '#79778 Kimlik Kartı' (#168587)
[07:34:29	]Usman has lost a '#79778 Kimlik Kartı' #168587.
[07:34:34	]Usman ran 'take' on item '#79778 Kimlik Kartı' (#168587)
[07:34:34	]Usman has gained a '#79778 Kimlik Kartı' #168587.
[07:34:36	]Usman ran 'take' on item 'MOE Member Access Keycard' (#168652)
[07:34:36	]Usman has gained a 'MOE Member Access Keycard' #168652.
[07:34:43	]Usman has spawned a ud_m16_stock_moe.
[07:34:48	]Usman entered observer.
[07:34:58	]Usman exited observer at their location.
[07:34:59	]Usman entered observer.
[07:35:01	]Usman exited observer at their location.
[07:35:03	]Usman has spawned 'models/props_junk/TrashBin01a.mdl'.
[07:35:12	]Usman has enabled persistence for 'models/props_junk/trashbin01a.mdl'.
[07:35:12	]Usman has used a context menu option with the name: persist
[07:35:21	]Usman entered observer.
[07:35:23	]Usman exited observer at their location.
[07:35:36	]Usman used command '/ExitAct'.
[07:35:47	]Usman has taken 1 damage from entityflame.
[07:35:47	]Usman has taken 1 damage from entityflame.
[07:35:47	]Usman has taken 1 damage from entityflame.
[07:35:47	]Usman has taken 1 damage from entityflame.
[07:35:48	]Usman has taken 1 damage from entityflame.
[07:35:48	]Usman has taken 1 damage from entityflame.
[07:35:48	]Usman has taken 1 damage from entityflame.
[07:35:48	]Usman has taken 1 damage from entityflame.
[07:35:48	]Usman has taken 1 damage from entityflame.
[07:35:49	]Usman has taken 1 damage from entityflame.
[07:35:49	]Usman has taken 1 damage from entityflame.
[07:35:49	]Usman has taken 1 damage from entityflame.
[07:35:49	]Usman has taken 1 damage from entityflame.
[07:35:49	]Usman has taken 1 damage from entityflame.
[07:35:50	]Usman is fully healed.
[07:35:50	]Usman has taken 1 damage from entityflame.
[07:35:50	]Usman has taken 1 damage from entityflame.
[07:35:50	]Usman has taken 1 damage from entityflame.
[07:35:50	]Usman has taken 1 damage from entityflame.
[07:35:50	]Usman has taken 1 damage from entityflame.
[07:35:51	]Usman has taken 1 damage from entityflame.
[07:35:51	]Usman used command '/ExitAct'.
[07:35:55	]Usman is fully healed.
[07:35:57	]Usman used command '/ExitAct'.
[07:36:12	]Usman entered observer.
[07:36:15	]Usman exited observer at their location.
[07:36:15	]Usman entered observer.
[07:36:20	]Usman exited observer at their location.
[07:36:20	]Usman entered observer.
[07:36:51	]Usman exited observer at their location.
[07:36:52	]Usman opened the 'Büyük Buzdolabı' #11848 container.
[07:36:54	]Usman closed the 'Büyük Buzdolabı' #11848 container.
[07:36:55	]Usman entered observer.
[07:36:56	]Usman exited observer at their location.
[07:36:57	]Usman entered observer.
[07:36:58	]Usman exited observer at their location.
[07:37:00	]Usman used command '/ExitAct'.
