[21:46:12	]Lorf has connected.
[21:57:44	]marta has gained a 'Assault Rifle Bullets' #3869.
[21:57:50	]marta ran 'removeMag' on item 'OSITR' (#3862)
[21:57:50	]marta has gained a '60rnd OTAR-magazine' #3863.
[21:57:53	]marta ran 'combine' on item '60rnd OTAR-magazine' (#3863)
[21:57:54	]marta has lost a '60rnd OTAR-magazine' #3863.
[21:57:57	]marta ran 'EquipUn' on item 'OSITR' (#3862)
[21:57:57	]marta has gained a '60rnd OTAR-magazine' #3863.
[21:57:58	]marta ran 'drop' on item 'OSITR' (#3862)
[21:57:58	]marta has lost a 'OSITR' #3862.
[21:58:11	]marta has given himself a suppressionrifle.
[21:58:11	]marta has gained a 'OSPR2A-EXP' #3870.
[21:58:13	]marta ran 'Equip' on item 'OSPR2A-EXP' (#3870)
[21:58:32	]marta has given himself a magazine_ospr_24rnd.
[21:58:32	]marta has gained a '24rnd Heavy-Pulse Magazine' #3871.
[21:58:40	]marta has given himself a bullets_heavypulse.
[21:58:40	]marta has gained a 'Heavy Pulse Rounds' #3872.
[21:58:41	]marta has given himself a bullets_heavypulse.
[21:58:41	]marta has gained a 'Heavy Pulse Rounds' #3873.
[21:58:43	]marta ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#3871)
[21:58:46	]marta has lost a '24rnd Heavy-Pulse Magazine' #3871.
[21:58:56	]marta entered observer.
[21:59:06	]marta exited observer at their location.
[21:59:10	]marta ran 'drop' on item 'QRF Mask' (#3846)
[21:59:10	]marta has lost a 'QRF Mask' #3846.
[21:59:11	]marta ran 'drop' on item 'QRF Uniform' (#3845)
[21:59:11	]marta has lost a 'QRF Uniform' #3845.
[21:59:16	]marta ran 'drop' on item 'OSPR2A-EXP' (#3870)
[21:59:16	]marta has lost a 'OSPR2A-EXP' #3870.
[21:59:20	]marta ran 'take' on item 'OSPR2A-EXP' (#3870)
[21:59:20	]marta has gained a 'OSPR2A-EXP' #3870.
[21:59:22	]marta ran 'Equip' on item 'OSPR2A-EXP' (#3870)
[21:59:27	]marta destroyed a 'QRF Uniform' #3845.
[21:59:27	]marta destroyed a 'QRF Mask' #3846.
[21:59:28	]marta destroyed a 'OSITR' #3862.
[22:00:55	]marta ran 'drop' on item 'OSPR2A-EXP' (#3870)
[22:00:55	]marta has lost a 'OSPR2A-EXP' #3870.
[22:00:58	]marta has given himself a famas.
[22:00:58	]marta has gained a 'FAMAS' #3874.
[22:01:07	]marta ran 'Equip' on item 'FAMAS' (#3874)
[22:01:15	]marta has given himself a riotshield.
[22:01:17	]marta ran 'drop' on item 'FAMAS' (#3874)
[22:01:17	]marta has lost a 'FAMAS' #3874.
[22:01:19	]marta has given himself a riotshield.
[22:01:24	]marta ran 'drop' on item '60rnd OTAR-magazine' (#3863)
[22:01:24	]marta has lost a '60rnd OTAR-magazine' #3863.
[22:01:25	]marta ran 'drop' on item 'Heavy Pulse Rounds' (#3872)
[22:01:25	]marta has lost a 'Heavy Pulse Rounds' #3872.
[22:01:26	]marta ran 'drop' on item 'Rifle Bullets' (#3867)
[22:01:26	]marta has lost a 'Rifle Bullets' #3867.
[22:01:26	]marta ran 'drop' on item 'Pulse Rifle Bullets' (#3866)
[22:01:26	]marta has lost a 'Pulse Rifle Bullets' #3866.
[22:01:29	]marta has given himself a riotshield.
[22:01:29	]marta has gained a 'Riot Shield' #3875.
[22:01:34	]marta ran 'Equip' on item 'Riot Shield' (#3875)
[22:01:37	]marta ran 'Equip' on item 'Riot Shield' (#3875)
[22:01:38	]marta ran 'Equip' on item 'Riot Shield' (#3875)
[22:01:41	]marta ran 'Equip' on item 'Riot Shield' (#3875)
[22:01:42	]marta ran 'drop' on item 'Riot Shield' (#3875)
[22:01:42	]marta has lost a 'Riot Shield' #3875.
[22:01:44	]marta ran 'take' on item 'Riot Shield' (#3875)
[22:01:44	]marta has gained a 'Riot Shield' #3875.
[22:01:45	]marta ran 'Equip' on item 'Riot Shield' (#3875)
[22:03:03	]Lorf has unloaded their "marta" character.
[22:03:16	]Lorf created the character 'C17:RCT.YELLO-50'
[22:03:16	]Lorf has gained level 30 in the Broń palna skill.
[22:03:16	]Lorf has gained level 30 in the Prędkość skill.
[22:03:16	]Lorf loaded the character 'C17:RCT.YELLO-50'
[22:03:16	]C17:RCT.YELLO-50 has gained a '#05635's Identity Card' #3876.
[22:03:16	]C17:RCT.YELLO-50 has gained a 'Combine PDA' #3877.
[22:03:16	]C17:RCT.YELLO-50 has gained a 'CP Uniform' #3878.
[22:03:16	]C17:RCT.YELLO-50 has gained a 'CP Mask' #3879.
[22:03:16	]C17:RCT.YELLO-50 has gained a 'Handheld Radio' #3880.
[22:03:16	]C17:RCT.YELLO-50 has gained a 'Small Bag' #3881.
[22:03:16	]C17:RCT.YELLO-50 has gained a 'Large Bag' #3882.
[22:03:31	]C17:RCT.YELLO-50 has given himself a stunstick.
[22:03:31	]C17:RCT.YELLO-50 has gained a 'Stunstick' #3883.
[22:03:32	]C17:RCT.YELLO-50 has given himself a riotshield.
[22:03:32	]C17:RCT.YELLO-50 has gained a 'Riot Shield' #3884.
[22:03:35	]C17:RCT.YELLO-50 ran 'Equip' on item 'Stunstick' (#3883)
[22:03:44	]C17:RCT.YELLO-50 has given himself a riotshield.
[22:03:44	]C17:RCT.YELLO-50 has gained a 'Riot Shield' #3885.
[22:03:46	]C17:RCT.YELLO-50 ran 'Equip' on item 'Riot Shield' (#3885)
[22:03:49	]C17:RCT.YELLO-50 ran 'EquipUn' on item 'Stunstick' (#3883)
[22:03:50	]C17:RCT.YELLO-50 ran 'Equip' on item 'Riot Shield' (#3885)
[22:03:59	]C17:RCT.YELLO-50 ran 'Equip' on item 'Riot Shield' (#3885)
[22:05:18	]C17:RCT.YELLO-50 has spawned 'models/weapons/tfa_mw2cr/riotshield/w_riotshield.mdl'.
[22:05:22	]C17:RCT.YELLO-50 ran 'Equip' on item 'Riot Shield' (#3885)
[22:05:23	]C17:RCT.YELLO-50 ran 'Equip' on item 'Riot Shield' (#3885)
[22:05:35	]C17:RCT.YELLO-50 has given himself a smoke_grenade.
[22:05:35	]C17:RCT.YELLO-50 has gained a 'Smoke Grenade' #3886.
[22:05:38	]C17:RCT.YELLO-50 ran 'Equip' on item 'Smoke Grenade' (#3886)
[22:05:51	]C17:RCT.YELLO-50 has given himself a decoy_grenade.
[22:05:51	]C17:RCT.YELLO-50 has gained a 'Decoy Grenade' #3887.
[22:05:53	]C17:RCT.YELLO-50 ran 'Equip' on item 'Decoy Grenade' (#3887)
[22:06:03	]C17:RCT.YELLO-50 has given himself a flash_grenade.
[22:06:03	]C17:RCT.YELLO-50 has gained a 'Flash Grenade' #3888.
[22:06:11	]C17:RCT.YELLO-50 has taken 0 damage from C17:RCT.YELLO-50.
[22:06:17	]C17:RCT.YELLO-50 ran 'Equip' on item 'Flash Grenade' (#3888)
[22:07:27	]C17:RCT.YELLO-50 destroyed a 'Seksior' #3781.
[22:09:01	]C17:RCT.YELLO-50 has spawned a 'NPC [500][npc_antlionguard]'.
[22:09:01	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:01	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:02	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:03	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:03	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:03	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:03	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:03	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:03	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:04	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:05	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:05	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:05	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:05	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:05	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:05	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:05	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:06	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:06	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:06	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:06	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:06	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:06	]C17:RCT.YELLO-50 entered observer.
[22:09:07	]C17:RCT.YELLO-50 exited observer at their location.
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:08	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has taken 20 damage from npc_antlionguard.
[22:09:09	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:09	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:11	]C17:RCT.YELLO-50 entered observer.
[22:09:11	]C17:RCT.YELLO-50 exited observer at their location.
[22:09:13	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:13	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:13	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:13	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:13	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:13	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:14	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:14	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:14	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:14	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:14	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:14	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:14	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:16	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:16	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:16	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:16	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:16	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:17	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:18	]C17:RCT.YELLO-50 has taken 10 damage from npc_antlionguard.
[22:09:18	]C17:RCT.YELLO-50 has taken 10 damage from npc_antlionguard.
[22:09:19	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:19	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:19	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:19	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:20	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:20	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:20	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:20	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:20	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:20	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:20	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:21	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:21	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:21	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:21	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:21	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:21	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:22	]C17:RCT.YELLO-50 entered observer.
[22:09:23	]C17:RCT.YELLO-50 exited observer at their location.
[22:09:23	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:23	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:23	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:23	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:28	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:28	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:28	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:28	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:29	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:29	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:29	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:29	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:29	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:29	]C17:RCT.YELLO-50 has taken 20 damage from npc_antlionguard.
[22:09:29	]C17:RCT.YELLO-50 entered observer.
[22:09:30	]C17:RCT.YELLO-50 exited observer at their location.
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 1 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
[22:09:33	]C17:RCT.YELLO-50 has critically hit npc_antlionguard dealing 3 damage (CritChance was 0.84).
