[00:33:35	]Enistein has connected.
[00:49:46	]Nick Durman exited observer at their location.
[00:49:56	]Theodore Abernathy entered observer.
[00:49:56	]Theodore Abernathy exited observer at their location.
[00:49:57	]Theodore Abernathy entered observer.
[00:49:57	]Theodore Abernathy exited observer at their location.
[00:49:57	]Theodore Abernathy entered observer.
[00:49:58	]Theodore Abernathy exited observer at their location.
[00:49:58	]Theodore Abernathy entered observer.
[00:49:58	]Theodore Abernathy exited observer at their location.
[00:49:59	]Theodore Abernathy entered observer.
[00:49:59	]Theodore Abernathy exited observer at their location.
[00:50:11	]Theodore Abernathy has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[00:50:19	]Theodore Abernathy has spawned 'models/props_junk/metalgascan.mdl'.
[00:50:46	]Nick Durman entered observer.
[00:50:55	]Nick Durman exited observer at their location.
[00:52:10	]Nick Durman has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[00:52:18	]Nick Durman has fired a toolgun with the name: material
[00:52:22	]Nick Durman has fired a toolgun with the name: material
[00:52:23	]Nick Durman has fired a toolgun with the name: material
[00:52:52	]Nick Durman ran 'drop' on item 'Demir' (#69464)
[00:52:52	]Nick Durman has lost a 'Demir' #69464.
[00:52:58	]Nick Durman ran 'take' on item 'Demir' (#69464)
[00:52:58	]Nick Durman has gained a 'Demir' #69464.
[00:53:24	]Enistein has unloaded their "Theodore Abernathy" character.
[00:53:29	]Enistein loaded the character 'C24:i5.UNION-79'
[00:53:34	]C24:i5.UNION-79 ran SAM command 'goto' with arguments: 'sarah'
[00:53:34	]C24:i5.UNION-79 is fully healed.
[00:53:46	]C24:i5.UNION-79 has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[00:53:46	][IC] Nick Durman: PolIs.
[00:53:50	][IC] Sarah Goodwell: Polis.
[00:53:53	][IC] Nick Durman: Selam poLIS.
[00:53:55	]C24:i5.UNION-79 has used a context menu option with the name: rb655_breakable_break
[00:53:55	]C24:i5.UNION-79 was knocked unconscious and is bleeding out.
[00:53:55	]Sarah Goodwell has taken 96 damage from prop_physics.
[00:53:55	]Nick Durman was knocked unconscious and is bleeding out.
[00:53:55	]C24:i5.UNION-79 has gained a '17rnd Usp-Şarjörü' #44415.
[00:53:58	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: '*'
[00:54:00	]Sarah Goodwell is fully healed.
[00:54:05	]Sarah Goodwell entered observer.
[00:54:08	]C24:i5.UNION-79 ran SAM command 'bring' with arguments: 'sarah'
[00:54:09	]C24:i5.UNION-79 entered observer.
[00:54:10	]C24:i5.UNION-79 exited observer at their location.
[00:54:10	]Sarah Goodwell exited observer at their location.
[00:54:31	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:31	]Nick Durman has spawned 'models/props_debris/metal_panel01a.mdl'.
[00:54:32	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:32	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:32	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:32	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:33	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:33	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:33	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:33	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:33	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:34	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:34	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:54:34	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[00:55:03	]Nick Durman has spawned 'models/hunter/plates/plate025x1.mdl'.
[00:55:07	]Nick Durman has spawned 'models/hunter/plates/plate025x1.mdl'.
[00:55:17	]Nick Durman has spawned 'models/hunter/plates/plate025x1.mdl'.
[00:55:18	]C24:i5.UNION-79 has spawned 'models/props_interiors/Furniture_Vanity01a.mdl'.
[00:55:21	]C24:i5.UNION-79 has taken 5 damage from prop_physics.
[00:55:23	]Nick Durman has fired a toolgun with the name: material
[00:55:24	]Nick Durman has fired a toolgun with the name: material
[00:55:24	]Nick Durman has fired a toolgun with the name: material
[00:55:28	]Nick Durman has fired a toolgun with the name: colour
[00:55:30	]Nick Durman has fired a toolgun with the name: colour
[00:55:32	]Nick Durman has fired a toolgun with the name: colour
[00:55:34	]Nick Durman has fired a toolgun with the name: colour
[00:55:46	]Sarah Goodwell was just knocked out due to: hit by stunstick owned by C24:i5.UNION-79
[00:55:51	][IC] C24:i5.UNION-79: <:: Haha. ::>
[00:55:55	]Nick Durman has fired a toolgun with the name: colour
[00:55:55	][IC] Sarah Goodwell: Orpsu.
[00:55:57	][IC] C24:i5.UNION-79: <:: Haha. ::>
[00:55:57	]Nick Durman has fired a toolgun with the name: colour
[00:55:58	][IC] C24:i5.UNION-79: <:: Haha. ::>
[00:55:59	]Nick Durman has fired a toolgun with the name: colour
[00:55:59	][IC] C24:i5.UNION-79: <:: Haha. ::>
[00:55:59	][IC] C24:i5.UNION-79: <:: Haha. ::>
[00:56:01	]Nick Durman has fired a toolgun with the name: colour
[00:56:02	]Nick Durman has fired a toolgun with the name: colour
[00:56:03	]Nick Durman has fired a toolgun with the name: colour
[00:56:04	][IC] C24:i5.UNION-79: <:: 10-4. ::>
[00:56:09	]C24:i5.UNION-79 used command '/ActLean 2'.
[00:56:12	][IC] C24:i5.UNION-79: <:: 11-99; memurun yardıma ihtiyacı var! ::>
[00:56:14	][IC] C24:i5.UNION-79: <:: 11-99 2. ::>
[00:56:27	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: 'sarah'
[00:56:35	]Nick Durman has spawned 'models/props_combine/breenbust.mdl'.
[00:56:46	][IC] C24:i5.UNION-79: <:: Enicp. ::>
[00:56:47	]Nick Durman has fired a toolgun with the name: material
[00:56:58	][IC] C24:i5.UNION-79: <:: Umm, burada bir ceset var; 11-42'yi iptal et. ::>
[00:57:04	][IC] Sarah Goodwell: Sesim gelmiyo.
[00:57:08	]C24:i5.UNION-79 ran SAM command 'slay' with arguments: 'sarah'
[00:57:12	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: 'sarah'
[00:57:14	]C24:i5.UNION-79 ran SAM command 'bring' with arguments: 'sarah'
[00:57:31	]Nick Durman has spawned 'models/props_c17/statue_horse.mdl'.
[00:58:13	]Nick Durman has spawned 'models/Humans/Group01/Female_02.mdl'.
[00:58:17	]DavşanAbi has connected.
[00:59:05	]DavşanAbi loaded the character 'Frank Furt'
[00:59:14	]Frank Furt entered observer.
[00:59:20	]Frank Furt exited observer at their location.
[00:59:24	]Nick Durman has fired a toolgun with the name: faceposer
[00:59:24	]Nick Durman has fired a toolgun with the name: faceposer
[00:59:25	]Nick Durman has fired a toolgun with the name: faceposer
[00:59:34	]Frank Furt entered observer.
[00:59:40	]Frank Furt exited observer at their location.
[00:59:42	]Nick Durman has spawned 'models/hunter/plates/plate05x05_rounded.mdl'.
[00:59:44	]Nick Durman has spawned 'models/hunter/plates/plate1x2.mdl'.
[00:59:50	]Nick Durman has spawned 'models/hunter/plates/plate2x3.mdl'.
[00:59:56	]Nick Durman has fired a toolgun with the name: material
[00:59:58	]Nick Durman has fired a toolgun with the name: colour
[01:00:10	]Frank Furt has spawned a 'Vehicle [4753][prop_vehicle_jeep_old]'.
[01:00:14	]Sarah Goodwell has taken 10 damage from prop_vehicle_jeep.
[01:00:15	]Nick Durman has spawned 'models/hunter/plates/plate025x1.mdl'.
[01:00:16	]Nick Durman has spawned 'models/hunter/plates/plate025x125.mdl'.
[01:00:17	]C24:i5.UNION-79 has taken 20 damage from prop_vehicle_jeep.
[01:00:17	]Nick Durman entered observer.
[01:00:19	]Nick Durman exited observer at their location.
[01:00:21	]Nick Durman has spawned 'models/hunter/plates/plate025x150.mdl'.
[01:00:23	]Frank Furt has taken 10 damage from Frank Furt.
[01:00:29	]Nick Durman entered observer.
[01:00:30	]Nick Durman exited observer at their location.
[01:00:35	]Nick Durman has spawned 'models/hunter/plates/plate025x150.mdl'.
[01:00:36	]Frank Furt entered observer.
[01:00:37	]Frank Furt exited observer at their location.
[01:00:45	]Nick Durman has spawned 'models/hunter/plates/plate025x1.mdl'.
[01:00:52	]Nick Durman has spawned 'models/hunter/plates/plate025x1.mdl'.
[01:00:59	]Nick Durman has spawned 'models/hunter/plates/plate025x1.mdl'.
[01:01:06	]Nick Durman has fired a toolgun with the name: remover
[01:01:06	]Nick Durman has fired a toolgun with the name: remover
[01:01:06	]Nick Durman has fired a toolgun with the name: remover
[01:01:07	]Nick Durman has fired a toolgun with the name: remover
[01:01:07	]Nick Durman has fired a toolgun with the name: remover
[01:01:08	]Nick Durman has fired a toolgun with the name: remover
[01:01:08	]Nick Durman has fired a toolgun with the name: remover
[01:01:17	]C24:i5.UNION-79 entered observer.
[01:01:17	]Nick Durman entered observer.
[01:01:19	]Frank Furt entered observer.
[01:01:21	]Sarah Goodwell entered observer.
[01:01:24	]C24:i5.UNION-79 exited observer at their location.
[01:01:25	]Nick Durman exited observer at their location.
[01:01:25	]Nick Durman entered observer.
[01:01:25	]C24:i5.UNION-79 ran SAM command 'hp' with arguments: '*' '100'
[01:01:26	]C24:i5.UNION-79 entered observer.
[01:01:26	]Nick Durman exited observer at their location.
[01:01:27	]Nick Durman entered observer.
[01:01:28	]DavşanAbi has unloaded their "Frank Furt" character.
[01:01:28	]C24:i5.UNION-79 exited observer at their location.
[01:01:29	]C24:i5.UNION-79 is fully healed.
[01:01:30	]C24:i5.UNION-79 entered observer.
[01:01:30	]Nick Durman is fully healed.
[01:01:30	]Sarah Goodwell is fully healed.
[01:01:30	]C24:i5.UNION-79 exited observer at their location.
[01:01:31	]Nick Durman exited observer at their location.
[01:01:31	]Nick Durman entered observer.
[01:01:32	]Nick Durman exited observer at their location.
[01:01:32	]Nick Durman entered observer.
[01:01:33	]Nick Durman exited observer at their location.
[01:01:36	]DavşanAbi loaded the character 'C45:i1.HELIX-12'
[01:01:39	]C45:i1.HELIX-12 entered observer.
[01:01:41	]C45:i1.HELIX-12 ran SAM command 'goto' with arguments: '79'
[01:01:42	]C45:i1.HELIX-12 exited observer at their location.
[01:01:45	]Sarah Goodwell exited observer at their location.
[01:01:45	]Sarah Goodwell has taken 97 damage from worldspawn.
[01:02:02	]C24:i5.UNION-79 has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[01:02:09	]Sarah Goodwell entered observer.
[01:02:13	]Sarah Goodwell exited observer at their location.
[01:03:32	]Nick Durman has fired a toolgun with the name: camera
[01:03:47	]C24:i5.UNION-79 ran 'drop' on item 'Combine PDA' (#29753)
[01:03:47	]C24:i5.UNION-79 has lost a 'Combine PDA' #29753.
[01:03:47	]C24:i5.UNION-79 ran 'drop' on item '20 Kredi Kuponu' (#41775)
[01:03:47	]C24:i5.UNION-79 has lost a '20 Kredi Kuponu' #41775.
[01:03:47	]C24:i5.UNION-79 ran 'drop' on item '17rnd Usp-Şarjörü' (#57831)
[01:03:47	]C24:i5.UNION-79 has lost a '17rnd Usp-Şarjörü' #57831.
[01:03:48	]C24:i5.UNION-79 ran 'drop' on item 'El Feneri' (#57783)
[01:03:48	]C24:i5.UNION-79 has lost a 'El Feneri' #57783.
[01:03:48	]C24:i5.UNION-79 ran 'drop' on item '17rnd Usp-Şarjörü' (#44415)
[01:03:48	]C24:i5.UNION-79 has lost a '17rnd Usp-Şarjörü' #44415.
[01:03:48	]C24:i5.UNION-79 ran 'drop' on item '17rnd Usp-Şarjörü' (#44414)
[01:03:48	]C24:i5.UNION-79 has lost a '17rnd Usp-Şarjörü' #44414.
[01:03:49	]C24:i5.UNION-79 ran 'drop' on item 'Talep Cihazı' (#46925)
[01:03:49	]C24:i5.UNION-79 has lost a 'Talep Cihazı' #46925.
[01:03:49	]C24:i5.UNION-79 ran 'drop' on item 'Açık Gri Kol Bandı' (#63258)
[01:03:49	]C24:i5.UNION-79 has lost a 'Açık Gri Kol Bandı' #63258.
[01:03:49	]C24:i5.UNION-79 ran 'drop' on item 'Büyük Çanta' (#29758)
[01:03:49	]C24:i5.UNION-79 has lost a 'Büyük Çanta' #29758.
[01:03:49	]C24:i5.UNION-79 has lost a 'Stunstick' #44420.
[01:03:49	]C24:i5.UNION-79 has lost a 'Stunstick' #44413.
[01:03:50	]C24:i5.UNION-79 ran 'drop' on item 'Tarihi Geçmiş Soda Bob Ultra Nükleer Mega Prime Enerji' (#52709)
[01:03:50	]C24:i5.UNION-79 has lost a 'Tarihi Geçmiş Soda Bob Ultra Nükleer Mega Prime Enerji' #52709.
[01:03:50	]C24:i5.UNION-79 ran 'drop' on item '9mm Tabanca Mermisi' (#57832)
[01:03:50	]C24:i5.UNION-79 has lost a '9mm Tabanca Mermisi' #57832.
[01:03:50	]C24:i5.UNION-79 ran 'drop' on item '9mm Tabanca Mermisi' (#57833)
[01:03:50	]C24:i5.UNION-79 has lost a '9mm Tabanca Mermisi' #57833.
[01:03:51	]C24:i5.UNION-79 ran 'drop' on item '9mm Tabanca Mermisi' (#57834)
[01:03:51	]C24:i5.UNION-79 has lost a '9mm Tabanca Mermisi' #57834.
[01:03:51	]C24:i5.UNION-79 ran 'drop' on item 'USP-45' (#44412)
[01:03:51	]C24:i5.UNION-79 has lost a 'USP-45' #44412.
[01:03:51	]C24:i5.UNION-79 ran 'drop' on item 'Stunstick' (#44421)
[01:03:51	]C24:i5.UNION-79 has lost a 'Stunstick' #44421.
[01:03:55	]Nick Durman ran 'take' on item '9mm Tabanca Mermisi' (#57832)
[01:03:55	]Nick Durman has gained a '9mm Tabanca Mermisi' #57832.
[01:03:56	]C24:i5.UNION-79 has fired a toolgun with the name: dynamite
[01:03:56	]C24:i5.UNION-79 used command '/ActSit'.
[01:03:56	]Sarah Goodwell was knocked unconscious and is bleeding out.
[01:03:56	]C45:i1.HELIX-12 was knocked unconscious and is bleeding out.
[01:03:56	]Nick Durman was knocked unconscious and is bleeding out.
[01:03:56	]C24:i5.UNION-79 was knocked unconscious and is bleeding out.
[01:03:56	]C45:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #51159.
[01:03:56	]C24:i5.UNION-79 destroyed a '20 Kredi Kuponu' #41775.
[01:03:56	]C24:i5.UNION-79 destroyed a 'Stunstick' #44421.
[01:03:56	]C24:i5.UNION-79 destroyed a '9mm Tabanca Mermisi' #57833.
[01:03:56	]C24:i5.UNION-79 destroyed a '9mm Tabanca Mermisi' #57834.
[01:03:56	]C24:i5.UNION-79 destroyed a 'Tarihi Geçmiş Soda Bob Ultra Nükleer Mega Prime Enerji' #52709.
[01:03:56	]C24:i5.UNION-79 destroyed a '17rnd Usp-Şarjörü' #44415.
[01:03:56	]C24:i5.UNION-79 destroyed a 'Talep Cihazı' #46925.
[01:03:56	]C24:i5.UNION-79 destroyed a 'Açık Gri Kol Bandı' #63258.
[01:03:56	]C24:i5.UNION-79 destroyed a 'Büyük Çanta' #29758.
[01:03:56	]C24:i5.UNION-79 destroyed a '17rnd Usp-Şarjörü' #44414.
[01:03:56	]C24:i5.UNION-79 destroyed a 'El Feneri' #57783.
[01:03:56	]C24:i5.UNION-79 destroyed a '17rnd Usp-Şarjörü' #57831.
[01:03:56	]C24:i5.UNION-79 destroyed a 'Combine PDA' #29753.
[01:03:59	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: ''
[01:04:01	]Nick Durman used command '/CharGetUp'.
[01:04:04	]Nick Durman used command '/CharGetUp'.
[01:04:04	]C45:i1.HELIX-12 ran SAM command 'respawn' with arguments: 'i1'
[01:04:06	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: '*'
[01:04:07	]C45:i1.HELIX-12 entered observer.
[01:04:08	]Nick Durman ran SAM command 'respawn' with arguments: 'nick'
[01:04:09	]C24:i5.UNION-79 ran SAM command 'goto' with arguments: 'sarah'
[01:04:10	]Nick Durman entered observer.
[01:04:10	]Nick Durman is fully healed.
[01:04:13	]Sarah Goodwell ran 'take' on item 'USP-45' (#44412)
[01:04:13	]Sarah Goodwell has gained a 'USP-45' #44412.
[01:04:17	]C45:i1.HELIX-12 exited observer at their location.
[01:04:17	]C45:i1.HELIX-12 entered observer.
[01:04:19	]Sarah Goodwell ran 'Equip' on item 'USP-45' (#44412)
[01:04:19	]Nick Durman exited observer at their location.
[01:04:20	][IC] Nick Durman: !tp sarah.
[01:04:24	]Nick Durman ran SAM command 'goto' with arguments: 'sarah'
[01:04:27	]C45:i1.HELIX-12 ran SAM command 'goto' with arguments: '79'
[01:04:28	]Nick Durman ran 'drop' on item '9mm Tabanca Mermisi' (#57832)
[01:04:28	]Nick Durman has lost a '9mm Tabanca Mermisi' #57832.
[01:04:28	]C45:i1.HELIX-12 exited observer at their location.
[01:04:30	]Nick Durman ran 'take' on item '9mm Tabanca Mermisi' (#57832)
[01:04:30	]Nick Durman has gained a '9mm Tabanca Mermisi' #57832.
[01:04:45	]Nick Durman has taken 5 damage from trigger_hurt.
[01:04:46	]C24:i5.UNION-79 entered observer.
[01:05:02	]C24:i5.UNION-79 exited observer at their location.
[01:05:20	]C45:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #58892.
[01:05:20	]C45:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #58892.
[01:05:20	]C45:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #50064.
[01:05:23	]C45:i1.HELIX-12 has critically hit Sarah Goodwell in the head dealing 17 damage (CritChance was 1.01).
[01:05:23	]Sarah Goodwell was knocked unconscious and is bleeding out.
[01:05:23	]C45:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #50064.
[01:05:23	]C45:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #58892.
[01:05:23	]C45:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #58892.
[01:05:23	]C45:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #50064.
[01:05:24	]C45:i1.HELIX-12 has taken 49 damage from C24:i5.UNION-79.
[01:05:31	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: 'sarah'
[01:05:57	]Nick Durman has fired a toolgun with the name: creator
[01:05:57	]Nick Durman has spawned a 'Weapon [4720][arccw_go_cz75]'.
[01:05:59	]Nick Durman has fired a toolgun with the name: creator
[01:05:59	]Nick Durman has spawned a 'Weapon [4731][arccw_go_cz75]'.
[01:06:01	]Nick Durman has fired a toolgun with the name: creator
[01:06:01	]Nick Durman has spawned a 'Weapon [4720][arccw_go_cz75]'.
[01:06:01	]C45:i1.HELIX-12 is fully healed.
[01:06:02	]C45:i1.HELIX-12 has taken 49 damage from C24:i5.UNION-79.
[01:06:02	]C45:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #50064.
[01:06:02	]C45:i1.HELIX-12 was knocked unconscious and is bleeding out.
[01:06:03	]C45:i1.HELIX-12 was killed while bleeding out.
[01:06:03	]C24:i5.UNION-79 has killed C45:i1.HELIX-12 with player.
[01:06:03	]C45:i1.HELIX-12 has dropped: Çuval (#50136); 17x SMG Mermisi (#60143); 30rnd MP-şarjörü (#50137); 3x Cerrahi Kit (#52564); Onarım Kaplaması (#52533); SK Üniforması (#50044); Identity Card Creation Device (#49981); 30x SMG Mermisi (#68294); 30x SMG Mermisi (#68296); 4x Kan Stabilizatörü (#52570); Çuval (#52507); 9x Lastik Kelepçe (#49987); El Feneri (#50215); Stunstick (#50052); 30x SMG Mermisi (#68291); 1x Ağrı Kesici (#50187); 3x Cerrahi Kit (#52565); 4x Kan Stabilizatörü (#52620); Boş CID Kartı (#50057); 2x Cerrahi Kit (#52616); Boş CID Kartı (#50058); MP5A3 (#49963); 3x Morfin (#68289); Combine Filter (#50156); 30rnd MP-şarjörü (#58892); SK Maskesi (#50093); 3x Kan Stabilizatörü (#52569); 30x SMG Mermisi (#68295); 30rnd MP-şarjörü (#51159); 1x 20 Kredi Kuponu (#68584); 30rnd MP-şarjörü (#50064); 3x Cerrahi Kit (#52617); 2x Kan Stabilizatörü (#52619); Incendiary Grenade (#58998); 2x Sağlık Kiti (#58965); 30x SMG Mermisi (#68293); 2x Sağlık Kiti (#58966); 1x Condensed Resin (#68534); 1x Antidote (#68290); Flash Grenade (#59000); 3x Morfin (#68287); POS Cihazı (#50102); 30x SMG Mermisi (#68292);
[01:06:13	]C45:i1.HELIX-12 ran SAM command 'goto' with arguments: '79'
[01:06:16	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:06:17	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:06:18	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:06:21	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:06:30	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:06:34	]C45:i1.HELIX-12 has gained a 'Condensed Resin' #68534 from a container with the name 'Dropped Items' #6720.
[01:06:35	]C45:i1.HELIX-12 has gained a 'MP5A3' #49963 from a container with the name 'Dropped Items' #6720.
[01:06:36	]Nick Durman has fired a toolgun with the name: creator
[01:06:36	]Nick Durman has spawned a 'Weapon [4770][arccw_go_cz75]'.
[01:06:36	]C45:i1.HELIX-12 has taken 81 damage from C24:i5.UNION-79.
[01:06:36	]Sarah Goodwell was knocked unconscious and is bleeding out.
[01:06:36	]Nick Durman has fired a toolgun with the name: creator
[01:06:36	]Nick Durman has spawned a 'Weapon [4772][arccw_go_cz75]'.
[01:06:36	]Nick Durman has fired a toolgun with the name: creator
[01:06:36	]Nick Durman has spawned a 'Weapon [4773][arccw_go_cz75]'.
[01:06:36	]Nick Durman has fired a toolgun with the name: creator
[01:06:36	]Nick Durman has spawned a 'Weapon [4774][arccw_go_cz75]'.
[01:06:36	]Nick Durman has fired a toolgun with the name: creator
[01:06:36	]Nick Durman has spawned a 'Weapon [4775][arccw_go_cz75]'.
[01:06:36	]Nick Durman has fired a toolgun with the name: creator
[01:06:36	]Nick Durman has spawned a 'Weapon [4776][arccw_go_cz75]'.
[01:06:38	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:06:39	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: 'sarah'
[01:06:42	]C45:i1.HELIX-12 was knocked unconscious and is bleeding out.
[01:06:51	]C45:i1.HELIX-12 ran SAM command 'respawn' with arguments: 'i1'
[01:06:51	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: '-12'
[01:06:52	]C45:i1.HELIX-12 entered observer.
[01:06:57	]C45:i1.HELIX-12 ran SAM command 'goto' with arguments: '79'
[01:06:57	]C45:i1.HELIX-12 exited observer at their location.
[01:06:58	]C45:i1.HELIX-12 entered observer.
[01:06:59	]C45:i1.HELIX-12 exited observer at their location.
[01:07:01	]C45:i1.HELIX-12 was knocked unconscious and is bleeding out.
[01:07:02	]Nick Durman has spawned 'models/weapons/arccw/charms/punished.mdl'.
[01:07:03	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: '-12'
[01:07:05	]Sarah Goodwell entered observer.
[01:07:15	]Sarah Goodwell exited observer at their location.
[01:07:16	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:07:16	]C45:i1.HELIX-12 was knocked unconscious and is bleeding out.
[01:07:17	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:07:18	]C24:i5.UNION-79 ran SAM command 'respawn' with arguments: '-12'
[01:07:20	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:07:22	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:07:27	]C45:i1.HELIX-12 ran SAM command 'hp' with arguments: 'i1' '100000'
[01:07:28	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:07:28	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:07:29	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:07:30	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:07:31	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:07:31	]C45:i1.HELIX-12 is fully healed.
[01:07:34	]C45:i1.HELIX-12 has gained a 'Stunstick' #50052 from a container with the name 'Dropped Items' #6720.
[01:07:36	]Nick Durman has spawned 'models/weapons/tfa_nmrih/v_me_abrasivesaw.mdl'.
[01:07:40	]C45:i1.HELIX-12 has gained a 'Cerrahi Kit' #52564 from a container with the name 'Dropped Items' #6720.
[01:07:41	]Nick Durman has spawned 'models/weapons/tfa_nmrih/w_me_etool_pick.mdl'.
[01:07:41	]C45:i1.HELIX-12 closed the 'Dropped Items' #6720 container.
[01:07:44	]C45:i1.HELIX-12 opened the 'Dropped Items' #6720 container.
[01:07:47	]C45:i1.HELIX-12 has gained a 'SK Maskesi' #50093 from a container with the name 'Dropped Items' #6720.
