[20:24:46	]Snakeiter has connected.
[20:43:18	]C24:i4.UNION-20 has gained a '6 of Clubs' #3560.
[20:43:18	]C24:i4.UNION-20 has gained a '7 of Clubs' #3561.
[20:43:18	]C24:i4.UNION-20 has gained a '8 of Clubs' #3562.
[20:43:18	]C24:i4.UNION-20 has gained a '9 of Clubs' #3563.
[20:43:18	]C24:i4.UNION-20 has gained a '10 of Clubs' #3564.
[20:43:18	]C24:i4.UNION-20 has gained a 'Jack of Clubs' #3565.
[20:43:18	]C24:i4.UNION-20 has gained a 'King of Clubs' #3566.
[20:43:18	]C24:i4.UNION-20 has gained a 'Queen of Clubs' #3567.
[20:43:18	]C24:i4.UNION-20 has gained a 'Ace of Diamonds' #3568.
[20:43:18	]C24:i4.UNION-20 has gained a '2 of Diamonds' #3569.
[20:43:18	]C24:i4.UNION-20 has gained a '3 of Diamonds' #3570.
[20:43:18	]C24:i4.UNION-20 has gained a '4 of Diamonds' #3571.
[20:43:18	]C24:i4.UNION-20 has gained a '5 of Diamonds' #3572.
[20:43:18	]C24:i4.UNION-20 has gained a '6 of Diamonds' #3573.
[20:43:18	]C24:i4.UNION-20 has gained a '7 of Diamonds' #3574.
[20:43:18	]C24:i4.UNION-20 has gained a '8 of Diamonds' #3575.
[20:43:18	]C24:i4.UNION-20 has gained a '9 of Diamonds' #3576.
[20:43:18	]C24:i4.UNION-20 has gained a '10 of Diamonds' #3577.
[20:43:18	]C24:i4.UNION-20 has gained a 'Jack of Diamonds' #3578.
[20:43:18	]C24:i4.UNION-20 has gained a 'King of Diamonds' #3579.
[20:43:18	]C24:i4.UNION-20 has gained a 'Queen of Diamonds' #3580.
[20:43:18	]C24:i4.UNION-20 has gained a 'Ace of Hearts' #3581.
[20:43:18	]C24:i4.UNION-20 has gained a '2 of Hearts' #3582.
[20:43:18	]C24:i4.UNION-20 has gained a '3 of Hearts' #3583.
[20:43:18	]C24:i4.UNION-20 has gained a '4 of Hearts' #3584.
[20:43:18	]C24:i4.UNION-20 has gained a '5 of Hearts' #3585.
[20:43:18	]C24:i4.UNION-20 has gained a '6 of Hearts' #3586.
[20:43:18	]C24:i4.UNION-20 has gained a '7 of Hearts' #3587.
[20:43:18	]C24:i4.UNION-20 has gained a '8 of Hearts' #3588.
[20:43:18	]C24:i4.UNION-20 has gained a '9 of Hearts' #3589.
[20:43:18	]C24:i4.UNION-20 has gained a '10 of Hearts' #3590.
[20:43:18	]C24:i4.UNION-20 has gained a 'Jack of Hearts' #3591.
[20:43:18	]C24:i4.UNION-20 has gained a 'King of Hearts' #3592.
[20:43:18	]C24:i4.UNION-20 has gained a 'Queen of Hearts' #3593.
[20:43:18	]C24:i4.UNION-20 has gained a 'Ace of Spades' #3594.
[20:43:18	]C24:i4.UNION-20 has gained a '2 of Spades' #3595.
[20:43:18	]C24:i4.UNION-20 has gained a '3 of Spades' #3596.
[20:43:19	]C24:i4.UNION-20 has gained a '4 of Spades' #3597.
[20:43:19	]C24:i4.UNION-20 has gained a '5 of Spades' #3598.
[20:43:19	]C24:i4.UNION-20 has gained a '6 of Spades' #3599.
[20:43:19	]C24:i4.UNION-20 has gained a '7 of Spades' #3600.
[20:43:19	]C24:i4.UNION-20 has gained a '8 of Spades' #3601.
[20:43:19	]C24:i4.UNION-20 has gained a '9 of Spades' #3602.
[20:43:19	]C24:i4.UNION-20 has gained a '10 of Spades' #3603.
[20:43:19	]C24:i4.UNION-20 has gained a 'Jack of Spades' #3604.
[20:43:19	]C24:i4.UNION-20 has gained a 'King of Spades' #3605.
[20:43:19	]C24:i4.UNION-20 has gained a 'Queen of Spades' #3606.
[20:44:01	]C24:i4.UNION-20 exited observer at their location.
[20:44:15	]C24:i4.UNION-20 entered observer.
[20:44:20	]C24:i4.UNION-20 ran 'drop' on item 'AUG A3' (#940)
[20:44:20	]C24:i4.UNION-20 has lost a 'AUG A3' #940.
[20:44:21	]C24:i4.UNION-20 ran 'drop' on item 'USP-45' (#1174)
[20:44:21	]C24:i4.UNION-20 has lost a 'USP-45' #1174.
[20:44:25	]C24:i4.UNION-20 ran 'EquipUn' on item 'Combine PDA' (#893)
[20:44:26	]C24:i4.UNION-20 ran 'drop' on item 'Model 870' (#2941)
[20:44:26	]C24:i4.UNION-20 has lost a 'Model 870' #2941.
[20:44:32	]C24:i4.UNION-20 ran 'drop' on item 'Punished' (#1248)
[20:44:32	]C24:i4.UNION-20 has lost a 'Punished' #1248.
[20:44:32	]C24:i4.UNION-20 ran 'drop' on item '370mm Carbine Barrel' (#1252)
[20:44:32	]C24:i4.UNION-20 has lost a '370mm Carbine Barrel' #1252.
[20:44:33	]C24:i4.UNION-20 ran 'drop' on item '3mW Laser' (#1212)
[20:44:33	]C24:i4.UNION-20 has lost a '3mW Laser' #1212.
[20:44:36	]C24:i4.UNION-20 exited observer at their location.
[20:44:36	]C24:i4.UNION-20 entered observer.
[20:44:37	]C24:i4.UNION-20 exited observer at their location.
[20:44:37	]C24:i4.UNION-20 entered observer.
[20:44:43	]C24:i4.UNION-20 exited observer at their location.
[20:44:47	]C24:i4.UNION-20 has given himself a infestation_detector.
[20:44:47	]C24:i4.UNION-20 has gained a 'detectorItemName' #3607.
[20:44:49	]C24:i4.UNION-20 ran 'Calibrate' on item 'detectorItemName' (#3607)
[20:44:55	]C24:i4.UNION-20 has given himself a orange_hazmat_uniform.
[20:44:55	]C24:i4.UNION-20 has gained a 'Orange Hazmat Uniform' #3608.
[20:45:14	]C24:i4.UNION-20 ran 'drop' on item 'Orange Hazmat Uniform' (#3608)
[20:45:14	]C24:i4.UNION-20 has lost a 'Orange Hazmat Uniform' #3608.
[20:45:33	]C24:i4.UNION-20 has given himself a ic_tank.
[20:45:33	]C24:i4.UNION-20 has gained a 'tankItemName' #3609.
[20:45:36	]C24:i4.UNION-20 ran 'drop' on item 'tankItemName' (#3609)
[20:45:42	]C24:i4.UNION-20 has given himself a ic_hose.
[20:45:42	]C24:i4.UNION-20 has gained a 'hoseItemName' #3610.
[20:45:44	]C24:i4.UNION-20 ran 'Attach' on item 'hoseItemName' (#3610)
[20:45:46	]C24:i4.UNION-20 has given himself a applicator.
[20:45:46	]C24:i4.UNION-20 has gained a 'applicatorItemName' #3611.
[20:45:48	]C24:i4.UNION-20 ran 'Equip' on item 'applicatorItemName' (#3611)
[20:45:49	]C24:i4.UNION-20 ran 'Attach' on item 'applicatorItemName' (#3611)
[20:45:52	]C24:i4.UNION-20 has gained a 'applicatorItemName' #3612.
[20:45:54	]C24:i4.UNION-20 ran 'Equip' on item 'applicatorItemName' (#3612)
[20:45:56	]C24:i4.UNION-20 has gained a 'hoseItemName' #3613.
[20:45:58	]C24:i4.UNION-20 ran 'Connect' on item 'hoseItemName' (#3613)
[20:45:59	]C24:i4.UNION-20 ran 'Equip' on item 'applicatorItemName' (#3612)
[20:46:10	]C24:i4.UNION-20 has given himself a ic_cryogenic_liquid.
[20:46:10	]C24:i4.UNION-20 has gained a 'cryogenicItemname' #3614.
[20:46:12	]C24:i4.UNION-20 ran 'Insert' on item 'cryogenicItemname' (#3614)
[20:46:19	]C24:i4.UNION-20 entered observer.
[20:46:20	]C24:i4.UNION-20 ran 'EquipUn' on item 'applicatorItemName' (#3612)
[20:46:40	]C24:i4.UNION-20 used command '/AreaEdit'.
[20:46:53	]C24:i4.UNION-20 exited observer at their location.
[20:47:22	]C24:i4.UNION-20 has spawned a television.
[20:47:32	]C24:i4.UNION-20 entered observer.
[20:48:11	]Snakeiter (STEAM_0:1:146784845) has disconnected.
