[14:56:28	]Guilgouille s'est connecté.
[15:00:24	]Guilgouille a activé le mode observateur.
[15:00:24	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:25	]Guilgouille a activé le mode observateur.
[15:00:25	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:26	]Guilgouille a activé le mode observateur.
[15:00:26	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:27	]Guilgouille a activé le mode observateur.
[15:00:27	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:28	]Guilgouille a activé le mode observateur.
[15:00:30	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:30	]Guilgouille a activé le mode observateur.
[15:00:31	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:32	]Guilgouille a activé le mode observateur.
[15:00:32	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:33	]Guilgouille a activé le mode observateur.
[15:00:33	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:34	]Guilgouille a activé le mode observateur.
[15:00:35	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:36	]Guilgouille a activé le mode observateur.
[15:00:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:37	]Guilgouille a activé le mode observateur.
[15:00:37	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:38	]Guilgouille a activé le mode observateur.
[15:00:39	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:40	]Guilgouille a activé le mode observateur.
[15:00:40	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:41	]Guilgouille a activé le mode observateur.
[15:00:41	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:42	]Guilgouille a activé le mode observateur.
[15:00:42	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:43	]Guilgouille a activé le mode observateur.
[15:00:43	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:44	]Guilgouille a activé le mode observateur.
[15:00:44	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:45	]Guilgouille a activé le mode observateur.
[15:00:46	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:47	]Guilgouille a activé le mode observateur.
[15:00:47	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:48	]Guilgouille a activé le mode observateur.
[15:00:48	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:49	]Guilgouille a activé le mode observateur.
[15:00:49	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:49	]Guilgouille a activé le mode observateur.
[15:00:50	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:51	]Guilgouille a activé le mode observateur.
[15:00:51	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:52	]Guilgouille a activé le mode observateur.
[15:00:52	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:53	]Guilgouille a activé le mode observateur.
[15:00:53	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:54	]Guilgouille a activé le mode observateur.
[15:00:54	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:55	]Guilgouille a activé le mode observateur.
[15:00:55	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:56	]Guilgouille a activé le mode observateur.
[15:00:57	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:58	]Guilgouille a activé le mode observateur.
[15:00:58	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:59	]Guilgouille a activé le mode observateur.
[15:00:59	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:00	]Guilgouille a activé le mode observateur.
[15:01:00	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:01	]Guilgouille a activé le mode observateur.
[15:01:02	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:03	]Guilgouille a activé le mode observateur.
[15:01:03	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:06	]Guilgouille a activé le mode observateur.
[15:01:06	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:07	]Guilgouille a activé le mode observateur.
[15:01:07	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:09	]Guilgouille a activé le mode observateur.
[15:01:09	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:11	]Guilgouille a activé le mode observateur.
[15:01:12	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:14	]Guilgouille a activé le mode observateur.
[15:01:14	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:16	]Guilgouille a activé le mode observateur.
[15:01:16	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:17	]Guilgouille a activé le mode observateur.
[15:01:17	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:18	]Guilgouille a activé le mode observateur.
[15:01:19	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:20	]Guilgouille a activé le mode observateur.
[15:01:20	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:21	]Guilgouille a activé le mode observateur.
[15:01:22	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:22	]Guilgouille a activé le mode observateur.
[15:01:22	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:24	]Guilgouille a activé le mode observateur.
[15:01:24	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:24	]Guilgouille a activé le mode observateur.
[15:01:25	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:25	]Guilgouille a activé le mode observateur.
[15:01:26	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:27	]Guilgouille a activé le mode observateur.
[15:01:28	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:32	]Guilgouille a activé le mode observateur.
[15:01:32	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:33	]Guilgouille a activé le mode observateur.
[15:01:34	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:36	]Guilgouille a activé le mode observateur.
[15:01:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:37	]Guilgouille a activé le mode observateur.
[15:01:37	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:38	]Guilgouille a activé le mode observateur.
[15:01:38	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:39	]Guilgouille a activé le mode observateur.
[15:01:40	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:40	]Guilgouille a activé le mode observateur.
[15:01:43	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:44	]Guilgouille a activé le mode observateur.
[15:01:44	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:01:49	]Guilgouille a activé le mode observateur.
[15:01:51	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:01	]Guilgouille a activé le mode observateur.
[15:02:02	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:03	]Guilgouille a activé le mode observateur.
[15:02:04	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:05	]Guilgouille a activé le mode observateur.
[15:02:06	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:07	]Guilgouille a activé le mode observateur.
[15:02:07	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:08	]Guilgouille a activé le mode observateur.
[15:02:08	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:09	]Guilgouille a activé le mode observateur.
[15:02:09	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:11	]Guilgouille a activé le mode observateur.
[15:02:11	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:12	]Guilgouille a activé le mode observateur.
[15:02:12	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:13	]Guilgouille a activé le mode observateur.
[15:02:13	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:14	]Guilgouille a activé le mode observateur.
[15:02:14	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:15	]Guilgouille a activé le mode observateur.
[15:02:15	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:16	]Guilgouille a activé le mode observateur.
[15:02:16	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:17	]Guilgouille a activé le mode observateur.
[15:02:18	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:18	]Guilgouille a activé le mode observateur.
[15:02:19	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:20	]Guilgouille a activé le mode observateur.
[15:02:21	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:22	]Guilgouille a activé le mode observateur.
[15:02:22	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:22	]Guilgouille a activé le mode observateur.
[15:02:23	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:23	]Guilgouille a activé le mode observateur.
[15:02:23	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:24	]Guilgouille a activé le mode observateur.
[15:02:25	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:26	]Guilgouille a activé le mode observateur.
[15:02:26	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:27	]Guilgouille a activé le mode observateur.
[15:02:27	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:28	]Guilgouille a activé le mode observateur.
[15:02:28	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:29	]Guilgouille a activé le mode observateur.
[15:02:29	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:31	]Guilgouille a activé le mode observateur.
[15:02:32	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:36	]Guilgouille a activé le mode observateur.
[15:02:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:37	]Guilgouille a activé le mode observateur.
[15:02:37	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:39	]Guilgouille a activé le mode observateur.
[15:02:39	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:02:42	]Guilgouille ran SAM command 'menu' with arguments: ''
[15:02:51	]Guilgouille ran SAM command 'menu' with arguments: ''
[15:03:50	]Guilgouille ran SAM command 'menu' with arguments: ''
[15:07:16	]Guilgouille a utilisé la commande '/CinematicMenu'.
[15:07:38	]Guilgouille a activé le mode observateur.
[15:07:38	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:07:39	]Guilgouille a activé le mode observateur.
[15:07:39	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:07:41	]Guilgouille a activé le mode observateur.
[15:07:41	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:07:42	]Guilgouille a activé le mode observateur.
[15:07:42	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:07:44	]Guilgouille a utilisé la commande '/CinematicMenu'.
[15:08:33	]Guilgouille a utilisé la commande '/CinematicMenu'.
[15:08:53	]Guilgouille a utilisé la commande '/CinematicMenu'.
[15:09:35	]Guilgouille a utilisé la commande '/CinematicMenu'.
[15:10:10	]Guilgouille a activé le mode observateur.
[15:10:10	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:10:13	]Guilgouille a utilisé la commande '/CinematicMenu'.
[15:10:20	]Guilgouille a activé le mode observateur.
[15:10:21	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:10:24	]Guilgouille a utilisé la commande '/EventCredits'.
[15:11:31	]Guilgouille a activé le mode observateur.
[15:11:31	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:11:31	]Guilgouille a activé le mode observateur.
[15:11:32	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:11:33	]Guilgouille a activé le mode observateur.
[15:11:34	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:11:34	]Guilgouille a activé le mode observateur.
[15:11:34	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:11:35	]Guilgouille a activé le mode observateur.
[15:11:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:11:40	]Guilgouille a utilisé la commande '/CinematicMenu'.
[15:12:14	]Guilgouille a activé le mode observateur.
[15:12:14	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:15	]Guilgouille a activé le mode observateur.
[15:12:16	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:17	]Guilgouille a activé le mode observateur.
[15:12:18	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:19	]Guilgouille a activé le mode observateur.
[15:12:19	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:20	]Guilgouille a activé le mode observateur.
[15:12:20	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:22	]Guilgouille a activé le mode observateur.
[15:12:22	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:23	]Guilgouille a activé le mode observateur.
[15:12:23	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:24	]Guilgouille a activé le mode observateur.
[15:12:24	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:25	]Guilgouille a activé le mode observateur.
[15:12:26	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:27	]Guilgouille a activé le mode observateur.
[15:12:27	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:28	]Guilgouille a activé le mode observateur.
[15:12:28	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:29	]Guilgouille a activé le mode observateur.
[15:12:29	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:30	]Guilgouille a activé le mode observateur.
[15:12:31	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:32	]Guilgouille a activé le mode observateur.
[15:12:32	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:33	]Guilgouille a activé le mode observateur.
[15:12:33	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:34	]Guilgouille a activé le mode observateur.
[15:12:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:12:47	]Guilgouille a activé le mode observateur.
[15:12:57	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:13:22	]Guilgouille a activé le mode observateur.
[15:13:22	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:13:23	]Guilgouille a activé le mode observateur.
[15:13:24	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:13:35	]Guilgouille a activé le mode observateur.
[15:13:41	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:25	]Guilgouille a activé le mode observateur.
[15:14:26	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:33	]Guilgouille a activé le mode observateur.
[15:14:34	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:36	]Guilgouille a activé le mode observateur.
[15:14:38	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:39	]Guilgouille a activé le mode observateur.
[15:14:40	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:41	]Guilgouille a activé le mode observateur.
[15:14:41	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:42	]Guilgouille a activé le mode observateur.
[15:14:42	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:42	]Guilgouille a activé le mode observateur.
[15:14:43	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:44	]Guilgouille a activé le mode observateur.
[15:14:46	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:47	]Guilgouille a activé le mode observateur.
[15:14:48	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:49	]Guilgouille a activé le mode observateur.
[15:14:49	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:51	]Guilgouille a activé le mode observateur.
[15:14:51	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:52	]Guilgouille a activé le mode observateur.
[15:14:52	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:53	]Guilgouille a activé le mode observateur.
[15:14:53	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:54	]Guilgouille a activé le mode observateur.
[15:14:54	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:55	]Guilgouille a activé le mode observateur.
[15:14:55	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:56	]Guilgouille a activé le mode observateur.
[15:14:57	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:58	]Guilgouille a activé le mode observateur.
[15:14:58	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:14:59	]Guilgouille a activé le mode observateur.
[15:14:59	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:00	]Guilgouille a activé le mode observateur.
[15:15:00	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:01	]Guilgouille a activé le mode observateur.
[15:15:01	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:02	]Guilgouille a activé le mode observateur.
[15:15:03	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:04	]Guilgouille a activé le mode observateur.
[15:15:05	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:06	]Guilgouille a activé le mode observateur.
[15:15:07	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:08	]Guilgouille a activé le mode observateur.
[15:15:08	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:09	]Guilgouille a activé le mode observateur.
[15:15:09	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:10	]Guilgouille a activé le mode observateur.
[15:15:10	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:11	]Guilgouille a activé le mode observateur.
[15:15:12	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:13	]Guilgouille a activé le mode observateur.
[15:15:13	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:14	]Guilgouille a activé le mode observateur.
[15:15:14	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:15	]Guilgouille a activé le mode observateur.
[15:15:16	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:18	]Guilgouille a activé le mode observateur.
[15:15:18	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:18	]Guilgouille a activé le mode observateur.
[15:15:19	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:20	]Guilgouille a activé le mode observateur.
[15:15:20	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:21	]Guilgouille a activé le mode observateur.
[15:15:21	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:22	]Guilgouille a activé le mode observateur.
[15:15:22	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:23	]Guilgouille a activé le mode observateur.
[15:15:23	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:25	]Guilgouille a activé le mode observateur.
[15:15:25	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:26	]Guilgouille a activé le mode observateur.
[15:15:26	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:27	]Guilgouille a activé le mode observateur.
[15:15:27	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:28	]Guilgouille a activé le mode observateur.
[15:15:28	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:29	]Guilgouille a activé le mode observateur.
[15:15:30	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:31	]Guilgouille a activé le mode observateur.
[15:15:31	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:32	]Guilgouille a activé le mode observateur.
[15:15:32	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:33	]Guilgouille a activé le mode observateur.
[15:15:33	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:34	]Guilgouille a activé le mode observateur.
[15:15:34	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:36	]Guilgouille a activé le mode observateur.
[15:15:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:38	]Guilgouille a activé le mode observateur.
[15:15:40	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:41	]Guilgouille a activé le mode observateur.
[15:15:41	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:15:45	]Guilgouille s'est give res_akm.
[15:15:45	]Guilgouille a gagné un 'AKM' #199440.
[15:15:47	]Guilgouille a exécuté 'Equip' sur l'article 'AKM' (#199440)
[15:15:51	]Guilgouille a exécuté 'drop' sur l'article 'AKM' (#199440)
[15:15:51	]Guilgouille a perdu un 'AKM' #199440.
[15:15:58	]Guilgouille a utilisé la commande '/CharFallOver 0.5'.
[15:16:00	]Guilgouille a été assommé et saigne abondamment.
[15:16:25	]Guilgouille vient d'être tué à cause de : accepting their death
[15:16:26	]Guilgouille a activé le mode observateur.
[15:16:28	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:29	]Guilgouille a activé le mode observateur.
[15:16:29	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:31	]Guilgouille a activé le mode observateur.
[15:16:31	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:32	]Guilgouille a activé le mode observateur.
[15:16:33	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:16:34	]Guilgouille a activé le mode observateur.
