[13:28:08	]DavşanAbi has connected.
[13:47:48	]DavşanAbi loaded the character 'C24:RL.KING-2'
[13:48:10	]C24:RL.KING-2 entered observer.
[13:48:11	]C24:RL.KING-2 exited observer at their location.
[13:48:54	]C24:RL.KING-2 has lost a '8rnd 870-şarjörü' #36992.
[13:48:54	]C24:RL.KING-2 has gained a '8rnd 870-şarjörü' #36993.
[13:49:03	]C24:RL.KING-2 entered observer.
[13:49:07	]C24:RL.KING-2 exited observer at their location.
[13:49:17	]C24:RL.KING-2 entered observer.
[13:49:20	]C24:RL.KING-2 exited observer at their location.
[13:50:12	]C24:RL.KING-2 has spawned a audiobook_4Arapça.
[13:50:13	]C24:RL.KING-2 has spawned a audiobook_5Arapça.
[13:50:16	]C24:RL.KING-2 has used a context menu option with the name: remove
[13:50:17	]C24:RL.KING-2 has used a context menu option with the name: remove
[13:50:22	]C24:RL.KING-2 entered observer.
[13:50:24	]C24:RL.KING-2 exited observer at their location.
[13:50:33	]C24:RL.KING-2 entered observer.
[13:50:55	]C24:RL.KING-2 exited observer at their location.
[13:51:17	]C24:RL.KING-2 used command '/ActThreat'.
[13:51:31	]C24:RL.KING-2 used command '/ActThreat'.
[13:51:37	]C24:RL.KING-2 entered observer.
[13:51:41	]C24:RL.KING-2 exited observer at their location.
[13:51:53	]C24:RL.KING-2 used command '/ActStand 3'.
[13:51:58	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:04	]C24:RL.KING-2 used command '/ActLean'.
[13:52:13	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:14	]C24:RL.KING-2 entered observer.
[13:52:15	]C24:RL.KING-2 exited observer at their location.
[13:52:20	]C24:RL.KING-2 used command '/ActSit'.
[13:52:22	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:25	]C24:RL.KING-2 used command '/ActSit'.
[13:52:27	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:33	]C24:RL.KING-2 used command '/ActSit 2'.
[13:52:38	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:43	]C24:RL.KING-2 used command '/ActSit'.
[13:52:44	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:46	]C24:RL.KING-2 used command '/ActSit 2'.
[13:52:48	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:51	]C24:RL.KING-2 used command '/ActSit 3'.
[13:52:55	]C24:RL.KING-2 used command '/ExitAct'.
[13:52:57	]C24:RL.KING-2 used command '/ActSit 4'.
[13:52:59	]C24:RL.KING-2 used command '/ExitAct'.
[13:53:03	]C24:RL.KING-2 used command '/ActSitWall'.
[13:53:05	]C24:RL.KING-2 entered observer.
[13:53:06	]C24:RL.KING-2 exited observer at their location.
[13:53:10	]C24:RL.KING-2 used command '/ActSitWall'.
[13:53:16	]C24:RL.KING-2 used command '/ExitAct'.
[13:53:26	][IC] C24:RL.KING-2: <:: You. ::>
[13:53:29	][IC] C24:RL.KING-2: <:: Yürü! ::>
[13:53:39	][IC] C24:RL.KING-2: <:: Vatandaş. ::>
[13:53:48	][IC] C24:RL.KING-2: <:: Stop. ::>
[13:53:55	][IC] C24:RL.KING-2: <:: 1. ::>
[13:53:56	][IC] C24:RL.KING-2: <:: 2. ::>
[13:53:57	][IC] C24:RL.KING-2: <:: 3. ::>
[13:53:58	][IC] C24:RL.KING-2: <:: 4. ::>
[13:54:06	][IC] C24:RL.KING-2: <:: 10-4. ::>
[13:54:09	][IC] C24:RL.KING-2: <:: 10-2. ::>
[13:54:14	][IC] C24:RL.KING-2: <:: 11-99; memurun yardıma ihtiyacı var! ::>
[13:54:27	][IC] C24:RL.KING-2: <:: Merhaba. ::>
[13:54:33	][IC] C24:RL.KING-2: <:: Selam. ::>
[13:54:35	][IC] C24:RL.KING-2: <:: Hey. ::>
[13:54:39	][IC] C24:RL.KING-2: <:: Pick up that can. ::>
[13:54:52	][IC] C24:RL.KING-2: <:: Doğrula. ::>
[13:55:05	][IC] C24:RL.KING-2: <:: Arkamı kolla, mermim bitti! ::>
[13:55:18	][IC] C24:RL.KING-2: <:: Haha. ::>
[13:55:19	][IC] C24:RL.KING-2: <:: Haha. ::>
[13:55:22	][IC] C24:RL.KING-2: <:: Eller yukarı. ::>
[13:55:36	][IC] C24:RL.KING-2: <:: Hemen geri çekilin! ::>
[13:55:47	][IC] C24:RL.KING-2: <:: Bugün kendimi oldukça iyi hissediyorum. ::>
[13:55:57	][IC] C24:RL.KING-2: <:: Ayaklarım beni öldürüyor. ::>
[13:56:07	][IC] C24:RL.KING-2: <:: Fuck off. ::>
[13:56:11	][IC] C24:RL.KING-2: <:: Hassiktir! ::>
[13:56:18	][IC] C24:RL.KING-2: <:: Seri. ::>
[13:56:21	][IC] C24:RL.KING-2: <:: PT. ::>
[13:56:27	][IC] C24:RL.KING-2: <:: İçeri gir! ::>
[13:56:29	][IC] C24:RL.KING-2: <:: Report. ::>
[13:56:31	][IC] C24:RL.KING-2: <:: Helix. ::>
[13:56:33	][IC] C24:RL.KING-2: <:: King. ::>
[13:56:39	][IC] C24:RL.KING-2: <:: UNION. ::>
[13:56:41	][IC] C24:RL.KING-2: <:: King. ::>
[13:56:42	][IC] C24:RL.KING-2: <:: VICE. ::>
[13:56:57	]C24:RL.KING-2 entered observer.
[13:58:13	]C24:RL.KING-2 exited observer at their location.
[13:58:21	]C24:RL.KING-2 entered observer.
[13:58:30	]C24:RL.KING-2 exited observer at their location.
[13:58:39	]C24:RL.KING-2 entered observer.
[13:58:42	]C24:RL.KING-2 exited observer at their location.
[13:59:06	]DavşanAbi has unloaded their "C24:RL.KING-2" character.
[13:59:11	]DavşanAbi loaded the character 'S17/OWS.GHOST-12'
[13:59:13	]S17/OWS.GHOST-12 entered observer.
[13:59:16	]S17/OWS.GHOST-12 is fully healed.
[13:59:16	]S17/OWS.GHOST-12 exited observer at their location.
[13:59:28	][IC] S17/OWS.GHOST-12: <:: Move! ::>
[13:59:31	][IC] S17/OWS.GHOST-12: <:: Move! ::>
[13:59:36	][IC] S17/OWS.GHOST-12: <:: 10-4. ::>
[13:59:54	][IC] S17/OWS.GHOST-12: <:: Alpha. ::>
[13:59:56	][IC] S17/OWS.GHOST-12: <:: Almost! ::>
[13:59:58	][IC] S17/OWS.GHOST-12: <:: Anti Citizen. ::>
[14:00:01	][IC] S17/OWS.GHOST-12: <:: Anti. ::>
[14:00:04	][IC] S17/OWS.GHOST-12: <:: Citizen. ::>
[14:00:12	][IC] S17/OWS.GHOST-12: <:: Eugh, three parasitics inbound. ::>
[14:00:17	]S17/OWS.GHOST-12 entered observer.
[14:00:18	]S17/OWS.GHOST-12 exited observer at their location.
[14:00:24	][IC] S17/OWS.GHOST-12: <:: Going sharp! ::>
[14:00:27	][IC] S17/OWS.GHOST-12: <:: Attacking 3. ::>
[14:00:30	][IC] S17/OWS.GHOST-12: <:: Attack 3. ::>
[14:00:36	][IC] S17/OWS.GHOST-12: <:: Viscon, viscon! ::>
[14:00:38	][IC] S17/OWS.GHOST-12: <:: Wrap off. ::>
[14:00:43	]S17/OWS.GHOST-12 has lost a '30rnd MP-şarjörü' #33133.
[14:00:43	]S17/OWS.GHOST-12 has gained a '30rnd MP-şarjörü' #33132.
[14:00:49	]S17/OWS.GHOST-12 entered observer.
[14:01:50	]S17/OWS.GHOST-12 exited observer at their location.
[14:01:51	]S17/OWS.GHOST-12 entered observer.
[14:02:10	]S17/OWS.GHOST-12 has used a context menu option with the name: remove
[14:02:14	]S17/OWS.GHOST-12 exited observer at their location.
[14:02:17	]S17/OWS.GHOST-12 ran 'Equip' on item 'Combine PDA' (#30262)
[14:02:54	]S17/OWS.GHOST-12 has spawned 'models/wn/wallhammer.mdl'.
[14:03:06	]S17/OWS.GHOST-12 entered observer.
[14:03:14	]S17/OWS.GHOST-12 exited observer at their location.
[14:03:21	]S17/OWS.GHOST-12 has used a context menu option with the name: remove
[14:03:28	]DavşanAbi has unloaded their "S17/OWS.GHOST-12" character.
[14:03:34	]DavşanAbi loaded the character 'C24.CREMATOR:673'
[14:03:38	]C24.CREMATOR:673 entered observer.
[14:03:39	]C24.CREMATOR:673 exited observer at their location.
[14:04:44	]C24.CREMATOR:673 used command '/CharDesc'.
[14:05:00	]DavşanAbi has unloaded their "C24.CREMATOR:673" character.
[14:05:07	]DavşanAbi loaded the character 'S10:SCN-7'
[14:05:28	]S10:SCN-7 entered observer.
[14:06:32	]S10:SCN-7 used command '/Radio Anti Citizen'.
[14:06:45	]S10:SCN-7 used command '/Dispatch Anti Citizen'.
[14:06:54	]S10:SCN-7 used command '/Dispatch Anti'.
[14:08:01	]S10:SCN-7 has spawned a 'NPC [4876][npc_antlion]'.
[14:08:04	]S10:SCN-7 has used a context menu option with the name: remove
[14:10:21	]DavşanAbi has unloaded their "S10:SCN-7" character.
[14:10:29	]DavşanAbi loaded the character 'Noir Lime'
[14:10:34	]Noir Lime is fully healed.
[14:11:08	]Noir Lime has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[14:11:11	]Noir Lime has performed the 'Craft Parçala: Bitki Saksısı' action, gaining 40 experience in crafting.
[14:11:11	]Noir Lime has gained a 'Cam kırıkları' #41382.
[14:15:59	]Noir Lime has gone afk.
[14:16:19	]Noir Lime is no longer afk. Total time spent AFK: 315
[14:18:52	]Noir Lime has used a context menu option with the name: remove
[14:18:54	]DavşanAbi has unloaded their "Noir Lime" character.
[14:18:58	]DavşanAbi loaded the character 'C24:RL.KING-2'
[14:19:01	]C24:RL.KING-2 entered observer.
[14:19:02	]C24:RL.KING-2 exited observer at their location.
[14:19:15	]C24:RL.KING-2 has given himself a manhack.
[14:19:15	]C24:RL.KING-2 has gained a 'Manhack' #41383.
[14:19:20	]C24:RL.KING-2 ran 'Deploy' on item 'Manhack' (#41383)
[14:19:40	]C24:RL.KING-2 has spawned a 'NPC [4922][npc_zombie]'.
[14:20:07	]C24:RL.KING-2 has given himself a turret_placer.
[14:20:07	]C24:RL.KING-2 has gained a 'Turret Placer' #41384.
[14:20:11	]C24:RL.KING-2 ran 'place' on item 'Turret Placer' (#41384)
[14:20:15	]C24:RL.KING-2 has spawned a 'NPC [4826][npc_antlionguard]'.
[14:20:17	]C24:RL.KING-2 has spawned a 'NPC [4826][npc_zombie]'.
[14:20:26	]C24:RL.KING-2 has used a context menu option with the name: remove
[14:20:31	]C24:RL.KING-2 has used a context menu option with the name: remove
[14:20:32	]C24:RL.KING-2 has used a context menu option with the name: remove
[14:20:32	]C24:RL.KING-2 entered observer.
[14:20:43	]C24:RL.KING-2 has used a context menu option with the name: remove
[14:21:03	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:03	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:03	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:03	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:04	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:04	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:04	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:04	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:04	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:05	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:05	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:05	]C24:RL.KING-2 has fired a toolgun with the name: remover
[14:21:09	]C24:RL.KING-2 exited observer at their location.
[14:21:12	]C24:RL.KING-2 entered observer.
[14:21:21	]C24:RL.KING-2 ran 'Open' on item 'Sivil Koruma Rasyonu' (#28396)
[14:21:21	]C24:RL.KING-2 has gained a 'Metropolice Takviyeleri' #41385.
[14:21:21	]C24:RL.KING-2 has gained a 'Soda Bob Brawn' #41386.
[14:21:21	]C24:RL.KING-2 has gained a '20 Kredi Kuponu' #41387.
[14:21:26	]C24:RL.KING-2 ran 'Consume' on item 'Metropolice Takviyeleri' (#41385)
[14:21:26	]C24:RL.KING-2 has gained a level 3 long boost in Güç.
[14:21:32	]C24:RL.KING-2 ran 'Consume' on item 'Soda Bob Brawn' (#41386)
[14:21:32	]C24:RL.KING-2 has updated their Algı long boost target to 1 (current : 5).
[14:21:32	]C24:RL.KING-2 has gained a level 2 long boost in Çeviklik.
[14:21:40	]C24:RL.KING-2 ran 'use' on item 'Adrenalin' (#40273)
[14:21:40	]C24:RL.KING-2 has gained a level 4 short boost in Çeviklik.
[14:21:41	]C24:RL.KING-2 exited observer at their location.
[14:21:43	]C24:RL.KING-2 is fully healed.
[14:22:07	][IC] C24:RL.KING-2: <:: ,. ::>
[14:22:10	][IC] C24:RL.KING-2: <:: Yürü! ::>
[14:22:14	][IC] C24:RL.KING-2: <:: Biotick. ::>
[14:22:17	][IC] C24:RL.KING-2: <:: Biotic. ::>
[14:22:22	][IC] C24:RL.KING-2: <:: Necrotic. ::>
[14:22:33	]C24:RL.KING-2 entered observer.
[14:22:36	]C24:RL.KING-2 exited observer at their location.
[14:22:37	]C24:RL.KING-2 used the 'Revir Teçhizat Dağıtıcısı (Sadece HELIX içindir)' vendor.
[14:22:51	]C24:RL.KING-2 entered observer.
[14:22:53	]C24:RL.KING-2 exited observer at their location.
[14:22:53	]C24:RL.KING-2 used the 'Durumsal Ekipman Tedarikçisi' vendor.
[14:23:12	]C24:RL.KING-2 used the 'Durumsal Ekipman Dağıtıcısı (RL+ İzni)' vendor.
[14:23:15	]C24:RL.KING-2 used the 'Durumsal Ekipman Dağıtıcısı (RL+ İzni)' vendor.
[14:23:18	]C24:RL.KING-2 entered observer.
[14:23:31	]C24:RL.KING-2 exited observer at their location.
[14:23:33	]C24:RL.KING-2 entered observer.
[14:24:31	]C24:RL.KING-2 exited observer at their location.
[14:24:40	]C24:RL.KING-2 entered observer.
[14:24:46	]C24:RL.KING-2 exited observer at their location.
[14:24:50	]C24:RL.KING-2 entered observer.
[14:24:53	]C24:RL.KING-2 exited observer at their location.
[14:24:53	]C24:RL.KING-2 entered observer.
[14:24:56	]C24:RL.KING-2 exited observer at their location.
[14:24:58	]C24:RL.KING-2 entered observer.
[14:24:58	]C24:RL.KING-2 exited observer at their location.
[14:25:00	]C24:RL.KING-2 entered observer.
[14:25:01	]C24:RL.KING-2 exited observer at their location.
[14:25:02	]C24:RL.KING-2 entered observer.
[14:25:45	]DavşanAbi (STEAM_0:0:100418262) has disconnected.
[15:03:10	]deathguard has connected.
[15:03:29	]Shane Walsh has connected.
[15:04:09	]Shane Walsh loaded the character 'Jonh Marston'
[15:04:20	]Jonh Marston used command '/CharDesc'.
[15:04:42	]Shane Walsh has unloaded their "Jonh Marston" character.
[15:05:29	]Shane Walsh loaded the character 'Jonh Marston'
[15:05:36	]deathguard loaded the character 'Frederic Schopenhauer'
[15:05:41	]Frederic Schopenhauer is fully healed.
[15:05:50	]Jonh Marston ran 'Consume' on item 'Cheesecake' (#38956)
[15:05:50	]Jonh Marston extended their level 3 long boost in Zeka.
[15:05:50	]Jonh Marston has gained a level 5 long boost in Algı.
[15:06:02	]Jonh Marston ran 'Consume' on item 'Premium Breen'in Suyu' (#39021)
[15:06:03	]Jonh Marston has gained a 'Boş Breen'in Suyu' #41388.
[15:06:14	]deathguard loaded the character 'muhamet sofracıbaşı'
[15:06:20	]Jonh Marston ran 'drop' on item 'Tarihi Geçmiş Yapay Macun' (#39416)
[15:06:20	]Jonh Marston has lost a 'Tarihi Geçmiş Yapay Macun' #39416.
[15:06:38	]Jonh Marston used command '/CharDesc'.
[15:07:05	]Shane Walsh has unloaded their "Jonh Marston" character.
[15:07:12	]Shane Walsh loaded the character 'Jonh Marston'
[15:08:09	]muhamet sofracıbaşı has taken 10 damage from worldspawn.
[15:08:12	]muhamet sofracıbaşı has taken 3 damage from worldspawn.
[15:08:42	][IC] Jonh Marston: Hey?
[15:08:47	][IC] muhamet sofracıbaşı: Hey.
[15:08:50	][IC] Jonh Marston: Orda ne yapıyorsun?
[15:08:55	][IC] muhamet sofracıbaşı: Geziyorum.
[15:08:56	][IC] Jonh Marston: Bu yasa dışı.
[15:09:01	][IC] muhamet sofracıbaşı: Yani.
[15:09:04	][IC] Jonh Marston: Aşşa inemni tavsiye ederim.
[15:09:07	][IC] muhamet sofracıbaşı: Hayır.
[15:09:13	][IC] Jonh Marston: Sivil korumalar yakalarsa sorun olabilri?
[15:09:21	][IC] muhamet sofracıbaşı: Yakalasın kaçarım.
[15:09:23	][IC] Jonh Marston: Hemen aşşağu gel.
[15:09:31	][IC] Jonh Marston: Silahları var.
[15:09:40	][ME] Jonh Marston: Adama dikkatlice bakar.
[15:09:41	][IC] muhamet sofracıbaşı: Bende hızlıyım.
[15:09:47	][IC] Jonh Marston: .
[15:11:28	]Shane Walsh has unloaded their "Jonh Marston" character.
[15:11:46	]Shane Walsh loaded the character 'Jonh Marston'
[15:13:01	]Ellie Williams has connected.
[15:13:53	]Jonh Marston used command '/ActSitChair'.
[15:14:01	]muhamet sofracıbaşı ran 'take' on item 'Yapıştırıcı' (#41391)
[15:14:01	]muhamet sofracıbaşı has gained a 'Yapıştırıcı' #41391.
[15:14:04	]muhamet sofracıbaşı ran 'take' on item 'Boş Kavanoz' (#41389)
[15:14:04	]muhamet sofracıbaşı has gained a 'Boş Kavanoz' #41389.
[15:14:04	][ME] Jonh Marston: yorulup oturur
[15:14:10	]muhamet sofracıbaşı ran 'take' on item 'Ahşap Tahta' (#41390)
[15:14:10	]muhamet sofracıbaşı has gained a 'Ahşap Tahta' #41390.
[15:14:26	]Jonh Marston used command '/ExitAct'.
[15:15:35	]Ellie Williams loaded the character 'Aleksander  Jovanovic'
[15:16:04	]Aleksander  Jovanovic used the 'Kaçakçı' smuggler.
[15:16:11	]Jonh Marston ran 'take' on item 'Cam kırıkları' (#41342)
[15:16:11	]Jonh Marston has gained a 'Cam kırıkları' #41342.
[15:16:17	]THE ÖMER has connected.
[15:16:19	]Jonh Marston ran 'drop' on item 'Cam kırıkları' (#41342)
[15:16:19	]Jonh Marston has lost a 'Cam kırıkları' #41342.
[15:16:20	]Aleksander  Jovanovic has gained level 7 in the Hız skill.
[15:16:47	]Aleksander  Jovanovic has taken 63 damage from worldspawn.
[15:16:57	][AltChecker] THE ÖMER joined without a cookie, but matched installation with existing cookie. Certainty 4/5
[15:17:08	]THE ÖMER loaded the character 'Williams  O'Sullivan'
[15:17:13	][ME] Jonh Marston: Yazılan yukarıdaki tabelaya bakar.
[15:17:20	][IC] Jonh Marston: Hm.
[15:17:28	]Williams  O'Sullivan is fully healed.
[15:17:44	]Aleksander  Jovanovic ran 'take' on item 'El Yapımı Bandaj Rulosu' (#39891)
[15:17:44	]Aleksander  Jovanovic has gained a 'El Yapımı Bandaj Rulosu' #39891.
[15:17:45	]Aleksander  Jovanovic ran 'take' on item 'El Yapımı Bandaj Rulosu' (#40622)
[15:17:45	]Aleksander  Jovanovic has gained a 'El Yapımı Bandaj Rulosu' #40622.
[15:17:47	]Aleksander  Jovanovic ran 'take' on item 'Boş Kavanoz' (#41169)
[15:17:47	]Aleksander  Jovanovic has gained a 'Boş Kavanoz' #41169.
[15:17:48	]Aleksander  Jovanovic ran 'take' on item 'El Yapımı Bandaj Rulosu' (#40623)
[15:17:48	]Aleksander  Jovanovic has gained a 'El Yapımı Bandaj Rulosu' #40623.
[15:17:49	]Aleksander  Jovanovic ran 'take' on item 'Gözlükler' (#40644)
[15:17:49	]Aleksander  Jovanovic has gained a 'Gözlükler' #40644.
[15:17:50	]Aleksander  Jovanovic ran 'take' on item 'Boş Breen'in Suyu' (#41207)
[15:17:50	]Aleksander  Jovanovic has gained a 'Boş Breen'in Suyu' #41207.
[15:17:51	]Aleksander  Jovanovic ran 'take' on item 'Boş Breen'in Suyu' (#40978)
[15:17:51	]Aleksander  Jovanovic has gained a 'Boş Breen'in Suyu' #40978.
[15:17:55	]Aleksander  Jovanovic ran 'use' on item 'El Yapımı Bandaj Rulosu' (#39891)
[15:17:55	]Aleksander  Jovanovic has performed the 'Use El Yapımı Bandaj Rulosu' action, gaining 10 experience in medicine.
[15:17:55	]Aleksander  Jovanovic was bandaged by Aleksander  Jovanovic for 12 HP.
[15:18:23	]THE ÖMER (STEAM_0:1:575663749) has disconnected.
[15:18:25	]Aleksander  Jovanovic ran 'take' on item 'Boş Breen'in Suyu' (#41273)
[15:18:25	]Aleksander  Jovanovic has gained a 'Boş Breen'in Suyu' #41273.
[15:18:27	]civilnetworks.net sadscientist has connected.
[15:18:35	]Aleksander  Jovanovic opened the 'Trash Bin' #2829 container.
[15:18:38	]Aleksander  Jovanovic closed the 'Trash Bin' #2829 container.
[15:18:42	]Aleksander  Jovanovic opened the 'Çöp Konteyneri' #4603 container.
[15:18:46	]Aleksander  Jovanovic has gained a 'Kırmızı Tulum' #40641 from a container with the name 'Çöp Konteyneri' #4603.
[15:18:48	]Aleksander  Jovanovic has gained a 'Kahverengi tulum pantolonu' #40802 from a container with the name 'Çöp Konteyneri' #4603.
[15:18:48	][IC] Jonh Marston: Hey.
[15:18:54	]Aleksander  Jovanovic has gained a 'Kahverengi Deri Çizme' #40643 from a container with the name 'Çöp Konteyneri' #4603.
[15:18:55	]Aleksander  Jovanovic closed the 'Çöp Konteyneri' #4603 container.
[15:19:01	][IC] Jonh Marston: Selam.
[15:19:03	][IC] Jonh Marston: Skin ol.
[15:19:11	][IC] Jonh Marston: Sakin*.
[15:19:18	][IC] Jonh Marston: Yok ya.
[15:19:21	][IC] Jonh Marston: Geziyorum ben.
[15:19:27	]civilnetworks.net sadscientist loaded the character 'C24:RCT.UNION-71'
[15:19:31	]muhamet sofracıbaşı ran 'take' on item 'Boş Paket Servis' (#41392)
[15:19:31	]muhamet sofracıbaşı has gained a 'Boş Paket Servis' #41392.
[15:19:32	]C24:RCT.UNION-71 is fully healed.
[15:19:32	][IC] Jonh Marston: Jonh.
[15:19:35	]muhamet sofracıbaşı ran 'take' on item 'Yapıştırıcı' (#41393)
[15:19:35	]muhamet sofracıbaşı has gained a 'Yapıştırıcı' #41393.
[15:19:41	][IC] Jonh Marston: Haha.
[15:19:48	][ME] Jonh Marston: Sarıldım
[15:19:59	]muhamet sofracıbaşı has gained level 9 in the Hız skill.
