[16:13:41	]Jhonny has connected.
[18:04:47	][IC] Alexander Ivanov: Pek totaliter devlet hissi az.
[18:04:52	][IC] Alexander Ivanov: Oyuncuyu arttırmamız lazım.
[18:04:58	][IC] Alexander Ivanov: Onun dışında ev güzel bence.
[18:05:02	][IC] Mona Vax: Reklam ve aktiflikten geçiyor.
[18:05:19	][IC] Mona Vax: And enis doesnt like all what i say.
[18:05:33	][IC] Alexander Ivanov: Senin 180 sosyal krediye ihtiyacın var şuan.
[18:05:43	][IC] Mona Vax: Eet ama kademe 5 olarak gozukuom.
[18:05:51	][IC] Alexander Ivanov: Hmm.
[18:05:54	][IC] Alexander Ivanov: Pekala.
[18:06:00	][IC] Alexander Ivanov: Şey senin ingilizcen iyi demi.
[18:06:14	][IC] Mona Vax: Biraz.
[18:06:19	][IC] Alexander Ivanov: Ya simdi.
[18:06:27	][IC] Mona Vax: Kelime bilgim fazla yok.
[18:06:29	][IC] Alexander Ivanov: Willardın orjinal sunucusunda rol yapacak birini arıyorum beraber.
[18:06:43	][IC] Alexander Ivanov: Karı-koca rolü yapak mi biri karı biri koca olur.
[18:06:48	]Alexander Ivanov entered observer.
[18:06:49	]Alexander Ivanov exited observer at their location.
[18:06:49	]Mona Vax has given himself a collab_coral.
[18:06:49	]Mona Vax has gained a 'Siyah Mercan' #18196.
[18:06:51	]Mona Vax has given himself a torso_brown_suit_jacket.
[18:06:51	]Mona Vax has gained a 'Somon' #18197.
[18:06:57	][IC] Mona Vax: Oh.
[18:06:59	][IC] Mona Vax: *Coughing*.
[18:07:05	][IC] Alexander Ivanov: Eee nerdsin.
[18:07:09	]Alexander Ivanov entered observer.
[18:07:11	]Alexander Ivanov exited observer at their location.
[18:07:22	][IC] Mona Vax: Yakıştı mı.
[18:07:35	][IC] Alexander Ivanov: Eet.
[18:07:39	][IC] Alexander Ivanov: Eskisinden daha ii.
[18:07:45	]Mona Vax ran 'drop' on item 'Somon' (#18197)
[18:07:45	]Mona Vax has lost a 'Somon' #18197.
[18:07:47	]Mona Vax has fired a toolgun with the name: remover
[18:07:53	][IC] Mona Vax: Ahh.
[18:07:59	]Alexander Ivanov used command '/ActSit 5'.
[18:07:59	][IC] Mona Vax: Canım sıkılıyo.
[18:08:01	]Alexander Ivanov used command '/ActSit 8'.
[18:08:02	]Alexander Ivanov used command '/ExitAct'.
[18:08:03	]Mona Vax used command '/ActSit 5'.
[18:08:07	]Mona Vax used command '/ExitAct'.
[18:08:15	][IC] Alexander Ivanov: Ya dedim ya willardın orjinal sunucusunda karı koca rolü yapalım diye.
[18:08:17	][IC] Mona Vax: Sunucuya prop paketi gelse iyi olur.
[18:08:26	][IC] Mona Vax: Bilgisayari kapatacagim simdi.
[18:08:30	][IC] Mona Vax: Bir süreliğine girdim.
[18:08:35	]Mona Vax entered observer.
[18:08:37	][IC] Alexander Ivanov: Bende llatap.
[18:08:38	]Alexander Ivanov entered observer.
[18:08:42	]Alexander Ivanov exited observer at their location.
[18:08:43	]Alexander Ivanov entered observer.
[18:08:43	]Mona Vax exited observer at their location.
[18:08:47	]Alexander Ivanov exited observer at their location.
[18:08:47	]Mona Vax ran 'Use' on item '20 Kredi Kuponu' (#18142)
[18:08:49	]Mona Vax ran 'Use' on item '20 Kredi Kuponu' (#18142)
[18:08:51	]Mona Vax entered observer.
[18:08:51	]Alexander Ivanov has used a context menu option with the name: skin
[18:08:52	]Mona Vax has used a coupon at a ration dispenser, gaining 20 credits.
[18:08:55	]Mona Vax exited observer at their location.
[18:08:57	]Alexander Ivanov has used a context menu option with the name: skin
[18:08:59	]Mona Vax entered observer.
[18:09:01	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:05	]Mona Vax exited observer at their location.
[18:09:05	]Mona Vax entered observer.
[18:09:06	]Mona Vax exited observer at their location.
[18:09:10	][IC] Mona Vax: Senin masa bende eror.
[18:09:13	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:17	][IC] Alexander Ivanov: Banane.
[18:09:22	][IC] Mona Vax: Koy göte.
[18:09:23	]Mona Vax entered observer.
[18:09:28	]Mona Vax exited observer at their location.
[18:09:29	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:34	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:37	]Mona Vax has spawned 'models/c24_exterior/c24_cityposters.mdl'.
[18:09:38	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:42	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_1.mdl'.
[18:09:46	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:51	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:53	]Mona Vax has used a context menu option with the name: skin
[18:09:56	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_2.mdl'.
[18:09:57	]Alexander Ivanov has used a context menu option with the name: skin
[18:09:58	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_3.mdl'.
[18:10:00	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:01	]Mona Vax has spawned 'models/willardnetworks/posters/wn_banner_1.mdl'.
[18:10:03	]Mona Vax has spawned 'models/willardnetworks/posters/wn_banner_2.mdl'.
[18:10:04	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:08	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:09	]Mona Vax has used a context menu option with the name: skin
[18:10:12	]Mona Vax has used a context menu option with the name: skin
[18:10:13	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:15	]Mona Vax has used a context menu option with the name: skin
[18:10:17	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:18	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:10:21	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:26	]Mona Vax entered observer.
[18:10:26	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:30	]Alexander Ivanov has used a context menu option with the name: skin
[18:10:32	]Mona Vax exited observer at their location.
[18:10:33	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:10:44	]Mona Vax has used a context menu option with the name: skin
[18:10:49	]Mona Vax has used a context menu option with the name: skin
[18:10:54	]Mona Vax entered observer.
[18:11:00	]Mona Vax exited observer at their location.
[18:11:05	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:11:13	]Mona Vax has used a context menu option with the name: skin
[18:11:19	]Mona Vax has enabled persistence for 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:11:19	]Mona Vax has used a context menu option with the name: persist
[18:11:23	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:11:25	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_4.mdl'.
[18:11:27	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_3.mdl'.
[18:11:30	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_2.mdl'.
[18:11:32	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_1.mdl'.
[18:11:34	]Mona Vax has spawned 'models/willardnetworks/posters/wn_poster_3.mdl'.
[18:11:39	]Mona Vax has used a context menu option with the name: skin
[18:11:42	]Mona Vax has used a context menu option with the name: skin
[18:11:45	]Mona Vax has used a context menu option with the name: skin
[18:11:49	]Mona Vax has used a context menu option with the name: skin
[18:11:52	]Mona Vax has used a context menu option with the name: skin
[18:11:55	]Mona Vax has used a context menu option with the name: skin
[18:12:01	]Mona Vax has used a context menu option with the name: skin
[18:12:04	]Mona Vax has used a context menu option with the name: skin
[18:12:07	]Mona Vax has used a context menu option with the name: skin
[18:12:09	]Mona Vax has used a context menu option with the name: skin
[18:12:12	]Mona Vax has used a context menu option with the name: skin
[18:12:15	]Mona Vax has used a context menu option with the name: skin
[18:12:18	]Mona Vax has used a context menu option with the name: skin
[18:12:20	]Mona Vax has used a context menu option with the name: skin
[18:12:24	]Mona Vax has used a context menu option with the name: skin
[18:12:29	]Mona Vax has used a context menu option with the name: skin
[18:12:32	]Mona Vax has used a context menu option with the name: skin
[18:12:43	]Mona Vax has enabled persistence for 'models/willardnetworks/posters/wn_poster_3.mdl'.
[18:12:43	]Mona Vax has used a context menu option with the name: persist
[18:12:43	]Mona Vax entered observer.
[18:12:54	][OOC] Mona Vax: bb
[18:12:56	]Wonder Of You (STEAM_0:0:210448252) has disconnected.
[18:14:01	]Alexander Ivanov entered observer.
[18:14:17	]Alexander Ivanov exited observer at their location.
[18:14:27	]Alexander Ivanov entered observer.
[18:14:29	]Alexander Ivanov exited observer at their location.
[18:14:30	]Alexander Ivanov entered observer.
[18:14:33	]Alexander Ivanov exited observer at their location.
[18:14:36	]Alexander Ivanov entered observer.
[18:14:43	]Alexander Ivanov exited observer at their location.
[18:14:46	]Alexander Ivanov entered observer.
[18:15:04	]Alexander Ivanov exited observer at their location.
[18:15:05	]Alexander Ivanov entered observer.
[18:15:12	]Alexander Ivanov has used a context menu option with the name: skin
[18:15:40	]Alexander Ivanov has used a context menu option with the name: skin
[18:15:45	]Alexander Ivanov has enabled persistence for 'models/props_c17/door01_left.mdl'.
[18:15:45	]Alexander Ivanov has used a context menu option with the name: persist
[18:15:50	]Alexander Ivanov exited observer at their location.
[18:15:52	]Alexander Ivanov entered observer.
[18:16:04	]Alexander Ivanov exited observer at their location.
[18:16:06	]Alexander Ivanov entered observer.
[18:16:07	]Alexander Ivanov exited observer at their location.
[18:16:09	]Alexander Ivanov entered observer.
[18:16:10	]Alexander Ivanov exited observer at their location.
[18:16:12	]Alexander Ivanov entered observer.
[18:16:28	]Alexander Ivanov exited observer at their location.
[18:16:31	]Alexander Ivanov entered observer.
[18:16:35	]Alexander Ivanov exited observer at their location.
[18:16:36	]Alexander Ivanov entered observer.
[18:16:37	]Alexander Ivanov exited observer at their location.
[18:16:42	]Alexander Ivanov entered observer.
[18:16:56	]Alexander Ivanov has fired a toolgun with the name: sh_textadd
[18:17:01	]Alexander Ivanov has removed their last 3D text.
[18:17:02	]Alexander Ivanov has fired a toolgun with the name: sh_textadd
[18:17:08	]Alexander Ivanov exited observer at their location.
[18:17:13	]Alexander Ivanov entered observer.
[18:17:14	]Alexander Ivanov exited observer at their location.
[18:17:20	]Alexander Ivanov entered observer.
[18:17:30	]Alexander Ivanov exited observer at their location.
[18:17:36	]Alexander Ivanov entered observer.
[18:17:55	]Alexander Ivanov exited observer at their location.
[18:18:12	]Alexander Ivanov has spawned a paper.
[18:18:16	]Alexander Ivanov has spawned a pin.
[18:18:22	]Alexander Ivanov ran 'Write' on item 'Kağıt' (#18198)
[18:18:52	]Hoo Lee Fuk has connected.
[18:21:40	]Hoo Lee Fuk loaded the character 'John Brookly'
[18:21:45	]John Brookly is fully healed.
[18:22:32	]John Brookly used command '/ActSit'.
[18:22:59	]Alexander Ivanov ran 'take' on item 'Kağıt' (#18198)
[18:22:59	]Alexander Ivanov has gained a 'Kağıt' #18198.
[18:23:04	]Alexander Ivanov ran 'take' on item 'İğne' (#18199)
[18:23:04	]Alexander Ivanov has gained a 'İğne' #18199.
[18:23:05	]Alexander Ivanov entered observer.
[18:23:09	]Alexander Ivanov exited observer at their location.
[18:23:19	]Alexander Ivanov ran 'Write' on item 'Kağıt' (#18198)
[18:23:52	]John Brookly used command '/ExitAct'.
[18:23:53	]Alexander Ivanov ran 'Pin' on item 'İğne' (#18199)
[18:23:57	]Alexander Ivanov ran 'drop' on item 'Kol Bandını giy.' (#18198)
[18:23:57	]Alexander Ivanov has lost a 'Kol Bandını giy.' #18198.
[18:23:58	]John Brookly ran 'Write' on item 'Kol Bandını giy.' (#18198)
[18:24:06	][IC] John Brookly: Bu ne.
[18:24:13	]Alexander Ivanov ran 'Pin' on item 'İğne' (#18199)
[18:24:18	]John Brookly ran 'Write' on item 'Kol Bandını giy.' (#18198)
[18:24:18	][IC] Alexander Ivanov: Propaganda.
[18:24:25	][IC] John Brookly: Hm.
[18:24:51	]Alexander Ivanov has used a context menu option with the name: skin
[18:24:54	]Alexander Ivanov has used a context menu option with the name: skin
[18:24:58	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:00	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:05	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:08	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:11	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:14	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:18	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:21	]Alexander Ivanov has used a context menu option with the name: skin
[18:25:29	]Alexander Ivanov entered observer.
[18:25:30	]Alexander Ivanov exited observer at their location.
[18:26:12	][IC] John Brookly: Bandada kağıtla iğne versene.
[18:26:15	][IC] John Brookly: Birkaç şey yazayım.
[18:26:23	][IC] Alexander Ivanov: Ne yazacaksın.
[18:26:25	]Alexander Ivanov has spawned a paper.
[18:26:26	]Alexander Ivanov has spawned a pin.
[18:26:28	][IC] John Brookly: Propaganda.
[18:26:32	]John Brookly ran 'take' on item 'İğne' (#18201)
[18:26:32	]John Brookly has gained a 'İğne' #18201.
[18:26:32	][IC] Alexander Ivanov: Tamamdır.
[18:26:33	]John Brookly ran 'take' on item 'Kağıt' (#18200)
[18:26:33	]John Brookly has gained a 'Kağıt' #18200.
[18:26:43	]Alexander Ivanov has spawned 'models/willardnetworks/posters/wn_poster_1.mdl'.
[18:26:46	]Alexander Ivanov has spawned 'models/willardnetworks/posters/wn_poster_2.mdl'.
[18:26:48	]Alexander Ivanov has spawned 'models/willardnetworks/posters/wn_poster_3.mdl'.
[18:26:51	]Alexander Ivanov has spawned 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:26:58	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:00	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:02	]John Brookly ran 'Write' on item 'Kağıt' (#18200)
[18:27:03	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:05	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:08	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:11	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:15	]Alexander Ivanov has enabled persistence for 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:27:15	]Alexander Ivanov has used a context menu option with the name: persist
[18:27:21	]Alexander Ivanov has spawned 'models/props_junk/garbage256_composite002b.mdl'.
[18:27:25	]Alexander Ivanov has spawned 'models/props_junk/garbage128_composite001a.mdl'.
[18:27:30	]Alexander Ivanov has enabled persistence for 'models/props_junk/garbage128_composite001a.mdl'.
[18:27:30	]Alexander Ivanov has used a context menu option with the name: persist
[18:27:33	]Alexander Ivanov has disabled persistence for 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:27:33	]Alexander Ivanov has used a context menu option with the name: persist_end
[18:27:34	]Alexander Ivanov has used a context menu option with the name: persist_end
[18:27:48	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:52	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:53	][IC] John Brookly: Baksana.
[18:27:54	]Alexander Ivanov has used a context menu option with the name: skin
[18:27:57	]John Brookly ran 'drop' on item 'Combine ile İşbirliği, Huzur ve Güve' (#18200)
[18:27:57	]John Brookly has lost a 'Combine ile İşbirliği, Huzur ve Güve' #18200.
[18:28:02	]Alexander Ivanov ran 'Write' on item 'Combine ile İşbirliği, Huzur ve Güve' (#18200)
[18:28:02	]John Brookly ran 'Write' on item 'Combine ile İşbirliği, Huzur ve Güve' (#18200)
[18:28:23	]John Brookly ran 'Write' on item 'Combine ile İşbirliği,Huzur ve Güven' (#18200)
[18:28:30	][IC] Alexander Ivanov: Yazı fontunu mümkünse değiştir.
[18:28:34	]John Brookly ran 'Write' on item 'Combine ile İşbirliği,Huzur ve Güven' (#18200)
[18:28:44	][IC] Alexander Ivanov: Sona hangi departmanın bunu bastığını yaz.
[18:28:47	][IC] Alexander Ivanov: Onun dışında hoş.
[18:28:54	][IC] John Brookly: Yazı fontunu nasıl değiştireceğim bilmiyorum.
[18:28:57	]Alexander Ivanov has enabled persistence for 'models/willardnetworks/posters/wn_poster_5.mdl'.
[18:28:57	]Alexander Ivanov has used a context menu option with the name: persist
[18:28:58	]John Brookly ran 'Write' on item 'Combine ile İşbirliği,Huzur ve Güven' (#18200)
[18:29:01	][IC] Alexander Ivanov: O halde kalsın.
[18:29:11	][IC] Alexander Ivanov: Herkesin görebileceği bir yere as bunu.
[18:29:13	][IC] John Brookly: Hangi depertman.
[18:29:18	]Alexander Ivanov has used a context menu option with the name: remove
[18:29:20	][IC] John Brookly: ?
[18:29:21	]Alexander Ivanov has disabled persistence for 'models/props_trainstation/bench_indoor001a.mdl'.
[18:29:21	]Alexander Ivanov has used a context menu option with the name: persist_end
[18:29:25	][IC] Alexander Ivanov: BHİD olabilir.
