[15:08:05	]Ender has connected.
[15:11:58	]S10/OWS.GHOST-93 ran 'take' on item 'Onarım Kaplaması' (#61882)
[15:11:58	]S10/OWS.GHOST-93 has gained a 'Onarım Kaplaması' #61882.
[15:13:16	]Ender has unloaded their "S10/OWS.GHOST-93" character.
[15:15:51	]Ender loaded the character 'Wilson Dawson'
[15:16:28	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[15:16:40	]hAnteiX has connected.
[15:18:00	]Wilson Dawson opened the 'Çöp Konteyneri' #5552 container.
[15:18:03	]Wilson Dawson closed the 'Çöp Konteyneri' #5552 container.
[15:18:15	]hAnteiX loaded the character 'C45:RCT.YELLO-32'
[15:18:16	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[15:18:21	]CharlieB0y has connected.
[15:18:26	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[15:18:52	][IC] Wilson Dawson: Merhabalar beyaz beyefendi.
[15:19:01	][AltChecker] CharlieB0y joined for the first time, generating new cookie.
[15:19:26	]hAnteiX has unloaded their "C45:RCT.YELLO-32" character.
[15:19:33	]hAnteiX loaded the character 'Çakır Çakar'
[15:19:41	]Wilson Dawson used command '/PM çakır dc gel'.
[15:20:46	]hAnteiX has unloaded their "Çakır Çakar" character.
[15:20:53	]hAnteiX loaded the character 'C45:RCT.YELLO-32'
[15:21:23	]C45:RCT.YELLO-32 ran 'drop' on item 'Stunstick' (#62105)
[15:21:23	]C45:RCT.YELLO-32 has lost a 'Stunstick' #62105.
[15:21:45	]C45:RCT.YELLO-32 ran 'take' on item 'Stunstick' (#62105)
[15:21:45	]C45:RCT.YELLO-32 has gained a 'Stunstick' #62105.
[15:21:49	]C45:RCT.YELLO-32 ran 'Equip' on item 'Stunstick' (#62105)
[15:21:54	][IC] Wilson Dawson: Merhabalar beyazi beyefendi.
[15:21:58	][IC] Wilson Dawson: Evimden ahlama sesleri geliyor.
[15:22:02	][IC] C45:RCT.YELLO-32: <:: Gidelim? ::>
[15:22:13	][IC] C45:RCT.YELLO-32: <:: Hassiktir! ::>
[15:22:16	][IC] C45:RCT.YELLO-32: <:: Temiz. 647 yok, 10-107 yok. ::>
[15:22:22	][IC] C45:RCT.YELLO-32: <:: 10-4. ::>
[15:22:22	]CharlieB0y (STEAM_0:0:644073581) has disconnected.
[15:22:26	][IC] C45:RCT.YELLO-32: <:: Hassiktir! ::>
[15:22:36	]Krandlin has connected.
[15:22:38	][IC] Wilson Dawson: Burdan.
[15:22:42	][IC] C45:RCT.YELLO-32: <:: Tamamdır. ::>
[15:22:44	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[15:22:46	]Wilson Dawson has gained level 8 in the Yakın Dövüş skill.
[15:22:46	]Wilson Dawson has hit C45:RCT.YELLO-32 dealing 18 damage (CritChance was 0.12).
[15:22:46	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[15:22:48	]Wilson Dawson has hit C45:RCT.YELLO-32 in the chest dealing 18 damage (CritChance was 0.14).
[15:22:48	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[15:22:50	][IC] C45:RCT.YELLO-32: <:: Hassiktir! ::>
[15:22:52	]Wilson Dawson has critically hit C45:RCT.YELLO-32 dealing 80 damage (CritChance was 0.23).
[15:22:52	]C45:RCT.YELLO-32 was knocked unconscious and is bleeding out.
[15:22:58	]Wilson Dawson has hit C45:RCT.YELLO-32 in the left leg dealing 45 damage (CritChance was 0.23).
[15:22:58	]C45:RCT.YELLO-32 was killed while bleeding out.
[15:22:58	]Wilson Dawson has killed C45:RCT.YELLO-32 with player.
[15:22:58	]C45:RCT.YELLO-32 has dropped: SK Maskesi (#61959); Boş CID Kartı (#62104); Stunstick (#62105); Çuval (#62090); Çuval (#62091); 9x Lastik Kelepçe (#62092); Sigara (#55414); 1x Bez Paçavralar (#65292); 30x 9mm Tabanca Mermisi (#64379); El Feneri (#62106); Combine Filter (#62089); Identity Card Creation Device (#62102); SK Üniforması (#61958); 1x Demir (#65474);
[15:22:59	]Wilson Dawson opened the 'Dropped Items' #6300 container.
[15:22:59	]Wilson Dawson closed the 'Dropped Items' #6300 container.
[15:23:00	]Wilson Dawson opened the 'Dropped Items' #6300 container.
[15:23:07	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:23:08	]Wilson Dawson ran 'drop' on item 'Tıbbi Direnişçi Üniforması' (#65534)
[15:23:08	]Wilson Dawson has lost a 'Tıbbi Direnişçi Üniforması' #65534.
[15:23:10	]Wilson Dawson has gained a 'Hasarlı SK Üniforması' #65588 from a container with the name 'Dropped Items' #6300.
[15:23:12	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:23:15	]Wilson Dawson ran 'drop' on item 'El Yapımı Bandaj Rulosu' (#65576)
[15:23:15	]Wilson Dawson has lost a 'El Yapımı Bandaj Rulosu' #65576.
[15:23:15	]Wilson Dawson ran 'drop' on item 'El Yapımı Bandaj Rulosu' (#65579)
[15:23:15	]Wilson Dawson has lost a 'El Yapımı Bandaj Rulosu' #65579.
[15:23:17	]Wilson Dawson has gained a 'SK Maskesi' #61959 from a container with the name 'Dropped Items' #6300.
[15:23:21	]C45:RCT.YELLO-32 has gained a 'SK Üniforması' #65589.
[15:23:23	]Wilson Dawson closed the 'Dropped Items' #6300 container.
[15:23:25	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[15:23:26	]Wilson Dawson opened the 'Dropped Items' #6300 container.
[15:23:28	]C45:RCT.YELLO-32 has gained a 'SK Maskesi' #65590.
[15:23:28	]Wilson Dawson has gained a 'Stunstick' #62105 from a container with the name 'Dropped Items' #6300.
[15:23:31	]Wilson Dawson has gained a 'Lastik Kelepçe' #62092 from a container with the name 'Dropped Items' #6300.
[15:23:32	]Wilson Dawson has gained a '9mm Tabanca Mermisi' #64379 from a container with the name 'Dropped Items' #6300.
[15:23:33	]Wilson Dawson closed the 'Dropped Items' #6300 container.
[15:23:40	]Wilson Dawson has gained level 13 in the Hız skill.
[15:23:51	]C45:RCT.YELLO-32 has gained a 'Combine Filter' #65591.
[15:23:58	]Wilson Dawson ran 'drop' on item 'Levye' (#64468)
[15:23:58	]Wilson Dawson has lost a 'Levye' #64468.
[15:24:00	]Wilson Dawson ran 'take' on item 'Levye' (#64468)
[15:24:00	]Wilson Dawson has gained a 'Levye' #64468.
[15:24:03	]C45:RCT.YELLO-32 has gained a 'Çuval' #65592.
[15:24:04	]C45:RCT.YELLO-32 has gained a 'Çuval' #65593.
[15:24:59	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[15:25:07	]Krandlin loaded the character 'Herald Zenman'
[15:25:14	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[15:25:16	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[15:25:19	]C45:RCT.YELLO-32 opened the 'Çöp Kutusu' #6272 container.
[15:25:20	]C45:RCT.YELLO-32 closed the 'Çöp Kutusu' #6272 container.
[15:25:22	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:25:36	]C45:RCT.YELLO-32 ran 'drop' on item 'SK Üniforması' (#65589)
[15:25:36	]C45:RCT.YELLO-32 has lost a 'SK Üniforması' #65589.
[15:25:40	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:25:43	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[15:25:47	]C45:RCT.YELLO-32 has gained a 'SK Üniforması' #65594.
[15:25:54	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[15:26:14	]CharlieB0y has connected.
[15:26:22	]Wilson Dawson has hit Herald Zenman dealing 45 damage (CritChance was 0.14).
[15:26:22	]Herald Zenman has taken 45 damage from Wilson Dawson.
[15:26:25	]Wilson Dawson has hit Herald Zenman dealing 45 damage (CritChance was 0.23).
[15:26:25	]Herald Zenman has taken 45 damage from Wilson Dawson.
[15:26:28	]Wilson Dawson has hit Herald Zenman dealing 45 damage (CritChance was 0.23).
[15:26:28	]Herald Zenman was knocked unconscious and is bleeding out.
[15:26:42	]Wilson Dawson ran 'give' on item 'Cerrahi Kit' (#65578)
[15:26:42	]Wilson Dawson has performed the 'Use Cerrahi Kit' action, gaining 120 experience in medicine.
[15:26:42	]Herald Zenman was disinfected by Wilson Dawson for 336 seconds.
[15:26:42	]Herald Zenman's bleeding was stopped by Wilson Dawson.
[15:26:42	]Herald Zenman was bandaged by Wilson Dawson for 78 HP.
[15:26:43	]Wilson Dawson ran 'give' on item 'Cerrahi Kit' (#65578)
[15:26:43	]Wilson Dawson has performed the 'Use Cerrahi Kit' action, gaining 55 experience in medicine.
[15:26:43	]Herald Zenman was disinfected by Wilson Dawson for 336 seconds.
[15:26:43	]Herald Zenman was bandaged by Wilson Dawson for 78 HP.
[15:26:43	]Wilson Dawson ran 'give' on item 'Cerrahi Kit' (#65578)
[15:26:43	]Herald Zenman was disinfected by Wilson Dawson for 336 seconds.
[15:26:43	]Herald Zenman was bandaged by Wilson Dawson for 78 HP.
[15:26:43	]C45:RCT.YELLO-32 ran 'Equip' on item 'Combine Filter' (#65591)
[15:26:43	]Wilson Dawson has gained a 'Dikişli Kumaş' #65595.
[15:26:50	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:26:53	]C45:RCT.YELLO-32 has gained a 'El Feneri' #65596.
[15:26:56	]C45:RCT.YELLO-32 has gained a 'Stunstick' #65597.
[15:26:59	]Wilson Dawson ran 'Unlock' on item 'Daire Anahtarı' (#64417)
[15:27:03	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:27:09	]Wilson Dawson ran 'Lock' on item 'Daire Anahtarı' (#64417)
[15:27:10	]Herald Zenman used command '/CharGetUp'.
[15:27:18	]Wilson Dawson ran 'Equip' on item 'Stunstick' (#62105)
[15:27:21	]C45:RCT.YELLO-32 has gained a 'Identity Card Creation Device' #65598.
[15:27:22	]C45:RCT.YELLO-32 has gained a 'Boş CID Kartı' #65599.
[15:27:23	][ME] Herald Zenman: totosu açıktır
[15:27:26	]Herald Zenman used command '/CharGetUp'.
[15:27:27	]Herald Zenman is no longer unconscious from critical wounds.
[15:27:32	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[15:27:33	]Wilson Dawson ran 'Equip' on item 'Stunstick' (#62105)
[15:27:37	]Herald Zenman was just knocked out due to: hit by stunstick owned by Wilson Dawson
[15:27:42	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:27:47	]Herald Zenman used command '/CharGetUp'.
[15:27:47	]C45:RCT.YELLO-32 ran 'Equip' on item 'Stunstick' (#65597)
[15:27:52	]Wilson Dawson ran 'EquipUn' on item 'Stunstick' (#62105)
[15:27:53	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[15:27:58	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:27:59	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:01	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:02	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:04	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:05	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:05	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:06	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:07	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:09	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:09	]Herald Zenman has taken 5 damage from Wilson Dawson.
[15:28:10	]Herald Zenman was knocked unconscious and is bleeding out.
[15:28:11	]Herald Zenman was killed while bleeding out.
[15:28:11	]Wilson Dawson has killed Herald Zenman with ix_hands.
[15:28:11	]Herald Zenman has dropped: Breen'in Suyu (#65483); Açık Gri Kol Bandı (#65476); Kırmızı tulum pantolonu (#65479); Kahverengi Deri Çizme (#65480); Yapay Macun (#65482); Yeşil Direnişçi Üniforması (#60350); 1x Yapıştırıcı (#65490);
[15:28:13	]Wilson Dawson opened the 'Dropped Items' #6301 container.
[15:28:16	]Wilson Dawson closed the 'Dropped Items' #6301 container.
[15:28:20	]Wilson Dawson ran 'Unlock' on item 'Daire Anahtarı' (#64417)
[15:28:24	]Wilson Dawson ran 'Lock' on item 'Daire Anahtarı' (#64417)
[15:28:28	]Wilson Dawson ran 'EquipUn' on item 'Levye' (#64468)
[15:29:08	]Herald Zenman has gained level 2 in the Hız skill.
[15:29:18	]Herald Zenman has gained level 3 in the Hız skill.
[15:29:31	]Herald Zenman ran 'take' on item 'El Yapımı Bandaj Rulosu' (#65579)
[15:29:31	]Herald Zenman has gained a 'El Yapımı Bandaj Rulosu' #65579.
[15:29:33	]Herald Zenman ran 'take' on item 'El Yapımı Bandaj Rulosu' (#65576)
[15:29:33	]Herald Zenman has gained a 'El Yapımı Bandaj Rulosu' #65576.
[15:29:35	]Herald Zenman opened the 'Dropped Items' #6300 container.
[15:29:38	]Herald Zenman has gained a 'El Feneri' #62106 from a container with the name 'Dropped Items' #6300.
[15:29:39	]Herald Zenman has gained a 'Sigara' #55414 from a container with the name 'Dropped Items' #6300.
[15:29:43	]Herald Zenman has gained a 'Boş CID Kartı' #62104 from a container with the name 'Dropped Items' #6300.
[15:29:45	]Herald Zenman has gained a 'Combine Filter' #62089 from a container with the name 'Dropped Items' #6300.
[15:29:48	]Herald Zenman has gained a 'Identity Card Creation Device' #62102 from a container with the name 'Dropped Items' #6300.
[15:29:50	]Herald Zenman has gained a 'Çuval' #62091 from a container with the name 'Dropped Items' #6300.
[15:29:51	]Herald Zenman has gained a 'Çuval' #62090 from a container with the name 'Dropped Items' #6300.
[15:29:51	]Herald Zenman closed the 'Dropped Items' #6300 container.
[15:29:57	][IC] C45:RCT.YELLO-32: <:: Vatandaş. ::>
[15:29:59	][IC] C45:RCT.YELLO-32: <:: KOŞMA. ::>
[15:30:00	][IC] C45:RCT.YELLO-32: <:: Yürü! ::>
[15:30:02	][IC] C45:RCT.YELLO-32: <:: Şimdi. ::>
[15:30:24	]C45:RCT.YELLO-32 has changed C45:RCT.YELLO-32's bodygroups.
[15:30:24	]Herald Zenman ran 'CreateIDTarget' on item 'Identity Card Creation Device' (#62102)
[15:30:30	]Herald Zenman ran 'CreateIDSelf' on item 'Identity Card Creation Device' (#62102)
[15:30:31	]CharlieB0y (STEAM_0:0:644073581) has disconnected.
[15:30:33	]Herald Zenman ran 'drop' on item 'Boş CID Kartı' (#62104)
[15:30:33	]Herald Zenman has lost a 'Boş CID Kartı' #62104.
[15:30:34	]Herald Zenman ran 'drop' on item 'Identity Card Creation Device' (#62102)
[15:30:34	]Herald Zenman has lost a 'Identity Card Creation Device' #62102.
[15:30:38	]Herald Zenman ran 'drop' on item 'Çuval' (#62090)
[15:30:38	]Herald Zenman has lost a 'Çuval' #62090.
[15:30:38	]Herald Zenman ran 'drop' on item 'Çuval' (#62091)
[15:30:38	]Herald Zenman has lost a 'Çuval' #62091.
[15:30:46	]C45:RCT.YELLO-32 used command '/Doorkick'.
[15:30:53	][IC] C45:RCT.YELLO-32: <:: DUVARA. ::>
[15:31:09	][ME] C45:RCT.YELLO-32: ÜSTÜNÜ SERTÇE ARAR
[15:31:15	][ME] Herald Zenman: sakince bekler
[15:31:18	][ME] C45:RCT.YELLO-32: direnirmi?
[15:31:24	][ME] Herald Zenman: hayır
[15:31:27	]Herald Zenman ran 'drop' on item 'Combine Filter' (#62089)
[15:31:27	]Herald Zenman has lost a 'Combine Filter' #62089.
[15:31:29	]C45:RCT.YELLO-32 used command '/CharSearch'.
[15:31:35	]C45:RCT.YELLO-32 has gained a 'El Yapımı Bandaj Rulosu' #65576 from a container with the name 'Herald Zenman' #6292.
[15:31:37	]C45:RCT.YELLO-32 has gained a 'El Yapımı Bandaj Rulosu' #65579 from a container with the name 'Herald Zenman' #6292.
[15:31:39	]Herald Zenman ran 'take' on item 'Combine Filter' (#62089)
[15:31:39	]Herald Zenman has gained a 'Combine Filter' #62089.
[15:31:45	][IC] C45:RCT.YELLO-32: <:: Benimle geliyorsun. ::>
[15:31:56	][IC] C45:RCT.YELLO-32: <:: Düş önüme. ::>
[15:32:08	][IC] C45:RCT.YELLO-32: <:: Yürü! ::>
[15:32:12	][IC] C45:RCT.YELLO-32: <:: Gel. ::>
[15:32:17	]Ellie Williams has connected.
[15:32:19	][IC] C45:RCT.YELLO-32: <:: Haha. ::>
[15:32:28	][IC] C45:RCT.YELLO-32: <:: Arkana bakma. ::>
[15:32:32	][IC] C45:RCT.YELLO-32: <:: Vatandaş. ::>
[15:32:43	][IC] C45:RCT.YELLO-32: <:: Bandaj bulundurmak yasak. ::>
[15:32:58	][IC] C45:RCT.YELLO-32: <:: Duvara. ::>
[15:33:04	]C45:RCT.YELLO-32 ran 'Use' on item 'Çuval' (#65592)
[15:33:10	][IC] C45:RCT.YELLO-32: <:: Bekle burada. ::>
[15:33:16	][IC] C45:RCT.YELLO-32: <:: Hele bir gittiğini göreyim. ::>
[15:33:27	][IC] C45:RCT.YELLO-32: <:: Götüne elektirikli jopla tarife uygularım. ::>
[15:33:34	]Herald Zenman ran 'drop' on item 'Combine Filter' (#62089)
[15:33:34	]Herald Zenman has lost a 'Combine Filter' #62089.
[15:33:41	]Wilson Dawson ran 'take' on item 'Combine Filter' (#62089)
[15:33:41	]Wilson Dawson has gained a 'Combine Filter' #62089.
[15:33:43	]C45:RCT.YELLO-32 opened the 'Çöp Kutusu' #5728 container.
[15:33:45	]C45:RCT.YELLO-32 closed the 'Çöp Kutusu' #5728 container.
[15:34:15	][IC] C45:RCT.YELLO-32: <:: SANA NE DEDİM. ::>
[15:34:21	][IC] C45:RCT.YELLO-32: <:: HATIRLIYORSUN DEĞİLMİ. ::>
[15:34:24	][IC] C45:RCT.YELLO-32: <:: VUR DEDİMMİ? ::>
[15:34:29	][IC] C45:RCT.YELLO-32: <:: SİKTİĞİMİN SALAĞI. ::>
[15:34:34	][IC] C45:RCT.YELLO-32: <:: AYRILMA. ::>
[15:34:38	][IC] C45:RCT.YELLO-32: <:: DUVARDAN BAŞKA YERE. ::>
[15:34:42	][IC] C45:RCT.YELLO-32: <:: ARKANI DÖN. ::>
[15:34:43	][IC] C45:RCT.YELLO-32: <:: Şimdi. ::>
[15:35:03	][LOOC] Herald Zenman: göt ender ya
[15:35:08	][LOOC] Wilson Dawson: ŞLKGŞLADFKGŞLAFKGLŞAFD
[15:35:19	][LOOC] Herald Zenman: 2 dakikada vatan haini oldum
[15:35:25	]Connordpd has connected.
[15:35:26	][LOOC] Wilson Dawson: senide ben öldürdüm az önce amk gakldfglşkadf
[15:35:38	]C45:RCT.YELLO-32 used the 'Sivil Koruma Tedarikçisi' vendor.
[15:35:38	][LOOC] Herald Zenman: unutulmadu endeeeer
[15:35:42	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65600.
[15:35:42	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65601.
[15:35:43	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65602.
[15:35:44	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65603.
[15:35:44	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65604.
[15:35:45	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65605.
[15:35:45	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65606.
[15:35:46	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65607.
[15:35:47	]C45:RCT.YELLO-32 has gained a 'Lastik Kelepçe' #65608.
[15:35:49	]Herald Zenman has taken 5 damage from ix_item.
[15:35:50	]Ellie Williams (STEAM_0:0:674670748) has disconnected (timed out).
[15:35:55	][AltChecker] Connordpd joined for the first time, generating new cookie.
[15:36:06	]Wilson Dawson ran 'Equip' on item 'Stunstick' (#62105)
[15:36:14	]Herald Zenman was just knocked out due to: hit by stunstick owned by Wilson Dawson
[15:36:17	]Wilson Dawson ran 'EquipUn' on item 'Stunstick' (#62105)
[15:36:28	]Herald Zenman used command '/CharGetUp'.
[15:36:29	]Herald Zenman used command '/CharGetUp'.
[15:36:39	][IC] C45:RCT.YELLO-32: <:: GERİKALI. ::>
[15:36:41	][ME] Herald Zenman: kafasından kan akıyordur
[15:36:50	][LOOC] Wilson Dawson: lan stun attım kanayamaz kafan
[15:36:54	][IC] C45:RCT.YELLO-32: <:: GERİZKALI SENİ. ::>
[15:36:59	][LOOC] Herald Zenman: sus drama queen lik yapıyom
[15:37:00	]Wilson Dawson opened the 'Dropped Items' #6284 container.
[15:37:01	]Wilson Dawson closed the 'Dropped Items' #6284 container.
[15:37:05	][ME] C45:RCT.YELLO-32: Kafasını kontrol eder
[15:37:13	][ME] C45:RCT.YELLO-32: kafasının durumu nedir?
[15:37:27	][ME] Herald Zenman: orta derece morluk ve kan vardır
[15:37:34	][IC] C45:RCT.YELLO-32: <:: Ne oldu lan sana. ::>
[15:37:46	][IC] C45:RCT.YELLO-32: <:: Duvara. ::>
[15:37:48	]Herald Zenman opened the 'Dropped Items' #6284 container.
[15:37:49	]Herald Zenman closed the 'Dropped Items' #6284 container.
[15:37:53	][IC] C45:RCT.YELLO-32: <:: Sende duvara. ::>
[15:37:54	][IC] C45:RCT.YELLO-32: <:: Şimdi. ::>
[15:38:00	]Wilson Dawson ran 'Equip' on item 'Levye' (#64468)
[15:38:03	]Wilson Dawson has hit C45:RCT.YELLO-32 dealing 18 damage (CritChance was 0.15).
[15:38:03	]C45:RCT.YELLO-32 has taken 18 damage from Wilson Dawson.
[15:38:03	]C45:RCT.YELLO-32 is fully healed.
[15:38:04	]Wilson Dawson was just knocked out due to: hit by stunstick owned by C45:RCT.YELLO-32
[15:38:05	]Wilson Dawson used command '/CharGetUp'.
[15:38:09	][LOOC] Wilson Dawson: la stun açma
[15:38:10	][IC] C45:RCT.YELLO-32: <:: Mal işte aq. ::>
[15:38:12	]Wilson Dawson used command '/CharGetUp'.
[15:38:22	][LOOC] Wilson Dawson: hanteix stun açma amk
[15:38:23	][IC] C45:RCT.YELLO-32: <:: Arkanı dön sadece. ::>
[15:38:25	]Wilson Dawson used command '/CharGetUp'.
[15:38:25	]Wilson Dawson used command '/CharGetUp'.
[15:38:26	]Wilson Dawson used command '/CharGetUp'.
[15:38:29	][LOOC] C45:RCT.YELLO-32: elim akydı
[15:38:30	]Wilson Dawson used command '/CharGetUp'.
[15:38:30	]Wilson Dawson used command '/CharGetUp'.
[15:38:31	]Wilson Dawson used command '/CharGetUp'.
[15:38:34	][LOOC] Herald Zenman: ENDER YARRAMI
[15:38:34	][IC] C45:RCT.YELLO-32: <:: Açıkcası. ::>
[15:38:35	][LOOC] Wilson Dawson: kaldır baştan .d
[15:38:35	]Wilson Dawson used command '/CharGetUp'.
[15:38:36	]Wilson Dawson used command '/CharGetUp'.
[15:38:37	]Wilson Dawson used command '/CharGetUp'.
[15:38:37	]Wilson Dawson used command '/CharGetUp'.
[15:38:37	][IC] C45:RCT.YELLO-32: <:: Pek suçun yok. ::>
[15:38:38	]Wilson Dawson used command '/CharGetUp'.
[15:38:39	]Wilson Dawson used command '/CharGetUp'.
[15:38:39	]Wilson Dawson used command '/CharGetUp'.
[15:38:40	]Wilson Dawson used command '/CharGetUp'.
[15:38:40	][IC] C45:RCT.YELLO-32: <:: Sadece. ::>
[15:38:41	]Wilson Dawson used command '/CharGetUp'.
[15:38:41	]Wilson Dawson used command '/CharGetUp'.
[15:38:42	]Wilson Dawson used command '/CharGetUp'.
[15:38:43	]Wilson Dawson used command '/CharGetUp'.
[15:38:47	][IC] C45:RCT.YELLO-32: <:: Sadakat puanı kırmam gerek. ::>
[15:38:50	][LOOC] Wilson Dawson: kaldır beni baştan amq stun açtın
[15:38:51	]Wilson Dawson used command '/CharGetUp'.
[15:38:52	][IC] C45:RCT.YELLO-32: <:: Evinide aramam gerek. ::>
[15:38:53	]Wilson Dawson used command '/CharGetUp'.
[15:38:53	]Wilson Dawson used command '/CharGetUp'.
[15:38:54	]Wilson Dawson used command '/CharGetUp'.
[15:38:59	]Wilson Dawson used command '/CharGetUp'.
[15:39:01	]Wilson Dawson used command '/CharGetUp'.
[15:39:04	]Wilson Dawson used command '/CharGetUp'.
[15:39:04	]Wilson Dawson used command '/CharGetUp'.
[15:39:09	]Wilson Dawson has critically hit C45:RCT.YELLO-32 in the chest dealing 80 damage (CritChance was 0.15).
[15:39:09	]C45:RCT.YELLO-32 has taken 80 damage from Wilson Dawson.
[15:39:15	]Wilson Dawson has taken 5 damage from Herald Zenman.
[15:39:15	]Herald Zenman has damaged Wilson Dawson, dealing 5 with ix_hands
[15:39:25	]Wilson Dawson has gained level 14 in the Hız skill.
[15:39:29	]Wilson Dawson has critically hit Herald Zenman dealing 80 damage (CritChance was 0.25).
[15:39:29	]Herald Zenman has taken 80 damage from Wilson Dawson.
[15:39:32	]Wilson Dawson has hit Herald Zenman dealing 18 damage (CritChance was 0.25).
[15:39:32	]Herald Zenman was knocked unconscious and is bleeding out.
[15:39:36	]C45:RCT.YELLO-32 ran 'use' on item 'El Yapımı Bandaj Rulosu' (#65576)
[15:39:36	]C45:RCT.YELLO-32 has performed the 'Use El Yapımı Bandaj Rulosu' action, gaining 10 experience in medicine.
[15:39:36	]C45:RCT.YELLO-32 was bandaged by C45:RCT.YELLO-32 for 11 HP.
