[14:55:25	]bquits has connected.
[15:08:29	]Jack Ringer has gained a 'Spade' #62765.
[15:08:29	]Mark Ringer has spawned 'models/props_wasteland/dockplank01b.mdl'.
[15:08:30	]Jack Ringer has given himself a pickaxe.
[15:08:30	]Jack Ringer has gained a 'Pickaxe' #62766.
[15:08:36	]Jack Ringer entered observer.
[15:08:37	]Jack Ringer exited observer at their location.
[15:08:39	]Jack Ringer ran 'drop' on item 'Pickaxe' (#62766)
[15:08:39	]Jack Ringer has lost a 'Pickaxe' #62766.
[15:08:42	]Jack Ringer ran 'Equip' on item 'Spade' (#62765)
[15:08:56	]Mark Ringer has spawned 'models/props_wasteland/dockplank01b.mdl'.
[15:08:57	]Jack Ringer entered observer.
[15:08:58	]Jack Ringer exited observer at their location.
[15:09:03	]Jack Ringer has spawned a 'Entity [5898][sent_vj_board]'.
[15:09:07	]Jack Ringer has spawned 'models/props_junk/wood_crate001a_chunk04.mdl'.
[15:09:09	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:09:19	]Jack Ringer has used a context menu option with the name: remove
[15:09:29	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:09:30	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a_chunka.mdl'.
[15:09:31	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a_chunka3.mdl'.
[15:09:32	]Mark Ringer has spawned 'models/props_docks/channelmarker_gib01.mdl'.
[15:09:37	]Jack Ringer has spawned 'models/props/cs_militia/wood_bench.mdl'.
[15:09:40	]Mark Ringer has spawned 'models/props_docks/channelmarker_gib01.mdl'.
[15:09:41	]Jack Ringer has spawned 'models/c24_v3_interior/woodwall_struts01.mdl'.
[15:09:46	]Jack Ringer has spawned 'models/props/de_tides/woodframe_hallway_a2.mdl'.
[15:09:50	]Jack Ringer has spawned 'models/props/de_tides/woodframe_misca.mdl'.
[15:09:50	]Jack Ringer entered observer.
[15:09:53	]Jack Ringer exited observer at their location.
[15:09:56	]Jack Ringer has spawned 'models/props_unique/wooden_barricade.mdl'.
[15:09:59	]Mark Ringer has enabled persistence for 'models/props_docks/channelmarker_gib01.mdl'.
[15:09:59	]Mark Ringer has used a context menu option with the name: persist
[15:10:00	]Mark Ringer has enabled persistence for 'models/props_docks/channelmarker_gib01.mdl'.
[15:10:00	]Mark Ringer has used a context menu option with the name: persist
[15:10:05	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:10:10	]Jack Ringer has used a context menu option with the name: collision_off
[15:10:16	]Mark Ringer has spawned 'models/props_c17/FurnitureCupboard001a.mdl'.
[15:10:17	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:10:17	]Jack Ringer has used a context menu option with the name: persist
[15:10:18	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:10:18	]Jack Ringer has used a context menu option with the name: persist
[15:10:19	]Jack Ringer has used a context menu option with the name: collision_off
[15:10:20	]Jack Ringer has used a context menu option with the name: collision_on
[15:10:21	]Jack Ringer has used a context menu option with the name: collision_on
[15:10:21	]Jack Ringer entered observer.
[15:10:22	]Jack Ringer exited observer at their location.
[15:10:24	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:10:25	]Mark Ringer has used a context menu option with the name: remove
[15:10:28	]Mark Ringer has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[15:10:30	]Mark Ringer has used a context menu option with the name: remove
[15:10:30	]Jack Ringer has used a context menu option with the name: collision_off
[15:10:31	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:10:40	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:10:51	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:11:09	]Jack Ringer has used a context menu option with the name: collision_on
[15:11:11	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:11:11	]Jack Ringer has used a context menu option with the name: persist
[15:11:12	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:11:12	]Jack Ringer has used a context menu option with the name: persist
[15:11:13	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:11:13	]Jack Ringer has used a context menu option with the name: persist
[15:11:13	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:11:13	]Jack Ringer has used a context menu option with the name: persist
[15:11:17	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:11:19	]Mark Ringer has spawned 'models/props_c17/FurnitureDrawer001a_Chunk06.mdl'.
[15:11:27	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:11:31	]Jack Ringer has used a context menu option with the name: collision_off
[15:11:36	]Jack Ringer has used a context menu option with the name: collision_on
[15:11:36	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:11:36	]Jack Ringer has used a context menu option with the name: persist
[15:11:37	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:11:37	]Jack Ringer has used a context menu option with the name: persist
[15:11:39	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:11:41	]Mark Ringer has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[15:11:45	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:11:50	]Jack Ringer has used a context menu option with the name: collision_off
[15:11:53	]Jack Ringer has used a context menu option with the name: collision_on
[15:11:54	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:11:54	]Jack Ringer has used a context menu option with the name: persist
[15:12:04	]Jack Ringer has used a context menu option with the name: collision_off
[15:12:04	]Mark Ringer has enabled persistence for 'models/props_c17/furnituredrawer001a_chunk06.mdl'.
[15:12:04	]Mark Ringer has used a context menu option with the name: persist
[15:12:07	]Mark Ringer has enabled persistence for 'models/props_c17/furnituredrawer001a.mdl'.
[15:12:07	]Mark Ringer has used a context menu option with the name: persist
[15:12:08	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:12:08	]Jack Ringer has used a context menu option with the name: persist
[15:12:10	]Jack Ringer has used a context menu option with the name: collision_on
[15:12:12	]Mark Ringer has fired a toolgun with the name: unbreakable
[15:12:13	]Mark Ringer has fired a toolgun with the name: unbreakable
[15:12:13	]Jack Ringer entered observer.
[15:12:22	]Jack Ringer exited observer at their location.
[15:12:24	]Mark Ringer has given himself a pickaxe.
[15:12:24	]Mark Ringer has gained a 'Pickaxe' #62767.
[15:12:25	]Mark Ringer ran 'Equip' on item 'Pickaxe' (#62767)
[15:12:26	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:12:32	]Jack Ringer entered observer.
[15:12:36	]Jack Ringer has used a context menu option with the name: remove
[15:12:37	]Jack Ringer exited observer at their location.
[15:12:53	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:12:53	]Jack Ringer has used a context menu option with the name: persist
[15:12:54	]Jack Ringer has used a context menu option with the name: collision_off
[15:12:55	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:13:00	]Mark Ringer entered observer.
[15:13:02	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:13:02	]Jack Ringer has used a context menu option with the name: persist
[15:13:03	]Jack Ringer has disabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:13:03	]Jack Ringer has used a context menu option with the name: persist_end
[15:13:04	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:13:04	]Jack Ringer has used a context menu option with the name: persist
[15:13:05	]Jack Ringer has used a context menu option with the name: collision_on
[15:13:08	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:13:09	]Mark Ringer exited observer at their location.
[15:13:10	]Jack Ringer entered observer.
[15:13:14	]Jack Ringer exited observer at their location.
[15:13:15	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:13:22	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:13:23	]Jack Ringer entered observer.
[15:13:43	]Mark Ringer entered observer.
[15:13:50	]Mark Ringer exited observer at their location.
[15:13:50	]Mark Ringer has taken 14 damage from worldspawn.
[15:13:56	]Jack Ringer exited observer at their location.
[15:13:56	]Mark Ringer ran SAM command 'hp' with arguments: 'M' '100'
[15:13:57	]Mark Ringer is fully healed.
[15:13:58	]Mark Ringer entered observer.
[15:13:59	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:14:03	]Mark Ringer exited observer at their location.
[15:14:08	]Mark Ringer has spawned 'models/props_c17/fence01a.mdl'.
[15:14:09	]Jack Ringer has spawned 'models/props_unique/wooden_barricade.mdl'.
[15:14:11	]Jack Ringer has spawned 'models/props_unique/wooden_barricade_break2.mdl'.
[15:14:16	]Jack Ringer has used a context menu option with the name: remove
[15:14:18	]Jack Ringer has spawned 'models/props_wasteland/wood_fence01a.mdl'.
[15:14:20	]Jack Ringer has used a context menu option with the name: remove
[15:14:21	]Mark Ringer has used a context menu option with the name: remove
[15:14:22	]Mark Ringer entered observer.
[15:14:26	]Jack Ringer has spawned 'models/props_wasteland/wood_fence02a.mdl'.
[15:14:29	]Mark Ringer exited observer at their location.
[15:14:34	]Jack Ringer has spawned 'models/mosi/fallout4/electrical/generators/generator01.mdl'.
[15:14:35	]Jack Ringer has spawned 'models/mosi/fallout4/props/fortifications/ramp_plywood.mdl'.
[15:14:37	]Jack Ringer has spawned 'models/mosi/fallout4/props/fortifications/junkwalltall02.mdl'.
[15:14:39	]Jack Ringer has spawned 'models/mosi/fallout4/props/fortifications/stonewallold03.mdl'.
[15:14:41	]Jack Ringer has spawned 'models/mosi/fallout4/props/fortifications/junkwalltallfree01.mdl'.
[15:14:43	]Jack Ringer has spawned 'models/mosi/fallout4/props/fortifications/bos/walkwaybendstairs02.mdl'.
[15:14:47	]Jack Ringer entered observer.
[15:14:53	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/guardpost.mdl'.
[15:15:10	]Jack Ringer exited observer at their location.
[15:15:14	]Jack Ringer entered observer.
[15:15:15	]Jack Ringer exited observer at their location.
[15:15:20	]Jack Ringer entered observer.
[15:15:21	]Jack Ringer has spawned 'models/mosi/fallout4/props/fortifications/woodencrate01.mdl'.
[15:15:21	]Jack Ringer exited observer at their location.
[15:15:23	]Jack Ringer entered observer.
[15:15:25	]Victorian has connected.
[15:15:25	]Jack Ringer exited observer at their location.
[15:15:26	]Jack Ringer entered observer.
[15:15:35	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:15:35	]Jack Ringer has used a context menu option with the name: persist
[15:15:36	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:15:36	]Jack Ringer has used a context menu option with the name: persist
[15:15:36	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:15:36	]Jack Ringer has used a context menu option with the name: persist
[15:15:37	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:15:37	]Jack Ringer has used a context menu option with the name: persist
[15:15:39	]Jack Ringer has disabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:15:39	]Jack Ringer has used a context menu option with the name: persist_end
[15:15:39	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:15:39	]Jack Ringer has used a context menu option with the name: persist
[15:15:52	]Jack Ringer has spawned 'models/props/wood_cap1.mdl'.
[15:15:57	]Mark Ringer entered observer.
[15:15:58	]Mark Ringer exited observer at their location.
[15:15:58	]Mark Ringer entered observer.
[15:15:59	]Mark Ringer exited observer at their location.
[15:16:03	]Jack Ringer has spawned 'models/props/wood_cap1.mdl'.
[15:16:11	]Jack Ringer has enabled persistence for 'models/props/wood_cap1.mdl'.
[15:16:11	]Jack Ringer has used a context menu option with the name: persist
[15:16:17	]Jack Ringer has disabled persistence for 'models/props/wood_cap1.mdl'.
[15:16:17	]Jack Ringer has used a context menu option with the name: persist_end
[15:16:21	]Jack Ringer has used a context menu option with the name: remove
[15:16:22	]Jack Ringer has spawned 'models/props/wood_grate2.mdl'.
[15:16:23	]Jack Ringer has spawned 'models/props/wood_cap2.mdl'.
[15:16:28	]Mark Ringer entered observer.
[15:16:29	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:16:30	]Mark Ringer exited observer at their location.
[15:16:37	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:16:42	]Mark Ringer has enabled persistence for 'models/mosi/fallout4/props/fortifications/guardpost.mdl'.
[15:16:42	]Mark Ringer has used a context menu option with the name: persist
[15:16:44	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:16:44	]Jack Ringer has used a context menu option with the name: persist
[15:16:44	]Jack Ringer has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[15:16:44	]Jack Ringer has used a context menu option with the name: persist
[15:16:45	]Mark Ringer has fired a toolgun with the name: unbreakable
[15:16:46	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:16:51	]Jack Ringer has spawned 'models/props_junk/wood_pallet001a.mdl'.
[15:16:52	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/doorbarricade.mdl'.
[15:16:56	]Mark Ringer entered observer.
[15:16:57	]Mark Ringer exited observer at their location.
[15:17:03	]Jack Ringer has fired a toolgun with the name: remover
[15:17:03	]Jack Ringer has fired a toolgun with the name: remover
[15:17:03	]Jack Ringer has fired a toolgun with the name: remover
[15:17:04	]Jack Ringer has fired a toolgun with the name: remover
[15:17:04	]Jack Ringer has fired a toolgun with the name: remover
[15:17:04	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/chainlink01.mdl'.
[15:17:04	]Jack Ringer has fired a toolgun with the name: remover
[15:17:05	]Jack Ringer has fired a toolgun with the name: remover
[15:17:05	]Jack Ringer has fired a toolgun with the name: remover
[15:17:06	]Jack Ringer has fired a toolgun with the name: remover
[15:17:06	]Jack Ringer has fired a toolgun with the name: remover
[15:17:07	]Jack Ringer has fired a toolgun with the name: remover
[15:17:07	]Jack Ringer has fired a toolgun with the name: remover
[15:17:07	]Jack Ringer has fired a toolgun with the name: remover
[15:17:08	]Jack Ringer has fired a toolgun with the name: remover
[15:17:08	]Jack Ringer has fired a toolgun with the name: remover
[15:17:08	]Jack Ringer has fired a toolgun with the name: remover
[15:17:10	]Jack Ringer has fired a toolgun with the name: remover
[15:17:11	]Jack Ringer has fired a toolgun with the name: remover
[15:17:11	]Jack Ringer has fired a toolgun with the name: remover
[15:17:11	]Jack Ringer has fired a toolgun with the name: remover
[15:17:12	]Jack Ringer has fired a toolgun with the name: remover
[15:17:14	]Jack Ringer exited observer at their location.
[15:17:16	]Jack Ringer entered observer.
[15:17:18	]Jack Ringer has spawned 'models/props/de_tides/woodframe_archway_d.mdl'.
[15:17:20	]Mark Ringer has used a context menu option with the name: remove
[15:17:21	]Jack Ringer has spawned 'models/props_phx/construct/wood/wood_wire1x1x1.mdl'.
[15:17:23	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/chainlinkcorner01.mdl'.
[15:17:33	]Jack Ringer has spawned 'models/props_phx/construct/wood/wood_panel4x4.mdl'.
[15:17:35	]Mark Ringer was knocked unconscious and is bleeding out.
[15:17:38	]Jack Ringer exited observer at their location.
[15:17:39	]Mark Ringer ran SAM command 'respawn' with arguments: 'm'
[15:17:39	]Jack Ringer entered observer.
[15:17:40	]Jack Ringer exited observer at their location.
[15:17:42	]Mark Ringer is fully healed.
[15:17:43	]Jack Ringer entered observer.
[15:17:45	]Jack Ringer has spawned 'models/props/de_prodigy/wood_pallet_01.mdl'.
[15:17:47	]Jack Ringer has spawned 'models/props/de_prodigy/wood_pallet_debris_01.mdl'.
[15:17:53	]Jack Ringer has spawned 'models/props_wasteland/woodwall030b_window03a_bars.mdl'.
[15:18:04	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/concretebarricade.mdl'.
[15:18:07	]Jack Ringer has enabled persistence for 'models/props_wasteland/woodwall030b_window03a_bars.mdl'.
[15:18:07	]Jack Ringer has used a context menu option with the name: persist
[15:18:08	]Jack Ringer has spawned 'models/props_wasteland/woodwall030b_window03a_bars.mdl'.
[15:18:08	]Mark Ringer has used a context menu option with the name: remove
[15:18:11	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/tirepile01.mdl'.
[15:18:20	]Mark Ringer has enabled persistence for 'models/mosi/fallout4/props/fortifications/chainlinkcorner01.mdl'.
[15:18:20	]Mark Ringer has used a context menu option with the name: persist
[15:18:21	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/blocker04.mdl'.
[15:18:25	]Shane Walsh has connected.
[15:18:26	]Jack Ringer has disabled persistence for 'models/props_wasteland/woodwall030b_window03a_bars.mdl'.
[15:18:26	]Jack Ringer has used a context menu option with the name: persist_end
[15:18:48	]Mark Ringer has enabled persistence for 'models/mosi/fallout4/props/fortifications/blocker04.mdl'.
[15:18:48	]Mark Ringer has used a context menu option with the name: persist
[15:18:55	]Jack Ringer has enabled persistence for 'models/props_wasteland/woodwall030b_window03a_bars.mdl'.
[15:18:55	]Jack Ringer has used a context menu option with the name: persist
[15:18:58	]Jack Ringer has enabled persistence for 'models/props_wasteland/woodwall030b_window03a_bars.mdl'.
[15:18:58	]Jack Ringer has used a context menu option with the name: persist
[15:19:01	]Jack Ringer has spawned 'models/props/cs_militia/ladderwood.mdl'.
[15:19:02	]Jack Ringer has spawned 'models/props/cs_militia/shelves_wood.mdl'.
[15:19:09	]Jack Ringer has enabled persistence for 'models/props/cs_militia/shelves_wood.mdl'.
[15:19:09	]Jack Ringer has used a context menu option with the name: persist
[15:19:10	]Jack Ringer exited observer at their location.
[15:19:11	]Mark Ringer entered observer.
[15:19:11	]Mark Ringer exited observer at their location.
[15:19:12	]Mark Ringer entered observer.
[15:19:15	]Mark Ringer exited observer at their location.
[15:19:15	]Jack Ringer has spawned 'models/props/cs_militia/shelves_wood.mdl'.
[15:19:22	]Jack Ringer has enabled persistence for 'models/props/cs_militia/shelves_wood.mdl'.
[15:19:22	]Jack Ringer has used a context menu option with the name: persist
[15:19:24	]Mark Ringer has spawned 'models/mosi/fallout4/props/fortifications/woodpalette.mdl'.
[15:19:25	]Jack Ringer has spawned 'models/mosi/fallout4/props/fortifications/woodencrate02.mdl'.
