[15:06:12	]Shane Walsh has connected.
[15:28:50	]C24:i4.HELIX-86 used command '/Radio Silah sesleri.'.
[15:28:53	]Granda Malenyev has spawned a 'NPC [5069][npc_vj_hl2_metrocop3]'.
[15:28:56	]Granda Malenyev has used a context menu option with the name: vj_pr_npc_slay
[15:28:59	]Granda Malenyev has used a context menu option with the name: remove
[15:29:00	]Granda Malenyev has used a context menu option with the name: remove
[15:29:02	]Granda Malenyev has spawned a 'NPC [5069][npc_vj_hl2_metrocop]'.
[15:29:05	]Granda Malenyev has used a context menu option with the name: vj_pr_npc_slay
[15:29:08	]Granda Malenyev has used a context menu option with the name: remove
[15:29:20	]OSG:ODL-09 used command '/Radio affirmative'.
[15:29:35	]Granda Malenyev used command '/Event Görünüşe göre, tüm Overwatch birimlerinin gecekondudaki şiddeti *acilen* çözmesi gerek.'.
[15:29:49	]C24:i4.HELIX-86 used command '/Radio Konuma intikal edebilicek OSG personelleri duruma bakıp rapor vermenizi talep ediyorum.'.
[15:30:03	]C24:i4.HELIX-86 used command '/Radio 34A , 10-107.'.
[15:30:05	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68947.
[15:30:05	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68947.
[15:30:05	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68945.
[15:30:05	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68946.
[15:30:08	]Granda Malenyev exited observer at their location.
[15:30:13	]Granda Malenyev entered observer.
[15:30:16	]Granda Malenyev exited observer at their location.
[15:30:17	]OSG:ODL-09 used command '/Radio loud contaminants'.
[15:30:17	]Granda Malenyev entered observer.
[15:30:21	]Granda Malenyev exited observer at their location.
[15:30:23	]OSG:ODL-09 has taken 35 damage from Granda Malenyev.
[15:30:23	]OSG:ODL-09 has hit Granda Malenyev in the right arm dealing 7 damage (CritChance was 0.50).
[15:30:23	]Granda Malenyev has taken 6 damage from OSG:ODL-09.
[15:30:25	]Granda Malenyev is fully healed.
[15:30:26	]Granda Malenyev entered observer.
[15:30:35	]C24:i4.HELIX-86 used command '/Radio 10-20?'.
[15:30:36	]Granda Malenyev exited observer at their location.
[15:30:44	][Y] Granda Malenyev: PİSLİKLER!
[15:30:59	]OSG:ODL-09 used command '/Radio grizzly goto'.
[15:31:10	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68945.
[15:31:10	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68947.
[15:31:10	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68947.
[15:31:10	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68944.
[15:31:10	]C24:i4.HELIX-86 used command '/Radio COPY2'.
[15:31:14	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:31:14	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:31:15	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65796.
[15:31:15	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65793.
[15:31:26	]Granda Malenyev entered observer.
[15:31:31	]OSG:ODL-09 used command '/Radio anticitizens'.
[15:31:32	]Granda Malenyev exited observer at their location.
[15:31:34	]C24:i4.HELIX-86 used command '/Radio 10-107?'.
[15:31:47	]C24:i4.HELIX-86 used command '/Radio 10-20?'.
[15:31:50	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65796.
[15:31:50	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:31:50	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:31:50	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65796.
[15:32:03	]OSG:ODL-09 used command '/Radio closing'.
[15:32:03	]Granda Malenyev used command '/Dispatch Sivil Koruma birimlerinin dikkatına, Gecekondu bölgesinde anti - sivil tespit edildi. KOD: AMPÜTASYON'.
[15:32:06	][IC] C24:i4.HELIX-86: <:: Anlaşıldı. ::>
[15:32:09	]Granda Malenyev entered observer.
[15:32:12	]OSG:ODL-09 ran 'use' on item 'Sağlık Kiti' (#11293)
[15:32:12	]OSG:ODL-09 has performed the 'Use Sağlık Kiti' action, gaining 119 experience in medicine.
[15:32:12	]OSG:ODL-09 was disinfected by OSG:ODL-09 for 210 seconds.
[15:32:12	]OSG:ODL-09 was bandaged by OSG:ODL-09 for 75 HP.
[15:32:15	]OSG:ODL-09 ran 'use' on item 'Sağlık Kiti' (#11293)
[15:32:15	]OSG:ODL-09 was disinfected by OSG:ODL-09 for 210 seconds.
[15:32:15	]OSG:ODL-09 was bandaged by OSG:ODL-09 for 75 HP.
[15:32:15	]Granda Malenyev exited observer at their location.
[15:32:18	]OSG:ODL-09 has taken 35 damage from Granda Malenyev.
[15:32:18	]OSG:ODL-09 has taken 35 damage from Granda Malenyev.
[15:32:21	]C24:i4.HELIX-86 used command '/Radio 34A'.
[15:32:24	]OSG:ODL-09 ran 'split' on item 'Sağlık Kiti' (#11291)
[15:32:24	]OSG:ODL-09 has gained a 'Sağlık Kiti' #69163.
[15:32:26	]OSG:ODL-09 ran 'use' on item 'Sağlık Kiti' (#69163)
[15:32:26	]OSG:ODL-09 has performed the 'Use Sağlık Kiti' action, gaining 85 experience in medicine.
[15:32:26	]OSG:ODL-09 was disinfected by OSG:ODL-09 for 210 seconds.
[15:32:26	]OSG:ODL-09 was bandaged by OSG:ODL-09 for 75 HP.
[15:32:26	]C24:i4.HELIX-86 used command '/Radio MOVE BACK'.
[15:32:27	]OSG:ODL-09 ran 'use' on item 'Sağlık Kiti' (#11291)
[15:32:27	]OSG:ODL-09 was disinfected by OSG:ODL-09 for 210 seconds.
[15:32:27	]OSG:ODL-09 was bandaged by OSG:ODL-09 for 75 HP.
[15:32:28	]OSG:ODL-09 ran 'use' on item 'Sağlık Kiti' (#11292)
[15:32:28	]OSG:ODL-09 was disinfected by OSG:ODL-09 for 210 seconds.
[15:32:28	]OSG:ODL-09 was bandaged by OSG:ODL-09 for 75 HP.
[15:32:29	][Y] Granda Malenyev: PİSLİKLER, PİSLİKLER!
[15:32:33	]OSG:ODL-09 has taken 35 damage from Granda Malenyev.
[15:32:33	]OSG:ODL-09 has taken 35 damage from Granda Malenyev.
[15:32:33	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68944.
[15:32:33	]OSG:ODL-09 was knocked unconscious and is bleeding out.
[15:32:36	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65796.
[15:32:36	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:32:36	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:32:36	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65792.
[15:32:39	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65792.
[15:32:39	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:32:39	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:32:39	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65791.
[15:32:47	]C24:i4.HELIX-86 ran 'EquipUn' on item 'Combine PDA' (#41419)
[15:32:48	]C24:i4.HELIX-86 ran 'drop' on item 'Smoke Grenade' (#67935)
[15:32:48	]C24:i4.HELIX-86 has lost a 'Smoke Grenade' #67935.
[15:32:55	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65791.
[15:32:55	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:32:55	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:32:55	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65781.
[15:32:59	]C24:i4.HELIX-86 has critically hit Granda Malenyev in the stomach dealing 19 damage (CritChance was 0.27).
[15:32:59	]Granda Malenyev has taken 19 damage from C24:i4.HELIX-86.
[15:33:00	]C24:i4.HELIX-86 has critically hit Granda Malenyev in the left leg dealing 5 damage (CritChance was 0.86).
[15:33:00	]Granda Malenyev has taken 5 damage from C24:i4.HELIX-86.
[15:33:01	]C24:i4.HELIX-86 has critically hit Granda Malenyev in the stomach dealing 19 damage (CritChance was 0.91).
[15:33:01	]Granda Malenyev has taken 19 damage from C24:i4.HELIX-86.
[15:33:01	]C24:i4.HELIX-86 has critically hit Granda Malenyev in the right leg dealing 5 damage (CritChance was 0.86).
[15:33:01	]Granda Malenyev has taken 5 damage from C24:i4.HELIX-86.
[15:33:04	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65781.
[15:33:04	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:33:04	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:33:04	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65780.
[15:33:22	]Granda Malenyev entered observer.
[15:33:29	]C24:i4.HELIX-86 ran 'give' on item 'Cerrahi Kit' (#66088)
[15:33:29	]C24:i4.HELIX-86 has performed the 'Use Cerrahi Kit' action, gaining 120 experience in medicine.
[15:33:29	]OSG:ODL-09 was disinfected by C24:i4.HELIX-86 for 336 seconds.
[15:33:29	]OSG:ODL-09's bleeding was stopped by C24:i4.HELIX-86.
[15:33:29	]OSG:ODL-09 was bandaged by C24:i4.HELIX-86 for 78 HP.
[15:33:29	]C24:i4.HELIX-86 ran 'give' on item 'Cerrahi Kit' (#66088)
[15:33:29	]C24:i4.HELIX-86 has performed the 'Use Cerrahi Kit' action, gaining 57 experience in medicine.
[15:33:29	]OSG:ODL-09 was disinfected by C24:i4.HELIX-86 for 336 seconds.
[15:33:29	]OSG:ODL-09 was bandaged by C24:i4.HELIX-86 for 78 HP.
[15:33:31	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65780.
[15:33:31	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:33:31	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:33:31	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65779.
[15:34:10	]OSG:ODL-09 is no longer unconscious from critical wounds.
[15:34:22	][IC] OSG:ODL-09: <:: Vitals critical. ::>
[15:34:27	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68947.
[15:34:27	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68947.
[15:34:27	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68943.
[15:34:30	][IC] C24:i4.HELIX-86: <:: Yürü! ::>
[15:34:30	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68943.
[15:34:30	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68947.
[15:34:31	]OSG:ODL-09 has gained a '30rnd Pulse-Şarjörü' #68947.
[15:34:31	]OSG:ODL-09 has lost a '30rnd Pulse-Şarjörü' #68943.
[15:34:37	][IC] C24:i4.HELIX-86: <:: Benle gel. ::>
[15:35:24	][ME] C24:i4.HELIX-86: Kişiyi inceler
[15:35:29	][IT] C24:i4.HELIX-86: Ne görmekteyim?
[15:35:41	][ME] OSG:ODL-09: kişinin kelvar armorundan geçen 4 adet askeri sınıf mermi
[15:36:14	][ME] C24:i4.HELIX-86: Çantasını açar ve bir şeyler çıkartır.
[15:36:31	][ME] C24:i4.HELIX-86: Kişinin armorunu dikkatlice çıkarır
[15:36:48	][ME] C24:i4.HELIX-86: Bir şırınga enjekte eder.
[15:36:48	][ME] OSG:ODL-09: kıpırdamaz
[15:36:53	]C24:i4.HELIX-86 ran 'give' on item 'Adrenalin' (#65821)
[15:36:53	]OSG:ODL-09 has gained a level 4 short boost in Çeviklik.
[15:37:26	]Granda Malenyev used command '/Announce Overwatch Birimlerinin dikkatine, Anti - Sivil ihlalin durdurulamamsı sonucu, Kalıcı Dünya Dışı sürgün protokül uygulanacaktır'.
[15:37:33	][ME] C24:i4.HELIX-86: Kurşunları çıkarmak için bir adet pense çıkarır fakat yarayı açmak için önce cerrahi bıçak çıkartıp yarayı genişletir
[15:37:42	][ME] C24:i4.HELIX-86: Kurşunları çıkarır.
[15:37:51	][LOOC] Granda Malenyev: event nası
[15:37:52	]OSG:ODL-09 ran SAM command 'asay' with arguments: 'admin yanlış yapıyorsun dispatch geçip yap'
[15:37:53	][ME] C24:i4.HELIX-86: Ve bir iğne daha enjekte edip diker.
[15:37:59	]Granda Malenyev ran SAM command 'menu' with arguments: ''
[15:38:00	]C24:i4.HELIX-86 ran 'give' on item 'Kan Stabilizatörü' (#65824)
[15:38:00	]OSG:ODL-09 was bandaged by C24:i4.HELIX-86 for 24 HP.
[15:38:01	]Granda Malenyev claimed a report by OSG:ODL-09 (Deadasf).
[15:38:01	]C24:i4.HELIX-86 ran 'give' on item 'İlk Yardım Kiti' (#66091)
[15:38:01	]OSG:ODL-09 was disinfected by C24:i4.HELIX-86 for 168 seconds.
[15:38:01	]OSG:ODL-09 was bandaged by C24:i4.HELIX-86 for 60 HP.
[15:38:02	]C24:i4.HELIX-86 ran 'give' on item 'Cerrahi Kit' (#66089)
[15:38:02	]OSG:ODL-09 was disinfected by C24:i4.HELIX-86 for 336 seconds.
[15:38:02	]OSG:ODL-09 was bandaged by C24:i4.HELIX-86 for 78 HP.
[15:38:04	]C24:i4.HELIX-86 ran 'give' on item 'Dezenfekte Bandaj Rulosu' (#65816)
[15:38:04	]C24:i4.HELIX-86 tried to disinfect OSG:ODL-09 but the wound was already clean.
[15:38:04	]OSG:ODL-09 was bandaged by C24:i4.HELIX-86 for 18 HP.
[15:38:10	][ME] C24:i4.HELIX-86: Yarayı bandajlar.
[15:38:13	][LOOC] Granda Malenyev: dalgınlıktan admin announce yapmışım
[15:38:25	][ME] C24:i4.HELIX-86: Zırhını geri takmaya çalışır
[15:38:29	][IT] C24:i4.HELIX-86: Olumlumu?
[15:38:47	][ME] OSG:ODL-09: zırhın clipperlarını sabitler
[15:38:59	][ME] C24:i4.HELIX-86: Zırhını takar ve OSG askerine bir kaç takım malzeme verir
[15:39:03	][IC] C24:i4.HELIX-86: <:: Bunları al. ::>
[15:39:07	]C24:i4.HELIX-86 ran 'drop' on item 'Cerrahi Kit' (#66089)
[15:39:07	]C24:i4.HELIX-86 has lost a 'Cerrahi Kit' #66089.
[15:39:13	]OSG:ODL-09 ran 'take' on item 'Cerrahi Kit' (#66089)
[15:39:13	]OSG:ODL-09 has gained a 'Cerrahi Kit' #66089.
[15:39:16	][IC] C24:i4.HELIX-86: <:: Hmph. ::>
[15:39:22	][IC] C24:i4.HELIX-86: <:: Devam edebilirmisin? ::>
[15:39:29	][IC] OSG:ODL-09: <:: Yeah. ::>
[15:39:32	][IC] OSG:ODL-09: <:: Eveet. ::>
[15:39:34	][IC] C24:i4.HELIX-86: <:: O zaman. ::>
[15:39:36	][IC] C24:i4.HELIX-86: <:: Yürü! ::>
[15:39:49	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65779.
[15:39:49	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:39:49	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:39:49	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65779.
[15:40:00	]C24:i4.HELIX-86 used command '/Radio Birimler olay yerine ilerliyor.'.
[15:40:06	][IC] OSG:ODL-09: <:: Resolvlanmaya gidiyorum. ::>
[15:40:07	]Granda Malenyev used command '/Event Gecekondu bölgelerindeki anarşi, inşaat bölgesinden başlayarak büyüyor.'.
[15:40:20	]C24:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65781)
[15:40:21	]OSG:ODL-09 used the 'Overwatch Stabilizasyon Güçleri' vendor.
[15:40:22	]C24:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65792)
[15:40:24	]C24:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65795)
[15:40:25	]C24:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65780)
[15:40:26	]C24:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65796)
[15:40:27	]C24:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65794)
[15:40:28	]OSG:ODL-09 has gained 0 chips.
[15:40:29	]OSG:ODL-09 has gained a 'Smoke Grenade' #69164.
[15:40:33	]Granda Malenyev used command '/Event 'ÖZGÜRLÜK İÇİN LAMBDA, İNSANLIK İÇİN LAMBDA' sözler, direniş askerleri tarafından duyulabilir'.
[15:40:33	]OSG:ODL-09 has gained 0 chips.
[15:40:33	]OSG:ODL-09 has gained a 'Frag Grenade' #69165.
[15:40:37	]C24:i4.HELIX-86 used command '/Radio Sis bombası getiriyorum.'.
[15:40:46	]C24:i4.HELIX-86 used the 'Helix Ekipman Dağıtıcısı' vendor.
[15:40:48	]C24:i4.HELIX-86 has gained 0 chips.
[15:40:48	]C24:i4.HELIX-86 has gained a 'Smoke Grenade' #69166.
[15:40:49	]OSG:ODL-09 has gained 0 chips.
[15:40:49	]OSG:ODL-09 has gained a 'Pulse Rifle Enerjisi' #69167.
[15:40:49	]Granda Malenyev has spawned a 'NPC [5109][npc_citizen]'.
[15:40:50	]OSG:ODL-09 has gained 0 chips.
[15:40:50	]C24:i4.HELIX-86 has gained 0 chips.
[15:40:50	]OSG:ODL-09 has gained a 'Pulse Rifle Enerjisi' #69168.
[15:40:50	]C24:i4.HELIX-86 has gained a 'Smoke Grenade' #69169.
[15:40:52	]Granda Malenyev has spawned a 'NPC [5113][npc_citizen]'.
[15:40:53	]OSG:ODL-09 ran 'combine' on item '30rnd Pulse-Şarjörü' (#68945)
[15:40:53	]OSG:ODL-09 ran 'combine' on item '30rnd Pulse-Şarjörü' (#68944)
[15:40:54	]Granda Malenyev exited observer at their location.
[15:40:55	]C24:i4.HELIX-86 ran 'Equip' on item 'Smoke Grenade' (#69166)
[15:40:55	]OSG:ODL-09 ran 'combine' on item '30rnd Pulse-Şarjörü' (#68946)
[15:40:56	]OSG:ODL-09 ran 'combine' on item 'Şarjör Çantası' (#9306)
[15:40:59	]OSG:ODL-09 ran 'drop' on item 'Pulse Rifle Enerjisi' (#69167)
[15:40:59	]OSG:ODL-09 has lost a 'Pulse Rifle Enerjisi' #69167.
[15:41:02	]Granda Malenyev entered observer.
[15:41:02	]C24:i4.HELIX-86 used command '/Radio OSG bomban varmı?'.
[15:41:10	]OSG:ODL-09 is fully healed.
[15:41:10	]OSG:ODL-09 used command '/Radio positive'.
[15:41:22	]C24:i4.HELIX-86 used command '/Radio COPY'.
[15:41:53	]C24:i4.HELIX-86 used command '/Radio Plaza bölgesi ve RB-2 ben kontrol ederim bir durum olursa telsizi kullan.'.
[15:41:57	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65779.
[15:41:57	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65797.
[15:41:57	]C24:i4.HELIX-86 has gained a '17rnd Usp-Şarjörü' #65797.
[15:41:57	]C24:i4.HELIX-86 has lost a '17rnd Usp-Şarjörü' #65796.
[15:42:04	]C24:i4.HELIX-86 opened the 'Kanıt Deposu' #6523 container.
[15:42:04	]C24:i4.HELIX-86 closed the 'Kanıt Deposu' #6523 container.
[15:42:25	]C24:i4.HELIX-86 used command '/Radio Catwalks.'.
[15:42:29	]OSG:ODL-09 used command '/Radio executing full response'.
[15:42:30	]C24:i4.HELIX-86 used command '/Radio Bir hareket yok.'.
[15:42:36	]C24:i4.HELIX-86 used command '/Radio 10-45'.
[15:42:40	]C24:i4.HELIX-86 used command '/Radio 10-4'.
[15:42:50	]C24:i4.HELIX-86 used command '/Radio Anti-sivil yok.'.
