[18:38:39	]Inkaaz has connected.
[19:06:43	]Kash'Ash ran 'take' on item 'Vortigaunt Antlion Guard Plate' (#2605)
[19:06:43	]Kash'Ash has gained a 'Vortigaunt Antlion Guard Plate' #2605.
[19:07:26	]Inkaaz has unloaded their "Kash'Ash" character.
[19:07:31	]Inkaaz loaded the character 'S10/OWS.GHOST-14'
[19:07:36	]S10/OWS.GHOST-14 is fully healed.
[19:07:40	][CHI] S10/OWS.GHOST-14: dwa
[19:07:46	][XEN] S10/OWS.GHOST-14: dwagwa
[19:08:02	]S10/OWS.GHOST-14 has spawned a 'NPC [138][npc_vj_city_scanner_z]'.
[19:08:14	]S10/OWS.GHOST-14 used command '/ActType'.
[19:08:16	]S10/OWS.GHOST-14 used command '/ExitAct'.
[19:08:28	]S10/OWS.GHOST-14 used command '/ActType'.
[19:08:32	]S10/OWS.GHOST-14 used command '/ExitAct'.
[19:09:15	]S10/OWS.GHOST-14 entered observer.
[19:09:16	]S10/OWS.GHOST-14 exited observer at their location.
[19:09:17	]S10/OWS.GHOST-14 entered observer.
[19:09:18	]S10/OWS.GHOST-14 exited observer at their location.
[19:09:25	]S10/OWS.GHOST-14 has spawned a 'Entity [143][ix_rationdispenser]'.
[19:09:28	]S10/OWS.GHOST-14 has spawned a 'Entity [150][ix_rationdispenser]'.
[19:09:33	]S10/OWS.GHOST-14 entered observer.
[19:09:34	]S10/OWS.GHOST-14 exited observer at their location.
[19:09:35	]S10/OWS.GHOST-14 entered observer.
[19:09:36	]S10/OWS.GHOST-14 exited observer at their location.
[19:09:37	]S10/OWS.GHOST-14 entered observer.
[19:09:49	]S10/OWS.GHOST-14 exited observer at their location.
[19:09:50	]S10/OWS.GHOST-14 entered observer.
[19:09:58	]S10/OWS.GHOST-14 exited observer at their location.
[19:10:01	]S10/OWS.GHOST-14 entered observer.
[19:10:02	]S10/OWS.GHOST-14 exited observer at their location.
[19:10:08	]S10/OWS.GHOST-14 has spawned a 'Entity [143][ix_terminal]'.
[19:10:17	]S10/OWS.GHOST-14 entered observer.
[19:10:19	]S10/OWS.GHOST-14 exited observer at their location.
[19:10:20	]S10/OWS.GHOST-14 has spawned a 'Entity [144][ix_terminal]'.
[19:10:28	]S10/OWS.GHOST-14 has spawned a 'Entity [145][ix_rationdispenser]'.
[19:10:37	]S10/OWS.GHOST-14 has spawned a 'Entity [145][ix_pickupterminal]'.
[19:11:03	]S10/OWS.GHOST-14 entered observer.
[19:11:05	]S10/OWS.GHOST-14 exited observer at their location.
[19:11:08	]S10/OWS.GHOST-14 has spawned a 'Entity [145][ix_pickupterminal]'.
[19:11:58	]S10/OWS.GHOST-14 has spawned a 'Entity [153][ix_teleporter]'.
[19:11:59	]S10/OWS.GHOST-14 has spawned a 'Entity [154][ix_teleporter]'.
[19:12:02	]S10/OWS.GHOST-14 entered observer.
[19:12:04	]S10/OWS.GHOST-14 exited observer at their location.
[19:12:14	]S10/OWS.GHOST-14 has spawned a 'Entity [153][ix_keg]'.
[19:12:16	]S10/OWS.GHOST-14 has spawned a 'Entity [153][ix_teleporter]'.
[19:12:20	]S10/OWS.GHOST-14 has spawned a 'Entity [153][ix_combinemonitor_tv]'.
[19:12:25	]S10/OWS.GHOST-14 has spawned a 'Entity [153][ix_teleporter]'.
[19:12:27	]S10/OWS.GHOST-14 has spawned a 'Entity [142][ix_teleporter]'.
[19:12:29	]S10/OWS.GHOST-14 has warped from Default to Default.
[19:12:40	]Wenli has connected.
[19:12:52	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_combinemonitor]'.
[19:12:58	]S10/OWS.GHOST-14 entered observer.
[19:13:02	]S10/OWS.GHOST-14 exited observer at their location.
[19:13:05	]S10/OWS.GHOST-14 entered observer.
[19:13:07	]S10/OWS.GHOST-14 exited observer at their location.
[19:13:08	][AltChecker] Wenli joined without a cookie, but matched installation with existing cookie. Certainty 2/5
[19:13:09	]S10/OWS.GHOST-14 entered observer.
[19:13:10	]S10/OWS.GHOST-14 exited observer at their location.
[19:13:19	]S10/OWS.GHOST-14 entered observer.
[19:13:22	]S10/OWS.GHOST-14 exited observer at their location.
[19:13:23	]S10/OWS.GHOST-14 entered observer.
[19:13:34	]S10/OWS.GHOST-14 exited observer at their location.
[19:13:57	][ME] S10/OWS.GHOST-14: salutuje
[19:14:03	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:14:05	]S10/OWS.GHOST-14 used command '/ID chuj'.
[19:14:11	]S10/OWS.GHOST-14 entered observer.
[19:14:14	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:14:19	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:14:30	]S10/OWS.GHOST-14 has spawned a 'Entity [158][ix_forcefield]'.
[19:14:32	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:14:35	]S10/OWS.GHOST-14 exited observer at their location.
[19:14:49	]S10/OWS.GHOST-14 entered observer.
[19:14:54	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:14:56	]S10/OWS.GHOST-14 has spawned a 'Entity [158][ix_forcefield]'.
[19:14:58	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:14:59	]Wenli created the character 'Leszek Miller'
[19:14:59	]Wenli loaded the character 'Leszek Miller'
[19:14:59	]Leszek Miller has gained a 'Light Grey Armband' #4198.
[19:14:59	]Leszek Miller has gained a '#27955's Identity Card' #4199.
[19:14:59	]Leszek Miller has gained a 'Black Jumpsuit' #4200.
[19:14:59	]Leszek Miller has gained a 'Blue Jumpsuit Trousers' #4201.
[19:14:59	]Leszek Miller has gained a 'Worn Brown Shoes' #4202.
[19:14:59	]Leszek Miller has gained a 'Glasses' #4203.
[19:15:00	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:04	]Leszek Miller entered observer.
[19:15:07	]Leszek Miller exited observer.
[19:15:08	]S10/OWS.GHOST-14 has spawned a 'Entity [158][ix_forcefield]'.
[19:15:08	]Leszek Miller entered observer.
[19:15:08	]Leszek Miller exited observer.
[19:15:10	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:18	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:20	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:22	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:27	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:29	]S10/OWS.GHOST-14 has spawned a 'Entity [158][ix_forcefield]'.
[19:15:30	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:39	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:41	]S10/OWS.GHOST-14 has spawned a 'Entity [158][ix_forcefield]'.
[19:15:42	]S10/OWS.GHOST-14 has spawned a 'Entity [156][ix_forcefield]'.
[19:15:46	]S10/OWS.GHOST-14 exited observer at their location.
[19:15:58	]S10/OWS.GHOST-14 entered observer.
[19:15:58	]Leszek Miller entered observer.
[19:16:01	]Leszek Miller exited observer at their location.
[19:16:01	]Leszek Miller entered observer.
[19:16:05	]S10/OWS.GHOST-14 has used a context menu option with the name: ixforcefieldstartmalfunction
[19:16:11	]S10/OWS.GHOST-14 has used a context menu option with the name: ixforcefieldstopmalfunction
[19:16:16	]S10/OWS.GHOST-14 exited observer at their location.
[19:16:24	]Leszek Miller exited observer at their location.
[19:16:24	]Leszek Miller entered observer.
[19:16:37	]Leszek Miller exited observer at their location.
[19:16:37	]Leszek Miller entered observer.
[19:16:38	]Leszek Miller exited observer at their location.
[19:16:38	]Leszek Miller entered observer.
[19:16:50	]S10/OWS.GHOST-14 entered observer.
[19:16:51	]S10/OWS.GHOST-14 exited observer at their location.
[19:16:51	]S10/OWS.GHOST-14 entered observer.
[19:16:53	]S10/OWS.GHOST-14 exited observer at their location.
[19:16:59	]S10/OWS.GHOST-14 used command '/Doorkick'.
[19:17:04	]Leszek Miller exited observer at their location.
[19:17:04	]Leszek Miller entered observer.
[19:17:05	]Leszek Miller exited observer at their location.
[19:17:05	]S10/OWS.GHOST-14 used command '/Doorkick'.
[19:17:05	]Leszek Miller entered observer.
[19:17:06	]Leszek Miller exited observer at their location.
[19:17:06	]Leszek Miller entered observer.
[19:17:20	]Leszek Miller exited observer at their location.
[19:17:20	]Leszek Miller entered observer.
[19:17:21	]Leszek Miller exited observer at their location.
[19:17:22	]Leszek Miller entered observer.
[19:17:28	]S10/OWS.GHOST-14 entered observer.
[19:17:32	]S10/OWS.GHOST-14 exited observer at their location.
[19:17:43	]S10/OWS.GHOST-14 used command '/WaypointAdd chuj 60 red'.
[19:17:48	]S10/OWS.GHOST-14 entered observer.
[19:17:49	]S10/OWS.GHOST-14 exited observer at their location.
[19:17:50	]Leszek Miller exited observer at their location.
[19:17:50	]Leszek Miller entered observer.
[19:17:56	]Leszek Miller exited observer at their location.
[19:17:56	]Leszek Miller entered observer.
[19:18:00	]Leszek Miller exited observer at their location.
[19:18:03	]S10/OWS.GHOST-14 entered observer.
[19:18:03	]S10/OWS.GHOST-14 exited observer at their location.
[19:18:03	]Leszek Miller entered observer.
[19:18:04	]S10/OWS.GHOST-14 entered observer.
[19:18:04	]Leszek Miller exited observer at their location.
[19:18:04	]Leszek Miller entered observer.
[19:18:15	]S10/OWS.GHOST-14 exited observer at their location.
[19:18:16	]S10/OWS.GHOST-14 entered observer.
[19:18:21	]S10/OWS.GHOST-14 exited observer at their location.
[19:18:22	]S10/OWS.GHOST-14 has spawned a head_gasmask.
[19:18:24	]S10/OWS.GHOST-14 has used a context menu option with the name: remove
[19:18:25	]S10/OWS.GHOST-14 entered observer.
[19:18:36	]S10/OWS.GHOST-14 exited observer at their location.
[19:18:45	]Leszek Miller exited observer at their location.
[19:18:45	]Leszek Miller entered observer.
[19:18:46	]Leszek Miller exited observer at their location.
[19:18:46	]Leszek Miller entered observer.
[19:18:47	]Leszek Miller exited observer at their location.
[19:18:48	]Leszek Miller entered observer.
[19:18:49	]Leszek Miller exited observer at their location.
[19:18:49	]Leszek Miller entered observer.
[19:18:52	]Leszek Miller exited observer at their location.
[19:18:52	]Inkaaz (STEAM_0:0:50287200) has disconnected.
[19:18:53	]Leszek Miller entered observer.
[19:18:53	]Leszek Miller exited observer at their location.
[19:19:12	]Leszek Miller entered observer.
[19:19:12	]Leszek Miller exited observer at their location.
[19:19:13	]Leszek Miller entered observer.
[19:19:13	]Leszek Miller exited observer at their location.
[19:19:14	]Leszek Miller entered observer.
[19:19:15	]Leszek Miller exited observer at their location.
[19:19:16	]Leszek Miller entered observer.
[19:19:16	]Leszek Miller exited observer at their location.
[19:19:24	]Leszek Miller entered observer.
[19:19:25	]Leszek Miller exited observer at their location.
[19:19:25	]Leszek Miller entered observer.
[19:19:26	]Leszek Miller exited observer at their location.
[19:19:27	]Leszek Miller entered observer.
[19:19:27	]Leszek Miller exited observer at their location.
[19:19:28	]Leszek Miller entered observer.
[19:19:28	]Leszek Miller exited observer at their location.
[19:19:30	]Leszek Miller entered observer.
[19:19:30	]Leszek Miller exited observer at their location.
[19:19:31	]Leszek Miller entered observer.
[19:19:31	]Leszek Miller exited observer at their location.
[19:19:32	]Leszek Miller entered observer.
[19:19:32	]Leszek Miller exited observer at their location.
[19:19:32	]Leszek Miller entered observer.
[19:19:38	]Leszek Miller exited observer at their location.
[19:19:40	]Leszek Miller entered observer.
[19:19:40	]Leszek Miller exited observer at their location.
[19:19:41	]Leszek Miller entered observer.
[19:19:41	]Leszek Miller exited observer at their location.
[19:19:43	]Leszek Miller entered observer.
[19:19:44	]Leszek Miller exited observer at their location.
[19:19:45	]Leszek Miller entered observer.
[19:19:45	]Leszek Miller exited observer at their location.
[19:19:46	]Leszek Miller entered observer.
[19:19:47	]Leszek Miller exited observer at their location.
[19:20:59	]Leszek Miller entered observer.
[19:20:59	]Leszek Miller exited observer at their location.
[19:21:27	]Leszek Miller entered observer.
[19:21:27	]Leszek Miller exited observer at their location.
[19:22:08	]Leszek Miller entered observer.
[19:22:08	]Leszek Miller exited observer at their location.
[19:22:09	]Leszek Miller entered observer.
[19:22:09	]Leszek Miller exited observer at their location.
[19:23:21	]Leszek Miller entered observer.
[19:23:22	]Leszek Miller exited observer at their location.
[19:23:27	]Leszek Miller entered observer.
[19:23:28	]Leszek Miller exited observer at their location.
[19:23:38	]Leszek Miller entered observer.
[19:23:38	]Leszek Miller exited observer at their location.
[19:23:40	]Leszek Miller entered observer.
[19:23:40	]Leszek Miller exited observer at their location.
[19:24:35	]Leszek Miller entered observer.
[19:24:36	]Leszek Miller exited observer at their location.
[19:24:36	]Leszek Miller has taken 0 damage from worldspawn.
[19:24:38	]Leszek Miller entered observer.
[19:24:38	]Leszek Miller exited observer at their location.
[19:24:39	]Leszek Miller entered observer.
[19:24:39	]Leszek Miller exited observer at their location.
[19:24:41	]Leszek Miller entered observer.
[19:24:42	]Leszek Miller exited observer at their location.
[19:24:43	]Leszek Miller entered observer.
[19:24:44	]Leszek Miller exited observer at their location.
[19:24:44	]Leszek Miller entered observer.
[19:24:54	]Leszek Miller exited observer at their location.
[19:24:54	]Leszek Miller entered observer.
[19:24:55	]Leszek Miller exited observer at their location.
[19:24:55	]Leszek Miller entered observer.
[19:24:56	]Leszek Miller exited observer at their location.
[19:24:56	]Leszek Miller entered observer.
[19:25:22	]Leszek Miller exited observer at their location.
[19:25:23	]Leszek Miller entered observer.
[19:25:23	]Leszek Miller exited observer at their location.
[19:25:24	]Leszek Miller entered observer.
[19:25:25	]Leszek Miller exited observer at their location.
[19:25:25	]Leszek Miller entered observer.
[19:25:27	]Leszek Miller exited observer at their location.
[19:25:28	]Leszek Miller entered observer.
[19:25:28	]Leszek Miller exited observer at their location.
[19:25:30	]Leszek Miller entered observer.
[19:25:33	]Leszek Miller exited observer at their location.
[19:25:33	]Leszek Miller entered observer.
[19:25:33	]Leszek Miller exited observer at their location.
[19:25:34	]Leszek Miller entered observer.
[19:25:34	]Leszek Miller exited observer at their location.
[19:25:35	]Leszek Miller entered observer.
[19:25:42	]Leszek Miller exited observer at their location.
[19:25:43	]Leszek Miller entered observer.
[19:25:43	]Leszek Miller exited observer at their location.
[19:25:44	]Leszek Miller entered observer.
[19:25:46	]Recik has connected.
[19:25:46	]Leszek Miller exited observer at their location.
[19:25:46	]Leszek Miller entered observer.
[19:25:47	]Leszek Miller exited observer at their location.
[19:25:49	]Leszek Miller entered observer.
[19:25:49	]Leszek Miller exited observer at their location.
[19:25:50	]Leszek Miller entered observer.
[19:25:50	]Leszek Miller exited observer at their location.
[19:26:30	]Recik loaded the character 'Rak d'
[19:26:34	]Rak d entered observer.
[19:26:59	]Leszek Miller entered observer.
[19:26:59	]Leszek Miller exited observer at their location.
[19:27:21	]Rak d exited observer at their location.
[19:28:19	]Leszek Miller is fully healed.
[19:29:37	]Rak d has spawned a 'Entity [149][ix_cwuterminal]'.
[19:29:50	]Rak d has spawned a 'Entity [149][ix_combinemonitor]'.
[19:29:54	]Rak d has spawned a 'Entity [149][ix_fabricator]'.
[19:29:58	]Leszek Miller entered observer.
[19:30:01	]Leszek Miller exited observer at their location.
[19:30:01	]Leszek Miller entered observer.
[19:30:03	]Leszek Miller exited observer at their location.
[19:30:05	]Leszek Miller entered observer.
[19:30:06	]Leszek Miller exited observer at their location.
[19:30:20	]Leszek Miller entered observer.
[19:30:21	]Leszek Miller exited observer at their location.
[19:30:25	]Leszek Miller entered observer.
[19:30:26	]Leszek Miller exited observer at their location.
[19:30:50	]Leszek Miller entered observer.
[19:30:50	]Leszek Miller exited observer at their location.
[19:30:51	]Leszek Miller entered observer.
[19:30:52	]Leszek Miller exited observer at their location.
[19:30:53	]Leszek Miller entered observer.
[19:30:54	]Leszek Miller exited observer at their location.
[19:30:55	]Leszek Miller entered observer.
[19:30:56	]Leszek Miller exited observer at their location.
[19:30:56	]Leszek Miller entered observer.
[19:30:57	]Leszek Miller exited observer at their location.
[19:30:57	]Leszek Miller entered observer.
[19:30:59	]Leszek Miller exited observer at their location.
[19:30:59	]Leszek Miller entered observer.
[19:31:01	]Leszek Miller exited observer at their location.
[19:31:02	]Leszek Miller entered observer.
[19:31:05	]Leszek Miller exited observer at their location.
[19:31:06	]Leszek Miller entered observer.
[19:31:06	]Leszek Miller exited observer at their location.
[19:31:07	]Leszek Miller entered observer.
[19:31:09	]Leszek Miller exited observer at their location.
[19:31:10	]Leszek Miller entered observer.
[19:31:10	]Leszek Miller exited observer at their location.
[19:31:11	]Leszek Miller entered observer.
[19:31:14	]Leszek Miller exited observer at their location.
[19:31:14	]Leszek Miller entered observer.
[19:31:16	]Leszek Miller exited observer at their location.
[19:31:17	]Leszek Miller entered observer.
[19:31:19	]Leszek Miller exited observer at their location.
[19:31:20	]Leszek Miller entered observer.
[19:31:21	]Leszek Miller exited observer at their location.
[19:31:22	]Leszek Miller entered observer.
[19:31:22	]Leszek Miller exited observer at their location.
[19:31:23	]Leszek Miller entered observer.
[19:31:23	]Leszek Miller exited observer at their location.
[19:31:24	]Recik (STEAM_0:1:57940784) has disconnected.
[19:31:24	]Leszek Miller entered observer.
[19:31:26	]Leszek Miller exited observer at their location.
[19:31:27	]Leszek Miller entered observer.
[19:31:27	]Leszek Miller exited observer at their location.
[19:31:30	]Leszek Miller entered observer.
[19:31:31	]Leszek Miller exited observer at their location.
[19:31:37	]Leszek Miller entered observer.
[19:31:37	]Leszek Miller exited observer at their location.
[19:31:38	]Leszek Miller entered observer.
[19:31:38	]Leszek Miller exited observer at their location.
[19:31:40	]Leszek Miller entered observer.
[19:31:40	]Leszek Miller exited observer at their location.
[19:31:41	]Leszek Miller entered observer.
[19:31:42	]Leszek Miller exited observer at their location.
[19:31:44	]Leszek Miller entered observer.
[19:31:44	]Leszek Miller exited observer at their location.
[19:32:05	]Leszek Miller entered observer.
[19:32:05	]Leszek Miller exited observer at their location.
[19:32:06	]Leszek Miller entered observer.
[19:32:07	]Leszek Miller exited observer at their location.
[19:32:08	]Leszek Miller entered observer.
[19:32:08	]Leszek Miller exited observer at their location.
[19:32:09	]Leszek Miller entered observer.
[19:32:09	]Leszek Miller exited observer at their location.
[19:32:09	]Leszek Miller entered observer.
[19:32:12	]Leszek Miller exited observer at their location.
[19:32:12	]Leszek Miller entered observer.
[19:32:14	]Leszek Miller exited observer at their location.
[19:32:14	]Leszek Miller entered observer.
[19:32:15	]Leszek Miller exited observer at their location.
[19:32:16	]Leszek Miller entered observer.
[19:32:17	]Leszek Miller exited observer at their location.
[19:32:18	]Leszek Miller entered observer.
[19:32:19	]Leszek Miller exited observer at their location.
[19:32:19	]Leszek Miller entered observer.
[19:32:20	]Leszek Miller exited observer at their location.
[19:32:20	]Leszek Miller entered observer.
[19:32:20	]Leszek Miller exited observer at their location.
[19:32:21	]Leszek Miller entered observer.
[19:32:21	]Leszek Miller exited observer at their location.
[19:32:23	]Leszek Miller entered observer.
[19:32:23	]Leszek Miller exited observer at their location.
[19:32:24	]Leszek Miller entered observer.
[19:32:25	]Leszek Miller exited observer at their location.
[19:32:26	]Leszek Miller entered observer.
[19:32:27	]Leszek Miller exited observer at their location.
[19:32:29	]Leszek Miller entered observer.
[19:32:30	]Leszek Miller exited observer at their location.
[19:32:31	]Leszek Miller entered observer.
[19:32:31	]Leszek Miller exited observer at their location.
[19:32:32	]Leszek Miller entered observer.
[19:32:32	]Leszek Miller exited observer at their location.
[19:32:35	]Leszek Miller entered observer.
[19:32:35	]Leszek Miller exited observer at their location.
[19:32:35	]Leszek Miller entered observer.
[19:32:38	]Leszek Miller exited observer at their location.
[19:32:39	]Leszek Miller entered observer.
[19:32:40	]Leszek Miller exited observer at their location.
[19:32:41	]Leszek Miller entered observer.
[19:32:41	]Leszek Miller exited observer at their location.
[19:32:42	]Leszek Miller entered observer.
[19:32:42	]Leszek Miller exited observer at their location.
[19:32:44	]Leszek Miller has taken 0 damage from worldspawn.
[19:32:45	]Leszek Miller entered observer.
[19:32:45	]Leszek Miller exited observer at their location.
[19:32:46	]Leszek Miller entered observer.
[19:32:50	]Leszek Miller exited observer at their location.
[19:32:53	]Leszek Miller entered observer.
[19:32:55	]Leszek Miller exited observer at their location.
[19:32:55	]Leszek Miller entered observer.
[19:32:56	]Leszek Miller exited observer at their location.
[19:32:56	]Leszek Miller entered observer.
[19:32:57	]Leszek Miller exited observer at their location.
[19:32:57	]Leszek Miller entered observer.
[19:32:57	]Leszek Miller exited observer at their location.
[19:33:05	]Leszek Miller has spawned a audiobook_1Albański.
[19:33:07	]Leszek Miller ran 'take' on item 'Naucz się Albańskiego - Część 1 - Audiobook' (#4205)
[19:33:07	]Leszek Miller has gained a 'Naucz się Albańskiego - Część 1 - Audiobook' #4205.
