[01:17:07	]Inkaaz has connected.
[01:53:07	][IC] Inkaaz: <:: Alert one! ::>
[01:53:13	][IC] Inkaaz: <:: Thats it, wrap it up. ::>
[01:54:30	]Inkaaz used command '/C wda'.
[01:54:33	][VORT] Inkaaz: dwdwa
[01:54:37	]Inkaaz used command '/vortessence'.
[01:54:39	]Inkaaz used command '/vortessence'.
[01:54:39	]Inkaaz used command '/vortessence'.
[01:54:56	][VORTSHOUT] Inkaaz: dwaaw
[01:55:10	]Inkaaz used command '/WaypointAdd test 60 green'.
[01:55:20	]Inkaaz used command '/WaypointAdd test 60 green'.
[01:55:20	]Inkaaz used command '/WaypointAdd test 60 green'.
[01:55:21	]Inkaaz used command '/WaypointAdd test 60 green'.
[01:55:23	]Inkaaz used command '/WaypointAdd test 60 green'.
[01:55:24	]Inkaaz used command '/WaypointAdd test 60 green'.
[01:55:31	]Inkaaz used command '/WaypointRemoveAll'.
[01:55:35	]Inkaaz has unloaded their "Inkaaz" character.
[01:55:42	]Inkaaz (STEAM_0:0:50287200) deleted character 'Inkaaz'
[01:57:36	]Inkaaz created the character 'admin miasta'
[01:57:36	]Inkaaz loaded the character 'admin miasta'
[01:57:36	]admin miasta has gained a '#92057's Identity Card' #3434.
[01:57:36	]admin miasta has gained a 'Combine PDA' #3435.
[01:57:36	]admin miasta has gained a 'Presenters Joy' #3436.
[01:57:36	]admin miasta has gained a 'Presenters Joy Trousers' #3437.
[01:57:59	][IC] admin miasta: Aaaaaaagh!
[01:58:03	][IC] admin miasta: Aaaaaaagh!
[01:58:08	]admin miasta used command '/Handsignals'.
[01:58:12	]admin miasta used command '/Handsignals'.
[01:58:17	][IC] admin miasta: *Coughing*.
[01:58:18	][IC] admin miasta: *Coughing*.
[01:58:19	]admin miasta used command '/Handsignals'.
[01:58:24	]admin miasta used command '/Handsignals'.
[01:58:30	]admin miasta entered observer.
[01:58:46	]admin miasta exited observer at their location.
[01:58:53	]admin miasta used command '/Handsignals'.
[01:59:12	]admin miasta ran SAM command 'mapreset' with arguments: ''
[01:59:27	][ME] admin miasta: otwiera drzwi i przechodzi przez nie
[01:59:27	]admin miasta entered observer.
[01:59:34	]admin miasta exited observer at their location.
[01:59:38	]admin miasta used command '/Handsignals'.
[01:59:52	][IC] admin miasta: *Coughing*.
[01:59:59	][IC] admin miasta: *Coughing*.
[02:00:02	][IC] admin miasta: *Coughing*.
[02:00:04	][IC] admin miasta: *Coughing*.
[02:00:07	][IC] admin miasta: Cough5.
[02:00:10	][IC] admin miasta: Chuj.
[02:00:12	][IC] admin miasta: Jebany.
[02:00:16	][IC] admin miasta: Moan.
[02:00:17	][IC] admin miasta: Ugh... Agh.
[02:00:21	][IC] admin miasta: Ugh...
[02:00:28	][IC] admin miasta: Ugh... Agh-hgh.
[02:00:34	][IC] admin miasta: Oghhh.
[02:00:44	][IC] admin miasta: Aaagh.
[02:00:47	][IC] admin miasta: Moan6.
[02:00:49	][IC] admin miasta: Moan7.
[02:00:54	][IC] admin miasta: Aaagh.
[02:00:59	][IC] admin miasta: Moan6.
[02:01:00	][IC] admin miasta: Moan6.
[02:01:00	][IC] admin miasta: Moan6.
[02:01:01	][IC] admin miasta: Moan6.
[02:01:02	][IC] admin miasta: Moan6.
[02:01:03	][IC] admin miasta: Aaaaaaagh!
[02:01:04	][IC] admin miasta: Aaaaaaagh!
[02:01:05	][IC] admin miasta: Aaaaaaagh!
[02:01:05	][IC] admin miasta: Aaaaaaagh!
[02:01:06	][IC] admin miasta: Aaaaaaagh!
[02:01:07	][IC] admin miasta: Aaaaaaagh!
[02:01:08	][IC] admin miasta: Aaaaaaagh!
[02:01:24	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:29	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:31	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:32	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:33	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:34	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:34	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:35	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:36	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:37	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:37	][IC] admin miasta: Let's take the fight to the Combine, eh doc? Straight to their universe, whaddya say?
[02:01:45	][IC] admin miasta: Next portal I see, I'm jumpin' through it. Anywhere's gotta be better than this.
[02:01:48	][IC] admin miasta: This is bullshit!
[02:01:50	][IC] admin miasta: This is bullshit!
[02:01:50	][IC] admin miasta: This is bullshit!
[02:01:51	][IC] admin miasta: This is bullshit!
[02:01:52	][IC] admin miasta: This is bullshit!
[02:01:52	][IC] admin miasta: This is bullshit!
[02:01:53	][IC] admin miasta: This is bullshit!
[02:01:54	][IC] admin miasta: This is bullshit!
[02:01:55	][IC] admin miasta: This is bullshit!
[02:01:56	][IC] admin miasta: This is bullshit!
[02:02:53	][IC] admin miasta: This is bullshit!
[02:02:58	][IC] admin miasta: Couldn't have put it better myself.
[02:03:02	][IC] admin miasta: Cheese.
[02:03:25	][IC] admin miasta: One time, back in the city, I saw a guy take down a Hunter with his bare fists.
[02:03:34	][IC] admin miasta: I don't know about you, but I'm ready to join Civil Protection just to get a decent meal.
[02:03:41	][IC] admin miasta: *Cheering!*.
[02:03:45	]admin miasta used command '/ActCheer'.
[02:04:44	]admin miasta used command '/ActCheck'.
[02:04:46	]admin miasta used command '/ActCheck'.
[02:04:52	]admin miasta used command '/ExitAct'.
[02:04:56	]admin miasta used command '/ActCheck'.
[02:05:15	]admin miasta used command '/ExitAct'.
[02:05:16	]admin miasta entered observer.
[02:05:18	]admin miasta exited observer at their location.
[02:05:27	]admin miasta has fired a toolgun with the name: camera
[02:05:32	]admin miasta entered observer.
[02:05:36	]admin miasta has fired a toolgun with the name: camera
[02:05:36	]admin miasta exited observer at their location.
[02:05:42	]admin miasta entered observer.
[02:05:45	]admin miasta has fired a toolgun with the name: camera
[02:05:46	]admin miasta exited observer at their location.
[02:05:56	]admin miasta entered observer.
[02:05:58	]admin miasta has fired a toolgun with the name: camera
[02:05:59	]admin miasta exited observer at their location.
[02:06:01	]admin miasta entered observer.
[02:06:04	]admin miasta has fired a toolgun with the name: camera
[02:06:05	]admin miasta exited observer at their location.
[02:06:10	]admin miasta entered observer.
[02:06:11	]admin miasta exited observer at their location.
[02:06:12	]admin miasta has fired a toolgun with the name: camera
[02:06:20	]admin miasta has fired a toolgun with the name: camera
[02:06:32	]admin miasta entered observer.
[02:06:34	]admin miasta has fired a toolgun with the name: camera
[02:06:35	]admin miasta exited observer at their location.
[02:06:50	]admin miasta used command '/ActStand'.
[02:10:58	]admin miasta used command '/ExitAct'.
[02:11:00	]admin miasta entered observer.
[02:11:33	]admin miasta exited observer at their location.
[02:11:38	]admin miasta entered observer.
[02:12:04	]admin miasta exited observer at their location.
[02:12:05	]admin miasta was knocked unconscious and is bleeding out.
[02:12:09	]admin miasta ran SAM command 'slay' with arguments: '^'
[02:12:13	]admin miasta entered observer.
[02:12:18	]admin miasta exited observer at their location.
[02:12:19	]admin miasta entered observer.
[02:12:29	]admin miasta exited observer at their location.
[02:12:38	]admin miasta entered observer.
[02:12:39	]admin miasta exited observer at their location.
[02:12:46	]admin miasta has used a context menu option with the name: container_changepassword
[02:12:54	]admin miasta has given himself a cont_lock_t1.
[02:12:54	]admin miasta has gained a 'Padlock' #3438.
[02:12:57	]admin miasta ran 'Lock' on item 'Padlock' (#3438)
[02:13:00	]admin miasta ran 'Lock' on item 'Padlock' (#3438)
[02:13:07	]admin miasta ran 'Lock' on item 'Padlock' (#3438)
[02:13:10	]admin miasta has added a lock to a door. MapcreationID: 3102, vector position: '5809.000000 2132.000000 254.000000'
[02:13:11	]admin miasta entered observer.
[02:13:12	]admin miasta exited observer at their location.
[02:13:33	]admin miasta has used a context menu option with the name: containerlock_checkowner
[02:13:41	]admin miasta has given himself a cont_lock_t1.
[02:13:41	]admin miasta has gained a 'Padlock' #3439.
[02:13:43	]admin miasta ran 'Lock' on item 'Padlock' (#3439)
[02:13:45	]admin miasta has added a lock to a door. MapcreationID: 3100, vector position: '6153.000000 2132.000000 254.000000'
[02:14:02	]Inkaaz has unloaded their "admin miasta" character.
[02:14:08	]Inkaaz loaded the character 'C17:RL.Union-88'
[02:14:09	]C17:RL.Union-88 entered observer.
[02:14:28	]C17:RL.Union-88 exited observer at their location.
[02:14:30	]C17:RL.Union-88 entered observer.
[02:14:32	]C17:RL.Union-88 exited observer at their location.
[02:14:48	]C17:RL.Union-88 used command '/Doorkick'.
[02:15:01	]C17:RL.Union-88 used command '/Doorkick'.
[02:15:27	][IC] C17:RL.Union-88: Aaaaaaagh!
[02:15:32	][IC] C17:RL.Union-88: <:: 10-2. ::>
[02:15:43	]C17:RL.Union-88 has lost a '30rnd MP-magazine' #1237.
[02:15:43	]C17:RL.Union-88 has gained a '30rnd MP-magazine' #1232.
[02:15:47	]C17:RL.Union-88 has gained a '30rnd MP-magazine' #1237.
[02:15:47	]C17:RL.Union-88 has lost a '30rnd MP-magazine' #1232.
[02:16:05	]C17:RL.Union-88 has gained a '30rnd MP-magazine' #1232.
[02:16:05	]C17:RL.Union-88 has lost a '30rnd MP-magazine' #1237.
[02:16:13	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:18	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:22	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:24	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:26	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:29	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:31	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:37	]C17:RL.Union-88 has used a context menu option with the name: skin
[02:16:53	]C17:RL.Union-88 has used a context menu option with the name: ignite
[02:16:55	]C17:RL.Union-88 has used a context menu option with the name: extinguish
[02:17:37	]C17:RL.Union-88 entered observer.
[02:17:47	]C17:RL.Union-88 exited observer at their location.
[02:17:58	]C17:RL.Union-88 entered observer.
[02:18:03	]C17:RL.Union-88 exited observer at their location.
[02:18:05	]C17:RL.Union-88 entered observer.
[02:18:22	]C17:RL.Union-88 exited observer at their location.
[02:19:57	]C17:RL.Union-88 entered observer.
[02:20:01	]C17:RL.Union-88 exited observer at their location.
[02:20:38	][IC] C17:RL.Union-88: <:: 0. ::>
[02:20:45	][IC] C17:RL.Union-88: <:: 10-2. ::>
[02:20:49	][IC] C17:RL.Union-88: <:: 10-2. ::>
[02:20:51	][IC] C17:RL.Union-88: <:: 10-2. ::>
[02:20:52	][IC] C17:RL.Union-88: <:: 10-2. ::>
[02:20:53	][IC] C17:RL.Union-88: <:: 10-2. ::>
[02:20:59	][IC] C17:RL.Union-88: <:: Unit is on-duty, 10-8. ::>
[02:23:03	][IC] C17:RL.Union-88: <:: Apply. ::>
[02:23:22	][IC] C17:RL.Union-88: <:: 10-2. ::>
[02:24:14	]C17:RL.Union-88 used command '/VisorStatus blue'.
[02:24:25	]C17:RL.Union-88 used command '/VisorStatus blue jebanie'.
[02:24:29	]C17:RL.Union-88 entered observer.
[02:24:30	]C17:RL.Union-88 exited observer at their location.
[02:24:35	]C17:RL.Union-88 used command '/VisorStatus blue socjalny status dobry'.
[02:24:42	]C17:RL.Union-88 used command '/VisorStatus blue socjalny status'.
[02:24:47	]C17:RL.Union-88 used command '/VisorStatus yellow socjalny status'.
[02:24:52	]C17:RL.Union-88 used command '/VisorStatus yellow socjal'.
[02:25:01	]C17:RL.Union-88 entered observer.
[02:25:04	]C17:RL.Union-88 exited observer at their location.
[02:25:26	]C17:RL.Union-88 entered observer.
[02:25:28	]C17:RL.Union-88 exited observer at their location.
[02:25:35	]C17:RL.Union-88 entered observer.
[02:25:41	]C17:RL.Union-88 exited observer at their location.
[02:26:00	]C17:RL.Union-88 entered observer.
[02:26:05	]C17:RL.Union-88 exited observer at their location.
[02:26:09	]C17:RL.Union-88 entered observer.
[02:26:15	]C17:RL.Union-88 exited observer at their location.
[02:26:22	]C17:RL.Union-88 entered observer.
[02:27:59	]C17:RL.Union-88 has used a context menu option with the name: collision_off
[02:28:00	]C17:RL.Union-88 has used a context menu option with the name: remove
[02:28:13	]C17:RL.Union-88 ran SAM command 'mapreset' with arguments: ''
[02:28:21	]C17:RL.Union-88 exited observer at their location.
[02:28:24	]C17:RL.Union-88 entered observer.
[02:28:29	]C17:RL.Union-88 exited observer at their location.
[02:28:29	]C17:RL.Union-88 entered observer.
[02:28:38	]C17:RL.Union-88 exited observer at their location.
[02:28:39	]C17:RL.Union-88 entered observer.
[02:28:41	]C17:RL.Union-88 exited observer at their location.
[02:28:41	]C17:RL.Union-88 entered observer.
[02:28:43	]C17:RL.Union-88 exited observer at their location.
[02:28:44	]C17:RL.Union-88 entered observer.
[02:28:55	]C17:RL.Union-88 exited observer at their location.
[02:29:25	]C17:RL.Union-88 has fired a toolgun with the name: colour
[02:29:26	]C17:RL.Union-88 has fired a toolgun with the name: colour
[02:29:28	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:29	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:29	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:29	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:29	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:30	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:30	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:30	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:30	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:30	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:31	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:33	]C17:RL.Union-88 has spawned 'models/props_c17/gravestone002a.mdl'.
[02:29:34	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:29:37	]C17:RL.Union-88 entered observer.
[02:30:09	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:09	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:10	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:10	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:10	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:11	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:11	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:11	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:12	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:16	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:16	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:16	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:17	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:17	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:20	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:20	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:20	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:21	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:23	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:23	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:23	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:24	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:24	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:44	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:30:45	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:31:25	]C17:RL.Union-88 has fired a toolgun with the name: material
[02:31:47	]Inkaaz (STEAM_0:0:50287200) has disconnected.
[22:29:46	]Chogacz has connected.
[22:31:02	]Chogacz created the character 'Zacku zack'
[22:31:02	]Chogacz loaded the character 'Zacku zack'
[22:31:02	]Zacku zack has gained a 'Suitcase' #3440.
[22:31:02	]Zacku zack has gained a '#92934's Identity Card' #3441.
[22:31:15	]Zacku zack has given himself a usp.
[22:31:15	]Zacku zack has gained a 'USP-45' #3442.
[22:31:16	]Zacku zack ran 'Equip' on item 'USP-45' (#3442)
[22:32:29	]Chogacz (STEAM_0:1:36976287) has disconnected.
[22:41:10	]Chogacz has connected.
[22:42:00	]Chogacz loaded the character 'Zacku zack'
[22:42:04	]Zacku zack ran 'EquipUn' on item 'USP-45' (#3442)
[22:42:31	]Zacku zack ran 'Equip' on item 'USP-45' (#3442)
[22:45:05	]Zacku zack has given himself a mp7a1.
[22:45:05	]Zacku zack has gained a 'MP7A1' #3443.
[22:45:11	]Zacku zack ran 'Equip' on item 'MP7A1' (#3443)
[22:45:14	]Zacku zack ran 'EquipUn' on item 'MP7A1' (#3443)
[22:47:40	]Zacku zack has given himself a largebag.
[22:47:40	]Zacku zack has gained a 'Large Bag' #3444.
[22:48:59	]Zacku zack ran 'EquipUn' on item 'USP-45' (#3442)
[22:49:03	]Zacku zack ran 'Equip' on item 'Suitcase' (#3440)
[22:49:46	]Zacku zack ran 'drop' on item 'Large Bag' (#3444)
[22:49:46	]Zacku zack has lost a 'Large Bag' #3444.
[22:49:50	]Zacku zack ran 'take' on item 'Large Bag' (#3444)
[22:49:50	]Zacku zack has gained a 'Large Bag' #3444.
[22:49:51	]Zacku zack ran 'drop' on item 'Large Bag' (#3444)
[22:49:51	]Zacku zack has lost a 'Large Bag' #3444.
[22:49:56	]Zacku zack ran 'take' on item 'Large Bag' (#3444)
[22:49:56	]Zacku zack has gained a 'Large Bag' #3444.
[22:51:20	]Zacku zack has given himself a suitcase.
[22:51:20	]Zacku zack has gained a 'Suitcase' #3445.
[22:51:27	]Zacku zack ran 'EquipUn' on item 'Suitcase' (#3440)
[22:52:38	]Zacku zack has given himself a suitcase.
[22:52:38	]Zacku zack has gained a 'Suitcase' #3446.
[22:52:39	]Zacku zack has given himself a suitcase.
[22:52:39	]Zacku zack has gained a 'Suitcase' #3447.
[22:52:39	]Zacku zack has given himself a suitcase.
[22:52:40	]Zacku zack has gained a 'Suitcase' #3448.
[22:54:08	]Zacku zack has given himself a frag_grenade.
[22:54:08	]Zacku zack has gained a 'Frag Grenade' #3449.
[22:54:08	]Zacku zack has given himself a frag_grenade.
[22:54:08	]Zacku zack has gained a 'Frag Grenade' #3450.
[22:54:09	]Zacku zack has given himself a frag_grenade.
[22:54:09	]Zacku zack has gained a 'Frag Grenade' #3451.
[22:54:09	]Zacku zack has given himself a frag_grenade.
[22:54:09	]Zacku zack has gained a 'Frag Grenade' #3452.
[22:54:10	]Zacku zack has given himself a frag_grenade.
[22:54:10	]Zacku zack has gained a 'Frag Grenade' #3453.
[22:54:10	]Zacku zack has given himself a frag_grenade.
[22:54:10	]Zacku zack has gained a 'Frag Grenade' #3454.
[22:54:33	]Zacku zack has given himself a frag_grenade.
[22:54:34	]Zacku zack has gained a 'Frag Grenade' #3455.
[22:54:34	]Zacku zack has given himself a frag_grenade.
[22:54:34	]Zacku zack has gained a 'Frag Grenade' #3456.
[22:54:35	]Zacku zack has given himself a frag_grenade.
[22:54:35	]Zacku zack has gained a 'Frag Grenade' #3457.
[22:54:36	]Zacku zack has given himself a frag_grenade.
[22:54:36	]Zacku zack has gained a 'Frag Grenade' #3458.
[22:54:36	]Zacku zack has given himself a frag_grenade.
[22:54:36	]Zacku zack has gained a 'Frag Grenade' #3459.
[22:54:37	]Zacku zack has given himself a frag_grenade.
[22:54:37	]Zacku zack has gained a 'Frag Grenade' #3460.
[22:54:37	]Zacku zack has given himself a frag_grenade.
[22:54:37	]Zacku zack has gained a 'Frag Grenade' #3461.
[22:54:38	]Zacku zack has given himself a frag_grenade.
[22:54:38	]Zacku zack has gained a 'Frag Grenade' #3462.
[22:54:38	]Zacku zack has given himself a frag_grenade.
[22:54:38	]Zacku zack has gained a 'Frag Grenade' #3463.
[22:54:39	]Zacku zack has given himself a frag_grenade.
[22:54:39	]Zacku zack has gained a 'Frag Grenade' #3464.
[22:54:39	]Zacku zack has given himself a frag_grenade.
[22:54:39	]Zacku zack has gained a 'Frag Grenade' #3465.
[22:54:40	]Zacku zack has given himself a frag_grenade.
[22:54:40	]Zacku zack has gained a 'Frag Grenade' #3466.
[22:54:40	]Zacku zack has given himself a frag_grenade.
[22:54:40	]Zacku zack has gained a 'Frag Grenade' #3467.
[22:54:42	]Zacku zack has given himself a frag_grenade.
